	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.BA.5557.01A.01R.1514.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.13N11.0326.SM.5LUA3	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.EL.A3ZT.01A.12R.A23N.07	GTEX.12584.0826.SM.5FQSK	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13QJC.0826.SM.5RQKC	GTEX.V1D1.0926.SM.4JBHQ
WASH4P	480.04	902.89	713.11	921.88	111.99	1508.65	1143.1	150.17	35.25	59.55	96.01	135.24	211.31	69.52	543.96	281.09	175.07	172.65	267.73	208.38	185.11	129.69	236.21	660.68	103.69	255.0	215.77	116.78	236.21	320.8	435.55	267.73	432.53	511.0	223.41	392.44	183.82	186.4	217.27	195.72	156.59	285.03	182.55	329.84	169.07	105.89	441.64	132.44	197.09	170.25	312.0	186.4	493.56	275.28	187.71	165.57	97.36	30.12	934.76	836.53	759.08	703.28	878.17
WDR59	791.35	1119.56	878.17	928.3	248.0	1183.45	1304.15	616.37	255.0	361.04	271.48	281.09	314.17	336.79	967.76	314.17	279.14	239.52	314.17	307.69	195.72	185.11	389.72	412.0	226.54	368.65	473.41	182.55	285.03	521.76	343.89	312.0	532.74	429.54	470.14	283.05	273.37	379.04	567.1	232.94	197.09	403.5	191.67	441.64	299.25	234.57	476.71	279.14	454.09	195.72	435.55	348.71	571.05	476.71	244.57	403.5	157.68	157.68	1199.98	1340.84	1388.16	1191.69	1397.83
WDR6	3212.66	4152.18	3540.14	4704.07	361.04	3168.41	2609.3	633.73	258.57	363.56	1639.59	1208.34	1111.82	1519.15	3665.02	2163.77	1159.07	974.5	688.78	2271.4	1259.69	1268.46	2367.9	3419.52	1242.34	1769.57	1733.13	1037.29	2224.63	3081.75	1991.0	1216.75	2537.92	3901.01	1340.84	967.76	1407.55	1909.85	3768.09	1111.82	1467.37	2434.5	1467.37	2209.26	1096.5	2163.77	1685.71	1572.76	1583.71	1340.84	2178.83	3124.78	3874.05	2209.26	1709.26	1208.34	1059.11	224.97	6699.25	5292.48	4869.99	4543.8	6337.83
ZCCHC11	1870.53	2240.11	1127.35	1286.18	189.02	1519.15	830.75	92.05	147.06	231.32	215.77	293.07	441.64	336.79	808.0	281.09	318.57	318.57	334.46	348.71	283.05	246.28	366.09	395.18	358.54	493.56	642.59	289.02	353.59	748.61	412.0	381.68	769.69	587.13	384.34	493.56	289.02	450.94	703.28	307.69	256.78	521.76	226.54	563.18	363.56	295.11	447.82	303.44	403.5	395.18	497.0	420.68	679.29	536.45	358.54	738.29	228.13	68.07	1066.48	1340.84	1151.06	1313.23	1250.98
ZCCHC8	688.78	1059.11	713.11	603.67	185.11	1286.18	567.1	138.1	98.04	126.12	206.94	169.07	267.73	255.0	607.87	249.73	384.34	314.17	198.47	309.83	256.78	206.94	221.86	414.87	289.02	412.0	361.04	208.38	312.0	379.04	353.59	397.93	273.37	366.09	323.03	291.04	332.14	343.89	334.46	264.03	244.57	414.87	255.0	229.72	271.48	231.32	423.61	277.2	299.25	205.5	366.09	271.48	353.59	381.68	323.03	476.71	234.57	175.07	669.92	836.53	612.11	748.61	791.35
ZDHHC17	688.78	624.99	808.0	665.29	84.63	872.1	518.15	34.02	68.55	45.85	198.47	149.12	231.32	201.25	417.77	195.72	193.01	209.84	169.07	149.12	202.66	115.97	218.79	185.11	426.57	264.03	269.6	129.69	264.03	343.89	237.86	277.2	281.09	334.46	218.79	165.57	148.09	212.78	341.51	162.14	191.67	303.44	197.09	180.02	156.59	84.04	271.48	176.29	178.77	269.6	275.28	201.25	242.88	256.78	291.04	351.14	140.04	37.59	536.45	591.22	514.56	518.15	511.0
ZFC3H1	1143.1	1250.98	1286.18	1051.79	189.02	1369.04	928.3	31.45	38.4	77.25	186.4	141.02	186.4	115.97	559.28	141.02	206.94	242.88	473.41	129.69	173.85	182.55	236.21	327.56	214.27	273.37	267.73	157.68	162.14	297.17	199.85	297.17	392.44	483.38	224.97	387.02	97.36	175.07	395.18	206.94	169.07	295.11	144.01	262.2	143.01	152.28	309.83	129.69	208.38	237.86	361.04	198.47	249.73	244.57	212.78	368.65	167.9	32.59	941.27	896.64	753.83	1073.91	769.69
ZMAT1	395.18	629.35	836.53	713.11	4.28	647.07	981.29	3.79	4.62	10.24	88.88	209.84	76.17	112.77	1369.04	51.35	209.84	180.02	23.25	30.12	69.52	26.1	123.5	90.14	172.65	629.35	142.01	44.25	173.85	651.58	291.04	241.19	119.26	120.1	279.14	23.76	20.71	161.02	830.75	86.43	114.36	457.25	121.79	226.54	224.97	47.5	575.03	98.04	231.32	133.36	536.45	244.57	141.02	514.56	161.02	229.72	26.47	0.0	1119.56	1963.57	1477.58	825.0	1870.53
ZNF169	211.31	186.4	178.77	152.28	12.0	234.57	166.73	5.41	0.14	5.45	19.68	38.4	35.25	13.03	98.73	52.08	38.12	28.86	34.51	32.36	80.01	44.89	59.55	56.28	45.85	45.53	58.71	40.64	39.5	98.04	65.26	27.84	81.14	114.36	100.83	42.41	34.26	40.07	81.71	43.32	33.06	60.82	55.49	44.57	42.11	32.36	59.55	29.48	64.8	43.63	64.34	70.01	49.21	67.59	59.97	19.68	23.08	2.25	114.36	232.94	148.09	198.47	185.11
ZNF19	94.01	126.12	119.26	129.69	11.82	171.45	242.88	19.11	5.59	8.51	94.01	146.03	69.03	108.14	208.38	105.89	74.06	85.22	111.21	72.01	66.18	34.75	96.01	169.07	76.71	111.99	121.79	82.29	87.65	239.52	137.14	38.12	320.8	189.02	185.11	78.34	69.03	166.73	166.73	144.01	126.12	113.56	87.65	142.01	139.07	47.84	260.38	77.79	117.6	81.71	90.14	99.43	103.69	138.1	158.79	223.41	61.25	15.68	339.14	366.09	325.29	148.09	325.29
ZNF224	698.41	884.29	616.37	591.22	52.45	1023.0	660.68	40.93	27.44	29.48	73.54	180.02	123.5	141.02	616.37	265.87	187.71	206.94	64.34	172.65	221.86	94.67	237.86	486.75	239.52	368.65	432.53	107.38	265.87	688.78	363.56	186.4	384.34	251.48	239.52	361.04	166.73	361.04	567.1	189.02	139.07	616.37	215.77	155.5	135.24	145.02	633.73	126.12	248.0	182.55	351.14	318.57	253.23	368.65	226.54	283.05	103.69	30.12	563.18	555.41	624.99	612.11	612.11
ZNF23	323.03	529.06	361.04	346.29	66.18	353.59	373.81	34.51	32.13	41.22	155.5	123.5	126.12	108.9	289.02	100.83	205.5	137.14	100.83	131.51	137.14	113.56	85.82	242.88	105.89	186.4	194.36	89.51	170.25	291.04	183.82	215.77	211.31	169.07	236.21	104.42	132.44	197.09	275.28	218.79	136.19	231.32	127.0	139.07	181.28	102.97	373.81	128.79	165.57	132.44	273.37	113.56	93.35	291.04	121.79	125.24	85.22	55.49	318.57	279.14	303.44	186.4	351.14
ZNF248	264.03	287.01	348.71	346.29	30.12	420.68	543.96	22.43	21.94	30.12	57.08	111.99	115.16	109.66	267.73	85.82	140.04	171.45	71.5	113.56	85.22	101.54	56.68	201.25	130.6	141.02	182.55	90.77	150.17	217.27	242.88	152.28	150.17	187.71	181.28	69.03	73.54	134.3	189.02	127.0	84.04	159.9	57.08	130.6	125.24	73.03	163.28	89.51	182.55	100.13	165.57	177.53	153.34	198.47	134.3	130.6	67.59	54.72	248.0	595.34	356.05	387.02	438.59
ZNF251	693.58	961.07	633.73	825.0	71.0	547.75	607.87	33.06	22.1	26.67	82.87	132.44	116.78	74.58	612.11	143.01	138.1	126.12	83.45	83.45	107.38	94.01	146.03	269.6	96.01	224.97	163.28	80.57	178.77	234.57	223.41	195.72	178.77	246.28	202.66	124.37	92.05	180.02	314.17	135.24	81.14	305.55	127.89	172.65	159.9	76.71	214.27	142.01	158.79	124.37	283.05	151.22	146.03	249.73	120.94	98.04	56.28	18.43	796.86	642.59	796.86	638.15	1167.14
ZNF302	819.3	1151.06	1151.06	921.88	44.25	599.49	579.04	53.95	69.03	117.6	198.47	309.83	220.32	237.86	836.53	309.83	490.14	514.56	164.42	329.84	271.48	221.86	325.29	441.64	363.56	665.29	595.34	305.55	490.14	713.11	679.29	447.82	684.02	521.76	426.57	457.25	234.57	500.46	748.61	460.44	275.28	866.07	334.46	267.73	358.54	125.24	450.94	395.18	392.44	316.37	426.57	414.87	356.05	514.56	277.2	267.73	201.25	57.08	728.11	1216.75	1037.29	775.05	872.1
ZNF337	579.04	947.83	1073.91	1216.75	71.5	753.83	802.41	36.79	15.11	29.91	136.19	123.5	187.71	163.28	902.89	194.36	273.37	189.02	62.12	91.41	145.02	106.63	181.28	287.01	158.79	493.56	237.86	101.54	205.5	356.05	348.71	241.19	251.48	389.72	220.32	151.22	126.12	158.79	563.18	154.42	127.0	334.46	181.28	248.0	212.78	163.28	303.44	202.66	186.4	144.01	305.55	283.05	301.33	267.73	157.68	176.29	147.06	47.84	450.94	497.0	518.15	521.76	583.07
ZNF345	237.86	325.29	267.73	264.03	11.47	217.27	150.17	15.11	9.2	11.55	24.28	57.08	38.95	46.84	239.52	61.25	88.88	92.05	24.28	34.51	55.1	26.86	75.11	96.68	115.97	128.79	113.56	47.5	70.01	191.67	97.36	102.25	116.78	65.26	78.89	42.71	44.25	71.5	153.34	75.11	27.05	115.16	59.97	37.59	70.01	17.38	172.65	21.47	88.88	33.06	134.3	87.03	65.72	118.43	49.21	24.46	27.64	17.13	187.71	221.86	156.59	231.32	215.77
ZNF529	397.93	466.88	500.46	334.46	35.25	406.31	273.37	25.72	35.5	24.99	73.03	56.68	115.16	34.02	279.14	52.82	149.12	138.1	100.83	73.03	87.65	41.22	60.82	87.65	71.0	187.71	131.51	40.64	88.26	173.85	107.38	109.66	121.79	153.34	102.25	98.73	66.18	69.52	166.73	71.5	62.12	151.22	55.1	69.03	48.87	32.82	110.43	84.63	92.7	49.91	146.03	124.37	77.25	123.5	75.64	78.34	63.89	15.34	231.32	251.48	260.38	281.09	373.81
ZNF596	273.37	351.14	316.37	301.33	31.67	199.85	197.09	13.62	4.1	7.17	42.41	88.88	48.18	70.51	201.25	46.5	126.12	102.25	43.63	43.94	88.26	23.93	135.24	84.04	64.8	156.59	108.14	40.93	67.59	164.42	91.41	111.99	66.18	103.69	120.94	82.87	56.28	109.66	173.85	44.89	30.78	193.01	51.71	36.53	70.51	43.02	107.38	98.04	138.1	77.79	50.63	118.43	49.56	183.82	61.25	36.27	15.56	10.47	258.57	339.14	251.48	167.9	381.68
ZNF736	297.17	279.14	197.09	205.5	20.41	486.75	435.55	8.06	5.15	5.54	15.91	57.89	46.5	27.84	242.88	29.48	56.28	39.22	24.81	27.25	61.68	47.5	60.39	68.55	26.86	112.77	74.58	85.82	44.25	249.73	173.85	88.26	149.12	83.45	59.97	45.53	30.56	35.5	116.78	50.98	64.34	96.01	38.4	65.26	39.22	21.78	105.15	40.93	135.24	76.17	155.5	59.55	47.84	102.97	126.12	186.4	14.35	1.35	251.48	287.01	325.29	255.0	303.44
ZNF789	426.57	563.18	616.37	540.19	45.21	808.0	555.41	47.84	47.5	50.98	133.36	136.19	117.6	121.79	473.41	163.28	202.66	194.36	151.22	95.34	161.02	113.56	150.17	232.94	178.77	220.32	123.5	154.42	187.71	358.54	211.31	159.9	115.97	133.36	198.47	137.14	79.45	128.79	251.48	169.07	105.15	256.78	133.36	147.06	164.42	144.01	256.78	126.12	190.34	150.17	214.27	189.02	242.88	237.86	182.55	86.43	86.43	16.75	444.72	432.53	473.41	417.77	684.02
ZNF839	287.01	406.31	327.56	373.81	47.5	403.5	258.57	92.05	57.89	65.72	133.36	241.19	173.85	136.19	466.88	223.41	242.88	175.07	125.24	166.73	166.73	176.29	204.07	285.03	161.02	289.02	163.28	185.11	199.85	423.61	279.14	205.5	193.01	249.73	327.56	208.38	147.06	183.82	438.59	194.36	173.85	368.65	166.73	264.03	229.72	223.41	325.29	197.09	332.14	182.55	301.33	262.2	275.28	327.56	158.79	164.42	92.05	57.49	368.65	406.31	320.8	307.69	718.08
ZRANB2	2758.13	2855.44	3018.3	2224.63	309.83	1721.16	1651.0	123.5	155.5	295.11	693.58	669.92	693.58	521.76	1745.2	406.31	941.27	854.13	967.76	417.77	890.44	463.65	796.86	1059.11	1127.35	1259.69	1340.84	575.03	988.12	1540.37	1143.1	1417.35	1477.58	1233.75	1378.57	1417.35	387.02	967.76	1857.6	718.08	503.95	1378.57	791.35	1427.22	884.29	368.65	1183.45	633.73	878.17	819.3	1991.0	1037.29	688.78	1378.57	819.3	1340.84	620.67	251.48	2104.58	2956.17	2271.4	2133.97	2178.83
