	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.139YR.0226.SM.5IFEM	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJC.0526.SM.5RQKB	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.145LU.0526.SM.5O9AT	GTEX.14DAR.0226.SM.5S2PR	GTEX.OIZH.0526.SM.2HMKV	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ
ZC3H6	6.21	13.22	22.26	5.68	16.39	19.68	16.75	12.74	8.19	17.38	9.41	56.68	21.01	97.36	65.26	67.59	59.97	101.54	102.97	37.59	96.68	92.05	70.01	75.64	123.5	104.42	133.36	113.56	71.5	70.51	165.57	55.89	76.17	88.88	101.54	22.43	29.48	71.0	105.15	68.07	85.82	98.04	120.1	35.25	47.84	82.87	194.36	57.08	69.52	29.7	102.97	100.13	47.5	108.9	48.52	72.52	21.32
ZMYM5	25.54	86.43	66.18	25.35	77.25	67.12	73.54	52.45	53.57	55.89	90.77	107.38	67.59	199.85	88.88	190.34	154.42	301.33	169.07	78.89	204.07	211.31	138.1	131.51	220.32	211.31	265.87	187.71	165.57	167.9	318.57	106.63	198.47	183.82	212.78	90.14	105.89	105.89	249.73	164.42	198.47	260.38	334.46	96.01	84.63	201.25	295.11	147.06	195.72	141.02	251.48	253.23	124.37	204.07	246.28	155.5	72.52
ZNF117	24.63	11.38	15.34	4.46	6.84	15.56	11.38	27.25	5.96	33.06	16.15	57.89	36.01	113.56	44.25	169.07	36.27	228.13	157.68	38.95	147.06	30.56	85.82	100.83	156.59	62.12	185.11	190.34	26.67	295.11	132.44	43.94	83.45	21.94	142.01	14.45	20.71	36.01	181.28	33.3	139.07	100.13	148.09	53.57	37.05	76.17	511.0	98.04	281.09	63.0	73.03	201.25	88.26	57.08	75.11	36.27	21.32
ZNF136	23.42	43.32	38.67	18.16	23.42	30.56	41.81	53.57	25.91	36.27	32.59	148.09	73.03	180.02	94.67	119.26	143.01	239.52	129.69	122.64	181.28	197.09	74.58	121.79	234.57	297.17	406.31	283.05	246.28	155.5	450.94	111.21	147.06	145.02	305.55	128.79	122.64	138.1	309.83	133.36	234.57	172.65	289.02	114.36	110.43	195.72	444.72	124.37	124.37	173.85	133.36	265.87	143.01	152.28	146.03	218.79	150.17
ZNF254	35.0	75.64	75.11	24.99	80.57	72.52	98.73	24.63	20.71	47.5	39.79	66.65	23.59	559.28	57.89	142.01	85.22	547.75	154.42	50.27	281.09	248.0	277.2	105.15	387.02	368.65	518.15	403.5	412.0	279.14	503.95	92.05	325.29	167.9	277.2	61.68	59.55	101.54	226.54	152.28	336.79	420.68	529.06	59.55	63.0	209.84	603.67	122.64	166.73	170.25	234.57	264.03	84.04	134.3	116.78	187.71	39.79
ZNF445	21.63	25.72	25.17	22.1	32.82	26.86	36.01	12.55	12.83	33.54	24.46	52.08	50.98	88.26	94.67	136.19	155.5	189.02	140.04	75.64	141.02	90.77	65.72	96.01	171.45	102.25	120.1	232.94	127.89	88.26	155.5	57.08	70.01	76.71	147.06	94.67	62.56	84.04	164.42	57.89	212.78	127.89	293.07	35.5	60.82	80.57	115.97	53.57	135.24	45.21	127.0	205.5	84.63	100.13	92.05	90.77	59.97
ZNF506	198.47	53.19	20.26	25.35	30.56	18.03	22.26	29.06	21.47	61.68	39.22	93.35	58.3	432.53	83.45	336.79	208.38	624.99	381.68	76.17	269.6	202.66	271.48	127.0	420.68	127.89	249.73	603.67	281.09	175.07	521.76	293.07	231.32	185.11	332.14	109.66	136.19	156.59	353.59	96.68	633.73	320.8	460.44	229.72	102.25	172.65	587.13	170.25	224.97	60.82	400.71	412.0	251.48	417.77	262.2	234.57	84.63
ZNF83	128.79	82.87	43.94	7.63	35.5	68.55	87.65	17.9	9.63	40.07	118.43	363.56	181.28	941.27	438.59	595.34	785.88	1498.22	1407.55	253.23	808.0	299.25	836.53	503.95	921.88	511.0	1286.18	1183.45	693.58	748.61	1015.93	239.52	1175.27	273.37	902.89	123.5	312.0	299.25	1388.16	255.0	819.3	1639.59	688.78	199.85	187.71	718.08	1104.13	518.15	638.15	236.21	1073.91	860.08	507.46	896.64	555.41	629.35	198.47
ZNF841	15.0	26.1	22.92	12.93	20.26	30.12	33.78	6.06	15.68	22.1	33.06	38.67	54.33	149.12	37.59	120.94	226.54	291.04	283.05	50.98	161.02	73.54	75.64	73.54	256.78	101.54	133.36	209.84	73.03	94.67	146.03	42.71	87.03	108.9	81.71	146.03	91.41	57.49	137.14	67.12	285.03	153.34	145.02	44.89	38.12	85.82	244.57	101.54	84.63	31.45	115.97	262.2	90.77	52.82	131.51	128.79	54.72
ZNF91	47.84	70.01	76.71	35.76	72.52	92.05	70.01	34.02	53.57	51.71	102.25	144.01	48.18	612.11	84.04	262.2	154.42	329.84	307.69	75.11	616.37	195.72	285.03	170.25	540.19	251.48	579.04	599.49	361.04	285.03	591.22	130.6	157.68	293.07	575.03	136.19	81.71	181.28	660.68	112.77	616.37	656.11	540.19	69.03	125.24	275.28	954.43	232.94	223.41	94.67	579.04	575.03	150.17	389.72	248.0	332.14	47.84
ZRANB2	74.06	260.38	305.55	123.5	236.21	307.69	327.56	155.5	295.11	182.55	403.5	669.92	595.34	884.29	521.76	1081.39	854.13	1135.2	836.53	406.31	1733.13	775.05	454.09	825.0	780.44	2163.77	2047.0	1259.69	753.83	1331.57	1583.71	802.41	703.28	1417.35	1617.0	563.18	642.59	830.75	1806.78	1322.37	813.63	1088.92	1397.83	791.35	438.59	1008.9	1467.37	1427.22	848.22	521.76	1135.2	1044.52	1037.29	1721.16	1008.9	915.51	620.67
