	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
PRKAR1A	3235.01	1111.82	3639.7	1561.89	3847.29	1709.26	3103.19	2061.24	934.76	2240.11	1037.29	1757.34	890.44	1883.54	1844.76	2502.97	3716.2	1191.69	1745.2	1883.54	1508.65	3901.01	1561.89	2627.46	1628.26	1457.23	775.05	988.12	1073.91	1322.37	830.75	1991.0	1322.37	1685.71	1991.0	2573.36	2224.63	1250.98	2319.15	1242.34	1175.27	1457.23	1397.83	3443.31	1359.57	2915.45	1639.59	1233.75	1697.45	3081.75	1250.98	2193.99	1199.98	1819.35	1378.57	1295.13	1757.34	1529.73	1467.37	2739.08	2816.11	2451.44	2777.33	2573.36	3280.18	2627.46	2875.3	3589.58	2303.12	3419.52	3419.52
PRKD3	291.04	57.49	299.25	105.89	381.68	148.09	353.59	177.53	58.71	248.0	85.22	170.25	96.01	164.42	176.29	157.68	336.79	87.03	120.1	180.02	118.43	209.84	133.36	232.94	143.01	180.02	23.93	92.7	104.42	50.98	63.89	214.27	135.24	176.29	193.01	187.71	195.72	74.58	229.72	105.89	142.01	129.69	96.01	275.28	108.14	303.44	185.11	61.68	189.02	329.84	123.5	224.97	102.25	152.28	131.51	100.83	205.5	115.97	108.9	295.11	267.73	277.2	438.59	251.48	389.72	255.0	260.38	420.68	242.88	358.54	429.54
PRPF18	356.05	277.2	486.75	275.28	490.14	339.14	392.44	320.8	277.2	341.51	198.47	255.0	166.73	283.05	336.79	339.14	441.64	269.6	273.37	305.55	329.84	450.94	348.71	346.29	293.07	265.87	242.88	277.2	234.57	271.48	191.67	327.56	305.55	329.84	336.79	312.0	289.02	312.0	303.44	244.57	283.05	293.07	301.33	447.82	293.07	343.89	275.28	237.86	287.01	403.5	299.25	309.83	234.57	346.29	279.14	226.54	214.27	389.72	242.88	381.68	309.83	334.46	426.57	332.14	376.41	379.04	379.04	447.82	387.02	441.64	343.89
PTPN9	547.75	220.32	514.56	285.03	559.28	435.55	536.45	392.44	251.48	473.41	256.78	341.51	271.48	305.55	417.77	480.04	480.04	283.05	379.04	429.54	309.83	358.54	327.56	532.74	353.59	412.0	211.31	297.17	289.02	363.56	289.02	381.68	346.29	414.87	514.56	341.51	447.82	426.57	525.39	379.04	353.59	301.33	438.59	547.75	371.22	490.14	379.04	287.01	400.71	447.82	366.09	450.94	358.54	426.57	281.09	312.0	473.41	323.03	368.65	642.59	595.34	521.76	551.56	624.99	620.67	607.87	579.04	500.46	638.15	559.28	629.35
RAB11FIP2	255.0	52.82	249.73	79.45	251.48	101.54	215.77	187.71	46.84	148.09	67.59	119.26	72.01	112.77	123.5	117.6	226.54	85.82	90.14	165.57	106.63	195.72	134.3	209.84	124.37	141.02	45.21	68.07	73.54	56.68	66.65	159.9	108.9	120.94	137.14	151.22	185.11	114.36	134.3	87.65	91.41	96.01	111.21	285.03	73.03	212.78	124.37	66.65	101.54	237.86	130.6	202.66	75.11	97.36	108.9	100.13	118.43	100.13	92.05	177.53	223.41	171.45	291.04	162.14	277.2	167.9	143.01	426.57	152.28	291.04	325.29
RAB14	1313.23	769.69	1651.0	884.29	1487.87	896.64	1104.13	896.64	743.43	988.12	669.92	785.88	656.11	941.27	848.22	1030.12	1216.75	647.07	878.17	947.83	830.75	1225.22	974.5	1350.18	995.0	1143.1	638.15	412.0	688.78	934.76	518.15	1008.9	713.11	860.08	995.0	967.76	1088.92	909.17	1015.93	728.11	775.05	842.36	866.07	1427.22	941.27	1096.5	872.1	759.08	825.0	1286.18	921.88	1037.29	791.35	878.17	764.36	802.41	854.13	802.41	674.59	1233.75	1208.34	1030.12	1183.45	1051.79	1183.45	1250.98	988.12	1151.06	1088.92	1111.82	1286.18
RAP1B	1651.0	909.17	2400.97	1096.5	2739.08	1378.57	1883.54	1757.34	947.83	1794.29	642.59	1259.69	669.92	1259.69	1529.73	1551.09	2835.7	1037.29	1250.98	1769.57	1216.75	2133.97	1250.98	1508.65	1369.04	1437.15	733.19	1104.13	1447.15	1167.14	759.08	1794.29	1167.14	1250.98	1340.84	1583.71	1721.16	890.44	1378.57	1073.91	1467.37	1081.39	890.44	2119.22	1397.83	1896.65	1277.29	808.0	1369.04	2148.82	1437.15	1467.37	1159.07	1233.75	1313.23	1259.69	1242.34	1208.34	1242.34	2502.97	1519.15	2075.59	2895.31	1350.18	2627.46	1844.76	1844.76	2351.53	1870.53	2047.0	2335.28
RAP1GDS1	579.04	114.36	384.34	293.07	457.25	267.73	397.93	361.04	255.0	346.29	189.02	287.01	214.27	351.14	329.84	283.05	454.09	291.04	371.22	249.73	242.88	438.59	273.37	400.71	285.03	381.68	232.94	226.54	265.87	172.65	249.73	327.56	205.5	291.04	327.56	320.8	318.57	289.02	293.07	271.48	253.23	256.78	262.2	353.59	241.19	373.81	301.33	208.38	249.73	351.14	373.81	392.44	172.65	291.04	260.38	202.66	241.19	244.57	249.73	400.71	351.14	379.04	457.25	289.02	417.77	356.05	279.14	429.54	299.25	389.72	412.0
RBBP9	303.44	170.25	224.97	267.73	373.81	221.86	271.48	231.32	111.21	229.72	76.71	170.25	124.37	171.45	260.38	176.29	329.84	165.57	229.72	197.09	206.94	244.57	191.67	414.87	106.63	177.53	79.45	105.15	172.65	78.89	135.24	299.25	159.9	229.72	253.23	256.78	172.65	167.9	260.38	187.71	149.12	187.71	123.5	301.33	161.02	327.56	201.25	136.19	208.38	320.8	189.02	285.03	151.22	231.32	183.82	170.25	234.57	178.77	166.73	305.55	283.05	269.6	336.79	197.09	366.09	281.09	229.72	295.11	187.71	267.73	287.01
RBMS2	186.4	60.82	236.21	49.91	191.67	87.03	189.02	115.16	35.5	129.69	61.25	99.43	93.35	77.25	135.24	109.66	224.97	73.03	66.18	105.89	66.18	181.28	40.64	140.04	99.43	114.36	21.63	57.89	94.67	59.13	68.55	141.02	56.68	80.57	167.9	74.58	120.94	49.91	132.44	94.01	76.71	55.49	128.79	163.28	76.17	265.87	93.35	60.39	65.72	164.42	63.0	141.02	88.26	133.36	120.94	78.89	137.14	59.97	53.95	215.77	180.02	208.38	231.32	157.68	297.17	186.4	202.66	251.48	133.36	253.23	201.25
RECQL	348.71	80.01	490.14	93.35	435.55	208.38	343.89	157.68	56.68	220.32	127.0	204.07	120.94	158.79	217.27	187.71	320.8	97.36	109.66	137.14	149.12	291.04	131.51	246.28	129.69	217.27	51.35	67.12	120.94	119.26	76.17	285.03	102.25	212.78	209.84	159.9	256.78	146.03	209.84	122.64	129.69	151.22	155.5	320.8	107.38	366.09	156.59	88.26	172.65	320.8	138.1	251.48	125.24	182.55	140.04	106.63	153.34	96.68	103.69	312.0	295.11	297.17	447.82	212.78	412.0	297.17	299.25	463.65	283.05	420.68	444.72
RNF11	2384.37	693.58	2032.85	1594.73	2627.46	1378.57	2032.85	1477.58	463.65	1651.0	902.89	1304.15	967.76	1331.57	1561.89	1674.06	2573.36	1369.04	1350.18	1519.15	1250.98	2468.49	1167.14	1857.6	1001.93	1088.92	616.37	728.11	1023.0	890.44	1088.92	1378.57	769.69	1594.73	1583.71	1447.15	1806.78	1388.16	1697.45	1051.79	954.43	1127.35	1250.98	1991.0	791.35	1991.0	1216.75	808.0	1216.75	2004.85	974.5	1757.34	961.07	1304.15	1037.29	1159.07	1135.2	629.35	808.0	2047.0	1757.34	2104.58	2758.13	1508.65	2090.03	2061.24	1806.78	2609.3	1639.59	2351.53	2335.28
RNF14	1175.27	579.04	1175.27	780.44	1397.83	830.75	1259.69	954.43	532.74	941.27	336.79	708.18	518.15	808.0	759.08	1001.93	1225.22	624.99	791.35	819.3	921.88	1119.56	785.88	1216.75	713.11	819.3	536.45	647.07	728.11	660.68	587.13	1135.2	674.59	995.0	909.17	941.27	1127.35	775.05	1159.07	764.36	409.15	684.02	791.35	1378.57	651.58	1111.82	921.88	629.35	842.36	1259.69	796.86	1015.93	567.1	819.3	638.15	633.73	743.43	723.08	684.02	1477.58	1044.52	1286.18	1806.78	1135.2	1159.07	1208.34	967.76	1175.27	1096.5	1313.23	1250.98
RNF180	176.29	31.9	126.12	36.79	220.32	75.64	146.03	90.14	30.78	78.89	45.21	68.55	32.59	61.25	100.83	88.88	151.22	21.16	50.27	86.43	75.64	113.56	78.89	104.42	16.27	67.12	11.38	41.52	74.06	22.43	9.48	97.36	68.55	106.63	68.55	120.1	92.05	94.01	107.38	56.68	47.84	63.0	38.12	167.9	50.63	128.79	67.59	26.67	72.52	152.28	86.43	135.24	37.32	63.45	57.08	32.82	63.45	48.18	73.03	120.94	157.68	126.12	209.84	91.41	177.53	136.19	107.38	218.79	102.25	153.34	201.25
ROR1	101.54	4.39	111.21	5.11	101.54	33.54	102.97	57.08	19.11	41.52	1.85	38.12	73.54	20.71	69.52	46.5	104.42	6.94	25.35	44.25	23.59	64.34	26.1	46.18	31.45	38.12	0.54	14.67	30.56	17.0	20.41	126.12	39.22	53.19	58.71	54.72	60.39	18.7	58.3	24.99	26.47	24.63	10.79	97.36	15.91	105.15	46.84	11.3	44.89	109.66	24.99	66.18	19.97	18.97	27.25	16.88	28.65	32.13	28.24	43.32	102.25	71.0	108.14	65.72	84.63	61.25	73.03	143.01	63.0	72.01	145.02
RP11-159G9.5	175.07	5.73	173.85	54.72	206.94	59.13	202.66	79.45	6.41	112.77	24.46	39.79	26.86	68.55	62.56	74.06	152.28	38.12	38.67	97.36	76.17	176.29	41.81	127.89	37.05	75.64	4.31	11.13	12.83	12.18	37.32	82.29	20.11	47.17	84.63	95.34	108.14	74.06	108.9	62.56	49.91	48.52	85.22	138.1	12.0	126.12	88.26	14.35	45.85	169.07	55.49	131.51	9.7	51.71	52.82	4.39	62.56	22.43	29.7	137.14	140.04	127.89	163.28	54.33	148.09	131.51	100.83	150.17	74.06	133.36	149.12
RPP14	348.71	214.27	368.65	273.37	343.89	303.44	305.55	368.65	220.32	371.22	255.0	299.25	221.86	212.78	251.48	277.2	392.44	226.54	248.0	323.03	256.78	351.14	181.28	303.44	265.87	253.23	211.31	217.27	217.27	221.86	265.87	348.71	273.37	285.03	295.11	329.84	341.51	253.23	329.84	221.86	289.02	205.5	295.11	381.68	271.48	353.59	303.44	206.94	297.17	540.19	361.04	273.37	231.32	303.44	226.54	212.78	358.54	251.48	246.28	348.71	397.93	395.18	432.53	332.14	426.57	316.37	312.0	346.29	334.46	432.53	403.5
SEC23A	612.11	84.04	543.96	78.89	571.05	356.05	463.65	358.54	58.71	353.59	99.43	307.69	120.94	147.06	361.04	305.55	616.37	126.12	177.53	366.09	150.17	417.77	212.78	264.03	223.41	232.94	41.22	155.5	224.97	143.01	116.78	327.56	212.78	379.04	384.34	185.11	334.46	88.26	483.38	129.69	189.02	178.77	125.24	620.67	190.34	703.28	208.38	108.9	256.78	457.25	157.68	435.55	175.07	206.94	255.0	140.04	303.44	146.03	158.79	521.76	583.07	785.88	928.3	397.93	802.41	460.44	536.45	1088.92	438.59	890.44	947.83
SEPT2	4575.41	2502.97	5633.22	2720.15	6294.04	3690.52	4358.66	4481.23	2178.83	4607.24	2209.26	3190.46	2287.2	2935.74	3742.05	4038.61	4903.87	2555.58	3395.89	2816.11	3190.46	4836.35	3081.75	4239.45	4543.8	4038.61	2193.99	2485.67	2739.08	3491.39	2319.15	4575.41	2796.65	4239.45	3443.31	4419.52	3742.05	2956.17	4123.49	3235.01	3060.45	2835.7	3564.78	4802.93	2915.45	4802.93	3039.3	2664.15	3540.14	5041.77	3349.13	4802.93	3103.19	3212.66	2976.74	3419.52	4450.27	3614.55	3146.52	5041.77	5183.54	5041.77	7966.99	4123.49	7230.1	4802.93	4298.64	5954.47	4607.24	5479.15	5672.41
SHROOM4	48.87	13.12	44.25	4.98	85.82	17.77	42.11	18.97	5.19	25.54	16.51	21.63	18.84	12.45	26.1	33.06	52.08	25.91	12.83	25.54	10.16	31.9	7.75	20.11	15.34	31.9	14.35	11.47	18.03	11.21	7.69	20.71	9.41	25.17	43.02	21.32	33.78	7.46	24.99	12.18	15.11	20.86	11.73	22.75	20.71	54.72	18.84	10.55	14.78	38.95	7.11	38.12	22.92	34.75	24.99	23.25	36.53	13.83	8.51	46.84	48.18	50.98	41.52	54.72	86.43	46.18	49.56	90.14	49.56	64.8	55.89
SMAD4	1685.71	397.93	1819.35	819.3	1651.0	1066.48	1322.37	890.44	293.07	1096.5	429.54	842.36	748.61	1127.35	842.36	981.29	1350.18	651.58	921.88	1369.04	1059.11	1709.26	848.22	1369.04	514.56	1088.92	206.94	412.0	454.09	336.79	341.51	1051.79	511.0	934.76	1175.27	1111.82	1674.06	872.1	1685.71	753.83	872.1	684.02	728.11	1896.65	551.56	1304.15	780.44	341.51	934.76	1286.18	915.51	1605.83	450.94	878.17	638.15	379.04	753.83	450.94	559.28	1498.22	1551.09	1540.37	1733.13	1350.18	1733.13	1529.73	1467.37	1477.58	1313.23	1896.65	1617.0
SNX18	309.83	119.26	237.86	112.77	316.37	167.9	256.78	185.11	66.65	205.5	96.01	163.28	132.44	193.01	186.4	158.79	212.78	51.71	143.01	180.02	198.47	163.28	173.85	248.0	223.41	211.31	60.82	96.01	124.37	87.03	48.52	137.14	120.94	150.17	162.14	155.5	202.66	161.02	151.22	143.01	162.14	162.14	107.38	256.78	137.14	271.48	156.59	117.6	128.79	224.97	149.12	283.05	92.7	126.12	143.01	115.16	147.06	115.16	115.97	199.85	220.32	185.11	223.41	133.36	223.41	271.48	155.5	234.57	170.25	156.59	265.87
SNX19	909.17	389.72	909.17	698.41	961.07	575.03	1059.11	660.68	309.83	796.86	239.52	543.96	454.09	698.41	486.75	612.11	1037.29	417.77	718.08	551.56	551.56	708.18	432.53	575.03	327.56	825.0	303.44	438.59	341.51	251.48	325.29	723.08	412.0	616.37	642.59	642.59	848.22	866.07	607.87	536.45	575.03	518.15	708.18	921.88	314.17	813.63	775.05	450.94	684.02	796.86	532.74	860.08	432.53	575.03	412.0	406.31	493.56	503.95	444.72	775.05	633.73	656.11	603.67	567.1	775.05	620.67	713.11	1216.75	642.59	642.59	738.29
SPIN1	1216.75	320.8	1295.13	575.03	1304.15	718.08	1216.75	872.1	341.51	1030.12	587.13	665.29	438.59	688.78	759.08	819.3	1427.22	476.71	629.35	775.05	638.15	1008.9	599.49	1044.52	934.76	1008.9	291.04	343.89	547.75	480.04	595.34	791.35	620.67	878.17	947.83	854.13	854.13	743.43	848.22	599.49	616.37	591.22	607.87	1111.82	480.04	1135.2	679.29	361.04	713.11	1216.75	836.53	902.89	587.13	723.08	529.06	660.68	780.44	507.46	642.59	1008.9	1159.07	1167.14	1447.15	921.88	1369.04	1066.48	928.3	1350.18	921.88	1096.5	1508.65
SPOP	1457.23	890.44	1819.35	813.63	1662.49	1359.57	1519.15	1457.23	967.76	1447.15	603.67	1467.37	723.08	1023.0	1447.15	1651.0	1639.59	684.02	1259.69	1963.57	1081.39	1551.09	1073.91	1540.37	1059.11	1051.79	583.07	1008.9	896.64	1044.52	738.29	1417.35	1208.34	1529.73	1467.37	1143.1	1199.98	791.35	1883.54	848.22	1397.83	1111.82	1111.82	1909.85	1295.13	1519.15	1295.13	854.13	1359.57	1467.37	928.3	1322.37	896.64	981.29	961.07	728.11	1242.34	1175.27	1066.48	1508.65	1594.73	2417.67	2682.69	1662.49	1757.34	1540.37	1407.55	2178.83	1551.09	1769.57	2178.83
SSPN	242.88	7.0	258.57	41.81	327.56	113.56	289.02	143.01	3.72	153.34	5.96	133.36	57.08	87.03	159.9	126.12	275.28	22.1	46.84	138.1	67.12	223.41	57.89	122.64	35.0	94.67	0.24	22.1	69.03	23.25	12.09	125.24	56.68	181.28	194.36	78.34	161.02	10.0	165.57	87.03	115.16	79.45	35.76	217.27	47.17	323.03	112.77	15.11	64.34	277.2	42.11	199.85	59.97	109.66	63.45	33.54	127.0	43.63	47.17	287.01	281.09	361.04	412.0	220.32	518.15	237.86	291.04	332.14	170.25	281.09	450.94
SSX2IP	287.01	72.52	251.48	110.43	265.87	146.03	220.32	150.17	43.02	176.29	74.06	120.94	100.83	127.89	176.29	146.03	267.73	92.05	128.79	201.25	137.14	191.67	114.36	215.77	126.12	136.19	96.68	67.12	97.36	48.18	96.01	209.84	106.63	156.59	141.02	156.59	193.01	131.51	142.01	102.97	88.26	119.26	120.94	262.2	67.12	264.03	124.37	65.72	129.69	244.57	129.69	189.02	86.43	129.69	100.13	116.78	110.43	97.36	124.37	199.85	197.09	186.4	420.68	206.94	316.37	237.86	177.53	389.72	185.11	297.17	295.11
TAF13	1015.93	902.89	954.43	1073.91	1277.29	902.89	884.29	842.36	426.57	902.89	336.79	967.76	497.0	775.05	825.0	896.64	1268.46	733.19	718.08	854.13	947.83	947.83	921.88	1044.52	748.61	713.11	559.28	723.08	890.44	860.08	395.18	909.17	656.11	825.0	669.92	1008.9	909.17	651.58	825.0	651.58	612.11	791.35	748.61	1350.18	842.36	961.07	656.11	713.11	595.34	988.12	480.04	954.43	688.78	775.05	728.11	651.58	660.68	854.13	642.59	1295.13	909.17	872.1	1199.98	775.05	1037.29	1030.12	708.18	967.76	878.17	1008.9	947.83
TAF9B	529.06	212.78	647.07	312.0	660.68	450.94	547.75	381.68	255.0	476.71	339.14	373.81	248.0	392.44	397.93	476.71	679.29	232.94	435.55	414.87	381.68	583.07	348.71	633.73	444.72	490.14	273.37	307.69	400.71	348.71	260.38	412.0	384.34	497.0	379.04	460.44	447.82	384.34	511.0	239.52	291.04	312.0	343.89	708.18	441.64	450.94	438.59	301.33	438.59	616.37	441.64	429.54	381.68	303.44	395.18	267.73	406.31	373.81	450.94	567.1	575.03	529.06	713.11	409.15	633.73	612.11	361.04	607.87	507.46	518.15	620.67
TCF12	941.27	221.86	896.64	334.46	872.1	435.55	825.0	567.1	249.73	571.05	358.54	486.75	444.72	563.18	595.34	500.46	759.08	329.84	460.44	551.56	435.55	988.12	412.0	791.35	583.07	651.58	195.72	229.72	366.09	314.17	361.04	603.67	353.59	616.37	651.58	620.67	708.18	525.39	587.13	423.61	384.34	423.61	414.87	728.11	312.0	842.36	507.46	258.57	480.04	878.17	334.46	728.11	325.29	483.38	343.89	323.03	511.0	346.29	435.55	743.43	733.19	713.11	909.17	603.67	1037.29	629.35	669.92	1135.2	651.58	733.19	947.83
TCF4	473.41	53.19	379.04	59.97	547.75	171.45	432.53	212.78	17.51	223.41	74.58	215.77	144.01	181.28	223.41	204.07	409.15	126.12	123.5	201.25	122.64	346.29	86.43	212.78	163.28	195.72	23.76	72.01	129.69	57.89	91.41	198.47	93.35	183.82	305.55	159.9	305.55	32.13	229.72	94.67	139.07	113.56	97.36	279.14	93.35	336.79	130.6	65.26	143.01	358.54	78.34	237.86	130.6	153.34	149.12	125.24	164.42	78.89	59.97	332.14	305.55	379.04	363.56	217.27	500.46	293.07	341.51	473.41	255.0	341.51	441.64
TEAD1	348.71	36.53	299.25	67.12	341.51	169.07	293.07	258.57	21.94	205.5	50.27	163.28	105.89	105.15	214.27	201.25	341.51	51.71	150.17	224.97	108.14	176.29	102.97	212.78	107.38	161.02	21.32	66.18	105.89	49.91	77.79	208.38	111.21	228.13	237.86	146.03	211.31	63.45	269.6	115.97	90.14	113.56	88.88	387.02	98.73	389.72	148.09	68.07	146.03	320.8	166.73	267.73	127.89	155.5	127.89	107.38	178.77	70.51	88.88	241.19	420.68	291.04	384.34	291.04	432.53	295.11	264.03	536.45	258.57	406.31	503.95
TMEM167B	961.07	599.49	1059.11	674.59	1030.12	860.08	915.51	665.29	371.22	791.35	460.44	624.99	486.75	698.41	674.59	759.08	947.83	540.19	595.34	718.08	718.08	947.83	669.92	872.1	802.41	603.67	336.79	450.94	500.46	603.67	480.04	759.08	532.74	775.05	743.43	656.11	915.51	688.78	921.88	579.04	559.28	575.03	547.75	1167.14	738.29	902.89	660.68	555.41	591.22	941.27	497.0	791.35	571.05	674.59	603.67	587.13	633.73	514.56	511.0	967.76	1023.0	974.5	1023.0	753.83	928.3	909.17	921.88	808.0	819.3	1088.92	1037.29
TMOD2	81.14	29.06	73.54	15.68	103.69	39.79	78.34	43.94	20.86	47.17	6.94	32.36	23.42	22.75	41.52	52.45	126.12	28.04	27.84	29.7	32.82	111.21	24.28	46.84	38.12	49.56	11.82	19.82	18.03	17.25	13.83	45.21	27.64	44.89	46.84	49.21	56.28	14.24	56.28	20.86	20.26	21.32	20.71	64.34	34.26	64.8	43.63	24.81	32.82	51.71	24.46	47.5	32.82	36.01	31.67	36.27	72.52	23.76	28.24	61.68	52.45	76.17	81.14	49.21	98.73	54.72	59.97	85.82	66.18	92.05	63.89
TOR1AIP1	1073.91	325.29	1008.9	660.68	1340.84	595.34	902.89	603.67	283.05	688.78	381.68	638.15	353.59	656.11	660.68	738.29	1340.84	366.09	460.44	808.0	457.25	866.07	665.29	1037.29	567.1	651.58	226.54	336.79	450.94	629.35	332.14	713.11	450.94	669.92	830.75	708.18	813.63	486.75	1044.52	490.14	476.71	480.04	607.87	1096.5	567.1	988.12	665.29	376.41	518.15	1023.0	470.14	854.13	454.09	638.15	521.76	414.87	642.59	457.25	500.46	1044.52	1111.82	1167.14	1407.55	1066.48	1359.57	1051.79	1023.0	1369.04	848.22	1359.57	1397.83
TWSG1	769.69	193.01	1242.34	208.38	1030.12	397.93	698.41	679.29	113.56	571.05	289.02	392.44	287.01	406.31	332.14	595.34	1051.79	325.29	409.15	633.73	384.34	860.08	463.65	698.41	214.27	454.09	84.04	316.37	368.65	287.01	323.03	785.88	412.0	483.38	507.46	638.15	688.78	483.38	473.41	316.37	348.71	231.32	309.83	1044.52	318.57	679.29	376.41	358.54	373.81	872.1	507.46	669.92	314.17	234.57	457.25	703.28	368.65	426.57	348.71	915.51	785.88	579.04	748.61	532.74	836.53	567.1	444.72	961.07	603.67	551.56	995.0
UBE2A	967.76	802.41	1111.82	759.08	1175.27	928.3	1008.9	819.3	629.35	1008.9	656.11	780.44	563.18	743.43	909.17	995.0	1088.92	748.61	723.08	813.63	872.1	1066.48	854.13	1008.9	660.68	902.89	802.41	780.44	884.29	633.73	599.49	988.12	769.69	842.36	860.08	791.35	791.35	651.58	866.07	733.19	669.92	718.08	842.36	1066.48	890.44	954.43	830.75	764.36	796.86	1001.93	981.29	836.53	848.22	860.08	836.53	848.22	733.19	854.13	830.75	1340.84	866.07	1127.35	1397.83	967.76	1225.22	1023.0	928.3	1081.39	1088.92	1104.13	1151.06
UBR1	336.79	90.14	307.69	148.09	327.56	161.02	265.87	182.55	88.26	183.82	37.59	177.53	105.15	170.25	181.28	214.27	281.09	96.68	103.69	178.77	172.65	262.2	149.12	265.87	163.28	144.01	58.3	78.89	94.67	124.37	36.79	239.52	108.14	149.12	214.27	189.02	255.0	128.79	206.94	148.09	142.01	138.1	155.5	279.14	120.94	237.86	180.02	102.97	157.68	267.73	75.11	264.03	96.01	183.82	98.04	129.69	169.07	122.64	101.54	269.6	265.87	206.94	249.73	205.5	267.73	258.57	231.32	316.37	248.0	255.0	293.07
UBTD2	397.93	191.67	343.89	170.25	420.68	194.36	327.56	265.87	173.85	299.25	85.82	205.5	140.04	182.55	232.94	208.38	366.09	185.11	244.57	253.23	215.77	264.03	226.54	318.57	258.57	287.01	124.37	170.25	175.07	190.34	135.24	248.0	193.01	223.41	232.94	264.03	277.2	157.68	248.0	195.72	197.09	183.82	202.66	348.71	211.31	301.33	224.97	157.68	202.66	381.68	190.34	255.0	190.34	202.66	229.72	256.78	205.5	194.36	204.07	314.17	307.69	256.78	351.14	242.88	323.03	277.2	237.86	334.46	267.73	312.0	403.5
VEZT	890.44	473.41	1447.15	607.87	1143.1	599.49	819.3	743.43	332.14	860.08	660.68	555.41	629.35	612.11	514.56	587.13	836.53	947.83	571.05	819.3	583.07	866.07	567.1	791.35	928.3	842.36	406.31	454.09	607.87	612.11	493.56	599.49	454.09	656.11	733.19	679.29	759.08	753.83	616.37	511.0	642.59	480.04	813.63	825.0	507.46	713.11	620.67	567.1	595.34	878.17	555.41	791.35	579.04	603.67	567.1	656.11	571.05	514.56	450.94	934.76	791.35	830.75	1051.79	603.67	995.0	723.08	753.83	954.43	769.69	860.08	743.43
