	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
NOM1	197.09	214.27	167.9	211.31	177.53	155.5	177.53	220.32	279.14	251.48	305.55	281.09	318.57	187.71	194.36	256.78	180.02	325.29	137.14	220.32	273.37	201.25	193.01	197.09	206.94	194.36	191.67	189.02	182.55	518.15	212.78	220.32	248.0	435.55	239.52	217.27	169.07	384.34	135.24	187.71	94.01	110.43	116.78	113.56	140.04	66.18	97.36	92.7	137.14	148.09	166.73	132.44	110.43	155.5	106.63	94.67	135.24	121.79	113.56	121.79	94.01	166.73	152.28	134.3	96.01	138.1	154.42	162.14	116.78	96.68	85.82	182.55	83.45	70.01	120.1	56.68	90.77	136.19	202.66	146.03	102.25	161.02	149.12	139.07	102.97	124.37	150.17	221.86	109.66	152.28	54.72	135.24	132.44	234.57	81.14	63.89	94.01	107.38	97.36	98.04	108.14	127.0	76.71
NUP98	1331.57	1111.82	518.15	1199.98	967.76	748.61	909.17	559.28	1340.84	708.18	1044.52	796.86	1023.0	909.17	1127.35	607.87	1216.75	748.61	961.07	1119.56	884.29	890.44	693.58	1015.93	723.08	954.43	1350.18	785.88	928.3	1127.35	1030.12	1313.23	775.05	1936.53	1111.82	954.43	921.88	1199.98	540.19	728.11	583.07	329.84	603.67	547.75	543.96	490.14	500.46	379.04	536.45	775.05	1127.35	444.72	587.13	718.08	532.74	444.72	759.08	603.67	567.1	915.51	532.74	463.65	764.36	470.14	486.75	775.05	543.96	679.29	540.19	633.73	486.75	665.29	567.1	620.67	878.17	368.65	769.69	563.18	703.28	417.77	575.03	620.67	532.74	525.39	638.15	500.46	563.18	780.44	603.67	547.75	612.11	514.56	660.68	638.15	409.15	547.75	381.68	490.14	511.0	620.67	473.41	813.63	674.59
NXPE3	194.36	392.44	199.85	540.19	403.5	212.78	115.16	195.72	267.73	262.2	460.44	258.57	127.89	429.54	813.63	713.11	595.34	291.04	454.09	866.07	309.83	165.57	96.01	217.27	208.38	190.34	301.33	954.43	217.27	1104.13	221.86	336.79	825.0	143.01	264.03	351.14	220.32	98.73	31.9	33.3	27.25	13.62	33.06	24.81	40.36	7.57	13.12	17.64	44.89	14.03	42.71	22.43	15.11	31.22	42.71	19.25	48.52	30.56	112.77	72.01	45.21	60.39	44.57	27.84	50.98	40.93	48.87	40.36	13.72	44.57	36.27	5.92	16.51	47.5	20.41	15.34	71.0	44.25	15.45	11.38	71.5	31.0	29.7	53.57	13.52	19.25	56.28	75.64	21.32	15.68	23.93	15.0	35.25	16.27	19.11	8.85	34.75	34.51	21.47	17.64	35.25	100.83	83.45
OLFML2A	400.71	307.69	116.78	397.93	329.84	323.03	536.45	157.68	85.22	185.11	612.11	400.71	220.32	154.42	131.51	616.37	395.18	334.46	114.36	289.02	201.25	155.5	299.25	336.79	81.71	595.34	246.28	379.04	253.23	102.25	384.34	145.02	187.71	291.04	329.84	251.48	265.87	275.28	12.18	28.24	44.57	17.77	10.39	7.34	23.93	6.41	6.16	4.24	6.31	4.66	3.72	5.59	27.64	7.75	5.06	8.58	3.53	6.67	44.25	7.17	3.59	9.41	4.54	4.74	12.55	12.93	14.14	12.36	5.41	5.15	33.3	5.15	2.14	8.45	1.28	37.05	8.78	7.63	7.17	5.63	11.91	4.54	4.78	4.78	4.66	1.13	1.71	10.63	6.46	4.21	21.16	20.26	14.78	2.39	5.96	2.03	10.47	9.7	6.31	8.92	4.54	96.01	78.34
OR51E1	19.82	25.35	38.67	63.0	13.83	19.53	24.99	36.53	5.45	23.59	68.07	10.31	31.9	14.45	3.14	86.43	22.1	6.01	18.84	20.56	27.05	11.82	23.25	31.67	7.51	63.0	11.91	20.56	12.27	12.18	34.75	4.62	19.68	8.65	26.28	20.26	15.91	18.29	3.69	4.35	1.27	5.36	0.0	0.0	7.63	0.55	0.0	0.0	1.66	0.0	0.51	0.0	0.0	0.0	6.31	0.0	0.0	1.91	8.25	0.32	0.0	5.11	0.37	0.33	0.8	0.39	0.0	1.23	0.35	0.37	10.08	0.33	0.0	0.0	0.0	14.89	0.75	0.71	0.0	0.32	0.4	0.37	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	1.22	2.46	0.0	0.34	0.0	7.69	0.0	0.37	8.92	5.45	205.5	511.0
ORM1	14.03	13.42	21.16	8.92	35.25	5.92	18.16	16.03	63.45	36.27	0.0	0.88	57.89	164.42	1.2	3.23	20.11	30.34	177.53	19.11	8.38	12.55	3.96	4.13	56.28	1.58	48.52	10.96	0.0	17.25	1.17	102.25	57.08	0.0	1.6	132.44	381.68	14.03	1246973.04	561916.97	811368.76	1282030.25	1864037.21	839981.65	1578364.61	1264380.15	434801.29	1012856.65	1524599.69	822695.06	1155430.26	1383603.33	1255646.43	851707.37	1026995.62	1751305.3	1916442.45	1890058.21	2156109.97	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	3313672.43	1131651.83	1775752.63	1916442.45	3780117.42	4165330.83	1956711.0	2986448.72	2082664.91	3313672.43	1355129.16	2617937.91	2654482.97	5572911.22	8505707.6	1851161.35	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1308968.45	1656835.72	1600397.78	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	2068278.89	1739208.14	1715263.94	3223059.86
OSBPL1A	679.29	1340.84	444.72	884.29	447.82	579.04	638.15	571.05	1088.92	928.3	2796.65	902.89	1051.79	332.14	1437.15	995.0	748.61	1191.69	320.8	830.75	813.63	941.27	819.3	1427.22	785.88	679.29	1008.9	1191.69	483.38	1359.57	426.57	674.59	941.27	981.29	595.34	1551.09	483.38	785.88	193.01	287.01	209.84	157.68	309.83	153.34	420.68	183.82	195.72	260.38	366.09	164.42	305.55	325.29	232.94	271.48	406.31	91.41	332.14	181.28	204.07	688.78	473.41	297.17	555.41	147.06	204.07	591.22	392.44	236.21	397.93	518.15	371.22	221.86	190.34	244.57	98.73	165.57	214.27	287.01	450.94	128.79	201.25	480.04	320.8	1081.39	536.45	226.54	241.19	190.34	106.63	183.82	438.59	122.64	435.55	412.0	87.65	70.51	307.69	318.57	432.53	379.04	325.29	353.59	511.0
PAXIP1	239.52	283.05	229.72	389.72	366.09	212.78	244.57	295.11	348.71	291.04	529.06	343.89	480.04	202.66	896.64	423.61	587.13	693.58	323.03	198.47	429.54	363.56	239.52	420.68	246.28	693.58	426.57	206.94	138.1	1088.92	791.35	253.23	303.44	785.88	236.21	518.15	201.25	224.97	76.71	129.69	106.63	68.55	86.43	109.66	108.14	69.52	49.91	73.03	95.34	67.59	63.89	78.89	86.43	100.13	102.25	64.34	88.88	64.8	90.14	86.43	97.36	59.55	44.89	81.71	62.12	111.99	48.52	96.68	51.71	130.6	115.16	66.65	105.15	108.14	72.52	71.0	52.45	100.83	56.68	119.26	92.05	78.89	82.29	63.89	87.03	80.01	60.82	116.78	41.52	81.14	59.55	130.6	100.83	69.52	62.12	22.26	49.21	101.54	69.03	101.54	89.51	187.71	127.89
PAXIP1-AS2	73.54	197.09	63.45	94.01	127.89	63.89	85.82	74.58	116.78	70.51	242.88	158.79	134.3	52.45	129.69	120.1	113.56	220.32	127.89	123.5	89.51	134.3	66.18	189.02	88.88	139.07	128.79	147.06	80.57	220.32	162.14	87.03	118.43	187.71	152.28	151.22	94.67	37.32	56.28	62.12	85.82	63.0	72.01	88.26	72.52	47.17	16.51	84.63	63.45	55.1	40.64	82.29	60.82	87.03	120.1	66.18	73.03	45.85	92.05	68.55	135.24	41.52	66.18	85.22	41.52	149.12	37.32	76.17	42.41	52.08	108.9	44.25	80.57	142.01	57.49	54.72	69.03	135.24	49.91	68.07	135.24	43.32	67.12	55.1	52.45	65.26	42.71	63.0	38.67	72.01	105.15	82.87	64.8	87.65	53.95	36.27	55.49	97.36	78.34	67.59	96.01	102.97	147.06
PEA15	6037.61	4181.07	4543.8	4769.75	9808.75	3982.99	5112.16	2816.11	3928.15	6699.25	10585.95	2271.4	5403.7	5517.27	3257.52	4298.64	7695.57	3768.09	3212.66	5872.48	4328.55	3742.05	3395.89	5479.15	3614.55	34158.52	5183.54	5872.48	5076.84	2018.8	5006.93	5366.37	4704.07	16496.96	3257.52	7180.15	3614.55	4298.64	665.29	842.36	954.43	490.14	819.3	660.68	842.36	283.05	575.03	511.0	1023.0	490.14	547.75	848.22	532.74	633.73	915.51	567.1	819.3	669.92	1628.26	1936.53	1015.93	536.45	688.78	392.44	543.96	934.76	616.37	457.25	743.43	961.07	941.27	616.37	500.46	928.3	872.1	371.22	764.36	1447.15	473.41	791.35	748.61	902.89	624.99	647.07	521.76	633.73	555.41	2758.13	480.04	503.95	693.58	497.0	896.64	438.59	426.57	473.41	555.41	836.53	723.08	1001.93	825.0	2976.74	3190.46
PHF6	241.19	361.04	209.84	336.79	255.0	151.22	211.31	466.88	358.54	325.29	397.93	325.29	318.57	246.28	392.44	684.02	336.79	295.11	201.25	417.77	518.15	301.33	150.17	323.03	267.73	332.14	341.51	242.88	211.31	371.22	239.52	339.14	432.53	387.02	483.38	409.15	199.85	356.05	65.72	96.01	78.34	54.33	76.71	80.01	96.01	42.41	36.27	57.89	75.11	36.79	47.84	82.87	59.55	90.14	111.99	49.21	81.71	90.77	93.35	59.55	52.08	58.3	80.01	120.94	36.01	111.21	72.52	115.16	53.57	67.59	99.43	48.18	43.94	85.22	20.11	62.56	65.26	107.38	36.53	66.65	93.35	74.58	61.68	47.17	65.26	80.01	52.45	85.82	45.53	72.01	105.15	67.59	61.68	76.71	49.21	35.0	50.98	81.14	55.49	24.11	82.29	157.68	151.22
PHIP	209.84	314.17	224.97	285.03	258.57	159.9	241.19	301.33	215.77	334.46	412.0	279.14	297.17	363.56	246.28	336.79	466.88	332.14	182.55	265.87	146.03	165.57	167.9	312.0	287.01	339.14	269.6	215.77	336.79	177.53	155.5	251.48	353.59	195.72	271.48	525.39	215.77	353.59	47.17	84.04	65.26	48.52	54.33	73.03	94.67	33.06	9.63	39.79	49.91	33.3	46.5	63.45	46.5	65.26	69.03	34.51	73.54	53.95	120.1	84.04	35.76	42.71	27.84	96.01	29.7	159.9	75.11	75.64	36.27	78.89	82.87	67.59	15.68	55.89	27.84	23.25	27.84	68.07	58.3	40.07	46.18	54.72	63.0	47.5	46.84	69.03	63.0	128.79	26.67	53.57	67.12	41.81	78.34	60.82	43.02	14.45	71.5	55.49	46.18	52.82	41.81	130.6	80.57
PIAS2	202.66	293.07	166.73	447.82	191.67	165.57	185.11	212.78	473.41	285.03	473.41	253.23	441.64	237.86	323.03	293.07	351.14	325.29	212.78	351.14	262.2	253.23	198.47	260.38	217.27	204.07	231.32	237.86	150.17	551.56	118.43	237.86	267.73	363.56	144.01	267.73	221.86	312.0	141.02	138.1	149.12	97.36	164.42	143.01	142.01	81.14	96.01	100.13	112.77	87.03	103.69	155.5	122.64	133.36	169.07	107.38	138.1	134.3	114.36	146.03	157.68	139.07	151.22	100.83	134.3	214.27	229.72	143.01	152.28	215.77	147.06	182.55	98.04	159.9	171.45	85.22	113.56	190.34	159.9	99.43	190.34	137.14	166.73	194.36	158.79	126.12	181.28	164.42	89.51	165.57	102.97	92.7	136.19	185.11	105.89	64.34	152.28	105.15	159.9	110.43	167.9	248.0	435.55
PIK3C2A	669.92	587.13	224.97	412.0	185.11	191.67	318.57	209.84	540.19	438.59	791.35	327.56	500.46	387.02	476.71	612.11	878.17	497.0	327.56	624.99	423.61	305.55	182.55	559.28	204.07	518.15	473.41	476.71	332.14	265.87	476.71	575.03	884.29	1073.91	915.51	551.56	195.72	414.87	154.42	181.28	149.12	98.73	181.28	167.9	211.31	87.65	23.93	95.34	112.77	90.77	150.17	165.57	128.79	189.02	181.28	97.36	237.86	111.99	127.89	312.0	293.07	150.17	212.78	156.59	80.57	403.5	358.54	150.17	150.17	414.87	185.11	135.24	107.38	177.53	228.13	67.12	111.99	181.28	171.45	71.0	135.24	208.38	242.88	191.67	208.38	113.56	206.94	363.56	87.03	144.01	97.36	115.97	194.36	211.31	92.7	77.79	211.31	131.51	167.9	224.97	205.5	305.55	297.17
PIK3C3	854.13	995.0	819.3	1073.91	769.69	759.08	836.53	947.83	1030.12	733.19	1359.57	642.59	995.0	1277.29	1225.22	1467.37	902.89	1508.65	896.64	1277.29	819.3	698.41	825.0	954.43	796.86	872.1	1167.14	974.5	1001.93	1322.37	493.56	988.12	1216.75	1781.89	612.11	1259.69	947.83	1427.22	563.18	454.09	511.0	329.84	651.58	525.39	514.56	400.71	325.29	518.15	583.07	457.25	426.57	591.22	406.31	412.0	563.18	423.61	612.11	438.59	638.15	791.35	486.75	521.76	688.78	387.02	616.37	796.86	872.1	620.67	412.0	688.78	518.15	688.78	392.44	420.68	753.83	547.75	624.99	693.58	305.55	384.34	591.22	497.0	447.82	299.25	532.74	332.14	507.46	743.43	454.09	629.35	511.0	486.75	444.72	373.81	559.28	420.68	1037.29	518.15	432.53	371.22	688.78	1030.12	780.44
PLEKHH1	81.71	215.77	79.45	221.86	323.03	138.1	206.94	67.12	152.28	251.48	376.41	638.15	373.81	17.38	299.25	58.3	511.0	395.18	64.34	62.12	325.29	387.02	181.28	130.6	143.01	115.97	114.36	96.68	232.94	400.71	228.13	74.58	269.6	273.37	37.05	154.42	101.54	314.17	40.64	34.75	30.56	38.12	34.75	19.68	19.68	27.05	9.93	16.51	22.59	15.56	13.42	24.99	38.12	24.28	39.22	19.39	20.41	36.01	31.9	17.51	6.26	34.75	12.0	16.63	22.75	22.26	12.18	59.13	31.22	5.54	42.11	66.65	19.11	49.21	44.57	17.64	28.45	47.84	31.45	43.94	36.01	37.05	14.24	6.36	51.35	73.03	8.32	18.16	11.21	13.22	44.89	35.0	7.69	18.84	14.78	4.7	19.97	41.52	23.59	15.22	36.01	1143.1	796.86
PRMT3	271.48	287.01	236.21	323.03	143.01	128.79	211.31	275.28	242.88	358.54	293.07	329.84	320.8	511.0	373.81	320.8	389.72	234.57	264.03	334.46	320.8	341.51	224.97	262.2	265.87	273.37	265.87	172.65	187.71	361.04	305.55	343.89	409.15	825.0	232.94	314.17	212.78	346.29	71.0	101.54	80.01	62.12	80.57	69.03	88.88	50.98	46.84	56.68	117.6	52.82	73.54	84.63	70.01	92.7	92.05	68.07	81.14	89.51	66.65	189.02	68.07	88.26	78.89	68.55	82.87	157.68	78.89	65.26	94.01	176.29	59.13	58.71	88.88	84.04	76.71	68.55	65.26	137.14	214.27	64.34	46.84	96.01	147.06	66.65	138.1	158.79	151.22	123.5	56.28	63.45	58.71	64.34	71.0	133.36	65.72	37.59	80.57	63.89	115.16	61.68	79.45	120.94	111.21
RASA1	507.46	723.08	441.64	693.58	329.84	307.69	447.82	417.77	603.67	647.07	718.08	507.46	591.22	620.67	429.54	642.59	1167.14	353.59	249.73	860.08	529.06	543.96	353.59	633.73	432.53	1030.12	575.03	587.13	366.09	476.71	466.88	341.51	480.04	791.35	389.72	620.67	351.14	423.61	130.6	186.4	167.9	85.22	161.02	149.12	180.02	96.68	75.64	132.44	117.6	90.14	88.26	166.73	109.66	171.45	176.29	109.66	159.9	116.78	248.0	231.32	190.34	111.99	96.01	204.07	109.66	371.22	110.43	185.11	85.82	228.13	199.85	120.94	58.71	316.37	85.22	92.7	60.39	177.53	56.68	63.0	204.07	102.25	143.01	147.06	141.02	100.83	132.44	136.19	97.36	159.9	181.28	97.36	183.82	149.12	90.14	52.82	123.5	115.16	101.54	89.51	126.12	249.73	293.07
RBM33	275.28	327.56	309.83	218.79	291.04	285.03	265.87	217.27	432.53	376.41	438.59	285.03	490.14	277.2	441.64	329.84	392.44	483.38	301.33	346.29	483.38	253.23	267.73	320.8	309.83	275.28	295.11	366.09	202.66	543.96	314.17	409.15	373.81	371.22	339.14	332.14	193.01	457.25	199.85	353.59	269.6	295.11	212.78	281.09	343.89	190.34	139.07	260.38	314.17	237.86	194.36	267.73	194.36	234.57	316.37	197.09	202.66	237.86	373.81	258.57	167.9	214.27	166.73	323.03	163.28	226.54	198.47	279.14	173.85	187.71	316.37	381.68	264.03	234.57	183.82	236.21	194.36	327.56	239.52	236.21	309.83	273.37	299.25	264.03	258.57	241.19	231.32	287.01	198.47	260.38	271.48	384.34	267.73	180.02	307.69	146.03	242.88	275.28	264.03	336.79	159.9	198.47	202.66
RELL1	305.55	283.05	128.79	444.72	49.21	166.73	287.01	299.25	432.53	167.9	1697.45	237.86	332.14	229.72	890.44	529.06	928.3	423.61	169.07	825.0	320.8	158.79	187.71	332.14	102.25	1259.69	180.02	269.6	281.09	89.51	228.13	125.24	172.65	620.67	460.44	361.04	104.42	169.07	35.25	43.94	33.54	12.45	63.45	21.47	38.67	21.94	14.56	13.42	67.59	34.02	44.89	26.1	43.63	23.93	57.08	17.0	61.68	23.42	64.34	40.36	21.32	39.79	34.51	10.0	34.26	33.54	90.77	32.13	60.39	84.63	48.87	49.21	17.0	63.89	124.37	5.92	31.67	75.11	76.71	33.06	22.92	80.01	26.1	49.21	26.86	33.3	40.07	74.58	16.88	37.05	10.16	12.0	54.33	74.58	19.25	49.56	52.08	27.44	33.54	43.94	26.67	11.47	27.44
RMND1	395.18	551.56	2485.67	536.45	417.77	376.41	2935.74	2367.9	4298.64	902.89	620.67	1709.26	521.76	1369.04	3820.7	2271.4	791.35	2935.74	2875.3	1651.0	165.57	595.34	4972.34	1059.11	4010.71	9474.59	563.18	559.28	3257.52	1208.34	1617.0	277.2	1359.57	1225.22	2400.97	1199.98	3060.45	1447.15	387.02	473.41	532.74	483.38	417.77	500.46	490.14	403.5	341.51	518.15	551.56	384.34	206.94	466.88	476.71	514.56	460.44	435.55	312.0	409.15	493.56	202.66	438.59	476.71	432.53	571.05	463.65	764.36	366.09	693.58	423.61	483.38	1023.0	480.04	543.96	684.02	145.02	507.46	327.56	480.04	312.0	432.53	587.13	460.44	476.71	444.72	444.72	297.17	435.55	201.25	403.5	483.38	813.63	343.89	540.19	406.31	490.14	351.14	351.14	575.03	518.15	376.41	878.17	215.77	273.37
RNF138	255.0	414.87	373.81	518.15	232.94	289.02	246.28	521.76	373.81	423.61	400.71	426.57	417.77	438.59	529.06	400.71	312.0	397.93	363.56	371.22	412.0	361.04	241.19	329.84	325.29	376.41	466.88	400.71	291.04	679.29	157.68	314.17	612.11	497.0	260.38	293.07	320.8	753.83	253.23	271.48	246.28	139.07	246.28	260.38	251.48	173.85	140.04	153.34	206.94	242.88	289.02	199.85	258.57	234.57	226.54	220.32	334.46	242.88	164.42	237.86	199.85	109.66	251.48	239.52	204.07	223.41	320.8	214.27	152.28	438.59	166.73	149.12	105.15	249.73	167.9	189.02	209.84	182.55	199.85	108.9	165.57	90.14	181.28	273.37	256.78	194.36	182.55	579.04	166.73	173.85	167.9	299.25	226.54	194.36	111.99	307.69	133.36	287.01	155.5	316.37	318.57	165.57	265.87
RPRD1A	842.36	813.63	587.13	1427.22	884.29	665.29	808.0	1104.13	941.27	1037.29	1066.48	896.64	748.61	1081.39	1225.22	1313.23	1250.98	1059.11	642.59	1208.34	1159.07	1135.2	954.43	669.92	825.0	603.67	884.29	780.44	612.11	1407.55	555.41	848.22	796.86	1119.56	848.22	1369.04	718.08	995.0	329.84	376.41	325.29	305.55	358.54	343.89	318.57	249.73	180.02	279.14	285.03	237.86	281.09	318.57	341.51	363.56	332.14	291.04	361.04	348.71	260.38	332.14	226.54	183.82	293.07	363.56	187.71	457.25	376.41	307.69	153.34	371.22	236.21	131.51	214.27	223.41	316.37	248.0	281.09	400.71	166.73	181.28	271.48	214.27	228.13	209.84	334.46	262.2	246.28	733.19	299.25	223.41	329.84	395.18	205.5	209.84	231.32	218.79	189.02	289.02	251.48	239.52	279.14	902.89	995.0
RRM1	1572.76	967.76	1259.69	1295.13	866.07	878.17	854.13	1127.35	1350.18	1286.18	1378.57	1199.98	633.73	1015.93	1183.45	759.08	1617.0	583.07	1199.98	1407.55	1572.76	1199.98	775.05	981.29	836.53	1277.29	1295.13	796.86	1051.79	1322.37	1268.46	1794.29	753.83	2895.31	1304.15	1397.83	1151.06	2303.12	265.87	255.0	256.78	299.25	287.01	323.03	312.0	244.57	260.38	305.55	283.05	202.66	212.78	283.05	176.29	325.29	236.21	273.37	246.28	291.04	403.5	441.64	379.04	368.65	279.14	241.19	371.22	518.15	329.84	384.34	651.58	490.14	325.29	305.55	169.07	529.06	271.48	185.11	237.86	346.29	258.57	507.46	507.46	551.56	532.74	299.25	275.28	234.57	470.14	182.55	154.42	343.89	275.28	99.43	435.55	353.59	271.48	348.71	269.6	258.57	327.56	258.57	336.79	607.87	633.73
SAMD8	176.29	221.86	127.0	351.14	120.1	136.19	123.5	139.07	314.17	220.32	466.88	228.13	223.41	224.97	921.88	1883.54	120.1	146.03	96.68	441.64	100.13	198.47	171.45	253.23	158.79	4704.07	189.02	361.04	189.02	121.79	147.06	234.57	258.57	473.41	169.07	329.84	126.12	101.54	82.87	92.7	84.63	59.13	96.68	78.34	116.78	57.49	25.54	80.01	73.03	69.03	80.57	87.03	84.63	95.34	79.45	59.13	126.12	78.34	102.97	98.04	89.51	63.0	94.01	62.56	48.87	105.89	170.25	96.01	72.01	209.84	78.89	67.59	49.91	112.77	92.7	55.89	74.06	118.43	51.71	59.55	90.14	80.01	74.58	74.58	82.87	63.0	100.13	215.77	47.17	81.71	78.89	94.67	91.41	86.43	54.33	57.08	84.63	82.29	74.58	124.37	84.63	100.13	96.01
SBF2	309.83	444.72	275.28	500.46	277.2	205.5	567.1	198.47	441.64	260.38	457.25	417.77	563.18	262.2	463.65	327.56	435.55	500.46	366.09	441.64	336.79	185.11	346.29	447.82	231.32	248.0	579.04	329.84	287.01	82.29	334.46	463.65	348.71	909.17	248.0	316.37	454.09	176.29	186.4	248.0	281.09	140.04	208.38	177.53	295.11	132.44	130.6	231.32	129.69	149.12	145.02	201.25	197.09	258.57	215.77	189.02	229.72	176.29	251.48	147.06	285.03	144.01	133.36	336.79	199.85	314.17	140.04	320.8	158.79	301.33	231.32	127.89	108.9	217.27	120.94	128.79	90.14	256.78	212.78	156.59	180.02	163.28	182.55	193.01	165.57	171.45	212.78	119.26	113.56	242.88	348.71	164.42	361.04	199.85	158.79	164.42	149.12	191.67	149.12	169.07	205.5	231.32	204.07
SCAF4	316.37	381.68	279.14	454.09	346.29	316.37	363.56	258.57	511.0	371.22	483.38	366.09	470.14	314.17	514.56	361.04	353.59	497.0	325.29	299.25	579.04	314.17	277.2	435.55	368.65	450.94	351.14	457.25	514.56	305.55	299.25	279.14	307.69	463.65	476.71	400.71	400.71	400.71	202.66	376.41	318.57	281.09	258.57	279.14	264.03	217.27	191.67	197.09	258.57	279.14	260.38	253.23	295.11	267.73	253.23	170.25	293.07	248.0	343.89	285.03	189.02	217.27	224.97	283.05	208.38	258.57	265.87	232.94	202.66	256.78	289.02	381.68	244.57	256.78	136.19	141.02	271.48	287.01	279.14	246.28	229.72	406.31	221.86	209.84	244.57	289.02	309.83	264.03	193.01	256.78	234.57	353.59	279.14	334.46	205.5	112.77	260.38	241.19	234.57	193.01	190.34	197.09	140.04
