	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ZNF281	62.56	33.54	63.89	57.89	56.28	54.33	40.93	49.21	34.26	56.28	53.19	50.27	52.08	77.79	46.18	45.85	65.72	73.54	73.54	55.1	122.64	108.9	63.45	96.68	105.89	137.14	80.01	215.77	108.9	81.71	86.43	107.38	86.43	108.9	84.04	93.35	105.15	132.44	156.59	84.04	157.68	51.35	131.51	119.26	65.26	117.6	158.79	99.43	102.97	92.7	106.63	133.36	152.28	135.24	74.06	94.01	102.25	138.1	127.0	128.79	64.34	100.83
ZNF41	75.64	40.36	72.01	72.01	88.26	42.11	78.34	57.08	35.5	62.56	59.13	43.63	47.5	65.72	49.21	72.52	75.64	88.88	83.45	65.72	177.53	141.02	70.51	105.89	129.69	118.43	118.43	208.38	111.99	113.56	94.01	123.5	111.99	124.37	100.83	126.12	98.04	123.5	146.03	90.14	128.79	96.68	135.24	112.77	94.01	111.21	158.79	102.25	108.9	120.94	108.14	143.01	136.19	157.68	87.03	104.42	94.01	116.78	146.03	115.16	76.71	108.14
ZNF416	57.89	64.8	52.82	53.95	70.51	50.98	38.12	48.52	52.45	57.49	62.12	49.21	53.95	78.89	46.18	53.57	60.82	74.58	78.89	50.27	102.97	96.68	89.51	85.22	70.51	106.63	75.64	109.66	75.64	70.51	100.13	76.17	89.51	97.36	72.01	81.71	88.26	94.01	107.38	61.68	96.68	60.82	111.99	102.25	63.0	92.05	94.67	84.63	77.79	92.05	115.97	115.16	109.66	111.99	76.17	84.63	97.36	100.83	104.42	88.88	87.03	85.82
ZNF420	97.36	61.25	94.01	55.1	135.24	91.41	97.36	69.52	58.3	88.88	101.54	75.64	113.56	124.37	73.03	140.04	125.24	128.79	111.99	104.42	175.07	197.09	110.43	95.34	112.77	198.47	202.66	275.28	132.44	126.12	92.05	169.07	126.12	212.78	105.15	143.01	122.64	229.72	237.86	108.14	153.34	124.37	209.84	193.01	128.79	140.04	224.97	149.12	152.28	158.79	177.53	202.66	175.07	256.78	143.01	155.5	142.01	145.02	249.73	206.94	193.01	251.48
ZNF45	106.63	63.0	112.77	88.88	102.25	76.17	75.11	66.65	45.53	92.7	86.43	75.64	78.34	98.04	59.55	110.43	80.01	150.17	127.89	84.63	177.53	246.28	121.79	180.02	205.5	237.86	162.14	249.73	124.37	138.1	156.59	159.9	147.06	234.57	133.36	186.4	206.94	145.02	260.38	163.28	231.32	178.77	197.09	186.4	136.19	158.79	226.54	154.42	186.4	223.41	194.36	249.73	177.53	164.42	120.94	175.07	152.28	217.27	289.02	214.27	116.78	190.34
ZNF468	141.02	88.26	93.35	81.71	98.73	142.01	106.63	134.3	96.01	134.3	94.01	89.51	84.63	120.94	79.45	99.43	108.14	108.9	114.36	97.36	229.72	209.84	111.99	181.28	162.14	299.25	176.29	473.41	172.65	143.01	173.85	314.17	137.14	220.32	132.44	169.07	164.42	215.77	229.72	131.51	206.94	155.5	218.79	186.4	144.01	223.41	291.04	223.41	151.22	273.37	236.21	187.71	202.66	303.44	124.37	215.77	166.73	141.02	256.78	144.01	129.69	116.78
ZNF518B	141.02	63.0	134.3	102.97	127.89	63.45	133.36	105.89	100.83	77.25	83.45	110.43	120.1	148.09	108.9	111.99	141.02	148.09	167.9	120.1	329.84	249.73	154.42	246.28	265.87	373.81	202.66	441.64	226.54	141.02	170.25	208.38	133.36	209.84	93.35	159.9	113.56	141.02	379.04	170.25	262.2	134.3	237.86	205.5	105.15	172.65	279.14	176.29	114.36	229.72	224.97	234.57	323.03	279.14	127.0	148.09	141.02	193.01	368.65	258.57	253.23	214.27
ZNF543	46.84	36.79	38.4	40.93	42.11	23.08	32.82	26.47	24.99	27.05	31.0	26.86	28.04	34.02	30.78	35.0	29.06	49.56	47.5	29.06	77.25	81.14	43.02	64.8	52.45	71.0	57.89	61.25	44.89	41.22	51.71	52.82	47.5	50.63	44.89	59.55	53.95	67.59	92.7	66.18	76.71	39.79	88.88	52.08	32.13	54.72	93.35	64.34	40.64	63.89	60.39	77.79	76.17	49.21	35.25	47.5	53.95	59.97	87.03	62.12	62.12	65.26
ZNF829	24.46	15.22	23.93	21.16	23.25	19.97	20.41	23.25	16.88	14.89	22.26	15.8	19.11	22.75	17.9	18.7	24.46	35.76	32.36	24.46	39.79	49.21	24.63	41.52	35.25	64.34	43.02	67.59	43.02	37.85	44.89	35.25	42.71	40.93	31.67	54.33	44.57	46.84	64.34	29.27	50.63	37.32	48.87	40.64	25.54	42.11	49.21	45.21	28.04	42.11	47.5	51.35	55.1	33.06	43.94	51.71	43.94	57.89	77.79	54.33	31.9	36.79
ZNF830	269.6	264.03	264.03	325.29	307.69	194.36	249.73	273.37	283.05	289.02	379.04	371.22	327.56	351.14	226.54	246.28	275.28	289.02	253.23	283.05	444.72	483.38	384.34	480.04	339.14	500.46	341.51	457.25	403.5	363.56	389.72	397.93	356.05	366.09	395.18	373.81	466.88	532.74	575.03	466.88	540.19	403.5	571.05	480.04	307.69	389.72	518.15	387.02	363.56	426.57	476.71	486.75	454.09	392.44	327.56	429.54	435.55	395.18	563.18	426.57	366.09	529.06
ZXDA	38.67	27.05	35.0	46.18	29.06	24.46	29.48	24.63	24.81	26.67	31.9	24.63	31.22	35.25	27.64	32.59	35.25	48.87	38.12	31.67	67.12	98.73	40.64	58.71	58.3	76.17	50.98	96.68	65.72	47.84	60.39	55.1	57.49	67.12	51.71	63.0	76.17	61.68	100.13	50.63	84.63	51.71	84.04	65.72	36.01	59.55	103.69	55.89	58.71	73.03	57.49	75.11	60.39	66.65	35.25	57.89	45.21	71.0	84.04	52.08	34.51	62.56
ZXDB	77.79	55.1	59.97	62.56	60.82	51.71	57.89	53.19	43.94	42.71	58.3	44.89	47.84	71.0	50.27	60.39	62.12	78.89	77.79	63.45	115.97	130.6	72.52	128.79	120.1	166.73	105.15	217.27	144.01	102.25	111.21	111.21	95.34	142.01	92.7	109.66	136.19	125.24	161.02	108.14	149.12	94.01	173.85	125.24	63.0	125.24	140.04	108.9	85.82	129.69	144.01	149.12	155.5	143.01	92.05	112.77	113.56	139.07	161.02	121.79	73.54	102.25
