	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.132NY.2026.SM.5L3FM	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.13O3P.1326.SM.5K7Y8	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.QESD.0726.SM.4R1KQ	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.REY6.1426.SM.48FDK	GTEX.YB5K.0726.SM.5LU8R	GTEX.OIZI.1326.SM.3NB1B	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.RWS6.0726.SM.47JXI	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.X8HC.1526.SM.46MWD	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.T2IS.0926.SM.4DM5B	GTEX.Q2AH.1026.SM.48TZI	GTEX.RWSA.1326.SM.47JX9	GTEX.QCQG.0726.SM.48U1Z
SPIN2B	420.68	271.48	264.03	361.04	249.73	493.56	457.25	217.27	373.81	307.69	490.14	454.09	547.75	400.71	480.04	371.22	420.68	307.69	490.14	327.56	343.89	490.14	518.15	400.71	486.75	220.32	361.04	441.64	180.02	473.41	441.64	412.0	414.87	211.31	291.04	277.2	441.64	454.09	204.07	271.48	392.44	320.8	400.71	417.77	351.14	400.71	473.41	277.2	209.84	435.55	275.28	320.8	287.01
SUMF1	267.73	320.8	486.75	279.14	363.56	698.41	698.41	264.03	500.46	329.84	389.72	555.41	521.76	371.22	447.82	373.81	543.96	329.84	356.05	211.31	567.1	376.41	518.15	371.22	325.29	204.07	332.14	450.94	239.52	493.56	486.75	341.51	320.8	275.28	281.09	490.14	536.45	403.5	251.48	217.27	476.71	283.05	351.14	444.72	199.85	567.1	329.84	297.17	231.32	490.14	334.46	444.72	371.22
TCEAL5	100.83	18.29	48.52	52.08	49.91	85.22	78.34	31.45	52.82	26.1	45.53	74.58	65.72	97.36	65.72	63.0	73.03	37.59	29.06	19.82	28.04	50.27	37.05	41.22	43.63	18.97	5.06	34.75	9.56	53.57	34.51	21.16	18.97	22.92	10.08	16.88	62.56	17.25	22.43	0.0	40.36	19.39	43.94	35.0	5.77	59.13	50.63	28.04	5.5	38.67	13.52	44.57	22.92
TCF19	145.02	96.68	85.22	85.22	85.22	189.02	153.34	21.16	144.01	48.52	191.67	167.9	120.1	132.44	198.47	178.77	149.12	52.82	162.14	32.59	115.97	111.21	129.69	63.45	140.04	46.84	38.95	124.37	53.19	101.54	158.79	74.58	103.69	34.75	46.18	52.45	144.01	96.01	35.25	38.67	128.79	90.14	128.79	145.02	48.18	197.09	99.43	37.32	79.45	194.36	28.65	99.43	38.95
TET1	26.67	12.74	8.38	12.09	9.85	35.76	49.91	5.36	30.78	16.27	29.06	38.67	18.84	50.27	30.56	45.85	46.5	17.25	25.17	13.93	6.94	33.78	32.82	10.79	49.56	7.22	19.39	42.11	2.68	15.0	35.76	21.47	18.29	9.63	2.01	7.17	27.05	24.11	2.97	2.51	15.68	31.45	42.11	20.41	8.06	52.82	12.09	7.22	3.23	27.25	2.07	10.31	6.06
TMEM119	126.12	182.55	232.94	90.14	118.43	738.29	748.61	83.45	438.59	32.59	273.37	454.09	301.33	363.56	718.08	320.8	575.03	90.14	202.66	42.41	211.31	215.77	229.72	187.71	309.83	16.51	53.19	223.41	22.43	258.57	199.85	110.43	83.45	76.17	33.3	100.83	376.41	191.67	23.59	39.79	145.02	94.01	215.77	194.36	63.0	447.82	176.29	95.34	22.59	162.14	36.79	98.73	53.19
TMEM14A	698.41	591.22	406.31	417.77	395.18	890.44	813.63	218.79	679.29	223.41	796.86	902.89	764.36	476.71	819.3	679.29	915.51	323.03	616.37	215.77	575.03	921.88	854.13	507.46	547.75	146.03	307.69	679.29	202.66	796.86	633.73	543.96	595.34	177.53	283.05	309.83	769.69	684.02	155.5	242.88	518.15	665.29	543.96	921.88	264.03	872.1	703.28	244.57	220.32	684.02	197.09	423.61	316.37
TMEM169	21.32	7.22	6.78	11.64	9.13	7.94	9.56	3.38	5.28	3.66	9.48	7.94	13.12	3.96	11.91	5.28	18.16	4.5	15.45	2.86	8.32	18.84	8.99	5.28	8.38	4.62	2.07	6.26	3.89	6.31	6.26	5.19	9.27	1.62	5.87	3.47	9.48	7.11	0.21	4.43	10.0	10.96	8.32	8.92	1.16	23.25	8.38	6.41	3.44	14.78	3.63	4.5	3.82
TMEM185A	551.56	507.46	483.38	483.38	376.41	651.58	884.29	209.84	599.49	450.94	688.78	775.05	518.15	532.74	591.22	497.0	753.83	363.56	642.59	228.13	500.46	497.0	665.29	447.82	507.46	186.4	450.94	607.87	305.55	521.76	480.04	381.68	476.71	327.56	239.52	285.03	669.92	426.57	190.34	339.14	536.45	412.0	511.0	555.41	358.54	665.29	395.18	262.2	244.57	629.35	265.87	473.41	260.38
TMEM221	33.06	12.0	10.39	11.64	9.34	65.72	58.3	4.5	24.11	6.06	18.43	86.43	20.26	39.22	92.7	26.28	59.97	12.55	28.45	1.51	31.22	45.85	74.06	12.74	37.59	2.1	12.55	12.64	3.35	12.36	15.34	23.42	8.65	8.19	4.74	3.35	51.71	27.84	4.9	2.43	27.84	14.45	24.81	28.04	4.58	42.71	9.41	9.93	3.92	39.79	4.9	12.36	6.73
TMEM39B	307.69	299.25	305.55	224.97	271.48	363.56	493.56	249.73	329.84	209.84	346.29	532.74	299.25	356.05	583.07	332.14	423.61	242.88	356.05	241.19	406.31	473.41	441.64	244.57	409.15	217.27	205.5	400.71	176.29	262.2	271.48	253.23	309.83	212.78	201.25	206.94	379.04	287.01	193.01	157.68	297.17	285.03	314.17	299.25	220.32	417.77	336.79	202.66	155.5	368.65	236.21	228.13	217.27
TMEM98	1037.29	540.19	819.3	674.59	884.29	1936.53	2209.26	896.64	1551.09	928.3	1167.14	2367.9	1529.73	981.29	1119.56	1950.0	1697.45	995.0	974.5	483.38	1467.37	1340.84	1991.0	1143.1	1191.69	426.57	693.58	1437.15	612.11	1709.26	1119.56	1044.52	825.0	780.44	842.36	1216.75	1487.87	1030.12	521.76	376.41	1561.89	1143.1	884.29	967.76	633.73	1594.73	1313.23	718.08	540.19	1388.16	981.29	1143.1	633.73
TP53I3	323.03	137.14	301.33	145.02	323.03	753.83	759.08	327.56	420.68	389.72	599.49	693.58	563.18	470.14	693.58	579.04	620.67	220.32	583.07	166.73	447.82	395.18	575.03	368.65	473.41	147.06	265.87	476.71	198.47	457.25	514.56	403.5	320.8	150.17	123.5	212.78	547.75	529.06	332.14	134.3	417.77	327.56	376.41	493.56	147.06	447.82	480.04	217.27	165.57	483.38	198.47	368.65	320.8
TRAM1L1	120.1	7.4	18.7	18.03	27.05	108.14	57.89	9.63	31.45	26.47	50.27	73.03	54.72	22.92	76.71	23.93	48.52	12.27	85.22	16.63	16.27	64.34	70.01	17.51	82.29	5.23	17.13	63.0	7.4	36.53	24.63	29.91	60.82	19.68	18.56	55.1	70.01	48.18	7.75	11.38	55.1	10.96	26.47	72.01	20.71	60.39	28.86	19.39	8.13	68.07	14.67	13.52	45.21
TRERF1	156.59	115.97	110.43	94.01	98.04	205.5	232.94	30.12	111.21	49.56	158.79	136.19	88.88	119.26	206.94	187.71	178.77	39.22	122.64	36.79	98.73	123.5	187.71	70.51	172.65	15.68	48.52	146.03	30.12	75.64	124.37	74.06	73.54	37.32	21.78	32.13	159.9	92.7	27.64	33.3	91.41	103.69	102.25	113.56	40.64	177.53	83.45	24.99	24.46	124.37	23.93	100.13	44.25
TTLL1	279.14	121.79	121.79	122.64	108.9	199.85	194.36	38.95	182.55	43.94	215.77	287.01	212.78	140.04	269.6	164.42	166.73	66.18	183.82	34.02	248.0	273.37	223.41	131.51	198.47	46.5	67.12	262.2	51.71	172.65	199.85	147.06	143.01	107.38	48.52	63.89	195.72	154.42	40.36	62.56	127.89	209.84	165.57	206.94	76.17	223.41	191.67	67.59	52.82	256.78	74.58	217.27	116.78
TWF2	1199.98	995.0	872.1	902.89	543.96	902.89	961.07	223.41	921.88	463.65	896.64	1331.57	656.11	1001.93	902.89	961.07	878.17	713.11	836.53	633.73	1151.06	1073.91	1096.5	753.83	961.07	371.22	532.74	813.63	376.41	651.58	764.36	764.36	665.29	536.45	571.05	651.58	884.29	698.41	242.88	575.03	854.13	647.07	915.51	848.22	559.28	974.5	866.07	514.56	403.5	1001.93	563.18	656.11	629.35
VSTM4	460.44	228.13	447.82	289.02	417.77	351.14	432.53	152.28	265.87	127.0	309.83	297.17	189.02	361.04	414.87	307.69	339.14	144.01	214.27	107.38	204.07	287.01	279.14	197.09	260.38	115.97	155.5	228.13	164.42	221.86	260.38	180.02	172.65	125.24	116.78	161.02	397.93	208.38	116.78	119.26	223.41	172.65	275.28	271.48	127.89	381.68	204.07	125.24	113.56	232.94	146.03	258.57	148.09
WWOX	221.86	142.01	151.22	133.36	151.22	316.37	228.13	185.11	139.07	130.6	182.55	269.6	158.79	151.22	275.28	281.09	150.17	94.67	159.9	57.49	141.02	201.25	234.57	143.01	142.01	80.01	129.69	167.9	84.63	115.97	136.19	123.5	98.04	151.22	55.49	145.02	144.01	136.19	73.03	96.68	177.53	164.42	128.79	178.77	162.14	181.28	229.72	79.45	87.65	138.1	98.73	129.69	104.42
ZNF362	842.36	514.56	555.41	536.45	441.64	791.35	775.05	381.68	808.0	460.44	802.41	830.75	629.35	713.11	961.07	638.15	791.35	400.71	723.08	341.51	651.58	808.0	775.05	521.76	703.28	241.19	454.09	748.61	339.14	575.03	723.08	555.41	507.46	454.09	305.55	480.04	866.07	583.07	457.25	400.71	612.11	679.29	796.86	780.44	366.09	723.08	583.07	332.14	334.46	748.61	341.51	624.99	518.15
ZNF423	209.84	265.87	343.89	312.0	170.25	395.18	256.78	131.51	117.6	89.51	336.79	381.68	193.01	395.18	193.01	224.97	289.02	107.38	217.27	43.32	195.72	279.14	242.88	189.02	141.02	60.82	115.16	248.0	121.79	226.54	211.31	176.29	98.73	110.43	71.0	68.07	267.73	178.77	66.18	73.54	251.48	229.72	253.23	299.25	100.83	312.0	232.94	104.42	39.5	267.73	58.3	204.07	121.79
