	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
GTF2A1	127.89	329.84	291.04	521.76	251.48	309.83	260.38	348.71	166.73	303.44	212.78	314.17	275.28	185.11	198.47	218.79	406.31	417.77	293.07	429.54	264.03	409.15	583.07	248.0	480.04	181.28	420.68	438.59	295.11	476.71	231.32	198.47	423.61	341.51	202.66	212.78	241.19	293.07	299.25	457.25	197.09	336.79	297.17	351.14	575.03	457.25	802.41	139.07	420.68	343.89	363.56	343.89	395.18	293.07	98.73	316.37	435.55	231.32	155.5	198.47	336.79	165.57	409.15	241.19	186.4	205.5	262.2	376.41	264.03	289.02	336.79	283.05	264.03	194.36	162.14	361.04	197.09	229.72	480.04	435.55	525.39	307.69	244.57	220.32	218.79	218.79	100.13	115.97	102.25	73.54	156.59	115.97	104.42	123.5	124.37	101.54	126.12	109.66	92.7	77.79	163.28	86.43	102.97	75.11	164.42	97.36	106.63	92.7
HLTF	248.0	353.59	384.34	1250.98	941.27	373.81	503.95	312.0	403.5	229.72	312.0	480.04	316.37	297.17	283.05	708.18	400.71	473.41	575.03	884.29	563.18	567.1	244.57	232.94	647.07	483.38	567.1	218.79	660.68	743.43	231.32	191.67	532.74	500.46	529.06	305.55	241.19	241.19	258.57	656.11	417.77	848.22	403.5	599.49	1081.39	595.34	624.99	525.39	665.29	1135.2	432.53	988.12	575.03	224.97	246.28	1769.57	460.44	102.25	327.56	493.56	256.78	246.28	1030.12	299.25	346.29	511.0	854.13	199.85	447.82	728.11	555.41	376.41	432.53	738.29	612.11	255.0	500.46	532.74	1159.07	780.44	854.13	698.41	438.59	84.63	356.05	118.43	178.77	193.01	102.97	105.89	154.42	102.25	99.43	107.38	217.27	89.51	242.88	177.53	109.66	87.65	93.35	224.97	138.1	217.27	156.59	212.78	285.03	54.33
HOOK1	100.83	389.72	358.54	713.11	665.29	77.79	358.54	363.56	277.2	403.5	156.59	251.48	441.64	143.01	158.79	209.84	571.05	237.86	220.32	226.54	244.57	473.41	521.76	215.77	224.97	406.31	384.34	182.55	205.5	438.59	220.32	147.06	866.07	204.07	253.23	106.63	248.0	356.05	293.07	314.17	285.03	183.82	320.8	312.0	441.64	563.18	457.25	409.15	417.77	435.55	135.24	341.51	536.45	121.79	120.1	848.22	409.15	356.05	329.84	228.13	144.01	155.5	429.54	217.27	144.01	193.01	571.05	190.34	351.14	185.11	511.0	163.28	202.66	470.14	162.14	256.78	409.15	251.48	341.51	633.73	463.65	246.28	170.25	130.6	269.6	144.01	166.73	218.79	78.89	101.54	89.51	265.87	87.65	121.79	183.82	150.17	58.71	178.77	93.35	60.39	102.97	172.65	89.51	186.4	122.64	154.42	164.42	70.01
IARS	457.25	884.29	1628.26	1651.0	2178.83	1143.1	915.51	1059.11	802.41	866.07	1008.9	921.88	967.76	961.07	1159.07	988.12	1427.22	1135.2	854.13	1936.53	1844.76	1572.76	1498.22	1388.16	1183.45	928.3	1143.1	503.95	1208.34	1709.26	974.5	733.19	1331.57	1143.1	1397.83	764.36	748.61	961.07	848.22	1819.35	1268.46	1745.2	1037.29	1674.06	2209.26	1340.84	1617.0	1066.48	1175.27	1457.23	1286.18	830.75	1167.14	738.29	616.37	3018.3	1457.23	559.28	1225.22	1304.15	1250.98	1208.34	1331.57	656.11	1183.45	1561.89	1397.83	884.29	1378.57	1407.55	896.64	884.29	1159.07	1225.22	825.0	563.18	432.53	665.29	1674.06	1685.71	1529.73	1268.46	638.15	616.37	703.28	633.73	441.64	379.04	447.82	155.5	381.68	575.03	679.29	532.74	603.67	277.2	314.17	486.75	490.14	438.59	279.14	780.44	1127.35	764.36	651.58	435.55	376.41	167.9
IPO8	189.02	559.28	483.38	693.58	336.79	438.59	660.68	412.0	346.29	205.5	234.57	376.41	381.68	285.03	244.57	486.75	620.67	532.74	420.68	733.19	381.68	684.02	536.45	384.34	555.41	403.5	500.46	291.04	547.75	775.05	329.84	241.19	633.73	551.56	563.18	444.72	329.84	351.14	316.37	733.19	318.57	547.75	500.46	493.56	470.14	723.08	1001.93	267.73	723.08	555.41	503.95	457.25	559.28	397.93	285.03	599.49	567.1	293.07	373.81	384.34	406.31	316.37	327.56	332.14	346.29	575.03	612.11	412.0	684.02	595.34	688.78	559.28	258.57	351.14	236.21	336.79	224.97	336.79	363.56	567.1	497.0	444.72	392.44	232.94	381.68	255.0	107.38	209.84	195.72	181.28	163.28	162.14	156.59	197.09	226.54	220.32	109.66	229.72	158.79	173.85	201.25	199.85	175.07	159.9	256.78	157.68	201.25	187.71
KDM5A	180.02	435.55	392.44	327.56	392.44	205.5	177.53	420.68	141.02	214.27	156.59	341.51	307.69	147.06	181.28	265.87	620.67	318.57	267.73	483.38	409.15	389.72	279.14	293.07	547.75	217.27	441.64	208.38	281.09	358.54	253.23	180.02	260.38	420.68	339.14	273.37	226.54	279.14	332.14	848.22	246.28	339.14	363.56	323.03	444.72	500.46	486.75	258.57	392.44	470.14	271.48	320.8	454.09	251.48	202.66	444.72	423.61	162.14	314.17	277.2	283.05	167.9	303.44	206.94	215.77	295.11	275.28	320.8	392.44	435.55	260.38	336.79	182.55	148.09	155.5	305.55	142.01	269.6	476.71	463.65	406.31	187.71	228.13	170.25	303.44	144.01	47.84	112.77	96.68	105.15	108.14	93.35	93.35	127.0	108.14	107.38	72.52	105.89	85.82	109.66	130.6	117.6	105.89	36.53	130.6	114.36	74.58	78.89
KIAA0947	94.01	368.65	277.2	307.69	205.5	135.24	155.5	312.0	211.31	126.12	155.5	239.52	165.57	128.79	108.9	190.34	417.77	229.72	129.69	265.87	180.02	314.17	289.02	316.37	273.37	140.04	295.11	163.28	211.31	356.05	223.41	158.79	351.14	299.25	182.55	180.02	175.07	224.97	182.55	211.31	237.86	395.18	307.69	273.37	312.0	368.65	466.88	172.65	241.19	395.18	202.66	275.28	248.0	217.27	271.48	387.02	275.28	142.01	117.6	166.73	172.65	157.68	228.13	171.45	118.43	161.02	271.48	195.72	314.17	209.84	218.79	214.27	202.66	141.02	112.77	189.02	180.02	237.86	279.14	318.57	387.02	217.27	199.85	231.32	194.36	75.64	51.35	70.01	139.07	85.82	59.13	67.59	62.12	72.01	138.1	108.14	56.68	74.06	50.63	85.22	55.49	98.04	92.7	70.51	92.7	65.72	139.07	29.7
KIAA1143	234.57	493.56	373.81	384.34	532.74	395.18	529.06	493.56	175.07	297.17	500.46	353.59	444.72	224.97	316.37	285.03	447.82	417.77	376.41	571.05	444.72	579.04	406.31	470.14	612.11	466.88	444.72	409.15	629.35	384.34	476.71	231.32	536.45	470.14	463.65	285.03	426.57	555.41	299.25	521.76	444.72	579.04	423.61	511.0	470.14	759.08	551.56	297.17	480.04	642.59	555.41	379.04	587.13	346.29	336.79	1175.27	480.04	241.19	271.48	457.25	406.31	251.48	603.67	409.15	249.73	325.29	353.59	540.19	429.54	180.02	638.15	447.82	547.75	329.84	264.03	426.57	351.14	514.56	669.92	463.65	525.39	470.14	414.87	229.72	500.46	101.54	166.73	64.8	171.45	147.06	75.64	265.87	120.1	85.82	218.79	159.9	267.73	165.57	59.13	155.5	92.05	279.14	220.32	111.99	107.38	175.07	131.51	35.25
KIAA1958	23.93	16.27	98.04	101.54	26.86	20.11	35.25	71.5	32.13	28.24	34.75	32.13	41.81	18.29	9.2	21.16	40.64	409.15	47.17	89.51	49.56	70.51	122.64	46.5	234.57	22.26	53.57	26.1	44.89	100.13	39.79	15.68	107.38	85.82	2.27	39.79	41.22	66.18	85.22	52.08	79.45	206.94	99.43	54.33	132.44	85.82	171.45	53.57	165.57	84.63	70.01	18.29	63.0	52.08	31.22	140.04	63.0	24.63	95.34	53.19	52.45	29.27	39.5	64.8	27.25	93.35	60.39	44.25	90.77	107.38	50.27	87.65	28.04	58.71	33.3	33.78	36.53	60.39	127.0	153.34	206.94	37.59	48.87	20.26	29.48	17.9	18.16	19.97	19.39	17.0	13.12	24.28	14.14	22.59	30.34	35.0	14.78	31.45	16.39	28.24	14.03	40.64	40.64	17.9	18.97	13.22	36.53	18.43
KIF2A	82.87	759.08	249.73	698.41	403.5	198.47	260.38	403.5	143.01	133.36	142.01	400.71	131.51	198.47	124.37	285.03	896.64	463.65	127.89	363.56	395.18	400.71	688.78	409.15	384.34	175.07	389.72	164.42	197.09	547.75	204.07	194.36	521.76	358.54	293.07	181.28	152.28	256.78	327.56	447.82	307.69	511.0	432.53	470.14	511.0	854.13	1081.39	273.37	403.5	830.75	414.87	406.31	559.28	206.94	165.57	748.61	497.0	147.06	239.52	341.51	279.14	218.79	334.46	105.15	208.38	269.6	473.41	327.56	293.07	277.2	417.77	251.48	231.32	224.97	211.31	316.37	256.78	267.73	591.22	603.67	507.46	244.57	256.78	159.9	211.31	106.63	43.02	29.48	55.49	48.18	104.42	63.45	49.56	64.34	80.01	31.9	43.63	42.41	35.76	64.8	36.27	47.84	96.01	134.3	111.99	38.12	39.79	18.16
LIN54	48.18	232.94	118.43	258.57	275.28	159.9	148.09	149.12	81.14	89.51	63.45	118.43	119.26	86.43	80.01	78.34	201.25	221.86	117.6	180.02	198.47	201.25	265.87	84.63	182.55	138.1	138.1	104.42	194.36	264.03	75.11	56.68	198.47	147.06	131.51	85.82	83.45	126.12	103.69	224.97	145.02	124.37	135.24	164.42	181.28	195.72	318.57	141.02	215.77	155.5	105.15	113.56	206.94	94.67	59.97	387.02	157.68	74.06	96.68	89.51	142.01	62.56	307.69	102.97	69.52	206.94	99.43	181.28	132.44	141.02	155.5	162.14	107.38	120.1	69.52	164.42	134.3	130.6	249.73	212.78	255.0	97.36	205.5	75.11	120.1	57.08	31.9	60.39	46.84	34.51	38.12	34.75	50.63	48.87	75.64	70.01	45.53	48.18	49.91	19.82	47.5	58.71	59.13	38.67	68.07	48.18	106.63	22.26
METTL14	69.52	336.79	299.25	341.51	363.56	191.67	271.48	283.05	246.28	231.32	130.6	260.38	363.56	198.47	206.94	295.11	493.56	412.0	327.56	309.83	289.02	376.41	532.74	309.83	426.57	332.14	368.65	251.48	368.65	490.14	255.0	255.0	343.89	356.05	267.73	237.86	251.48	301.33	164.42	371.22	279.14	447.82	312.0	293.07	371.22	493.56	429.54	305.55	314.17	323.03	312.0	303.44	281.09	267.73	204.07	543.96	379.04	223.41	305.55	193.01	258.57	195.72	660.68	237.86	224.97	229.72	231.32	297.17	309.83	435.55	389.72	287.01	435.55	346.29	177.53	323.03	255.0	232.94	450.94	269.6	353.59	293.07	414.87	218.79	299.25	131.51	88.26	181.28	86.43	141.02	100.83	165.57	111.21	87.65	177.53	136.19	127.89	164.42	113.56	114.36	185.11	249.73	88.88	78.34	129.69	95.34	136.19	151.22
MFAP3	115.16	420.68	454.09	555.41	287.01	309.83	356.05	426.57	293.07	299.25	204.07	409.15	473.41	221.86	78.89	279.14	647.07	373.81	339.14	500.46	403.5	612.11	921.88	934.76	679.29	260.38	559.28	297.17	414.87	591.22	293.07	204.07	490.14	567.1	470.14	346.29	366.09	312.0	341.51	490.14	395.18	1104.13	591.22	387.02	669.92	587.13	954.43	285.03	441.64	854.13	470.14	320.8	536.45	358.54	167.9	848.22	381.68	246.28	297.17	256.78	397.93	285.03	348.71	339.14	251.48	371.22	348.71	420.68	389.72	536.45	473.41	314.17	329.84	244.57	212.78	366.09	283.05	287.01	543.96	400.71	764.36	256.78	229.72	283.05	371.22	137.14	128.79	152.28	107.38	94.01	109.66	161.02	97.36	127.0	224.97	154.42	115.97	107.38	101.54	113.56	121.79	153.34	162.14	85.22	228.13	126.12	122.64	110.43
MIB1	127.89	325.29	358.54	616.37	397.93	193.01	211.31	511.0	181.28	189.02	101.54	223.41	217.27	161.02	87.65	180.02	444.72	392.44	208.38	269.6	251.48	529.06	579.04	146.03	269.6	253.23	343.89	262.2	287.01	244.57	161.02	201.25	507.46	287.01	206.94	204.07	237.86	323.03	118.43	389.72	273.37	299.25	400.71	314.17	521.76	620.67	1030.12	181.28	400.71	525.39	454.09	325.29	426.57	165.57	69.03	323.03	336.79	205.5	158.79	165.57	220.32	170.25	283.05	242.88	137.14	202.66	193.01	249.73	283.05	228.13	361.04	187.71	169.07	242.88	109.66	295.11	204.07	255.0	441.64	255.0	320.8	232.94	242.88	185.11	220.32	97.36	67.12	78.89	68.55	49.56	77.79	88.26	57.49	68.07	140.04	90.77	57.89	71.5	40.07	53.95	76.17	62.12	67.12	40.36	108.14	96.01	45.85	46.18
MTMR12	90.14	511.0	460.44	497.0	260.38	353.59	229.72	332.14	307.69	228.13	231.32	371.22	316.37	307.69	341.51	291.04	441.64	511.0	279.14	426.57	389.72	547.75	642.59	454.09	325.29	262.2	423.61	312.0	384.34	669.92	264.03	232.94	848.22	400.71	267.73	507.46	217.27	205.5	406.31	325.29	406.31	476.71	780.44	642.59	387.02	620.67	941.27	379.04	703.28	457.25	297.17	397.93	571.05	409.15	514.56	400.71	444.72	215.77	199.85	426.57	358.54	291.04	303.44	242.88	209.84	543.96	642.59	327.56	316.37	470.14	376.41	473.41	318.57	366.09	265.87	303.44	358.54	343.89	420.68	463.65	629.35	320.8	256.78	299.25	299.25	191.67	88.26	106.63	204.07	187.71	157.68	118.43	115.97	134.3	201.25	91.41	115.16	147.06	146.03	154.42	167.9	162.14	214.27	120.1	211.31	149.12	189.02	164.42
N4BP2	15.8	142.01	113.56	224.97	198.47	57.08	92.7	80.57	54.72	38.67	44.89	65.26	51.71	40.64	45.53	45.85	167.9	165.57	65.72	69.03	159.9	75.11	159.9	23.76	149.12	38.95	67.59	29.27	98.04	136.19	37.32	25.91	70.01	135.24	45.21	30.12	50.98	75.11	51.35	183.82	60.82	78.89	77.25	77.25	94.01	126.12	214.27	78.34	102.25	92.7	54.72	31.9	94.01	72.01	29.7	314.17	74.06	54.33	67.59	23.76	45.21	21.63	138.1	54.72	32.59	94.67	29.91	69.52	208.38	77.25	49.91	107.38	35.0	44.25	22.75	49.56	65.72	90.77	195.72	97.36	102.97	41.81	64.8	30.56	40.64	33.78	26.86	32.82	23.93	12.55	35.5	27.64	18.97	23.93	23.25	45.85	22.26	28.04	8.45	9.34	26.47	28.24	17.25	14.67	29.91	23.08	34.75	10.39
NAA15	157.68	473.41	387.02	454.09	669.92	244.57	438.59	271.48	255.0	221.86	197.09	271.48	361.04	228.13	260.38	239.52	620.67	466.88	299.25	470.14	368.65	447.82	571.05	363.56	403.5	271.48	397.93	228.13	303.44	723.08	265.87	206.94	438.59	366.09	358.54	111.21	256.78	336.79	255.0	656.11	389.72	397.93	303.44	429.54	551.56	616.37	813.63	256.78	325.29	371.22	361.04	275.28	381.68	258.57	193.01	769.69	356.05	215.77	555.41	229.72	277.2	277.2	480.04	248.0	206.94	454.09	271.48	473.41	232.94	395.18	368.65	242.88	343.89	209.84	197.09	358.54	190.34	253.23	486.75	403.5	460.44	251.48	607.87	256.78	318.57	150.17	77.25	90.77	121.79	96.68	155.5	145.02	113.56	116.78	171.45	105.89	90.14	111.99	94.01	104.42	117.6	133.36	185.11	136.19	136.19	84.63	107.38	31.22
NEDD1	83.45	486.75	287.01	400.71	353.59	267.73	178.77	289.02	193.01	183.82	164.42	318.57	273.37	195.72	144.01	241.19	441.64	320.8	253.23	389.72	376.41	503.95	454.09	358.54	447.82	262.2	392.44	198.47	255.0	309.83	242.88	109.66	503.95	341.51	384.34	249.73	253.23	248.0	236.21	403.5	193.01	358.54	414.87	297.17	409.15	460.44	842.36	273.37	438.59	371.22	231.32	271.48	387.02	241.19	215.77	450.94	325.29	167.9	190.34	256.78	387.02	176.29	180.02	291.04	162.14	307.69	264.03	327.56	314.17	256.78	470.14	220.32	327.56	224.97	131.51	371.22	343.89	287.01	253.23	397.93	387.02	256.78	318.57	138.1	305.55	87.03	54.72	37.85	53.57	29.91	56.28	47.5	42.41	47.84	58.71	59.97	24.63	46.18	35.25	30.56	45.85	39.5	47.17	51.35	87.03	36.79	51.35	17.9
NIPBL	358.54	607.87	423.61	476.71	271.48	406.31	351.14	483.38	460.44	366.09	400.71	480.04	493.56	351.14	376.41	420.68	718.08	579.04	536.45	447.82	417.77	693.58	647.07	660.68	591.22	466.88	796.86	435.55	473.41	785.88	532.74	356.05	713.11	674.59	414.87	587.13	543.96	620.67	551.56	454.09	656.11	651.58	559.28	438.59	536.45	759.08	866.07	447.82	529.06	571.05	476.71	490.14	486.75	525.39	698.41	688.78	536.45	379.04	281.09	297.17	507.46	450.94	629.35	624.99	323.03	603.67	612.11	567.1	583.07	656.11	591.22	334.46	708.18	444.72	285.03	543.96	358.54	547.75	543.96	493.56	753.83	493.56	603.67	444.72	567.1	267.73	189.02	244.57	373.81	248.0	232.94	295.11	177.53	208.38	412.0	363.56	187.71	198.47	169.07	253.23	239.52	305.55	307.69	197.09	327.56	223.41	339.14	46.84
NUBPL	106.63	177.53	224.97	191.67	221.86	155.5	199.85	197.09	234.57	131.51	118.43	156.59	229.72	147.06	116.78	182.55	258.57	341.51	153.34	307.69	275.28	297.17	190.34	314.17	336.79	153.34	212.78	271.48	239.52	195.72	173.85	138.1	148.09	229.72	132.44	162.14	178.77	201.25	142.01	376.41	189.02	144.01	269.6	287.01	264.03	291.04	277.2	202.66	175.07	329.84	173.85	94.67	299.25	241.19	100.83	543.96	273.37	172.65	145.02	190.34	82.87	144.01	248.0	194.36	214.27	226.54	170.25	109.66	167.9	185.11	392.44	327.56	190.34	232.94	132.44	135.24	126.12	155.5	316.37	149.12	249.73	214.27	161.02	159.9	244.57	85.82	131.51	84.63	72.01	111.99	88.26	78.34	77.79	64.34	52.82	67.59	154.42	94.67	72.01	91.41	103.69	117.6	50.63	39.79	78.34	104.42	77.25	81.71
NUP153	164.42	500.46	301.33	579.04	551.56	356.05	339.14	490.14	384.34	262.2	283.05	476.71	327.56	217.27	211.31	271.48	981.29	587.13	305.55	656.11	511.0	514.56	796.86	368.65	503.95	435.55	327.56	256.78	356.05	728.11	351.14	351.14	486.75	540.19	483.38	379.04	258.57	316.37	283.05	514.56	351.14	397.93	470.14	423.61	503.95	406.31	1191.69	341.51	480.04	454.09	511.0	483.38	463.65	412.0	285.03	854.13	470.14	236.21	470.14	450.94	389.72	293.07	674.59	264.03	218.79	275.28	299.25	486.75	775.05	412.0	507.46	314.17	297.17	281.09	232.94	540.19	277.2	486.75	669.92	486.75	796.86	312.0	327.56	206.94	353.59	163.28	108.14	120.94	103.69	103.69	170.25	166.73	104.42	169.07	208.38	161.02	281.09	173.85	83.45	169.07	154.42	224.97	187.71	125.24	141.02	104.42	146.03	144.01
OPA1	256.78	1023.0	1059.11	1096.5	1359.57	525.39	629.35	896.64	299.25	435.55	373.81	665.29	486.75	353.59	395.18	521.76	1044.52	902.89	518.15	1143.1	1059.11	1001.93	1199.98	688.78	941.27	928.3	808.0	656.11	587.13	1350.18	642.59	281.09	1059.11	995.0	802.41	698.41	511.0	718.08	624.99	1127.35	791.35	1030.12	836.53	759.08	1617.0	1277.29	1639.59	785.88	860.08	1709.26	854.13	934.76	1322.37	555.41	547.75	2271.4	1519.15	384.34	669.92	878.17	764.36	381.68	802.41	450.94	708.18	947.83	967.76	860.08	947.83	738.29	743.43	708.18	896.64	466.88	529.06	802.41	473.41	529.06	1697.45	1457.23	819.3	830.75	555.41	420.68	669.92	392.44	376.41	346.29	202.66	366.09	351.14	195.72	341.51	262.2	454.09	343.89	279.14	267.73	178.77	209.84	279.14	426.57	244.57	237.86	379.04	343.89	199.85	234.57
OXSR1	384.34	476.71	518.15	620.67	518.15	381.68	698.41	476.71	223.41	346.29	366.09	262.2	334.46	329.84	297.17	320.8	563.18	457.25	476.71	384.34	438.59	529.06	384.34	423.61	438.59	476.71	493.56	312.0	547.75	307.69	518.15	271.48	529.06	500.46	420.68	384.34	356.05	470.14	373.81	361.04	409.15	432.53	389.72	447.82	358.54	473.41	457.25	256.78	466.88	518.15	514.56	320.8	514.56	283.05	314.17	587.13	497.0	336.79	291.04	476.71	336.79	289.02	518.15	514.56	323.03	323.03	312.0	384.34	587.13	249.73	555.41	529.06	353.59	414.87	351.14	447.82	381.68	460.44	353.59	376.41	417.77	497.0	329.84	273.37	426.57	177.53	151.22	193.01	129.69	197.09	146.03	178.77	146.03	158.79	205.5	237.86	234.57	161.02	140.04	123.5	187.71	199.85	163.28	193.01	173.85	141.02	127.0	145.02
PANK3	201.25	1073.91	728.11	1407.55	748.61	307.69	559.28	961.07	264.03	420.68	185.11	1051.79	438.59	281.09	264.03	269.6	665.29	1286.18	547.75	1135.2	674.59	967.76	1498.22	486.75	1407.55	309.83	429.54	236.21	1143.1	884.29	371.22	305.55	802.41	567.1	587.13	381.68	248.0	392.44	961.07	1397.83	665.29	684.02	525.39	775.05	1225.22	1127.35	2555.58	638.15	1662.49	1250.98	400.71	371.22	909.17	830.75	195.72	1963.57	638.15	486.75	460.44	269.6	406.31	309.83	620.67	514.56	612.11	1277.29	563.18	339.14	1551.09	603.67	1268.46	518.15	267.73	575.03	384.34	656.11	563.18	435.55	1259.69	679.29	1044.52	283.05	316.37	563.18	312.0	201.25	205.5	205.5	162.14	305.55	123.5	209.84	205.5	271.48	212.78	140.04	108.9	215.77	329.84	348.71	161.02	297.17	239.52	318.57	293.07	353.59	265.87	242.88
PBRM1	130.6	656.11	587.13	334.46	753.83	392.44	285.03	665.29	155.5	379.04	236.21	246.28	264.03	195.72	166.73	299.25	511.0	599.49	275.28	511.0	466.88	480.04	525.39	303.44	620.67	303.44	420.68	289.02	361.04	432.53	332.14	138.1	366.09	587.13	412.0	341.51	248.0	521.76	279.14	733.19	450.94	389.72	476.71	323.03	476.71	376.41	802.41	195.72	728.11	723.08	361.04	412.0	718.08	249.73	206.94	1225.22	551.56	248.0	193.01	423.61	441.64	211.31	480.04	289.02	161.02	228.13	262.2	470.14	547.75	217.27	493.56	660.68	236.21	255.0	223.41	457.25	291.04	400.71	825.0	486.75	403.5	318.57	171.45	223.41	309.83	140.04	85.82	81.14	76.71	77.25	105.89	99.43	67.59	92.7	134.3	122.64	138.1	107.38	72.01	78.34	102.97	109.66	103.69	101.54	119.26	96.01	96.01	59.55
