	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
TRIM39	149.12	476.71	358.54	161.02	218.79	351.14	79.45	242.88	281.09	470.14	438.59	217.27	381.68	146.03	244.57	194.36	237.86	186.4	325.29	149.12	353.59	186.4	211.31	84.63	500.46	246.28	285.03	218.79	384.34	275.28	486.75	376.41	346.29	480.04	379.04	154.42	376.41	242.88	229.72	236.21	150.17	379.04	423.61	283.05	237.86	307.69	521.76	139.07	208.38
TTC5	144.01	176.29	518.15	83.45	202.66	299.25	80.57	242.88	358.54	299.25	273.37	186.4	392.44	41.52	158.79	194.36	312.0	191.67	281.09	170.25	314.17	62.12	146.03	90.77	291.04	53.95	139.07	194.36	287.01	363.56	392.44	289.02	166.73	353.59	454.09	52.82	269.6	205.5	403.5	239.52	181.28	295.11	273.37	285.03	346.29	316.37	206.94	80.01	141.02
TUBGCP3	185.11	325.29	314.17	71.0	212.78	470.14	144.01	353.59	339.14	503.95	341.51	255.0	265.87	105.15	154.42	248.0	361.04	139.07	371.22	265.87	432.53	130.6	325.29	97.36	603.67	62.56	244.57	195.72	392.44	336.79	339.14	309.83	327.56	255.0	307.69	267.73	239.52	102.25	397.93	165.57	89.51	368.65	379.04	285.03	346.29	312.0	376.41	182.55	130.6
UBE2D4	450.94	432.53	769.69	173.85	409.15	426.57	189.02	842.36	543.96	406.31	525.39	426.57	486.75	193.01	297.17	166.73	587.13	291.04	587.13	325.29	346.29	242.88	277.2	249.73	450.94	214.27	283.05	325.29	450.94	603.67	575.03	476.71	486.75	473.41	748.61	194.36	713.11	346.29	684.02	320.8	384.34	511.0	432.53	376.41	941.27	420.68	387.02	343.89	273.37
USP19	395.18	507.46	791.35	303.44	454.09	629.35	195.72	854.13	808.0	988.12	836.53	444.72	830.75	293.07	454.09	493.56	728.11	457.25	848.22	497.0	1037.29	429.54	633.73	224.97	909.17	161.02	620.67	480.04	928.3	819.3	866.07	981.29	669.92	934.76	748.61	265.87	1030.12	395.18	684.02	420.68	267.73	866.07	981.29	718.08	633.73	791.35	860.08	343.89	348.71
UTP14C	155.5	120.94	299.25	84.63	206.94	229.72	69.03	291.04	329.84	229.72	358.54	132.44	295.11	115.97	211.31	94.01	307.69	97.36	269.6	194.36	271.48	98.73	132.44	78.34	287.01	67.12	125.24	133.36	255.0	283.05	339.14	305.55	155.5	244.57	281.09	98.73	366.09	144.01	246.28	120.1	101.54	269.6	285.03	228.13	217.27	299.25	194.36	99.43	82.29
WDR5B	54.33	72.01	175.07	43.02	86.43	85.22	13.72	84.04	100.83	149.12	130.6	75.11	126.12	23.76	29.7	70.51	129.69	98.73	95.34	95.34	116.78	16.88	38.12	36.79	95.34	15.68	88.26	94.67	132.44	132.44	119.26	78.89	66.65	126.12	193.01	32.82	95.34	58.3	70.01	76.71	91.41	131.51	104.42	108.9	141.02	108.9	80.57	28.65	25.35
WDR83OS	4181.07	5479.15	6699.25	2240.11	5292.48	3716.2	3589.58	9025.81	6699.25	4769.75	6792.79	5831.91	9025.81	1832.01	5872.48	3168.41	7331.05	4607.24	5831.91	4123.49	5329.3	3280.18	4836.35	3467.27	4181.07	7032.37	5403.7	3280.18	5913.33	4543.8	6983.79	5913.33	7382.04	6840.04	6983.79	3280.18	5913.33	3280.18	7589.61	3847.29	3847.29	8421.31	6607.01	4937.99	4937.99	4639.29	5517.27	4010.71	3190.46
WRAP73	314.17	356.05	381.68	150.17	318.57	323.03	205.5	409.15	356.05	733.19	563.18	363.56	476.71	163.28	277.2	521.76	470.14	521.76	718.08	420.68	551.56	148.09	392.44	239.52	493.56	112.77	164.42	361.04	414.87	334.46	366.09	463.65	329.84	470.14	457.25	275.28	454.09	231.32	466.88	314.17	137.14	379.04	466.88	620.67	438.59	271.48	351.14	197.09	142.01
YAE1D1	343.89	283.05	457.25	138.1	514.56	395.18	102.97	457.25	406.31	438.59	518.15	232.94	463.65	132.44	204.07	361.04	473.41	228.13	366.09	289.02	497.0	124.37	201.25	109.66	363.56	98.73	490.14	217.27	583.07	373.81	620.67	423.61	417.77	403.5	738.29	237.86	397.93	170.25	237.86	187.71	124.37	651.58	426.57	289.02	441.64	320.8	392.44	191.67	152.28
ZBTB45	123.5	198.47	267.73	84.63	236.21	177.53	46.18	403.5	361.04	303.44	177.53	173.85	395.18	47.5	154.42	119.26	232.94	138.1	325.29	115.97	281.09	71.5	158.79	61.68	246.28	74.58	163.28	159.9	312.0	206.94	316.37	262.2	169.07	327.56	303.44	51.35	329.84	94.01	275.28	149.12	68.55	299.25	368.65	162.14	157.68	255.0	291.04	96.68	116.78
ZC3H13	281.09	283.05	536.45	242.88	353.59	423.61	194.36	438.59	563.18	361.04	540.19	224.97	532.74	191.67	237.86	208.38	466.88	166.73	438.59	291.04	591.22	289.02	334.46	141.02	563.18	133.36	346.29	320.8	536.45	514.56	555.41	595.34	363.56	473.41	470.14	197.09	587.13	255.0	447.82	273.37	191.67	466.88	540.19	395.18	460.44	587.13	514.56	379.04	262.2
ZC3H4	195.72	305.55	470.14	175.07	332.14	447.82	180.02	361.04	532.74	599.49	341.51	224.97	521.76	150.17	323.03	185.11	389.72	209.84	551.56	224.97	656.11	187.71	277.2	145.02	624.99	122.64	265.87	205.5	555.41	307.69	567.1	642.59	346.29	507.46	483.38	129.69	660.68	226.54	379.04	220.32	153.34	476.71	563.18	450.94	281.09	559.28	507.46	224.97	209.84
ZCCHC4	59.97	134.3	147.06	35.76	82.29	145.02	29.48	106.63	147.06	127.0	197.09	114.36	175.07	50.63	41.81	75.11	129.69	85.22	115.16	55.1	157.68	67.12	84.63	68.55	150.17	25.54	90.77	96.68	135.24	130.6	195.72	125.24	99.43	136.19	172.65	72.52	120.1	59.97	161.02	109.66	57.08	285.03	111.99	124.37	81.71	126.12	193.01	64.8	48.87
ZFP69	28.86	47.17	73.03	28.45	59.55	63.45	15.91	55.89	66.65	53.19	88.88	47.17	72.01	15.91	20.11	26.1	80.01	34.02	49.56	38.67	73.03	21.47	34.51	11.64	111.99	16.39	45.85	41.52	105.89	65.26	72.01	65.26	54.33	82.29	80.01	12.09	84.04	26.67	43.32	33.3	29.48	70.01	54.33	37.85	47.17	60.39	54.33	34.51	11.21
ZFP82	66.65	26.47	132.44	11.55	42.41	107.38	4.86	83.45	167.9	51.71	202.66	13.03	158.79	4.78	4.17	25.54	112.77	23.76	43.94	29.06	123.5	5.06	13.93	12.0	128.79	5.28	61.68	47.84	57.08	72.01	181.28	97.36	78.89	96.68	260.38	29.7	72.01	13.12	37.59	20.56	31.45	61.68	98.04	44.25	38.67	28.04	56.68	17.77	4.31
ZKSCAN4	81.71	52.08	77.25	19.82	61.25	100.83	8.85	65.72	65.72	117.6	131.51	41.52	98.04	24.11	28.04	41.22	92.05	38.12	64.8	69.52	116.78	16.39	53.57	27.44	112.77	16.15	50.27	54.33	109.66	70.01	100.13	60.39	71.0	52.82	114.36	18.16	65.72	52.82	60.82	37.32	19.25	83.45	77.79	79.45	77.79	59.55	62.12	37.05	18.29
ZKSCAN5	128.79	97.36	122.64	27.05	107.38	124.37	24.28	95.34	126.12	150.17	119.26	76.71	142.01	61.68	46.84	62.56	140.04	75.11	102.25	90.77	144.01	43.32	61.68	43.32	141.02	58.3	78.89	92.05	125.24	95.34	137.14	115.16	92.05	103.69	153.34	57.08	144.01	74.58	67.12	59.97	48.18	146.03	133.36	96.68	89.51	98.73	103.69	57.08	56.68
ZNF133	334.46	205.5	316.37	64.8	208.38	262.2	31.9	312.0	242.88	412.0	376.41	212.78	353.59	53.95	126.12	228.13	314.17	172.65	267.73	361.04	417.77	111.99	239.52	88.88	264.03	70.51	318.57	199.85	343.89	256.78	275.28	264.03	289.02	241.19	400.71	249.73	312.0	93.35	166.73	131.51	120.1	339.14	241.19	289.02	234.57	253.23	223.41	131.51	214.27
ZNF16	126.12	94.67	148.09	39.5	102.97	140.04	23.76	158.79	119.26	163.28	206.94	73.54	176.29	47.84	62.12	56.68	102.97	67.12	141.02	68.07	144.01	59.55	123.5	27.64	195.72	49.91	115.16	75.11	147.06	106.63	182.55	171.45	139.07	144.01	176.29	36.53	150.17	98.04	102.25	63.45	32.36	148.09	155.5	110.43	77.79	108.14	117.6	60.82	72.52
ZNF212	149.12	115.16	221.86	59.97	111.99	173.85	25.91	228.13	194.36	265.87	215.77	98.73	260.38	52.82	74.58	78.89	215.77	113.56	167.9	97.36	236.21	63.89	87.65	47.5	204.07	59.13	129.69	91.41	218.79	178.77	232.94	214.27	131.51	212.78	289.02	62.56	194.36	82.87	122.64	90.14	67.59	209.84	195.72	141.02	127.89	161.02	201.25	49.21	75.11
ZNF234	94.01	56.68	102.97	30.34	84.63	125.24	21.32	75.11	94.67	108.9	152.28	32.82	92.05	35.0	31.22	54.33	116.78	39.22	74.06	90.14	163.28	42.41	30.12	32.36	122.64	15.56	68.55	58.3	98.04	73.03	112.77	74.06	69.03	55.89	115.97	51.71	85.22	28.45	60.82	37.85	35.5	68.07	80.57	66.18	76.17	61.25	93.35	47.17	38.12
ZNF235	31.22	44.89	99.43	24.63	51.35	108.14	22.59	70.51	65.26	80.57	131.51	49.21	101.54	43.63	13.22	32.82	53.57	41.52	64.8	41.81	123.5	30.12	60.82	23.25	60.82	27.05	55.89	35.5	84.04	64.34	99.43	90.14	50.63	90.77	105.15	52.82	93.35	54.33	61.25	13.83	22.92	129.69	87.65	57.08	48.87	53.95	75.64	22.59	36.79
ZNF41	63.0	55.1	147.06	32.36	126.12	105.89	61.68	104.42	152.28	128.79	176.29	43.63	120.94	43.94	53.19	33.54	120.1	41.52	143.01	98.73	131.51	40.64	54.72	27.44	122.64	44.25	56.68	73.54	136.19	101.54	137.14	142.01	100.83	94.67	134.3	76.71	152.28	56.68	102.97	40.64	54.33	169.07	134.3	123.5	85.82	91.41	96.68	55.1	55.49
ZNF44	166.73	114.36	366.09	82.87	116.78	251.48	71.5	155.5	231.32	241.19	346.29	177.53	217.27	63.89	129.69	145.02	180.02	100.83	231.32	273.37	327.56	81.14	162.14	127.0	256.78	30.78	217.27	144.01	426.57	183.82	218.79	226.54	150.17	307.69	351.14	104.42	358.54	90.14	169.07	130.6	115.97	307.69	221.86	154.42	305.55	236.21	291.04	100.13	82.29
ZNF45	108.14	146.03	191.67	63.0	138.1	178.77	25.17	171.45	169.07	156.59	217.27	59.13	185.11	60.82	57.89	58.3	145.02	87.03	178.77	78.89	251.48	58.3	94.01	34.75	255.0	57.49	162.14	91.41	209.84	100.13	208.38	155.5	144.01	197.09	206.94	61.25	189.02	71.5	120.94	111.21	23.93	209.84	256.78	137.14	64.34	239.52	164.42	66.65	100.13
ZNF530	37.85	50.27	71.5	14.78	31.45	45.21	28.45	39.22	40.07	106.63	83.45	21.16	50.98	37.05	12.83	20.11	31.0	19.53	24.63	23.93	112.77	9.48	53.57	19.68	129.69	25.17	14.78	16.39	87.65	41.22	61.68	60.82	31.67	43.02	78.89	16.75	37.59	19.53	20.86	24.28	12.64	94.01	165.57	61.25	32.82	55.1	61.68	23.25	15.34
ZNF549	49.91	35.76	137.14	17.77	49.56	134.3	19.11	103.69	104.42	137.14	178.77	25.54	98.04	21.94	10.16	50.63	82.29	12.64	61.68	47.84	215.77	25.54	41.52	24.28	118.43	12.36	68.07	60.82	106.63	94.67	108.14	70.51	80.01	97.36	176.29	29.7	152.28	23.08	59.55	13.32	36.79	140.04	120.94	79.45	64.34	47.84	84.04	20.26	22.75
ZNF594	31.22	23.25	96.68	7.82	26.28	46.18	5.28	38.4	65.72	64.8	92.7	22.59	57.89	11.64	16.03	31.45	51.35	24.28	33.54	35.0	98.04	4.66	19.11	12.09	70.01	2.25	47.5	31.67	92.05	48.18	63.0	44.57	52.82	60.82	94.01	5.77	59.55	6.16	44.25	18.56	21.47	87.65	81.14	38.4	51.35	47.5	51.71	13.22	7.82
ZNF613	88.88	68.55	95.34	44.89	79.45	100.83	23.93	92.7	92.05	68.07	105.15	25.35	185.11	29.91	18.03	31.9	107.38	13.62	85.22	47.5	127.0	11.21	52.45	27.25	99.43	43.94	49.21	64.34	115.16	73.03	187.71	100.83	74.58	45.85	126.12	27.84	126.12	26.28	59.97	23.76	24.81	67.12	127.89	51.71	53.19	48.87	79.45	39.22	23.25
ZNF619	36.01	30.78	55.89	9.2	48.52	40.93	22.75	47.84	81.71	61.25	64.8	22.43	54.72	8.25	26.28	28.45	48.87	27.05	71.5	45.85	82.29	19.82	39.22	18.56	80.01	10.24	52.45	42.71	66.65	73.54	59.97	65.72	52.82	44.57	73.54	21.78	64.34	32.82	57.08	25.91	19.82	55.89	67.12	44.89	54.72	68.07	48.52	33.3	16.75
ZNF627	209.84	143.01	483.38	100.13	157.68	166.73	45.53	226.54	239.52	295.11	460.44	142.01	320.8	82.87	85.22	130.6	167.9	115.97	163.28	273.37	273.37	59.97	161.02	87.65	307.69	68.07	193.01	241.19	248.0	264.03	301.33	305.55	185.11	223.41	444.72	117.6	285.03	176.29	211.31	135.24	139.07	251.48	231.32	212.78	275.28	242.88	212.78	105.15	85.22
ZNF691	150.17	116.78	251.48	50.63	161.02	187.71	52.82	208.38	226.54	265.87	242.88	105.89	309.83	52.82	82.29	80.57	226.54	94.01	194.36	157.68	271.48	43.02	115.97	49.21	223.41	39.5	159.9	120.1	223.41	194.36	236.21	214.27	169.07	173.85	277.2	59.97	241.19	72.01	161.02	91.41	64.34	232.94	205.5	162.14	173.85	161.02	171.45	63.89	43.32
ZNF747	92.7	199.85	239.52	114.36	208.38	176.29	68.55	285.03	193.01	305.55	242.88	136.19	358.54	87.03	170.25	158.79	271.48	136.19	305.55	147.06	273.37	95.34	180.02	52.82	273.37	57.08	183.82	146.03	309.83	205.5	307.69	299.25	190.34	316.37	295.11	76.17	275.28	82.87	163.28	136.19	98.04	269.6	281.09	163.28	133.36	189.02	237.86	93.35	81.71
ZNF75A	131.51	215.77	348.71	92.05	248.0	348.71	72.01	237.86	332.14	450.94	536.45	132.44	353.59	106.63	93.35	115.16	239.52	122.64	361.04	172.65	417.77	86.43	94.01	63.45	351.14	36.53	323.03	172.65	450.94	248.0	395.18	406.31	323.03	371.22	423.61	85.22	314.17	87.65	185.11	137.14	92.05	470.14	450.94	389.72	176.29	318.57	387.02	137.14	58.71
ZNF829	16.63	14.35	34.51	4.82	17.9	34.02	1.58	36.01	40.64	25.17	50.98	6.16	22.75	12.45	2.84	3.06	37.59	7.63	24.81	16.39	95.34	3.0	16.51	3.99	47.84	1.16	13.22	18.43	22.75	17.64	36.53	40.64	33.06	36.53	68.07	11.04	34.51	10.88	12.93	2.2	5.11	32.13	40.93	31.0	9.27	26.28	36.01	2.48	7.06
ZSCAN21	103.69	124.37	299.25	38.12	150.17	212.78	38.4	256.78	190.34	303.44	166.73	115.16	249.73	83.45	69.52	130.6	208.38	98.73	224.97	135.24	236.21	56.68	119.26	46.5	249.73	55.49	139.07	109.66	246.28	224.97	241.19	212.78	149.12	255.0	285.03	78.34	241.19	114.36	149.12	75.64	94.67	285.03	209.84	162.14	140.04	162.14	170.25	71.5	82.87
ZSCAN25	104.42	132.44	176.29	86.43	130.6	162.14	54.33	194.36	198.47	242.88	218.79	97.36	237.86	47.17	109.66	108.14	129.69	77.79	190.34	100.13	316.37	67.12	143.01	54.72	237.86	43.94	130.6	111.99	256.78	155.5	224.97	224.97	134.3	206.94	185.11	61.25	236.21	78.89	101.54	97.36	75.11	173.85	208.38	141.02	124.37	175.07	208.38	80.01	76.17
ZSCAN29	161.02	171.45	199.85	82.87	128.79	217.27	39.22	144.01	237.86	258.57	249.73	81.71	206.94	82.29	138.1	131.51	167.9	69.03	231.32	118.43	305.55	79.45	151.22	38.12	242.88	32.82	171.45	125.24	264.03	132.44	277.2	226.54	182.55	211.31	195.72	40.07	242.88	93.35	162.14	105.15	88.26	142.01	269.6	115.97	135.24	281.09	205.5	68.07	67.12
ZSCAN32	176.29	228.13	283.05	110.43	260.38	262.2	64.34	307.69	249.73	309.83	291.04	172.65	325.29	144.01	91.41	141.02	262.2	105.15	267.73	190.34	363.56	122.64	102.25	110.43	332.14	113.56	195.72	187.71	279.14	208.38	339.14	291.04	209.84	269.6	291.04	104.42	287.01	94.67	193.01	114.36	100.83	334.46	295.11	264.03	149.12	218.79	267.73	154.42	128.79
ZSWIM3	48.18	31.22	81.14	12.09	43.32	56.68	18.56	97.36	98.04	94.67	63.89	21.01	103.69	19.39	20.26	17.38	73.54	19.82	67.12	29.27	99.43	13.12	21.01	33.54	67.12	26.67	42.41	29.48	87.65	50.27	105.15	92.7	37.59	65.72	75.64	16.27	104.42	34.75	56.68	21.78	24.46	78.89	111.99	41.81	28.24	43.94	58.71	20.41	12.55
