	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZUS.2526.SM.59872	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPIC.0926.SM.4IHLV	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.S4Z8.0526.SM.4AD4T	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A4V5.01A.11R.A250.07
MED27	127.89	208.38	281.09	159.9	220.32	256.78	102.25	256.78	129.69	120.1	62.56	118.43	152.28	145.02	167.9	139.07	158.79	191.67	221.86	142.01	125.24	126.12	115.16	115.97	190.34	142.01	108.9	169.07	180.02	178.77	239.52	127.0	129.69	0.0	0.64	559.28	748.61	395.18	759.08	457.25	954.43	536.45	514.56	638.15	500.46	518.15	473.41	525.39	587.13	620.67	620.67	500.46	463.65	532.74	447.82	759.08	486.75	660.68	529.06	518.15
METTL12	37.59	31.22	30.78	31.0	35.0	31.0	35.25	61.68	36.53	13.32	28.86	56.28	7.46	40.64	55.1	66.65	13.12	137.14	36.79	93.35	29.91	28.04	29.27	93.35	39.22	20.71	12.93	88.88	46.18	47.17	22.1	51.35	39.79	0.0	0.45	327.56	205.5	214.27	217.27	186.4	127.89	171.45	166.73	182.55	181.28	167.9	138.1	143.01	221.86	239.52	176.29	161.02	197.09	224.97	228.13	242.88	175.07	209.84	105.89	166.73
MGC10955	0.0	0.26	0.37	0.89	2.81	1.89	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.8	0.0	0.0	0.0	1.22	0.0	0.0	0.0	4.13	0.0	11.3	0.0	1.03	0.0	0.0	0.68	1.17	0.75	0.0	1.85	0.0	0.1	3.06	3.29	5.36	5.96	7.34	2.2	0.0	11.64	5.11	3.79	2.18	2.78	4.94	11.21	8.45	8.85	0.0	32.13	5.45	2.25	10.88	12.0	21.94	2.84	1.23
MIF4GD	242.88	518.15	540.19	429.54	420.68	366.09	217.27	267.73	214.27	361.04	281.09	591.22	384.34	376.41	351.14	289.02	525.39	260.38	262.2	267.73	414.87	299.25	255.0	438.59	463.65	470.14	211.31	603.67	264.03	279.14	417.77	295.11	320.8	0.0	0.62	1183.45	860.08	1151.06	791.35	967.76	708.18	860.08	1081.39	909.17	878.17	708.18	796.86	1135.2	961.07	1001.93	947.83	954.43	785.88	808.0	764.36	1151.06	1023.0	1044.52	775.05	1037.29
MTA1	514.56	521.76	241.19	836.53	395.18	241.19	583.07	246.28	728.11	361.04	954.43	432.53	325.29	642.59	878.17	878.17	332.14	995.0	460.44	514.56	361.04	518.15	260.38	1159.07	532.74	642.59	236.21	995.0	633.73	728.11	441.64	540.19	490.14	0.0	1.33	2104.58	1617.0	2240.11	1857.6	1331.57	1733.13	1662.49	1605.83	1519.15	2119.22	1081.39	1487.87	1733.13	2047.0	1508.65	1340.84	1709.26	2537.92	1407.55	2555.58	1388.16	1857.6	2319.15	1870.53	1769.57
MXRA7	190.34	718.08	343.89	152.28	246.28	441.64	249.73	198.47	346.29	567.1	265.87	327.56	466.88	579.04	262.2	819.3	334.46	384.34	136.19	183.82	791.35	493.56	312.0	246.28	591.22	305.55	339.14	251.48	476.71	441.64	432.53	191.67	1369.04	0.0	0.78	7966.99	8305.36	10659.59	6516.03	8840.04	9088.59	8305.36	9088.59	6983.79	8078.22	8421.31	6887.62	8598.28	7433.4	9409.14	8658.09	6652.97	7966.99	5403.7	5183.54	10808.41	7485.11	7589.61	6935.54	7382.04
MYEF2	1.0	33.78	2.32	2.61	4.78	2.63	17.25	2.94	21.63	1.57	16.27	0.69	1.99	14.89	4.03	76.17	45.85	11.3	5.28	13.22	2.89	25.72	3.72	14.89	15.22	23.08	11.73	10.79	3.99	28.86	0.88	0.0	12.45	0.0	0.8	603.67	629.35	389.72	460.44	351.14	400.71	339.14	638.15	361.04	785.88	438.59	567.1	543.96	551.56	267.73	363.56	277.2	860.08	429.54	215.77	366.09	476.71	559.28	400.71	444.72
NCDN	79.45	176.29	154.42	73.03	116.78	85.82	72.52	90.14	61.68	94.67	70.51	63.0	102.25	101.54	67.59	49.91	98.73	198.47	115.97	67.12	95.34	92.7	102.25	73.03	73.54	67.12	29.7	244.57	42.11	58.3	148.09	65.72	155.5	0.0	0.52	796.86	1477.58	988.12	669.92	575.03	703.28	633.73	1183.45	915.51	860.08	536.45	587.13	902.89	974.5	884.29	1051.79	785.88	921.88	674.59	567.1	915.51	909.17	866.07	633.73	1059.11
NLRP1	25.72	403.5	17.0	70.51	51.35	29.91	66.65	20.56	111.99	92.7	123.5	45.85	59.55	123.5	109.66	115.97	46.5	183.82	24.11	32.82	40.07	124.37	92.7	109.66	97.36	139.07	59.13	165.57	84.63	132.44	82.87	34.75	90.77	0.0	0.95	1286.18	1397.83	1015.93	1295.13	848.22	988.12	1023.0	1709.26	1378.57	1151.06	1096.5	854.13	1322.37	1233.75	1001.93	1313.23	693.58	1088.92	1259.69	860.08	1437.15	1268.46	1508.65	1216.75	400.71
OR51B4	0.0	1.19	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.91	0.91	0.0	2.84	0.88	0.0	0.0	0.96	0.91	0.43	0.92	1.41	0.88	2.86	0.45	0.46	2.36	0.92	0.0	0.91	0.0	0.87	3.59	2.86
OR5AN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.61	0.61	0.0	0.85	0.0	0.6	0.59	0.92	0.0	0.0	1.64	0.0	0.0	0.33	1.89	0.0	1.11	1.14	0.0	0.88	0.61	1.57	0.89	0.6
OTOGL	0.0	0.0	0.0	0.0	1.1	1.13	0.0	2.76	3.47	0.0	2.76	0.0	0.0	0.65	0.0	0.22	0.0	2.25	1.53	5.45	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.47	0.0	0.72	1.46	0.0	0.0	0.0	0.2	1.79	1.11	2.68	0.71	3.0	1.08	1.5	1.48	1.99	2.29	0.69	2.32	1.93	2.63	1.08	2.34	1.97	4.5	1.93	3.44	4.24	1.11	5.82	1.55	2.66
OXCT2	5.02	16.27	26.28	11.13	0.0	12.18	2.14	3.5	11.38	6.52	11.3	9.13	2.29	0.0	17.51	23.76	9.78	36.01	21.63	0.0	20.86	21.16	14.24	18.16	0.0	13.22	90.77	31.0	35.0	0.0	9.63	8.92	5.36	0.0	0.33	32.82	42.41	51.71	16.88	25.17	49.56	24.99	25.91	12.36	16.75	1.14	19.53	37.32	36.53	36.79	9.41	21.16	15.11	32.82	21.94	32.59	15.0	30.78	9.06	21.32
P2RX5-TAX1BP3	3.79	2.43	2.12	3.29	5.63	0.65	2.86	4.24	2.05	1.97	2.29	2.12	1.62	6.78	2.66	2.97	3.14	5.15	1.03	2.1	1.04	2.84	3.14	5.59	3.92	0.99	0.27	8.32	4.35	3.26	4.24	2.78	3.44	0.0	0.0	3.79	3.23	4.1	9.48	3.69	5.82	4.06	3.11	8.32	7.17	3.41	2.66	6.06	6.73	7.06	5.45	7.88	2.27	4.46	5.92	6.62	3.82	2.2	6.16	3.44
PAK1	115.97	429.54	78.89	166.73	99.43	275.28	363.56	159.9	224.97	262.2	406.31	158.79	353.59	287.01	194.36	392.44	164.42	269.6	237.86	273.37	165.57	358.54	152.28	154.42	441.64	291.04	169.07	96.01	325.29	283.05	183.82	339.14	242.88	684.02	5183.54	1639.59	1857.6	1427.22	1447.15	1369.04	633.73	872.1	2255.7	1268.46	1051.79	842.36	961.07	2133.97	1304.15	1397.83	1286.18	1175.27	1216.75	1119.56	890.44	2271.4	1250.98	981.29	981.29	1322.37
PCDHB4	2.39	34.75	1.64	4.54	6.01	8.51	0.16	2.94	7.46	3.29	0.75	1.99	6.52	9.34	1.36	10.63	12.64	2.07	2.29	0.12	7.11	5.82	7.57	1.33	5.73	1.45	1.69	0.54	4.24	5.54	9.93	2.97	9.06	0.0	0.3	22.75	24.11	26.28	23.93	15.34	15.68	13.93	21.47	18.84	26.28	13.32	33.78	44.89	31.45	21.16	37.59	20.41	26.86	26.86	34.26	34.26	19.68	30.56	18.84	17.51
PHF23	633.73	785.88	500.46	543.96	525.39	511.0	507.46	780.44	351.14	559.28	466.88	208.38	470.14	555.41	312.0	198.47	529.06	417.77	454.09	660.68	277.2	406.31	470.14	356.05	441.64	647.07	316.37	836.53	607.87	587.13	559.28	343.89	575.03	529.06	429.54	995.0	1183.45	941.27	1066.48	941.27	1001.93	947.83	1250.98	1066.48	1191.69	995.0	1051.79	981.29	1143.1	1044.52	813.63	1066.48	1030.12	1369.04	769.69	909.17	1001.93	995.0	866.07	830.75
PHYHIP	6.26	10.24	1.64	17.0	1.51	10.55	20.11	3.17	12.45	19.53	23.42	4.35	6.52	8.51	7.88	16.51	8.65	15.91	0.13	33.3	4.54	2.89	9.06	42.11	4.21	40.36	3.69	1.08	20.26	13.03	3.17	16.51	26.28	0.0	0.21	327.56	236.21	267.73	346.29	412.0	381.68	223.41	450.94	435.55	253.23	341.51	447.82	426.57	595.34	441.64	543.96	231.32	332.14	693.58	301.33	397.93	332.14	356.05	733.19	246.28
PIP5KL1	3.29	3.35	0.0	2.27	4.43	0.0	2.56	0.18	1.13	9.63	3.44	4.13	1.17	5.59	4.31	7.82	10.24	0.0	1.04	6.57	0.0	2.2	1.79	9.7	2.32	5.77	9.63	6.52	2.43	10.63	4.5	0.96	10.16	0.0	0.36	314.17	253.23	169.07	201.25	156.59	279.14	202.66	248.0	172.65	246.28	120.94	167.9	198.47	183.82	145.02	197.09	170.25	343.89	164.42	158.79	177.53	287.01	190.34	172.65	180.02
PLXDC1	3.63	62.12	5.54	33.78	5.45	16.51	16.88	2.12	61.68	9.34	25.54	17.13	8.51	33.3	24.99	53.19	15.34	53.19	1.81	1.31	6.26	43.02	29.27	64.8	15.22	17.0	17.25	17.9	13.42	20.41	15.68	10.71	44.89	0.0	0.4	514.56	595.34	426.57	244.57	447.82	159.9	307.69	277.2	379.04	351.14	275.28	275.28	195.72	412.0	497.0	555.41	406.31	575.03	698.41	587.13	571.05	423.61	559.28	281.09	332.14
PNPLA2	2997.45	3303.0	1733.13	2609.3	842.36	738.29	2555.58	825.0	4869.99	3303.0	4575.41	2319.15	2520.38	2758.13	3257.52	3928.15	2875.3	4736.79	2163.77	3060.45	2591.27	3690.52	2502.97	4152.18	2895.31	2591.27	2573.36	2997.45	2537.92	4419.52	1709.26	1605.83	1991.0	0.0	0.97	4010.71	3515.68	3372.43	3820.7	4210.15	5112.16	3639.7	4607.24	2855.44	4123.49	2855.44	3639.7	3639.7	3372.43	3303.0	4066.71	3540.14	5555.65	2915.45	4095.0	3742.05	3690.52	4671.57	4239.45	3794.3
PPME1	241.19	283.05	361.04	226.54	246.28	269.6	195.72	236.21	265.87	159.9	178.77	229.72	187.71	320.8	221.86	220.32	258.57	236.21	244.57	246.28	228.13	244.57	246.28	232.94	163.28	242.88	146.03	265.87	429.54	202.66	301.33	178.77	244.57	579.04	836.53	909.17	909.17	836.53	909.17	896.64	1015.93	890.44	928.3	884.29	981.29	796.86	941.27	802.41	947.83	860.08	872.1	909.17	947.83	995.0	830.75	921.88	934.76	836.53	836.53	854.13
PPP2R1A	2468.49	3443.31	2915.45	2777.33	2178.83	1819.35	2720.15	2133.97	2451.44	1313.23	2976.74	2133.97	1870.53	2555.58	2956.17	1769.57	2209.26	2664.15	2287.2	2335.28	1991.0	2720.15	2835.7	2240.11	2537.92	3060.45	3039.3	3235.01	4152.18	2609.3	2855.44	1857.6	2502.97	0.0	1.04	6207.38	7331.05	7032.37	7485.11	6164.49	7382.04	6516.03	7642.41	6652.97	5555.65	7749.1	5633.22	6840.04	6516.03	8538.88	6471.02	6426.31	6426.31	7230.1	7280.4	7485.11	7749.1	5711.87	6471.02	6745.86
QPCT	8.65	94.01	44.25	13.42	26.86	51.71	9.93	14.03	13.32	20.26	13.32	15.22	14.67	29.91	2.78	9.63	42.71	33.06	15.11	18.16	5.45	24.81	37.32	25.35	67.59	26.67	29.06	4.13	29.7	33.78	34.51	27.05	9.85	0.0	0.61	2319.15	1572.76	967.76	2956.17	1350.18	1313.23	1594.73	1883.54	2090.03	1388.16	1617.0	1477.58	1697.45	4152.18	2367.9	1487.87	1572.76	2520.38	954.43	896.64	2434.5	854.13	1208.34	1794.29	1427.22
RAB11B	2384.37	2609.3	1322.37	2434.5	1467.37	967.76	2502.97	1111.82	2816.11	1639.59	3168.41	2777.33	1769.57	2163.77	3212.66	3018.3	2104.58	2627.46	1617.0	2104.58	2075.59	2816.11	1832.01	3060.45	2193.99	2468.49	2351.53	5366.37	4639.29	2537.92	1909.85	2335.28	2004.85	2148.82	536.45	5594.3	5041.77	6381.92	5183.54	5255.91	6121.9	5479.15	5954.47	4836.35	5913.33	4972.34	4972.34	6207.38	6745.86	6121.9	6381.92	5403.7	6337.83	5076.84	6699.25	5076.84	5954.47	6250.56	6699.25	5329.3
RAB15	299.25	316.37	147.06	127.0	607.87	218.79	226.54	476.71	255.0	480.04	134.3	108.14	199.85	140.04	153.34	46.84	239.52	316.37	199.85	49.91	361.04	249.73	199.85	130.6	157.68	220.32	144.01	202.66	119.26	183.82	194.36	161.02	366.09	0.0	0.68	514.56	327.56	423.61	353.59	423.61	316.37	547.75	384.34	500.46	339.14	403.5	420.68	444.72	629.35	529.06	403.5	493.56	346.29	403.5	409.15	376.41	269.6	409.15	351.14	323.03
RASD2	0.82	3.0	0.75	9.06	0.84	1.95	3.32	1.41	1.97	1.79	5.96	1.6	3.66	1.87	2.71	3.44	0.92	4.58	2.23	18.56	0.0	0.8	8.65	3.76	3.89	1.11	0.0	0.26	2.53	3.76	2.46	5.59	10.79	0.0	0.39	314.17	532.74	403.5	555.41	267.73	400.71	325.29	470.14	454.09	291.04	265.87	397.93	563.18	327.56	358.54	356.05	373.81	414.87	105.89	180.02	486.75	454.09	237.86	141.02	426.57
RASGEF1C	8.65	3.17	0.68	3.96	6.84	3.72	7.17	0.39	5.19	5.5	3.5	0.78	4.31	3.63	8.92	10.08	6.21	5.11	0.0	0.0	0.88	4.9	1.89	4.62	10.47	0.0	0.44	1.06	18.16	4.43	3.92	2.16	0.0	0.0	0.13	103.69	150.17	68.07	85.82	71.5	43.63	67.12	50.63	85.22	59.55	38.95	37.85	71.0	151.22	56.28	57.08	43.94	62.56	33.78	63.89	77.79	72.52	60.82	29.48	125.24
RBPMS	1651.0	3039.3	1594.73	872.1	733.19	1151.06	466.88	836.53	1059.11	693.58	575.03	896.64	1037.29	1909.85	769.69	1388.16	1407.55	2400.97	1529.73	529.06	2720.15	1304.15	647.07	1119.56	1268.46	1685.71	2796.65	2303.12	3419.52	1457.23	1407.55	460.44	1519.15	389.72	186.4	5041.77	5112.16	5076.84	5292.48	5292.48	5954.47	5441.3	3982.99	4358.66	4543.8	4419.52	5041.77	3955.48	3982.99	4328.55	5329.3	4066.71	4836.35	4937.99	4836.35	4639.29	5479.15	5517.27	3742.05	4328.55
RP11-268J15.5	1.45	16.27	2.66	9.78	0.18	4.98	3.53	0.0	10.0	7.94	3.38	4.24	4.74	11.13	3.23	23.08	5.19	22.1	6.94	9.48	2.53	4.94	6.62	7.82	3.29	11.82	0.4	8.71	35.76	3.92	8.92	7.17	9.78	0.0	0.8	1242.34	423.61	616.37	314.17	305.55	748.61	447.82	587.13	307.69	1191.69	224.97	397.93	277.2	500.46	334.46	346.29	327.56	1001.93	629.35	429.54	642.59	309.83	529.06	323.03	299.25
RP11-343C2.11	0.0	0.0	0.0	0.0	13.32	34.75	0.0	0.0	0.0	23.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0	0.0	0.0	0.0	0.0	0.0	29.7	12.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	158.79	85.82	15.34	14.03	127.0	57.08	92.05	157.68	18.97	85.82	21.32	80.01	78.89	69.03	155.5	161.02	17.25	38.12	94.01	60.82	159.9	17.25	17.13	85.22	38.95
RRP1	406.31	283.05	351.14	279.14	258.57	279.14	198.47	412.0	217.27	277.2	214.27	275.28	241.19	255.0	223.41	314.17	283.05	316.37	403.5	267.73	237.86	239.52	248.0	273.37	258.57	305.55	221.86	368.65	575.03	234.57	293.07	220.32	283.05	0.0	0.39	738.29	660.68	460.44	684.02	500.46	529.06	507.46	521.76	500.46	559.28	463.65	432.53	435.55	493.56	555.41	559.28	511.0	571.05	429.54	490.14	738.29	521.76	486.75	460.44	447.82
RSPH9	5.5	9.06	6.84	11.13	3.41	3.5	8.85	6.26	1.79	8.0	9.13	6.73	4.1	8.51	4.35	4.31	5.02	14.14	6.11	3.72	2.12	3.72	3.14	8.19	3.35	5.92	5.19	8.85	10.55	3.72	6.73	12.09	15.34	0.0	0.0	25.72	46.18	29.27	24.28	15.22	36.79	22.43	38.4	26.28	25.72	29.06	23.76	15.56	21.94	21.78	30.12	27.05	28.86	25.54	17.77	18.56	31.22	28.45	21.63	18.29
RSRC2	454.09	1051.79	341.51	540.19	454.09	1286.18	435.55	483.38	651.58	543.96	723.08	587.13	497.0	796.86	536.45	1143.1	825.0	693.58	679.29	698.41	642.59	525.39	414.87	759.08	547.75	629.35	490.14	656.11	555.41	723.08	638.15	693.58	934.76	0.0	0.77	1896.65	2178.83	1685.71	1733.13	2032.85	1551.09	1909.85	2351.53	1963.57	2163.77	1572.76	1950.0	1733.13	2047.0	1733.13	1572.76	1617.0	2148.82	2645.74	1870.53	2240.11	1883.54	2502.97	2018.8	1605.83
RTN4R	101.54	198.47	54.33	127.89	124.37	11.91	115.97	25.17	791.35	60.82	96.68	51.35	103.69	197.09	66.18	183.82	105.89	180.02	18.97	289.02	93.35	142.01	113.56	164.42	73.03	262.2	248.0	91.41	441.64	100.13	108.9	186.4	414.87	0.0	0.11	265.87	329.84	267.73	256.78	251.48	232.94	307.69	303.44	307.69	258.57	205.5	260.38	529.06	563.18	202.66	201.25	212.78	318.57	58.3	214.27	186.4	318.57	221.86	221.86	316.37
SCN4B	2.81	17.51	2.97	13.52	2.58	14.24	9.06	0.85	14.78	7.82	14.03	7.46	8.78	21.78	17.13	33.54	14.03	19.82	1.73	3.03	2.58	8.51	15.91	8.0	15.8	7.63	2.36	3.69	5.32	19.97	10.96	9.7	34.51	0.0	0.0	248.0	108.14	241.19	125.24	209.84	92.05	289.02	102.25	100.83	202.66	49.21	119.26	143.01	291.04	232.94	242.88	214.27	176.29	148.09	314.17	285.03	194.36	275.28	109.66	265.87
SH3D21	6.84	25.35	2.89	3.26	3.29	4.7	7.82	3.5	13.93	10.96	5.41	1.08	15.45	7.11	6.41	15.8	17.9	29.48	11.3	26.47	19.97	14.14	5.41	7.34	29.27	5.06	2.03	19.11	23.76	14.45	13.72	10.96	8.85	0.0	0.68	1037.29	878.17	1199.98	796.86	785.88	1199.98	974.5	1286.18	543.96	1883.54	728.11	1143.1	819.3	679.29	669.92	878.17	583.07	1183.45	947.83	1008.9	1617.0	624.99	928.3	693.58	836.53
SHANK1	3.2	10.71	1.08	0.18	0.14	3.38	1.87	4.03	0.6	1.97	2.25	0.0	5.02	2.34	0.0	9.7	0.0	3.03	1.89	0.48	0.14	3.66	0.61	0.51	2.63	0.55	0.0	2.16	1.25	6.16	7.75	2.68	4.58	0.0	0.08	16.27	32.36	11.47	6.78	6.21	8.92	24.81	13.12	6.31	16.03	6.84	14.24	20.26	53.95	24.28	24.63	8.45	10.31	7.46	14.35	25.17	12.45	8.71	29.27	5.92
SHISA9	0.53	1.14	4.58	1.3	0.26	1.19	2.16	0.22	2.34	0.0	1.06	0.0	0.0	2.2	9.34	5.02	0.29	0.0	0.26	0.0	0.0	2.14	1.23	0.2	0.0	10.0	0.0	0.75	0.0	0.32	0.22	0.22	0.93	0.0	0.0	0.82	2.66	1.6	4.7	35.0	1.93	1.22	1.93	4.17	3.0	1.57	1.99	4.06	2.97	5.19	3.72	17.9	4.28	4.35	1.58	0.0	6.21	6.26	36.27	6.41
SLC39A12	0.0	0.99	0.0	0.54	0.48	0.0	0.47	0.2	0.0	0.64	1.17	0.67	0.0	0.48	0.69	0.0	0.52	3.96	0.0	1.1	0.48	1.19	1.5	0.68	0.54	2.39	0.53	0.0	0.66	0.0	0.46	1.17	0.0	0.0	0.07	1.17	1.57	0.91	1.58	3.38	1.87	1.23	0.88	0.58	2.84	0.55	1.25	0.0	0.55	1.22	1.93	0.57	0.89	1.58	3.14	0.91	0.56	5.36	0.57	1.55
SLC9A3	0.83	4.06	0.0	0.88	0.66	0.0	17.64	0.0	0.75	0.0	11.04	0.0	2.05	3.2	0.1	2.51	0.79	6.06	1.17	14.67	0.0	3.06	4.46	0.93	6.06	3.03	0.0	15.22	0.83	1.46	2.92	7.46	19.11	0.0	0.45	2.14	2.25	1.17	1.73	2.2	3.79	1.17	2.73	2.34	2.25	3.26	1.19	4.46	6.41	2.76	2.29	1.2	2.76	6.06	3.32	2.27	5.5	2.71	3.41	4.86
SMARCD3	53.19	194.36	22.43	76.71	17.77	64.8	74.06	10.71	66.18	53.19	68.55	71.5	36.01	198.47	78.89	190.34	49.21	486.75	33.78	21.47	26.86	68.07	56.68	154.42	55.1	55.89	31.22	108.9	41.81	135.24	74.58	43.32	191.67	0.0	1.04	2047.0	1561.89	2502.97	1417.35	1498.22	1331.57	2075.59	1467.37	1605.83	1286.18	1135.2	1119.56	1447.15	1991.0	2018.8	1662.49	1477.58	1909.85	1721.16	1923.14	1331.57	1540.37	1572.76	1639.59	1242.34
SNCAIP	6.11	63.45	9.63	9.06	102.25	22.26	62.56	31.22	2.68	14.67	42.41	6.31	23.42	11.04	5.36	40.64	36.01	9.2	21.01	4.94	9.41	41.81	10.88	34.51	24.28	4.13	0.39	34.75	16.88	34.51	33.06	12.0	39.22	0.0	0.27	71.5	40.36	40.07	113.56	29.91	33.78	31.22	133.36	49.91	57.89	19.97	41.52	87.03	111.21	52.08	42.11	90.77	103.69	55.1	51.71	181.28	35.76	46.5	113.56	23.93
SULT1C2	6.78	23.59	63.0	0.25	8.06	2.97	4.66	4.78	4.31	1.48	3.86	4.13	4.1	0.38	31.45	1.97	1.25	36.53	0.61	4.06	0.39	42.11	27.64	115.16	23.42	1.58	3.2	15.11	4.9	1.03	7.88	1.55	0.24	0.0	0.02	514.56	356.05	473.41	567.1	463.65	457.25	642.59	536.45	397.93	373.81	423.61	438.59	463.65	486.75	529.06	343.89	441.64	642.59	287.01	373.81	435.55	351.14	514.56	591.22	293.07
SYT11	8.45	89.51	8.51	9.7	8.06	24.28	3.08	18.16	21.78	19.25	15.22	5.92	15.56	21.63	9.85	61.68	40.36	28.65	11.47	16.63	8.78	41.52	38.12	18.03	10.71	17.77	4.1	7.0	22.26	12.74	18.16	10.96	35.25	0.0	0.47	320.8	409.15	102.25	224.97	205.5	220.32	133.36	532.74	293.07	171.45	102.97	148.09	473.41	314.17	267.73	486.75	293.07	275.28	194.36	92.7	303.44	363.56	164.42	173.85	90.77
TDRD5	0.0	1.28	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	4.43	1.22	1.38	0.0	0.0	0.0	11.21	0.0	0.0	0.0	0.0	25.72	1.04	0.0	0.25	4.94	9.78	19.25	9.85	12.55	3.82	10.96	7.34	15.22	12.93	8.58	6.62	19.53	5.5	11.47	9.34	7.17	8.38	7.28	17.13	2.16	4.24	8.78	10.71	7.75
TEX12	1.25	0.0	0.37	0.0	0.0	0.82	2.36	2.78	0.0	0.67	1.03	1.71	0.84	2.89	0.0	1.08	1.99	1.77	2.14	1.69	2.41	0.0	0.83	6.62	1.19	1.58	1.46	0.0	1.2	2.03	1.3	1.03	2.84	0.0	0.04	6.16	3.89	2.32	6.73	3.76	4.86	2.29	2.76	5.87	3.89	2.25	1.85	0.44	3.79	4.31	1.87	3.53	2.78	2.36	1.35	1.85	0.89	4.21	2.92	1.33
TGFBR3L	29.06	30.12	6.06	373.81	2.81	1.06	78.34	0.0	145.02	7.69	75.64	718.08	14.78	78.34	239.52	45.53	17.51	68.07	9.63	134.3	11.13	74.58	48.18	189.02	54.33	32.82	23.25	27.44	30.34	110.43	10.79	96.68	19.68	0.0	0.41	108.9	96.01	10.24	19.11	27.84	63.0	121.79	113.56	43.02	20.11	87.65	66.65	146.03	167.9	53.57	43.94	10.63	80.57	97.36	19.97	72.01	41.52	109.66	76.17	36.53
THOC2	287.01	314.17	239.52	228.13	248.0	417.77	361.04	314.17	547.75	346.29	514.56	267.73	218.79	314.17	318.57	536.45	305.55	332.14	297.17	275.28	273.37	325.29	265.87	651.58	303.44	389.72	98.73	403.5	356.05	493.56	267.73	406.31	339.14	0.0	0.88	860.08	995.0	890.44	753.83	896.64	802.41	764.36	934.76	1044.52	1001.93	860.08	791.35	836.53	748.61	759.08	802.41	785.88	1008.9	1143.1	921.88	1044.52	738.29	775.05	890.44	808.0
