	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.11GSP.0626.SM.5986T	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X261.1726.SM.4PQYT	GTEX.X4EP.1026.SM.4QAS5	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.REY6.1226.SM.48FDR	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.YJ89.0726.SM.5P9F7	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11NSD.0126.SM.5987F	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.SE5C.0726.SM.4BRWY	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.Y3IK.0526.SM.4WWE3	GTEX.WFG7.0326.SM.5SI7L	GTEX.PX3G.2626.SM.2I3EG	GTEX.YB5K.0526.SM.5LUAS	GTEX.1192W.0126.SM.5EGGS	GTEX.XMK1.0626.SM.4B65A	GTEX.QMRM.0726.SM.2I5G8	GTEX.ZVZQ.0626.SM.59HJU	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
SYNE4	312.0	115.16	204.07	748.61	236.21	173.85	647.07	33.3	66.65	314.17	51.71	7.51	155.5	454.09	97.36	92.05	64.8	195.72	54.72	24.46	100.13	435.55	40.64	163.28	110.43	214.27	141.02	279.14	224.97	237.86	368.65	366.09	457.25	281.09	131.51	171.45	318.57	332.14	860.08	612.11	518.15	759.08	679.29	567.1	417.77	454.09	285.03	540.19	493.56	285.03	406.31	438.59	674.59	587.13	444.72	629.35	426.57	660.68	813.63
TANGO2	285.03	318.57	285.03	211.31	579.04	209.84	195.72	264.03	229.72	301.33	148.09	201.25	480.04	679.29	171.45	423.61	221.86	249.73	251.48	366.09	371.22	384.34	180.02	309.83	242.88	297.17	156.59	220.32	295.11	281.09	256.78	409.15	206.94	251.48	197.09	320.8	295.11	373.81	647.07	830.75	669.92	1216.75	651.58	1143.1	1088.92	1183.45	902.89	1721.16	1651.0	743.43	1143.1	529.06	1447.15	988.12	1127.35	638.15	1030.12	830.75	1268.46
TDRP	500.46	423.61	339.14	88.26	532.74	98.73	307.69	28.24	146.03	314.17	81.71	39.5	187.71	246.28	71.0	426.57	126.12	103.69	212.78	30.56	246.28	825.0	36.01	665.29	193.01	100.83	108.14	237.86	318.57	242.88	146.03	567.1	202.66	137.14	135.24	48.52	239.52	503.95	575.03	769.69	785.88	808.0	703.28	575.03	780.44	579.04	651.58	1023.0	723.08	674.59	384.34	708.18	642.59	633.73	607.87	791.35	473.41	967.76	1066.48
TMEM211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	2.2	9.41	2.48	4.28	4.54	3.72	3.76	2.63	0.0	6.52	1.79	1.06	1.3	5.32	3.92	1.57	2.27	0.0	2.32	0.0
TNFRSF14	1225.22	1378.57	1870.53	1135.2	5112.16	872.1	2417.67	587.13	1857.6	1883.54	480.04	493.56	1304.15	2777.33	563.18	1447.15	1322.37	848.22	1030.12	819.3	1051.79	3190.46	890.44	2400.97	1044.52	1066.48	665.29	1674.06	1388.16	1030.12	1832.01	1135.2	1350.18	1369.04	1277.29	1259.69	1250.98	2855.44	2319.15	3372.43	1617.0	1697.45	3847.29	4575.41	1628.26	1605.83	884.29	2434.5	2032.85	921.88	2537.92	1313.23	3564.78	1832.01	1191.69	3443.31	1950.0	1605.83	2485.67
TP73	0.41	2.89	6.41	1.23	2.61	2.68	2.1	3.86	0.01	4.86	0.0	3.47	17.38	1.33	0.55	3.76	0.77	0.72	0.0	3.08	0.35	14.45	1.28	2.51	1.68	1.71	0.0	4.54	2.81	2.41	3.69	4.66	6.26	0.79	1.13	52.08	3.23	1.33	40.07	53.57	40.07	23.25	23.25	15.56	35.76	21.78	5.73	27.64	17.77	6.67	18.97	9.41	54.33	15.68	16.27	21.47	19.82	55.89	25.91
TPRA1	583.07	536.45	612.11	848.22	476.71	536.45	780.44	403.5	703.28	723.08	379.04	366.09	660.68	647.07	426.57	591.22	647.07	684.02	414.87	921.88	551.56	842.36	547.75	579.04	521.76	514.56	493.56	872.1	796.86	693.58	620.67	713.11	647.07	759.08	642.59	587.13	733.19	616.37	1242.34	974.5	703.28	1008.9	995.0	902.89	921.88	825.0	830.75	1008.9	1001.93	830.75	713.11	825.0	830.75	791.35	848.22	947.83	791.35	830.75	902.89
TRIM52	102.97	149.12	120.1	157.68	123.5	39.5	114.36	27.84	99.43	58.3	76.71	36.27	144.01	38.4	50.27	83.45	67.12	80.01	49.91	42.11	87.03	182.55	67.59	122.64	96.01	74.06	79.45	153.34	161.02	59.97	84.63	161.02	163.28	74.58	82.29	85.22	103.69	65.26	511.0	511.0	703.28	532.74	748.61	633.73	587.13	450.94	387.02	529.06	571.05	395.18	457.25	426.57	748.61	373.81	363.56	679.29	395.18	563.18	703.28
TRMT10B	78.34	84.63	72.52	94.01	149.12	42.41	82.87	38.4	82.29	57.89	34.02	26.47	79.45	93.35	39.22	76.71	62.12	64.34	36.27	42.71	56.28	111.21	36.01	80.01	74.06	52.45	71.5	86.43	122.64	46.18	58.3	108.9	99.43	88.88	47.5	113.56	69.52	75.64	358.54	293.07	476.71	395.18	363.56	389.72	346.29	353.59	295.11	379.04	303.44	206.94	291.04	329.84	279.14	244.57	299.25	397.93	327.56	379.04	483.38
TTC34	0.44	4.21	5.41	1.33	3.89	2.07	0.14	0.0	0.0	4.74	0.65	0.39	4.31	1.14	0.0	0.2	0.99	1.3	1.43	0.59	0.11	0.78	1.43	1.23	1.39	0.06	0.34	4.9	2.76	2.56	1.71	1.58	0.87	0.74	0.0	2.71	0.78	3.53	100.83	48.18	33.78	35.5	120.1	85.22	36.79	93.35	27.25	149.12	98.73	33.3	74.58	50.98	92.7	50.98	55.89	83.45	94.01	104.42	131.51
TTLL3	101.54	85.82	215.77	115.97	599.49	50.27	348.71	33.3	153.34	94.67	45.85	21.78	110.43	148.09	28.65	146.03	90.77	59.55	73.54	66.18	158.79	309.83	84.04	299.25	103.69	95.34	51.35	144.01	137.14	78.34	96.01	237.86	169.07	99.43	137.14	149.12	92.7	100.13	1498.22	1662.49	1277.29	884.29	1437.15	1216.75	1268.46	575.03	624.99	1159.07	1096.5	480.04	693.58	575.03	1709.26	753.83	551.56	1909.85	647.07	1030.12	1617.0
TUBG2	118.43	95.34	133.36	139.07	299.25	81.71	314.17	64.34	176.29	130.6	93.35	55.1	198.47	264.03	81.71	217.27	183.82	90.77	150.17	108.9	115.16	262.2	100.13	400.71	167.9	129.69	121.79	125.24	309.83	86.43	136.19	139.07	138.1	159.9	111.21	157.68	208.38	186.4	1340.84	1008.9	698.41	796.86	909.17	902.89	688.78	595.34	599.49	743.43	748.61	341.51	563.18	660.68	802.41	559.28	529.06	1051.79	460.44	753.83	836.53
TUBGCP6	264.03	258.57	301.33	426.57	518.15	169.07	579.04	191.67	395.18	236.21	125.24	133.36	312.0	406.31	115.97	358.54	241.19	194.36	182.55	242.88	164.42	587.13	264.03	314.17	271.48	220.32	211.31	289.02	403.5	151.22	297.17	211.31	323.03	236.21	275.28	323.03	249.73	316.37	1127.35	1225.22	1143.1	961.07	1023.0	1277.29	1143.1	941.27	616.37	1191.69	1037.29	532.74	796.86	579.04	1225.22	698.41	551.56	1233.75	612.11	780.44	1617.0
UBA7	420.68	463.65	1167.14	341.51	1313.23	633.73	1369.04	356.05	271.48	1216.75	563.18	217.27	575.03	547.75	341.51	571.05	376.41	780.44	246.28	473.41	620.67	1529.73	642.59	813.63	490.14	351.14	454.09	1143.1	575.03	981.29	1044.52	1001.93	1015.93	947.83	514.56	954.43	629.35	532.74	2335.28	2645.74	2047.0	1447.15	3190.46	3081.75	1561.89	1268.46	1111.82	2090.03	1896.65	921.88	2148.82	981.29	2335.28	1883.54	1216.75	2468.49	1259.69	1216.75	2319.15
VILL	15.22	23.76	133.36	17.38	171.45	39.79	39.22	12.83	76.71	28.65	13.62	6.84	25.72	11.04	7.57	10.08	29.7	31.9	5.96	27.84	27.84	76.17	31.45	55.1	84.63	7.06	3.41	66.18	26.47	43.94	67.12	116.78	17.51	9.2	11.82	15.22	30.78	20.71	406.31	563.18	450.94	336.79	583.07	543.96	441.64	318.57	397.93	307.69	361.04	253.23	215.77	205.5	361.04	307.69	262.2	412.0	265.87	341.51	567.1
WBP1	1745.2	1651.0	1639.59	1733.13	1529.73	1794.29	1870.53	1066.48	1066.48	2061.24	902.89	896.64	2209.26	1745.2	988.12	1295.13	1417.35	1477.58	1388.16	1127.35	1551.09	2502.97	1487.87	1350.18	1896.65	1467.37	1104.13	2061.24	2163.77	1617.0	1487.87	1844.76	1896.65	2796.65	1388.16	1709.26	1378.57	2090.03	6164.49	6792.79	4639.29	4836.35	6381.92	5292.48	4152.18	3639.7	4450.27	5255.91	5255.91	2664.15	3928.15	3540.14	5517.27	4181.07	3349.13	5219.6	3589.58	5441.3	5831.91
WDR27	123.5	81.14	212.78	146.03	327.56	33.06	303.44	37.05	121.79	75.11	63.45	43.94	95.34	132.44	28.65	106.63	82.29	82.87	34.26	55.1	145.02	273.37	66.18	253.23	59.97	80.57	81.14	197.09	251.48	100.13	177.53	199.85	114.36	100.13	150.17	177.53	136.19	96.01	1073.91	1159.07	1216.75	1175.27	796.86	708.18	1407.55	503.95	493.56	934.76	432.53	281.09	521.76	620.67	928.3	511.0	708.18	1359.57	595.34	759.08	1175.27
WDR38	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	1.95	0.0	0.93	0.0	0.0	0.0	0.0	2.32	1.1	0.8	0.0	16.51	15.56	2.34	7.22	8.13	5.59	6.21	8.38	10.0	25.35	15.56	6.36	6.36	8.13	5.73	10.47	2.81	10.39	6.94	34.51	3.66
WDR6	1037.29	414.87	1447.15	1208.34	1745.2	743.43	1313.23	612.11	1225.22	947.83	780.44	540.19	915.51	1044.52	665.29	1183.45	1286.18	748.61	967.76	555.41	1059.11	1697.45	447.82	2075.59	974.5	540.19	785.88	928.3	2271.4	785.88	825.0	1540.37	743.43	836.53	836.53	1313.23	1331.57	802.41	6426.31	4704.07	6250.56	5672.41	4671.57	3901.01	7331.05	3742.05	4903.87	4869.99	5076.84	2720.15	3820.7	2976.74	4575.41	3820.7	3794.3	3794.3	2915.45	6887.62	6337.83
WDR86	14.45	9.56	46.5	16.39	60.82	1.79	51.35	7.17	40.36	5.73	4.28	3.38	17.64	22.75	3.08	10.0	21.78	12.09	4.86	15.34	24.28	68.07	20.56	38.4	14.45	18.7	16.75	20.41	32.13	13.83	7.57	21.94	16.39	12.83	33.78	34.75	26.86	7.63	2720.15	3303.0	4512.4	2319.15	2573.36	2485.67	2701.35	1977.24	764.36	2855.44	3146.52	1159.07	1331.57	1001.93	3168.41	1909.85	934.76	2758.13	1909.85	3257.52	3146.52
ZNF133	155.5	120.1	128.79	159.9	234.57	59.55	165.57	57.49	149.12	99.43	46.84	44.57	138.1	114.36	69.03	108.14	114.36	84.04	107.38	93.35	99.43	241.19	66.18	175.07	101.54	82.29	87.65	134.3	193.01	72.01	114.36	136.19	122.64	101.54	75.64	156.59	120.94	152.28	624.99	476.71	483.38	457.25	486.75	379.04	525.39	379.04	307.69	371.22	384.34	327.56	323.03	368.65	447.82	332.14	356.05	579.04	305.55	371.22	651.58
ZNF251	115.16	100.83	105.15	111.99	186.4	60.39	173.85	33.54	71.5	78.89	42.41	27.84	83.45	87.65	34.02	108.14	81.14	48.18	33.78	56.28	69.52	201.25	59.55	89.51	59.55	47.5	78.89	126.12	124.37	61.68	92.7	75.64	134.3	88.88	89.51	108.9	87.03	81.71	723.08	616.37	759.08	583.07	854.13	753.83	660.68	769.69	490.14	808.0	743.43	476.71	624.99	514.56	780.44	563.18	389.72	1183.45	679.29	693.58	1167.14
ZNF337	96.01	82.29	117.6	163.28	258.57	40.64	105.15	44.89	136.19	80.57	25.54	23.59	87.03	127.0	50.63	72.52	80.01	45.53	51.71	53.95	73.54	140.04	39.5	170.25	111.21	74.58	60.82	94.01	105.15	73.03	63.89	127.89	140.04	60.39	80.57	89.51	57.89	82.29	511.0	392.44	476.71	348.71	432.53	392.44	529.06	271.48	353.59	351.14	432.53	289.02	314.17	420.68	389.72	366.09	297.17	497.0	307.69	603.67	583.07
ZNF580	189.02	173.85	287.01	228.13	275.28	95.34	159.9	66.18	260.38	255.0	43.32	74.06	297.17	115.97	104.42	136.19	183.82	146.03	61.68	128.79	155.5	423.61	143.01	218.79	150.17	116.78	90.77	279.14	193.01	105.15	150.17	163.28	137.14	149.12	145.02	217.27	116.78	157.68	1950.0	1427.22	842.36	1208.34	2209.26	1685.71	1259.69	1628.26	791.35	1733.13	2193.99	1388.16	1322.37	1340.84	1605.83	1447.15	1286.18	1651.0	1594.73	1015.93	2468.49
ZNF821	42.71	107.38	65.26	57.89	68.07	52.82	124.37	32.36	117.6	133.36	36.79	23.59	62.56	139.07	29.48	43.02	50.98	58.3	36.01	22.26	40.64	67.59	53.95	82.29	38.12	27.05	65.26	94.01	83.45	46.5	66.65	55.49	48.18	48.87	51.71	81.71	48.18	83.45	620.67	293.07	339.14	356.05	307.69	269.6	287.01	269.6	264.03	397.93	325.29	220.32	228.13	249.73	371.22	332.14	269.6	312.0	287.01	251.48	341.51
