	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
MACC1	98.04	204.07	153.34	73.03	95.34	104.42	7.82	135.24	135.24	4.58	21.47	6.41	5.15	5.23	0.0	1.89	0.43	2.86	1.17	0.0	1.43	0.0	0.0	1.73	0.33	27.44	0.3	0.0	0.71	1.01	0.3	0.46	0.0	0.41	0.36	1.83	23.08	1.85	0.38	0.0	14.03	44.25	1.36	3.41	2.56	1.36	4.98	6.11	1.97	10.16	15.22	80.01	76.71	90.14	24.11	0.89	11.04	27.64	1.68	0.0	0.03	9.48	106.63	7.28	3.03	0.85	6.52	5.82	2.07	27.84	1.91	6.31	2.66	0.0	4.5	7.0	13.22	2.12	55.89	3.63	30.78	0.71	0.04	1.83	13.03	28.65	65.26	107.38	82.29	171.45	146.03
MAML2	414.87	470.14	460.44	346.29	412.0	429.54	318.57	457.25	198.47	17.13	143.01	149.12	88.26	103.69	87.65	22.75	11.55	24.99	20.56	7.69	9.41	10.39	15.11	16.03	3.56	72.52	2.29	12.09	12.18	6.62	2.25	23.08	35.5	24.46	17.13	16.15	69.52	33.54	20.56	4.17	48.52	4.24	21.32	26.67	36.79	5.92	16.88	32.36	12.93	23.93	20.71	3.26	121.79	56.68	110.43	9.27	27.25	129.69	10.08	9.41	10.08	29.7	162.14	17.64	5.87	5.19	21.78	22.75	3.89	40.36	30.34	21.78	14.14	9.78	6.41	68.07	16.27	8.45	41.52	4.54	47.5	5.96	9.41	27.05	10.63	67.12	536.45	279.14	120.94	146.03	209.84
MAPK15	73.54	111.21	28.24	49.56	77.79	98.04	0.0	27.44	133.36	5.96	33.3	35.76	65.72	39.5	68.07	17.25	4.62	4.06	2.46	5.59	3.44	5.96	0.0	9.56	2.14	38.4	0.0	10.24	0.0	11.64	9.2	4.9	6.31	2.56	9.13	3.53	66.18	5.82	13.22	3.11	8.58	22.1	3.47	0.0	10.71	1.2	0.0	9.13	2.01	3.59	3.0	6.67	16.51	33.54	43.94	0.0	17.51	50.27	0.62	1.35	0.0	3.5	348.71	0.16	3.72	0.0	6.06	4.7	4.43	8.13	27.44	3.79	0.0	7.69	1.66	26.86	14.14	0.39	71.5	1.48	25.91	1.77	0.0	2.73	13.22	37.05	134.3	713.11	29.06	98.04	113.56
MCOLN3	72.52	57.08	80.57	62.56	82.29	28.04	83.45	76.71	59.13	8.25	215.77	156.59	178.77	106.63	163.28	14.89	1.5	3.26	3.41	1.13	3.2	1.39	0.0	2.66	0.78	17.13	0.0	2.05	1.77	0.8	1.55	1.58	0.0	0.91	2.23	1.83	3.92	16.27	3.26	0.0	14.89	0.0	0.96	3.35	6.89	1.39	4.31	3.92	5.5	2.81	5.45	5.54	10.96	7.69	15.34	0.35	11.38	37.59	0.0	19.53	2.73	1.0	299.25	3.38	0.0	0.71	1.28	6.67	0.0	33.3	154.42	18.7	1.17	4.28	0.0	42.11	20.71	0.0	39.22	0.32	23.42	0.0	0.13	1.95	15.68	4.94	162.14	104.42	57.89	353.59	190.34
MITF	305.55	173.85	329.84	314.17	341.51	258.57	204.07	182.55	93.35	24.28	318.57	191.67	175.07	198.47	223.41	56.28	14.56	23.42	23.76	12.93	32.59	17.25	17.38	16.88	10.55	76.71	3.23	12.64	15.0	14.78	17.25	18.03	23.42	17.25	23.42	18.97	71.0	38.12	40.93	17.64	48.18	21.01	25.72	35.76	35.5	4.82	19.53	43.63	20.41	27.25	17.9	16.88	102.97	67.59	90.14	5.5	55.49	148.09	29.06	14.78	49.56	63.45	480.04	29.27	15.45	49.56	23.76	23.59	10.71	22.1	37.05	55.1	72.01	17.25	22.1	122.64	28.45	5.02	121.79	32.59	70.01	10.16	6.52	18.97	45.85	61.68	629.35	693.58	447.82	289.02	381.68
MOK	420.68	403.5	353.59	303.44	392.44	249.73	228.13	438.59	860.08	129.69	285.03	379.04	624.99	255.0	258.57	146.03	141.02	111.21	60.82	96.68	38.67	153.34	97.36	94.01	66.18	275.28	111.99	111.99	71.0	84.63	95.34	99.43	94.67	70.01	112.77	124.37	249.73	145.02	94.01	147.06	171.45	104.42	71.0	85.82	118.43	76.17	93.35	149.12	96.68	85.22	101.54	113.56	175.07	173.85	211.31	44.25	94.01	483.38	133.36	59.13	44.89	71.5	703.28	55.1	82.29	21.16	112.77	108.9	85.82	67.59	215.77	215.77	47.84	80.01	100.83	157.68	114.36	28.45	172.65	37.59	176.29	66.18	52.45	55.49	38.12	120.94	346.29	555.41	447.82	759.08	423.61
MRC2	2133.97	669.92	1388.16	1259.69	1059.11	1242.34	228.13	995.0	1119.56	96.01	1051.79	1151.06	1583.71	1572.76	1233.75	242.88	77.25	215.77	226.54	11.38	36.79	47.84	60.39	177.53	11.47	642.59	6.94	120.94	36.53	96.01	8.19	126.12	78.89	72.52	135.24	195.72	473.41	246.28	57.89	15.8	212.78	24.81	96.01	130.6	126.12	34.26	116.78	145.02	112.77	139.07	145.02	22.43	1119.56	450.94	1051.79	64.8	176.29	2664.15	62.56	127.0	58.3	146.03	1757.34	20.26	55.49	21.78	126.12	208.38	44.25	291.04	183.82	123.5	119.26	37.85	18.03	291.04	38.67	28.04	361.04	19.39	1277.29	51.35	17.38	88.26	125.24	395.18	2434.5	2384.37	1572.76	3419.52	1662.49
MXRA5	802.41	299.25	587.13	780.44	480.04	753.83	193.01	575.03	450.94	31.9	285.03	435.55	688.78	633.73	221.86	57.89	12.18	44.25	50.27	1.06	5.02	7.69	9.93	24.46	2.56	138.1	1.1	26.86	8.06	7.11	0.74	16.39	29.7	12.93	19.82	15.8	53.95	63.89	13.72	0.97	54.33	2.03	49.21	63.0	95.34	20.26	34.51	52.82	37.05	111.21	58.71	3.86	463.65	15.0	155.5	137.14	50.63	723.08	40.64	31.45	111.21	57.89	647.07	49.91	6.52	26.67	69.03	35.25	33.54	29.27	46.5	36.53	49.91	1.23	32.82	165.57	24.11	12.09	76.17	43.32	180.02	42.11	18.03	53.57	17.38	163.28	211.31	215.77	258.57	1388.16	151.22
MYL3	72.52	46.84	61.68	45.21	38.4	77.79	373.81	45.53	31.22	19.11	54.72	56.68	24.63	47.5	24.81	3.38	34.51	11.38	9.93	0.0	5.32	8.32	16.75	15.91	0.0	42.71	0.0	13.83	4.7	10.96	1.43	29.91	13.83	2.41	19.11	20.56	41.81	20.26	7.46	2.14	72.52	3.2	16.63	22.75	39.22	22.59	13.42	45.21	36.01	30.56	27.44	35.0	30.56	25.54	55.89	6.62	157.68	228.13	19.11	32.36	66.18	37.32	356.05	15.56	23.93	5.45	11.47	21.16	17.77	76.17	194.36	84.04	31.45	95.34	3.5	64.8	161.02	10.0	70.51	12.36	10.31	19.68	29.91	66.18	256.78	35.76	206.94	157.68	83.45	61.25	59.97
MYO10	253.23	239.52	234.57	237.86	249.73	205.5	293.07	320.8	406.31	95.34	201.25	218.79	167.9	156.59	165.57	31.0	34.26	38.12	53.19	8.71	21.47	20.71	46.5	15.22	8.45	163.28	10.55	17.77	31.9	16.27	7.06	46.18	74.58	45.21	39.5	43.02	172.65	45.85	43.32	7.4	221.86	10.88	45.85	104.42	133.36	24.28	59.55	111.99	64.34	92.05	100.83	12.74	947.83	205.5	559.28	63.0	135.24	733.19	27.84	32.59	94.67	153.34	1508.65	36.27	21.94	67.59	58.71	34.51	95.34	249.73	95.34	52.08	148.09	40.64	26.47	392.44	69.03	38.95	327.56	77.79	218.79	12.0	24.81	106.63	50.27	166.73	246.28	289.02	961.07	218.79	318.57
NBEA	102.97	122.64	109.66	126.12	128.79	125.24	29.7	61.68	73.54	11.91	224.97	211.31	191.67	212.78	220.32	5.63	3.35	6.26	10.0	0.58	1.99	2.58	5.92	4.78	9.85	31.22	1.73	9.41	5.23	3.47	0.96	8.19	7.11	4.17	5.59	8.32	22.43	17.51	7.88	2.51	31.0	1.55	17.64	16.27	20.26	2.84	11.3	14.89	7.94	13.12	12.74	4.31	43.63	16.27	35.76	7.82	13.83	156.59	2.76	7.11	8.58	10.24	127.89	6.46	17.77	2.23	13.83	10.0	1.28	11.47	5.68	15.56	8.65	39.79	13.42	36.53	9.2	7.0	32.36	2.25	35.25	2.36	5.5	11.82	8.25	18.7	138.1	103.69	214.27	258.57	178.77
NCK2	902.89	902.89	872.1	688.78	941.27	928.3	595.34	1340.84	1583.71	154.42	947.83	1119.56	1096.5	1127.35	1159.07	155.5	69.52	177.53	181.28	10.24	67.12	106.63	169.07	142.01	151.22	591.22	21.32	171.45	122.64	94.01	81.71	206.94	262.2	162.14	156.59	195.72	708.18	303.44	127.0	41.52	575.03	46.5	237.86	141.02	231.32	108.14	221.86	241.19	133.36	176.29	166.73	63.89	1268.46	836.53	1143.1	134.3	285.03	1030.12	164.42	228.13	158.79	108.14	2895.31	176.29	22.92	277.2	137.14	529.06	70.01	476.71	563.18	177.53	253.23	186.4	105.89	616.37	54.33	57.89	1088.92	109.66	638.15	29.48	75.11	166.73	175.07	575.03	723.08	703.28	2004.85	1662.49	1963.57
NKD2	86.43	88.26	83.45	45.21	66.65	76.17	2.76	62.12	242.88	58.3	135.24	117.6	175.07	87.65	81.71	25.54	19.39	30.12	79.45	1.87	9.56	170.25	21.94	137.14	127.89	149.12	3.32	53.57	17.64	244.57	4.58	57.49	20.86	19.82	64.34	101.54	175.07	70.51	11.3	4.58	117.6	63.45	43.32	49.56	31.67	24.11	24.11	48.87	45.53	49.56	52.45	16.75	122.64	285.03	2417.67	16.63	44.25	651.58	11.3	32.82	4.17	17.51	961.07	3.5	16.75	33.3	323.03	83.45	161.02	94.67	86.43	95.34	26.28	15.34	150.17	255.0	110.43	0.96	1870.53	11.47	75.64	12.45	15.11	30.34	105.15	78.89	441.64	1037.29	64.8	339.14	555.41
NLGN4X	85.22	111.99	82.87	58.71	84.04	123.5	166.73	194.36	8.19	12.45	66.18	120.94	70.01	63.45	71.0	5.45	5.63	8.85	9.27	0.57	2.36	3.41	2.86	7.69	5.11	81.71	1.69	10.39	23.76	2.63	5.36	6.46	5.73	8.92	3.11	19.25	19.11	10.55	1.55	0.87	10.79	171.45	5.41	14.89	32.59	7.75	13.72	10.31	8.0	21.78	15.45	1.22	154.42	27.44	85.22	3.5	41.81	90.77	8.0	2.56	84.04	33.3	981.29	4.43	5.87	1.69	8.19	13.32	19.97	32.82	36.01	11.38	29.91	5.32	24.81	58.71	44.57	5.68	32.82	19.82	13.83	2.78	16.03	7.88	5.32	26.86	17.9	8.13	56.68	95.34	47.17
OBSCN	189.02	316.37	215.77	113.56	339.14	253.23	28.04	271.48	248.0	21.32	135.24	177.53	189.02	202.66	187.71	18.97	9.41	22.75	19.97	1.83	8.13	11.64	7.11	16.51	4.78	77.79	1.33	23.42	11.82	9.27	2.39	19.82	16.88	28.86	18.7	38.67	63.89	55.1	20.11	71.5	52.08	2.68	22.92	10.55	36.53	11.3	12.83	25.54	10.96	15.11	16.63	6.26	94.01	22.43	215.77	0.0	24.28	195.72	12.09	9.78	9.34	24.28	988.12	2.84	14.14	6.01	25.54	21.63	8.25	13.62	37.05	9.48	13.52	6.67	0.0	248.0	13.52	8.85	70.01	1.46	63.45	5.02	3.47	17.0	67.12	40.07	248.0	52.45	384.34	323.03	303.44
ODF2L	642.59	698.41	460.44	514.56	591.22	466.88	947.83	376.41	540.19	158.79	392.44	466.88	483.38	303.44	381.68	112.77	124.37	100.83	87.03	16.39	24.99	138.1	118.43	85.22	34.75	202.66	15.68	94.67	37.85	59.55	14.45	105.89	56.28	162.14	40.07	104.42	228.13	164.42	241.19	18.56	153.34	10.47	129.69	94.01	80.01	9.63	48.87	93.35	81.14	97.36	107.38	29.48	97.36	172.65	791.35	49.56	49.21	232.94	33.78	113.56	59.55	157.68	665.29	104.42	37.05	85.22	53.95	59.97	56.28	46.84	149.12	105.15	156.59	102.97	33.06	242.88	53.19	25.91	244.57	82.87	62.12	39.5	18.29	114.36	6.46	88.26	435.55	595.34	198.47	587.13	423.61
PAPLN	108.9	237.86	212.78	246.28	287.01	212.78	120.1	232.94	361.04	31.45	98.73	291.04	518.15	336.79	529.06	152.28	10.39	107.38	81.71	6.52	10.47	21.32	12.36	59.97	18.16	241.19	1.6	65.26	16.75	47.84	3.5	27.44	49.56	85.22	45.85	94.67	429.54	248.0	20.86	7.63	156.59	5.63	40.07	45.21	54.72	9.27	30.78	85.22	30.78	49.21	20.86	32.82	567.1	264.03	551.56	7.69	145.02	2591.27	14.89	26.28	28.45	49.21	4298.64	10.08	13.12	2.71	76.71	74.58	19.97	114.36	175.07	29.7	48.87	37.32	8.13	244.57	30.78	8.99	102.25	15.56	301.33	2.07	14.78	12.83	33.3	301.33	1044.52	470.14	703.28	1175.27	624.99
PAQR5	39.5	34.75	21.16	55.89	36.53	10.63	6.52	47.5	190.34	16.88	109.66	45.21	34.02	35.0	63.89	13.32	1.93	13.32	38.95	2.51	3.86	2.73	1.25	16.03	64.34	106.63	59.55	15.11	30.34	4.43	1.81	13.42	130.6	16.03	27.05	21.78	74.58	55.89	1.69	56.68	87.03	47.5	23.08	23.93	13.03	6.46	13.03	37.59	10.0	10.47	20.86	7.57	76.17	165.57	249.73	0.39	7.0	242.88	8.78	3.5	0.0	8.78	1233.75	0.28	10.16	34.51	15.11	60.82	3.08	145.02	25.91	15.8	22.59	5.36	0.13	58.71	8.45	3.96	457.25	0.78	126.12	1.41	4.74	5.63	41.22	329.84	187.71	142.01	31.22	59.55	74.58
PDE1A	108.14	80.57	114.36	123.5	159.9	123.5	120.1	116.78	299.25	31.9	248.0	361.04	432.53	447.82	356.05	56.68	22.59	76.71	58.3	1.03	7.06	18.29	22.59	37.85	4.82	183.82	1.46	37.85	8.58	30.78	2.97	30.56	29.48	42.71	31.45	73.03	208.38	112.77	8.06	6.94	94.67	6.11	24.81	26.28	48.52	18.56	30.34	37.85	30.56	41.81	26.1	4.43	178.77	166.73	135.24	23.76	67.59	656.11	20.11	10.71	29.27	35.0	563.18	15.45	6.89	13.32	25.54	33.78	16.75	62.56	84.04	52.08	20.26	20.41	17.77	106.63	43.63	6.26	151.22	38.4	111.99	10.0	28.65	34.51	15.8	130.6	371.22	191.67	281.09	1066.48	414.87
PDGFD	884.29	703.28	651.58	825.0	1023.0	603.67	246.28	854.13	303.44	49.56	244.57	231.32	157.68	239.52	89.51	49.56	10.79	44.89	48.87	21.78	28.65	25.17	26.1	70.51	23.76	232.94	37.85	72.52	53.57	33.78	27.05	145.02	115.16	64.8	31.45	57.89	155.5	100.13	66.65	13.42	149.12	15.0	164.42	60.82	54.33	18.43	54.33	65.26	37.32	31.67	29.91	17.9	182.55	176.29	312.0	17.25	62.56	444.72	28.45	56.28	41.22	59.55	1685.71	55.1	10.55	7.69	86.43	53.57	7.0	115.97	96.01	40.93	20.71	14.67	13.52	173.85	13.83	18.43	242.88	25.91	214.27	10.71	8.85	34.02	105.15	371.22	336.79	169.07	518.15	738.29	191.67
PDGFRA	896.64	607.87	1037.29	878.17	1030.12	981.29	262.2	450.94	791.35	141.02	583.07	567.1	669.92	961.07	819.3	89.51	29.7	88.88	105.15	0.0	5.63	58.71	10.31	39.79	2.61	332.14	0.0	83.45	13.62	69.03	2.81	109.66	43.94	31.22	38.4	145.02	389.72	150.17	18.03	5.96	409.15	131.51	44.57	211.31	214.27	65.26	133.36	299.25	108.14	371.22	220.32	36.79	802.41	4388.98	2485.67	30.56	1733.13	9540.5	54.72	14.14	543.96	323.03	13586.57	53.95	55.1	50.98	371.22	237.86	106.63	1733.13	825.0	120.1	559.28	57.49	209.84	1151.06	343.89	86.43	647.07	171.45	1697.45	10.16	57.89	85.82	170.25	189.02	718.08	723.08	1151.06	1870.53	1417.35
PDP1	483.38	595.34	575.03	579.04	575.03	329.84	158.79	450.94	273.37	42.71	165.57	232.94	170.25	153.34	159.9	28.45	22.26	26.28	27.25	10.55	7.94	52.08	25.72	17.25	3.53	125.24	4.54	12.55	33.78	10.79	1.66	35.76	29.7	28.86	46.5	22.75	149.12	40.64	29.27	5.41	95.34	17.51	36.79	54.72	60.39	36.01	48.18	49.91	21.47	81.14	43.02	43.32	260.38	248.0	214.27	40.36	47.17	115.16	61.25	21.32	121.79	42.71	1059.11	103.69	12.55	61.68	82.87	93.35	38.12	63.0	60.39	34.26	38.4	38.12	44.89	105.89	53.19	58.71	166.73	51.71	231.32	8.58	25.17	71.5	25.17	75.64	356.05	260.38	323.03	329.84	435.55
PDZRN3	1044.52	708.18	1304.15	1216.75	884.29	1081.39	2287.2	612.11	305.55	29.7	1437.15	1437.15	1127.35	1143.1	1457.23	14.89	4.58	21.63	31.67	0.0	2.58	20.56	7.51	11.04	4.35	135.24	0.0	19.97	2.97	13.72	0.0	24.63	18.84	15.56	9.56	20.11	128.79	37.85	8.71	3.0	53.19	8.06	35.0	20.56	34.75	24.11	36.53	19.39	28.04	27.64	36.27	1.77	126.12	125.24	82.87	8.06	50.98	607.87	10.96	4.1	49.91	43.32	571.05	16.03	8.38	38.12	19.11	33.06	6.06	51.71	63.89	25.91	26.67	8.19	2.63	65.26	28.45	23.93	59.13	2.32	79.45	4.82	9.85	14.14	43.02	126.12	884.29	665.29	2004.85	2271.4	1277.29
PHC1	376.41	497.0	438.59	483.38	500.46	473.41	204.07	575.03	343.89	114.36	555.41	460.44	521.76	470.14	486.75	80.01	114.36	47.84	98.04	9.85	13.03	95.34	91.41	35.25	14.35	307.69	9.27	59.13	62.12	22.92	9.56	115.16	96.01	94.01	36.27	48.52	246.28	162.14	88.26	18.03	127.89	19.82	90.77	72.52	114.36	55.1	73.54	115.97	53.95	103.69	55.89	38.95	373.81	154.42	460.44	66.65	63.45	226.54	144.01	36.01	24.99	105.15	872.1	27.44	30.56	47.17	146.03	153.34	15.11	84.04	194.36	64.34	78.89	45.21	22.26	336.79	55.49	28.04	113.56	32.82	334.46	43.94	24.63	111.21	88.88	204.07	802.41	457.25	1331.57	1832.01	1498.22
PLA2G5	102.97	31.22	87.03	99.43	46.5	140.04	108.14	82.87	185.11	153.34	206.94	400.71	532.74	463.65	309.83	149.12	55.1	76.71	61.25	0.0	18.7	99.43	55.49	96.01	30.56	303.44	4.1	191.67	28.65	104.42	9.48	99.43	66.65	67.59	62.56	155.5	341.51	157.68	73.03	42.41	232.94	39.5	35.76	87.03	173.85	39.5	53.95	98.04	124.37	62.12	189.02	125.24	181.28	293.07	713.11	20.11	693.58	890.44	61.68	7.51	202.66	116.78	1561.89	27.05	13.72	16.75	248.0	181.28	119.26	376.41	316.37	139.07	361.04	112.77	98.04	262.2	409.15	54.33	301.33	37.85	171.45	50.27	194.36	100.13	19.82	107.38	575.03	457.25	447.82	312.0	193.01
PLA2R1	417.77	244.57	406.31	371.22	476.71	283.05	99.43	267.73	153.34	9.85	279.14	152.28	237.86	262.2	150.17	13.52	12.27	8.13	3.11	0.0	0.66	8.92	6.89	13.22	6.46	88.26	0.59	9.7	4.1	12.45	0.58	20.11	9.41	8.06	13.62	6.06	61.25	21.47	3.86	1.55	46.5	1.55	10.39	18.29	37.32	12.83	35.5	31.22	14.03	23.08	36.01	5.73	92.05	60.39	181.28	9.56	25.35	202.66	15.68	16.03	12.18	11.3	381.68	0.37	8.19	2.41	26.86	33.06	6.36	32.36	37.32	12.45	12.0	2.78	10.39	121.79	27.44	2.12	35.5	9.41	48.52	15.68	4.66	10.08	33.06	45.85	248.0	142.01	91.41	287.01	187.71
PLCXD3	19.25	23.59	30.78	39.22	66.65	40.07	30.56	13.32	48.52	24.28	19.53	24.99	16.27	18.16	15.22	3.38	5.23	5.77	3.0	0.0	0.0	10.71	4.58	3.92	1.75	47.17	0.0	7.57	0.6	16.27	0.0	27.44	1.53	7.34	7.11	11.55	38.95	13.72	0.0	0.0	53.57	0.6	10.55	27.25	26.86	4.17	9.56	42.71	12.0	23.42	32.36	8.0	104.42	79.45	138.1	2.73	68.55	759.08	8.58	1.83	35.25	34.75	656.11	3.66	14.67	0.0	53.57	37.59	1.62	78.34	98.73	31.67	21.63	5.92	15.91	104.42	43.02	7.11	46.5	15.0	83.45	2.68	4.9	13.22	8.25	30.56	102.97	85.22	69.03	37.05	92.7
PLD5	22.92	7.46	10.47	14.14	36.53	11.91	5.23	18.29	26.67	1.22	17.0	40.64	12.0	7.63	14.35	0.47	1.03	1.3	0.0	0.0	0.45	0.0	0.0	0.44	0.78	4.54	0.0	0.0	0.44	0.42	0.38	0.57	1.71	0.99	0.44	0.0	5.36	0.47	0.88	0.35	0.0	0.0	2.61	1.69	7.17	0.0	0.58	3.86	1.13	1.19	3.0	3.0	4.13	0.0	2.76	0.39	0.0	9.34	5.45	0.0	1.66	1.45	40.93	0.0	0.0	0.0	0.34	0.0	0.39	0.0	3.26	0.0	1.79	0.38	1.35	17.64	2.73	0.0	2.58	2.14	5.06	0.34	1.06	0.0	0.0	8.06	111.21	35.5	56.68	79.45	20.71
PODN	2047.0	733.19	1583.71	1977.24	1896.65	1977.24	312.0	1685.71	1369.04	100.83	1183.45	819.3	1208.34	1059.11	1135.2	177.53	52.45	289.02	223.41	2.56	7.46	68.07	28.65	133.36	4.17	1437.15	1.33	114.36	26.86	110.43	0.87	142.01	72.52	111.21	171.45	314.17	1023.0	511.0	35.5	16.88	483.38	22.43	46.84	199.85	228.13	54.33	130.6	325.29	155.5	163.28	273.37	12.27	1225.22	3103.19	2502.97	29.91	3639.7	5672.41	56.68	78.89	361.04	258.57	5791.62	9.7	67.59	26.28	309.83	603.67	100.83	2090.03	791.35	39.79	493.56	81.71	33.78	947.83	169.07	82.29	819.3	66.65	3716.2	50.98	79.45	112.77	163.28	529.06	21919.61	5995.9	5831.91	4123.49	2104.58
POU6F1	287.01	305.55	241.19	253.23	318.57	285.03	146.03	343.89	228.13	46.5	314.17	262.2	314.17	248.0	348.71	116.78	60.39	52.82	57.89	66.65	82.87	68.07	68.07	49.21	73.54	206.94	49.56	70.01	103.69	52.08	26.67	73.03	50.98	141.02	75.11	85.22	139.07	97.36	111.99	51.35	124.37	70.01	67.59	59.13	92.05	29.7	71.0	69.52	69.52	44.25	49.91	49.56	94.67	125.24	248.0	35.76	82.87	108.9	49.56	59.97	45.85	54.33	376.41	24.81	74.58	45.21	63.0	67.12	41.81	59.55	82.87	87.65	53.57	65.26	36.27	104.42	41.52	62.56	77.79	42.71	57.49	55.89	43.63	82.87	105.89	101.54	348.71	325.29	660.68	780.44	607.87
PPAPDC1A	2.73	0.69	0.73	1.41	3.44	7.28	11.13	6.26	231.32	26.1	63.45	87.65	109.66	37.59	70.51	4.94	11.47	7.22	14.24	0.93	2.23	3.14	0.0	3.53	0.69	98.04	0.0	4.82	0.0	8.19	0.0	8.92	1.55	2.14	0.0	8.65	101.54	9.41	0.0	0.0	46.84	0.0	2.34	18.56	39.5	16.03	19.97	24.81	33.54	13.52	37.85	7.11	137.14	775.05	33.54	22.75	135.24	1819.35	5.87	5.11	36.79	3.76	836.53	0.0	46.5	0.28	54.33	49.91	22.43	470.14	22.1	12.0	80.57	18.56	32.82	44.25	40.93	16.27	80.01	38.67	197.09	5.41	13.72	34.02	28.86	125.24	38.12	5.92	37.85	36.79	15.34
