	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.6780.01A.11R.A278.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.139TS.1426.SM.5IFJD	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.1313W.0926.SM.5EQ56	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.145MF.0726.SM.5Q5BT	GTEX.T8EM.0326.SM.3DB7F	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.18.3408.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
PIN1	830.75	301.33	454.09	426.57	753.83	1561.89	2224.63	2240.11	2119.22	1950.0	1896.65	2520.38	2367.9	1896.65	2032.85	1991.0	1639.59	2090.03	1870.53	723.08	1268.46	1529.73	1832.01	1733.13	1250.98	1167.14	1081.39	1757.34	1331.57	1066.48	1437.15	1417.35	842.36	791.35	0.0	1583.71	0.75	258.57	228.13	381.68	1051.79	1519.15	1397.83	1745.2	1199.98	2335.28	2627.46	854.13	2537.92	1697.45	764.36	1001.93	1081.39	432.53	1277.29	1896.65	220.32	518.15
PLOD3	1304.15	974.5	1551.09	934.76	325.29	2855.44	2209.26	1883.54	1508.65	1628.26	1651.0	2434.5	2319.15	1883.54	2997.45	2835.7	2701.35	2796.65	4066.71	2997.45	2739.08	3257.52	2090.03	2609.3	1883.54	1605.83	1111.82	2104.58	1896.65	713.11	2739.08	1208.34	796.86	1167.14	0.0	1709.26	0.88	848.22	603.67	733.19	1250.98	947.83	961.07	3614.55	2555.58	1417.35	890.44	780.44	3665.02	543.96	647.07	536.45	1088.92	483.38	1721.16	1225.22	493.56	579.04
PRADC1	271.48	743.43	220.32	547.75	223.41	713.11	1030.12	830.75	1044.52	896.64	497.0	1322.37	1151.06	674.59	1378.57	854.13	656.11	954.43	848.22	1467.37	764.36	1617.0	954.43	567.1	1583.71	575.03	1167.14	1081.39	1119.56	872.1	909.17	967.76	713.11	1127.35	0.0	521.76	0.13	312.0	420.68	237.86	808.0	780.44	339.14	759.08	318.57	915.51	587.13	176.29	728.11	149.12	540.19	181.28	638.15	476.71	896.64	728.11	149.12	591.22
PRR5	253.23	323.03	31.9	88.88	255.0	665.29	387.02	607.87	633.73	647.07	291.04	718.08	624.99	450.94	379.04	872.1	381.68	559.28	279.14	260.38	334.46	379.04	441.64	343.89	264.03	144.01	195.72	309.83	780.44	1199.98	698.41	1051.79	480.04	239.52	0.0	197.09	0.67	33.54	128.79	51.35	409.15	157.68	68.07	217.27	139.07	743.43	228.13	262.2	121.79	117.6	77.25	90.77	457.25	199.85	336.79	201.25	127.0	42.11
RABEP2	616.37	289.02	50.98	159.9	92.7	463.65	426.57	420.68	684.02	713.11	529.06	620.67	540.19	486.75	775.05	503.95	392.44	392.44	249.73	211.31	248.0	182.55	123.5	217.27	201.25	190.34	211.31	371.22	191.67	128.79	373.81	167.9	164.42	124.37	0.0	470.14	0.62	73.03	55.89	90.14	336.79	239.52	135.24	490.14	224.97	842.36	473.41	115.16	441.64	214.27	129.69	169.07	140.04	43.32	85.82	305.55	116.78	127.89
RBPMS	738.29	2400.97	88.26	72.01	1721.16	3614.55	7589.61	2573.36	5255.91	5366.37	5441.3	4639.29	8078.22	5255.91	8421.31	5913.33	4152.18	7032.37	1350.18	2915.45	1794.29	698.41	1870.53	1583.71	743.43	1617.0	1540.37	1037.29	2485.67	3280.18	1369.04	3589.58	647.07	928.3	389.72	3257.52	186.4	392.44	3190.46	406.31	1159.07	1909.85	4575.41	616.37	26067.14	1369.04	1561.89	3589.58	4095.0	7695.57	3742.05	3928.15	759.08	1447.15	466.88	2935.74	743.43	363.56
RFNG	848.22	283.05	199.85	343.89	191.67	1340.84	1369.04	1268.46	1529.73	1183.45	1001.93	1233.75	1662.49	1001.93	1844.76	1745.2	954.43	1697.45	1051.79	941.27	1519.15	1709.26	1199.98	1427.22	2468.49	981.29	1447.15	2400.97	1378.57	1617.0	1369.04	2520.38	1331.57	1540.37	0.0	890.44	0.83	346.29	371.22	262.2	1286.18	616.37	753.83	1769.57	896.64	791.35	928.3	389.72	860.08	341.51	327.56	703.28	441.64	181.28	575.03	753.83	206.94	186.4
RHOD	1001.93	387.02	90.14	44.89	57.08	281.09	441.64	358.54	514.56	813.63	1191.69	1397.83	915.51	351.14	1135.2	647.07	480.04	743.43	2400.97	1242.34	2976.74	2090.03	1437.15	3235.01	1685.71	1277.29	684.02	1769.57	1340.84	3257.52	1127.35	1617.0	638.15	884.29	0.0	287.01	0.45	85.82	211.31	323.03	366.09	281.09	256.78	612.11	190.34	974.5	463.65	65.26	679.29	363.56	463.65	127.89	915.51	373.81	289.02	579.04	244.57	1096.5
RNASEK-C17orf49	42.41	31.67	0.0	19.97	209.84	171.45	299.25	145.02	141.02	120.1	172.65	234.57	134.3	45.53	329.84	540.19	76.17	514.56	72.01	7.34	81.14	47.5	93.35	123.5	69.52	77.25	80.01	68.07	49.21	20.86	77.25	189.02	76.71	20.71	0.0	53.95	0.45	26.86	103.69	51.35	61.25	82.29	116.78	262.2	52.82	82.87	98.04	117.6	68.55	94.67	38.95	236.21	72.01	28.65	69.52	88.26	23.59	0.0
RNPEPL1	1697.45	1008.9	82.87	237.86	460.44	2720.15	3716.2	3589.58	2956.17	3235.01	1417.35	3589.58	3982.99	2835.7	4869.99	3325.99	3614.55	3716.2	1977.24	1331.57	2758.13	2758.13	1769.57	2384.37	2032.85	1844.76	2417.67	2119.22	1051.79	866.07	1388.16	1551.09	866.07	1051.79	0.0	2895.31	0.45	40.93	438.59	97.36	1844.76	1794.29	2351.53	2573.36	2004.85	2434.5	4869.99	1044.52	3742.05	1001.93	2018.8	1498.22	684.02	251.48	447.82	1709.26	159.9	406.31
RP11-20I23.1	0.0	0.0	0.0	0.0	16.15	63.89	158.79	12.0	166.73	48.87	16.51	27.84	138.1	21.47	146.03	221.86	56.68	72.52	10.55	0.0	8.78	9.56	2.51	0.0	0.0	0.0	15.34	3.82	13.52	30.34	0.0	8.65	0.0	0.0	0.0	20.56	0.0	0.0	0.0	0.0	19.53	79.45	17.25	0.0	17.9	26.86	29.91	14.78	32.59	40.36	62.56	7.94	8.19	0.0	0.71	66.18	0.0	0.0
SCRN2	629.35	269.6	325.29	688.78	56.28	1467.37	2417.67	759.08	2178.83	1870.53	1909.85	1572.76	1709.26	1081.39	1844.76	1923.14	764.36	1397.83	1001.93	791.35	961.07	921.88	1467.37	1583.71	1651.0	536.45	1407.55	2319.15	884.29	753.83	1331.57	1259.69	1359.57	1183.45	0.0	808.0	0.6	111.21	72.52	176.29	500.46	607.87	473.41	802.41	189.02	1313.23	1457.23	412.0	633.73	547.75	348.71	660.68	202.66	145.02	395.18	693.58	161.02	265.87
SDF4	2796.65	1001.93	1407.55	1233.75	1457.23	3742.05	3589.58	4038.61	3690.52	4419.52	3349.13	7331.05	4066.71	5555.65	6983.79	4239.45	4239.45	5441.3	3146.52	4095.0	4010.71	4419.52	1923.14	2664.15	3820.7	2417.67	5112.16	4836.35	3515.68	2018.8	4268.94	3190.46	6037.61	4639.29	2609.3	2720.15	249.73	848.22	791.35	995.0	2875.3	2855.44	1639.59	4419.52	2555.58	3190.46	2555.58	2591.27	4239.45	1745.2	1709.26	2720.15	3564.78	866.07	2209.26	3018.3	674.59	1242.34
SGTA	679.29	339.14	460.44	507.46	1407.55	1127.35	1487.87	1340.84	1388.16	1651.0	1259.69	1529.73	1745.2	1277.29	1651.0	1617.0	1359.57	1870.53	1225.22	830.75	1191.69	1104.13	1295.13	1896.65	1008.9	1037.29	947.83	1628.26	1191.69	1183.45	1104.13	1322.37	688.78	698.41	0.0	1023.0	0.93	165.57	450.94	186.4	981.29	967.76	947.83	1519.15	967.76	1477.58	1583.71	1044.52	1477.58	466.88	656.11	693.58	713.11	579.04	890.44	915.51	353.59	669.92
SIL1	791.35	1794.29	775.05	1073.91	420.68	2384.37	2335.28	2209.26	2287.2	2664.15	2193.99	2609.3	2119.22	1950.0	2090.03	3146.52	1216.75	2855.44	4066.71	1909.85	3395.89	1857.6	3039.3	3794.3	2645.74	3257.52	921.88	6164.49	2758.13	2004.85	3564.78	4328.55	2777.33	3235.01	0.0	1551.09	0.56	1208.34	1242.34	1277.29	1051.79	1350.18	1111.82	4123.49	2384.37	1685.71	1407.55	941.27	3491.39	1397.83	1208.34	1733.13	642.59	1066.48	1051.79	1359.57	441.64	599.49
SLC4A2	2997.45	1350.18	1350.18	1388.16	813.63	4123.49	3467.27	4543.8	3190.46	3982.99	2434.5	5751.61	4836.35	3847.29	4181.07	6745.86	5112.16	5219.6	6381.92	8305.36	5219.6	4268.94	4268.94	4736.79	4704.07	3955.48	3847.29	8538.88	4123.49	1844.76	2664.15	3212.66	1757.34	2119.22	0.0	3515.68	0.96	555.41	909.17	1304.15	3901.01	1583.71	3614.55	3982.99	2555.58	4328.55	3665.02	1216.75	3564.78	988.12	1883.54	1259.69	1540.37	336.79	1617.0	2047.0	819.3	444.72
SLC6A12	14.78	15.34	6.21	19.68	34.51	441.64	848.22	217.27	2520.38	1427.22	358.54	1674.06	967.76	1883.54	1066.48	571.05	2119.22	688.78	318.57	376.41	127.0	775.05	470.14	819.3	420.68	113.56	234.57	55.89	183.82	723.08	409.15	896.64	4512.4	4543.8	0.0	127.0	0.04	44.89	44.89	39.5	12.74	23.25	314.17	97.36	55.89	127.89	201.25	35.76	121.79	55.1	28.65	123.5	11.38	16.15	32.82	59.55	242.88	91.41
SPON2	688.78	281.09	417.77	500.46	713.11	5633.22	3081.75	2915.45	6381.92	3768.09	2816.11	11345.82	4181.07	7537.18	9279.58	14765.09	5672.41	11035.54	3372.43	2075.59	6983.79	3540.14	5913.33	6121.9	2133.97	2287.2	2384.37	12076.21	1397.83	1104.13	1023.0	1991.0	1167.14	595.34	0.0	603.67	1.14	125.24	264.03	190.34	409.15	460.44	53.57	1991.0	866.07	3874.05	928.3	1143.1	1242.34	155.5	890.44	616.37	616.37	100.13	518.15	1066.48	329.84	191.67
SSNA1	1216.75	547.75	392.44	612.11	514.56	2090.03	2047.0	2468.49	2335.28	1936.53	2224.63	2591.27	3467.27	1963.57	2193.99	2520.38	2178.83	2777.33	2193.99	1909.85	2119.22	1936.53	2061.24	2451.44	2895.31	1685.71	1662.49	3325.99	2178.83	1685.71	1427.22	1991.0	733.19	1023.0	0.0	1870.53	0.26	312.0	295.11	273.37	1950.0	2119.22	1551.09	2004.85	1487.87	2935.74	2816.11	551.56	2367.9	1073.91	1397.83	848.22	2573.36	379.04	1127.35	2032.85	186.4	878.17
SYCE1L	8.85	7.11	6.78	15.45	28.65	218.79	115.97	82.29	327.56	92.05	204.07	285.03	178.77	115.97	633.73	679.29	119.26	226.54	21.16	26.1	5.28	4.43	4.21	13.32	16.75	16.63	17.38	7.94	25.91	12.64	31.45	29.91	11.04	46.5	0.0	15.0	0.42	0.0	5.32	10.63	33.78	35.25	77.25	105.89	9.56	80.01	93.35	19.82	42.41	48.87	5.87	45.53	18.84	0.0	21.94	72.52	0.0	10.39
TBC1D22A	348.71	242.88	147.06	142.01	291.04	693.58	693.58	769.69	656.11	669.92	221.86	791.35	490.14	684.02	642.59	595.34	738.29	743.43	358.54	356.05	567.1	343.89	463.65	595.34	438.59	575.03	242.88	547.75	269.6	239.52	540.19	373.81	291.04	198.47	0.0	633.73	0.68	149.12	454.09	229.72	244.57	511.0	291.04	348.71	343.89	587.13	1008.9	351.14	599.49	412.0	371.22	684.02	785.88	493.56	339.14	583.07	201.25	109.66
TECR	2119.22	2303.12	796.86	679.29	3257.52	4210.15	4123.49	4066.71	5954.47	5872.48	5041.77	5292.48	5711.87	5112.16	3874.05	5517.27	4038.61	6652.97	3794.3	2335.28	3235.01	4268.94	5633.22	5366.37	3589.58	2240.11	2701.35	4358.66	3280.18	2915.45	4239.45	5255.91	4181.07	4869.99	0.0	2816.11	0.58	1001.93	2271.4	728.11	2075.59	2956.17	2119.22	3639.7	9673.69	5255.91	3491.39	2224.63	5292.48	3190.46	2701.35	2351.53	9215.48	2075.59	3901.01	2758.13	616.37	616.37
TEX264	2485.67	1769.57	878.17	1159.07	273.37	3639.7	4123.49	2193.99	4704.07	3639.7	2758.13	3665.02	4869.99	2240.11	5329.3	4239.45	2816.11	4671.57	2061.24	1936.53	2351.53	1540.37	1685.71	2720.15	2627.46	1639.59	1870.53	3372.43	1832.01	1551.09	2255.7	2701.35	2193.99	2555.58	0.0	1662.49	0.09	872.1	995.0	848.22	575.03	1769.57	909.17	1388.16	1359.57	1819.35	2163.77	764.36	2367.9	1073.91	1225.22	1378.57	1487.87	995.0	1216.75	1477.58	624.99	915.51
THEM6	1127.35	713.11	96.01	167.9	72.01	486.75	444.72	599.49	928.3	1331.57	775.05	813.63	1073.91	629.35	1242.34	591.22	473.41	525.39	2193.99	1008.9	1674.06	1457.23	1331.57	1487.87	1498.22	753.83	1378.57	1519.15	928.3	1104.13	775.05	947.83	571.05	1023.0	0.0	327.56	0.1	62.12	158.79	91.41	149.12	269.6	214.27	346.29	287.01	441.64	638.15	151.22	775.05	166.73	277.2	201.25	457.25	53.57	198.47	346.29	88.26	348.71
TK2	651.58	1096.5	358.54	483.38	85.22	1167.14	1183.45	1066.48	1769.57	1639.59	884.29	1030.12	753.83	1806.78	1277.29	1304.15	954.43	915.51	536.45	318.57	540.19	460.44	285.03	466.88	409.15	540.19	429.54	575.03	708.18	769.69	1259.69	764.36	1059.11	759.08	267.73	521.76	204.07	389.72	679.29	579.04	187.71	438.59	633.73	718.08	684.02	514.56	921.88	363.56	607.87	289.02	387.02	808.0	143.01	432.53	197.09	532.74	1073.91	591.22
TM7SF2	1617.0	551.56	145.02	124.37	119.26	878.17	921.88	497.0	872.1	1073.91	1081.39	909.17	1295.13	463.65	1697.45	995.0	775.05	2591.27	2133.97	2047.0	3901.01	7230.1	3820.7	3372.43	2855.44	1104.13	2701.35	3060.45	2061.24	7695.57	567.1	1304.15	2777.33	5594.3	0.0	490.14	0.0	299.25	575.03	139.07	1350.18	460.44	327.56	764.36	775.05	435.55	1037.29	178.77	813.63	540.19	583.07	480.04	327.56	187.71	223.41	759.08	684.02	231.32
TMED1	575.03	316.37	289.02	293.07	158.79	1023.0	1167.14	1143.1	1175.27	1322.37	1447.15	1745.2	1407.55	928.3	1551.09	1340.84	1119.56	1819.35	954.43	616.37	718.08	583.07	928.3	1044.52	1447.15	529.06	409.15	1208.34	988.12	698.41	1015.93	981.29	1119.56	713.11	0.0	718.08	0.4	281.09	264.03	241.19	571.05	928.3	540.19	802.41	563.18	1175.27	1051.79	429.54	1242.34	802.41	567.1	490.14	947.83	438.59	665.29	928.3	255.0	241.19
TMED9	4802.93	7180.15	1088.92	1191.69	4298.64	7749.1	7433.4	7230.1	7537.18	6381.92	3982.99	7331.05	4181.07	6983.79	6079.61	6792.79	4869.99	6381.92	7695.57	8538.88	9808.75	5403.7	5751.61	8778.97	10225.32	9151.82	2956.17	12244.81	7433.4	3491.39	4210.15	5112.16	3874.05	3690.52	0.0	4152.18	0.6	2148.82	3491.39	2133.97	4123.49	4607.24	3124.78	8078.22	4972.34	3716.2	3168.41	3103.19	9025.81	3955.48	3820.7	3874.05	3372.43	3018.3	4066.71	5006.93	2104.58	1733.13
TMEM115	1135.2	473.41	293.07	180.02	379.04	1268.46	1340.84	1081.39	2502.97	1167.14	988.12	1628.26	1832.01	1151.06	1529.73	1369.04	1540.37	1896.65	791.35	583.07	884.29	587.13	1081.39	896.64	1313.23	825.0	995.0	1175.27	728.11	629.35	753.83	796.86	607.87	733.19	0.0	890.44	0.52	149.12	275.28	212.78	423.61	775.05	612.11	884.29	669.92	1066.48	1286.18	698.41	915.51	647.07	693.58	842.36	583.07	256.78	412.0	842.36	295.11	165.57
TMEM129	642.59	237.86	299.25	473.41	109.66	896.64	941.27	759.08	1051.79	1225.22	1030.12	1487.87	1397.83	921.88	2075.59	1447.15	1104.13	1088.92	713.11	334.46	693.58	339.14	371.22	703.28	1896.65	327.56	220.32	463.65	995.0	854.13	1104.13	1208.34	540.19	540.19	0.0	698.41	0.73	143.01	133.36	242.88	269.6	521.76	633.73	842.36	351.14	638.15	884.29	420.68	1044.52	463.65	376.41	902.89	157.68	169.07	217.27	703.28	129.69	318.57
TMEM140	406.31	583.07	217.27	265.87	511.0	2935.74	1388.16	1388.16	2133.97	1143.1	2193.99	1350.18	1397.83	2627.46	2319.15	2555.58	2351.53	2335.28	1159.07	587.13	743.43	1175.27	420.68	698.41	1073.91	1322.37	981.29	785.88	1242.34	878.17	753.83	1769.57	1819.35	1561.89	0.0	1008.9	0.16	620.67	684.02	638.15	242.88	909.17	1023.0	647.07	1832.01	733.19	884.29	595.34	414.87	665.29	332.14	884.29	420.68	269.6	567.1	830.75	309.83	376.41
TMEM161A	381.68	633.73	490.14	389.72	87.03	665.29	633.73	703.28	633.73	921.88	848.22	890.44	995.0	638.15	603.67	854.13	688.78	1369.04	1268.46	426.57	813.63	1135.2	1388.16	1088.92	1037.29	616.37	514.56	1369.04	915.51	738.29	1073.91	769.69	603.67	647.07	0.0	521.76	0.61	157.68	265.87	127.89	525.39	373.81	198.47	796.86	713.11	941.27	638.15	316.37	1225.22	301.33	420.68	412.0	1059.11	379.04	575.03	486.75	170.25	271.48
TMEM205	1467.37	6337.83	974.5	1059.11	2434.5	7433.4	6745.86	6121.9	7382.04	8598.28	7589.61	11827.67	7382.04	8901.53	4937.99	7911.95	5479.15	9808.75	9876.98	2609.3	7032.37	9025.81	8479.89	10808.41	7803.01	4328.55	4010.71	7695.57	8078.22	6935.54	8134.41	16960.78	13776.25	15180.22	0.0	2777.33	0.95	1259.69	2178.83	1199.98	3018.3	3467.27	2591.27	2303.12	3325.99	2997.45	3491.39	1662.49	4769.75	2895.31	2075.59	2271.4	4066.71	2271.4	1936.53	2816.11	1233.75	1508.65
TMEM208	2178.83	2271.4	866.07	466.88	769.69	3212.66	3018.3	2573.36	4671.57	3395.89	2485.67	2645.74	3768.09	3349.13	4450.27	3901.01	1605.83	2758.13	4512.4	2451.44	4903.87	5041.77	1963.57	6207.38	2004.85	2178.83	3124.78	3190.46	4512.4	2758.13	3395.89	4704.07	1844.76	2061.24	0.0	1844.76	0.48	748.61	1073.91	928.3	3124.78	2537.92	1304.15	2875.3	1191.69	3081.75	1883.54	854.13	2875.3	1477.58	1628.26	1159.07	2119.22	1167.14	1936.53	2303.12	723.08	842.36
TMEM222	836.53	503.95	395.18	314.17	214.27	896.64	1175.27	921.88	1183.45	1447.15	1023.0	1733.13	1322.37	1167.14	967.76	1304.15	1066.48	1417.35	748.61	890.44	1066.48	1001.93	656.11	579.04	2018.8	974.5	1286.18	2367.9	1233.75	1167.14	490.14	1216.75	571.05	571.05	0.0	921.88	0.39	217.27	323.03	429.54	384.34	934.76	738.29	1059.11	651.58	1605.83	1350.18	532.74	1427.22	624.99	934.76	738.29	406.31	223.41	543.96	1015.93	339.14	521.76
TMEM37	220.32	153.34	1.75	13.72	102.97	1250.98	1639.59	2271.4	2627.46	1781.89	988.12	3372.43	842.36	2032.85	1977.24	2209.26	2287.2	1350.18	1008.9	595.34	802.41	1617.0	3212.66	2915.45	2119.22	688.78	518.15	1322.37	2032.85	2758.13	2835.7	3303.0	2434.5	3146.52	0.0	1662.49	0.33	73.54	518.15	46.84	802.41	974.5	138.1	521.76	603.67	974.5	1286.18	119.26	1159.07	172.65	629.35	819.3	116.78	234.57	164.42	1322.37	52.08	133.36
TMUB1	1923.14	679.29	143.01	281.09	457.25	1819.35	1950.0	1378.57	1467.37	1397.83	1216.75	1721.16	2018.8	1350.18	1963.57	3018.3	1963.57	2520.38	2537.92	2758.13	2193.99	3372.43	2240.11	1950.0	2573.36	1832.01	2148.82	4123.49	2224.63	1950.0	1447.15	3742.05	1340.84	1487.87	0.0	1183.45	0.97	71.5	202.66	129.69	1733.13	909.17	928.3	1151.06	438.59	1350.18	1923.14	642.59	2367.9	656.11	435.55	1037.29	1487.87	34.26	738.29	1081.39	40.64	138.1
TPGS1	28.86	6.41	16.63	15.0	46.18	267.73	91.41	454.09	320.8	149.12	83.45	579.04	497.0	236.21	444.72	318.57	173.85	395.18	267.73	38.4	69.52	579.04	218.79	291.04	117.6	70.51	126.12	145.02	108.14	231.32	149.12	201.25	100.13	191.67	0.0	181.28	0.58	7.11	12.93	8.99	122.64	190.34	144.01	45.53	34.26	264.03	521.76	128.79	144.01	84.04	45.21	134.3	149.12	1.48	119.26	173.85	7.69	10.31
TRAPPC5	1697.45	2018.8	162.14	384.34	2502.97	2935.74	2796.65	3325.99	3589.58	3665.02	3280.18	5329.3	4836.35	2520.38	3874.05	3982.99	2895.31	3491.39	2224.63	1225.22	2104.58	2240.11	2384.37	3060.45	1331.57	1304.15	1639.59	4095.0	1437.15	1923.14	4268.94	2645.74	1674.06	2520.38	0.0	1909.85	0.49	79.45	251.48	61.25	2104.58	2895.31	2384.37	2209.26	1104.13	2956.17	4239.45	1295.13	3820.7	1242.34	909.17	1359.57	2682.69	121.79	1457.23	2976.74	57.49	503.95
TSPAN4	743.43	540.19	156.59	201.25	429.54	4704.07	3982.99	5219.6	3614.55	3280.18	1572.76	5219.6	4123.49	4802.93	7485.11	4066.71	4450.27	6516.03	1781.89	2816.11	2609.3	1685.71	981.29	1467.37	1950.0	2047.0	612.11	1794.29	483.38	884.29	3467.27	543.96	1991.0	616.37	0.0	4298.64	0.95	211.31	371.22	249.73	679.29	5255.91	1059.11	1233.75	1857.6	2997.45	2502.97	3639.7	5006.93	620.67	1709.26	4543.8	514.56	119.26	587.13	4268.94	376.41	154.42
TSR3	1151.06	633.73	316.37	229.72	420.68	1870.53	2400.97	2104.58	3190.46	2682.69	1519.15	2303.12	2224.63	2004.85	2855.44	2468.49	1487.87	2148.82	1183.45	1331.57	1806.78	1923.14	860.08	1936.53	2018.8	1175.27	2018.8	2209.26	1457.23	1286.18	1594.73	1199.98	1066.48	1313.23	0.0	1023.0	0.34	154.42	283.05	325.29	1721.16	896.64	808.0	1359.57	1008.9	1781.89	1628.26	507.46	1519.15	759.08	813.63	603.67	1059.11	138.1	616.37	947.83	228.13	217.27
TUSC1	105.15	154.42	71.5	30.78	16.63	193.01	241.19	244.57	197.09	146.03	289.02	303.44	426.57	180.02	202.66	215.77	318.57	348.71	109.66	44.57	51.71	14.67	64.34	87.03	229.72	78.34	148.09	114.36	229.72	237.86	76.17	221.86	71.0	154.42	0.0	138.1	0.56	146.03	111.21	30.78	256.78	175.07	86.43	70.51	147.06	493.56	154.42	353.59	61.25	103.69	221.86	90.77	31.22	87.03	133.36	170.25	39.5	7.69
UBXN6	1662.49	974.5	476.71	521.76	1359.57	3081.75	3690.52	3614.55	6607.01	5913.33	4298.64	6250.56	6426.31	4575.41	4066.71	4095.0	3847.29	4210.15	2163.77	1250.98	2287.2	2303.12	3235.01	2935.74	1991.0	1583.71	2451.44	2739.08	3103.19	3257.52	1378.57	3639.7	2018.8	3060.45	0.0	2537.92	0.93	392.44	543.96	486.75	1008.9	2417.67	2451.44	2682.69	1651.0	3820.7	3716.2	1806.78	2520.38	1963.57	1977.24	1991.0	1685.71	660.68	1437.15	2645.74	457.25	785.88
VPS11	1044.52	825.0	483.38	429.54	236.21	1015.93	1088.92	1199.98	1175.27	1437.15	1819.35	836.53	2148.82	1417.35	1540.37	1457.23	1225.22	1407.55	728.11	688.78	830.75	708.18	878.17	669.92	1127.35	1151.06	718.08	1242.34	381.68	283.05	1208.34	447.82	341.51	307.69	0.0	848.22	0.35	403.5	738.29	967.76	559.28	836.53	1044.52	1208.34	796.86	995.0	1208.34	571.05	1096.5	674.59	555.41	988.12	457.25	511.0	791.35	836.53	647.07	529.06
VPS4A	1313.23	1175.27	1277.29	1135.2	915.51	1883.54	3124.78	1697.45	3982.99	2047.0	1896.65	2255.7	1844.76	2609.3	3847.29	2758.13	2627.46	2400.97	1151.06	854.13	1059.11	1037.29	547.75	1044.52	842.36	796.86	1313.23	941.27	1081.39	2061.24	947.83	941.27	473.41	587.13	0.0	1551.09	0.97	698.41	1127.35	1023.0	1487.87	1359.57	1457.23	1397.83	2178.83	1819.35	1883.54	1427.22	1806.78	1427.22	1151.06	2004.85	1191.69	1199.98	1304.15	1242.34	947.83	1304.15
WDR13	1529.73	2417.67	693.58	1487.87	941.27	5329.3	5711.87	3018.3	5751.61	5954.47	5872.48	9215.48	7180.15	5112.16	19214.73	7589.61	3874.05	4450.27	4450.27	3639.7	4671.57	3419.52	1001.93	3018.3	3303.0	1832.01	988.12	2976.74	1551.09	1477.58	10959.3	1437.15	915.51	1066.48	0.0	2367.9	0.95	265.87	587.13	718.08	1277.29	1806.78	1407.55	2485.67	3039.3	2502.97	2796.65	1397.83	3395.89	1225.22	1119.56	1397.83	1268.46	363.56	1447.15	1757.34	1508.65	3235.01
WDR45	988.12	1175.27	698.41	638.15	743.43	1628.26	1487.87	1685.71	2739.08	1662.49	1733.13	2335.28	1857.6	3235.01	3690.52	1923.14	1551.09	1896.65	954.43	1561.89	2104.58	1529.73	866.07	2061.24	1572.76	1991.0	1350.18	1350.18	1991.0	2075.59	1529.73	1359.57	808.0	1183.45	0.0	1561.89	0.95	753.83	1044.52	1151.06	1369.04	1529.73	1183.45	872.1	759.08	1844.76	1769.57	1208.34	1268.46	1081.39	974.5	1447.15	1233.75	1073.91	1427.22	1583.71	2061.24	2148.82
