	TCGA.CZ.5455.01A.01R.1503.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.BP.4160.01A.02R.1289.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.4863.01A.01R.1503.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
SGSM3	555.41	525.39	543.96	575.03	409.15	441.64	563.18	325.29	607.87	884.29	547.75	642.59	698.41	567.1	583.07	336.79	470.14	723.08	486.75	529.06	1397.83	1088.92	1832.01	988.12	896.64	2384.37	1322.37	651.58	2335.28	1175.27	1313.23	1359.57	1467.37	629.35	1498.22	1572.76	693.58	748.61	842.36	718.08	1561.89
SH2D3A	114.36	133.36	40.36	120.1	46.5	116.78	134.3	45.85	149.12	115.97	132.44	271.48	111.99	149.12	60.39	84.63	73.54	156.59	122.64	92.7	525.39	293.07	708.18	178.77	341.51	603.67	693.58	314.17	780.44	406.31	559.28	409.15	878.17	366.09	185.11	483.38	312.0	194.36	432.53	186.4	941.27
SHKBP1	866.07	796.86	830.75	981.29	909.17	830.75	723.08	896.64	995.0	1417.35	1037.29	808.0	693.58	703.28	651.58	764.36	1104.13	941.27	693.58	1135.2	1191.69	1639.59	1242.34	1950.0	1233.75	1745.2	1806.78	1662.49	1167.14	890.44	1651.0	1167.14	884.29	1119.56	2047.0	1923.14	1088.92	1015.93	1733.13	1477.58	928.3
SLC26A6	62.56	94.01	96.01	71.5	87.03	53.19	67.12	59.55	39.5	209.84	38.4	122.64	170.25	49.91	55.89	50.98	61.68	182.55	40.93	82.29	194.36	253.23	363.56	384.34	170.25	591.22	599.49	165.57	253.23	208.38	353.59	197.09	96.68	182.55	406.31	450.94	406.31	178.77	217.27	271.48	140.04
SLC6A7	0.69	0.0	0.0	0.0	0.37	0.0	0.0	0.37	0.34	0.73	0.0	0.71	0.0	0.34	0.0	0.36	0.35	0.68	1.11	0.36	1.13	0.0	1.6	0.56	3.99	4.74	0.93	3.82	0.84	2.81	6.16	1.87	0.45	0.07	2.78	1.57	3.5	5.59	1.99	2.41	4.31
SLMAP	490.14	248.0	320.8	336.79	507.46	314.17	379.04	332.14	217.27	563.18	234.57	518.15	265.87	392.44	267.73	463.65	397.93	603.67	253.23	426.57	620.67	417.77	866.07	525.39	579.04	961.07	356.05	785.88	497.0	599.49	748.61	629.35	780.44	571.05	521.76	759.08	884.29	417.77	438.59	703.28	780.44
SMARCC1	403.5	241.19	316.37	356.05	507.46	320.8	201.25	341.51	318.57	490.14	223.41	460.44	198.47	198.47	307.69	336.79	457.25	371.22	392.44	301.33	486.75	708.18	753.83	575.03	679.29	934.76	532.74	373.81	579.04	836.53	1001.93	450.94	878.17	728.11	575.03	808.0	1044.52	406.31	540.19	575.03	463.65
SMC4	665.29	242.88	307.69	457.25	299.25	305.55	220.32	483.38	325.29	507.46	237.86	591.22	327.56	191.67	366.09	406.31	414.87	470.14	264.03	387.02	909.17	567.1	2104.58	599.49	429.54	1662.49	1059.11	423.61	830.75	1066.48	802.41	660.68	669.92	1457.23	860.08	1757.34	1175.27	802.41	583.07	693.58	748.61
SMURF1	256.78	150.17	231.32	295.11	248.0	175.07	129.69	194.36	215.77	351.14	165.57	260.38	154.42	170.25	191.67	226.54	214.27	271.48	267.73	220.32	791.35	397.93	698.41	348.71	921.88	842.36	733.19	698.41	748.61	1030.12	1143.1	825.0	928.3	291.04	769.69	688.78	638.15	567.1	674.59	591.22	860.08
SPACA4	0.0	0.0	0.0	0.74	0.73	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.99	0.0	0.0	1.08	0.0	0.69	0.0	0.0	20.41	22.1	82.87	15.8	32.82	103.69	12.93	15.11	85.22	19.39	33.78	13.62	66.18	21.47	32.13	40.07	5.92	7.63	27.84	7.34	25.35
SRPK1	327.56	220.32	244.57	260.38	316.37	262.2	204.07	283.05	205.5	309.83	158.79	341.51	223.41	163.28	193.01	248.0	237.86	356.05	158.79	348.71	275.28	395.18	486.75	318.57	381.68	563.18	400.71	511.0	353.59	463.65	579.04	299.25	429.54	232.94	490.14	532.74	447.82	285.03	420.68	420.68	460.44
SRSF10	1417.35	909.17	1001.93	1015.93	1073.91	896.64	1073.91	1023.0	842.36	1359.57	665.29	1191.69	1250.98	1073.91	1167.14	1096.5	928.3	1313.23	967.76	848.22	1477.58	1143.1	1870.53	988.12	1605.83	1794.29	1617.0	1709.26	1378.57	1467.37	1923.14	2004.85	1733.13	1685.71	1508.65	1674.06	1857.6	1313.23	1135.2	1628.26	1844.76
SULT1A3	56.68	226.54	223.41	63.45	59.97	120.94	128.79	20.41	44.25	191.67	189.02	217.27	275.28	130.6	209.84	23.93	127.0	117.6	39.22	150.17	1191.69	1583.71	521.76	718.08	466.88	1111.82	775.05	101.54	483.38	1015.93	723.08	738.29	277.2	1044.52	830.75	934.76	796.86	665.29	521.76	320.8	547.75
SUV420H2	54.72	40.64	39.5	62.56	67.59	40.36	60.82	43.94	63.89	142.01	66.18	116.78	93.35	76.71	69.52	36.53	45.53	101.54	63.45	61.25	358.54	214.27	318.57	195.72	226.54	373.81	228.13	221.86	267.73	264.03	251.48	406.31	361.04	140.04	403.5	384.34	82.87	295.11	178.77	234.57	323.03
SYCP2L	2.14	0.74	1.41	4.43	15.56	1.46	5.87	11.13	0.73	25.91	2.46	9.93	6.57	2.05	1.46	8.32	3.53	4.5	6.41	15.8	25.54	24.63	170.25	4.46	187.71	21.47	251.48	31.9	6.36	35.76	100.13	94.67	6.46	21.32	33.78	64.8	120.94	89.51	32.59	32.82	226.54
SYMPK	785.88	616.37	540.19	866.07	961.07	543.96	493.56	287.01	769.69	896.64	708.18	1001.93	684.02	674.59	587.13	607.87	836.53	698.41	521.76	808.0	928.3	1331.57	819.3	1073.91	890.44	1709.26	1378.57	463.65	1167.14	890.44	981.29	1073.91	860.08	624.99	1427.22	1447.15	703.28	1183.45	1023.0	819.3	1369.04
SYNGAP1	68.55	55.49	42.41	75.64	60.82	28.24	59.55	38.67	52.82	147.06	50.63	125.24	71.5	51.71	106.63	38.95	87.03	128.79	54.33	36.79	242.88	87.65	316.37	162.14	136.19	406.31	208.38	162.14	395.18	379.04	325.29	218.79	332.14	152.28	166.73	403.5	356.05	170.25	205.5	241.19	325.29
SYT17	40.93	23.42	37.05	34.75	52.08	35.25	29.91	161.02	30.34	75.11	43.02	67.12	9.63	28.24	32.59	40.07	37.05	43.63	39.22	34.75	172.65	125.24	273.37	118.43	555.41	336.79	78.34	52.45	1268.46	460.44	316.37	305.55	389.72	297.17	348.71	444.72	68.55	146.03	346.29	76.17	142.01
TBC1D31	90.14	46.5	55.49	104.42	55.1	45.21	50.98	76.71	59.55	70.01	41.22	73.54	62.12	23.93	57.49	47.17	62.56	71.0	61.68	56.68	73.03	129.69	79.45	96.01	70.51	144.01	119.26	40.07	96.01	112.77	147.06	152.28	65.72	143.01	295.11	119.26	60.82	76.17	88.88	99.43	47.5
TLCD2	31.22	13.52	10.88	18.03	46.5	15.91	2.51	16.51	13.62	20.11	10.08	28.86	7.63	6.21	5.87	17.9	21.01	27.64	9.48	24.99	197.09	130.6	56.68	46.5	92.05	45.53	35.25	150.17	214.27	108.14	51.71	205.5	129.69	50.98	151.22	70.01	43.94	61.68	130.6	115.16	108.14
TMC6	353.59	470.14	228.13	551.56	497.0	262.2	285.03	503.95	327.56	967.76	269.6	555.41	363.56	232.94	237.86	283.05	371.22	532.74	334.46	435.55	2777.33	4358.66	1757.34	2502.97	3280.18	3081.75	3794.3	2739.08	2485.67	2119.22	2209.26	4010.71	2255.7	1832.01	4671.57	3614.55	1991.0	1883.54	2609.3	3716.2	1477.58
TMEM110	112.77	214.27	144.01	172.65	162.14	120.94	71.5	146.03	144.01	289.02	98.04	244.57	158.79	92.7	172.65	172.65	161.02	256.78	84.04	152.28	417.77	368.65	423.61	314.17	289.02	559.28	172.65	486.75	595.34	718.08	303.44	674.59	518.15	226.54	348.71	293.07	199.85	460.44	361.04	595.34	466.88
TMEM164	151.22	126.12	132.44	208.38	253.23	139.07	77.79	223.41	150.17	248.0	112.77	212.78	67.59	72.52	128.79	166.73	183.82	170.25	133.36	214.27	529.06	511.0	473.41	426.57	429.54	260.38	285.03	426.57	1437.15	928.3	301.33	638.15	638.15	878.17	389.72	368.65	297.17	1225.22	473.41	521.76	361.04
TMEM180	68.07	56.68	67.59	53.95	71.5	43.63	53.57	66.18	115.97	102.97	40.36	77.79	42.11	28.04	63.89	42.71	78.89	72.01	91.41	52.45	329.84	426.57	255.0	293.07	138.1	198.47	64.8	141.02	450.94	275.28	158.79	423.61	195.72	376.41	366.09	205.5	110.43	432.53	164.42	403.5	142.01
TOP2B	1183.45	684.02	967.76	928.3	1030.12	830.75	514.56	902.89	753.83	1250.98	830.75	1340.84	651.58	486.75	624.99	819.3	1059.11	967.76	896.64	909.17	1883.54	1233.75	2209.26	1369.04	1936.53	1594.73	1407.55	1151.06	1685.71	3190.46	1883.54	2555.58	2032.85	2319.15	2502.97	1583.71	1769.57	1561.89	2287.2	1806.78	1857.6
TRAK1	358.54	180.02	264.03	323.03	314.17	253.23	170.25	208.38	185.11	420.68	239.52	336.79	170.25	187.71	189.02	271.48	339.14	373.81	226.54	279.14	802.41	466.88	1037.29	665.29	830.75	1127.35	713.11	633.73	813.63	1111.82	1151.06	1015.93	1369.04	656.11	921.88	915.51	1051.79	441.64	603.67	796.86	878.17
TRIM27	679.29	679.29	583.07	743.43	647.07	525.39	607.87	633.73	547.75	698.41	525.39	759.08	764.36	748.61	579.04	660.68	595.34	819.3	429.54	642.59	1023.0	1051.79	1199.98	785.88	532.74	1268.46	941.27	444.72	981.29	769.69	1008.9	713.11	688.78	718.08	708.18	1159.07	551.56	587.13	780.44	703.28	660.68
TTLL4	204.07	417.77	264.03	217.27	316.37	158.79	159.9	239.52	291.04	358.54	122.64	371.22	239.52	215.77	269.6	186.4	307.69	264.03	156.59	303.44	441.64	633.73	642.59	780.44	703.28	1268.46	525.39	403.5	629.35	348.71	748.61	366.09	540.19	518.15	808.0	1208.34	607.87	187.71	454.09	438.59	361.04
UBP1	511.0	275.28	389.72	483.38	438.59	353.59	241.19	633.73	329.84	629.35	289.02	567.1	267.73	236.21	356.05	466.88	463.65	514.56	283.05	432.53	1127.35	860.08	1030.12	902.89	915.51	679.29	616.37	854.13	1030.12	1909.85	896.64	1757.34	1044.52	1769.57	1001.93	679.29	890.44	981.29	1044.52	1540.37	813.63
ULK1	295.11	142.01	138.1	242.88	267.73	181.28	175.07	96.01	244.57	358.54	318.57	314.17	221.86	289.02	334.46	131.51	195.72	297.17	156.59	140.04	620.67	234.57	1167.14	368.65	603.67	941.27	684.02	723.08	656.11	878.17	642.59	616.37	351.14	275.28	759.08	848.22	460.44	884.29	507.46	607.87	1331.57
USP49	24.11	11.04	10.39	33.78	23.08	14.35	20.56	13.83	13.52	36.01	9.2	32.59	22.92	17.9	18.16	19.25	15.45	30.34	18.43	16.75	103.69	103.69	58.71	75.64	55.1	105.15	30.56	42.71	73.54	112.77	70.51	163.28	90.77	85.22	146.03	77.25	55.49	68.55	61.25	105.89	75.64
USP6NL	205.5	124.37	153.34	204.07	239.52	150.17	140.04	194.36	173.85	228.13	114.36	187.71	110.43	108.14	140.04	223.41	183.82	170.25	120.94	231.32	275.28	226.54	241.19	291.04	551.56	256.78	323.03	277.2	277.2	406.31	361.04	325.29	583.07	262.2	186.4	269.6	397.93	265.87	242.88	409.15	432.53
USP7	860.08	525.39	693.58	728.11	974.5	629.35	287.01	629.35	642.59	961.07	665.29	1127.35	454.09	571.05	1073.91	830.75	1051.79	947.83	723.08	785.88	796.86	928.3	1331.57	884.29	1268.46	1721.16	947.83	728.11	866.07	1508.65	1697.45	775.05	1167.14	1216.75	1159.07	1819.35	1467.37	878.17	947.83	1617.0	1081.39
VASP	1304.15	1437.15	1208.34	1359.57	1199.98	1417.35	1322.37	1322.37	1417.35	1857.6	1467.37	1508.65	1088.92	1225.22	1037.29	1561.89	1331.57	1757.34	1487.87	1662.49	3168.41	4358.66	2555.58	3690.52	3716.2	2720.15	3794.3	3794.3	1819.35	1639.59	2271.4	2997.45	2555.58	2271.4	3690.52	3716.2	3665.02	928.3	2664.15	3768.09	2915.45
VHL	283.05	78.89	87.03	237.86	299.25	96.01	166.73	42.41	143.01	406.31	124.37	323.03	187.71	97.36	90.77	165.57	221.86	297.17	113.56	111.99	277.2	441.64	638.15	423.61	363.56	941.27	387.02	291.04	384.34	500.46	796.86	323.03	314.17	486.75	497.0	656.11	728.11	466.88	376.41	395.18	476.71
WDR26	954.43	511.0	616.37	884.29	1051.79	633.73	583.07	928.3	941.27	1051.79	567.1	830.75	703.28	595.34	1023.0	802.41	921.88	813.63	651.58	1119.56	1378.57	1096.5	1259.69	1268.46	1199.98	1277.29	1583.71	1295.13	1313.23	1757.34	1295.13	1340.84	1340.84	995.0	1806.78	1467.37	2384.37	1721.16	1208.34	1477.58	1159.07
WHSC1	327.56	144.01	165.57	368.65	358.54	197.09	85.22	135.24	180.02	373.81	120.94	346.29	145.02	159.9	242.88	212.78	295.11	341.51	182.55	237.86	540.19	353.59	1143.1	500.46	473.41	769.69	463.65	279.14	974.5	1143.1	518.15	775.05	688.78	543.96	583.07	785.88	775.05	466.88	629.35	669.92	387.02
XKRX	1.71	0.36	0.68	3.92	0.37	0.71	1.79	1.81	1.68	3.63	0.35	2.78	4.46	1.66	0.36	0.37	1.38	3.69	2.94	0.71	25.35	2.18	28.86	7.75	13.22	12.64	1.89	2.78	43.32	24.46	32.36	5.45	10.0	56.28	4.1	52.45	5.06	1.77	2.61	0.73	7.57
XPO6	1066.48	872.1	915.51	1127.35	1191.69	703.28	642.59	934.76	1250.98	1508.65	1030.12	1605.83	902.89	830.75	1540.37	1001.93	1066.48	1135.2	967.76	1313.23	1059.11	1151.06	1066.48	1617.0	1259.69	1259.69	1709.26	2645.74	1183.45	1183.45	1639.59	1697.45	1233.75	1340.84	1639.59	1561.89	1191.69	2004.85	1721.16	1832.01	1242.34
ZBTB7A	187.71	187.71	158.79	237.86	305.55	205.5	115.97	94.01	297.17	303.44	205.5	299.25	135.24	197.09	156.59	178.77	212.78	244.57	136.19	275.28	547.75	392.44	400.71	291.04	559.28	521.76	540.19	633.73	447.82	500.46	400.71	264.03	460.44	102.97	412.0	490.14	688.78	291.04	599.49	511.0	674.59
ZDHHC3	571.05	540.19	547.75	587.13	616.37	559.28	435.55	769.69	438.59	656.11	414.87	693.58	353.59	483.38	406.31	738.29	708.18	679.29	476.71	703.28	1427.22	2287.2	1551.09	1605.83	1259.69	1286.18	1104.13	1135.2	2193.99	2255.7	1127.35	1225.22	1467.37	2627.46	1143.1	988.12	1233.75	3467.27	1529.73	1572.76	1143.1
ZHX1-C8ORF76	29.7	22.92	26.86	17.64	12.09	24.11	62.12	10.47	32.13	23.42	8.06	23.08	36.79	27.44	37.32	16.27	21.63	28.24	22.43	40.93	59.55	41.52	89.51	48.52	58.3	80.57	81.71	48.87	40.93	53.57	58.3	46.18	69.03	52.08	71.5	84.04	69.52	65.26	37.32	54.72	71.5
ZNF710	176.29	162.14	143.01	289.02	277.2	136.19	126.12	187.71	316.37	429.54	224.97	293.07	120.1	110.43	151.22	130.6	267.73	265.87	195.72	307.69	291.04	466.88	147.06	587.13	406.31	384.34	1015.93	426.57	463.65	769.69	571.05	212.78	198.47	1037.29	281.09	255.0	842.36	620.67	258.57	281.09	403.5
ZNF76	454.09	269.6	320.8	490.14	432.53	392.44	447.82	194.36	476.71	642.59	327.56	500.46	532.74	483.38	371.22	339.14	392.44	559.28	265.87	316.37	808.0	698.41	825.0	529.06	540.19	896.64	444.72	409.15	1417.35	665.29	825.0	1369.04	493.56	796.86	974.5	1437.15	381.68	796.86	607.87	486.75	441.64
