	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
TMEM27	3395.89	6164.49	2777.33	7081.29	8840.04	5183.54	9279.58	9279.58	13123.73	6426.31	2627.46	6935.54	2875.3	4802.93	5555.65	8901.53	10659.59	3540.14	400.71	13306.94	5329.3	5954.47	22072.07	5006.93	5672.41	5441.3	4123.49	7230.1	6381.92	7230.1	20.41	23.25	17.77	260.38	34.26	40.93	14.78	46.5	115.97	64.34	36.01	15.45	226.54	10.55	13.93	15.34	10.79	21.63	5.36	50.98	29.7	16.63	13.32	25.72	2.32	23.59	23.42	4.78	20.41	3.72	7.06	17.38	94.01	9.13	172.65	5.87	11.91	202.66	12.83	8.13	16.88	4.39	116.78	19.11	14.14	15.11
TMEM37	5441.3	6121.9	2976.74	6294.04	4152.18	6294.04	5329.3	4481.23	4937.99	8901.53	2255.7	6745.86	3742.05	4575.41	4639.29	3395.89	9474.59	6207.38	1417.35	5403.7	5219.6	3716.2	4181.07	6840.04	10084.54	2997.45	2855.44	4736.79	6471.02	2537.92	713.11	94.01	353.59	1159.07	483.38	112.77	138.1	237.86	217.27	693.58	1617.0	43.63	981.29	497.0	269.6	218.79	397.93	480.04	92.05	1143.1	591.22	52.82	93.35	120.94	43.94	332.14	392.44	119.26	540.19	120.94	76.71	543.96	172.65	620.67	1135.2	167.9	974.5	890.44	173.85	305.55	351.14	33.3	819.3	244.57	90.77	277.2
TMEM82	237.86	90.14	94.67	339.14	19.53	115.16	117.6	228.13	69.03	638.15	1.5	151.22	88.88	146.03	155.5	60.39	316.37	8.06	0.79	38.95	218.79	163.28	536.45	260.38	127.89	444.72	115.97	4.82	206.94	199.85	0.0	20.41	0.71	0.0	0.75	0.0	0.0	13.42	0.0	0.0	0.0	0.0	3.38	0.0	3.32	0.0	4.54	0.78	2.48	0.0	1.35	0.0	4.54	15.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	8.13	0.0	0.0	1.46	4.28	0.0	1.73	0.0	0.0	1.68
TNFAIP6	120.1	2255.7	314.17	2976.74	4450.27	2240.11	2555.58	2240.11	1233.75	5555.65	647.07	1662.49	6337.83	1498.22	2796.65	1104.13	7032.37	2303.12	356.05	8658.09	583.07	1268.46	2976.74	4095.0	3168.41	1331.57	2255.7	2303.12	2133.97	56.28	921.88	551.56	68.07	110.43	102.97	1467.37	291.04	173.85	854.13	84.04	51.71	928.3	40.36	583.07	128.79	860.08	136.19	48.87	211.31	63.89	107.38	796.86	486.75	309.83	559.28	44.25	57.89	279.14	244.57	432.53	149.12	70.01	125.24	98.04	93.35	191.67	94.67	163.28	120.1	269.6	125.24	928.3	20.41	403.5	312.0	1167.14
TOLLIP	1159.07	1183.45	961.07	1350.18	1216.75	1498.22	961.07	1159.07	1359.57	1617.0	860.08	1350.18	860.08	890.44	1143.1	981.29	1594.73	1037.29	698.41	1073.91	1073.91	1286.18	1199.98	1250.98	1721.16	1617.0	1407.55	974.5	1135.2	1183.45	830.75	583.07	638.15	813.63	780.44	567.1	688.78	656.11	493.56	536.45	860.08	299.25	1662.49	878.17	854.13	460.44	665.29	748.61	463.65	718.08	866.07	854.13	808.0	447.82	703.28	764.36	521.76	525.39	896.64	532.74	698.41	796.86	521.76	555.41	961.07	483.38	738.29	830.75	785.88	684.02	967.76	651.58	607.87	748.61	551.56	624.99
TP53I3	651.58	954.43	503.95	1662.49	896.64	1540.37	878.17	1030.12	521.76	1757.34	463.65	587.13	460.44	476.71	961.07	728.11	2133.97	860.08	371.22	376.41	1119.56	819.3	1407.55	607.87	2573.36	836.53	1073.91	473.41	1350.18	1023.0	507.46	651.58	1059.11	1529.73	775.05	403.5	743.43	1001.93	638.15	854.13	703.28	218.79	1277.29	366.09	426.57	283.05	713.11	1369.04	551.56	941.27	547.75	271.48	563.18	708.18	571.05	409.15	1015.93	518.15	612.11	269.6	397.93	1208.34	624.99	316.37	1183.45	738.29	279.14	1104.13	567.1	486.75	299.25	237.86	808.0	540.19	438.59	351.14
TPMT	785.88	1073.91	769.69	1216.75	1044.52	633.73	738.29	435.55	1059.11	1167.14	571.05	872.1	688.78	785.88	718.08	1030.12	1529.73	616.37	665.29	1369.04	974.5	738.29	1883.54	1037.29	1242.34	836.53	967.76	872.1	1733.13	1088.92	226.54	182.55	320.8	180.02	267.73	242.88	414.87	329.84	463.65	273.37	309.83	176.29	173.85	249.73	198.47	142.01	150.17	239.52	201.25	309.83	171.45	162.14	177.53	199.85	102.97	201.25	198.47	202.66	172.65	132.44	169.07	236.21	289.02	157.68	409.15	381.68	159.9	651.58	154.42	178.77	343.89	159.9	154.42	186.4	232.94	148.09
TREH	102.97	12.09	10.63	312.0	66.18	28.45	11.82	34.02	150.17	31.45	6.84	14.35	12.93	27.64	64.8	223.41	293.07	51.35	9.7	10.47	217.27	50.27	199.85	18.84	20.11	123.5	264.03	38.67	244.57	55.89	0.89	14.24	1.79	13.62	0.0	5.23	0.05	4.54	7.06	2.46	1.23	5.15	7.17	3.38	2.16	10.47	14.56	6.62	24.28	11.21	2.23	4.5	36.27	22.43	3.32	3.56	13.83	5.41	9.27	5.11	18.56	9.41	1.91	7.17	8.78	4.39	14.67	6.41	15.8	7.46	6.89	17.77	12.64	13.03	8.32	2.12
TRMT61B	256.78	470.14	265.87	256.78	307.69	450.94	329.84	277.2	214.27	486.75	218.79	205.5	229.72	255.0	291.04	226.54	361.04	454.09	150.17	571.05	224.97	264.03	234.57	334.46	400.71	260.38	287.01	299.25	327.56	262.2	109.66	152.28	161.02	226.54	147.06	106.63	175.07	249.73	228.13	287.01	226.54	56.28	204.07	114.36	83.45	128.79	108.14	303.44	115.16	325.29	325.29	56.68	131.51	88.88	72.52	167.9	148.09	143.01	111.21	85.22	162.14	146.03	212.78	189.02	269.6	109.66	138.1	332.14	77.79	114.36	88.88	68.55	102.97	135.24	102.25	111.21
TRUB2	575.03	961.07	607.87	780.44	607.87	708.18	651.58	547.75	748.61	647.07	470.14	647.07	775.05	567.1	555.41	679.29	660.68	842.36	371.22	884.29	669.92	743.43	848.22	638.15	743.43	830.75	633.73	591.22	808.0	638.15	299.25	131.51	199.85	384.34	376.41	155.5	246.28	299.25	384.34	356.05	293.07	88.26	447.82	412.0	171.45	108.14	190.34	444.72	134.3	361.04	381.68	100.83	191.67	155.5	95.34	277.2	221.86	149.12	197.09	115.16	132.44	285.03	314.17	209.84	412.0	197.09	156.59	540.19	154.42	136.19	183.82	115.97	299.25	187.71	153.34	150.17
TTC38	1378.57	947.83	1059.11	1417.35	928.3	1427.22	1857.6	1151.06	1242.34	1832.01	669.92	1427.22	884.29	1427.22	1096.5	866.07	1685.71	1639.59	842.36	2178.83	1628.26	1583.71	1605.83	1359.57	2485.67	1175.27	1313.23	1304.15	723.08	1143.1	194.36	143.01	454.09	438.59	460.44	305.55	208.38	343.89	417.77	406.31	785.88	136.19	791.35	387.02	260.38	242.88	275.28	802.41	208.38	595.34	713.11	180.02	226.54	201.25	256.78	651.58	470.14	262.2	414.87	197.09	279.14	325.29	211.31	316.37	583.07	208.38	463.65	420.68	223.41	283.05	228.13	110.43	819.3	366.09	194.36	476.71
UGT3A1	1001.93	830.75	271.48	1051.79	318.57	249.73	253.23	14.35	21.94	1008.9	444.72	353.59	4.31	825.0	334.46	555.41	37.59	1088.92	902.89	432.53	12.18	802.41	444.72	1073.91	769.69	20.11	0.35	9.34	246.28	819.3	0.96	0.99	0.0	3.47	82.29	0.0	209.84	10.39	0.0	0.0	3.26	22.1	0.0	0.0	0.0	0.0	0.0	3.56	0.0	0.0	0.0	1.07	0.0	1.03	0.0	2.86	0.0	1.19	0.0	1.04	0.0	0.0	0.0	0.0	7.06	0.0	1.01	0.0	1.03	1.04	0.0	127.89	102.97	0.99	0.0	8.19
UNC50	1331.57	1208.34	921.88	1037.29	1081.39	1081.39	1191.69	854.13	896.64	1359.57	753.83	915.51	1268.46	775.05	915.51	1111.82	1208.34	941.27	775.05	1457.23	878.17	791.35	941.27	1111.82	1583.71	836.53	947.83	1233.75	1250.98	995.0	775.05	447.82	961.07	941.27	967.76	460.44	934.76	981.29	764.36	1199.98	1277.29	518.15	974.5	878.17	599.49	384.34	518.15	1151.06	460.44	1417.35	1277.29	435.55	450.94	733.19	384.34	660.68	915.51	583.07	780.44	277.2	579.04	988.12	759.08	612.11	1277.29	830.75	909.17	2047.0	460.44	567.1	688.78	341.51	866.07	660.68	629.35	620.67
VIL1	120.1	114.36	42.11	713.11	373.81	392.44	50.27	47.5	595.34	325.29	42.71	206.94	140.04	85.82	1167.14	215.77	2758.13	1250.98	29.7	486.75	82.87	241.19	718.08	1508.65	493.56	543.96	1896.65	93.35	665.29	285.03	47.17	40.07	65.26	45.21	7.75	18.03	11.3	49.56	31.67	51.71	17.77	29.06	28.65	8.71	20.56	28.24	102.97	12.36	5.15	1.27	43.94	24.11	88.26	82.29	39.79	8.13	8.19	14.78	81.14	40.93	20.71	1.35	1.97	17.9	11.3	55.1	22.92	42.41	10.63	11.73	8.13	22.43	2.61	37.85	5.23	5.77
WDR12	543.96	934.76	743.43	791.35	551.56	723.08	878.17	651.58	748.61	780.44	514.56	579.04	612.11	603.67	620.67	665.29	1030.12	612.11	403.5	669.92	647.07	718.08	1030.12	1001.93	872.1	532.74	642.59	503.95	842.36	759.08	406.31	104.42	214.27	387.02	236.21	299.25	397.93	438.59	231.32	353.59	208.38	149.12	312.0	426.57	175.07	159.9	182.55	336.79	195.72	251.48	283.05	87.65	260.38	138.1	111.21	339.14	158.79	164.42	279.14	142.01	137.14	212.78	332.14	198.47	312.0	206.94	155.5	409.15	148.09	129.69	181.28	201.25	181.28	223.41	153.34	134.3
XRCC5	3665.02	4010.71	3146.52	3146.52	3794.3	3419.52	3081.75	2133.97	2720.15	3443.31	2915.45	2520.38	3190.46	2417.67	2451.44	3124.78	3589.58	2555.58	2895.31	2701.35	2004.85	2384.37	2468.49	4869.99	3419.52	2384.37	2537.92	2915.45	3372.43	3716.2	3146.52	2004.85	1794.29	1806.78	2287.2	2758.13	2148.82	2417.67	2178.83	2367.9	2047.0	2537.92	2384.37	2935.74	1674.06	1519.15	1529.73	2032.85	2701.35	3103.19	1991.0	1111.82	2835.7	1467.37	1388.16	1806.78	1781.89	2351.53	1991.0	1594.73	1225.22	2287.2	3018.3	2451.44	2855.44	1991.0	2133.97	3039.3	1417.35	2367.9	1832.01	2816.11	1936.53	2701.35	2047.0	1923.14
