	GTEX.11ONC.1426.SM.5N9F4	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.ZAB4.0826.SM.5LU9D	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.R53T.0526.SM.3GADL	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
USP38	81.71	114.36	104.42	90.77	120.1	136.19	134.3	140.04	108.14	93.35	105.89	102.25	104.42	119.26	120.1	98.04	111.21	98.73	127.0	105.15	148.09	117.6	244.57	251.48	120.94	198.47	181.28	163.28	166.73	187.71	201.25	138.1	127.89	171.45	176.29	155.5	123.5	147.06	198.47	146.03	186.4	125.24	181.28	194.36	170.25	173.85	141.02	144.01	127.89	136.19	260.38	167.9	147.06	221.86	171.45	183.82	220.32	120.94	121.79	281.09	109.66	165.57	177.53	190.34	244.57	150.17	155.5	183.82	220.32	224.97	138.1	279.14	193.01	164.42	150.17	180.02	183.82	249.73	186.4	135.24	128.79	154.42	129.69	175.07	211.31
UTP14C	115.16	50.63	82.87	114.36	169.07	147.06	147.06	83.45	63.89	169.07	141.02	118.43	132.44	194.36	70.01	113.56	90.77	95.34	92.05	97.36	180.02	148.09	432.53	414.87	126.12	309.83	269.6	293.07	327.56	316.37	291.04	119.26	242.88	262.2	218.79	246.28	195.72	258.57	392.44	239.52	256.78	253.23	307.69	271.48	289.02	363.56	226.54	161.02	236.21	149.12	423.61	392.44	269.6	435.55	295.11	403.5	283.05	283.05	176.29	463.65	204.07	309.83	309.83	279.14	363.56	273.37	320.8	279.14	271.48	387.02	194.36	389.72	281.09	217.27	249.73	281.09	287.01	503.95	356.05	239.52	291.04	185.11	241.19	400.71	325.29
VPRBP	262.2	178.77	124.37	231.32	351.14	295.11	295.11	217.27	194.36	363.56	283.05	246.28	251.48	332.14	211.31	258.57	212.78	215.77	209.84	273.37	400.71	320.8	642.59	503.95	327.56	540.19	563.18	698.41	511.0	476.71	490.14	400.71	426.57	624.99	511.0	414.87	559.28	583.07	507.46	450.94	738.29	624.99	460.44	426.57	603.67	518.15	366.09	361.04	429.54	361.04	607.87	703.28	457.25	575.03	802.41	525.39	599.49	384.34	432.53	656.11	423.61	397.93	674.59	389.72	579.04	329.84	551.56	651.58	651.58	633.73	532.74	759.08	703.28	366.09	514.56	525.39	559.28	830.75	620.67	406.31	503.95	366.09	429.54	521.76	620.67
VPS4B	381.68	131.51	432.53	384.34	414.87	392.44	397.93	305.55	283.05	414.87	426.57	341.51	348.71	497.0	307.69	351.14	332.14	314.17	371.22	366.09	490.14	341.51	620.67	780.44	389.72	713.11	713.11	624.99	603.67	733.19	647.07	371.22	454.09	769.69	633.73	521.76	669.92	698.41	775.05	555.41	743.43	595.34	607.87	651.58	780.44	748.61	525.39	473.41	603.67	476.71	723.08	743.43	624.99	748.61	703.28	748.61	647.07	595.34	486.75	728.11	432.53	638.15	665.29	674.59	583.07	607.87	591.22	728.11	738.29	819.3	518.15	860.08	693.58	518.15	759.08	775.05	748.61	915.51	693.58	698.41	684.02	500.46	563.18	607.87	713.11
WDR3	42.41	41.81	48.18	68.07	105.89	72.52	80.01	49.91	40.93	94.01	90.14	72.01	59.13	154.42	41.22	54.33	50.98	57.49	46.84	65.72	112.77	72.01	234.57	232.94	74.58	191.67	229.72	217.27	189.02	167.9	177.53	94.01	124.37	223.41	132.44	109.66	120.1	177.53	214.27	144.01	251.48	281.09	143.01	189.02	177.53	218.79	182.55	115.97	133.36	71.5	228.13	285.03	130.6	190.34	202.66	228.13	279.14	111.99	141.02	194.36	84.63	136.19	223.41	163.28	246.28	86.43	209.84	206.94	226.54	242.88	175.07	305.55	151.22	59.55	172.65	193.01	189.02	176.29	234.57	107.38	142.01	84.63	114.36	159.9	260.38
WDR89	55.1	70.01	120.94	129.69	148.09	151.22	148.09	135.24	148.09	113.56	176.29	165.57	171.45	157.68	110.43	148.09	139.07	120.94	144.01	139.07	185.11	173.85	260.38	260.38	175.07	198.47	205.5	180.02	159.9	215.77	178.77	108.14	190.34	178.77	165.57	170.25	137.14	201.25	267.73	194.36	159.9	176.29	248.0	229.72	183.82	275.28	202.66	122.64	164.42	119.26	271.48	299.25	175.07	275.28	172.65	223.41	215.77	197.09	180.02	312.0	146.03	239.52	170.25	202.66	246.28	185.11	255.0	193.01	204.07	232.94	148.09	231.32	215.77	176.29	190.34	211.31	201.25	275.28	176.29	159.9	177.53	169.07	163.28	195.72	205.5
XRN2	417.77	301.33	387.02	753.83	540.19	447.82	460.44	457.25	423.61	665.29	518.15	575.03	543.96	679.29	587.13	441.64	470.14	447.82	575.03	536.45	651.58	490.14	1023.0	860.08	656.11	974.5	896.64	909.17	842.36	884.29	848.22	684.02	674.59	1001.93	802.41	616.37	775.05	896.64	909.17	738.29	1015.93	1081.39	759.08	921.88	1081.39	796.86	679.29	802.41	743.43	647.07	902.89	1127.35	785.88	988.12	1015.93	819.3	1088.92	656.11	703.28	866.07	656.11	796.86	988.12	753.83	1044.52	830.75	921.88	988.12	1023.0	1127.35	728.11	1277.29	1001.93	708.18	915.51	954.43	995.0	1135.2	1023.0	802.41	738.29	679.29	616.37	785.88	1066.48
ZBTB14	88.26	70.51	122.64	140.04	158.79	158.79	145.02	150.17	127.0	153.34	197.09	96.01	127.89	215.77	135.24	165.57	151.22	117.6	129.69	212.78	215.77	144.01	283.05	348.71	146.03	246.28	198.47	253.23	218.79	220.32	267.73	118.43	176.29	217.27	199.85	318.57	267.73	232.94	253.23	234.57	251.48	218.79	314.17	301.33	275.28	376.41	281.09	158.79	269.6	176.29	351.14	287.01	269.6	368.65	204.07	285.03	251.48	273.37	214.27	438.59	224.97	226.54	208.38	327.56	236.21	191.67	262.2	251.48	182.55	236.21	175.07	185.11	285.03	169.07	253.23	234.57	293.07	279.14	221.86	275.28	253.23	182.55	351.14	226.54	253.23
ZDHHC2	145.02	48.18	66.65	412.0	226.54	316.37	287.01	397.93	318.57	226.54	318.57	275.28	277.2	447.82	358.54	241.19	351.14	271.48	334.46	339.14	529.06	293.07	723.08	1001.93	693.58	480.04	728.11	536.45	612.11	409.15	1225.22	493.56	454.09	629.35	674.59	476.71	371.22	616.37	674.59	358.54	713.11	341.51	579.04	791.35	336.79	785.88	525.39	703.28	616.37	698.41	902.89	633.73	769.69	693.58	460.44	599.49	591.22	441.64	368.65	830.75	297.17	486.75	587.13	723.08	669.92	603.67	423.61	703.28	902.89	567.1	473.41	759.08	769.69	559.28	1001.93	547.75	583.07	470.14	497.0	503.95	307.69	713.11	559.28	587.13	769.69
ZFYVE9	157.68	108.14	100.83	139.07	182.55	187.71	175.07	156.59	115.16	205.5	166.73	165.57	169.07	242.88	106.63	206.94	126.12	155.5	146.03	181.28	244.57	183.82	571.05	503.95	191.67	444.72	361.04	325.29	473.41	312.0	493.56	334.46	248.0	400.71	447.82	258.57	265.87	363.56	403.5	301.33	521.76	341.51	320.8	457.25	325.29	447.82	381.68	283.05	351.14	183.82	423.61	373.81	400.71	503.95	339.14	373.81	395.18	242.88	283.05	460.44	251.48	371.22	476.71	381.68	366.09	366.09	258.57	420.68	444.72	480.04	309.83	457.25	444.72	309.83	358.54	329.84	447.82	511.0	447.82	314.17	275.28	309.83	327.56	497.0	420.68
ZNF592	215.77	158.79	217.27	212.78	223.41	220.32	199.85	201.25	228.13	181.28	209.84	202.66	228.13	228.13	191.67	206.94	217.27	220.32	197.09	232.94	265.87	199.85	336.79	277.2	232.94	285.03	376.41	346.29	289.02	305.55	267.73	275.28	287.01	314.17	273.37	320.8	309.83	376.41	303.44	312.0	379.04	255.0	318.57	366.09	305.55	361.04	384.34	251.48	301.33	231.32	392.44	341.51	232.94	279.14	420.68	316.37	289.02	194.36	264.03	395.18	224.97	320.8	381.68	314.17	387.02	285.03	277.2	323.03	376.41	420.68	239.52	356.05	323.03	232.94	305.55	334.46	269.6	348.71	363.56	275.28	232.94	237.86	323.03	275.28	279.14
ZNF689	43.32	61.25	46.18	71.0	92.05	84.63	57.89	52.08	55.1	80.01	92.05	82.87	90.77	77.25	65.26	85.22	76.17	58.71	55.1	75.64	117.6	88.26	164.42	153.34	107.38	169.07	143.01	139.07	108.9	108.9	112.77	94.01	74.58	128.79	139.07	132.44	112.77	135.24	162.14	142.01	187.71	145.02	142.01	142.01	141.02	166.73	143.01	108.9	102.97	90.77	183.82	173.85	118.43	176.29	151.22	187.71	153.34	99.43	102.97	166.73	76.17	142.01	147.06	165.57	161.02	158.79	128.79	170.25	151.22	205.5	115.16	161.02	148.09	150.17	132.44	162.14	135.24	161.02	158.79	136.19	99.43	130.6	148.09	99.43	141.02
ZNF845	28.86	8.32	127.0	20.11	38.12	29.27	27.64	29.7	23.08	31.45	31.67	25.54	25.54	32.13	20.26	31.45	30.78	28.45	29.27	35.25	38.67	28.24	78.34	104.42	44.25	62.56	50.98	41.52	49.91	60.39	69.03	30.12	40.07	78.89	73.03	59.97	60.82	108.9	77.79	46.84	88.88	46.5	96.68	53.95	57.49	69.52	68.07	68.55	49.91	43.94	107.38	77.25	73.54	76.17	68.07	85.82	60.82	48.18	52.45	115.16	39.79	64.8	66.18	76.71	57.89	45.53	53.19	82.29	85.82	100.83	55.1	97.36	68.07	41.22	87.03	86.43	97.36	86.43	82.87	69.52	36.01	70.01	43.63	68.07	61.25
