	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11NUK.2426.SM.5BC4U
FAM156B	145.02	87.03	147.06	660.68	511.0	343.89	376.41	599.49	412.0	438.59	521.76	470.14	159.9	559.28	295.11	540.19	197.09	536.45	267.73	208.38	228.13	441.64	119.26	0.0	0.68	121.79
FBXO18	808.0	525.39	579.04	1277.29	1313.23	974.5	902.89	1191.69	1159.07	981.29	1199.98	1001.93	836.53	1295.13	753.83	1498.22	703.28	961.07	1540.37	1242.34	915.51	1199.98	612.11	733.19	138.1	928.3
FBXW4	384.34	244.57	708.18	1662.49	1242.34	1175.27	830.75	1697.45	1331.57	1369.04	1794.29	1561.89	733.19	2178.83	796.86	1208.34	921.88	872.1	1340.84	1015.93	808.0	718.08	559.28	0.0	0.58	432.53
FZD9	0.67	1.08	0.72	59.97	18.56	13.62	9.13	24.63	19.53	29.91	24.63	31.9	3.38	70.01	33.54	110.43	1.46	5.96	25.35	8.25	5.23	7.94	1.43	0.0	0.19	0.0
GAREML	20.71	35.5	14.56	61.25	67.59	80.57	67.59	86.43	84.04	81.14	78.89	80.01	40.93	146.03	51.35	111.21	17.64	38.95	116.78	67.12	60.82	24.99	59.97	0.0	0.48	23.08
GOLGA8N	5.23	0.54	5.92	62.12	35.25	37.05	21.32	170.25	65.26	33.3	80.01	138.1	10.63	201.25	39.79	37.85	53.57	26.86	80.01	48.18	13.62	17.0	20.56	0.0	0.66	9.93
GOLGA8R	2.43	0.0	4.7	22.43	7.94	26.67	28.86	78.89	43.02	42.11	77.79	87.65	18.29	88.88	10.96	10.08	39.5	34.75	69.03	43.94	25.17	25.17	16.15	0.0	0.52	4.21
GPR62	0.0	0.35	0.67	4.98	5.02	3.99	2.36	2.73	5.59	3.29	4.03	3.59	1.46	12.45	6.21	8.0	3.2	3.03	3.56	1.64	3.96	1.1	2.46	0.0	0.01	0.0
GYPC	141.02	186.4	125.24	6294.04	5555.65	2855.44	3665.02	4328.55	5147.73	4181.07	5255.91	5555.65	1313.23	6471.02	4328.55	6337.83	3690.52	4671.57	4512.4	2148.82	3540.14	1733.13	514.56	0.0	0.85	1794.29
HOXC5	4.58	8.19	5.59	19.11	32.13	13.22	10.71	42.11	25.54	21.94	11.3	13.32	11.38	2.29	12.0	43.94	1.35	4.62	13.22	0.91	13.42	2.29	1.48	0.0	0.04	1.04
HOXC6	114.36	320.8	124.37	361.04	348.71	269.6	332.14	384.34	329.84	316.37	307.69	336.79	147.06	358.54	176.29	486.75	154.42	129.69	173.85	239.52	205.5	197.09	205.5	0.0	0.23	1.95
