	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.LL.A441.01A.11R.A24H.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.56.8083.01A.11R.2247.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.85.A510.01A.11R.A26W.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.43.7656.01A.11R.2125.07	TCGA.AF.2687.01A.02R.1736.07	TCGA.N6.A4VG.01A.31R.A28V.07
WASF2	1023.0	921.88	384.34	1175.27	1051.79	438.59	511.0	463.65	387.02	460.44	642.59	603.67	314.17	507.46	403.5	616.37	555.41	813.63	325.29	253.23	145.02	183.82	98.04	142.01	185.11	194.36	120.94	193.01	122.64	107.38	94.67	114.36	171.45	171.45	143.01	117.6	175.07	127.0	113.56	126.12	126.12	161.02	212.78	218.79	101.54	96.68	108.14	159.9	124.37	105.15	108.9	90.77	1175.27	1447.15	1427.22	954.43	466.88	1369.04	1427.22	836.53	915.51
WDR70	988.12	521.76	753.83	808.0	947.83	583.07	928.3	438.59	728.11	988.12	518.15	305.55	466.88	403.5	503.95	567.1	457.25	638.15	244.57	262.2	248.0	373.81	387.02	397.93	423.61	297.17	353.59	521.76	193.01	493.56	450.94	244.57	409.15	246.28	325.29	450.94	599.49	297.17	236.21	368.65	426.57	426.57	285.03	384.34	295.11	339.14	426.57	327.56	412.0	256.78	503.95	314.17	878.17	1216.75	2367.9	995.0	1487.87	733.19	884.29	693.58	656.11
YEATS2	429.54	547.75	237.86	500.46	551.56	262.2	180.02	146.03	234.57	490.14	220.32	231.32	130.6	111.99	185.11	281.09	226.54	191.67	38.67	96.68	26.86	66.18	30.34	43.63	59.97	67.59	31.67	62.56	24.11	35.76	44.25	40.93	40.93	28.24	40.36	33.54	66.65	20.86	35.0	62.12	37.85	64.8	90.14	69.03	36.79	52.08	70.51	88.88	41.81	12.36	50.98	33.3	612.11	902.89	1191.69	954.43	708.18	1295.13	830.75	441.64	595.34
ZBTB40	279.14	206.94	84.04	265.87	226.54	85.82	110.43	148.09	137.14	149.12	170.25	122.64	69.52	101.54	142.01	204.07	189.02	141.02	48.87	26.47	31.67	37.59	15.8	38.67	73.03	43.32	28.24	52.82	35.76	24.99	20.56	47.84	27.05	26.67	30.56	31.0	50.27	31.0	34.26	38.95	24.11	46.84	41.81	33.78	26.86	35.76	34.51	52.08	48.52	4.9	44.57	23.76	204.07	220.32	146.03	164.42	190.34	173.85	297.17	173.85	339.14
ZC2HC1A	339.14	229.72	81.71	116.78	169.07	18.16	58.71	68.07	93.35	68.55	84.63	120.1	38.67	138.1	78.89	185.11	107.38	31.0	15.91	14.45	42.41	45.53	3.23	23.59	5.63	42.41	20.41	37.85	10.0	52.45	4.03	5.77	25.54	9.13	16.63	2.84	36.79	12.09	5.68	19.25	18.16	53.19	8.45	78.34	12.74	8.06	5.32	55.49	114.36	7.63	49.91	25.35	157.68	172.65	397.93	206.94	111.21	152.28	80.57	231.32	258.57
ZC3H18	842.36	1037.29	656.11	1159.07	947.83	409.15	454.09	457.25	348.71	718.08	400.71	447.82	420.68	454.09	591.22	743.43	376.41	551.56	232.94	205.5	277.2	205.5	738.29	316.37	463.65	316.37	267.73	392.44	226.54	356.05	253.23	351.14	209.84	420.68	285.03	366.09	316.37	307.69	366.09	387.02	287.01	417.77	376.41	379.04	214.27	264.03	457.25	400.71	341.51	105.15	329.84	281.09	583.07	1066.48	525.39	620.67	890.44	921.88	921.88	819.3	607.87
ZCCHC17	954.43	591.22	447.82	738.29	738.29	309.83	603.67	450.94	457.25	836.53	579.04	563.18	371.22	669.92	384.34	587.13	409.15	567.1	251.48	273.37	285.03	327.56	169.07	260.38	197.09	312.0	260.38	218.79	215.77	287.01	199.85	249.73	244.57	173.85	164.42	229.72	231.32	220.32	226.54	234.57	332.14	232.94	202.66	305.55	262.2	242.88	212.78	285.03	267.73	267.73	301.33	215.77	902.89	830.75	988.12	934.76	896.64	928.3	860.08	791.35	921.88
ZFP69B	105.89	49.91	34.75	56.28	25.91	16.27	16.03	21.94	16.03	57.08	48.52	9.41	11.38	36.53	66.18	27.05	24.46	37.59	6.84	4.98	6.89	5.36	1.97	5.73	6.01	7.69	3.92	1.71	2.2	0.44	12.09	3.08	2.41	3.99	5.36	1.17	4.86	1.53	7.57	3.29	4.17	8.32	4.86	6.94	7.57	11.91	5.28	8.92	10.08	1.95	3.03	3.56	68.55	64.34	88.88	71.0	63.0	78.34	109.66	43.02	60.82
ZNF133	473.41	429.54	371.22	540.19	432.53	161.02	389.72	239.52	473.41	480.04	204.07	215.77	209.84	287.01	246.28	497.0	204.07	307.69	72.52	120.1	96.01	211.31	140.04	141.02	204.07	130.6	121.79	258.57	98.04	191.67	84.63	195.72	100.13	108.9	149.12	211.31	191.67	100.83	111.21	146.03	134.3	197.09	206.94	121.79	91.41	134.3	75.64	140.04	162.14	42.71	187.71	164.42	366.09	316.37	376.41	356.05	532.74	244.57	346.29	703.28	371.22
ZNF239	206.94	102.97	122.64	273.37	346.29	105.15	86.43	28.04	90.14	303.44	105.89	45.53	70.01	212.78	124.37	139.07	17.51	19.25	8.0	23.42	10.88	8.85	17.9	23.08	21.47	35.5	27.64	27.25	13.93	22.92	10.31	7.69	5.06	16.63	2.89	0.0	37.85	8.13	18.7	12.93	21.01	19.97	43.94	28.45	4.82	13.12	14.35	20.71	11.13	0.0	12.64	18.29	132.44	251.48	176.29	232.94	454.09	159.9	271.48	211.31	258.57
ZNF485	81.71	66.18	64.8	100.13	217.27	53.95	55.1	39.22	49.56	224.97	59.13	21.01	61.25	163.28	81.71	61.68	17.51	44.89	20.26	31.22	27.05	28.04	45.53	16.03	37.05	30.12	20.71	46.18	24.11	21.63	19.97	15.56	19.11	31.67	19.82	23.76	101.54	9.93	30.12	30.78	40.36	35.25	36.27	31.45	11.47	21.94	15.68	36.79	18.43	2.29	23.25	34.26	60.82	124.37	147.06	180.02	172.65	45.21	114.36	95.34	165.57
