	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3
LSMD1	785.88	890.44	1015.93	0.57	6164.49	5403.7	6294.04	5329.3	4903.87	4010.71	5147.73	4937.99	2133.97	2163.77	1015.93	2018.8	2075.59	4671.57	2855.44	2075.59	3060.45	3716.2	4210.15	2701.35	3665.02	2061.24	2047.0	2895.31	1639.59	3235.01	3280.18	1159.07	4450.27	4210.15	3018.3	3081.75	2915.45	3395.89	3901.01	5076.84	3614.55	2573.36	2163.77	4704.07	1832.01	5791.62	3039.3	3847.29	1498.22	6471.02	4575.41	3146.52	2240.11	6207.38	3280.18	5292.48	2133.97	2573.36	6652.97	3103.19	4802.93	1674.06	2224.63	4123.49	3372.43	1909.85	3212.66
MAGIX	25.17	21.78	63.89	0.14	563.18	387.02	426.57	409.15	181.28	587.13	559.28	371.22	228.13	185.11	90.14	169.07	110.43	351.14	253.23	142.01	205.5	363.56	260.38	262.2	262.2	111.99	314.17	212.78	231.32	450.94	329.84	209.84	457.25	343.89	211.31	273.37	281.09	339.14	318.57	490.14	332.14	136.19	195.72	316.37	223.41	336.79	271.48	348.71	176.29	612.11	301.33	264.03	260.38	429.54	273.37	612.11	246.28	297.17	567.1	361.04	358.54	171.45	121.79	265.87	444.72	303.44	249.73
MAP3K11	500.46	559.28	503.95	0.38	1447.15	1674.06	1498.22	1628.26	1457.23	1769.57	1277.29	1135.2	836.53	909.17	316.37	674.59	679.29	775.05	620.67	1001.93	947.83	796.86	764.36	813.63	642.59	559.28	638.15	529.06	624.99	915.51	651.58	842.36	688.78	954.43	769.69	743.43	1023.0	988.12	1023.0	796.86	890.44	698.41	603.67	819.3	518.15	988.12	684.02	1111.82	693.58	1030.12	674.59	878.17	718.08	1030.12	796.86	995.0	808.0	583.07	995.0	660.68	1066.48	785.88	728.11	813.63	866.07	825.0	1008.9
MARCKSL1	2645.74	2367.9	2485.67	0.4	8598.28	5006.93	8538.88	6745.86	7695.57	9151.82	6426.31	5441.3	3212.66	4066.71	4358.66	2645.74	3742.05	11267.44	7180.15	2796.65	3146.52	3303.0	4836.35	2976.74	6607.01	2133.97	4937.99	2855.44	1806.78	3395.89	3515.68	5183.54	3168.41	3742.05	2816.11	3874.05	5711.87	2384.37	6471.02	5076.84	5831.91	2104.58	2997.45	2796.65	3235.01	4123.49	3443.31	6745.86	2796.65	2855.44	3794.3	2701.35	2148.82	3794.3	4512.4	6207.38	3742.05	4419.52	2417.67	3349.13	8718.32	2502.97	2682.69	3146.52	7130.55	4181.07	4450.27
MBLAC1	16.51	10.79	10.39	0.22	121.79	111.21	78.34	114.36	187.71	173.85	86.43	239.52	68.55	67.59	45.21	47.5	45.53	130.6	58.3	47.17	117.6	96.01	137.14	77.25	78.34	51.71	78.34	32.13	50.27	91.41	93.35	29.27	80.57	71.5	92.7	118.43	77.25	100.13	57.08	101.54	72.01	59.97	59.13	111.99	37.85	126.12	115.16	127.89	27.84	87.65	128.79	97.36	58.3	140.04	100.13	118.43	73.03	43.32	109.66	107.38	88.88	43.94	77.79	65.72	54.33	31.67	96.01
MFSD3	138.1	78.89	106.63	0.45	1322.37	1175.27	890.44	909.17	1088.92	967.76	1104.13	1268.46	603.67	555.41	287.01	493.56	473.41	1378.57	688.78	312.0	813.63	915.51	819.3	454.09	808.0	162.14	638.15	612.11	521.76	713.11	764.36	316.37	775.05	878.17	603.67	753.83	759.08	665.29	738.29	808.0	647.07	567.1	379.04	934.76	281.09	1066.48	723.08	813.63	258.57	1417.35	995.0	563.18	559.28	1350.18	536.45	941.27	368.65	656.11	1127.35	780.44	1044.52	426.57	295.11	733.19	921.88	514.56	842.36
MIF	2720.15	2468.49	2573.36	1.23	20170.07	17558.94	13215.02	15285.81	9279.58	16157.44	19082.0	17804.06	5751.61	6250.56	1977.24	4038.61	4450.27	13306.94	6471.02	6840.04	11267.44	7749.1	9215.48	9151.82	8963.45	3018.3	9151.82	5479.15	5872.48	9279.58	9740.98	6840.04	13033.07	10368.08	8134.41	10154.69	5711.87	12943.04	6792.79	11345.82	8658.09	4095.0	6652.97	12160.22	2645.74	18431.96	9409.14	10659.59	4152.18	18819.27	12502.12	9409.14	7695.57	16045.82	7642.41	17317.18	6037.61	7966.99	26431.04	10296.45	15824.9	2796.65	5954.47	9279.58	10084.54	6607.01	6887.62
MLF2	2758.13	2739.08	3103.19	1.31	5995.9	5913.33	6381.92	5006.93	5672.41	8363.13	6561.36	7911.95	3794.3	3742.05	2976.74	3564.78	3081.75	4181.07	4802.93	7537.18	4836.35	4095.0	5041.77	3589.58	4239.45	2271.4	6294.04	3349.13	3540.14	3768.09	4704.07	4937.99	5292.48	4239.45	4328.55	4481.23	4543.8	4481.23	4388.98	5791.62	4903.87	2758.13	3742.05	4481.23	3467.27	5041.77	4575.41	4575.41	4419.52	5555.65	5219.6	3982.99	4066.71	4671.57	5872.48	5292.48	4038.61	3901.01	5913.33	4639.29	5366.37	2875.3	4450.27	4836.35	4481.23	3794.3	5041.77
MON1A	115.16	86.43	105.15	0.0	483.38	267.73	341.51	480.04	567.1	642.59	435.55	450.94	325.29	303.44	221.86	236.21	339.14	587.13	323.03	104.42	392.44	334.46	353.59	334.46	368.65	228.13	231.32	223.41	181.28	351.14	406.31	142.01	429.54	323.03	303.44	297.17	339.14	244.57	417.77	441.64	303.44	170.25	228.13	305.55	211.31	400.71	301.33	514.56	145.02	463.65	490.14	384.34	208.38	403.5	343.89	579.04	251.48	366.09	483.38	279.14	384.34	139.07	113.56	351.14	384.34	175.07	483.38
MPG	285.03	256.78	575.03	0.88	2777.33	2976.74	3716.2	2255.7	2047.0	2400.97	3589.58	4388.98	1498.22	1340.84	480.04	909.17	934.76	1819.35	1594.73	1030.12	1388.16	1540.37	1617.0	848.22	1651.0	928.3	1295.13	1127.35	1066.48	1721.16	1697.45	1199.98	1977.24	1806.78	1467.37	1551.09	1806.78	2061.24	1447.15	1883.54	2133.97	988.12	1268.46	1781.89	1167.14	2104.58	1417.35	2018.8	764.36	2468.49	1794.29	1388.16	1277.29	2502.97	1208.34	2075.59	1119.56	1417.35	2609.3	1605.83	2591.27	954.43	532.74	1487.87	2271.4	1242.34	1628.26
MRM1	39.79	25.54	48.87	0.06	157.68	127.89	132.44	97.36	301.33	226.54	133.36	206.94	127.89	122.64	76.71	102.25	100.13	143.01	91.41	49.21	102.97	109.66	118.43	89.51	107.38	65.26	70.01	96.68	77.79	154.42	135.24	60.39	158.79	141.02	133.36	136.19	105.89	67.59	137.14	175.07	117.6	77.25	103.69	112.77	94.67	116.78	92.05	182.55	95.34	130.6	155.5	120.94	116.78	156.59	78.34	166.73	75.64	111.99	103.69	91.41	151.22	98.73	48.18	111.99	102.97	88.88	109.66
MRPL12	387.02	279.14	567.1	0.27	2255.7	1781.89	1561.89	2047.0	1674.06	1819.35	1697.45	2485.67	647.07	759.08	511.0	642.59	540.19	1331.57	796.86	490.14	1119.56	1030.12	1081.39	836.53	836.53	450.94	591.22	842.36	503.95	1015.93	1259.69	723.08	2061.24	981.29	1407.55	1044.52	738.29	759.08	981.29	1498.22	796.86	620.67	698.41	1437.15	547.75	2209.26	808.0	1397.83	426.57	1781.89	1447.15	934.76	825.0	1806.78	769.69	2018.8	791.35	954.43	1832.01	954.43	1540.37	473.41	457.25	1359.57	995.0	708.18	921.88
MRPL24	1151.06	1023.0	1044.52	0.43	2956.17	2875.3	2682.69	2319.15	3039.3	3146.52	2468.49	3467.27	1628.26	1397.83	1697.45	2075.59	974.5	2758.13	1769.57	1111.82	1977.24	1605.83	2319.15	1977.24	1709.26	1733.13	1268.46	1936.53	1304.15	2032.85	2018.8	928.3	3589.58	2178.83	2255.7	2178.83	1794.29	1594.73	2287.2	2335.28	2104.58	1977.24	1685.71	2777.33	1651.0	3081.75	1769.57	2915.45	1617.0	2520.38	2682.69	1844.76	1709.26	2384.37	1745.2	2701.35	1806.78	1950.0	2224.63	1757.34	2434.5	1519.15	1119.56	2148.82	1832.01	1508.65	1909.85
MRPL28	480.04	473.41	878.17	0.89	2573.36	2417.67	2682.69	2240.11	2303.12	2451.44	1857.6	3874.05	1322.37	1359.57	1119.56	1250.98	1127.35	2075.59	1594.73	1023.0	1832.01	1950.0	2193.99	1259.69	1508.65	1167.14	928.3	1135.2	1111.82	2090.03	1628.26	1015.93	2351.53	1757.34	1437.15	1896.65	1781.89	1733.13	1427.22	2224.63	1870.53	1159.07	1397.83	2032.85	1104.13	2417.67	1628.26	1844.76	1104.13	2485.67	1674.06	1819.35	1685.71	2451.44	1519.15	2240.11	1331.57	1417.35	2701.35	1721.16	2148.82	1259.69	1191.69	2018.8	2119.22	1225.22	1697.45
MRPL34	896.64	796.86	679.29	0.4	4181.07	2664.15	2664.15	4388.98	2367.9	4181.07	4066.71	3168.41	1572.76	1617.0	1073.91	1199.98	981.29	3349.13	2645.74	848.22	2240.11	2224.63	2997.45	1806.78	2701.35	759.08	1794.29	1073.91	1359.57	2701.35	3060.45	947.83	2627.46	2384.37	3018.3	2255.7	2417.67	1806.78	2555.58	3103.19	2004.85	1639.59	1313.23	2915.45	860.08	3395.89	2758.13	1963.57	743.43	3982.99	2777.33	2148.82	1551.09	3901.01	1819.35	3419.52	1551.09	1870.53	2591.27	3349.13	3443.31	1259.69	836.53	2758.13	2240.11	981.29	2434.5
MRPL52	1175.27	988.12	1457.23	1250.98	6079.61	5995.9	5403.7	4066.71	5831.91	4268.94	4903.87	6699.25	2075.59	1991.0	2061.24	1844.76	2555.58	4358.66	3280.18	2178.83	3491.39	2976.74	3349.13	2682.69	3419.52	1844.76	2417.67	1733.13	2434.5	2720.15	2335.28	2104.58	4298.64	3081.75	2573.36	3349.13	2573.36	3146.52	3212.66	4836.35	3564.78	2133.97	2573.36	4066.71	1594.73	5441.3	2915.45	4769.75	1963.57	4937.99	4671.57	2609.3	2555.58	3928.15	3190.46	4903.87	2485.67	2434.5	5183.54	2796.65	4123.49	2224.63	1857.6	3212.66	3794.3	2240.11	3257.52
MRPS12	327.56	269.6	400.71	0.39	1175.27	860.08	836.53	743.43	780.44	1051.79	738.29	1191.69	423.61	463.65	281.09	447.82	353.59	802.41	441.64	262.2	620.67	551.56	612.11	497.0	447.82	297.17	336.79	417.77	316.37	647.07	713.11	514.56	995.0	540.19	616.37	616.37	532.74	500.46	575.03	921.88	507.46	358.54	470.14	775.05	312.0	825.0	547.75	808.0	400.71	802.41	759.08	503.95	540.19	967.76	381.68	1015.93	532.74	497.0	1037.29	529.06	836.53	348.71	414.87	759.08	575.03	543.96	444.72
MRPS16	1427.22	1721.16	1259.69	1844.76	2148.82	1950.0	2351.53	2104.58	2061.24	2434.5	2018.8	2935.74	1175.27	1233.75	1304.15	1477.58	1407.55	1936.53	1519.15	733.19	1561.89	1551.09	1639.59	1417.35	1447.15	1378.57	872.1	1519.15	1023.0	1437.15	1769.57	1030.12	2255.7	1662.49	1594.73	1519.15	1216.75	1175.27	1427.22	1561.89	1561.89	1250.98	1242.34	1950.0	1561.89	2255.7	1417.35	1923.14	1008.9	1909.85	2367.9	1295.13	1467.37	1909.85	1250.98	1991.0	1519.15	1286.18	1806.78	1651.0	2004.85	1295.13	884.29	1769.57	1745.2	1216.75	1259.69
MRPS24	1936.53	1721.16	1051.79	0.92	3820.7	2855.44	3639.7	2645.74	5219.6	3467.27	2645.74	8421.31	1870.53	1662.49	1662.49	1477.58	1781.89	2997.45	2434.5	1159.07	1709.26	1781.89	2627.46	1697.45	2682.69	1757.34	1561.89	2303.12	2090.03	2417.67	2627.46	1427.22	2555.58	2434.5	1936.53	2255.7	2664.15	2875.3	2485.67	2627.46	2591.27	1617.0	1498.22	2627.46	1857.6	2591.27	2104.58	2555.58	1208.34	3146.52	2335.28	1896.65	2178.83	3103.19	1819.35	2935.74	1561.89	2061.24	3018.3	1806.78	2956.17	2591.27	1208.34	2400.97	2335.28	2061.24	2591.27
MRPS26	507.46	339.14	389.72	0.67	2627.46	2485.67	2163.77	2816.11	3168.41	3212.66	2400.97	2400.97	1407.55	1417.35	988.12	1127.35	1304.15	2502.97	2032.85	426.57	1388.16	1685.71	2271.4	1159.07	1896.65	796.86	1313.23	1104.13	1015.93	2090.03	1909.85	698.41	2303.12	1757.34	1487.87	2400.97	1923.14	1427.22	2090.03	2591.27	1806.78	1023.0	941.27	2451.44	954.43	2451.44	1745.2	2351.53	921.88	2997.45	2758.13	1685.71	1277.29	2104.58	1605.83	2875.3	1183.45	1857.6	3103.19	1769.57	2664.15	854.13	775.05	2018.8	1857.6	1225.22	2163.77
MRPS34	395.18	336.79	941.27	0.36	3081.75	2384.37	2915.45	2664.15	4095.0	3303.0	2119.22	6079.61	1477.58	1388.16	866.07	1167.14	1322.37	2032.85	1781.89	688.78	1457.23	1662.49	1639.59	1467.37	1427.22	791.35	1111.82	1008.9	1175.27	1769.57	2075.59	571.05	2018.8	2133.97	1540.37	1832.01	1806.78	1508.65	2133.97	2163.77	1709.26	1407.55	1191.69	2075.59	947.83	2061.24	1551.09	1977.24	954.43	2303.12	2224.63	1467.37	1268.46	2502.97	1378.57	2255.7	1143.1	1359.57	2537.92	1617.0	2645.74	1225.22	616.37	1844.76	2075.59	1216.75	1923.14
MRPS7	915.51	909.17	1051.79	0.52	1857.6	1331.57	1605.83	1519.15	2193.99	1733.13	1322.37	2209.26	1183.45	1119.56	1225.22	1250.98	1051.79	1447.15	1151.06	1015.93	1594.73	1378.57	1340.84	1487.87	1250.98	1359.57	1295.13	1594.73	1175.27	1322.37	1304.15	967.76	2075.59	1340.84	1583.71	1427.22	1216.75	1447.15	1397.83	1709.26	1508.65	1167.14	1066.48	1794.29	1313.23	1745.2	1605.83	1870.53	974.5	1605.83	1583.71	1388.16	1487.87	1487.87	1159.07	1870.53	1561.89	1378.57	1844.76	1467.37	1936.53	1015.93	1159.07	1498.22	1628.26	1259.69	1369.04
MSRA	277.2	379.04	291.04	0.55	703.28	543.96	507.46	547.75	334.46	575.03	500.46	483.38	237.86	285.03	297.17	329.84	297.17	486.75	361.04	277.2	346.29	358.54	463.65	426.57	412.0	283.05	323.03	351.14	249.73	267.73	303.44	248.0	447.82	387.02	392.44	406.31	289.02	327.56	381.68	450.94	356.05	289.02	325.29	417.77	264.03	376.41	381.68	493.56	316.37	473.41	521.76	346.29	353.59	426.57	387.02	395.18	387.02	320.8	497.0	376.41	336.79	260.38	325.29	435.55	376.41	303.44	297.17
MSRB1	236.21	287.01	463.65	0.56	651.58	454.09	629.35	525.39	633.73	775.05	389.72	947.83	363.56	358.54	295.11	299.25	237.86	395.18	358.54	224.97	373.81	392.44	379.04	353.59	320.8	309.83	193.01	493.56	358.54	438.59	368.65	269.6	376.41	379.04	738.29	429.54	348.71	255.0	423.61	406.31	400.71	329.84	232.94	473.41	336.79	420.68	384.34	441.64	211.31	429.54	403.5	414.87	392.44	587.13	249.73	438.59	323.03	316.37	532.74	395.18	753.83	373.81	180.02	384.34	497.0	316.37	332.14
MTX1	514.56	555.41	587.13	0.52	2018.8	1350.18	1427.22	1427.22	1551.09	1709.26	1250.98	1662.49	941.27	830.75	703.28	902.89	819.3	1295.13	1111.82	848.22	1135.2	1151.06	1268.46	854.13	961.07	974.5	769.69	1135.2	848.22	1088.92	1119.56	759.08	1721.16	1167.14	1199.98	1259.69	967.76	954.43	1127.35	1628.26	1143.1	808.0	1037.29	1519.15	1023.0	1709.26	1175.27	1331.57	836.53	1529.73	1417.35	1044.52	1008.9	1674.06	1096.5	1628.26	1143.1	1127.35	1572.76	1051.79	1594.73	599.49	1081.39	1304.15	1044.52	842.36	1151.06
MYEOV2	1883.54	2555.58	2119.22	0.71	9344.14	6079.61	7485.11	7230.1	5006.93	6079.61	6121.9	8022.41	3190.46	3325.99	2255.7	2255.7	2701.35	7857.29	6037.61	2682.69	4419.52	3928.15	4972.34	3794.3	6840.04	2367.9	2255.7	3467.27	2875.3	3665.02	3235.01	2193.99	5441.3	4419.52	4298.64	5183.54	4123.49	5183.54	3820.7	5255.91	5403.7	2434.5	3372.43	5403.7	3168.41	7537.18	3874.05	5633.22	2061.24	8022.41	5555.65	3847.29	2720.15	7911.95	3794.3	7695.57	2855.44	3716.2	7331.05	5403.7	7433.4	2319.15	2303.12	4123.49	6121.9	3212.66	4704.07
MYPOP	88.88	48.52	47.17	0.46	140.04	138.1	136.19	166.73	152.28	211.31	164.42	142.01	110.43	129.69	68.07	80.01	85.82	120.94	101.54	106.63	88.26	108.14	99.43	105.89	107.38	66.65	66.65	58.71	92.7	113.56	103.69	80.57	102.25	80.01	95.34	108.9	116.78	74.06	124.37	86.43	81.14	78.34	74.06	85.82	68.55	104.42	74.06	104.42	77.79	127.0	132.44	107.38	68.07	100.83	107.38	140.04	66.18	87.03	105.15	100.83	127.0	75.64	64.8	92.05	96.01	89.51	124.37
NAA10	1051.79	954.43	1030.12	1.07	3146.52	3443.31	2664.15	2835.7	2193.99	2758.13	2591.27	3060.45	1159.07	1250.98	921.88	1250.98	1111.82	1709.26	1277.29	1397.83	1551.09	1594.73	1407.55	1583.71	1437.15	825.0	1066.48	954.43	1242.34	1340.84	1340.84	974.5	1709.26	1242.34	1651.0	1594.73	1628.26	1617.0	1594.73	1769.57	1331.57	1081.39	1397.83	1769.57	769.69	2075.59	1259.69	1844.76	967.76	1806.78	1745.2	1388.16	1183.45	1977.24	1477.58	1794.29	1208.34	1250.98	1909.85	1572.76	2061.24	1066.48	928.3	1519.15	1662.49	1225.22	1639.59
NABP2	423.61	480.04	435.55	575.03	647.07	941.27	836.53	934.76	1331.57	1617.0	909.17	2075.59	607.87	591.22	559.28	599.49	698.41	860.08	890.44	316.37	647.07	607.87	836.53	603.67	813.63	583.07	397.93	567.1	486.75	713.11	775.05	423.61	769.69	718.08	638.15	665.29	842.36	660.68	713.11	884.29	813.63	571.05	532.74	802.41	595.34	679.29	638.15	902.89	400.71	669.92	842.36	713.11	620.67	759.08	583.07	860.08	647.07	583.07	718.08	591.22	802.41	642.59	470.14	708.18	651.58	493.56	802.41
NAPA	1936.53	2104.58	1572.76	1.07	4607.24	3257.52	4903.87	4769.75	3847.29	6079.61	5255.91	4869.99	3018.3	2976.74	2451.44	2701.35	2468.49	3540.14	2956.17	3716.2	4298.64	4298.64	3372.43	3716.2	3212.66	2796.65	3742.05	2319.15	2915.45	4152.18	3419.52	2335.28	3257.52	3639.7	3820.7	3742.05	2956.17	4268.94	3235.01	4181.07	3847.29	2468.49	3060.45	3491.39	2018.8	4210.15	3614.55	3614.55	2935.74	3060.45	2935.74	4419.52	3768.09	4181.07	3589.58	4268.94	3467.27	3257.52	4328.55	4152.18	4639.29	2090.03	3372.43	3742.05	3716.2	2701.35	3820.7
NDUFA11	2701.35	2319.15	2090.03	1.13	11504.21	10959.3	13033.07	9808.75	7803.01	9876.98	10585.95	11827.67	5292.48	4358.66	2319.15	3395.89	3443.31	9025.81	5954.47	5006.93	7130.55	5791.62	8022.41	4704.07	6121.9	4123.49	5147.73	6294.04	4210.15	6699.25	6164.49	5006.93	7642.41	5954.47	5255.91	6699.25	5633.22	8191.0	5255.91	7749.1	7857.29	3768.09	5219.6	7537.18	3349.13	8658.09	6561.36	6983.79	3467.27	10659.59	6840.04	7180.15	5441.3	10883.59	4671.57	9151.82	4298.64	5995.9	10733.74	6337.83	8778.97	3190.46	4066.71	5633.22	6983.79	5255.91	6840.04
NDUFA2	1250.98	1498.22	1250.98	0.84	3847.29	3690.52	4095.0	4123.49	4543.8	4607.24	3874.05	5995.9	1896.65	1857.6	1883.54	1322.37	1674.06	4639.29	3124.78	1540.37	2537.92	2061.24	3742.05	2417.67	3540.14	1561.89	1733.13	1832.01	1923.14	2335.28	2502.97	1477.58	2875.3	2855.44	2777.33	2915.45	3018.3	4010.71	2609.3	3467.27	3690.52	1487.87	1896.65	3280.18	1397.83	4704.07	2400.97	2997.45	1757.34	4268.94	3395.89	2555.58	1794.29	3742.05	2163.77	3794.3	1950.0	2018.8	4210.15	3168.41	3820.7	1540.37	1857.6	2367.9	3955.48	2319.15	2875.3
NDUFAF3	896.64	1059.11	1268.46	0.62	3639.7	4607.24	5006.93	5872.48	3768.09	8421.31	5555.65	5006.93	2758.13	2434.5	2271.4	2193.99	2148.82	4328.55	3257.52	2351.53	3928.15	2915.45	4388.98	2835.7	3742.05	2555.58	3212.66	2555.58	2855.44	3847.29	3257.52	1923.14	3820.7	3443.31	3820.7	3768.09	2915.45	3742.05	3794.3	4704.07	4010.71	2319.15	2209.26	4268.94	2090.03	4607.24	4123.49	3820.7	2119.22	3820.7	3639.7	4152.18	3257.52	3325.99	3443.31	4512.4	3168.41	2956.17	4123.49	3928.15	3847.29	2303.12	2796.65	3081.75	4543.8	2287.2	3716.2
NDUFB10	1359.57	1369.04	1369.04	0.78	6079.61	4972.34	5112.16	5791.62	5076.84	5041.77	4937.99	7857.29	2701.35	2701.35	2335.28	2555.58	2627.46	4903.87	4038.61	2032.85	3768.09	3540.14	4010.71	3257.52	3874.05	2090.03	2335.28	2609.3	2664.15	3794.3	3564.78	1583.71	4671.57	3639.7	4450.27	4123.49	3716.2	3742.05	3665.02	4066.71	4123.49	2468.49	2271.4	4937.99	2367.9	5479.15	3794.3	3372.43	2434.5	4903.87	4639.29	3639.7	3168.41	4903.87	2835.7	5403.7	2609.3	3081.75	6381.92	4181.07	4937.99	2384.37	1781.89	4543.8	4095.0	2720.15	4328.55
NDUFB11	1457.23	1088.92	995.0	0.82	5006.93	4010.71	4358.66	4869.99	3443.31	4481.23	4481.23	5517.27	2400.97	2591.27	2555.58	2287.2	1844.76	4704.07	3467.27	2193.99	3168.41	3124.78	4358.66	2835.7	3716.2	2047.0	3190.46	2796.65	2367.9	3303.0	3303.0	2271.4	4704.07	3690.52	3235.01	3874.05	2664.15	3540.14	3103.19	4736.79	3515.68	2434.5	2303.12	4239.45	1883.54	4802.93	3168.41	3982.99	1628.26	4972.34	3768.09	3039.3	3081.75	5292.48	2875.3	5329.3	2682.69	3257.52	5594.3	3081.75	5147.73	2739.08	1936.53	3060.45	4298.64	2255.7	2956.17
NDUFB7	954.43	890.44	1583.71	0.87	13681.08	9540.5	10512.82	8901.53	9606.86	12853.63	9151.82	15392.14	5479.15	4328.55	2935.74	3742.05	4268.94	10225.32	5954.47	3901.01	7382.04	7589.61	8778.97	4575.41	7180.15	3589.58	4802.93	6207.38	4512.4	7081.29	7331.05	2271.4	10014.87	8479.89	7230.1	7857.29	6381.92	7589.61	5831.91	9215.48	9876.98	4575.41	4937.99	9740.98	3847.29	13215.02	7130.55	7695.57	3847.29	11664.82	9540.5	6652.97	5255.91	11035.54	6471.02	10225.32	4512.4	6079.61	13399.51	7911.95	8840.04	2758.13	4419.52	8078.22	8363.13	5006.93	8305.36
NDUFC2	3081.75	3820.7	3395.89	231.32	17197.56	15075.35	17197.56	17558.94	11584.24	13399.51	15392.14	15180.22	6792.79	6121.9	5791.62	7485.11	5954.47	13215.02	10733.74	6561.36	10959.3	10808.41	10440.2	9151.82	11992.79	6471.02	8191.0	7695.57	8247.98	8421.31	11745.96	6207.38	14971.21	11035.54	10440.2	12415.75	6745.86	8078.22	11584.24	13968.57	12160.22	5954.47	6699.25	15180.22	5672.41	16045.82	11035.54	11345.82	5441.3	20310.37	15285.81	9151.82	8778.97	15075.35	9409.14	16045.82	9945.68	11189.6	18950.18	13681.08	14361.31	6426.31	7280.4	9945.68	13215.02	6652.97	10659.59
NDUFS7	389.72	287.01	529.06	703.28	4095.0	2796.65	4095.0	3515.68	1977.24	3168.41	3325.99	4268.94	1870.53	1685.71	435.55	1073.91	1044.52	2875.3	1697.45	1369.04	2018.8	2351.53	3081.75	1757.34	2502.97	860.08	1651.0	1477.58	1208.34	2468.49	2303.12	988.12	3081.75	2271.4	2384.37	2502.97	2178.83	2148.82	1883.54	2758.13	2451.44	1447.15	1487.87	3257.52	1015.93	4419.52	2004.85	2468.49	981.29	3467.27	2935.74	1883.54	1561.89	3742.05	1909.85	4123.49	1159.07	1909.85	3349.13	2075.59	2976.74	1096.5	1369.04	2271.4	2537.92	1359.57	2255.7
NDUFS8	728.11	796.86	1340.84	0.75	7642.41	6792.79	7749.1	7911.95	5183.54	7433.4	6935.54	9151.82	2682.69	2451.44	1199.98	2555.58	1519.15	4512.4	2915.45	2061.24	3820.7	4328.55	3794.3	3794.3	3467.27	1457.23	3018.3	2591.27	2133.97	3928.15	4010.71	2193.99	6164.49	3280.18	3467.27	3794.3	2434.5	3190.46	3349.13	4903.87	3768.09	2351.53	2224.63	5441.3	1709.26	7433.4	3443.31	4607.24	1977.24	6699.25	5403.7	3349.13	2645.74	5913.33	2915.45	7180.15	2664.15	4152.18	8247.98	3690.52	5672.41	1397.83	2816.11	4181.07	4512.4	2400.97	3515.68
