	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.XBEC.1026.SM.4QASM	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.XMD2.1026.SM.4WWE8	GTEX.13O61.0726.SM.5J2MD	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13QJC.0526.SM.5RQKB	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.11NUK.0826.SM.5HL4U	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.QEG4.0526.SM.48TZD	GTEX.13FHO.1026.SM.5KM1Q	GTEX.WYVS.0526.SM.3NM9W	TCGA.43.5670.11A.01R.2125.07
TMEM33	454.09	500.46	836.53	223.41	497.0	633.73	1008.9	457.25	587.13	376.41	258.57	231.32	271.48	954.43	854.13	591.22	293.07	507.46	1111.82	371.22	902.89	928.3	389.72	988.12	218.79	376.41	563.18	651.58	759.08	463.65	595.34	262.2	283.05	703.28	262.2	591.22	379.04	500.46	543.96	595.34	669.92	679.29	872.1	312.0	493.56	348.71	423.61	454.09	743.43	961.07	1096.5	1073.91	379.04	271.48	273.37	825.0	450.94
TP53RK	220.32	215.77	323.03	204.07	172.65	325.29	275.28	295.11	305.55	187.71	164.42	84.04	285.03	198.47	318.57	186.4	140.04	249.73	269.6	208.38	301.33	249.73	221.86	320.8	96.68	187.71	98.04	239.52	293.07	307.69	226.54	124.37	212.78	323.03	180.02	241.19	239.52	90.14	373.81	239.52	236.21	234.57	325.29	249.73	301.33	183.82	194.36	170.25	297.17	318.57	348.71	312.0	201.25	112.77	148.09	318.57	228.13
TRMT6	66.18	182.55	395.18	176.29	332.14	547.75	314.17	234.57	253.23	241.19	102.25	104.42	205.5	314.17	275.28	137.14	124.37	269.6	358.54	182.55	320.8	285.03	299.25	397.93	84.63	217.27	142.01	312.0	346.29	387.02	258.57	129.69	211.31	684.02	172.65	309.83	269.6	144.01	473.41	234.57	249.73	224.97	463.65	271.48	327.56	177.53	260.38	212.78	575.03	426.57	363.56	444.72	295.11	82.87	113.56	346.29	275.28
TSR1	100.13	215.77	540.19	214.27	420.68	743.43	429.54	194.36	305.55	181.28	144.01	144.01	193.01	587.13	387.02	198.47	167.9	307.69	466.88	295.11	417.77	320.8	351.14	490.14	198.47	223.41	92.05	323.03	490.14	373.81	384.34	164.42	320.8	995.0	211.31	348.71	334.46	169.07	708.18	320.8	289.02	249.73	450.94	265.87	358.54	229.72	249.73	241.19	693.58	555.41	638.15	647.07	223.41	135.24	143.01	460.44	332.14
TVP23B	703.28	723.08	1467.37	769.69	764.36	1135.2	1477.58	884.29	902.89	444.72	332.14	406.31	764.36	1540.37	1359.57	429.54	432.53	866.07	1119.56	633.73	1572.76	981.29	1037.29	1721.16	547.75	616.37	426.57	1216.75	890.44	860.08	1208.34	575.03	796.86	1721.16	679.29	1001.93	450.94	387.02	825.0	866.07	1051.79	890.44	1369.04	1151.06	854.13	723.08	902.89	995.0	1199.98	1498.22	1191.69	1001.93	684.02	463.65	466.88	1111.82	769.69
UBE2N	1159.07	1540.37	3060.45	1407.55	2591.27	4038.61	2664.15	1388.16	1977.24	1233.75	1051.79	1044.52	1605.83	3039.3	2956.17	1268.46	854.13	1561.89	2591.27	1540.37	2758.13	2451.44	1350.18	2520.38	947.83	1313.23	1081.39	1487.87	2434.5	2451.44	2061.24	909.17	1477.58	3847.29	1208.34	2004.85	1819.35	1051.79	2915.45	2163.77	1950.0	2178.83	2271.4	1628.26	1697.45	1295.13	1950.0	1508.65	3280.18	3146.52	5112.16	2555.58	1286.18	1175.27	1015.93	3955.48	2047.0
UBE3C	366.09	591.22	981.29	470.14	325.29	780.44	954.43	616.37	660.68	543.96	323.03	412.0	457.25	1159.07	1015.93	503.95	295.11	753.83	1008.9	718.08	890.44	1191.69	708.18	947.83	327.56	547.75	500.46	780.44	796.86	651.58	703.28	312.0	633.73	1388.16	353.59	842.36	620.67	511.0	1001.93	656.11	460.44	665.29	802.41	836.53	836.53	595.34	490.14	796.86	909.17	848.22	1304.15	842.36	514.56	351.14	318.57	915.51	620.67
UGDH	389.72	540.19	1733.13	559.28	423.61	1733.13	2682.69	420.68	595.34	334.46	137.14	381.68	224.97	2061.24	2400.97	507.46	154.42	417.77	1498.22	269.6	1963.57	785.88	647.07	2032.85	368.65	406.31	146.03	860.08	1001.93	543.96	988.12	316.37	612.11	2976.74	423.61	1044.52	384.34	189.02	1529.73	890.44	1508.65	400.71	1216.75	769.69	647.07	403.5	371.22	429.54	1697.45	1350.18	1378.57	2758.13	262.2	123.5	204.07	1896.65	785.88
URB2	25.54	50.63	120.1	45.21	63.0	111.21	118.43	84.63	94.01	67.59	27.64	50.98	55.89	85.82	94.67	33.06	22.26	85.82	118.43	88.88	115.97	94.01	81.71	138.1	26.28	57.89	31.9	75.64	123.5	108.14	107.38	27.05	79.45	237.86	46.84	109.66	100.83	50.98	143.01	74.06	52.08	61.25	112.77	56.28	126.12	53.95	59.97	57.08	111.21	115.16	118.43	162.14	70.51	30.34	27.64	113.56	91.41
UTP18	493.56	547.75	988.12	314.17	642.59	819.3	921.88	665.29	612.11	480.04	511.0	387.02	454.09	521.76	647.07	567.1	301.33	651.58	684.02	511.0	759.08	688.78	603.67	1233.75	466.88	476.71	575.03	665.29	902.89	775.05	514.56	420.68	514.56	830.75	376.41	567.1	595.34	392.44	995.0	708.18	595.34	769.69	884.29	753.83	571.05	412.0	423.61	341.51	759.08	928.3	1030.12	947.83	796.86	384.34	368.65	1397.83	579.04
UTP20	31.0	50.27	148.09	72.52	65.72	161.02	156.59	74.06	109.66	65.26	43.02	55.1	70.51	172.65	125.24	71.0	57.49	108.9	158.79	77.79	199.85	133.36	95.34	229.72	49.56	80.57	47.17	114.36	195.72	127.89	105.89	66.65	85.82	297.17	64.8	138.1	90.77	55.49	171.45	111.21	115.97	81.14	146.03	94.01	98.73	79.45	66.65	76.71	187.71	202.66	193.01	177.53	92.7	35.76	43.02	178.77	111.21
VDAC1	2303.12	2537.92	5041.77	1487.87	2032.85	6037.61	5219.6	2777.33	2209.26	1350.18	1277.29	1286.18	1427.22	4802.93	3639.7	1896.65	1127.35	2451.44	4328.55	1417.35	4268.94	4481.23	2104.58	3690.52	1119.56	1639.59	1437.15	3349.13	4210.15	2163.77	2555.58	2104.58	1674.06	4239.45	1350.18	2451.44	2163.77	1498.22	4038.61	2555.58	3039.3	3081.75	5006.93	2133.97	2240.11	1561.89	2090.03	2061.24	5954.47	4481.23	5995.9	4388.98	1617.0	1191.69	1350.18	4512.4	2555.58
VIMP	988.12	1721.16	3614.55	1617.0	2047.0	3901.01	2997.45	2573.36	2485.67	1923.14	1119.56	1628.26	1697.45	4671.57	4181.07	1417.35	836.53	2468.49	2816.11	2178.83	3372.43	2319.15	2609.3	2682.69	1233.75	1529.73	1088.92	2915.45	2119.22	2502.97	2976.74	1167.14	2148.82	5255.91	1407.55	2835.7	2367.9	1088.92	2701.35	2090.03	2240.11	2520.38	2701.35	1923.14	2434.5	1832.01	1950.0	2018.8	4066.71	3982.99	2915.45	3419.52	2133.97	1001.93	1104.13	3349.13	2075.59
WDR12	166.73	236.21	713.11	279.14	299.25	967.76	703.28	412.0	409.15	373.81	204.07	242.88	289.02	624.99	438.59	267.73	215.77	358.54	638.15	336.79	620.67	567.1	412.0	575.03	218.79	426.57	158.79	525.39	848.22	414.87	305.55	187.71	316.37	878.17	316.37	497.0	295.11	212.78	669.92	444.72	332.14	460.44	825.0	381.68	376.41	215.77	285.03	301.33	802.41	785.88	514.56	791.35	356.05	129.69	182.55	738.29	381.68
WDR3	43.32	108.14	395.18	133.36	194.36	389.72	343.89	183.82	182.55	135.24	35.0	71.5	113.56	336.79	223.41	83.45	78.89	218.79	264.03	189.02	332.14	265.87	249.73	334.46	75.64	194.36	66.18	163.28	361.04	244.57	249.73	105.15	183.82	718.08	108.14	281.09	186.4	109.66	361.04	197.09	175.07	199.85	432.53	218.79	209.84	113.56	108.9	197.09	529.06	486.75	248.0	521.76	115.16	100.13	79.45	334.46	224.97
YKT6	633.73	830.75	1991.0	866.07	525.39	2400.97	1757.34	961.07	1159.07	1199.98	909.17	540.19	1066.48	1733.13	1519.15	775.05	497.0	1369.04	1977.24	1073.91	1832.01	1498.22	1151.06	1605.83	470.14	941.27	638.15	1331.57	1857.6	1350.18	1250.98	638.15	941.27	2664.15	587.13	1594.73	1015.93	679.29	1923.14	1143.1	656.11	1259.69	1572.76	780.44	1359.57	543.96	785.88	1023.0	1923.14	1870.53	1519.15	2591.27	981.29	511.0	708.18	1909.85	1088.92
YME1L1	1175.27	842.36	1977.24	860.08	1519.15	2047.0	1896.65	872.1	1151.06	620.67	703.28	595.34	836.53	2609.3	1757.34	890.44	785.88	1051.79	1662.49	775.05	2739.08	1857.6	1322.37	2434.5	796.86	748.61	703.28	1745.2	1769.57	1127.35	1304.15	988.12	802.41	2384.37	878.17	1457.23	819.3	718.08	1572.76	1073.91	1295.13	1127.35	1963.57	1030.12	934.76	1044.52	1096.5	1225.22	1467.37	1709.26	2148.82	1498.22	665.29	612.11	954.43	1794.29	1277.29
