	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.Y8LW.1226.SM.4WWDP	GTEX.14E6E.1526.SM.5RQIG	GTEX.ZPIC.2626.SM.57WE2	GTEX.W5WG.2426.SM.4LMI6	GTEX.13PL7.2426.SM.5J2N3	GTEX.ZPCL.1626.SM.57WGC	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J9.01A.12R.A251.31	GTEX.P4PQ.1526.SM.3NMCK	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG
MMRN2	473.41	73.54	88.88	43.63	103.69	71.0	163.28	100.13	503.95	679.29	23.42	115.97	105.15	571.05	514.56	587.13	249.73	1037.29	194.36	206.94	406.31	191.67	500.46	457.25	185.11	406.31	325.29
NOD1	87.03	94.67	67.59	128.79	52.08	144.01	106.63	74.06	269.6	1151.06	21.16	25.54	47.5	575.03	206.94	486.75	171.45	320.8	366.09	138.1	392.44	237.86	269.6	191.67	246.28	265.87	339.14
OSMR	518.15	26.28	161.02	26.28	237.86	36.27	173.85	99.43	878.17	2627.46	16.88	88.88	109.66	1819.35	825.0	1340.84	563.18	1457.23	718.08	208.38	703.28	444.72	583.07	239.52	373.81	583.07	624.99
PANX1	287.01	98.04	175.07	66.65	186.4	104.42	136.19	193.01	258.57	514.56	107.38	49.21	132.44	420.68	187.71	291.04	223.41	256.78	406.31	194.36	291.04	275.28	295.11	152.28	305.55	198.47	218.79
PCDHB12	82.29	1.99	30.12	1.23	29.27	3.79	21.63	23.76	54.72	84.63	1.83	2.56	2.34	72.01	39.22	49.91	66.18	37.59	90.14	44.57	47.5	36.27	40.93	49.91	40.93	52.08	53.19
PCDHB8	15.34	0.0	13.83	0.0	19.53	4.82	8.78	1.07	10.39	47.5	0.0	1.11	1.16	40.07	18.16	22.1	31.67	18.03	64.34	7.75	43.94	39.5	28.65	25.91	26.67	42.11	32.59
PCNX	457.25	55.89	201.25	84.04	285.03	108.14	178.77	136.19	356.05	854.13	67.12	101.54	147.06	708.18	307.69	612.11	409.15	624.99	543.96	358.54	426.57	273.37	316.37	366.09	316.37	381.68	420.68
PCSK7	20170.07	1806.78	3955.48	1923.14	3540.14	2133.97	2997.45	3146.52	20451.65	11584.24	379.04	438.59	723.08	7911.95	11909.94	8658.09	6652.97	10014.87	9151.82	6207.38	9088.59	4450.27	5711.87	5255.91	4038.61	7180.15	9344.14
PDE4D	854.13	62.56	432.53	105.15	555.41	129.69	323.03	285.03	236.21	813.63	52.82	93.35	59.13	633.73	796.86	796.86	299.25	595.34	1088.92	450.94	638.15	688.78	236.21	320.8	454.09	603.67	1313.23
PICALM	2573.36	967.76	1936.53	1781.89	2240.11	1674.06	1313.23	1769.57	3419.52	3564.78	723.08	808.0	1662.49	3820.7	2591.27	3325.99	2701.35	7230.1	3190.46	2591.27	3491.39	2400.97	4268.94	2384.37	2682.69	3168.41	2609.3
PTGIR	172.65	30.12	22.1	16.63	29.48	25.35	20.86	26.67	309.83	476.71	16.63	23.76	12.36	476.71	208.38	201.25	96.68	111.21	878.17	151.22	223.41	154.42	170.25	96.68	159.9	151.22	132.44
PXDN	1896.65	60.39	503.95	40.93	466.88	96.01	435.55	343.89	902.89	1259.69	44.57	406.31	150.17	2796.65	1313.23	1540.37	543.96	785.88	802.41	567.1	836.53	769.69	1030.12	1233.75	872.1	890.44	995.0
RBMS1	1331.57	53.57	591.22	41.52	599.49	90.77	406.31	466.88	1417.35	2335.28	25.91	47.84	84.63	1936.53	1359.57	1135.2	921.88	1923.14	1757.34	825.0	2004.85	967.76	1909.85	1119.56	1023.0	1467.37	1008.9
REV3L	555.41	85.22	256.78	83.45	346.29	127.89	256.78	307.69	480.04	748.61	54.72	31.0	77.25	603.67	438.59	703.28	529.06	647.07	620.67	409.15	361.04	348.71	307.69	381.68	373.81	483.38	480.04
SACS	223.41	14.14	70.01	11.04	82.87	17.77	74.58	57.89	954.43	902.89	32.36	32.59	50.63	490.14	211.31	532.74	190.34	151.22	201.25	295.11	185.11	150.17	220.32	205.5	214.27	295.11	231.32
SH3BP5	791.35	82.87	447.82	68.55	178.77	125.24	138.1	153.34	532.74	728.11	81.14	82.87	208.38	555.41	647.07	490.14	500.46	1250.98	1023.0	423.61	878.17	599.49	813.63	406.31	575.03	1073.91	642.59
SHB	318.57	309.83	176.29	151.22	190.34	195.72	151.22	136.19	397.93	791.35	249.73	31.45	123.5	555.41	497.0	743.43	256.78	1044.52	713.11	258.57	432.53	341.51	332.14	412.0	358.54	414.87	432.53
SIK2	228.13	74.58	195.72	94.67	209.84	130.6	128.79	136.19	215.77	718.08	106.63	93.35	133.36	571.05	301.33	463.65	163.28	267.73	591.22	208.38	497.0	368.65	271.48	234.57	190.34	265.87	269.6
SIK3	802.41	164.42	400.71	161.02	483.38	287.01	417.77	450.94	669.92	1081.39	293.07	161.02	157.68	753.83	638.15	884.29	507.46	830.75	848.22	647.07	684.02	529.06	660.68	854.13	579.04	612.11	708.18
SLC11A2	412.0	183.82	392.44	131.51	351.14	406.31	289.02	206.94	457.25	954.43	224.97	371.22	579.04	647.07	423.61	567.1	358.54	1030.12	591.22	432.53	511.0	295.11	521.76	423.61	409.15	353.59	480.04
STAT5B	2271.4	255.0	854.13	244.57	813.63	397.93	791.35	738.29	1498.22	1529.73	218.79	312.0	384.34	1498.22	1242.34	1617.0	981.29	1745.2	1508.65	1119.56	1199.98	1096.5	1001.93	1417.35	1216.75	1388.16	1477.58
TEK	181.28	39.79	45.85	16.15	52.08	37.05	33.3	46.5	117.6	244.57	2.1	11.04	27.84	183.82	159.9	182.55	119.26	215.77	128.79	52.45	96.01	46.5	117.6	151.22	85.22	155.5	81.71
TNFAIP6	135.24	10.31	43.94	2.1	16.03	6.78	13.22	22.92	341.51	703.28	3.0	1.79	9.56	373.81	149.12	25.35	96.68	129.69	180.02	57.08	460.44	115.16	111.99	57.89	69.03	209.84	85.82
