	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
TAF13	1639.59	934.76	1757.34	1225.22	1286.18	1936.53	961.07	1023.0	1242.34	1037.29	1350.18	1073.91	1350.18	1832.01	909.17	329.84	503.95	860.08	954.43	703.28	579.04	703.28	1191.69	518.15	915.51	813.63	480.04	438.59	909.17	518.15	723.08	915.51	547.75	629.35	620.67	518.15	902.89	708.18	764.36	753.83	332.14	656.11	1030.12	1159.07	490.14	718.08	748.61	555.41	629.35	642.59	684.02	493.56	567.1	830.75	981.29	633.73	603.67	423.61	791.35	693.58	743.43	438.59	902.89
TAF9	3847.29	2555.58	2287.2	2367.9	2520.38	2796.65	2537.92	2032.85	2367.9	3018.3	2537.92	2303.12	2591.27	3018.3	4268.94	1340.84	1639.59	1781.89	2075.59	1697.45	1583.71	1697.45	2032.85	1457.23	1844.76	2148.82	1519.15	1427.22	1870.53	1242.34	1561.89	1769.57	1417.35	1745.2	1540.37	2032.85	1583.71	1313.23	1745.2	1572.76	1313.23	1794.29	2335.28	2148.82	1397.83	1757.34	1936.53	1617.0	1757.34	2664.15	1781.89	1529.73	1572.76	1651.0	1923.14	1697.45	1832.01	1529.73	2004.85	1757.34	1883.54	1733.13	1870.53
TAX1BP1	3039.3	2287.2	3039.3	3018.3	2319.15	3103.19	1950.0	2287.2	2209.26	3190.46	2367.9	2627.46	2758.13	2895.31	4239.45	1259.69	1769.57	1697.45	2163.77	2319.15	1963.57	2133.97	2193.99	1583.71	1819.35	3168.41	1617.0	1733.13	2400.97	2209.26	1936.53	1844.76	1733.13	1977.24	1388.16	1583.71	1498.22	1936.53	1685.71	2090.03	1208.34	2240.11	2835.7	2645.74	1806.78	1721.16	1685.71	2104.58	1844.76	1781.89	2075.59	2018.8	2104.58	1662.49	2573.36	1781.89	2303.12	1794.29	2255.7	1757.34	1923.14	1561.89	1991.0
TG	8.0	12.45	7.75	16.51	19.39	1.16	7.22	6.57	21.94	15.0	26.47	16.88	6.21	8.99	8.06	887875.81	778316.89	1393227.06	2068278.89	2247670.86	2126426.15	1751305.3	2375828.71	2111737.85	1611529.43	1204496.53	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1997825.68	1984025.69	2986448.72	1567462.05	2025714.3	2425749.94	1139523.1	925580.18	1929772.37	992012.34	887875.81	1212874.47	1943195.01	1622738.51	1727194.55	1589343.01	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	3178687.03	3886391.01	1622738.51	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56
TIPIN	299.25	205.5	214.27	269.6	156.59	320.8	325.29	209.84	283.05	325.29	175.07	236.21	236.21	297.17	189.02	116.78	82.87	220.32	220.32	98.73	126.12	120.1	293.07	54.72	146.03	211.31	70.51	214.27	135.24	104.42	124.37	262.2	139.07	242.88	125.24	206.94	143.01	137.14	142.01	162.14	107.38	137.14	215.77	244.57	121.79	85.82	145.02	204.07	134.3	110.43	121.79	212.78	209.84	148.09	122.64	103.69	103.69	169.07	195.72	98.73	95.34	167.9	162.14
TMA16	366.09	325.29	403.5	1977.24	366.09	854.13	450.94	616.37	693.58	447.82	633.73	514.56	511.0	503.95	954.43	209.84	186.4	339.14	320.8	265.87	305.55	305.55	279.14	171.45	432.53	303.44	241.19	271.48	327.56	264.03	387.02	420.68	256.78	429.54	249.73	234.57	249.73	249.73	285.03	307.69	239.52	423.61	358.54	638.15	329.84	218.79	297.17	351.14	353.59	223.41	299.25	336.79	307.69	281.09	305.55	177.53	248.0	248.0	334.46	269.6	183.82	232.94	256.78
TMEM106B	1519.15	802.41	698.41	1183.45	974.5	1457.23	743.43	921.88	915.51	848.22	775.05	921.88	1051.79	947.83	896.64	376.41	387.02	571.05	748.61	432.53	521.76	693.58	684.02	444.72	547.75	1119.56	412.0	406.31	825.0	547.75	529.06	493.56	432.53	599.49	316.37	339.14	457.25	633.73	607.87	674.59	444.72	579.04	1127.35	921.88	457.25	507.46	521.76	567.1	629.35	718.08	684.02	441.64	473.41	525.39	483.38	551.56	733.19	503.95	547.75	486.75	518.15	423.61	764.36
TMEM167A	3257.52	1583.71	1936.53	1963.57	2018.8	3639.7	1277.29	1313.23	1519.15	1639.59	1832.01	1519.15	1467.37	1963.57	1857.6	507.46	813.63	878.17	941.27	669.92	665.29	981.29	1151.06	500.46	896.64	1023.0	679.29	514.56	981.29	674.59	909.17	954.43	723.08	629.35	647.07	660.68	842.36	896.64	941.27	947.83	567.1	688.78	1175.27	915.51	587.13	620.67	854.13	638.15	764.36	785.88	860.08	607.87	669.92	583.07	830.75	679.29	854.13	638.15	759.08	830.75	842.36	532.74	961.07
TNPO1	1977.24	941.27	1051.79	1359.57	1225.22	1733.13	866.07	1081.39	1447.15	1268.46	1159.07	1277.29	1733.13	1073.91	1088.92	392.44	339.14	679.29	988.12	909.17	988.12	624.99	1044.52	842.36	759.08	1617.0	693.58	802.41	866.07	1051.79	775.05	759.08	842.36	669.92	543.96	318.57	587.13	819.3	555.41	974.5	642.59	718.08	1369.04	1617.0	563.18	547.75	514.56	728.11	775.05	642.59	1191.69	759.08	866.07	796.86	1030.12	567.1	1044.52	723.08	1127.35	612.11	647.07	629.35	1044.52
TOMM20	6037.61	4066.71	4095.0	5219.6	2855.44	9876.98	6337.83	5255.91	6607.01	7589.61	2367.9	3955.48	4639.29	5219.6	4268.94	2119.22	1540.37	3103.19	4704.07	2739.08	1909.85	3589.58	4543.8	2935.74	3467.27	2485.67	1950.0	2468.49	2335.28	2502.97	1832.01	3716.2	2777.33	2178.83	4038.61	4038.61	3039.3	3124.78	4010.71	2935.74	1950.0	2287.2	5183.54	2997.45	2682.69	1628.26	3768.09	2701.35	4095.0	2384.37	1963.57	3124.78	2875.3	2682.69	3349.13	2224.63	2758.13	2287.2	2075.59	2351.53	4066.71	3303.0	3665.02
TPD52	4736.79	4836.35	3794.3	4802.93	4704.07	11909.94	4836.35	3372.43	5479.15	5479.15	8901.53	1551.09	4095.0	2720.15	3280.18	872.1	1225.22	2915.45	2895.31	2178.83	2209.26	2664.15	3349.13	2104.58	2335.28	3280.18	1397.83	1909.85	2682.69	2075.59	1628.26	2627.46	1651.0	1407.55	1498.22	1819.35	2061.24	2417.67	2287.2	1819.35	1143.1	2209.26	2835.7	3794.3	1216.75	1540.37	2627.46	1923.14	3467.27	1909.85	2573.36	1923.14	1950.0	1844.76	2209.26	1923.14	2609.3	2133.97	1617.0	1417.35	2609.3	1583.71	2537.92
TPM3	14663.09	7749.1	8363.13	12415.75	5041.77	13872.08	11345.82	15824.9	12502.12	8963.45	6840.04	4802.93	6887.62	6037.61	6935.54	3515.68	2573.36	4481.23	4543.8	5292.48	4607.24	4239.45	4481.23	3190.46	4268.94	4298.64	3928.15	2855.44	4802.93	3491.39	4972.34	4769.75	4066.71	4010.71	3665.02	4450.27	5147.73	4268.94	4239.45	4181.07	2855.44	5255.91	4123.49	5147.73	3419.52	4736.79	4210.15	4704.07	5329.3	3395.89	4937.99	4512.4	4869.99	3716.2	5791.62	3847.29	4736.79	3742.05	4543.8	3665.02	3820.7	3419.52	4419.52
TSEN15	1286.18	961.07	988.12	890.44	802.41	1088.92	1111.82	866.07	1104.13	802.41	733.19	656.11	583.07	753.83	679.29	616.37	361.04	651.58	579.04	521.76	486.75	551.56	633.73	334.46	583.07	555.41	420.68	536.45	607.87	432.53	466.88	470.14	454.09	500.46	371.22	325.29	450.94	500.46	497.0	423.61	389.72	587.13	620.67	669.92	454.09	532.74	591.22	463.65	579.04	587.13	603.67	684.02	414.87	389.72	426.57	536.45	480.04	555.41	457.25	409.15	400.71	466.88	571.05
TWF1	2915.45	1617.0	2664.15	2032.85	2104.58	4358.66	1896.65	2240.11	2520.38	2090.03	2400.97	1909.85	2609.3	2417.67	3928.15	902.89	1508.65	1350.18	2061.24	1073.91	1119.56	1388.16	1896.65	896.64	1639.59	2351.53	842.36	854.13	1628.26	967.76	1143.1	1498.22	1167.14	1066.48	934.76	1088.92	1167.14	1313.23	1350.18	1233.75	629.35	1250.98	2104.58	2075.59	872.1	1233.75	1417.35	1030.12	1832.01	1369.04	1605.83	866.07	1044.52	902.89	1286.18	1277.29	1242.34	995.0	1167.14	1059.11	1477.58	1073.91	1639.59
UBE2E1	2400.97	1519.15	2351.53	2434.5	1583.71	4358.66	2384.37	2032.85	1662.49	2720.15	2240.11	2133.97	1721.16	2915.45	2875.3	1572.76	1295.13	1437.15	1977.24	1378.57	1437.15	1498.22	1662.49	1819.35	1519.15	1757.34	1457.23	1175.27	1594.73	1199.98	1388.16	1651.0	1447.15	1378.57	1183.45	1540.37	1388.16	1350.18	1639.59	1685.71	1359.57	1407.55	1733.13	1594.73	1127.35	1378.57	1477.58	1378.57	1781.89	1350.18	1477.58	1183.45	1427.22	1437.15	1529.73	1477.58	1605.83	1183.45	1259.69	1322.37	1651.0	1286.18	1378.57
UBE2G1	1037.29	890.44	1104.13	866.07	961.07	1096.5	507.46	860.08	988.12	785.88	796.86	842.36	1081.39	1044.52	1008.9	551.56	251.48	633.73	688.78	379.04	368.65	536.45	669.92	426.57	529.06	669.92	403.5	403.5	389.72	406.31	312.0	450.94	368.65	480.04	460.44	466.88	463.65	547.75	447.82	612.11	293.07	476.71	536.45	483.38	392.44	353.59	514.56	366.09	532.74	480.04	450.94	438.59	395.18	447.82	514.56	470.14	397.93	450.94	417.77	397.93	525.39	420.68	543.96
UBE2V2	2004.85	1127.35	2468.49	1159.07	1295.13	2047.0	1111.82	1397.83	1628.26	1407.55	1295.13	1467.37	1529.73	1806.78	2796.65	651.58	647.07	1096.5	1259.69	860.08	890.44	928.3	1313.23	595.34	1104.13	1167.14	743.43	842.36	1044.52	748.61	860.08	1081.39	921.88	836.53	796.86	934.76	967.76	1111.82	928.3	961.07	525.39	1044.52	1183.45	1208.34	718.08	780.44	1030.12	848.22	1183.45	915.51	878.17	915.51	928.3	595.34	1037.29	819.3	718.08	836.53	961.07	872.1	961.07	866.07	1081.39
UBE2W	693.58	332.14	842.36	514.56	500.46	1407.55	395.18	483.38	457.25	426.57	406.31	525.39	536.45	571.05	825.0	176.29	137.14	231.32	287.01	206.94	204.07	237.86	336.79	187.71	228.13	389.72	183.82	189.02	307.69	193.01	170.25	218.79	232.94	187.71	185.11	217.27	226.54	246.28	237.86	253.23	156.59	204.07	423.61	361.04	175.07	217.27	218.79	170.25	285.03	246.28	242.88	169.07	212.78	224.97	303.44	201.25	215.77	197.09	206.94	223.41	234.57	156.59	281.09
UBTD2	819.3	780.44	921.88	559.28	884.29	860.08	384.34	802.41	665.29	287.01	854.13	620.67	679.29	860.08	1015.93	191.67	195.72	305.55	395.18	209.84	217.27	281.09	379.04	147.06	237.86	379.04	178.77	208.38	242.88	183.82	173.85	316.37	267.73	199.85	283.05	236.21	336.79	289.02	279.14	341.51	145.02	208.38	387.02	253.23	237.86	204.07	320.8	199.85	409.15	218.79	229.72	178.77	209.84	269.6	295.11	198.47	215.77	182.55	205.5	269.6	237.86	281.09	303.44
UGDH	6079.61	1159.07	5147.73	3820.7	2047.0	1259.69	4769.75	2739.08	9540.5	5403.7	4152.18	1457.23	3081.75	2018.8	4268.94	229.72	332.14	414.87	587.13	466.88	551.56	500.46	616.37	221.86	688.78	540.19	395.18	454.09	647.07	423.61	575.03	511.0	420.68	486.75	361.04	417.77	928.3	599.49	341.51	563.18	277.2	529.06	463.65	607.87	353.59	356.05	351.14	463.65	305.55	457.25	802.41	412.0	547.75	540.19	819.3	438.59	466.88	518.15	500.46	473.41	376.41	307.69	555.41
USP1	688.78	575.03	708.18	693.58	647.07	836.53	674.59	669.92	660.68	674.59	571.05	836.53	819.3	909.17	1059.11	170.25	138.1	381.68	555.41	351.14	332.14	387.02	423.61	215.77	332.14	813.63	305.55	318.57	420.68	387.02	305.55	414.87	417.77	373.81	299.25	273.37	249.73	438.59	361.04	514.56	246.28	412.0	629.35	547.75	287.01	246.28	450.94	361.04	435.55	334.46	341.51	356.05	447.82	332.14	483.38	323.03	334.46	358.54	341.51	348.71	289.02	320.8	397.93
USP38	329.84	248.0	366.09	320.8	406.31	647.07	277.2	299.25	351.14	348.71	343.89	297.17	423.61	356.05	363.56	105.89	97.36	193.01	251.48	181.28	163.28	166.73	201.25	138.1	127.89	320.8	123.5	147.06	198.47	186.4	125.24	181.28	194.36	170.25	141.02	144.01	127.89	260.38	147.06	221.86	109.66	220.32	277.2	320.8	129.69	121.79	165.57	177.53	190.34	150.17	155.5	183.82	220.32	138.1	279.14	164.42	150.17	183.82	186.4	128.79	154.42	129.69	175.07
USP39	1350.18	941.27	1242.34	896.64	1175.27	1639.59	1167.14	1081.39	1259.69	1104.13	921.88	967.76	967.76	1044.52	1350.18	848.22	660.68	954.43	830.75	819.3	713.11	878.17	934.76	669.92	842.36	743.43	708.18	830.75	708.18	842.36	728.11	1015.93	791.35	780.44	813.63	854.13	934.76	825.0	775.05	813.63	733.19	836.53	825.0	954.43	785.88	656.11	1023.0	796.86	974.5	718.08	638.15	836.53	769.69	703.28	836.53	743.43	780.44	836.53	703.28	723.08	836.53	802.41	872.1
VAPA	7966.99	7749.1	7180.15	5147.73	6792.79	6294.04	5594.3	7230.1	8305.36	5441.3	4736.79	5329.3	4869.99	6699.25	9606.86	3768.09	2796.65	4066.71	4388.98	4181.07	3540.14	3349.13	4181.07	3146.52	3614.55	5183.54	2976.74	3190.46	4239.45	3303.0	3768.09	3467.27	3540.14	3847.29	2682.69	3564.78	3325.99	3614.55	3540.14	4450.27	2701.35	4095.0	5147.73	4388.98	2997.45	3349.13	3168.41	3515.68	3901.01	3665.02	3690.52	3564.78	4210.15	3742.05	4481.23	3190.46	4298.64	3081.75	3589.58	3303.0	3372.43	3190.46	3564.78
VDAC2	4481.23	3901.01	4181.07	4095.0	3665.02	4671.57	4607.24	3540.14	3491.39	4575.41	3874.05	4328.55	4010.71	5076.84	5954.47	2777.33	3081.75	3982.99	3768.09	3955.48	3235.01	3928.15	3982.99	3349.13	3564.78	4704.07	3235.01	3039.3	4095.0	3540.14	3794.3	3395.89	3235.01	3419.52	3124.78	3395.89	3018.3	3280.18	3212.66	4123.49	2720.15	3955.48	4607.24	4152.18	3212.66	3349.13	3639.7	3039.3	3491.39	3716.2	3443.31	3039.3	3955.48	2915.45	3515.68	3768.09	3515.68	3372.43	3768.09	3018.3	3716.2	2739.08	3419.52
VTA1	1340.84	753.83	1313.23	1044.52	967.76	1769.57	521.76	909.17	1143.1	909.17	651.58	967.76	974.5	1191.69	2555.58	237.86	178.77	616.37	669.92	450.94	406.31	551.56	595.34	295.11	444.72	928.3	395.18	356.05	633.73	457.25	470.14	587.13	555.41	486.75	403.5	406.31	466.88	551.56	518.15	629.35	289.02	521.76	928.3	764.36	356.05	457.25	497.0	447.82	633.73	543.96	450.94	432.53	460.44	316.37	575.03	457.25	473.41	429.54	432.53	406.31	454.09	406.31	583.07
WBP11	2047.0	1350.18	1605.83	1617.0	1295.13	1745.2	1277.29	1388.16	1437.15	1233.75	1447.15	1378.57	1662.49	1519.15	2075.59	684.02	738.29	934.76	1175.27	1233.75	1081.39	1111.82	981.29	1242.34	785.88	1369.04	1088.92	1059.11	1015.93	1268.46	1143.1	1030.12	1208.34	1151.06	981.29	1111.82	934.76	1127.35	1088.92	1051.79	1037.29	1350.18	1477.58	1359.57	1151.06	890.44	947.83	1427.22	1059.11	995.0	884.29	1378.57	1477.58	1030.12	1519.15	1059.11	1242.34	1350.18	1322.37	1081.39	813.63	1066.48	1008.9
WDR89	441.64	246.28	454.09	297.17	400.71	226.54	265.87	351.14	332.14	232.94	389.72	307.69	346.29	356.05	376.41	176.29	172.65	256.78	260.38	205.5	180.02	159.9	178.77	108.14	190.34	249.73	137.14	201.25	267.73	159.9	176.29	248.0	229.72	183.82	202.66	122.64	164.42	271.48	175.07	275.28	157.68	215.77	262.2	323.03	164.42	180.02	239.52	170.25	202.66	185.11	255.0	193.01	204.07	148.09	231.32	176.29	190.34	201.25	176.29	177.53	169.07	163.28	195.72
WDYHV1	563.18	346.29	921.88	397.93	299.25	387.02	325.29	329.84	607.87	466.88	373.81	381.68	341.51	414.87	624.99	224.97	262.2	318.57	348.71	262.2	172.65	260.38	314.17	151.22	309.83	198.47	249.73	208.38	221.86	190.34	221.86	226.54	249.73	256.78	241.19	291.04	273.37	267.73	253.23	346.29	163.28	289.02	444.72	314.17	164.42	218.79	316.37	215.77	293.07	177.53	244.57	187.71	249.73	285.03	265.87	206.94	279.14	318.57	228.13	244.57	297.17	208.38	346.29
YIPF4	1769.57	934.76	1397.83	1250.98	1159.07	1662.49	974.5	808.0	866.07	884.29	802.41	995.0	1066.48	1199.98	1259.69	521.76	373.81	819.3	780.44	514.56	441.64	878.17	896.64	414.87	638.15	872.1	438.59	575.03	612.11	543.96	500.46	728.11	497.0	521.76	454.09	571.05	684.02	575.03	656.11	713.11	500.46	438.59	921.88	703.28	480.04	490.14	559.28	473.41	616.37	638.15	575.03	466.88	503.95	587.13	708.18	414.87	547.75	507.46	540.19	587.13	638.15	559.28	679.29
YIPF6	1191.69	1135.2	1044.52	1015.93	928.3	1674.06	934.76	703.28	571.05	1001.93	651.58	813.63	995.0	780.44	1030.12	275.28	323.03	540.19	703.28	387.02	450.94	616.37	679.29	376.41	429.54	603.67	373.81	341.51	616.37	447.82	366.09	483.38	457.25	493.56	299.25	323.03	426.57	540.19	412.0	540.19	273.37	414.87	780.44	693.58	412.0	309.83	497.0	426.57	426.57	473.41	571.05	381.68	503.95	454.09	642.59	318.57	417.77	466.88	441.64	371.22	339.14	301.33	518.15
YME1L1	3235.01	1794.29	4066.71	2209.26	2609.3	3419.52	1950.0	2075.59	2271.4	2075.59	2047.0	1936.53	2537.92	2468.49	2956.17	723.08	974.5	1540.37	1721.16	1277.29	1127.35	1583.71	1781.89	1008.9	1350.18	1794.29	995.0	981.29	1540.37	967.76	1208.34	1447.15	1191.69	1277.29	988.12	1051.79	1167.14	1286.18	1295.13	1369.04	733.19	1259.69	1883.54	2061.24	921.88	909.17	1277.29	1313.23	1331.57	974.5	1457.23	1191.69	1268.46	1183.45	1733.13	1104.13	1191.69	1208.34	1277.29	1073.91	1143.1	1044.52	1561.89
YWHAZ	19482.97	8247.98	28132.47	9474.59	8479.89	51775.15	8134.41	14262.1	11267.44	9409.14	13306.94	13306.94	12329.98	16727.26	18052.61	3540.14	4239.45	7230.1	8363.13	6840.04	7180.15	6164.49	7081.29	4869.99	7537.18	9945.68	5403.7	4937.99	8718.32	5183.54	5292.48	7485.11	6607.01	5633.22	4671.57	6652.97	5672.41	7180.15	6792.79	6426.31	3690.52	5995.9	9344.14	8022.41	4903.87	5791.62	7130.55	6426.31	7433.4	6561.36	6652.97	5594.3	7331.05	6607.01	8134.41	5183.54	7180.15	5329.3	5517.27	5633.22	7331.05	4802.93	7966.99
ZNF124	173.85	127.0	149.12	144.01	142.01	98.04	124.37	172.65	199.85	164.42	132.44	120.1	167.9	128.79	55.49	39.22	52.45	67.12	71.5	65.26	55.49	48.52	73.54	44.25	60.39	76.71	73.54	42.11	51.35	21.16	65.72	57.08	47.84	72.01	65.72	42.71	41.52	88.26	64.34	70.51	104.42	108.14	102.97	156.59	49.56	59.97	83.45	71.0	47.5	60.39	67.12	49.56	79.45	80.01	90.77	39.79	48.52	71.0	60.39	75.11	94.67	37.05	50.63
ZNF131	842.36	813.63	748.61	669.92	728.11	759.08	660.68	934.76	860.08	688.78	819.3	728.11	1008.9	941.27	1143.1	356.05	295.11	503.95	579.04	444.72	363.56	412.0	559.28	392.44	435.55	500.46	412.0	432.53	473.41	514.56	289.02	466.88	463.65	381.68	518.15	500.46	441.64	559.28	412.0	571.05	497.0	387.02	679.29	583.07	483.38	339.14	511.0	389.72	466.88	463.65	406.31	400.71	379.04	389.72	518.15	389.72	392.44	507.46	429.54	473.41	412.0	429.54	470.14
ZNF146	1832.01	1561.89	1583.71	1388.16	1870.53	1709.26	1519.15	2400.97	2739.08	1467.37	2537.92	1909.85	2417.67	1757.34	2997.45	540.19	473.41	1096.5	1191.69	669.92	753.83	764.36	1023.0	669.92	947.83	1242.34	599.49	785.88	866.07	693.58	647.07	1059.11	808.0	723.08	748.61	785.88	743.43	1183.45	769.69	981.29	473.41	896.64	1242.34	1551.09	679.29	693.58	866.07	896.64	1295.13	571.05	759.08	743.43	764.36	708.18	1096.5	595.34	660.68	764.36	791.35	713.11	703.28	981.29	819.3
ZNF184	325.29	190.34	173.85	212.78	232.94	131.51	158.79	218.79	226.54	220.32	209.84	202.66	267.73	178.77	295.11	59.97	54.33	148.09	147.06	115.97	125.24	85.22	127.0	47.84	103.69	205.5	75.11	98.04	132.44	102.97	81.71	146.03	116.78	119.26	133.36	72.01	104.42	143.01	93.35	138.1	106.63	97.36	148.09	195.72	96.01	87.65	138.1	101.54	171.45	124.37	134.3	106.63	100.13	128.79	136.19	118.43	106.63	103.69	104.42	88.26	96.01	111.99	108.14
ZNF253	323.03	366.09	232.94	262.2	423.61	228.13	291.04	295.11	327.56	543.96	356.05	277.2	409.15	148.09	403.5	204.07	124.37	204.07	275.28	171.45	193.01	108.14	202.66	182.55	115.97	521.76	163.28	186.4	212.78	307.69	120.94	176.29	191.67	161.02	153.34	156.59	117.6	376.41	140.04	234.57	241.19	171.45	197.09	323.03	180.02	145.02	202.66	186.4	262.2	182.55	191.67	171.45	199.85	111.99	108.9	181.28	226.54	232.94	218.79	115.16	255.0	234.57	181.28
ZNF420	194.36	327.56	191.67	248.0	363.56	157.68	285.03	316.37	241.19	224.97	348.71	253.23	320.8	217.27	379.04	101.54	88.26	197.09	197.09	95.34	112.77	124.37	202.66	96.01	106.63	275.28	126.12	92.05	169.07	212.78	105.15	169.07	143.01	122.64	221.86	108.14	137.14	153.34	124.37	209.84	181.28	193.01	182.55	387.02	189.02	128.79	251.48	140.04	241.19	149.12	152.28	158.79	177.53	94.67	175.07	143.01	155.5	145.02	206.94	111.21	193.01	251.48	112.77
ZNF721	547.75	463.65	389.72	543.96	753.83	698.41	555.41	595.34	669.92	665.29	529.06	575.03	842.36	638.15	728.11	277.2	214.27	476.71	409.15	373.81	356.05	303.44	457.25	429.54	363.56	412.0	353.59	414.87	258.57	384.34	260.38	334.46	343.89	339.14	373.81	353.59	403.5	387.02	392.44	435.55	341.51	314.17	698.41	616.37	339.14	279.14	376.41	379.04	450.94	195.72	283.05	381.68	373.81	327.56	397.93	237.86	316.37	341.51	301.33	363.56	395.18	332.14	392.44
ZNF766	346.29	466.88	366.09	406.31	379.04	389.72	353.59	470.14	447.82	403.5	571.05	412.0	503.95	363.56	438.59	145.02	155.5	246.28	242.88	221.86	208.38	138.1	248.0	204.07	183.82	353.59	164.42	228.13	244.57	220.32	170.25	220.32	215.77	202.66	256.78	232.94	190.34	291.04	234.57	258.57	162.14	214.27	301.33	269.6	228.13	155.5	269.6	226.54	277.2	189.02	198.47	303.44	265.87	198.47	287.01	158.79	221.86	275.28	187.71	182.55	241.19	224.97	195.72
ZNF829	76.71	112.77	73.03	74.06	85.22	63.0	70.51	92.7	67.12	116.78	92.7	77.25	103.69	69.03	84.63	22.26	28.86	29.48	49.21	41.52	35.25	34.02	43.02	27.44	19.53	67.59	37.85	44.89	35.25	40.93	31.67	50.63	54.33	44.57	55.89	29.27	35.25	50.63	37.32	48.87	31.22	40.64	56.68	71.5	49.56	25.54	46.18	42.11	51.35	45.21	28.04	42.11	47.5	41.52	55.1	43.94	51.71	57.89	54.33	41.22	31.9	36.79	33.06
