	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
FHL2	0.0	0.88	232.94	480.04	86.43	476.71	341.51	43.32	320.8	231.32	84.04	536.45	389.72	271.48	255.0	234.57	483.38	267.73	480.04	409.15	135.24	518.15	309.83	177.53	473.41	63.45	163.28	361.04	195.72	651.58	366.09	287.01	334.46	500.46	351.14	356.05	223.41	218.79	186.4	198.47	303.44	237.86	420.68	329.84	327.56	226.54	400.71	351.14	612.11	728.11	848.22	2367.9	808.0	2303.12	1378.57	612.11	896.64	616.37	2895.31	511.0	1183.45	988.12	1819.35	1781.89	1081.39	1030.12	1685.71	1104.13	1304.15	1467.37	1233.75	1313.23	1191.69	1350.18	693.58	2090.03	1769.57	387.02	1259.69	466.88	915.51	1277.29	1119.56	967.76	764.36	1175.27	791.35	2178.83	438.59	143.01	819.3	1447.15	708.18	1119.56	483.38	435.55	507.46	1183.45	307.69	1857.6	723.08	454.09	417.77	205.5	2119.22	941.27	1685.71	591.22	1508.65	603.67	878.17	878.17	575.03	921.88	660.68
FOLR3	0.0	0.07	13.42	14.24	1.81	13.83	0.0	19.53	5.73	0.75	11.38	10.71	16.51	3.26	0.73	0.74	8.85	16.03	5.92	4.94	19.11	8.38	2.48	4.78	6.84	3.96	13.83	8.45	1.79	8.92	9.48	2.12	33.06	23.08	14.45	8.92	0.46	0.0	3.08	0.0	0.0	9.56	2.43	2.73	17.9	4.74	16.27	4.21	35.5	186.4	103.69	197.09	183.82	30.34	15.11	87.03	8.85	62.56	4.39	119.26	265.87	3.89	99.43	8.99	34.02	21.63	132.44	42.11	58.3	21.78	50.98	55.1	29.06	94.67	148.09	38.12	45.21	38.12	194.36	15.11	48.52	87.65	27.25	47.84	95.34	90.14	17.77	52.45	53.95	85.82	103.69	61.25	132.44	10.39	28.86	171.45	29.7	21.78	8.78	36.01	14.67	20.11	33.3	9.06	111.21	17.9	119.26	40.07	9.78	21.47	12.09	5.02	72.52	59.55	177.53
GFRA2	0.0	0.07	154.42	409.15	1059.11	119.26	466.88	493.56	51.35	32.59	341.51	40.93	78.89	107.38	229.72	166.73	346.29	379.04	460.44	341.51	150.17	43.94	194.36	231.32	612.11	229.72	72.01	323.03	312.0	303.44	854.13	309.83	190.34	208.38	271.48	53.19	536.45	579.04	343.89	426.57	316.37	258.57	368.65	115.16	59.13	339.14	954.43	303.44	466.88	371.22	1487.87	325.29	583.07	1487.87	921.88	947.83	2047.0	1674.06	3235.01	2163.77	1427.22	967.76	638.15	1697.45	954.43	1096.5	1457.23	1757.34	884.29	514.56	242.88	738.29	629.35	1519.15	507.46	723.08	1143.1	547.75	293.07	575.03	1295.13	629.35	995.0	2485.67	656.11	1388.16	1225.22	1127.35	651.58	1135.2	708.18	3540.14	406.31	351.14	1233.75	633.73	1757.34	3060.45	941.27	780.44	1268.46	1081.39	1639.59	1096.5	1073.91	1313.23	1378.57	1427.22	988.12	728.11	107.38	314.17	1088.92	1806.78	1044.52
GLIS3	175.07	59.55	206.94	348.71	221.86	246.28	139.07	181.28	95.34	77.25	323.03	171.45	228.13	162.14	148.09	206.94	301.33	303.44	167.9	237.86	79.45	130.6	199.85	118.43	379.04	253.23	156.59	224.97	148.09	218.79	260.38	197.09	299.25	221.86	273.37	121.79	135.24	336.79	336.79	231.32	95.34	303.44	336.79	262.2	379.04	334.46	229.72	108.9	323.03	543.96	753.83	299.25	1008.9	432.53	559.28	791.35	633.73	595.34	493.56	1388.16	796.86	295.11	703.28	571.05	1044.52	629.35	579.04	529.06	1151.06	295.11	426.57	633.73	423.61	785.88	356.05	279.14	403.5	583.07	1030.12	1639.59	808.0	555.41	555.41	389.72	503.95	684.02	607.87	543.96	403.5	1015.93	595.34	450.94	412.0	579.04	256.78	379.04	397.93	400.71	406.31	414.87	307.69	961.07	256.78	497.0	395.18	373.81	764.36	406.31	493.56	348.71	780.44	733.19	246.28	1030.12	500.46
GNE	115.16	72.52	124.37	152.28	101.54	100.13	113.56	97.36	95.34	85.82	122.64	112.77	96.01	74.06	81.71	81.71	105.89	122.64	118.43	92.7	98.04	85.22	102.97	57.89	104.42	130.6	73.54	106.63	102.25	111.21	111.21	101.54	127.0	73.54	126.12	66.65	64.8	98.73	133.36	82.87	74.06	108.14	120.94	112.77	146.03	120.94	99.43	94.67	149.12	118.43	260.38	209.84	155.5	189.02	190.34	140.04	162.14	162.14	195.72	142.01	171.45	228.13	105.89	170.25	190.34	189.02	214.27	199.85	153.34	169.07	221.86	177.53	127.89	154.42	137.14	98.04	147.06	118.43	224.97	113.56	113.56	202.66	212.78	189.02	137.14	262.2	223.41	147.06	133.36	88.88	180.02	194.36	170.25	145.02	187.71	175.07	113.56	185.11	221.86	147.06	353.59	178.77	128.79	147.06	150.17	172.65	249.73	256.78	143.01	130.6	117.6	131.51	113.56	169.07	146.03
GPR125	0.0	0.62	159.9	497.0	193.01	414.87	163.28	339.14	248.0	142.01	366.09	256.78	339.14	246.28	149.12	180.02	341.51	389.72	186.4	208.38	229.72	253.23	212.78	103.69	361.04	169.07	343.89	153.34	157.68	262.2	295.11	244.57	166.73	291.04	403.5	155.5	122.64	164.42	532.74	177.53	206.94	307.69	171.45	127.89	356.05	327.56	197.09	113.56	536.45	791.35	842.36	1540.37	698.41	1242.34	1605.83	753.83	368.65	743.43	995.0	988.12	1159.07	381.68	974.5	703.28	1250.98	738.29	988.12	532.74	703.28	974.5	575.03	884.29	878.17	1277.29	819.3	842.36	825.0	693.58	872.1	599.49	884.29	813.63	961.07	967.76	981.29	1111.82	1794.29	1015.93	480.04	780.44	785.88	1088.92	1225.22	981.29	896.64	476.71	1015.93	819.3	728.11	921.88	616.37	1225.22	629.35	591.22	507.46	854.13	995.0	836.53	575.03	559.28	327.56	373.81	1295.13	753.83	981.29
GPR182	0.0	0.06	4.31	1.99	2.78	0.89	0.0	0.0	4.28	3.32	1.45	0.92	3.53	2.27	1.79	0.0	4.86	1.87	7.22	6.21	0.0	3.69	1.93	2.18	11.91	1.38	0.85	2.73	2.78	2.43	6.52	11.64	7.0	7.06	12.93	1.46	1.31	9.56	0.91	2.78	5.36	0.0	5.54	2.43	14.45	3.03	7.11	1.6	4.5	9.56	49.56	18.29	2.71	18.43	19.11	9.78	10.55	20.11	7.75	3.99	4.98	22.26	12.74	21.94	8.38	4.35	39.5	24.99	22.75	9.41	19.39	36.79	39.22	8.92	7.63	5.28	10.31	1.57	34.75	2.2	25.35	34.02	14.35	29.06	3.08	57.08	5.96	8.13	2.76	2.53	12.74	6.46	11.82	5.73	5.77	23.76	5.63	27.25	7.4	4.46	18.03	6.41	10.71	6.78	17.13	10.96	11.82	24.63	5.77	31.0	5.28	13.03	12.83	14.24	4.58
GPR39	0.0	0.21	23.76	22.59	29.06	21.32	29.48	23.42	9.2	36.27	14.56	15.22	17.9	11.47	52.82	24.81	16.51	61.25	19.11	38.4	8.32	18.84	13.83	6.73	36.53	33.06	19.97	38.4	13.52	18.43	12.74	46.5	29.27	18.97	27.25	12.09	16.03	33.54	26.1	55.1	22.92	19.25	18.7	14.89	29.91	44.89	34.75	57.89	63.45	69.52	82.87	108.9	58.71	50.63	76.17	30.56	48.52	82.87	47.5	70.51	35.76	45.85	49.21	49.56	57.89	91.41	94.01	82.87	31.9	76.17	69.52	39.5	43.32	70.01	51.35	21.94	32.82	60.39	92.05	36.79	50.27	78.34	85.82	116.78	87.65	124.37	41.81	74.58	103.69	85.82	22.92	98.04	64.8	30.56	82.87	65.72	59.13	42.71	63.0	41.22	37.32	92.05	132.44	92.05	90.77	69.52	55.89	66.18	19.82	20.26	4.13	19.53	58.3	37.59	100.83
GPR63	0.0	0.23	4.28	9.7	3.23	7.22	5.06	10.96	5.96	1.91	6.84	5.82	6.62	5.41	3.17	4.5	5.96	3.0	6.26	3.86	6.21	2.51	3.47	1.81	9.13	10.24	8.0	3.17	2.23	5.54	5.45	5.02	8.25	5.06	4.94	3.26	3.82	6.01	14.14	7.46	4.31	4.54	5.11	5.87	12.55	4.28	1.99	5.68	6.52	16.88	15.11	14.24	11.91	17.25	7.75	11.38	11.82	17.13	12.64	12.93	12.93	8.32	23.76	13.42	17.64	17.51	15.45	12.09	18.43	9.85	12.18	15.34	13.22	13.22	16.75	5.59	15.56	10.39	22.26	15.22	16.15	25.72	15.68	13.52	16.03	13.32	23.25	16.03	4.86	14.56	10.63	9.63	2.32	10.96	13.12	8.51	28.24	7.06	8.13	13.62	7.34	13.93	6.11	8.0	3.41	7.63	10.31	16.88	14.67	6.36	8.45	5.54	14.03	8.0	13.52
HAP1	0.0	0.65	6.21	17.9	1.6	17.0	1.75	10.63	14.35	1.62	20.56	18.56	18.97	5.63	4.21	2.73	32.13	22.26	5.32	5.77	24.99	8.06	4.13	2.27	39.22	7.4	16.88	17.38	4.62	11.64	12.93	16.51	16.51	24.46	25.91	2.63	3.08	4.78	27.25	10.71	18.84	8.85	9.7	2.51	4.35	8.99	24.11	11.04	44.57	316.37	346.29	101.54	244.57	132.44	53.19	123.5	44.57	218.79	129.69	366.09	47.84	65.26	255.0	108.9	162.14	145.02	218.79	102.25	273.37	194.36	124.37	52.08	186.4	258.57	166.73	92.7	269.6	63.89	303.44	128.79	130.6	58.3	120.1	13.62	71.5	49.21	43.02	297.17	130.6	221.86	141.02	285.03	156.59	119.26	56.28	142.01	403.5	101.54	55.89	567.1	24.28	72.01	98.04	127.89	42.11	88.26	73.03	228.13	237.86	46.18	131.51	25.17	236.21	224.97	241.19
HIVEP3	0.0	0.48	122.64	205.5	112.77	228.13	106.63	211.31	124.37	100.83	201.25	133.36	198.47	131.51	136.19	73.54	211.31	232.94	112.77	159.9	149.12	177.53	139.07	111.21	226.54	130.6	161.02	118.43	142.01	187.71	223.41	167.9	136.19	197.09	248.0	116.78	134.3	130.6	190.34	165.57	197.09	198.47	112.77	76.17	135.24	209.84	130.6	109.66	256.78	246.28	301.33	228.13	447.82	397.93	279.14	291.04	301.33	260.38	267.73	264.03	373.81	169.07	316.37	226.54	318.57	215.77	215.77	249.73	269.6	256.78	281.09	332.14	241.19	205.5	244.57	144.01	289.02	139.07	198.47	148.09	379.04	202.66	208.38	265.87	269.6	264.03	318.57	223.41	190.34	293.07	309.83	341.51	171.45	217.27	194.36	154.42	217.27	289.02	190.34	228.13	293.07	392.44	194.36	249.73	169.07	265.87	260.38	190.34	269.6	190.34	162.14	198.47	262.2	379.04	381.68
HK1	921.88	119.26	967.76	2148.82	813.63	1350.18	759.08	1388.16	1096.5	934.76	1857.6	1769.57	1340.84	764.36	642.59	947.83	1819.35	1561.89	1051.79	1037.29	941.27	1135.2	890.44	1088.92	1896.65	1417.35	819.3	1216.75	995.0	1359.57	1378.57	1159.07	1832.01	1331.57	1844.76	733.19	575.03	1037.29	1794.29	1313.23	902.89	1369.04	802.41	866.07	2133.97	1781.89	1268.46	1208.34	2148.82	1561.89	3955.48	1936.53	2976.74	2287.2	3039.3	2178.83	3982.99	3982.99	2875.3	2287.2	2319.15	2835.7	1467.37	3303.0	2224.63	3103.19	3716.2	4038.61	1857.6	2303.12	3742.05	2133.97	1286.18	1685.71	1457.23	1651.0	1832.01	2384.37	3146.52	2032.85	2133.97	2240.11	1594.73	3540.14	2032.85	2855.44	2720.15	2193.99	2997.45	1806.78	2004.85	3124.78	1745.2	2303.12	3280.18	3467.27	1721.16	3564.78	3847.29	2400.97	2956.17	3690.52	3768.09	3018.3	3372.43	3794.3	4066.71	3515.68	2090.03	2720.15	2119.22	1519.15	1896.65	2609.3	2384.37
HS6ST1	0.0	0.59	307.69	226.54	201.25	209.84	221.86	224.97	173.85	226.54	253.23	244.57	189.02	159.9	232.94	279.14	209.84	334.46	343.89	265.87	208.38	220.32	267.73	162.14	381.68	248.0	178.77	258.57	193.01	186.4	285.03	295.11	217.27	212.78	281.09	190.34	214.27	273.37	258.57	316.37	253.23	229.72	241.19	220.32	232.94	237.86	287.01	232.94	384.34	713.11	616.37	366.09	579.04	463.65	368.65	836.53	373.81	297.17	651.58	447.82	555.41	237.86	540.19	503.95	651.58	426.57	373.81	426.57	624.99	409.15	356.05	723.08	674.59	591.22	450.94	351.14	688.78	316.37	518.15	379.04	603.67	571.05	651.58	559.28	400.71	507.46	334.46	698.41	251.48	376.41	567.1	476.71	497.0	336.79	358.54	301.33	423.61	343.89	521.76	486.75	669.92	269.6	373.81	228.13	503.95	287.01	466.88	389.72	318.57	363.56	376.41	633.73	507.46	796.86	540.19
HTATSF1	1286.18	145.02	738.29	647.07	902.89	642.59	1023.0	575.03	629.35	884.29	624.99	791.35	693.58	616.37	733.19	878.17	775.05	759.08	796.86	1295.13	647.07	555.41	896.64	665.29	1037.29	842.36	521.76	813.63	660.68	753.83	872.1	819.3	748.61	684.02	928.3	651.58	780.44	854.13	854.13	620.67	974.5	764.36	878.17	866.07	819.3	830.75	954.43	536.45	947.83	1331.57	1540.37	1322.37	1487.87	1757.34	1498.22	1583.71	1427.22	1322.37	2018.8	1175.27	1819.35	1183.45	1135.2	1104.13	1685.71	1388.16	1388.16	1369.04	1628.26	1397.83	1259.69	1467.37	1242.34	1359.57	1233.75	1104.13	1369.04	738.29	1417.35	1191.69	1508.65	1498.22	1378.57	1437.15	1008.9	1745.2	2032.85	1605.83	1175.27	1437.15	1651.0	1417.35	1487.87	1159.07	1250.98	1313.23	1199.98	1447.15	1322.37	1388.16	1233.75	1216.75	1059.11	1340.84	1268.46	1331.57	1605.83	1594.73	1259.69	1331.57	1135.2	1111.82	1447.15	1757.34	1857.6
ID3	0.0	0.39	2664.15	4066.71	1594.73	4038.61	842.36	2895.31	4268.94	2573.36	5441.3	4639.29	4704.07	2061.24	1088.92	3589.58	4358.66	4450.27	3235.01	1467.37	2047.0	4123.49	1674.06	1844.76	4543.8	1551.09	1819.35	6745.86	1427.22	2351.53	4450.27	3146.52	1757.34	5633.22	4123.49	2351.53	1233.75	2240.11	3928.15	2573.36	1857.6	2739.08	1183.45	3589.58	4066.71	1628.26	2895.31	2701.35	6294.04	5711.87	11992.79	4123.49	15392.14	10808.41	6983.79	8022.41	10154.69	7803.01	10733.74	13681.08	2720.15	11909.94	14262.1	12415.75	8078.22	21617.82	5995.9	9876.98	4481.23	6079.61	17317.18	7537.18	3212.66	5479.15	2193.99	6652.97	4328.55	9088.59	12676.65	4210.15	5913.33	5112.16	5147.73	10014.87	4358.66	5112.16	2627.46	5672.41	24490.61	9740.98	11035.54	11504.21	7485.11	7081.29	11584.24	9409.14	5403.7	4802.93	9876.98	20737.16	11035.54	13681.08	7695.57	10084.54	21617.82	10440.2	7382.04	5913.33	8363.13	4388.98	13306.94	4802.93	2758.13	13215.02	7382.04
ID4	0.0	0.47	2163.77	5006.93	1216.75	3665.02	1594.73	3419.52	1923.14	1104.13	3419.52	1832.01	2758.13	1909.85	1104.13	1457.23	3325.99	3874.05	1023.0	2303.12	1350.18	2816.11	1167.14	791.35	3257.52	1909.85	2777.33	4836.35	764.36	2287.2	5147.73	2609.3	1378.57	4268.94	3124.78	1794.29	1127.35	2240.11	3742.05	1427.22	1572.76	3103.19	1745.2	2627.46	3515.68	2627.46	2701.35	1359.57	4450.27	11909.94	6792.79	9474.59	32540.65	22535.88	8305.36	12502.12	6935.54	8363.13	18689.27	22225.61	12502.12	6983.79	12676.65	5995.9	13776.25	7966.99	4704.07	4450.27	11035.54	6983.79	7857.29	10154.69	6381.92	12244.81	7911.95	5872.48	7966.99	7537.18	7749.1	9215.48	9673.69	7695.57	7130.55	10733.74	14361.31	9279.58	17804.06	16727.26	9215.48	16157.44	14561.8	7032.37	18950.18	6516.03	8901.53	5751.61	10154.69	6381.92	9344.14	13776.25	5041.77	8191.0	8078.22	9279.58	7081.29	8363.13	4802.93	6935.54	9025.81	5913.33	5831.91	3103.19	9344.14	16045.82	12415.75
IGFBPL1	0.0	0.0	18.29	60.82	5.5	49.56	7.75	47.84	33.3	7.22	38.67	16.15	9.13	10.88	1.85	4.17	17.77	26.1	5.73	12.64	33.3	4.06	9.06	7.88	56.28	7.88	8.71	9.56	6.84	20.71	22.92	27.05	24.46	8.99	46.5	0.47	10.08	7.22	38.4	6.26	2.66	23.42	20.56	15.45	58.71	10.39	28.86	1.28	142.01	1216.75	872.1	193.01	1191.69	2573.36	169.07	551.56	131.51	343.89	947.83	967.76	320.8	119.26	429.54	87.03	1340.84	111.99	152.28	90.77	525.39	155.5	420.68	371.22	463.65	2119.22	289.02	381.68	403.5	170.25	1651.0	429.54	830.75	426.57	620.67	163.28	204.07	363.56	373.81	1073.91	18.56	1088.92	693.58	220.32	1127.35	187.71	165.57	87.65	128.79	187.71	36.79	486.75	122.64	283.05	11.04	61.25	267.73	420.68	97.36	185.11	483.38	50.63	41.81	101.54	825.0	1350.18	884.29
IL20RA	0.0	0.0	9.78	9.56	8.13	16.27	3.92	10.24	21.47	52.08	4.21	67.59	13.52	5.11	18.16	3.5	24.81	3.38	10.79	8.45	7.11	17.25	17.9	2.56	19.53	5.36	2.94	2.05	3.82	14.89	15.34	5.87	40.93	12.09	14.67	3.32	11.82	2.46	39.5	8.65	6.41	7.28	4.9	3.14	0.95	3.56	12.74	3.32	20.56	119.26	57.89	50.98	89.51	23.59	47.5	49.91	36.27	49.91	71.5	87.65	66.18	37.05	69.52	53.19	49.21	34.26	66.65	58.71	64.34	74.06	56.68	100.13	102.97	63.45	100.83	92.05	83.45	7.17	31.45	28.04	47.5	123.5	81.71	117.6	67.12	51.35	105.89	119.26	18.16	122.64	91.41	61.25	62.12	22.59	36.53	12.45	66.65	49.91	40.36	88.26	37.32	12.36	31.67	12.64	10.63	31.45	34.51	21.16	39.79	68.55	5.87	9.34	75.64	55.49	62.56
IP6K3	0.0	0.56	52.82	175.07	30.12	31.9	14.56	29.27	43.32	43.63	98.73	4.28	55.1	41.22	16.51	76.17	176.29	98.73	14.78	18.29	71.0	70.51	26.86	7.34	137.14	8.25	18.16	13.72	85.22	60.82	51.35	66.18	44.57	72.52	106.63	19.11	13.72	4.43	105.89	53.19	70.01	90.14	46.84	10.24	77.25	121.79	67.12	4.17	198.47	392.44	713.11	414.87	454.09	251.48	1066.48	334.46	587.13	915.51	178.77	373.81	171.45	366.09	327.56	866.07	353.59	363.56	718.08	638.15	181.28	241.19	518.15	113.56	297.17	480.04	209.84	91.41	212.78	571.05	753.83	269.6	135.24	896.64	361.04	320.8	743.43	633.73	287.01	514.56	96.01	376.41	123.5	438.59	120.94	264.03	476.71	89.51	205.5	890.44	567.1	228.13	129.69	583.07	599.49	323.03	291.04	896.64	267.73	167.9	336.79	201.25	228.13	22.43	301.33	217.27	612.11
IQCG	0.0	0.12	148.09	159.9	141.02	138.1	151.22	178.77	81.71	71.5	151.22	91.41	108.14	142.01	90.77	123.5	193.01	182.55	125.24	144.01	102.97	127.89	116.78	104.42	156.59	111.99	77.79	148.09	113.56	110.43	150.17	165.57	137.14	137.14	190.34	65.26	94.01	107.38	253.23	151.22	92.7	146.03	144.01	82.87	172.65	154.42	173.85	111.21	223.41	361.04	373.81	279.14	460.44	356.05	358.54	368.65	295.11	289.02	547.75	466.88	343.89	229.72	309.83	281.09	327.56	215.77	303.44	277.2	490.14	275.28	258.57	343.89	291.04	426.57	351.14	312.0	540.19	194.36	285.03	486.75	368.65	293.07	343.89	221.86	555.41	320.8	629.35	336.79	248.0	470.14	297.17	256.78	507.46	279.14	218.79	244.57	287.01	215.77	173.85	429.54	223.41	191.67	215.77	183.82	198.47	291.04	341.51	295.11	441.64	178.77	134.3	142.01	470.14	336.79	525.39
IYD	0.0	0.01	2384.37	5441.3	3901.01	3124.78	406.31	6983.79	3742.05	1697.45	8022.41	3820.7	5006.93	5041.77	466.88	954.43	5751.61	4671.57	2835.7	1508.65	8305.36	4937.99	2400.97	1583.71	4836.35	3372.43	6935.54	785.88	5633.22	3955.48	3039.3	4937.99	1268.46	4704.07	4328.55	1936.53	723.08	1896.65	6426.31	2682.69	2664.15	2591.27	1651.0	2777.33	2609.3	2997.45	2468.49	305.55	7749.1	31650.8	24660.96	13492.72	16045.82	17317.18	47642.77	11267.44	7642.41	9344.14	10440.2	13123.73	18560.17	8479.89	10959.3	20170.07	20170.07	8134.41	10883.59	3982.99	11584.24	7331.05	6164.49	6516.03	9344.14	27745.15	12853.63	12676.65	8305.36	7589.61	21320.18	3190.46	13123.73	8658.09	4038.61	17927.91	17927.91	27553.49	42937.97	17558.94	4388.98	21617.82	17804.06	8658.09	17437.64	14361.31	9409.14	5672.41	17558.94	9606.86	6121.9	3235.01	4181.07	35363.15	5831.91	24321.43	9606.86	36864.92	15392.14	10808.41	12160.22	20030.74	9740.98	3589.58	9945.68	9945.68	24832.5
KCNA2	0.0	0.08	3.03	23.25	1.6	5.63	4.46	5.77	19.97	3.56	5.87	30.12	3.2	4.24	0.72	1.87	19.53	7.75	2.03	5.19	4.82	5.96	0.45	0.0	4.24	0.43	1.31	2.14	1.6	6.46	2.84	12.27	27.64	3.38	8.19	0.0	0.42	0.43	13.93	1.89	0.0	3.23	1.69	1.39	10.55	17.64	1.99	3.03	16.88	45.53	35.25	46.5	3.38	18.03	2.05	16.03	4.35	2.68	20.41	5.5	24.11	24.46	49.56	57.89	17.64	2.27	59.55	16.51	27.44	35.76	17.9	26.67	40.36	37.32	90.14	14.89	13.62	8.85	42.11	8.85	8.38	94.01	20.41	22.75	37.32	85.82	14.45	9.27	17.0	16.75	10.79	18.56	10.24	11.55	14.56	8.85	52.45	63.45	38.67	21.16	12.45	0.0	5.06	19.39	9.34	21.01	9.06	38.95	24.63	8.38	6.84	3.69	36.79	8.51	45.21
KIAA1467	78.89	332.14	60.82	125.24	88.26	104.42	44.57	63.0	120.94	83.45	115.16	241.19	80.01	65.26	48.18	71.5	110.43	112.77	78.89	59.55	137.14	72.52	78.34	76.71	112.77	102.25	47.5	48.52	62.56	98.73	111.99	84.63	97.36	63.45	152.28	36.79	56.68	57.89	163.28	42.41	41.81	117.6	89.51	49.21	234.57	131.51	74.06	38.12	146.03	178.77	511.0	638.15	454.09	249.73	186.4	191.67	134.3	199.85	199.85	316.37	289.02	106.63	157.68	105.89	420.68	164.42	249.73	231.32	181.28	193.01	271.48	258.57	178.77	387.02	208.38	138.1	269.6	78.89	400.71	119.26	231.32	162.14	166.73	147.06	218.79	273.37	273.37	323.03	190.34	325.29	264.03	190.34	144.01	134.3	231.32	163.28	87.03	226.54	126.12	348.71	303.44	316.37	171.45	108.14	185.11	264.03	283.05	285.03	170.25	146.03	175.07	80.01	199.85	426.57	249.73
