	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.S4P3.1326.SM.4AD6V	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5745.01A.11R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
LAMTOR1	2255.7	2367.9	2434.5	2193.99	2090.03	2758.13	3039.3	5366.37	4419.52	2591.27	3716.2	2875.3	2935.74	5255.91	4639.29	3540.14	2935.74	3794.3	2956.17	4210.15	3665.02	2976.74	4869.99	2645.74	4210.15	4736.79	3540.14	3874.05	3742.05	3928.15	3768.09	4268.94	4869.99	4607.24	3589.58	3874.05	3280.18	4704.07	3325.99	2224.63	3589.58	3901.01	3491.39	3443.31	3716.2	2835.7	4095.0	4038.61	3614.55	3280.18	3665.02	3257.52	5672.41	5594.3	2720.15	4095.0	4903.87	2701.35	2796.65	3564.78	4972.34	3146.52	4328.55	4836.35	4152.18	4038.61	4210.15	3212.66	3168.41	2976.74	3419.52	4038.61	4903.87	3190.46	2816.11	3491.39	3349.13	4152.18	3716.2	2997.45	3168.41	3018.3	2758.13	4298.64	2400.97	4152.18	3081.75	5006.93	3325.99	3039.3	3716.2	5292.48	3303.0	3039.3	4388.98	3820.7	4543.8	4095.0	4095.0	2956.17	4095.0	4704.07	4543.8	4769.75	4869.99	4543.8	3768.09	4095.0	4095.0	4210.15	4298.64	3690.52	4152.18	4736.79
LAMTOR2	1191.69	1295.13	1159.07	915.51	1304.15	2209.26	2004.85	4239.45	2816.11	1662.49	1662.49	1806.78	2178.83	3212.66	2935.74	2627.46	1685.71	2816.11	1950.0	2915.45	2287.2	1870.53	3928.15	1617.0	2956.17	3614.55	2520.38	2816.11	3280.18	2609.3	3212.66	2855.44	2739.08	3325.99	2240.11	2591.27	1769.57	5872.48	2956.17	1674.06	2875.3	2875.3	2367.9	3103.19	3124.78	2434.5	2816.11	2520.38	2816.11	2075.59	2209.26	2319.15	3491.39	4512.4	1628.26	2485.67	5479.15	2090.03	1757.34	2520.38	3540.14	2209.26	3235.01	2956.17	3124.78	2682.69	2956.17	2018.8	2032.85	2351.53	2148.82	2400.97	3614.55	2591.27	1685.71	2417.67	2816.11	3564.78	2777.33	1628.26	1806.78	2047.0	1605.83	3060.45	1508.65	2400.97	1923.14	4769.75	2720.15	1617.0	2163.77	3419.52	2240.11	2224.63	4123.49	2915.45	3395.89	3564.78	2855.44	2303.12	2875.3	2796.65	3419.52	3540.14	2351.53	3614.55	2956.17	2224.63	2209.26	2163.77	2609.3	1781.89	2609.3	3257.52
LCMT1	708.18	860.08	825.0	743.43	836.53	909.17	718.08	1259.69	909.17	674.59	995.0	723.08	1030.12	1437.15	954.43	890.44	656.11	947.83	665.29	981.29	753.83	830.75	1277.29	878.17	1250.98	1119.56	915.51	995.0	1135.2	974.5	1096.5	1008.9	928.3	988.12	902.89	808.0	753.83	967.76	988.12	684.02	1088.92	860.08	947.83	1001.93	1175.27	830.75	796.86	698.41	915.51	961.07	902.89	941.27	1044.52	1037.29	713.11	1008.9	1457.23	896.64	854.13	934.76	1151.06	872.1	1175.27	1208.34	1030.12	836.53	981.29	1111.82	785.88	791.35	928.3	1096.5	1233.75	866.07	764.36	954.43	1135.2	1111.82	1030.12	693.58	819.3	848.22	723.08	974.5	620.67	866.07	693.58	1088.92	981.29	854.13	878.17	1023.0	884.29	764.36	1119.56	884.29	995.0	1119.56	1008.9	896.64	995.0	713.11	974.5	1096.5	981.29	1135.2	1030.12	896.64	1030.12	981.29	995.0	830.75	1088.92	1037.29
LSM4	1183.45	1295.13	1313.23	941.27	1350.18	1844.76	1963.57	3257.52	2720.15	1359.57	2835.7	1769.57	2061.24	3146.52	2895.31	2303.12	1605.83	2555.58	2119.22	2537.92	2287.2	2004.85	3820.7	1733.13	2935.74	3212.66	2468.49	3103.19	2664.15	2319.15	2591.27	3103.19	3018.3	3419.52	2758.13	2591.27	1769.57	3395.89	2591.27	1733.13	2816.11	2664.15	2609.3	3018.3	2855.44	2468.49	2287.2	2645.74	3103.19	2400.97	2240.11	2255.7	4639.29	4181.07	1794.29	2591.27	3303.0	2090.03	1844.76	2645.74	4607.24	2609.3	2520.38	2682.69	3081.75	2451.44	3081.75	2591.27	2148.82	2351.53	2400.97	2351.53	2777.33	2104.58	1540.37	2163.77	2609.3	2682.69	2255.7	1794.29	1709.26	1540.37	1757.34	2609.3	1519.15	2573.36	1832.01	4575.41	2591.27	1819.35	2591.27	3928.15	2400.97	1909.85	3395.89	2178.83	3257.52	2935.74	2895.31	1963.57	2609.3	3190.46	2335.28	3146.52	2895.31	3349.13	2796.65	2591.27	2287.2	2555.58	3303.0	2485.67	2627.46	3443.31
METRN	145.02	348.71	267.73	320.8	153.34	490.14	454.09	1233.75	764.36	242.88	872.1	551.56	450.94	1199.98	854.13	802.41	384.34	728.11	457.25	679.29	316.37	406.31	1417.35	299.25	1427.22	1159.07	738.29	708.18	703.28	813.63	866.07	1199.98	947.83	1216.75	579.04	1001.93	307.69	1617.0	866.07	314.17	332.14	896.64	842.36	620.67	941.27	343.89	1066.48	961.07	819.3	688.78	463.65	743.43	2032.85	1233.75	255.0	780.44	780.44	356.05	426.57	1104.13	2351.53	854.13	1023.0	1369.04	1295.13	624.99	525.39	1378.57	420.68	629.35	587.13	848.22	921.88	1073.91	248.0	660.68	511.0	1259.69	1015.93	260.38	358.54	476.71	329.84	669.92	371.22	848.22	395.18	1769.57	529.06	483.38	559.28	1199.98	728.11	426.57	1023.0	559.28	1167.14	1183.45	902.89	336.79	679.29	1304.15	1277.29	1044.52	603.67	764.36	1340.84	563.18	460.44	764.36	981.29	536.45	571.05	1119.56
MPST	483.38	674.59	583.07	791.35	353.59	1417.35	1605.83	2739.08	1059.11	842.36	1936.53	1088.92	1685.71	3515.68	1757.34	2047.0	669.92	1896.65	1008.9	2319.15	1844.76	1259.69	2209.26	1104.13	2485.67	2178.83	1199.98	1369.04	3146.52	1709.26	2335.28	2075.59	1950.0	2915.45	1427.22	1111.82	941.27	2434.5	2573.36	563.18	3146.52	2018.8	1313.23	2520.38	2997.45	1781.89	1561.89	1088.92	1844.76	2047.0	1088.92	1378.57	2720.15	3235.01	1151.06	1745.2	4481.23	1551.09	884.29	2032.85	2163.77	1709.26	1757.34	1304.15	2895.31	1769.57	1806.78	1295.13	1378.57	2004.85	1104.13	1685.71	3589.58	2367.9	967.76	1322.37	1721.16	2645.74	2090.03	836.53	915.51	1605.83	934.76	1844.76	1073.91	2335.28	1359.57	3168.41	1651.0	1175.27	1605.83	2502.97	2090.03	1721.16	3018.3	1605.83	2209.26	2451.44	2240.11	967.76	2303.12	1639.59	2075.59	1991.0	2956.17	2502.97	2271.4	1388.16	1250.98	1199.98	1769.57	1340.84	1331.57	1769.57
MRPL27	1127.35	1233.75	1259.69	1295.13	1066.48	1508.65	1745.2	3257.52	2287.2	1397.83	2004.85	1628.26	1697.45	4010.71	2520.38	2335.28	1583.71	2384.37	1639.59	2664.15	2287.2	1757.34	2701.35	1477.58	2148.82	3124.78	2502.97	2367.9	2816.11	2148.82	2287.2	2451.44	2485.67	3168.41	2193.99	2090.03	1417.35	2664.15	1950.0	1313.23	2163.77	2178.83	2061.24	2739.08	2400.97	1896.65	2004.85	2209.26	2075.59	1605.83	2075.59	1857.6	2573.36	3515.68	1757.34	2061.24	3665.02	1551.09	1417.35	2319.15	3190.46	1991.0	2303.12	2875.3	2627.46	1870.53	2664.15	1709.26	1794.29	1909.85	1857.6	2240.11	2303.12	1936.53	1498.22	1487.87	1651.0	2573.36	2224.63	1674.06	1721.16	2335.28	1651.0	2075.59	1331.57	2351.53	1487.87	3124.78	2319.15	1519.15	1977.24	2627.46	1662.49	1437.15	3212.66	1733.13	2664.15	2400.97	2133.97	1832.01	2609.3	2240.11	2555.58	2976.74	2209.26	3124.78	2451.44	2303.12	1896.65	2468.49	2485.67	1857.6	2976.74	3280.18
MRPL28	878.17	830.75	947.83	638.15	878.17	1037.29	1662.49	2627.46	1883.54	1073.91	1498.22	1199.98	1159.07	2609.3	2090.03	1806.78	819.3	1923.14	1081.39	1950.0	1322.37	1477.58	2255.7	1127.35	1991.0	2468.49	1844.76	1628.26	1832.01	1540.37	1883.54	2104.58	2104.58	2417.67	1709.26	1806.78	981.29	1909.85	1487.87	1008.9	2075.59	1662.49	1662.49	1769.57	1572.76	1191.69	1857.6	1844.76	1674.06	1167.14	1208.34	1250.98	1950.0	2591.27	1015.93	1487.87	2367.9	1304.15	1111.82	1639.59	2178.83	1487.87	1909.85	2209.26	2133.97	1662.49	1605.83	1268.46	1199.98	1417.35	1639.59	1857.6	1721.16	1340.84	1295.13	1674.06	723.08	2032.85	1104.13	1001.93	1183.45	1508.65	1233.75	1583.71	988.12	1594.73	1127.35	2193.99	1781.89	1059.11	1733.13	1963.57	1199.98	1437.15	2645.74	1529.73	1963.57	1977.24	1605.83	1066.48	2090.03	2148.82	1639.59	2104.58	1529.73	2384.37	1857.6	1594.73	1477.58	1923.14	2133.97	1467.37	2555.58	2224.63
MRPL48	728.11	753.83	733.19	819.3	796.86	941.27	733.19	1508.65	890.44	878.17	1313.23	813.63	915.51	1286.18	915.51	825.0	785.88	1295.13	780.44	947.83	941.27	796.86	1135.2	995.0	1277.29	1127.35	1304.15	1233.75	1225.22	1135.2	1250.98	866.07	947.83	1104.13	981.29	764.36	842.36	1551.09	1159.07	808.0	1242.34	1001.93	872.1	1208.34	1242.34	1088.92	878.17	603.67	1151.06	1073.91	1023.0	995.0	1135.2	1208.34	974.5	825.0	1674.06	934.76	928.3	1183.45	1487.87	1313.23	995.0	1135.2	1216.75	854.13	1111.82	830.75	1001.93	825.0	1037.29	988.12	1066.48	866.07	743.43	718.08	1044.52	1119.56	1225.22	884.29	947.83	860.08	836.53	1096.5	775.05	947.83	825.0	1331.57	967.76	872.1	753.83	1096.5	1066.48	866.07	1119.56	1119.56	1023.0	1088.92	1037.29	1073.91	1250.98	909.17	884.29	1242.34	921.88	974.5	1225.22	1233.75	1044.52	1304.15	890.44	934.76	1135.2	1088.92
MRPL52	1313.23	1295.13	1540.37	1008.9	1457.23	2240.11	2384.37	6079.61	2434.5	1870.53	3690.52	1594.73	2178.83	3928.15	3372.43	3212.66	1487.87	3325.99	1857.6	4210.15	2609.3	2004.85	4181.07	1909.85	3639.7	3768.09	2997.45	3589.58	3768.09	3564.78	4769.75	3639.7	3768.09	5183.54	2935.74	2104.58	2047.0	5112.16	2935.74	1651.0	3349.13	3443.31	2682.69	4972.34	4607.24	2816.11	2701.35	1870.53	3168.41	2816.11	2645.74	2573.36	4869.99	4575.41	2104.58	2701.35	6516.03	2061.24	1857.6	3060.45	4450.27	3303.0	2895.31	2739.08	4298.64	2591.27	3901.01	1605.83	2104.58	2434.5	2835.7	2468.49	3690.52	3060.45	1769.57	1896.65	2240.11	4543.8	2875.3	1378.57	2075.59	2271.4	2148.82	3742.05	1617.0	2664.15	2133.97	5147.73	2956.17	1896.65	2502.97	3467.27	3081.75	2384.37	5219.6	2739.08	3928.15	3419.52	3235.01	2335.28	3564.78	2835.7	2835.7	4607.24	3325.99	4123.49	3419.52	2875.3	2758.13	3303.0	3303.0	2400.97	3639.7	4123.49
MRPS11	723.08	698.41	728.11	718.08	529.06	981.29	921.88	1529.73	1167.14	728.11	1143.1	842.36	1081.39	2209.26	1417.35	1175.27	808.0	1286.18	941.27	1437.15	1151.06	967.76	1551.09	836.53	1295.13	1498.22	1250.98	1175.27	1498.22	1135.2	1540.37	1313.23	1191.69	1745.2	1191.69	1051.79	819.3	1594.73	1340.84	775.05	1359.57	1286.18	1143.1	1322.37	1183.45	1059.11	1191.69	1081.39	1369.04	1088.92	884.29	1119.56	1883.54	1936.53	848.22	1143.1	1794.29	1015.93	830.75	1322.37	1721.16	1322.37	1359.57	1331.57	1467.37	1208.34	1340.84	934.76	934.76	1059.11	1143.1	1037.29	1304.15	1037.29	723.08	961.07	1216.75	1407.55	1059.11	884.29	915.51	967.76	854.13	1167.14	848.22	1268.46	988.12	1806.78	1388.16	961.07	1081.39	1498.22	1081.39	981.29	1551.09	1111.82	1268.46	1015.93	1350.18	1044.52	1447.15	1447.15	1313.23	1519.15	1073.91	1572.76	1322.37	1135.2	1159.07	1191.69	1378.57	954.43	1259.69	1437.15
MRPS15	1191.69	1167.14	1340.84	1437.15	1044.52	1561.89	1745.2	2739.08	1844.76	1388.16	1950.0	1477.58	1594.73	3820.7	2075.59	1844.76	1733.13	1870.53	1378.57	2591.27	1757.34	1350.18	2573.36	1540.37	1896.65	2520.38	1745.2	2004.85	2240.11	1819.35	2178.83	2163.77	1844.76	2816.11	1832.01	1594.73	1551.09	2591.27	2335.28	1519.15	2434.5	1832.01	1721.16	2271.4	2104.58	1832.01	1540.37	1709.26	2209.26	1733.13	1936.53	1936.53	2796.65	2956.17	1437.15	1674.06	3257.52	1561.89	1487.87	2209.26	2271.4	2104.58	2018.8	2351.53	2400.97	1781.89	2032.85	1427.22	2075.59	1857.6	1819.35	1709.26	2075.59	1447.15	1340.84	1697.45	1397.83	2400.97	1832.01	1487.87	1572.76	1561.89	1242.34	1963.57	1331.57	1936.53	1467.37	3018.3	2148.82	1572.76	1781.89	2224.63	1781.89	1397.83	2796.65	1721.16	2303.12	2287.2	2303.12	1617.0	2047.0	1896.65	1769.57	2485.67	2061.24	2271.4	2133.97	1909.85	1457.23	1628.26	2004.85	1519.15	1923.14	2178.83
MTX1	733.19	785.88	796.86	884.29	587.13	934.76	1135.2	1923.14	1143.1	802.41	1388.16	902.89	1015.93	2047.0	1572.76	1304.15	896.64	1295.13	928.3	1769.57	1135.2	842.36	1508.65	934.76	1487.87	1508.65	1119.56	1378.57	1781.89	1369.04	1427.22	1143.1	1313.23	1781.89	1199.98	921.88	866.07	1844.76	1477.58	1001.93	1540.37	1268.46	1199.98	1662.49	1457.23	1159.07	1216.75	1066.48	1378.57	961.07	1119.56	1096.5	1639.59	1769.57	928.3	1023.0	1844.76	796.86	802.41	1447.15	1709.26	1295.13	1199.98	1757.34	1769.57	1286.18	1119.56	954.43	1088.92	1191.69	1233.75	1175.27	1540.37	1111.82	1001.93	1081.39	909.17	1540.37	1159.07	836.53	981.29	1111.82	988.12	1304.15	860.08	1250.98	884.29	1781.89	1397.83	1015.93	1127.35	1313.23	1225.22	967.76	1721.16	1250.98	1594.73	1447.15	1388.16	1127.35	1540.37	1191.69	1378.57	1721.16	1191.69	1651.0	1397.83	1030.12	1119.56	1191.69	1304.15	1081.39	1397.83	1417.35
NAA10	1104.13	1259.69	1242.34	1397.83	1030.12	1685.71	2047.0	3257.52	1923.14	1250.98	2367.9	1350.18	1936.53	3419.52	2178.83	2645.74	1286.18	2209.26	1529.73	2627.46	2367.9	1733.13	3614.55	1467.37	2451.44	2976.74	2032.85	2468.49	2627.46	1991.0	2682.69	2701.35	2090.03	3190.46	2061.24	2178.83	1199.98	3280.18	2384.37	1183.45	2915.45	2468.49	2163.77	2739.08	2777.33	2061.24	1709.26	1909.85	2417.67	2209.26	1617.0	1674.06	4038.61	3742.05	1757.34	1819.35	4010.71	1617.0	1359.57	2701.35	2664.15	2303.12	2720.15	2255.7	2855.44	2163.77	2701.35	1617.0	1674.06	2148.82	1832.01	1832.01	2720.15	2384.37	1457.23	1896.65	1963.57	3039.3	2434.5	1529.73	1208.34	1508.65	1350.18	2384.37	1295.13	2400.97	1757.34	3303.0	2163.77	1467.37	2004.85	2720.15	2075.59	1639.59	3235.01	1977.24	2816.11	2032.85	2796.65	1794.29	2351.53	2739.08	1896.65	2591.27	2468.49	3060.45	2682.69	1896.65	1508.65	1923.14	2384.37	1651.0	2061.24	2240.11
NDUFA13	3039.3	3168.41	3303.0	2816.11	2682.69	5672.41	6607.01	15285.81	9215.48	4769.75	8538.88	4388.98	5555.65	14765.09	10659.59	8479.89	5147.73	9409.14	5292.48	10585.95	8022.41	6607.01	13681.08	4937.99	10014.87	11909.94	9151.82	11664.82	10014.87	7911.95	10659.59	11189.6	10368.08	13681.08	8901.53	7433.4	5517.27	16269.83	7695.57	5147.73	12764.83	8479.89	9409.14	10440.2	10296.45	8718.32	7911.95	7911.95	9151.82	6652.97	7485.11	6840.04	13123.73	14561.8	4388.98	9740.98	14163.58	6607.01	4328.55	9151.82	19618.49	11584.24	9279.58	10154.69	11745.96	7537.18	9808.75	10808.41	5479.15	6887.62	7485.11	7749.1	10512.82	7642.41	5366.37	6840.04	7130.55	10440.2	8247.98	4543.8	5872.48	7130.55	5219.6	9088.59	4836.35	8191.0	5255.91	16496.96	9279.58	5041.77	7485.11	9344.14	6840.04	5555.65	14561.8	8421.31	10883.59	10014.87	8963.45	6250.56	10014.87	9540.5	9088.59	10585.95	9279.58	9945.68	9945.68	8778.97	8191.0	10084.54	10296.45	6983.79	12502.12	13492.72
NDUFA2	1340.84	1378.57	1447.15	1073.91	1250.98	2468.49	3039.3	4543.8	3820.7	1896.65	3955.48	2434.5	2417.67	4903.87	4066.71	2976.74	2591.27	3665.02	2209.26	4095.0	3419.52	2645.74	5219.6	2133.97	3103.19	4298.64	3372.43	3742.05	3768.09	3614.55	3690.52	3847.29	4010.71	5041.77	3443.31	3168.41	2163.77	4769.75	3716.2	2004.85	4481.23	3467.27	3419.52	4575.41	4181.07	3928.15	2976.74	2835.7	3690.52	2609.3	3168.41	2796.65	4972.34	5219.6	2319.15	3395.89	6207.38	2895.31	2178.83	3928.15	6337.83	2537.92	3742.05	3794.3	4419.52	3639.7	4210.15	2090.03	2627.46	3124.78	3235.01	3060.45	3982.99	1870.53	2119.22	2835.7	3039.3	4152.18	3874.05	2224.63	2645.74	2935.74	2335.28	3901.01	1991.0	3081.75	2335.28	5791.62	4010.71	2319.15	3081.75	2303.12	3081.75	2367.9	5329.3	3614.55	4268.94	3716.2	3794.3	2835.7	3589.58	3742.05	3515.68	5633.22	4152.18	4181.07	4671.57	3665.02	3614.55	3212.66	3982.99	2645.74	3901.01	5183.54
NDUFB11	974.5	1143.1	1313.23	1467.37	995.0	2047.0	2485.67	4836.35	2485.67	1674.06	2777.33	1883.54	2075.59	3491.39	3280.18	3395.89	1617.0	2976.74	1794.29	3419.52	2835.7	2468.49	3847.29	1923.14	3419.52	3515.68	2855.44	3325.99	3589.58	2701.35	3515.68	3325.99	4181.07	4512.4	2720.15	2485.67	1628.26	3820.7	2997.45	2271.4	3540.14	3372.43	2855.44	3325.99	3768.09	2855.44	2645.74	2591.27	2816.11	3060.45	2417.67	2701.35	4181.07	5403.7	2209.26	2701.35	4123.49	2240.11	1662.49	3325.99	6250.56	3874.05	3235.01	3303.0	3847.29	2835.7	3212.66	1963.57	2287.2	2335.28	2417.67	3235.01	4095.0	2895.31	2367.9	3303.0	4123.49	3768.09	2935.74	1605.83	1923.14	2209.26	1721.16	3614.55	1745.2	2816.11	1936.53	4802.93	2935.74	1651.0	3303.0	3325.99	2591.27	2384.37	3742.05	3280.18	3168.41	3820.7	3491.39	2209.26	3190.46	2976.74	2758.13	3372.43	2796.65	3325.99	3018.3	2645.74	2384.37	3257.52	3467.27	2682.69	3039.3	4512.4
NDUFB7	2287.2	2796.65	2816.11	2119.22	1583.71	3820.7	4802.93	9673.69	5791.62	3235.01	5995.9	3081.75	4450.27	8363.13	7130.55	6250.56	3081.75	6840.04	3794.3	6935.54	5913.33	3901.01	9474.59	3589.58	6840.04	7331.05	6426.31	6983.79	7537.18	6121.9	7331.05	6983.79	7911.95	9740.98	6121.9	5711.87	3060.45	8658.09	6426.31	3614.55	9606.86	6250.56	5219.6	7803.01	7857.29	6607.01	6164.49	4903.87	5995.9	4010.71	4671.57	4671.57	7382.04	11035.54	3982.99	5672.41	10440.2	5292.48	3168.41	6164.49	12415.75	7911.95	5555.65	7032.37	9945.68	5633.22	6745.86	3820.7	4481.23	5112.16	5255.91	5672.41	7695.57	5366.37	3491.39	5219.6	5441.3	7130.55	6079.61	2816.11	3467.27	5147.73	3491.39	7331.05	3874.05	6381.92	3901.01	10225.32	6983.79	3589.58	5403.7	7749.1	5791.62	4671.57	9344.14	7032.37	6840.04	8022.41	7230.1	3901.01	7695.57	6516.03	6250.56	8901.53	5954.47	8191.0	7695.57	6121.9	5751.61	7280.4	7032.37	5183.54	6381.92	9088.59
NDUFS6	748.61	738.29	616.37	587.13	624.99	1498.22	1407.55	3280.18	2075.59	1151.06	2193.99	1143.1	1304.15	2835.7	1936.53	1883.54	1066.48	2032.85	1651.0	2061.24	2573.36	1498.22	2417.67	1167.14	1583.71	2591.27	1709.26	2303.12	2271.4	1662.49	2627.46	2255.7	2163.77	2287.2	2384.37	2287.2	967.76	2796.65	1819.35	1183.45	2895.31	1844.76	2209.26	2895.31	2163.77	1857.6	1832.01	2004.85	1794.29	1467.37	1529.73	1407.55	2090.03	4066.71	1561.89	2485.67	3235.01	1508.65	1225.22	2720.15	2915.45	3212.66	2178.83	2148.82	2664.15	2047.0	2682.69	1286.18	1467.37	1977.24	1467.37	1697.45	2271.4	1745.2	1191.69	1199.98	2004.85	2271.4	1936.53	1295.13	1127.35	1259.69	974.5	2119.22	1242.34	2148.82	1508.65	3443.31	1977.24	1427.22	1819.35	2701.35	1844.76	1709.26	2875.3	1950.0	2367.9	1529.73	2555.58	1277.29	1721.16	2075.59	1733.13	3103.19	1733.13	2287.2	2451.44	1572.76	1407.55	1733.13	2104.58	1498.22	1697.45	2255.7
NDUFS8	1359.57	1340.84	1628.26	1417.35	1340.84	3039.3	4038.61	7911.95	4937.99	2061.24	5112.16	2133.97	3564.78	7966.99	6381.92	4736.79	2417.67	4972.34	3146.52	7180.15	4066.71	3212.66	7695.57	2573.36	6887.62	6561.36	4298.64	6516.03	5183.54	5041.77	5183.54	6164.49	6381.92	6337.83	4358.66	4419.52	2400.97	7695.57	4575.41	2224.63	6037.61	4671.57	4836.35	5479.15	5995.9	4450.27	3820.7	3901.01	5041.77	4671.57	3467.27	3515.68	6935.54	8901.53	3190.46	4481.23	6983.79	3349.13	2193.99	5329.3	9740.98	6250.56	4937.99	4704.07	7230.1	4450.27	6337.83	3395.89	3146.52	3928.15	4181.07	4769.75	5751.61	3639.7	2895.31	3303.0	3325.99	6983.79	4095.0	2271.4	3146.52	3212.66	2835.7	4903.87	2627.46	4836.35	2935.74	9673.69	4450.27	2682.69	4152.18	5147.73	4388.98	3039.3	8479.89	4388.98	5441.3	5041.77	5147.73	2976.74	5147.73	6471.02	4512.4	7081.29	5006.93	7130.55	5751.61	4268.94	4543.8	5183.54	6935.54	3820.7	4671.57	6516.03
