	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
RCN1	194.36	902.89	0.0	0.87	2367.9	3190.46	2255.7	3212.66	2777.33	2240.11	3168.41	3103.19	4419.52	3768.09	2935.74	1685.71	3928.15	4481.23	2935.74	3540.14	2739.08	3467.27	2739.08	3491.39	2351.53	2664.15	3690.52	3018.3	3419.52	3491.39	2384.37	2400.97	2720.15	2758.13	3349.13	4066.71	4268.94	3540.14	3467.27	3491.39	2537.92	3257.52	3395.89	2384.37	2224.63	2319.15	4481.23	3443.31	3124.78	3639.7	3372.43	2004.85	2701.35	2384.37	2591.27	4671.57	3540.14	2537.92	3235.01	4836.35	3372.43	3018.3	2956.17	2400.97	1936.53	3955.48	2555.58	2240.11	2502.97	2591.27	2796.65	2163.77	2758.13	2240.11	2468.49
RP11-468E2.2	2.89	3.59	0.0	0.3	0.0	6.57	5.59	31.9	8.85	0.0	9.34	6.84	5.63	7.94	8.06	5.73	13.12	15.11	6.67	10.88	6.26	28.86	3.14	9.78	10.47	3.26	13.12	1.99	7.75	21.01	6.36	4.54	4.66	9.48	19.25	7.0	3.72	1.87	4.58	6.73	10.79	5.23	15.56	12.64	18.16	13.72	7.34	10.47	8.85	4.17	4.62	7.82	4.9	6.26	8.65	6.62	13.52	4.94	7.63	8.58	4.78	11.13	5.11	6.46	3.35	12.27	9.56	1.46	1.45	4.58	8.92	17.38	2.58	8.51	2.16
SASS6	16.39	4.98	0.0	0.27	28.65	38.12	43.94	90.14	96.68	38.95	78.34	31.9	94.67	59.13	43.63	40.36	45.53	100.83	87.03	66.65	60.39	99.43	39.22	87.65	49.91	33.78	54.72	38.4	42.71	60.82	30.78	43.02	59.55	35.25	49.56	68.07	26.47	33.3	40.64	96.01	22.1	32.36	48.18	32.13	52.08	69.03	89.51	86.43	68.07	63.89	76.71	37.05	59.97	41.81	45.85	107.38	69.52	26.86	44.57	80.57	91.41	34.51	52.82	45.53	53.57	80.01	32.59	47.84	31.0	37.32	32.13	24.46	47.17	31.9	31.67
SCN2A	7.06	0.0	0.0	0.12	0.35	2.29	3.35	9.41	9.63	1.23	5.92	3.17	5.96	5.15	2.03	0.68	6.41	12.27	3.82	5.59	26.86	8.99	0.73	23.08	1.33	2.14	12.55	3.96	3.53	1.33	0.99	3.82	0.37	1.48	3.56	4.78	2.84	2.39	1.46	13.83	0.36	1.41	0.71	1.03	0.69	1.66	17.25	13.62	6.84	10.47	1.99	0.69	4.98	0.39	1.75	32.13	1.73	0.68	8.0	15.8	7.51	1.07	8.65	4.1	0.36	0.37	2.92	0.38	0.71	2.29	1.73	0.4	1.95	2.39	3.26
SEC63	318.57	571.05	759.08	947.83	1081.39	1832.01	1529.73	2104.58	2224.63	1697.45	2163.77	1651.0	2335.28	1594.73	1685.71	1104.13	1844.76	1923.14	1733.13	1628.26	1617.0	2047.0	854.13	2209.26	1733.13	1781.89	1936.53	2018.8	2287.2	1268.46	1081.39	2032.85	2434.5	1467.37	1697.45	2451.44	1529.73	1745.2	1467.37	2018.8	1477.58	1540.37	1183.45	1250.98	2075.59	1757.34	2555.58	1819.35	1909.85	1709.26	1487.87	1651.0	1923.14	1896.65	1628.26	2758.13	2591.27	1388.16	1605.83	2193.99	2193.99	1388.16	1639.59	1467.37	2400.97	1745.2	1233.75	2835.7	1583.71	1427.22	1519.15	1487.87	1407.55	1417.35	866.07
SENP6	242.88	83.45	0.0	0.75	406.31	1088.92	802.41	2287.2	1819.35	836.53	1685.71	567.1	2032.85	1225.22	808.0	813.63	890.44	1477.58	1225.22	1331.57	1313.23	1674.06	486.75	1388.16	830.75	708.18	1540.37	842.36	624.99	1498.22	848.22	825.0	1023.0	764.36	1151.06	878.17	543.96	759.08	785.88	1757.34	460.44	733.19	981.29	587.13	890.44	1167.14	1378.57	1477.58	1304.15	1277.29	947.83	633.73	1159.07	860.08	896.64	1651.0	1277.29	511.0	1051.79	1447.15	1498.22	860.08	808.0	808.0	909.17	1151.06	728.11	808.0	571.05	934.76	674.59	769.69	624.99	802.41	743.43
SH3GLB1	575.03	267.73	0.0	0.6	872.1	1015.93	866.07	1183.45	1268.46	743.43	1183.45	738.29	1127.35	854.13	890.44	967.76	733.19	1051.79	1073.91	836.53	947.83	1159.07	743.43	974.5	830.75	836.53	733.19	902.89	733.19	708.18	878.17	748.61	708.18	981.29	1008.9	1051.79	753.83	890.44	1277.29	1104.13	460.44	743.43	974.5	1378.57	896.64	1051.79	981.29	928.3	928.3	928.3	813.63	1037.29	902.89	743.43	896.64	1295.13	1037.29	819.3	981.29	1023.0	902.89	780.44	836.53	748.61	1073.91	974.5	909.17	1143.1	796.86	902.89	785.88	808.0	830.75	1111.82	633.73
SLC10A5	0.95	11.55	0.0	0.04	8.78	8.92	9.63	64.8	12.36	8.25	37.59	11.82	10.39	18.84	15.0	8.19	20.26	208.38	42.71	12.83	10.08	30.12	10.08	12.64	23.76	6.62	138.1	12.64	8.51	16.75	10.31	24.11	16.03	11.82	34.02	17.25	10.39	9.27	25.91	11.55	22.59	7.88	17.9	13.22	21.78	16.63	32.82	10.96	12.64	44.89	39.22	39.5	30.56	18.16	21.78	10.71	37.85	17.38	12.83	16.63	19.68	17.38	14.45	14.89	28.65	41.22	5.19	25.91	15.91	7.57	4.7	11.82	10.16	10.71	8.58
SLC37A3	1119.56	124.37	0.0	0.67	490.14	595.34	351.14	967.76	1023.0	497.0	854.13	480.04	830.75	525.39	603.67	480.04	547.75	909.17	848.22	521.76	785.88	738.29	429.54	665.29	387.02	403.5	819.3	429.54	718.08	684.02	679.29	599.49	490.14	373.81	688.78	656.11	525.39	432.53	480.04	780.44	503.95	346.29	688.78	368.65	343.89	1175.27	848.22	703.28	642.59	1369.04	698.41	493.56	1159.07	379.04	486.75	769.69	591.22	423.61	599.49	647.07	836.53	454.09	698.41	412.0	514.56	511.0	457.25	825.0	547.75	392.44	368.65	336.79	536.45	363.56	295.11
SLC9A7	116.78	66.65	0.0	0.0	204.07	172.65	125.24	229.72	273.37	164.42	283.05	126.12	318.57	161.02	140.04	134.3	212.78	339.14	135.24	157.68	107.38	215.77	211.31	199.85	195.72	112.77	500.46	157.68	148.09	131.51	285.03	193.01	93.35	165.57	138.1	138.1	127.0	87.03	158.79	267.73	109.66	63.0	132.44	146.03	78.34	483.38	155.5	232.94	287.01	199.85	271.48	171.45	226.54	127.0	85.22	197.09	232.94	108.9	159.9	202.66	234.57	94.01	258.57	117.6	120.1	237.86	143.01	305.55	124.37	147.06	81.14	108.9	89.51	162.14	172.65
SMARCAD1	147.06	34.26	0.0	0.11	60.82	185.11	198.47	397.93	423.61	191.67	368.65	164.42	414.87	269.6	201.25	141.02	248.0	373.81	291.04	277.2	283.05	454.09	177.53	358.54	234.57	144.01	423.61	159.9	191.67	376.41	185.11	199.85	249.73	189.02	237.86	329.84	102.25	140.04	153.34	417.77	140.04	151.22	301.33	185.11	215.77	212.78	358.54	363.56	275.28	277.2	314.17	209.84	199.85	186.4	185.11	420.68	325.29	105.89	262.2	406.31	368.65	116.78	193.01	202.66	178.77	336.79	206.94	202.66	133.36	236.21	175.07	161.02	182.55	181.28	167.9
SNW1	651.58	503.95	0.0	0.93	909.17	961.07	928.3	1397.83	1388.16	748.61	1322.37	967.76	1268.46	995.0	981.29	988.12	878.17	1044.52	1225.22	878.17	1081.39	1407.55	896.64	928.3	866.07	819.3	1151.06	665.29	842.36	1199.98	1037.29	884.29	974.5	981.29	988.12	961.07	860.08	902.89	1030.12	1199.98	954.43	915.51	921.88	981.29	1008.9	1143.1	1073.91	1250.98	941.27	1051.79	974.5	842.36	981.29	813.63	884.29	1277.29	1030.12	769.69	988.12	1073.91	1167.14	902.89	878.17	836.53	981.29	1044.52	954.43	753.83	830.75	1104.13	884.29	825.0	947.83	1023.0	808.0
SNX16	55.49	17.51	0.0	0.39	109.66	164.42	98.73	265.87	271.48	211.31	323.03	187.71	221.86	178.77	156.59	293.07	138.1	656.11	281.09	153.34	169.07	236.21	102.97	121.79	129.69	162.14	444.72	118.43	197.09	361.04	127.0	107.38	148.09	131.51	248.0	251.48	102.25	95.34	170.25	275.28	224.97	96.01	224.97	165.57	195.72	144.01	201.25	224.97	151.22	366.09	253.23	152.28	389.72	113.56	166.73	172.65	234.57	113.56	88.26	214.27	271.48	102.97	231.32	149.12	191.67	229.72	114.36	195.72	171.45	209.84	142.01	115.97	140.04	74.58	74.06
SNX30	80.01	39.5	0.0	0.06	69.03	76.17	56.28	107.38	104.42	65.72	146.03	32.59	112.77	93.35	54.72	61.25	110.43	124.37	79.45	77.79	80.57	132.44	73.54	101.54	67.59	50.27	108.9	55.1	45.21	117.6	60.82	64.34	64.8	73.54	73.03	107.38	29.7	41.81	43.32	148.09	53.19	47.5	87.03	59.97	48.52	185.11	86.43	134.3	85.82	127.89	150.17	92.7	117.6	62.12	55.1	139.07	105.15	49.91	60.82	123.5	122.64	43.32	99.43	44.25	88.26	101.54	97.36	76.71	37.32	62.12	29.7	44.57	54.33	77.79	45.53
SPDL1	13.22	13.62	0.0	0.01	56.68	56.68	55.49	164.42	123.5	63.45	126.12	55.1	115.16	108.9	69.52	60.82	75.11	131.51	170.25	70.01	111.99	149.12	67.12	119.26	70.01	40.36	125.24	75.11	74.58	122.64	51.35	63.0	83.45	88.26	99.43	102.97	63.45	51.35	62.56	155.5	56.68	44.57	96.01	73.03	61.25	267.73	107.38	110.43	100.13	111.99	115.16	67.59	108.14	59.97	46.18	131.51	87.65	61.68	90.77	114.36	156.59	75.64	78.34	59.13	72.01	100.83	50.63	65.26	58.3	64.8	58.71	40.64	59.13	49.21	27.44
SPIRE1	291.04	60.39	0.0	0.44	71.5	249.73	212.78	423.61	493.56	190.34	612.11	223.41	420.68	348.71	169.07	189.02	267.73	305.55	397.93	327.56	297.17	435.55	217.27	336.79	165.57	206.94	575.03	114.36	265.87	343.89	237.86	205.5	153.34	255.0	175.07	241.19	97.36	221.86	137.14	353.59	191.67	191.67	318.57	229.72	167.9	423.61	242.88	379.04	325.29	182.55	237.86	244.57	242.88	117.6	111.21	511.0	301.33	115.97	251.48	379.04	379.04	139.07	289.02	206.94	125.24	325.29	281.09	271.48	117.6	249.73	202.66	220.32	136.19	157.68	104.42
SRFBP1	40.07	15.68	0.0	0.04	59.55	106.63	88.88	218.79	241.19	127.0	137.14	117.6	214.27	132.44	105.15	83.45	100.13	171.45	121.79	122.64	155.5	201.25	102.97	161.02	122.64	75.11	125.24	72.01	92.05	187.71	136.19	103.69	77.25	76.71	138.1	166.73	63.0	105.15	57.89	209.84	43.94	78.34	57.49	96.01	108.14	242.88	194.36	209.84	182.55	133.36	169.07	88.26	125.24	86.43	95.34	202.66	141.02	71.0	117.6	198.47	226.54	60.39	142.01	89.51	102.97	163.28	94.67	129.69	70.51	97.36	98.73	71.0	98.73	98.04	52.08
SRSF10	389.72	514.56	0.0	0.67	743.43	1397.83	995.0	1685.71	1651.0	1104.13	1583.71	1167.14	1781.89	1313.23	1208.34	1111.82	1487.87	1551.09	1388.16	1639.59	1857.6	1733.13	981.29	1561.89	1277.29	1030.12	1651.0	1044.52	1111.82	2032.85	1322.37	1037.29	1340.84	1051.79	1477.58	1407.55	759.08	928.3	890.44	2004.85	934.76	813.63	1225.22	934.76	1259.69	1477.58	1628.26	1331.57	1369.04	1397.83	1331.57	988.12	1191.69	1119.56	1183.45	1794.29	1407.55	842.36	1199.98	1685.71	1662.49	947.83	1081.39	1199.98	1183.45	1617.0	1044.52	967.76	928.3	1447.15	1175.27	909.17	1143.1	1127.35	723.08
SRSF12	0.51	0.85	0.0	0.41	31.0	38.95	34.51	38.67	52.08	20.26	62.56	41.52	96.01	30.78	30.12	29.06	49.91	21.94	20.71	54.33	49.56	111.99	24.28	50.27	29.91	36.79	54.72	17.38	40.07	78.89	76.71	47.84	21.32	24.46	31.22	38.4	30.78	28.24	24.81	64.8	73.54	32.13	49.21	42.71	26.1	69.03	92.7	90.14	77.79	36.27	32.13	24.28	37.32	38.95	17.64	42.41	61.68	18.97	38.95	50.27	26.1	22.75	39.5	35.0	22.26	28.65	21.47	39.79	24.46	33.06	30.56	25.54	26.1	21.01	29.91
SS18	307.69	332.14	738.29	283.05	620.67	1225.22	988.12	1304.15	1437.15	866.07	1594.73	813.63	1183.45	1066.48	1023.0	802.41	896.64	902.89	1015.93	1119.56	1208.34	1313.23	775.05	1175.27	961.07	988.12	1268.46	836.53	802.41	1733.13	890.44	1015.93	890.44	819.3	902.89	1081.39	563.18	995.0	633.73	1259.69	669.92	878.17	947.83	934.76	1059.11	866.07	1191.69	1030.12	967.76	1037.29	995.0	802.41	723.08	866.07	1008.9	1304.15	1407.55	651.58	934.76	1208.34	1175.27	738.29	808.0	1066.48	934.76	1183.45	890.44	961.07	713.11	1037.29	836.53	941.27	748.61	915.51	775.05
SSB	591.22	204.07	0.0	0.83	988.12	2417.67	1909.85	2915.45	2976.74	1617.0	2351.53	2209.26	2555.58	2335.28	2075.59	1295.13	2163.77	2997.45	3280.18	2148.82	2451.44	2935.74	1709.26	2384.37	1896.65	1909.85	2777.33	1757.34	2434.5	2816.11	2417.67	2178.83	1963.57	2075.59	2591.27	2627.46	2335.28	1963.57	1950.0	3039.3	2224.63	1991.0	2104.58	2573.36	2485.67	3325.99	3540.14	2400.97	2451.44	3212.66	2367.9	1709.26	2502.97	1617.0	1896.65	2875.3	3212.66	1870.53	2520.38	2319.15	2664.15	1769.57	2367.9	2090.03	2119.22	2193.99	1594.73	2193.99	2240.11	2468.49	2133.97	2004.85	2032.85	1870.53	1051.79
TAF11	234.57	287.01	0.0	0.83	559.28	536.45	518.15	620.67	583.07	473.41	551.56	493.56	532.74	540.19	529.06	447.82	532.74	575.03	669.92	547.75	656.11	559.28	450.94	587.13	529.06	454.09	563.18	583.07	493.56	591.22	486.75	511.0	591.22	521.76	651.58	547.75	567.1	540.19	532.74	591.22	441.64	454.09	529.06	603.67	624.99	669.92	647.07	529.06	500.46	693.58	579.04	486.75	543.96	536.45	521.76	511.0	536.45	493.56	616.37	511.0	651.58	624.99	473.41	514.56	529.06	450.94	450.94	429.54	579.04	587.13	555.41	521.76	555.41	500.46	575.03
TAF4B	4.74	1.06	0.0	0.32	29.27	36.01	38.95	81.71	60.82	54.72	93.35	31.0	66.65	60.82	35.76	29.7	56.28	105.89	73.54	64.34	55.1	82.87	33.3	68.55	58.71	21.63	85.82	49.21	73.54	64.8	19.97	44.89	45.85	41.52	60.82	60.82	14.35	30.78	44.89	60.82	24.11	33.3	30.78	26.47	37.85	51.35	98.04	73.03	87.65	55.1	84.63	44.25	47.17	38.12	39.79	68.55	38.67	23.59	45.85	77.25	147.06	28.45	52.82	34.75	12.74	72.01	38.95	40.07	21.78	25.17	29.27	31.45	27.05	31.45	28.86
TAS2R14	15.22	6.73	0.0	0.35	17.9	12.93	22.1	39.5	29.06	32.13	24.46	18.97	31.67	29.48	29.27	23.08	48.18	34.26	33.3	40.93	37.85	37.05	18.56	29.27	21.47	16.63	30.34	35.0	19.68	33.3	17.13	28.45	52.82	6.31	43.94	47.84	18.43	17.13	17.25	25.17	24.11	16.15	34.02	22.75	30.56	17.77	50.63	33.54	29.48	30.78	31.22	13.42	12.74	24.28	33.3	22.1	40.07	19.97	25.54	29.48	26.1	23.25	13.22	21.78	40.07	29.91	20.71	18.7	11.3	49.91	24.63	21.47	27.64	16.88	11.73
TAS2R19	0.0	0.0	0.0	0.29	0.0	2.03	3.44	3.0	6.11	0.0	3.89	1.99	3.47	1.69	3.0	0.0	2.05	8.65	3.56	16.39	7.28	1.68	1.2	8.45	3.76	1.23	2.51	7.06	1.58	6.31	3.23	5.02	6.46	1.75	4.66	4.46	0.0	3.44	3.63	1.19	4.13	2.58	2.07	3.38	9.93	9.41	13.52	0.0	3.72	1.58	1.6	1.17	1.14	1.23	3.96	0.0	5.73	1.58	7.11	5.77	7.94	2.58	4.28	2.86	3.26	3.38	2.25	0.0	4.31	2.03	1.2	1.27	1.16	1.66	0.69
TAS2R31	0.96	0.0	0.0	0.0	1.58	6.67	3.72	4.17	8.51	4.03	6.57	0.89	5.82	3.47	8.13	3.2	6.84	14.67	3.06	8.58	11.82	14.14	2.97	14.78	6.67	1.39	10.39	4.9	2.84	4.74	3.11	3.2	5.63	0.0	8.71	3.86	0.0	2.94	1.41	5.28	6.62	5.02	3.29	2.1	4.82	15.34	14.78	11.3	5.5	4.74	5.96	4.39	4.66	3.5	5.06	0.91	7.82	0.0	8.13	7.88	9.78	0.95	6.06	5.82	3.53	4.46	3.59	4.13	0.93	3.59	1.75	7.46	1.66	0.95	2.51
TBC1D15	301.33	180.02	769.69	130.6	718.08	764.36	642.59	1605.83	1268.46	769.69	1151.06	607.87	1551.09	848.22	647.07	547.75	848.22	981.29	909.17	830.75	743.43	1199.98	688.78	902.89	780.44	529.06	967.76	872.1	620.67	1008.9	954.43	733.19	866.07	603.67	1081.39	954.43	500.46	567.1	764.36	995.0	587.13	563.18	698.41	878.17	665.29	785.88	896.64	1008.9	860.08	836.53	988.12	698.41	872.1	995.0	708.18	1081.39	1073.91	529.06	785.88	1167.14	1143.1	518.15	854.13	665.29	1111.82	1059.11	599.49	748.61	591.22	753.83	603.67	587.13	583.07	559.28	693.58
THAP6	93.35	40.64	0.0	0.09	147.06	205.5	172.65	353.59	363.56	220.32	429.54	202.66	334.46	251.48	182.55	220.32	249.73	314.17	253.23	253.23	273.37	387.02	162.14	323.03	228.13	166.73	507.46	178.77	217.27	341.51	229.72	202.66	194.36	177.53	281.09	241.19	159.9	193.01	172.65	379.04	175.07	132.44	208.38	172.65	223.41	251.48	341.51	287.01	301.33	258.57	228.13	187.71	234.57	190.34	204.07	325.29	239.52	163.28	248.0	275.28	320.8	171.45	197.09	231.32	182.55	353.59	185.11	221.86	194.36	255.0	177.53	190.34	155.5	193.01	170.25
TLE4	56.28	47.17	0.0	0.68	31.45	72.01	135.24	178.77	149.12	105.89	163.28	134.3	182.55	119.26	193.01	152.28	387.02	167.9	236.21	423.61	120.94	180.02	143.01	258.57	71.5	162.14	414.87	37.85	98.04	426.57	194.36	79.45	56.68	129.69	143.01	206.94	45.85	67.59	95.34	169.07	97.36	163.28	140.04	143.01	217.27	305.55	470.14	89.51	60.82	156.59	218.79	97.36	66.65	104.42	100.13	181.28	128.79	42.41	45.85	214.27	138.1	132.44	119.26	125.24	165.57	90.77	234.57	126.12	133.36	197.09	189.02	152.28	81.71	144.01	90.77
TMC5	420.68	3.35	1044.52	285.03	988.12	830.75	679.29	1277.29	2061.24	624.99	2287.2	1359.57	1477.58	1216.75	780.44	301.33	2739.08	5329.3	2400.97	854.13	1674.06	1551.09	400.71	1023.0	1044.52	688.78	3639.7	638.15	1936.53	785.88	813.63	1242.34	460.44	1487.87	1340.84	1268.46	2335.28	1781.89	1001.93	1923.14	312.0	651.58	718.08	348.71	1104.13	457.25	361.04	1359.57	2148.82	1594.73	660.68	1015.93	1135.2	536.45	738.29	2591.27	890.44	457.25	1037.29	1794.29	2287.2	759.08	1407.55	511.0	432.53	1733.13	785.88	825.0	587.13	450.94	595.34	567.1	633.73	743.43	454.09
TMEM52B	1233.75	0.0	0.0	0.06	0.0	5.11	2.58	4.98	3.23	0.0	3.59	1.14	5.02	6.26	2.56	4.1	1.51	4.17	5.15	2.89	4.17	4.39	1.23	3.99	0.21	0.59	2.84	1.69	1.17	9.78	4.94	0.84	1.51	2.41	5.82	1.6	3.38	2.92	0.25	2.86	0.84	1.58	1.2	0.54	2.84	0.22	2.94	2.23	1.48	3.44	1.83	6.84	2.73	1.28	0.91	1.5	3.63	0.0	2.41	1.58	9.56	7.51	2.53	1.79	2.41	1.19	2.41	3.59	3.23	0.85	3.29	1.69	0.84	4.66	1.33
TMEM65	135.24	24.46	0.0	0.43	37.85	45.53	74.58	146.03	126.12	52.82	150.17	66.18	139.07	82.87	67.12	82.87	66.18	209.84	86.43	85.22	73.03	136.19	59.55	92.05	60.82	68.55	218.79	63.89	52.82	104.42	53.95	69.03	51.35	57.08	79.45	126.12	40.64	57.89	55.1	118.43	56.28	52.82	63.45	69.03	84.04	158.79	164.42	90.14	75.64	164.42	102.97	47.5	155.5	64.8	62.56	157.68	102.25	54.33	43.02	119.26	180.02	57.08	125.24	63.89	58.71	85.22	85.22	72.01	43.63	57.89	68.55	67.12	87.03	65.72	54.72
TMF1	81.14	35.76	0.0	0.48	144.01	336.79	253.23	620.67	723.08	132.44	591.22	260.38	679.29	373.81	316.37	237.86	341.51	423.61	381.68	441.64	412.0	571.05	242.88	426.57	358.54	215.77	444.72	251.48	206.94	457.25	518.15	277.2	246.28	232.94	343.89	403.5	119.26	218.79	180.02	559.28	206.94	180.02	332.14	285.03	339.14	429.54	353.59	473.41	466.88	325.29	412.0	212.78	376.41	220.32	273.37	563.18	483.38	130.6	291.04	665.29	543.96	156.59	351.14	241.19	320.8	466.88	327.56	358.54	170.25	327.56	204.07	244.57	215.77	264.03	178.77
TP53INP1	150.17	525.39	0.0	0.23	896.64	842.36	406.31	2075.59	1572.76	514.56	2061.24	1044.52	1286.18	988.12	738.29	1143.1	1331.57	1208.34	921.88	854.13	1081.39	1508.65	426.57	995.0	703.28	579.04	2573.36	796.86	1135.2	884.29	1030.12	660.68	587.13	356.05	808.0	1159.07	529.06	674.59	373.81	1697.45	620.67	403.5	902.89	1286.18	915.51	1427.22	1551.09	1437.15	1167.14	1467.37	1143.1	473.41	1639.59	450.94	493.56	1819.35	1001.93	651.58	1127.35	1594.73	1191.69	547.75	1378.57	470.14	669.92	1023.0	698.41	579.04	638.15	329.84	392.44	353.59	518.15	480.04	348.71
UBE2G1	305.55	441.64	460.44	211.31	454.09	947.83	708.18	1001.93	1583.71	660.68	1583.71	842.36	1605.83	848.22	733.19	587.13	934.76	947.83	854.13	941.27	1051.79	1044.52	728.11	1037.29	698.41	753.83	995.0	529.06	890.44	1073.91	723.08	688.78	684.02	748.61	1008.9	1159.07	698.41	708.18	587.13	1407.55	791.35	698.41	921.88	507.46	595.34	1313.23	1059.11	1199.98	1023.0	1015.93	967.76	743.43	1268.46	660.68	684.02	1378.57	1059.11	599.49	890.44	1216.75	665.29	514.56	748.61	718.08	647.07	1001.93	603.67	830.75	651.58	693.58	651.58	669.92	688.78	665.29	536.45
UBE2Q1	934.76	713.11	0.0	0.71	1225.22	1191.69	1104.13	1277.29	1359.57	1216.75	1540.37	967.76	1250.98	1583.71	1457.23	954.43	1167.14	1427.22	1304.15	1378.57	1529.73	1331.57	909.17	1250.98	1127.35	1313.23	1135.2	981.29	1175.27	1225.22	1313.23	1388.16	1001.93	1037.29	1030.12	1111.82	1605.83	1191.69	1572.76	1183.45	1477.58	961.07	1605.83	1143.1	1159.07	1745.2	1437.15	1199.98	1044.52	1322.37	1111.82	1081.39	1242.34	1175.27	1242.34	1175.27	1151.06	1340.84	954.43	1159.07	1378.57	1340.84	1135.2	928.3	1397.83	1277.29	974.5	1096.5	866.07	1001.93	890.44	1081.39	921.88	1369.04	629.35
UBXN4	291.04	334.46	0.0	0.83	961.07	1594.73	1199.98	2451.44	2468.49	1639.59	2255.7	1561.89	2468.49	1794.29	1378.57	1447.15	1359.57	1909.85	1950.0	1950.0	1709.26	2319.15	1259.69	1950.0	1487.87	1183.45	2645.74	1277.29	1378.57	2287.2	1685.71	1407.55	1674.06	1167.14	1936.53	2047.0	769.69	1259.69	813.63	2335.28	1407.55	1059.11	1617.0	802.41	1498.22	2075.59	2255.7	1977.24	2004.85	2178.83	1923.14	1051.79	1639.59	1277.29	1119.56	2485.67	1781.89	769.69	1540.37	2255.7	1963.57	748.61	1508.65	1286.18	1769.57	2018.8	1135.2	1583.71	1059.11	1477.58	1233.75	1030.12	1359.57	1233.75	753.83
UGGT2	143.01	45.21	0.0	0.62	212.78	249.73	158.79	301.33	299.25	253.23	341.51	228.13	249.73	283.05	189.02	193.01	277.2	339.14	366.09	293.07	249.73	325.29	221.86	303.44	211.31	156.59	368.65	285.03	191.67	316.37	217.27	217.27	363.56	197.09	334.46	397.93	189.02	164.42	224.97	387.02	221.86	164.42	220.32	130.6	218.79	199.85	363.56	176.29	353.59	229.72	287.01	180.02	180.02	217.27	256.78	318.57	334.46	236.21	305.55	480.04	273.37	151.22	199.85	209.84	236.21	381.68	170.25	155.5	133.36	205.5	167.9	172.65	189.02	130.6	126.12
