	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QBU.1826.SM.5IJG3	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.QESD.0726.SM.4R1KQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145LU.1326.SM.5LU9N	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8487.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
KCNA6	33.3	5.32	11.73	5.45	9.93	8.65	5.68	7.88	3.96	9.06	1.81	1.66	3.82	6.62	17.25	14.56	9.7	36.27	15.56	9.7	19.25	13.52	32.36	17.0	0.0	0.0	0.46	0.93	0.4	2.73	0.0	1.85	2.1	2.1	0.43	1.77	3.96	3.53	0.0	0.44	0.0	0.0	0.6	0.0	1.33	0.0	1.77	0.51	0.0	0.55	0.0	1.81	0.0	0.46	0.55	0.49	0.6	9.56	0.45	26.67	8.71	2.05	0.62	3.38	17.13	23.76	1.17	12.27	24.99	16.63	1.28	7.06	2.48	0.8	8.65	0.56
KCNMB1	11189.6	22.59	39.22	25.17	343.89	15.45	480.04	228.13	529.06	547.75	25.35	19.82	163.28	74.06	1709.26	928.3	728.11	1883.54	1304.15	1427.22	808.0	836.53	915.51	934.76	11.3	13.12	19.82	24.63	15.91	21.16	43.63	48.52	217.27	23.76	21.32	8.99	33.54	32.13	14.03	5.23	8.65	6.06	4.74	3.29	6.84	1.93	3.5	2.27	5.41	7.06	34.51	3.17	4.78	7.94	2.05	1.1	2.32	379.04	18.84	1268.46	2485.67	185.11	470.14	232.94	1030.12	1233.75	70.51	2335.28	2351.53	2209.26	67.12	928.3	264.03	23.59	56.68	18.29
KHNYN	802.41	796.86	1001.93	1369.04	684.02	1059.11	1175.27	775.05	1208.34	718.08	909.17	872.1	647.07	981.29	934.76	780.44	1369.04	967.76	1225.22	1216.75	836.53	571.05	836.53	1008.9	221.86	226.54	381.68	214.27	206.94	303.44	248.0	395.18	620.67	392.44	392.44	293.07	373.81	281.09	260.38	332.14	154.42	161.02	191.67	205.5	183.82	441.64	305.55	214.27	201.25	173.85	175.07	255.0	221.86	232.94	346.29	90.14	329.84	1119.56	507.46	723.08	551.56	454.09	599.49	595.34	967.76	974.5	400.71	529.06	638.15	748.61	995.0	599.49	397.93	435.55	454.09	246.28
KIAA1644	1909.85	6.89	12.64	3.11	131.51	6.06	107.38	40.93	255.0	138.1	11.82	7.34	51.35	6.57	67.59	135.24	156.59	152.28	244.57	154.42	178.77	88.26	153.34	81.14	0.91	0.49	0.96	60.39	0.42	2.03	29.7	1.89	5.92	60.82	205.5	4.9	13.42	8.0	0.0	0.49	0.87	1.28	0.95	1.36	6.62	0.32	1.81	0.79	1.45	1.39	1.41	1.31	2.32	2.1	1.38	0.3	0.95	138.1	2.86	169.07	769.69	55.49	8.51	48.52	376.41	423.61	2.53	490.14	587.13	796.86	6.46	112.77	13.22	2.29	28.86	1.03
KIF13A	1015.93	389.72	417.77	476.71	693.58	412.0	595.34	435.55	860.08	656.11	426.57	480.04	397.93	660.68	713.11	651.58	363.56	967.76	624.99	825.0	629.35	890.44	825.0	624.99	638.15	161.02	194.36	228.13	212.78	262.2	339.14	318.57	353.59	470.14	295.11	450.94	490.14	490.14	194.36	1073.91	493.56	241.19	299.25	536.45	256.78	309.83	217.27	660.68	297.17	316.37	480.04	223.41	234.57	212.78	403.5	96.01	285.03	718.08	379.04	612.11	785.88	579.04	438.59	463.65	902.89	896.64	426.57	796.86	733.19	947.83	320.8	490.14	420.68	583.07	356.05	297.17
KIF5A	265.87	18.56	14.89	31.9	39.79	12.09	24.46	51.35	34.26	30.56	19.25	10.96	17.77	46.84	51.35	45.85	53.19	122.64	66.65	19.82	64.34	15.91	77.25	29.48	2.25	23.25	22.26	1.43	21.16	3.56	4.35	2.81	3.79	1.69	6.16	12.0	15.45	13.83	0.0	0.84	0.0	0.0	1.28	0.62	1.3	1.28	1.27	0.35	0.44	0.17	0.0	0.0	0.0	1.73	0.0	0.32	0.0	26.86	1.79	78.89	30.78	3.66	2.73	7.94	75.64	59.13	6.62	102.25	164.42	80.57	4.5	12.18	4.43	37.85	8.19	9.56
LDB1	3589.58	607.87	703.28	825.0	708.18	674.59	1143.1	830.75	1135.2	1030.12	674.59	567.1	555.41	679.29	2178.83	1250.98	1662.49	1662.49	3039.3	2075.59	1135.2	981.29	1819.35	1167.14	830.75	934.76	928.3	688.78	884.29	684.02	748.61	620.67	1208.34	915.51	1059.11	796.86	1088.92	813.63	728.11	698.41	444.72	170.25	426.57	265.87	267.73	414.87	208.38	140.04	234.57	267.73	262.2	236.21	229.72	180.02	258.57	65.72	275.28	1199.98	518.15	1498.22	1407.55	890.44	738.29	713.11	1594.73	1407.55	703.28	1617.0	1806.78	2018.8	802.41	1023.0	748.61	1651.0	1199.98	525.39
LDB3	5076.84	43.02	44.57	30.56	144.01	24.28	159.9	99.43	305.55	255.0	24.28	24.99	79.45	92.05	2224.63	1447.15	551.56	1844.76	2537.92	896.64	1295.13	995.0	1250.98	353.59	3.66	1.99	18.97	7.22	10.63	50.27	26.86	44.89	66.18	4.31	14.24	26.47	66.65	86.43	0.84	3.41	2.58	1.17	5.02	2.41	7.88	5.28	6.84	1.89	5.19	7.94	14.03	9.78	5.19	10.79	14.14	0.91	5.92	183.82	5.82	698.41	1991.0	72.52	105.89	65.26	866.07	921.88	10.71	1467.37	1674.06	1594.73	57.89	395.18	540.19	9.48	32.13	14.14
LIMS2	51775.15	406.31	688.78	480.04	2451.44	438.59	3768.09	1617.0	2502.97	3564.78	529.06	389.72	848.22	830.75	10733.74	7749.1	5633.22	6164.49	10225.32	5872.48	8191.0	10883.59	7911.95	7749.1	118.43	175.07	525.39	363.56	329.84	775.05	525.39	1551.09	1135.2	226.54	444.72	575.03	1051.79	703.28	902.89	647.07	718.08	521.76	1437.15	1977.24	2240.11	1685.71	1594.73	1183.45	2178.83	1322.37	4639.29	995.0	1104.13	2224.63	1268.46	248.0	2400.97	1304.15	122.64	5329.3	7803.01	854.13	1870.53	607.87	5441.3	4181.07	351.14	9215.48	8658.09	8963.45	713.11	3768.09	1519.15	1199.98	1183.45	1268.46
LMOD1	39237.98	312.0	579.04	293.07	2209.26	371.22	3081.75	1359.57	5041.77	3419.52	299.25	363.56	842.36	1008.9	11267.44	5711.87	5555.65	14361.31	10808.41	9409.14	6792.79	9215.48	7537.18	7433.4	47.5	23.76	158.79	63.0	35.25	161.02	223.41	264.03	693.58	102.97	208.38	170.25	392.44	620.67	12.0	57.08	83.45	23.59	29.7	79.45	283.05	24.81	32.59	24.28	63.45	98.04	346.29	68.55	34.26	172.65	27.44	22.26	49.21	2400.97	130.6	6426.31	15392.14	947.83	2400.97	1143.1	8421.31	10084.54	395.18	16960.78	14765.09	16496.96	575.03	8901.53	3280.18	139.07	343.89	165.57
MAMDC2	1540.37	167.9	142.01	242.88	595.34	183.82	624.99	429.54	693.58	555.41	96.01	133.36	120.1	457.25	651.58	1143.1	353.59	842.36	551.56	273.37	902.89	1216.75	890.44	1674.06	7.88	1.39	11.47	16.63	12.64	31.45	30.78	46.84	22.26	22.75	24.63	28.86	68.07	61.25	2.32	5.45	3.66	18.29	11.47	2.73	10.55	4.98	6.52	9.7	11.82	43.63	15.91	72.01	5.32	19.11	7.34	3.99	6.21	291.04	5.28	218.79	412.0	85.22	120.94	58.71	368.65	486.75	16.39	995.0	1030.12	1295.13	204.07	1832.01	244.57	16.75	111.99	73.03
MARVELD1	2133.97	591.22	813.63	612.11	688.78	540.19	780.44	698.41	941.27	1023.0	612.11	860.08	780.44	802.41	3146.52	1697.45	1119.56	2061.24	2895.31	995.0	1721.16	2133.97	2061.24	1721.16	59.55	37.32	129.69	54.33	108.9	55.49	154.42	287.01	674.59	309.83	152.28	121.79	269.6	186.4	167.9	35.0	32.59	74.06	61.68	93.35	132.44	41.52	78.34	22.59	76.17	153.34	316.37	106.63	63.45	41.81	75.64	25.17	142.01	884.29	197.09	1259.69	2133.97	759.08	660.68	543.96	1936.53	1794.29	432.53	1340.84	1806.78	1844.76	165.57	961.07	483.38	255.0	1059.11	153.34
MATN2	2061.24	928.3	718.08	890.44	1583.71	842.36	1111.82	1477.58	1015.93	866.07	848.22	1135.2	583.07	1709.26	3443.31	4575.41	3257.52	1628.26	4543.8	1697.45	3794.3	2875.3	5711.87	1104.13	61.68	170.25	131.51	88.26	260.38	728.11	163.28	460.44	363.56	674.59	480.04	759.08	967.76	1059.11	579.04	2193.99	384.34	312.0	1350.18	633.73	595.34	1487.87	723.08	343.89	660.68	417.77	1605.83	684.02	698.41	353.59	915.51	120.94	587.13	1277.29	26.1	1250.98	1199.98	753.83	476.71	323.03	830.75	1159.07	70.01	1594.73	1508.65	1709.26	248.0	1015.93	656.11	1008.9	356.05	1639.59
MEIS1	4937.99	105.89	107.38	100.83	400.71	105.89	466.88	260.38	579.04	718.08	60.82	105.15	173.85	195.72	1498.22	1794.29	2090.03	1745.2	2287.2	909.17	2303.12	1745.2	2018.8	1909.85	49.56	8.45	16.39	450.94	43.32	26.28	125.24	161.02	220.32	81.14	224.97	136.19	325.29	195.72	5.73	35.25	48.52	53.57	45.21	91.41	169.07	61.25	47.5	35.0	74.06	117.6	154.42	95.34	75.11	66.18	71.0	17.77	66.18	480.04	75.11	1081.39	2209.26	301.33	813.63	303.44	1467.37	1605.83	249.73	2796.65	2468.49	3235.01	175.07	1066.48	264.03	50.27	136.19	25.54
MEOX1	194.36	33.78	82.29	19.39	50.63	49.21	77.79	35.5	28.45	90.14	67.59	9.41	60.82	204.07	271.48	356.05	108.9	228.13	75.64	285.03	185.11	329.84	78.34	150.17	2.23	0.48	7.46	2.81	0.0	2.51	0.97	24.81	7.11	5.02	0.44	1.77	1.99	2.23	0.0	3.66	5.68	1.81	18.97	6.06	20.26	0.0	2.2	3.53	2.48	0.0	16.39	2.25	0.95	1.97	0.0	0.0	7.75	94.67	4.82	78.89	105.89	85.22	55.1	45.21	122.64	155.5	10.88	117.6	198.47	180.02	53.57	38.4	71.0	29.48	133.36	10.16
MFAP4	12502.12	4388.98	2664.15	1628.26	1844.76	688.78	1769.57	1794.29	1286.18	2758.13	660.68	373.81	2193.99	5479.15	21468.49	19214.73	9808.75	11827.67	15075.35	4575.41	27745.15	18689.27	26248.46	9945.68	16.39	4.5	579.04	26.47	135.24	2240.11	186.4	25.17	1037.29	551.56	1135.2	759.08	1295.13	1096.5	376.41	29.7	103.69	902.89	1721.16	2935.74	3280.18	314.17	866.07	395.18	1388.16	1923.14	5255.91	2451.44	239.52	1143.1	571.05	384.34	6426.31	4972.34	264.03	6207.38	24832.5	2303.12	5292.48	2032.85	7130.55	7130.55	854.13	11035.54	10084.54	9540.5	1685.71	29327.18	5913.33	66.18	2400.97	19.53
MICALL1	5831.91	231.32	229.72	220.32	435.55	206.94	497.0	348.71	656.11	507.46	217.27	211.31	249.73	206.94	1286.18	450.94	381.68	1685.71	1268.46	902.89	629.35	698.41	872.1	314.17	285.03	358.54	775.05	327.56	381.68	251.48	447.82	215.77	202.66	595.34	493.56	234.57	215.77	249.73	112.77	189.02	159.9	77.25	89.51	73.03	43.63	116.78	90.14	118.43	73.03	120.1	66.18	143.01	133.36	61.25	102.25	134.3	85.82	941.27	267.73	1369.04	3124.78	493.56	543.96	587.13	1594.73	1617.0	314.17	2758.13	3515.68	2739.08	2335.28	1051.79	2018.8	244.57	190.34	669.92
MOB2	9344.14	780.44	808.0	802.41	1104.13	830.75	1183.45	1023.0	1397.83	1447.15	703.28	769.69	854.13	954.43	2591.27	1529.73	1437.15	2400.97	2701.35	1639.59	1685.71	2209.26	2224.63	1745.2	866.07	902.89	1073.91	1059.11	591.22	571.05	1447.15	769.69	638.15	426.57	599.49	493.56	629.35	620.67	423.61	511.0	660.68	346.29	463.65	518.15	406.31	400.71	323.03	332.14	412.0	412.0	397.93	403.5	616.37	698.41	356.05	351.14	486.75	753.83	503.95	1369.04	1104.13	490.14	1096.5	647.07	1259.69	1369.04	679.29	1819.35	1674.06	1769.57	688.78	1551.09	836.53	743.43	647.07	915.51
MORN5	19482.97	0.0	6.06	0.0	162.14	4.03	237.86	115.16	320.8	271.48	5.92	0.0	228.13	0.0	209.84	92.7	32.36	204.07	110.43	124.37	72.52	88.26	96.68	61.68	0.0	2.86	0.0	0.0	15.56	10.63	0.0	47.84	136.19	9.2	4.82	32.13	39.79	48.18	246.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	132.44	0.0	366.09	2224.63	81.71	55.89	122.64	559.28	607.87	0.0	2434.5	1745.2	1923.14	38.12	384.34	0.0	5.73	0.0	7.94
MPZ	764.36	133.36	96.68	96.01	113.56	92.7	153.34	327.56	147.06	194.36	84.63	61.25	180.02	191.67	612.11	947.83	1051.79	599.49	1127.35	420.68	1183.45	441.64	2047.0	403.5	15.56	8.92	53.95	23.59	16.15	57.49	32.59	96.68	72.52	31.45	42.71	14.14	72.52	42.11	24.99	307.69	1498.22	8.45	20.26	19.53	28.45	60.82	20.11	13.32	13.12	21.16	62.56	46.18	42.11	65.26	21.16	28.86	6.21	36.01	80.57	198.47	129.69	69.03	30.12	57.89	141.02	299.25	8.13	490.14	497.0	651.58	84.63	189.02	76.17	49.21	43.63	56.68
MRGPRF	14867.79	84.63	147.06	95.34	854.13	99.43	583.07	575.03	1721.16	1104.13	156.59	75.64	483.38	277.2	3589.58	1832.01	1519.15	3235.01	2502.97	2133.97	2303.12	2895.31	2609.3	1407.55	7.69	1.99	25.54	18.56	8.65	1268.46	46.84	26.28	52.08	14.03	56.68	262.2	438.59	161.02	4.06	3.89	8.32	55.1	376.41	289.02	444.72	204.07	39.5	1096.5	85.22	251.48	318.57	218.79	90.14	59.55	31.9	12.83	454.09	1277.29	127.0	2367.9	4038.61	551.56	733.19	493.56	3168.41	3212.66	154.42	5041.77	5954.47	5913.33	122.64	1268.46	320.8	120.94	149.12	29.48
MSRB3	11745.96	117.6	143.01	115.16	688.78	74.06	813.63	441.64	1167.14	884.29	96.68	73.54	314.17	309.83	1832.01	1651.0	1151.06	3564.78	1909.85	2777.33	1340.84	1540.37	1819.35	1304.15	52.08	30.56	60.39	89.51	52.08	518.15	214.27	460.44	559.28	246.28	221.86	299.25	387.02	353.59	30.34	39.22	41.22	45.53	37.05	72.01	239.52	23.42	32.36	27.64	74.06	116.78	201.25	78.89	86.43	129.69	47.84	14.03	77.79	1119.56	82.87	1540.37	5954.47	376.41	665.29	571.05	2591.27	3303.0	164.42	4450.27	3742.05	4268.94	138.1	1407.55	583.07	194.36	629.35	143.01
MT-ATP8	1085552.95	3832885.91	3454390.1	3601083.44	2392353.91	2825352.59	2053992.24	4987895.16	2141216.62	2392353.91	3406832.48	3502611.6	2884719.27	3223059.86	2359417.65	2053992.24	2326934.84	1825675.85	2082664.91	2310861.52	2082664.91	3156730.23	2459612.16	2343119.96	3551506.25	5308966.95	3134925.09	5057523.59	4252853.3	3178687.03	4079609.54	3313672.43	3178687.03	3676749.88	4919225.32	2729110.67	3178687.03	3134925.09	4342214.81	3454390.1	2039804.27	2375828.71	2965819.8	2442622.37	3200796.55	2232145.06	2375828.71	2511293.86	2599854.48	3007221.12	2767207.65	2581895.97	2201414.44	2493947.08	2564061.5	2408994.05	3178687.03	3995652.37	2546350.23	2156109.97	2039804.27	3832885.91	2748093.15	2476720.12	2232145.06	1956711.0	4653870.67	2375828.71	2068278.89	2845004.48	3601083.44	2476720.12	3502611.6	3406832.48	5128124.01	3728075.41
MYLK	218912.29	629.35	665.29	591.22	8421.31	616.37	10733.74	4802.93	14262.1	8658.09	420.68	698.41	3395.89	1617.0	6792.79	5112.16	4639.29	25354.3	6652.97	21172.91	4298.64	3349.13	4802.93	3955.48	305.55	135.24	195.72	341.51	384.34	785.88	934.76	2224.63	2591.27	1104.13	974.5	2287.2	2047.0	3124.78	400.71	808.0	633.73	624.99	318.57	967.76	1427.22	426.57	679.29	406.31	813.63	1467.37	1322.37	808.0	543.96	579.04	796.86	180.02	934.76	10440.2	214.27	17927.91	73221.53	4038.61	5711.87	4543.8	27745.15	38697.77	947.83	46339.95	46662.28	47974.16	819.3	10659.59	2682.69	665.29	1191.69	607.87
MYOCD	2004.85	25.91	30.78	22.75	178.77	17.38	271.48	85.22	295.11	155.5	28.04	19.25	71.5	39.5	329.84	454.09	329.84	1119.56	454.09	674.59	358.54	221.86	368.65	289.02	0.89	0.96	2.34	3.29	1.22	111.21	13.83	35.5	60.39	8.32	10.0	10.16	32.59	42.41	6.67	1.11	7.51	1.45	10.0	1.25	18.7	1.97	0.8	2.73	3.96	5.54	24.81	2.39	4.35	17.64	1.68	1.13	2.76	483.38	4.5	511.0	1651.0	176.29	206.94	155.5	713.11	878.17	17.25	1594.73	1313.23	2018.8	29.7	414.87	137.14	6.89	13.62	5.15
MYOT	555.41	51.35	78.89	56.68	90.77	47.84	101.54	127.0	64.34	78.34	60.39	27.44	63.0	74.58	217.27	633.73	1242.34	258.57	684.02	381.68	642.59	269.6	743.43	684.02	14.89	5.87	38.4	8.19	57.49	37.05	49.21	57.08	287.01	7.75	10.79	14.45	36.79	50.63	2.05	0.0	0.0	1.04	5.06	6.94	5.73	2.51	11.47	9.48	16.75	11.64	17.13	2.53	5.54	15.34	11.82	11.82	11.47	44.89	1.55	91.41	181.28	8.85	9.34	46.5	135.24	181.28	2.05	575.03	348.71	444.72	56.68	273.37	72.52	6.41	7.06	83.45
NACC2	3982.99	116.78	137.14	141.02	343.89	128.79	392.44	208.38	555.41	397.93	135.24	108.9	144.01	151.22	647.07	429.54	748.61	848.22	638.15	1167.14	373.81	400.71	521.76	371.22	145.02	143.01	170.25	134.3	301.33	356.05	182.55	152.28	185.11	234.57	187.71	237.86	265.87	239.52	181.28	239.52	198.47	105.89	80.01	63.0	58.3	83.45	72.01	71.0	83.45	111.21	65.26	126.12	117.6	80.01	80.57	63.45	65.26	764.36	102.25	713.11	1832.01	264.03	271.48	435.55	1388.16	1651.0	80.57	1662.49	1781.89	2133.97	140.04	353.59	258.57	194.36	122.64	108.9
NCS1	39237.98	56.28	62.56	47.17	514.56	36.01	571.05	363.56	947.83	698.41	42.71	43.32	249.73	100.13	1936.53	1427.22	1844.76	1963.57	2163.77	1781.89	1519.15	1745.2	1508.65	813.63	8.65	12.18	16.15	28.65	221.86	81.71	27.44	71.5	138.1	320.8	47.5	490.14	283.05	414.87	497.0	55.1	5.77	30.12	6.31	14.35	95.34	7.94	13.22	6.73	16.75	103.69	60.82	37.05	20.71	55.1	9.7	10.71	7.88	483.38	120.1	1259.69	2417.67	155.5	253.23	271.48	1883.54	2018.8	121.79	2075.59	1923.14	1857.6	72.52	802.41	239.52	237.86	228.13	181.28
NDN	1769.57	242.88	195.72	177.53	575.03	195.72	423.61	403.5	483.38	638.15	127.0	175.07	341.51	447.82	1119.56	1008.9	525.39	1233.75	1008.9	616.37	743.43	1259.69	1378.57	583.07	32.59	31.22	49.21	70.51	148.09	166.73	78.89	620.67	191.67	75.64	285.03	303.44	409.15	242.88	37.85	31.9	38.4	97.36	49.21	241.19	226.54	19.25	60.39	36.01	220.32	105.89	145.02	107.38	175.07	35.0	85.82	11.3	171.45	406.31	125.24	813.63	1151.06	223.41	397.93	325.29	830.75	896.64	206.94	1529.73	1674.06	1551.09	234.57	848.22	389.72	532.74	457.25	325.29
NEGR1	1477.58	54.72	100.83	79.45	281.09	58.71	256.78	194.36	346.29	273.37	49.91	37.85	103.69	169.07	493.56	595.34	583.07	733.19	624.99	575.03	591.22	476.71	718.08	915.51	1.36	0.0	4.24	0.97	33.78	85.82	3.41	323.03	117.6	24.28	60.82	209.84	423.61	341.51	0.82	0.0	0.0	2.61	5.63	3.03	23.25	0.78	4.66	5.23	6.01	5.73	21.94	7.46	1.75	18.56	12.55	5.68	12.18	318.57	14.35	457.25	1191.69	88.88	209.84	122.64	718.08	902.89	59.13	1397.83	1242.34	1540.37	108.9	909.17	202.66	11.13	88.26	2.94
NEXN	8479.89	112.77	156.59	122.64	647.07	137.14	587.13	293.07	1322.37	854.13	119.26	112.77	323.03	303.44	1359.57	2351.53	473.41	3768.09	2119.22	1583.71	1286.18	1322.37	1159.07	1639.59	457.25	480.04	199.85	309.83	59.97	55.89	473.41	88.26	336.79	57.08	603.67	155.5	159.9	239.52	116.78	26.47	33.06	61.25	26.47	110.43	218.79	15.56	64.8	17.38	118.43	246.28	142.01	129.69	58.3	166.73	81.14	55.49	28.65	1639.59	180.02	3467.27	14765.09	866.07	1540.37	656.11	4903.87	3928.15	429.54	7230.1	7331.05	7032.37	224.97	2119.22	1015.93	191.67	381.68	127.89
NKX3-2	2032.85	5.19	10.39	4.82	125.24	3.92	88.26	41.52	116.78	172.65	5.23	5.15	31.22	11.47	136.19	231.32	31.22	99.43	172.65	21.94	121.79	166.73	187.71	95.34	0.0	0.48	0.47	0.0	0.41	0.0	0.49	0.0	0.43	1.28	0.89	0.45	1.5	0.89	0.0	0.56	0.0	0.0	0.83	0.0	0.83	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.71	0.0	0.0	273.37	12.83	27.05	507.46	53.19	3.35	7.22	35.25	117.6	40.64	258.57	547.75	429.54	8.06	73.54	5.68	1.36	73.03	1.08
NNAT	10585.95	19.97	48.52	31.9	229.72	43.32	223.41	172.65	186.4	239.52	82.87	30.34	98.73	36.53	104.42	69.52	55.1	117.6	84.04	220.32	105.89	57.89	115.97	78.89	1.41	19.53	9.13	8.71	7.46	21.16	36.79	6.21	34.26	25.35	51.35	11.38	20.86	5.02	29.27	13.03	8.78	1.75	6.36	2.94	5.5	14.78	2.1	6.16	7.0	7.0	4.54	5.02	8.92	1.2	11.47	2.58	4.5	314.17	13.52	208.38	981.29	144.01	110.43	96.68	325.29	470.14	139.07	4210.15	4836.35	5672.41	44.57	183.82	36.53	4.03	62.56	3.63
NOS1	961.07	0.37	1.03	1.31	8.38	0.36	5.82	7.69	14.14	13.93	0.71	0.0	3.47	1.79	0.0	1.95	1.93	90.77	5.77	3.26	15.68	0.0	20.86	5.02	0.0	0.0	0.45	0.0	3.2	26.67	0.47	1.38	0.83	12.83	5.63	133.36	70.01	122.64	0.0	0.0	0.37	0.0	1.99	0.0	2.01	0.65	0.64	0.0	0.73	0.69	3.11	0.65	0.64	0.56	0.0	0.0	1.97	7.11	0.0	38.95	11.64	0.36	2.34	0.64	39.79	28.45	0.85	57.08	121.79	23.76	2.03	16.39	5.23	1.39	0.46	2.05
NRXN1	441.64	20.71	27.25	30.56	50.63	27.25	47.84	49.56	39.22	47.5	23.59	16.63	35.0	59.13	170.25	559.28	603.67	165.57	536.45	170.25	438.59	262.2	571.05	281.09	0.0	0.95	6.52	0.46	1.6	5.73	0.0	0.45	0.41	2.92	1.31	8.38	23.76	34.75	0.0	0.0	0.0	0.0	2.27	6.16	6.46	11.04	5.02	1.25	3.69	2.86	7.34	1.27	4.39	8.32	0.92	1.58	2.25	59.13	0.93	54.33	158.79	18.7	9.7	46.5	95.34	151.22	3.38	438.59	309.83	450.94	30.56	82.29	20.86	0.0	5.23	0.0
NXPH3	638.15	12.36	21.16	22.26	126.12	12.36	194.36	50.98	183.82	154.42	13.12	13.03	71.0	37.59	327.56	198.47	84.63	242.88	217.27	90.77	180.02	223.41	271.48	197.09	7.17	16.27	26.1	6.16	6.89	7.34	21.63	42.11	45.53	10.96	19.39	21.16	21.32	22.1	1.6	5.63	3.5	2.53	6.89	1.1	7.69	7.11	5.06	2.07	3.03	2.89	10.71	9.27	3.82	4.54	3.47	0.52	4.58	107.38	5.87	214.27	291.04	23.93	84.04	36.79	260.38	228.13	42.71	309.83	395.18	612.11	36.79	215.77	101.54	47.5	84.63	18.56
OSBPL5	1427.22	275.28	743.43	435.55	438.59	366.09	603.67	723.08	571.05	536.45	323.03	387.02	373.81	575.03	995.0	890.44	1015.93	629.35	1250.98	718.08	961.07	607.87	708.18	961.07	59.97	81.71	98.73	128.79	111.21	228.13	164.42	361.04	241.19	111.99	175.07	129.69	191.67	249.73	332.14	50.98	26.67	54.72	63.45	33.78	108.14	9.13	44.89	9.48	78.34	145.02	26.67	46.84	60.39	98.73	68.07	48.18	43.32	785.88	379.04	679.29	1286.18	583.07	493.56	521.76	1051.79	1119.56	466.88	967.76	1088.92	954.43	246.28	647.07	295.11	221.86	341.51	186.4
