	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
MIB2	514.56	373.81	486.75	616.37	1167.14	836.53	231.32	579.04	327.56	237.86	429.54	297.17	343.89	255.0	183.82	142.01	167.9	173.85	148.09	150.17	387.02	269.6	175.07	215.77	400.71	295.11	301.33	241.19	130.6	303.44	146.03	106.63	170.25	409.15	460.44	214.27	1096.5	819.3	896.64	1135.2	2090.03	1304.15	1397.83	1437.15	612.11	669.92	595.34	775.05	1322.37	1397.83	954.43	947.83	995.0	1617.0	1350.18	1135.2	575.03	753.83	974.5	397.93	769.69	764.36	1175.27	665.29	1191.69	2178.83	802.41	743.43	1175.27	1008.9	1104.13	974.5	1001.93	1733.13	928.3	808.0	1832.01	1008.9	1407.55	791.35	674.59	1081.39	1088.92	791.35	836.53	1175.27	995.0	1001.93	1477.58	928.3	1143.1	1104.13	1051.79	854.13	392.44	961.07	1331.57	1519.15	688.78	679.29	1295.13	902.89	1216.75	723.08	866.07	909.17	928.3	902.89	256.78	974.5	1277.29	1216.75	473.41	1127.35	921.88	967.76	934.76	848.22	1183.45	669.92	1135.2	2148.82	1427.22	860.08	896.64	780.44	934.76	679.29	656.11	629.35	743.43	854.13	1733.13	1081.39	551.56	1081.39	358.54	1088.92	825.0	647.07	1051.79	967.76	571.05	1331.57	954.43	1388.16	909.17	1081.39	1183.45	723.08	909.17	808.0	665.29	2451.44	1208.34	1745.2	1044.52	620.67	1378.57	647.07	743.43	1066.48	909.17	1183.45	1617.0	1662.49	813.63	854.13	872.1	1407.55	1066.48	1551.09	748.61	738.29	1350.18	995.0	1030.12	941.27	642.59	1199.98	974.5	1216.75	728.11
MPZ	44.89	43.02	17.9	66.18	36.53	43.32	27.84	75.11	15.45	13.42	38.67	23.76	23.76	18.7	14.67	33.78	43.63	150.17	12.36	17.0	6.67	40.93	18.97	13.83	23.59	22.59	15.45	14.14	31.45	24.28	13.32	13.83	35.76	39.5	23.08	19.97	85.22	70.01	32.59	57.49	94.01	105.89	108.9	50.27	32.13	30.34	46.84	43.63	88.88	82.29	29.91	102.97	70.51	45.85	71.0	50.63	50.27	72.52	49.21	46.84	48.87	60.82	45.21	44.89	87.03	84.04	39.5	38.95	86.43	78.34	64.8	83.45	63.45	55.1	85.22	31.67	59.97	66.18	101.54	34.26	49.21	48.87	71.0	52.45	51.35	65.72	64.8	63.0	60.82	37.32	67.59	68.55	32.36	70.51	42.11	44.89	81.14	82.87	38.4	14.67	65.26	50.27	48.52	21.47	30.78	55.89	50.27	32.82	43.63	72.01	88.88	93.35	40.64	71.5	55.49	59.97	92.7	56.28	86.43	38.12	94.67	85.82	77.25	49.91	58.3	58.71	48.18	42.71	40.93	38.67	21.47	84.04	70.51	38.67	28.24	66.18	35.76	70.51	36.27	43.02	78.89	51.71	49.56	65.72	55.89	84.04	53.95	96.68	29.91	88.26	138.1	86.43	24.46	66.65	65.26	36.01	49.21	31.22	102.97	64.34	53.57	42.41	57.49	57.89	46.84	50.27	63.0	43.63	82.87	97.36	59.55	68.07	45.21	50.98	88.88	63.45	63.45	62.56	46.84	81.14	64.8	81.14	58.3
MSANTD2	150.17	199.85	99.43	199.85	171.45	143.01	89.51	420.68	93.35	60.39	51.35	163.28	84.63	100.13	172.65	130.6	54.72	66.18	64.34	102.25	98.73	67.12	154.42	62.12	78.89	150.17	114.36	99.43	78.34	94.01	152.28	85.82	51.35	81.14	76.71	74.58	316.37	283.05	253.23	339.14	447.82	417.77	301.33	366.09	169.07	242.88	285.03	265.87	417.77	493.56	124.37	392.44	273.37	417.77	312.0	299.25	323.03	246.28	316.37	309.83	251.48	305.55	289.02	305.55	260.38	432.53	285.03	283.05	384.34	316.37	412.0	371.22	343.89	363.56	299.25	264.03	466.88	195.72	389.72	244.57	199.85	463.65	343.89	395.18	234.57	480.04	289.02	307.69	376.41	214.27	363.56	264.03	255.0	432.53	194.36	186.4	361.04	480.04	361.04	166.73	361.04	346.29	231.32	293.07	295.11	312.0	343.89	299.25	248.0	228.13	435.55	314.17	158.79	249.73	281.09	249.73	603.67	381.68	336.79	204.07	529.06	518.15	518.15	287.01	423.61	267.73	239.52	186.4	260.38	167.9	173.85	246.28	397.93	178.77	223.41	262.2	138.1	264.03	242.88	248.0	275.28	339.14	318.57	409.15	273.37	476.71	368.65	332.14	256.78	223.41	267.73	316.37	149.12	723.08	460.44	483.38	271.48	171.45	358.54	260.38	189.02	309.83	220.32	368.65	567.1	438.59	283.05	217.27	323.03	450.94	371.22	305.55	217.27	228.13	371.22	376.41	297.17	279.14	208.38	363.56	246.28	291.04	279.14
MZF1	128.79	246.28	175.07	194.36	256.78	503.95	92.7	194.36	265.87	133.36	183.82	234.57	212.78	193.01	244.57	163.28	231.32	141.02	211.31	145.02	236.21	189.02	195.72	186.4	256.78	323.03	281.09	114.36	137.14	299.25	165.57	209.84	93.35	303.44	195.72	115.97	728.11	447.82	591.22	733.19	1119.56	872.1	902.89	713.11	318.57	438.59	457.25	438.59	860.08	967.76	486.75	616.37	616.37	902.89	753.83	813.63	435.55	555.41	563.18	312.0	571.05	536.45	624.99	395.18	525.39	947.83	500.46	493.56	733.19	518.15	638.15	733.19	629.35	974.5	555.41	529.06	1143.1	529.06	1044.52	450.94	490.14	620.67	708.18	507.46	409.15	872.1	603.67	511.0	848.22	457.25	780.44	633.73	518.15	759.08	256.78	575.03	703.28	872.1	423.61	426.57	860.08	753.83	543.96	532.74	493.56	483.38	514.56	532.74	277.2	688.78	769.69	825.0	314.17	591.22	518.15	679.29	547.75	559.28	769.69	334.46	813.63	1111.82	1001.93	518.15	674.59	583.07	466.88	480.04	412.0	339.14	423.61	660.68	723.08	536.45	301.33	718.08	248.0	693.58	392.44	463.65	693.58	543.96	400.71	954.43	620.67	848.22	660.68	647.07	624.99	536.45	660.68	567.1	329.84	1208.34	848.22	921.88	603.67	392.44	830.75	460.44	392.44	591.22	507.46	753.83	1051.79	866.07	525.39	486.75	607.87	854.13	723.08	728.11	483.38	441.64	995.0	684.02	638.15	651.58	376.41	638.15	599.49	684.02	435.55
NEIL1	264.03	718.08	346.29	624.99	1037.29	595.34	379.04	878.17	327.56	198.47	473.41	265.87	127.0	395.18	256.78	228.13	89.51	214.27	249.73	234.57	204.07	169.07	320.8	47.84	429.54	511.0	277.2	136.19	148.09	341.51	209.84	236.21	94.01	171.45	198.47	158.79	974.5	599.49	532.74	988.12	1030.12	941.27	934.76	497.0	289.02	575.03	638.15	423.61	981.29	1037.29	432.53	872.1	693.58	693.58	848.22	713.11	514.56	813.63	490.14	366.09	384.34	555.41	684.02	612.11	583.07	842.36	444.72	438.59	748.61	587.13	785.88	660.68	543.96	1104.13	651.58	612.11	1191.69	470.14	1073.91	423.61	336.79	684.02	595.34	503.95	629.35	915.51	813.63	753.83	808.0	450.94	532.74	791.35	339.14	764.36	248.0	493.56	723.08	1001.93	353.59	297.17	878.17	343.89	529.06	497.0	389.72	514.56	669.92	674.59	486.75	848.22	954.43	896.64	312.0	450.94	389.72	571.05	775.05	587.13	791.35	397.93	647.07	967.76	947.83	559.28	808.0	708.18	543.96	463.65	389.72	400.71	231.32	769.69	764.36	450.94	343.89	733.19	208.38	733.19	376.41	493.56	483.38	738.29	256.78	860.08	629.35	928.3	567.1	363.56	642.59	571.05	703.28	872.1	371.22	1216.75	1119.56	1208.34	624.99	381.68	1051.79	616.37	264.03	583.07	629.35	791.35	1023.0	813.63	642.59	412.0	743.43	1127.35	616.37	571.05	329.84	400.71	842.36	612.11	753.83	463.65	432.53	796.86	583.07	775.05	511.0
NEK8	116.78	85.82	111.99	85.82	118.43	208.38	107.38	368.65	123.5	166.73	158.79	131.51	109.66	82.29	155.5	241.19	115.16	122.64	133.36	146.03	104.42	135.24	228.13	70.01	145.02	107.38	189.02	108.9	124.37	277.2	147.06	143.01	59.97	113.56	156.59	87.65	291.04	206.94	171.45	267.73	397.93	277.2	275.28	229.72	128.79	187.71	234.57	275.28	223.41	232.94	178.77	241.19	303.44	309.83	208.38	234.57	204.07	246.28	249.73	164.42	251.48	194.36	242.88	201.25	253.23	285.03	224.97	214.27	218.79	214.27	299.25	228.13	264.03	248.0	215.77	229.72	244.57	158.79	264.03	206.94	171.45	264.03	277.2	218.79	223.41	251.48	239.52	260.38	256.78	162.14	256.78	293.07	178.77	320.8	125.24	181.28	197.09	256.78	145.02	164.42	277.2	287.01	229.72	198.47	138.1	253.23	237.86	193.01	164.42	289.02	289.02	237.86	152.28	221.86	234.57	332.14	215.77	271.48	234.57	171.45	262.2	334.46	279.14	170.25	234.57	218.79	193.01	214.27	209.84	211.31	169.07	325.29	206.94	161.02	158.79	258.57	164.42	244.57	218.79	177.53	198.47	231.32	204.07	332.14	253.23	305.55	239.52	316.37	187.71	170.25	260.38	218.79	201.25	299.25	221.86	384.34	316.37	127.0	242.88	232.94	209.84	209.84	215.77	242.88	265.87	237.86	237.86	214.27	204.07	251.48	195.72	264.03	187.71	172.65	208.38	258.57	199.85	204.07	175.07	236.21	175.07	193.01	212.78
NEURL4	127.89	122.64	183.82	178.77	273.37	363.56	197.09	575.03	158.79	166.73	153.34	201.25	204.07	205.5	303.44	201.25	148.09	211.31	293.07	162.14	131.51	183.82	256.78	142.01	251.48	177.53	264.03	236.21	90.14	237.86	163.28	133.36	166.73	249.73	201.25	120.94	599.49	423.61	343.89	559.28	343.89	629.35	616.37	587.13	363.56	387.02	366.09	473.41	555.41	743.43	291.04	563.18	507.46	583.07	547.75	435.55	457.25	373.81	444.72	281.09	420.68	417.77	518.15	356.05	356.05	638.15	397.93	381.68	536.45	444.72	575.03	555.41	429.54	647.07	392.44	503.95	518.15	312.0	521.76	351.14	314.17	486.75	417.77	417.77	435.55	536.45	532.74	547.75	595.34	371.22	403.5	450.94	327.56	633.73	202.66	379.04	587.13	708.18	309.83	226.54	444.72	470.14	312.0	441.64	395.18	476.71	409.15	412.0	221.86	447.82	607.87	503.95	327.56	507.46	473.41	417.77	540.19	514.56	591.22	417.77	624.99	583.07	703.28	447.82	536.45	432.53	403.5	379.04	438.59	325.29	336.79	563.18	507.46	208.38	287.01	454.09	234.57	466.88	450.94	361.04	426.57	532.74	409.15	490.14	441.64	497.0	518.15	490.14	356.05	339.14	551.56	414.87	325.29	698.41	599.49	808.0	457.25	368.65	532.74	348.71	314.17	426.57	406.31	551.56	647.07	583.07	423.61	368.65	470.14	607.87	447.82	400.71	389.72	438.59	571.05	460.44	463.65	400.71	363.56	543.96	409.15	551.56	493.56
NPC2	65990.84	82951.62	115696.65	120609.84	111755.56	156954.93	53601.03	158046.64	59063.35	73730.83	70238.75	61571.56	58250.19	61999.83	76861.91	66449.85	79572.48	73221.53	58655.36	79022.82	58655.36	84694.64	63742.91	44452.21	86474.27	141455.6	64632.75	64632.75	113315.62	68793.23	60304.42	63742.91	42054.3	77934.88	52497.92	41188.81	113315.62	85876.94	99333.0	92040.7	72715.74	85876.94	92680.9	98646.85	83528.61	90146.51	113315.62	92680.9	97288.74	79022.82	106462.55	86474.27	115696.65	91404.92	142439.51	92680.9	124000.67	107948.72	137587.47	93974.69	98646.85	138544.47	80683.28	104996.83	86474.27	111755.56	94628.34	81809.59	87075.75	122293.5	81809.59	93974.69	108699.57	80125.95	134755.94	109455.64	79572.48	114103.8	87075.75	91404.92	77934.88	85876.94	117311.73	130165.62	127486.83	80125.95	130165.62	92040.7	75280.1	87075.75	131982.68	154794.07	79022.82	79022.82	100023.92	110983.6	80683.28	72715.74	79022.82	135693.24	97288.74	104996.83	109455.64	95286.54	85283.74	97965.44	110216.97	86474.27	65535.0	104271.56	103551.29	155870.75	64186.29	94628.34	81809.59	118127.7	135693.24	93325.55	88905.42	98646.85	93974.69	112532.89	105727.15	105727.15	84109.6	90146.51	84694.64	92040.7	93325.55	91404.92	73730.83	118127.7	77934.88	91404.92	81809.59	115696.65	68318.04	117311.73	92680.9	92680.9	114897.47	103551.29	114103.8	100023.92	96616.71	65535.0	126606.21	100719.65	118949.35	119776.72	112532.89	103551.29	91404.92	104996.83	83528.61	62431.08	111755.56	85876.94	100719.65	102125.66	95286.54	100719.65	102836.01	107948.72	69753.56	92040.7	110216.97	95949.32	89523.81	67846.12	79572.48	101420.22	80683.28	92680.9	79022.82	103551.29	106462.55	121448.75	85876.94	75803.72	127486.83	104271.56	94628.34
OFD1	265.87	397.93	674.59	480.04	780.44	514.56	493.56	802.41	500.46	381.68	343.89	255.0	277.2	389.72	412.0	244.57	215.77	214.27	201.25	476.71	457.25	301.33	432.53	287.01	384.34	612.11	397.93	189.02	414.87	260.38	165.57	591.22	190.34	400.71	348.71	242.88	890.44	1081.39	575.03	802.41	1225.22	848.22	1143.1	860.08	647.07	713.11	974.5	603.67	684.02	921.88	444.72	1111.82	934.76	1388.16	1066.48	1225.22	1023.0	1081.39	759.08	941.27	915.51	624.99	1001.93	866.07	866.07	1044.52	780.44	796.86	954.43	1059.11	1066.48	988.12	902.89	1104.13	728.11	915.51	954.43	974.5	1059.11	624.99	791.35	1081.39	854.13	813.63	1088.92	1286.18	813.63	941.27	1044.52	660.68	1183.45	688.78	775.05	1199.98	1175.27	571.05	769.69	1051.79	775.05	713.11	728.11	921.88	854.13	563.18	748.61	633.73	941.27	684.02	1096.5	830.75	1508.65	988.12	728.11	785.88	909.17	813.63	1159.07	708.18	819.3	679.29	1143.1	1242.34	1111.82	981.29	1059.11	902.89	599.49	753.83	698.41	591.22	679.29	1037.29	1119.56	909.17	540.19	848.22	559.28	802.41	759.08	825.0	1023.0	728.11	733.19	1225.22	909.17	988.12	947.83	921.88	995.0	583.07	967.76	785.88	521.76	1781.89	974.5	1037.29	1001.93	656.11	1350.18	890.44	476.71	1008.9	753.83	1030.12	961.07	1175.27	1051.79	490.14	915.51	1286.18	802.41	934.76	647.07	738.29	967.76	688.78	669.92	723.08	802.41	748.61	988.12	785.88	1059.11
PAN2	403.5	511.0	540.19	403.5	785.88	753.83	476.71	1104.13	392.44	231.32	412.0	332.14	267.73	299.25	441.64	532.74	126.12	253.23	336.79	387.02	379.04	336.79	669.92	409.15	595.34	414.87	536.45	289.02	237.86	348.71	297.17	551.56	120.94	291.04	329.84	314.17	1883.54	842.36	728.11	1594.73	2061.24	1745.2	2148.82	1119.56	397.93	860.08	1111.82	813.63	1936.53	2520.38	387.02	1950.0	1369.04	1359.57	1015.93	1175.27	1183.45	1037.29	1037.29	698.41	1051.79	1208.34	1159.07	1225.22	1135.2	1709.26	974.5	928.3	1819.35	728.11	1427.22	1322.37	1151.06	1651.0	921.88	860.08	1697.45	708.18	1883.54	698.41	616.37	1151.06	1331.57	921.88	1023.0	1498.22	1208.34	1225.22	1870.53	802.41	1119.56	934.76	759.08	2485.67	397.93	808.0	1369.04	2451.44	674.59	493.56	1540.37	1295.13	674.59	1023.0	651.58	1250.98	1096.5	1066.48	629.35	1143.1	1769.57	1066.48	486.75	1111.82	1081.39	1111.82	1259.69	1662.49	1286.18	748.61	1457.23	1757.34	2133.97	884.29	1594.73	1322.37	808.0	743.43	1037.29	480.04	563.18	1388.16	1277.29	651.58	738.29	1233.75	363.56	1073.91	848.22	769.69	1096.5	1662.49	1008.9	1991.0	836.53	1551.09	1104.13	1111.82	961.07	860.08	1175.27	1015.93	633.73	3257.52	1794.29	2664.15	1081.39	599.49	1111.82	921.88	796.86	854.13	988.12	1191.69	2133.97	1883.54	1322.37	656.11	1233.75	1757.34	1096.5	1540.37	759.08	941.27	2032.85	1378.57	1030.12	1250.98	764.36	1304.15	941.27	1242.34	1216.75
PCED1A	941.27	575.03	429.54	457.25	647.07	543.96	400.71	941.27	454.09	301.33	490.14	397.93	368.65	447.82	343.89	262.2	353.59	397.93	486.75	221.86	236.21	271.48	260.38	285.03	397.93	791.35	406.31	283.05	251.48	466.88	371.22	323.03	334.46	830.75	460.44	400.71	1757.34	902.89	1023.0	1208.34	1781.89	1331.57	1832.01	1685.71	733.19	928.3	1073.91	1059.11	1427.22	1628.26	775.05	1498.22	1191.69	1977.24	1397.83	1498.22	1044.52	1369.04	1030.12	738.29	1104.13	1277.29	1447.15	1008.9	1605.83	1950.0	1417.35	890.44	1628.26	1304.15	1819.35	1697.45	1369.04	1540.37	1447.15	1242.34	1870.53	902.89	2133.97	1199.98	1088.92	1487.87	1561.89	1119.56	1583.71	1407.55	1313.23	1242.34	1540.37	796.86	1388.16	1304.15	884.29	1685.71	612.11	1143.1	1286.18	1605.83	1096.5	1111.82	1697.45	1175.27	947.83	1529.73	854.13	1304.15	1487.87	1096.5	723.08	1225.22	1651.0	1498.22	674.59	1242.34	1191.69	1639.59	1417.35	1498.22	1286.18	1225.22	1457.23	1950.0	1781.89	1350.18	1447.15	1059.11	1119.56	921.88	1044.52	791.35	981.29	1529.73	1378.57	866.07	1015.93	1388.16	325.29	1378.57	1151.06	1015.93	1250.98	1397.83	854.13	1388.16	1151.06	2090.03	1159.07	1561.89	1427.22	1437.15	1135.2	1447.15	775.05	2032.85	1572.76	1674.06	1268.46	780.44	1721.16	1051.79	813.63	1242.34	1340.84	1561.89	1936.53	1551.09	1119.56	1208.34	1561.89	1519.15	1594.73	1832.01	890.44	974.5	1487.87	1407.55	1119.56	1304.15	988.12	1225.22	1167.14	1561.89	1477.58
PILRB	379.04	638.15	325.29	642.59	1183.45	866.07	323.03	1950.0	303.44	242.88	346.29	536.45	177.53	1081.39	373.81	218.79	154.42	397.93	217.27	551.56	348.71	373.81	236.21	420.68	206.94	503.95	348.71	171.45	193.01	463.65	316.37	158.79	316.37	698.41	170.25	212.78	2384.37	1268.46	860.08	1909.85	1023.0	2209.26	2193.99	1617.0	603.67	1008.9	1286.18	718.08	1781.89	2627.46	457.25	1697.45	1447.15	1923.14	1529.73	1697.45	1208.34	1388.16	1350.18	819.3	1008.9	1066.48	1457.23	1331.57	1331.57	2895.31	842.36	954.43	1685.71	738.29	2664.15	1745.2	1044.52	2255.7	902.89	1467.37	1963.57	785.88	1769.57	738.29	775.05	1477.58	1487.87	1331.57	1119.56	2018.8	1407.55	2209.26	2075.59	738.29	1175.27	1151.06	463.65	2287.2	289.02	896.64	1519.15	3443.31	518.15	356.05	2287.2	1225.22	1001.93	981.29	642.59	1447.15	1208.34	1331.57	764.36	1191.69	2400.97	1769.57	438.59	981.29	1388.16	1350.18	2090.03	1242.34	1721.16	753.83	2133.97	2209.26	2319.15	941.27	1697.45	1340.84	854.13	884.29	872.1	500.46	301.33	1583.71	2163.77	1051.79	559.28	1135.2	384.34	1572.76	1001.93	848.22	1331.57	1745.2	571.05	2855.44	1183.45	2895.31	1340.84	967.76	1832.01	1151.06	1605.83	988.12	529.06	3768.09	2061.24	3060.45	1250.98	497.0	2193.99	1242.34	460.44	1096.5	995.0	1295.13	2209.26	1950.0	1674.06	660.68	1651.0	2417.67	1191.69	1572.76	412.0	1151.06	1806.78	1529.73	1477.58	1167.14	718.08	1733.13	1322.37	1605.83	1519.15
