	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1626.SM.4AD6G	TCGA.G4.6321.01A.11R.1723.07	GTEX.ZVT2.1926.SM.5GU5T	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11NUK.1226.SM.5P9GM	TCGA.44.2662.11A.01R.1758.07	GTEX.11EI6.0826.SM.5985V	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.N7MS.0926.SM.2HMIZ	GTEX.13NYB.0626.SM.5MR47	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.43.6143.11A.01R.1820.07	TCGA.HU.8238.11A.01R.2343.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.RWS6.0926.SM.47JXE	GTEX.ZYY3.1726.SM.5EGH3
SNRPE	6294.04	5441.3	4152.18	3690.52	5112.16	4038.61	4802.93	4736.79	5329.3	3257.52	5791.62	9606.86	5255.91	1519.15	5479.15	4512.4	6840.04	5555.65	3257.52	9088.59	4512.4	4481.23	4328.55	3639.7	10808.41	2367.9	5995.9	3467.27	4903.87	4836.35	3395.89	2075.59	3847.29	4903.87	4038.61	4123.49	2796.65	2303.12	2758.13	4388.98	1540.37	3124.78	6887.62	2502.97	3847.29	4298.64	3103.19	3212.66	3372.43	2682.69	3874.05	7589.61	2537.92	10512.82	4152.18	2895.31	9088.59	1583.71	3639.7	7966.99	1551.09	1191.69	2104.58	1757.34	1350.18	1397.83	988.12	684.02	967.76	1008.9	1175.27	1350.18	2271.4	1233.75	1832.01	1378.57	1199.98	2163.77	1225.22	1388.16	1936.53	1277.29
SNX16	373.81	163.28	323.03	125.24	366.09	540.19	239.52	120.1	175.07	122.64	314.17	312.0	269.6	137.14	293.07	193.01	156.59	118.43	332.14	125.24	314.17	217.27	122.64	297.17	279.14	131.51	126.12	149.12	409.15	223.41	197.09	249.73	194.36	279.14	133.36	532.74	334.46	283.05	441.64	212.78	305.55	150.17	1199.98	214.27	309.83	728.11	269.6	409.15	209.84	260.38	115.16	264.03	234.57	242.88	698.41	178.77	277.2	187.71	389.72	242.88	142.01	75.64	22.75	17.51	57.49	91.41	111.21	108.9	88.88	127.0	89.51	118.43	50.27	104.42	140.04	90.77	134.3	131.51	100.13	116.78	82.29	161.02
SPIN1	1378.57	1066.48	1286.18	1143.1	1030.12	1286.18	507.46	954.43	1044.52	1259.69	1662.49	890.44	1331.57	713.11	1963.57	1733.13	1359.57	728.11	1313.23	1127.35	1991.0	921.88	1447.15	1819.35	1540.37	830.75	571.05	1088.92	2090.03	1781.89	1519.15	1781.89	1651.0	1794.29	872.1	2193.99	1407.55	1313.23	2351.53	1639.59	1259.69	896.64	2816.11	1819.35	1745.2	872.1	1991.0	1350.18	1617.0	1378.57	1378.57	830.75	1870.53	854.13	2163.77	2104.58	1008.9	1081.39	1733.13	1844.76	438.59	514.56	327.56	183.82	220.32	599.49	878.17	638.15	285.03	808.0	1030.12	1088.92	493.56	563.18	571.05	503.95	884.29	738.29	381.68	309.83	470.14	236.21
SSB	5329.3	2018.8	2384.37	1781.89	2485.67	2915.45	2976.74	1340.84	1551.09	1733.13	2816.11	1498.22	2255.7	2351.53	2645.74	2682.69	1936.53	2075.59	1745.2	2319.15	2816.11	4769.75	2163.77	2163.77	2591.27	1540.37	2119.22	1923.14	2816.11	2303.12	2255.7	2255.7	2209.26	3039.3	2664.15	2468.49	1896.65	2090.03	2104.58	2104.58	2032.85	2555.58	3419.52	1883.54	2645.74	2875.3	2335.28	2133.97	2739.08	1769.57	1909.85	2417.67	2209.26	2287.2	2816.11	1883.54	2400.97	2935.74	2075.59	4181.07	872.1	836.53	180.02	204.07	638.15	1119.56	1313.23	954.43	679.29	995.0	1259.69	1388.16	703.28	1030.12	1001.93	842.36	1066.48	1417.35	842.36	679.29	543.96	511.0
TCEA1	2777.33	1286.18	5147.73	1322.37	10512.82	2573.36	4607.24	1037.29	2451.44	1628.26	2224.63	3874.05	1467.37	1572.76	2758.13	1832.01	1909.85	1572.76	1870.53	1769.57	1963.57	2573.36	1447.15	1745.2	2384.37	1159.07	1457.23	1378.57	2209.26	2075.59	1487.87	1617.0	1745.2	2255.7	1135.2	1909.85	1832.01	1583.71	1870.53	1844.76	1066.48	1359.57	5594.3	1369.04	2255.7	1819.35	2485.67	1529.73	2193.99	1151.06	909.17	1991.0	1794.29	1639.59	3690.52	915.51	2303.12	1183.45	2335.28	1832.01	647.07	567.1	679.29	713.11	665.29	934.76	679.29	718.08	507.46	796.86	796.86	813.63	808.0	780.44	1023.0	1030.12	947.83	1313.23	780.44	896.64	928.3	551.56
TET1	62.12	5.68	4.06	9.41	6.31	30.12	6.52	7.57	10.0	8.0	14.78	31.22	10.16	3.23	12.55	14.78	7.57	3.41	13.03	9.27	16.15	21.47	8.85	11.82	86.43	4.28	0.96	4.7	44.25	24.81	21.01	11.3	14.35	12.93	5.28	50.98	27.05	16.51	41.52	16.63	27.84	4.13	46.5	19.25	7.57	7.4	10.71	13.62	23.59	24.81	30.78	14.45	25.35	7.0	51.71	58.3	3.29	11.21	34.51	11.38	1.13	1.13	0.37	0.74	5.5	4.43	4.46	2.68	1.01	0.84	5.77	3.53	2.34	4.5	6.73	2.27	1.5	6.57	2.53	5.59	3.76	7.22
TEX10	693.58	204.07	175.07	260.38	178.77	480.04	202.66	212.78	177.53	215.77	234.57	249.73	346.29	194.36	295.11	277.2	194.36	178.77	220.32	303.44	358.54	228.13	325.29	293.07	718.08	244.57	96.01	264.03	698.41	395.18	334.46	281.09	323.03	486.75	242.88	591.22	334.46	376.41	441.64	392.44	293.07	255.0	728.11	417.77	518.15	466.88	426.57	473.41	406.31	307.69	356.05	373.81	361.04	279.14	412.0	299.25	244.57	251.48	438.59	384.34	133.36	137.14	115.16	57.89	115.97	163.28	148.09	154.42	236.21	195.72	297.17	231.32	150.17	242.88	143.01	92.7	185.11	215.77	106.63	96.01	127.0	146.03
TRMT61B	567.1	426.57	299.25	373.81	283.05	201.25	423.61	229.72	314.17	392.44	368.65	466.88	191.67	224.97	246.28	287.01	239.52	348.71	205.5	368.65	403.5	336.79	253.23	237.86	571.05	208.38	182.55	237.86	532.74	271.48	332.14	325.29	379.04	384.34	307.69	511.0	241.19	353.59	336.79	329.84	320.8	244.57	718.08	289.02	269.6	397.93	406.31	307.69	260.38	353.59	392.44	289.02	454.09	656.11	529.06	214.27	454.09	231.32	341.51	500.46	107.38	146.03	97.36	123.5	155.5	176.29	108.14	56.68	72.52	143.01	111.21	146.03	149.12	63.45	88.88	102.97	102.25	211.31	376.41	147.06	170.25	82.87
TTC27	507.46	199.85	343.89	265.87	309.83	297.17	343.89	181.28	262.2	287.01	435.55	540.19	264.03	228.13	417.77	267.73	267.73	289.02	186.4	246.28	457.25	358.54	258.57	332.14	493.56	215.77	312.0	368.65	638.15	414.87	287.01	373.81	341.51	460.44	348.71	521.76	237.86	389.72	409.15	466.88	346.29	339.14	454.09	397.93	490.14	366.09	351.14	466.88	341.51	320.8	397.93	567.1	447.82	624.99	426.57	325.29	323.03	275.28	429.54	327.56	67.59	106.63	114.36	92.7	82.29	183.82	170.25	59.13	41.22	89.51	144.01	153.34	108.9	98.73	147.06	116.78	93.35	214.27	86.43	49.21	209.84	77.25
UBQLN2	860.08	379.04	521.76	656.11	665.29	967.76	356.05	447.82	511.0	514.56	796.86	723.08	665.29	567.1	567.1	808.0	684.02	447.82	599.49	547.75	842.36	555.41	647.07	723.08	1135.2	567.1	239.52	638.15	954.43	860.08	669.92	603.67	813.63	836.53	579.04	1119.56	575.03	854.13	941.27	860.08	616.37	629.35	1417.35	688.78	1059.11	830.75	830.75	961.07	780.44	733.19	543.96	435.55	718.08	909.17	802.41	555.41	543.96	698.41	848.22	902.89	327.56	208.38	309.83	279.14	293.07	540.19	361.04	265.87	356.05	438.59	559.28	432.53	334.46	325.29	376.41	403.5	312.0	503.95	336.79	291.04	361.04	323.03
USP1	1216.75	303.44	591.22	281.09	723.08	1639.59	251.48	312.0	444.72	334.46	909.17	555.41	323.03	511.0	785.88	381.68	435.55	397.93	470.14	301.33	764.36	941.27	532.74	543.96	1159.07	387.02	476.71	457.25	1037.29	698.41	684.02	532.74	642.59	909.17	361.04	961.07	511.0	733.19	836.53	718.08	441.64	529.06	2367.9	607.87	595.34	988.12	1015.93	775.05	473.41	503.95	403.5	551.56	583.07	842.36	1059.11	400.71	819.3	389.72	684.02	638.15	283.05	269.6	35.25	48.52	102.97	226.54	285.03	186.4	226.54	156.59	305.55	249.73	229.72	248.0	232.94	197.09	173.85	281.09	205.5	131.51	187.71	63.89
UTP11L	1498.22	587.13	941.27	423.61	738.29	961.07	620.67	493.56	743.43	718.08	1001.93	595.34	698.41	563.18	684.02	575.03	703.28	595.34	563.18	500.46	1051.79	1259.69	1030.12	866.07	1175.27	612.11	698.41	775.05	1001.93	872.1	896.64	842.36	836.53	1295.13	896.64	713.11	571.05	642.59	660.68	567.1	518.15	785.88	1819.35	866.07	872.1	1111.82	915.51	872.1	1096.5	703.28	543.96	1322.37	748.61	1794.29	890.44	432.53	1397.83	684.02	866.07	1304.15	339.14	205.5	220.32	182.55	231.32	500.46	414.87	444.72	669.92	358.54	493.56	358.54	480.04	514.56	536.45	329.84	379.04	532.74	289.02	547.75	420.68	295.11
WDR35	291.04	127.89	102.97	138.1	118.43	120.94	89.51	163.28	191.67	148.09	187.71	224.97	122.64	123.5	381.68	231.32	102.97	92.05	121.79	131.51	211.31	146.03	162.14	208.38	255.0	85.22	143.01	164.42	438.59	264.03	221.86	204.07	201.25	262.2	148.09	293.07	175.07	316.37	334.46	197.09	166.73	124.37	432.53	260.38	190.34	305.55	283.05	351.14	129.69	221.86	202.66	195.72	406.31	88.88	249.73	209.84	172.65	137.14	242.88	293.07	18.97	20.71	50.27	13.93	24.11	62.56	49.91	35.25	18.43	52.08	57.89	90.77	42.11	57.89	57.89	42.71	37.05	88.88	22.43	25.72	44.25	19.25
WDR36	339.14	149.12	172.65	187.71	182.55	186.4	92.7	119.26	162.14	145.02	226.54	267.73	275.28	116.78	232.94	185.11	189.02	115.97	197.09	176.29	264.03	148.09	202.66	231.32	139.07	202.66	122.64	151.22	480.04	297.17	241.19	215.77	256.78	387.02	150.17	400.71	156.59	392.44	334.46	301.33	190.34	150.17	551.56	285.03	262.2	493.56	395.18	303.44	297.17	271.48	224.97	299.25	244.57	161.02	363.56	228.13	137.14	172.65	343.89	228.13	88.26	80.57	44.89	69.52	131.51	83.45	78.34	91.41	134.3	72.01	102.97	108.14	72.01	115.97	100.13	73.54	82.87	135.24	56.28	59.97	83.45	45.21
WDR43	1447.15	303.44	435.55	371.22	571.05	656.11	587.13	309.83	371.22	389.72	567.1	591.22	536.45	403.5	620.67	444.72	366.09	320.8	358.54	551.56	525.39	656.11	633.73	559.28	1617.0	511.0	246.28	642.59	1286.18	599.49	624.99	579.04	595.34	1051.79	392.44	490.14	432.53	591.22	529.06	624.99	476.71	583.07	934.76	460.44	1397.83	521.76	961.07	718.08	836.53	457.25	503.95	1175.27	703.28	450.94	1199.98	361.04	457.25	521.76	460.44	642.59	162.14	234.57	87.65	115.97	165.57	208.38	198.47	249.73	363.56	392.44	204.07	220.32	228.13	269.6	229.72	236.21	285.03	291.04	138.1	199.85	147.06	226.54
WDR75	1857.6	616.37	384.34	497.0	665.29	579.04	620.67	397.93	323.03	412.0	497.0	423.61	665.29	312.0	591.22	540.19	358.54	493.56	314.17	414.87	567.1	785.88	503.95	629.35	1051.79	343.89	246.28	392.44	981.29	599.49	563.18	503.95	540.19	854.13	514.56	974.5	429.54	529.06	603.67	738.29	514.56	336.79	1340.84	559.28	432.53	733.19	679.29	620.67	486.75	620.67	518.15	1023.0	733.19	279.14	743.43	551.56	376.41	457.25	703.28	575.03	223.41	295.11	66.18	78.34	193.01	220.32	165.57	161.02	58.3	152.28	165.57	231.32	167.9	234.57	215.77	265.87	197.09	260.38	183.82	170.25	220.32	172.65
WDR82	967.76	674.59	620.67	1111.82	1023.0	1216.75	656.11	830.75	902.89	915.51	1519.15	1437.15	1135.2	854.13	1277.29	830.75	884.29	854.13	1030.12	693.58	1388.16	728.11	1331.57	1242.34	995.0	1242.34	591.22	1369.04	1909.85	1697.45	1407.55	1359.57	1322.37	1697.45	1111.82	1617.0	1183.45	1794.29	1950.0	1685.71	1447.15	1304.15	1857.6	1304.15	1551.09	842.36	1697.45	1447.15	842.36	1030.12	988.12	1191.69	1628.26	536.45	1617.0	954.43	995.0	1551.09	1498.22	2384.37	629.35	698.41	674.59	299.25	361.04	808.0	866.07	848.22	514.56	1066.48	1175.27	890.44	679.29	928.3	693.58	693.58	1066.48	981.29	450.94	466.88	497.0	409.15
WDR89	312.0	120.1	228.13	187.71	182.55	206.94	98.04	158.79	255.0	187.71	251.48	285.03	220.32	176.29	236.21	220.32	189.02	159.9	218.79	190.34	314.17	208.38	229.72	260.38	209.84	193.01	186.4	147.06	435.55	320.8	236.21	237.86	264.03	356.05	189.02	420.68	208.38	249.73	312.0	241.19	220.32	142.01	500.46	197.09	209.84	305.55	165.57	275.28	346.29	281.09	220.32	267.73	283.05	269.6	376.41	283.05	202.66	212.78	297.17	334.46	59.13	79.45	32.13	41.81	96.01	69.03	84.63	90.14	80.01	68.07	147.06	89.51	67.59	92.05	103.69	49.21	87.65	133.36	51.71	70.01	61.68	53.19
ZNF146	2061.24	1059.11	1208.34	1119.56	2664.15	2255.7	1369.04	896.64	2255.7	1001.93	1709.26	4972.34	1151.06	1119.56	2061.24	1519.15	1111.82	954.43	1331.57	1208.34	1685.71	1909.85	1295.13	1498.22	3443.31	1008.9	954.43	1151.06	2434.5	1467.37	1605.83	1594.73	1340.84	1757.34	1259.69	2047.0	1313.23	1540.37	1769.57	1447.15	1295.13	1001.93	3564.78	1044.52	1617.0	1331.57	1757.34	1685.71	1583.71	1167.14	1159.07	1697.45	1540.37	896.64	2997.45	1175.27	934.76	902.89	2193.99	2047.0	395.18	379.04	141.02	224.97	423.61	444.72	599.49	260.38	143.01	361.04	612.11	295.11	197.09	583.07	587.13	205.5	426.57	660.68	366.09	312.0	400.71	232.94
ZNF280C	182.55	29.48	19.97	37.59	36.01	55.49	41.22	29.06	40.93	33.54	39.22	45.21	48.52	32.82	32.59	37.85	32.59	17.38	32.59	31.22	45.85	50.27	38.4	34.02	92.05	24.46	9.7	19.82	88.26	46.18	43.02	31.45	43.32	71.5	21.47	73.03	52.45	41.22	75.11	53.95	43.32	14.45	92.05	81.71	44.89	39.5	44.25	48.52	38.67	42.41	49.21	42.71	49.91	10.79	50.98	36.53	32.36	31.22	62.56	53.57	10.96	14.89	10.31	4.5	15.91	33.54	12.83	14.89	8.32	20.71	12.0	49.56	28.86	19.11	26.47	25.91	22.92	26.67	12.18	7.63	16.75	13.03
ZNF454	84.04	26.1	6.84	9.93	7.46	87.03	1.3	13.93	9.27	16.03	13.03	1.36	16.03	3.99	1.38	11.82	7.06	7.75	9.2	1.39	32.13	79.45	37.05	14.45	63.0	7.11	4.17	22.1	52.82	35.5	29.27	29.7	20.26	26.67	20.11	63.89	33.78	58.71	28.86	23.08	53.95	3.89	145.02	62.56	10.08	19.68	8.51	25.17	34.51	94.67	35.76	15.34	43.94	9.27	29.06	44.89	3.66	27.44	83.45	78.34	1.46	0.99	8.0	0.62	0.0	10.88	13.62	2.86	4.46	1.14	12.36	4.46	1.83	61.68	4.78	3.2	2.71	8.58	1.97	7.63	7.0	3.14
ZNF793	166.73	126.12	59.13	78.34	47.84	119.26	44.89	80.01	84.04	103.69	102.25	51.71	84.63	57.49	66.18	98.73	63.89	57.49	101.54	68.07	149.12	140.04	88.26	86.43	273.37	39.79	34.26	56.28	177.53	87.03	110.43	97.36	100.13	92.05	80.01	212.78	128.79	71.0	199.85	149.12	147.06	48.52	251.48	132.44	69.03	78.89	94.01	97.36	67.12	139.07	205.5	57.08	105.15	30.56	75.11	187.71	56.28	59.13	119.26	55.1	10.88	40.93	9.7	0.89	6.11	23.59	49.56	37.59	4.86	11.3	31.45	78.34	31.45	41.52	24.11	17.64	29.48	22.1	21.63	17.77	43.94	29.27
