	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.AJ.A3BK.01A.11R.A19W.07
NIPAL1	85.22	24.99	101.54	100.83	82.87	122.64	57.49	137.14	116.78	100.83	52.45	120.1	114.36	139.07	48.87	98.04	84.63	103.69	100.13	78.34	70.01	98.73	50.63	90.77	17.9	25.17	34.02	82.87	46.18	77.79	138.1	84.63	115.16	80.01	64.8	106.63	131.51	50.63	66.65	68.07	109.66	96.68	34.75	134.3	95.34	110.43	32.13	124.37	71.0	96.01	38.12	56.28	73.54	66.18	84.04	62.56	76.17	57.08	57.49	115.97	105.89	76.71	12.36
NMT2	260.38	202.66	400.71	346.29	251.48	348.71	307.69	289.02	229.72	371.22	73.03	204.07	287.01	256.78	249.73	251.48	231.32	389.72	255.0	198.47	269.6	256.78	244.57	211.31	173.85	183.82	194.36	217.27	241.19	244.57	289.02	260.38	320.8	212.78	316.37	198.47	277.2	176.29	191.67	242.88	327.56	373.81	267.73	316.37	241.19	214.27	156.59	303.44	182.55	287.01	237.86	183.82	283.05	246.28	341.51	307.69	197.09	267.73	221.86	314.17	329.84	373.81	62.56
NOP9	295.11	220.32	323.03	438.59	325.29	376.41	307.69	412.0	392.44	371.22	223.41	327.56	373.81	309.83	267.73	273.37	164.42	239.52	205.5	265.87	253.23	395.18	251.48	281.09	241.19	232.94	176.29	371.22	273.37	217.27	379.04	316.37	371.22	273.37	283.05	373.81	387.02	305.55	262.2	267.73	412.0	366.09	275.28	429.54	303.44	429.54	258.57	358.54	403.5	323.03	253.23	201.25	237.86	229.72	325.29	267.73	218.79	289.02	293.07	256.78	316.37	285.03	170.25
PBRM1	633.73	135.24	796.86	599.49	221.86	638.15	279.14	708.18	547.75	723.08	185.11	221.86	497.0	327.56	265.87	312.0	178.77	283.05	258.57	217.27	312.0	529.06	273.37	224.97	120.94	133.36	157.68	275.28	189.02	218.79	397.93	435.55	435.55	332.14	228.13	249.73	703.28	249.73	150.17	297.17	733.19	529.06	186.4	825.0	353.59	633.73	140.04	591.22	271.48	460.44	180.02	176.29	202.66	253.23	409.15	283.05	186.4	231.32	236.21	486.75	470.14	297.17	88.88
PCNX	316.37	159.9	361.04	297.17	120.1	343.89	145.02	327.56	289.02	312.0	119.26	175.07	281.09	204.07	182.55	204.07	150.17	175.07	153.34	121.79	186.4	264.03	152.28	182.55	101.54	124.37	135.24	177.53	127.89	181.28	209.84	217.27	244.57	152.28	155.5	211.31	303.44	134.3	131.51	191.67	305.55	232.94	172.65	387.02	162.14	279.14	127.89	269.6	120.1	221.86	139.07	126.12	172.65	187.71	246.28	228.13	152.28	164.42	137.14	164.42	214.27	181.28	202.66
PDP2	183.82	30.78	108.9	77.25	96.01	104.42	71.0	173.85	127.0	141.02	24.63	78.34	127.0	88.88	78.89	94.67	64.34	94.01	77.79	75.11	116.78	133.36	38.4	56.68	22.92	25.91	46.18	105.89	29.91	39.79	93.35	130.6	134.3	49.21	97.36	59.97	147.06	46.18	27.64	55.1	148.09	105.15	31.9	170.25	94.01	138.1	36.79	124.37	78.34	127.0	33.78	46.18	51.35	42.71	143.01	63.89	49.21	58.3	51.35	121.79	120.1	48.18	18.7
PDPK1	563.18	171.45	764.36	718.08	339.14	679.29	351.14	764.36	620.67	599.49	432.53	466.88	559.28	373.81	358.54	426.57	226.54	343.89	217.27	253.23	353.59	571.05	267.73	397.93	197.09	153.34	137.14	514.56	329.84	239.52	624.99	435.55	638.15	441.64	406.31	536.45	642.59	244.57	226.54	483.38	684.02	656.11	309.83	872.1	483.38	656.11	218.79	629.35	591.22	575.03	226.54	211.31	229.72	376.41	543.96	363.56	283.05	343.89	334.46	392.44	591.22	323.03	68.07
PHKB	1662.49	1233.75	1697.45	1685.71	1159.07	1457.23	1167.14	1832.01	1277.29	1487.87	420.68	941.27	1397.83	1268.46	1135.2	1819.35	915.51	1242.34	1427.22	1242.34	1331.57	1331.57	872.1	688.78	819.3	669.92	988.12	1183.45	941.27	1111.82	1159.07	1977.24	1662.49	473.41	1295.13	1151.06	1216.75	1151.06	764.36	633.73	1991.0	1331.57	872.1	1529.73	1277.29	2018.8	1081.39	1529.73	961.07	1369.04	813.63	1037.29	866.07	1151.06	1685.71	1127.35	1111.82	1417.35	1498.22	1467.37	1268.46	1233.75	543.96
PIK3C2A	684.02	115.97	743.43	718.08	215.77	748.61	264.03	728.11	500.46	713.11	150.17	212.78	480.04	279.14	293.07	346.29	220.32	267.73	305.55	208.38	285.03	441.64	215.77	265.87	94.01	111.21	178.77	334.46	165.57	264.03	327.56	483.38	457.25	275.28	208.38	241.19	665.29	251.48	145.02	248.0	753.83	559.28	139.07	808.0	435.55	624.99	134.3	599.49	255.0	457.25	169.07	166.73	248.0	224.97	483.38	285.03	244.57	206.94	208.38	536.45	500.46	366.09	73.03
PPP3CA	6337.83	1963.57	4972.34	4769.75	3467.27	5872.48	1844.76	5006.93	2537.92	6471.02	2720.15	2335.28	4575.41	3794.3	2119.22	3103.19	3467.27	2997.45	2303.12	1832.01	3768.09	2555.58	2287.2	4239.45	2739.08	2319.15	1427.22	2209.26	1896.65	2555.58	2816.11	5479.15	4210.15	3349.13	2163.77	2047.0	9540.5	2178.83	2319.15	1857.6	5913.33	3372.43	2004.85	2739.08	2609.3	4239.45	3168.41	4769.75	4972.34	2645.74	1233.75	2485.67	1561.89	4066.71	2997.45	2090.03	1733.13	2777.33	2148.82	2400.97	2367.9	1295.13	121.79
PRKAR2A	583.07	220.32	507.46	567.1	426.57	507.46	379.04	547.75	511.0	595.34	177.53	255.0	507.46	463.65	323.03	327.56	228.13	361.04	343.89	301.33	353.59	500.46	273.37	231.32	142.01	215.77	229.72	373.81	265.87	295.11	426.57	414.87	497.0	329.84	301.33	323.03	551.56	277.2	220.32	366.09	624.99	607.87	267.73	679.29	414.87	473.41	175.07	575.03	229.72	547.75	224.97	285.03	265.87	244.57	441.64	323.03	287.01	275.28	269.6	444.72	551.56	361.04	115.97
PTPRA	1447.15	808.0	1407.55	1350.18	896.64	1477.58	1051.79	1407.55	1066.48	1369.04	500.46	854.13	1104.13	1023.0	1030.12	842.36	708.18	1030.12	902.89	909.17	902.89	1008.9	1008.9	872.1	603.67	703.28	830.75	988.12	813.63	796.86	1286.18	1008.9	780.44	941.27	995.0	848.22	1369.04	884.29	674.59	967.76	1498.22	1295.13	941.27	1250.98	1066.48	1233.75	825.0	1359.57	830.75	1304.15	854.13	872.1	738.29	848.22	1250.98	1088.92	928.3	825.0	836.53	1477.58	1447.15	1225.22	460.44
PUM1	1096.5	329.84	1605.83	1225.22	490.14	1331.57	651.58	1277.29	934.76	1286.18	366.09	444.72	981.29	638.15	660.68	698.41	395.18	703.28	595.34	575.03	703.28	954.43	490.14	748.61	346.29	346.29	441.64	775.05	591.22	607.87	860.08	854.13	1051.79	633.73	571.05	647.07	1322.37	493.56	414.87	483.38	1322.37	967.76	497.0	1583.71	769.69	1331.57	363.56	1104.13	665.29	860.08	486.75	447.82	493.56	638.15	1008.9	638.15	567.1	529.06	607.87	974.5	941.27	651.58	389.72
QKI	703.28	61.25	921.88	480.04	124.37	647.07	262.2	651.58	543.96	651.58	217.27	153.34	351.14	206.94	307.69	189.02	226.54	244.57	162.14	141.02	224.97	323.03	178.77	295.11	50.27	105.89	199.85	346.29	143.01	251.48	376.41	265.87	441.64	239.52	175.07	181.28	633.73	167.9	162.14	142.01	529.06	417.77	127.0	830.75	201.25	483.38	98.04	529.06	253.23	400.71	176.29	144.01	214.27	157.68	414.87	281.09	136.19	131.51	130.6	400.71	423.61	395.18	135.24
RAB5B	2537.92	854.13	2835.7	2287.2	1963.57	2384.37	1950.0	2777.33	1605.83	2303.12	684.02	1225.22	2148.82	2004.85	1721.16	2047.0	1369.04	1628.26	1806.78	981.29	1909.85	1709.26	1551.09	1697.45	381.68	713.11	1059.11	1832.01	1127.35	1674.06	2047.0	2209.26	2224.63	1857.6	1651.0	1397.83	2835.7	1233.75	738.29	1923.14	2555.58	2075.59	878.17	2935.74	2090.03	3103.19	1104.13	2573.36	2287.2	2090.03	967.76	1709.26	1268.46	1259.69	2319.15	1769.57	1498.22	1417.35	1923.14	2335.28	2468.49	1794.29	346.29
RASSF8	323.03	162.14	356.05	303.44	186.4	500.46	201.25	579.04	363.56	525.39	33.78	88.88	291.04	159.9	161.02	165.57	205.5	239.52	150.17	186.4	201.25	239.52	155.5	285.03	67.12	150.17	95.34	178.77	221.86	327.56	231.32	329.84	303.44	191.67	111.99	248.0	429.54	152.28	81.14	123.5	543.96	426.57	197.09	493.56	248.0	486.75	104.42	341.51	146.03	251.48	153.34	217.27	183.82	387.02	301.33	209.84	167.9	201.25	159.9	312.0	325.29	275.28	15.91
RPE	723.08	297.17	599.49	616.37	466.88	620.67	463.65	728.11	607.87	638.15	281.09	218.79	591.22	503.95	500.46	441.64	397.93	454.09	466.88	423.61	497.0	532.74	368.65	507.46	283.05	303.44	332.14	612.11	361.04	521.76	497.0	559.28	718.08	665.29	403.5	384.34	723.08	381.68	301.33	387.02	733.19	651.58	336.79	679.29	432.53	660.68	376.41	698.41	332.14	579.04	356.05	387.02	371.22	307.69	616.37	414.87	397.93	435.55	447.82	785.88	647.07	624.99	500.46
RPL7L1	1896.65	1151.06	1991.0	1923.14	1721.16	1605.83	1733.13	1721.16	2148.82	2075.59	1088.92	1096.5	2061.24	1628.26	1540.37	1322.37	1508.65	1674.06	1662.49	1519.15	1733.13	1909.85	1487.87	2451.44	1388.16	1127.35	1127.35	1639.59	1378.57	1639.59	1388.16	1769.57	2004.85	1551.09	1572.76	1709.26	1936.53	1417.35	1191.69	1388.16	1857.6	1685.71	1225.22	2133.97	1617.0	2303.12	1135.2	1794.29	2032.85	1832.01	1081.39	1331.57	1313.23	1159.07	2075.59	1540.37	1313.23	1447.15	1721.16	1745.2	1540.37	1519.15	830.75
RPS6KA5	81.14	25.72	111.21	92.7	48.87	127.89	54.33	115.16	103.69	97.36	45.85	29.91	58.71	37.85	55.89	103.69	41.81	45.85	37.85	61.68	66.18	69.03	39.5	41.81	32.82	36.01	25.17	65.72	36.27	67.59	65.26	59.55	82.29	85.22	34.51	45.53	105.89	44.57	31.0	59.97	88.88	91.41	38.95	94.01	42.41	70.51	36.53	91.41	69.03	69.52	30.34	36.79	57.08	45.85	65.26	58.71	33.54	50.27	30.56	75.11	78.89	62.12	29.91
RPS6KA6	149.12	23.08	211.31	148.09	61.68	189.02	57.49	169.07	149.12	195.72	35.76	81.14	121.79	105.89	47.5	87.65	41.52	69.52	80.57	47.5	107.38	147.06	24.11	103.69	11.91	18.84	30.12	59.13	33.3	50.63	89.51	134.3	94.67	92.05	84.04	46.84	140.04	51.35	17.38	96.68	194.36	110.43	20.11	177.53	73.54	130.6	22.43	140.04	94.67	124.37	22.75	33.06	55.49	37.05	167.9	74.58	42.71	33.78	62.56	131.51	116.78	62.12	0.0
RUFY2	237.86	172.65	283.05	253.23	140.04	256.78	147.06	241.19	202.66	289.02	194.36	166.73	234.57	178.77	202.66	214.27	151.22	212.78	163.28	221.86	211.31	193.01	232.94	281.09	114.36	111.99	120.1	191.67	182.55	178.77	158.79	182.55	202.66	241.19	153.34	180.02	229.72	149.12	149.12	171.45	244.57	209.84	169.07	221.86	197.09	180.02	142.01	198.47	197.09	204.07	156.59	88.26	229.72	249.73	171.45	212.78	201.25	148.09	182.55	221.86	221.86	244.57	79.45
SAMD8	241.19	95.34	202.66	177.53	101.54	236.21	127.89	204.07	157.68	206.94	64.34	94.67	151.22	106.63	134.3	90.14	115.16	172.65	93.35	113.56	124.37	133.36	115.97	162.14	52.08	74.06	88.88	110.43	91.41	149.12	139.07	153.34	176.29	96.68	100.13	84.04	264.03	122.64	145.02	117.6	189.02	191.67	97.36	226.54	125.24	161.02	78.34	209.84	97.36	187.71	104.42	98.73	94.01	141.02	137.14	127.89	131.51	110.43	92.7	171.45	154.42	156.59	45.85
SDE2	285.03	78.89	303.44	353.59	161.02	265.87	150.17	312.0	249.73	281.09	123.5	124.37	232.94	154.42	152.28	155.5	178.77	232.94	136.19	142.01	158.79	244.57	166.73	152.28	30.12	72.01	98.73	195.72	120.94	181.28	164.42	237.86	232.94	158.79	126.12	150.17	348.71	125.24	120.1	131.51	301.33	239.52	88.26	320.8	144.01	258.57	93.35	305.55	231.32	199.85	96.01	90.77	143.01	124.37	215.77	147.06	156.59	162.14	122.64	220.32	215.77	164.42	46.84
SEC24C	1709.26	1286.18	1447.15	1605.83	1662.49	1467.37	1583.71	1936.53	1508.65	1594.73	896.64	1183.45	1639.59	1781.89	1359.57	1757.34	1286.18	1477.58	1331.57	1331.57	1340.84	1487.87	1350.18	1388.16	1242.34	1119.56	1037.29	1508.65	1088.92	1457.23	1594.73	1628.26	1769.57	1340.84	1407.55	1477.58	2627.46	1467.37	1044.52	1369.04	1037.29	1477.58	1250.98	1685.71	1529.73	1977.24	1388.16	1487.87	1216.75	1757.34	1208.34	1447.15	1242.34	1191.69	1417.35	1331.57	1233.75	1508.65	1369.04	1628.26	1572.76	1457.23	753.83
SETBP1	251.48	24.99	199.85	237.86	36.79	217.27	83.45	255.0	147.06	248.0	29.27	71.0	193.01	66.65	129.69	44.57	74.58	134.3	69.03	49.21	123.5	148.09	75.11	107.38	6.52	33.06	49.56	93.35	63.0	86.43	215.77	125.24	148.09	34.75	68.07	71.5	94.67	73.54	38.95	32.13	248.0	197.09	63.45	363.56	107.38	162.14	39.22	175.07	82.87	169.07	106.63	52.82	63.89	52.45	131.51	132.44	77.79	63.89	55.1	118.43	185.11	147.06	4.1
SETD7	1605.83	607.87	1059.11	1191.69	1037.29	1259.69	866.07	1322.37	1066.48	1167.14	376.41	642.59	1051.79	902.89	819.3	954.43	860.08	947.83	884.29	934.76	1051.79	1037.29	759.08	884.29	239.52	444.72	620.67	915.51	563.18	684.02	1059.11	1044.52	1447.15	1015.93	1030.12	802.41	1487.87	890.44	457.25	813.63	1685.71	1427.22	579.04	1437.15	967.76	1295.13	679.29	1407.55	698.41	1407.55	441.64	688.78	713.11	633.73	1127.35	718.08	669.92	748.61	616.37	1359.57	1208.34	981.29	73.54
SFXN1	679.29	299.25	651.58	503.95	351.14	607.87	334.46	543.96	559.28	563.18	119.26	173.85	483.38	387.02	287.01	320.8	392.44	303.44	353.59	312.0	343.89	429.54	262.2	356.05	205.5	205.5	224.97	473.41	236.21	273.37	392.44	435.55	693.58	301.33	329.84	366.09	753.83	224.97	327.56	363.56	525.39	486.75	309.83	703.28	444.72	438.59	234.57	503.95	289.02	473.41	206.94	336.79	248.0	285.03	629.35	366.09	260.38	264.03	242.88	563.18	532.74	389.72	251.48
SLC30A4	3395.89	1030.12	2627.46	3280.18	2367.9	2956.17	2018.8	3146.52	1277.29	2163.77	417.77	1111.82	2835.7	2701.35	1073.91	2193.99	1519.15	1857.6	1896.65	2148.82	1709.26	1529.73	1709.26	1977.24	305.55	1427.22	1572.76	1794.29	1037.29	769.69	1242.34	2193.99	2090.03	2133.97	2271.4	902.89	1096.5	2148.82	260.38	2816.11	2701.35	3982.99	1540.37	1350.18	2193.99	2061.24	1295.13	2664.15	137.14	4210.15	1427.22	1457.23	1059.11	1104.13	1709.26	1467.37	2193.99	1794.29	1477.58	4419.52	3874.05	2451.44	8.19
SLC30A9	1529.73	915.51	967.76	1268.46	1088.92	1508.65	802.41	1135.2	1350.18	1378.57	490.14	723.08	1159.07	1037.29	813.63	1001.93	860.08	1037.29	1008.9	1008.9	1127.35	1208.34	825.0	819.3	327.56	486.75	769.69	947.83	638.15	909.17	802.41	1059.11	1388.16	967.76	872.1	713.11	1819.35	796.86	583.07	1127.35	1447.15	1286.18	693.58	1119.56	921.88	1199.98	738.29	1268.46	1066.48	1044.52	679.29	830.75	728.11	842.36	1143.1	718.08	825.0	854.13	842.36	1286.18	1008.9	1030.12	277.2
SLC39A9	1268.46	842.36	1233.75	1583.71	981.29	1572.76	1066.48	1407.55	1037.29	1277.29	1259.69	463.65	1216.75	1159.07	842.36	1199.98	791.35	1104.13	1216.75	961.07	1096.5	1127.35	836.53	902.89	1127.35	909.17	909.17	967.76	848.22	1104.13	947.83	1359.57	1697.45	1242.34	1008.9	866.07	1457.23	1023.0	607.87	878.17	1286.18	1457.23	981.29	1467.37	1183.45	1427.22	1088.92	1313.23	656.11	1233.75	878.17	1233.75	802.41	1088.92	1183.45	1001.93	921.88	954.43	934.76	1662.49	1304.15	1081.39	559.28
SMARCC2	1183.45	435.55	1529.73	1127.35	878.17	1111.82	967.76	1295.13	995.0	1127.35	633.73	860.08	1151.06	1127.35	902.89	947.83	718.08	1030.12	928.3	575.03	967.76	1059.11	909.17	1208.34	1397.83	447.82	551.56	1096.5	638.15	909.17	1001.93	954.43	954.43	854.13	819.3	1127.35	1467.37	813.63	559.28	947.83	1135.2	866.07	555.41	1277.29	1008.9	1369.04	536.45	1008.9	1605.83	1044.52	595.34	595.34	738.29	1044.52	1199.98	1159.07	802.41	738.29	848.22	1104.13	1001.93	713.11	244.57
SMCR8	199.85	5.06	353.59	163.28	66.65	283.05	80.57	318.57	246.28	244.57	18.16	94.01	175.07	118.43	82.87	95.34	38.12	121.79	68.55	35.0	98.04	193.01	46.84	111.21	9.27	14.35	14.35	128.79	22.26	37.05	162.14	144.01	215.77	103.69	95.34	103.69	281.09	55.49	17.77	90.77	226.54	150.17	23.25	381.68	134.3	249.73	22.92	223.41	109.66	167.9	17.13	25.91	40.07	41.81	195.72	77.25	36.27	52.45	46.5	158.79	149.12	68.07	5.59
SPIN3	144.01	58.3	220.32	170.25	124.37	148.09	96.01	171.45	170.25	206.94	84.04	107.38	176.29	127.0	126.12	150.17	108.14	136.19	115.16	97.36	134.3	116.78	113.56	221.86	58.71	64.8	57.89	134.3	105.15	118.43	103.69	137.14	135.24	135.24	94.67	158.79	149.12	90.14	53.57	108.14	157.68	105.15	76.71	186.4	121.79	231.32	78.34	122.64	232.94	137.14	70.01	70.01	100.83	144.01	149.12	178.77	107.38	92.05	123.5	137.14	122.64	131.51	23.42
SPTLC1	1037.29	470.14	1015.93	988.12	866.07	1066.48	884.29	1088.92	915.51	1073.91	555.41	521.76	909.17	708.18	575.03	753.83	486.75	775.05	703.28	591.22	743.43	769.69	571.05	669.92	256.78	358.54	466.88	791.35	529.06	703.28	860.08	825.0	941.27	796.86	583.07	595.34	1088.92	647.07	473.41	603.67	1167.14	995.0	529.06	921.88	769.69	1015.93	429.54	981.29	775.05	842.36	460.44	583.07	587.13	543.96	902.89	651.58	713.11	555.41	490.14	1127.35	961.07	647.07	307.69
STX12	1008.9	444.72	743.43	764.36	599.49	902.89	708.18	791.35	669.92	884.29	291.04	412.0	738.29	603.67	679.29	567.1	603.67	748.61	612.11	642.59	656.11	624.99	620.67	476.71	356.05	435.55	518.15	733.19	547.75	679.29	638.15	599.49	802.41	555.41	591.22	521.76	890.44	620.67	521.76	497.0	954.43	1037.29	583.07	915.51	579.04	718.08	470.14	915.51	435.55	723.08	563.18	612.11	595.34	551.56	656.11	559.28	616.37	555.41	521.76	961.07	928.3	854.13	204.07
SUDS3	575.03	336.79	612.11	660.68	460.44	679.29	470.14	607.87	529.06	642.59	497.0	353.59	616.37	470.14	371.22	435.55	642.59	457.25	497.0	392.44	543.96	551.56	406.31	532.74	400.71	316.37	287.01	275.28	403.5	417.77	493.56	511.0	309.83	642.59	368.65	441.64	571.05	412.0	346.29	381.68	607.87	587.13	395.18	612.11	490.14	595.34	336.79	612.11	381.68	503.95	387.02	376.41	420.68	525.39	559.28	493.56	432.53	480.04	447.82	579.04	518.15	435.55	242.88
TCTN3	1044.52	961.07	896.64	1135.2	961.07	1191.69	866.07	1119.56	974.5	1088.92	518.15	764.36	988.12	1233.75	872.1	1081.39	665.29	884.29	1104.13	878.17	896.64	1001.93	775.05	896.64	872.1	872.1	723.08	842.36	748.61	872.1	1104.13	1175.27	1127.35	665.29	928.3	836.53	1059.11	896.64	884.29	1081.39	1199.98	1030.12	974.5	1008.9	1096.5	1143.1	921.88	1286.18	802.41	1015.93	693.58	928.3	825.0	753.83	981.29	813.63	780.44	928.3	819.3	1216.75	1073.91	947.83	802.41
TEX2	679.29	318.57	595.34	708.18	376.41	679.29	532.74	651.58	733.19	536.45	265.87	438.59	525.39	603.67	466.88	397.93	343.89	438.59	532.74	403.5	305.55	660.68	325.29	400.71	249.73	420.68	334.46	579.04	371.22	392.44	583.07	563.18	624.99	412.0	511.0	480.04	642.59	521.76	351.14	551.56	591.22	647.07	305.55	638.15	540.19	583.07	384.34	579.04	332.14	718.08	327.56	543.96	325.29	343.89	571.05	435.55	389.72	450.94	450.94	551.56	607.87	395.18	116.78
TGDS	193.01	125.24	197.09	279.14	117.6	251.48	164.42	197.09	187.71	262.2	183.82	111.21	299.25	140.04	145.02	185.11	156.59	221.86	170.25	208.38	206.94	229.72	123.5	115.16	115.97	121.79	150.17	172.65	169.07	228.13	140.04	177.53	178.77	60.39	128.79	183.82	212.78	142.01	130.6	133.36	299.25	217.27	182.55	212.78	176.29	194.36	120.1	242.88	120.94	156.59	100.13	96.01	151.22	175.07	241.19	169.07	189.02	167.9	171.45	297.17	214.27	239.52	115.97
TMED8	239.52	107.38	197.09	189.02	152.28	218.79	139.07	209.84	194.36	226.54	103.69	129.69	167.9	182.55	147.06	118.43	117.6	136.19	167.9	141.02	164.42	191.67	131.51	128.79	82.29	52.82	102.25	183.82	116.78	120.94	171.45	187.71	180.02	162.14	145.02	131.51	171.45	150.17	90.14	158.79	208.38	246.28	102.25	242.88	136.19	170.25	87.65	204.07	146.03	202.66	102.25	111.21	121.79	140.04	161.02	128.79	108.9	101.54	113.56	171.45	165.57	139.07	44.57
TMEM164	277.2	214.27	457.25	379.04	307.69	473.41	356.05	409.15	414.87	381.68	220.32	406.31	420.68	327.56	271.48	277.2	299.25	387.02	253.23	237.86	483.38	403.5	395.18	454.09	253.23	220.32	142.01	366.09	277.2	251.48	432.53	325.29	486.75	299.25	279.14	392.44	400.71	281.09	149.12	295.11	420.68	409.15	312.0	457.25	309.83	368.65	329.84	400.71	358.54	332.14	271.48	297.17	262.2	336.79	387.02	291.04	297.17	287.01	244.57	351.14	346.29	334.46	138.1
TMEM184C	607.87	256.78	954.43	728.11	361.04	780.44	392.44	743.43	607.87	698.41	323.03	256.78	567.1	373.81	281.09	480.04	214.27	397.93	409.15	223.41	406.31	500.46	264.03	329.84	163.28	246.28	271.48	476.71	241.19	327.56	438.59	420.68	514.56	429.54	426.57	444.72	651.58	277.2	234.57	400.71	748.61	555.41	244.57	638.15	423.61	563.18	190.34	647.07	547.75	521.76	291.04	301.33	242.88	295.11	559.28	351.14	373.81	329.84	327.56	587.13	529.06	376.41	81.71
TMEM192	1183.45	536.45	791.35	909.17	802.41	974.5	583.07	981.29	1015.93	1073.91	312.0	511.0	842.36	915.51	507.46	400.71	536.45	748.61	603.67	679.29	583.07	1104.13	470.14	688.78	371.22	346.29	656.11	753.83	409.15	417.77	665.29	759.08	921.88	775.05	1051.79	587.13	902.89	497.0	260.38	759.08	1295.13	1135.2	518.15	1088.92	915.51	769.69	536.45	961.07	813.63	1030.12	327.56	470.14	420.68	395.18	1015.93	476.71	563.18	575.03	555.41	1175.27	842.36	872.1	104.42
TMEM245	830.75	289.02	941.27	780.44	368.65	967.76	332.14	693.58	529.06	723.08	473.41	332.14	480.04	361.04	389.72	540.19	260.38	358.54	301.33	361.04	426.57	514.56	262.2	441.64	187.71	177.53	309.83	297.17	273.37	301.33	466.88	612.11	563.18	532.74	283.05	327.56	669.92	318.57	165.57	376.41	743.43	616.37	251.48	1001.93	409.15	616.37	236.21	638.15	500.46	599.49	271.48	277.2	246.28	293.07	660.68	373.81	267.73	291.04	346.29	547.75	629.35	490.14	120.94
TRAPPC6B	384.34	189.02	341.51	325.29	260.38	358.54	281.09	366.09	363.56	412.0	237.86	185.11	309.83	241.19	312.0	242.88	202.66	314.17	277.2	334.46	275.28	334.46	277.2	303.44	175.07	218.79	260.38	273.37	265.87	332.14	253.23	332.14	341.51	287.01	220.32	265.87	343.89	285.03	205.5	224.97	348.71	376.41	258.57	432.53	271.48	384.34	214.27	373.81	244.57	339.14	265.87	231.32	281.09	262.2	327.56	363.56	246.28	253.23	256.78	417.77	343.89	381.68	199.85
TRIM4	633.73	363.56	665.29	679.29	363.56	703.28	563.18	532.74	540.19	669.92	397.93	591.22	708.18	441.64	426.57	450.94	187.71	438.59	406.31	392.44	514.56	753.83	249.73	470.14	303.44	353.59	253.23	463.65	429.54	497.0	536.45	417.77	432.53	460.44	500.46	432.53	599.49	327.56	363.56	366.09	759.08	616.37	529.06	651.58	514.56	486.75	363.56	660.68	603.67	521.76	379.04	392.44	363.56	429.54	669.92	417.77	497.0	493.56	395.18	620.67	723.08	521.76	156.59
