	GTEX.S341.1326.SM.4AD72	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.U8T8.2226.SM.3DB95	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T
PPP1R16A	1794.29	759.08	1059.11	595.34	4328.55	825.0	1313.23	748.61	1487.87	934.76	2468.49	1369.04	1119.56	2032.85	1304.15	2997.45	718.08	854.13	1397.83	633.73	1350.18	366.09	514.56	629.35	780.44	1001.93	1175.27	1407.55	1059.11	1023.0	1096.5	698.41	2935.74	825.0	4607.24	438.59	660.68	981.29	1277.29	1268.46	1709.26	532.74	2032.85	819.3	995.0	988.12	1977.24	842.36	420.68	775.05	363.56
PROM1	641014.63	173.85	2816.11	559.28	4836.35	5006.93	775.05	323.03	1963.57	848.22	941.27	183.82	638.15	2032.85	460.44	5076.84	49.56	105.15	201.25	738.29	967.76	19.53	32.59	764.36	96.01	150.17	1023.0	842.36	616.37	126.12	403.5	373.81	2855.44	183.82	5555.65	24.63	156.59	82.87	1963.57	981.29	4802.93	45.85	1883.54	264.03	135.24	651.58	1030.12	107.38	60.82	70.51	31.45
PRR7	148.09	51.71	107.38	53.19	220.32	53.57	72.52	60.39	53.95	22.43	98.04	52.82	52.45	44.25	63.0	155.5	26.86	40.64	36.27	39.5	59.55	29.7	21.47	22.43	27.84	48.52	90.14	40.07	37.32	44.57	43.32	26.1	98.73	27.44	214.27	11.47	23.59	43.63	126.12	88.26	201.25	10.39	95.34	26.67	55.89	21.47	128.79	18.29	35.0	21.01	9.27
RAB36	3716.2	158.79	447.82	264.03	1896.65	376.41	373.81	232.94	703.28	395.18	571.05	323.03	353.59	684.02	466.88	796.86	327.56	309.83	454.09	406.31	599.49	123.5	169.07	356.05	144.01	403.5	703.28	497.0	392.44	536.45	473.41	193.01	1111.82	239.52	981.29	111.99	320.8	275.28	624.99	532.74	995.0	98.73	764.36	258.57	341.51	563.18	909.17	316.37	72.01	93.35	156.59
RABL2A	1159.07	476.71	854.13	339.14	2434.5	884.29	753.83	387.02	1551.09	854.13	1159.07	791.35	476.71	896.64	684.02	1037.29	612.11	540.19	591.22	343.89	1151.06	281.09	293.07	642.59	432.53	1088.92	780.44	848.22	830.75	854.13	775.05	684.02	2384.37	323.03	2303.12	220.32	579.04	713.11	909.17	616.37	1685.71	307.69	1135.2	493.56	698.41	1159.07	1540.37	441.64	249.73	320.8	353.59
RFX2	255.0	409.15	665.29	447.82	1857.6	961.07	656.11	351.14	866.07	426.57	1397.83	361.04	825.0	651.58	723.08	764.36	476.71	612.11	457.25	830.75	595.34	199.85	231.32	493.56	341.51	1159.07	878.17	595.34	579.04	536.45	529.06	409.15	1111.82	417.77	1340.84	323.03	444.72	1487.87	1135.2	497.0	1295.13	307.69	1870.53	435.55	1023.0	616.37	1104.13	507.46	525.39	267.73	551.56
RHPN2	3372.43	141.02	368.65	273.37	1051.79	406.31	193.01	366.09	476.71	320.8	497.0	242.88	713.11	551.56	279.14	791.35	255.0	85.82	497.0	693.58	373.81	129.69	220.32	460.44	90.77	275.28	529.06	379.04	518.15	260.38	423.61	126.12	909.17	728.11	1008.9	193.01	115.16	258.57	616.37	356.05	1437.15	19.25	444.72	267.73	384.34	420.68	612.11	287.01	59.13	59.55	163.28
RIBC1	2047.0	123.5	389.72	241.19	1331.57	473.41	473.41	248.0	583.07	255.0	346.29	242.88	264.03	373.81	291.04	728.11	176.29	153.34	381.68	231.32	414.87	92.05	157.68	327.56	89.51	312.0	514.56	376.41	297.17	305.55	460.44	209.84	753.83	140.04	1088.92	77.79	183.82	336.79	532.74	457.25	748.61	90.77	447.82	197.09	323.03	567.1	1059.11	198.47	66.65	91.41	89.51
RIIAD1	2976.74	194.36	825.0	447.82	2018.8	1059.11	1151.06	457.25	759.08	612.11	1111.82	995.0	607.87	733.19	476.71	1167.14	368.65	206.94	529.06	387.02	780.44	163.28	329.84	371.22	120.94	738.29	525.39	934.76	599.49	1225.22	909.17	223.41	1397.83	239.52	1674.06	155.5	356.05	291.04	1081.39	796.86	2351.53	94.01	1378.57	703.28	438.59	587.13	1304.15	295.11	64.34	100.13	127.89
ROPN1L	184082.4	444.72	1709.26	647.07	5183.54	1832.01	780.44	860.08	1467.37	808.0	1295.13	860.08	934.76	1561.89	764.36	3874.05	473.41	441.64	753.83	620.67	1605.83	260.38	406.31	872.1	237.86	1037.29	2047.0	1407.55	995.0	1015.93	1457.23	497.0	4298.64	417.77	3060.45	214.27	466.88	595.34	2240.11	1508.65	5517.27	231.32	1844.76	400.71	674.59	1088.92	2956.17	463.65	119.26	169.07	177.53
RP11-368I7.4	228.13	42.11	80.57	48.87	234.57	126.12	78.34	63.45	103.69	88.26	73.54	50.63	50.63	107.38	80.57	237.86	57.08	48.87	67.59	65.26	121.79	24.99	40.07	58.71	26.86	39.79	81.14	128.79	80.01	80.57	76.71	49.91	169.07	23.08	198.47	9.13	43.02	64.34	142.01	94.67	198.47	30.34	98.73	43.94	54.72	115.97	135.24	53.95	15.68	20.86	17.51
RP11-697E2.6	12.09	5.87	7.63	2.46	12.18	4.74	7.28	4.82	11.55	4.35	5.77	10.0	1.5	6.46	3.92	8.32	3.72	4.03	4.5	2.71	9.13	4.78	3.32	3.89	2.73	4.43	4.74	6.89	4.24	4.5	3.63	2.78	13.03	2.07	12.64	1.38	5.06	7.4	9.48	7.28	16.88	2.03	6.21	3.53	3.32	4.94	9.78	6.11	5.11	3.63	5.06
RP13-996F3.4	1.35	0.75	0.0	1.68	4.21	0.0	1.43	0.27	1.11	0.0	4.03	0.83	2.18	2.89	0.65	3.82	1.6	1.87	0.0	1.93	3.59	0.0	0.0	0.11	0.0	1.62	0.89	3.44	4.35	0.0	1.39	0.75	0.72	0.0	2.73	0.09	2.56	2.76	2.73	1.2	6.11	0.82	2.39	3.56	4.43	3.2	5.02	1.95	0.0	0.0	2.32
RSPH1	573724.06	1051.79	3190.46	1322.37	8963.45	2090.03	2193.99	1662.49	2720.15	1508.65	2591.27	1487.87	1417.35	2319.15	2351.53	6561.36	1175.27	802.41	2061.24	1769.57	3257.52	420.68	967.76	1519.15	521.76	2502.97	2520.38	3467.27	2434.5	2417.67	3212.66	1268.46	5555.65	723.08	6037.61	447.82	981.29	1709.26	3794.3	2875.3	7749.1	521.76	2935.74	1088.92	1721.16	2303.12	4903.87	915.51	283.05	239.52	423.61
RSPH4A	11345.82	117.6	660.68	480.04	2004.85	599.49	395.18	381.68	529.06	450.94	423.61	376.41	466.88	595.34	343.89	651.58	258.57	155.5	358.54	441.64	629.35	112.77	234.57	511.0	98.73	325.29	791.35	665.29	518.15	547.75	896.64	237.86	1313.23	341.51	1088.92	116.78	320.8	307.69	693.58	674.59	2271.4	58.3	518.15	283.05	373.81	447.82	1304.15	234.57	43.94	64.34	158.79
RSPH9	214.27	107.38	299.25	136.19	638.15	244.57	176.29	248.0	320.8	120.94	293.07	195.72	190.34	295.11	176.29	521.76	88.88	94.67	211.31	197.09	275.28	74.06	117.6	161.02	75.11	195.72	255.0	256.78	189.02	211.31	242.88	134.3	551.56	88.26	389.72	62.12	128.79	102.25	381.68	202.66	579.04	46.18	299.25	127.0	176.29	232.94	400.71	139.07	51.35	43.32	77.79
SCGB1A1	0.0	1273174.62	3336720.86	485798.0	845824.19	2581895.97	1063212.58	1813064.98	706337.4	731246.37	3178687.03	2343119.96	2068278.89	1739208.14	834179.46	1093103.58	1131651.83	303217.87	1041331.96	711250.37	3156730.23	845824.19	721179.07	971597.0	80683.28	2691538.19	757033.75	3178687.03	794671.01	1556634.79	3091765.64	828417.36	3968052.37	1155430.26	3134925.09	524287.0	1290947.48	1212874.47	2392353.91	2082664.91	2825352.59	87681.42	1246973.04	1012856.65	1943195.01	998912.34	1255646.43	668235.84	41763.8	30151.71	589853.66
SDR42E2	45.21	6.21	6.11	2.29	18.7	9.48	8.51	2.66	23.25	13.22	16.03	7.82	2.86	9.56	8.13	15.45	4.17	4.5	6.16	6.46	6.89	3.29	4.06	6.06	2.76	8.38	12.09	14.67	7.88	8.06	11.38	6.06	24.46	2.92	19.82	1.48	4.5	11.38	11.55	6.06	12.18	3.66	16.39	1.71	4.94	15.45	12.93	7.06	0.72	3.79	1.35
SLC25A10	1721.16	71.5	265.87	363.56	432.53	101.54	291.04	283.05	307.69	197.09	224.97	249.73	177.53	283.05	183.82	414.87	309.83	110.43	159.9	412.0	366.09	95.34	473.41	244.57	107.38	177.53	149.12	309.83	204.07	186.4	212.78	145.02	368.65	178.77	466.88	156.59	229.72	256.78	265.87	285.03	417.77	129.69	271.48	412.0	339.14	303.44	279.14	113.56	82.87	132.44	164.42
SLC44A4	569761.05	2485.67	11112.3	4671.57	29327.18	20170.07	4543.8	5041.77	12764.83	4268.94	9344.14	2591.27	10440.2	18950.18	2956.17	29531.18	2075.59	1225.22	3874.05	7433.4	10225.32	1350.18	2468.49	5006.93	371.22	5329.3	12764.83	7032.37	11345.82	4123.49	7331.05	1662.49	17558.94	1427.22	18819.27	698.41	3190.46	3515.68	12076.21	8658.09	44145.15	182.55	14262.1	3515.68	5555.65	4210.15	13968.57	2502.97	189.02	281.09	1331.57
SPA17	3589.58	332.14	1572.76	785.88	2664.15	1175.27	738.29	684.02	1322.37	454.09	713.11	473.41	759.08	1030.12	688.78	2271.4	616.37	435.55	642.59	909.17	1051.79	217.27	571.05	860.08	334.46	651.58	775.05	1088.92	896.64	743.43	1225.22	567.1	2018.8	389.72	1617.0	327.56	463.65	420.68	1628.26	1119.56	3372.43	356.05	995.0	660.68	607.87	616.37	1950.0	414.87	392.44	108.14	368.65
SPAG8	3235.01	202.66	638.15	144.01	2075.59	656.11	476.71	172.65	934.76	329.84	842.36	432.53	244.57	902.89	460.44	1051.79	373.81	239.52	281.09	236.21	616.37	113.56	142.01	275.28	176.29	583.07	555.41	728.11	387.02	559.28	529.06	420.68	1277.29	102.25	1397.83	86.43	214.27	341.51	599.49	466.88	1151.06	113.56	1023.0	265.87	295.11	764.36	1051.79	137.14	92.7	151.22	76.17
SPATA17	7280.4	80.57	417.77	218.79	703.28	371.22	231.32	208.38	441.64	260.38	323.03	177.53	253.23	417.77	172.65	490.14	152.28	133.36	234.57	195.72	316.37	63.45	94.67	228.13	88.26	256.78	420.68	318.57	307.69	314.17	384.34	141.02	583.07	87.65	547.75	104.42	141.02	146.03	435.55	312.0	954.43	40.07	435.55	166.73	154.42	195.72	429.54	112.77	36.27	38.95	73.54
SPATA6L	249.73	103.69	314.17	92.05	1001.93	796.86	152.28	28.45	336.79	232.94	480.04	100.83	381.68	878.17	120.94	559.28	156.59	139.07	178.77	132.44	217.27	91.41	57.89	224.97	79.45	457.25	271.48	356.05	500.46	208.38	199.85	178.77	392.44	56.68	961.07	153.34	98.73	111.99	473.41	392.44	1447.15	18.43	285.03	120.1	78.34	473.41	353.59	295.11	54.33	103.69	105.15
STMND1	29531.18	256.78	915.51	353.59	1605.83	353.59	389.72	348.71	660.68	343.89	547.75	426.57	281.09	521.76	356.05	595.34	155.5	215.77	476.71	295.11	684.02	110.43	204.07	371.22	93.35	441.64	624.99	679.29	480.04	575.03	603.67	217.27	1073.91	75.64	1111.82	81.14	201.25	239.52	988.12	444.72	1216.75	101.54	775.05	285.03	356.05	466.88	1051.79	234.57	53.95	74.58	65.26
TFAP2A	414.87	65.26	82.87	90.14	379.04	99.43	51.71	25.17	136.19	69.52	108.14	61.68	22.26	127.89	82.87	329.84	49.91	20.71	89.51	25.91	147.06	35.0	11.91	43.32	21.78	27.44	92.05	42.71	70.01	72.52	33.06	33.54	260.38	4.39	220.32	3.63	14.14	33.54	171.45	190.34	277.2	7.94	108.9	27.05	38.67	127.89	229.72	15.8	8.45	26.86	11.21
TMC4	18178.19	1127.35	2240.11	2287.2	4066.71	1583.71	1781.89	1639.59	1151.06	1111.82	2018.8	1467.37	2609.3	3039.3	947.83	3901.01	1909.85	1037.29	961.07	2520.38	2104.58	1242.34	2061.24	2451.44	503.95	915.51	1216.75	3146.52	2367.9	1685.71	1369.04	665.29	3168.41	1639.59	4836.35	1628.26	2032.85	1794.29	2163.77	3168.41	4869.99	75.64	2119.22	1594.73	1639.59	2075.59	3716.2	1605.83	303.44	438.59	1037.29
TMEM231	6887.62	258.57	1073.91	423.61	3874.05	1417.35	921.88	503.95	1529.73	738.29	1639.59	753.83	974.5	1923.14	642.59	1883.54	480.04	376.41	842.36	665.29	1127.35	316.37	376.41	775.05	236.21	934.76	1208.34	1051.79	651.58	1023.0	1583.71	547.75	2627.46	483.38	2104.58	253.23	575.03	559.28	1427.22	1135.2	2645.74	169.07	1617.0	460.44	571.05	1159.07	1594.73	441.64	224.97	293.07	231.32
TMEM232	1685.71	141.02	226.54	121.79	848.22	295.11	201.25	202.66	460.44	291.04	172.65	130.6	234.57	356.05	127.89	454.09	111.99	52.45	301.33	180.02	318.57	36.01	94.67	341.51	82.29	264.03	346.29	450.94	316.37	303.44	414.87	120.94	647.07	29.27	733.19	41.22	127.89	115.97	780.44	305.55	1088.92	71.5	426.57	182.55	145.02	356.05	684.02	96.68	33.78	53.19	99.43
TMEM52	122.64	38.4	64.8	70.01	860.08	117.6	94.67	85.22	97.36	56.28	285.03	115.16	92.7	265.87	80.57	237.86	76.71	49.91	112.77	65.26	146.03	36.79	22.92	46.5	19.25	105.89	99.43	129.69	49.56	60.82	108.9	42.11	638.15	45.85	409.15	53.57	43.63	106.63	281.09	81.14	158.79	20.41	312.0	52.82	85.22	215.77	251.48	36.53	11.73	12.09	23.93
TMEM67	414.87	197.09	409.15	130.6	928.3	698.41	361.04	198.47	559.28	193.01	642.59	283.05	320.8	587.13	237.86	470.14	223.41	197.09	348.71	187.71	309.83	150.17	220.32	299.25	246.28	532.74	529.06	351.14	251.48	497.0	403.5	301.33	603.67	269.6	836.53	106.63	167.9	190.34	441.64	273.37	775.05	96.68	941.27	236.21	183.82	470.14	441.64	239.52	106.63	195.72	132.44
TP73	1870.53	91.41	171.45	94.67	802.41	212.78	152.28	80.01	299.25	118.43	260.38	153.34	139.07	366.09	143.01	220.32	118.43	69.03	171.45	125.24	228.13	42.41	76.71	84.63	42.41	159.9	381.68	187.71	172.65	183.82	177.53	127.89	503.95	45.53	497.0	32.36	69.03	105.15	277.2	220.32	346.29	25.91	343.89	84.04	133.36	242.88	343.89	104.42	14.67	29.27	30.34
TRAF3IP1	624.99	143.01	476.71	249.73	872.1	325.29	285.03	348.71	529.06	368.65	406.31	255.0	368.65	466.88	387.02	629.35	269.6	183.82	358.54	361.04	432.53	287.01	223.41	361.04	299.25	339.14	267.73	400.71	447.82	343.89	473.41	356.05	595.34	414.87	656.11	314.17	312.0	348.71	438.59	366.09	769.69	242.88	551.56	287.01	312.0	483.38	529.06	258.57	143.01	223.41	221.86
TRPV4	733.19	348.71	387.02	142.01	1286.18	373.81	211.31	149.12	532.74	209.84	669.92	186.4	115.97	412.0	480.04	688.78	143.01	133.36	301.33	166.73	318.57	61.68	97.36	137.14	59.13	229.72	414.87	221.86	384.34	264.03	255.0	153.34	587.13	94.67	961.07	116.78	81.14	125.24	616.37	348.71	612.11	46.84	497.0	115.97	153.34	397.93	532.74	100.83	49.91	52.82	47.17
TSPAN1	425853.18	1844.76	15180.22	6294.04	23330.64	13872.08	5711.87	5479.15	10014.87	6887.62	9474.59	5183.54	6745.86	14163.58	5479.15	25179.16	3039.3	3124.78	4769.75	10512.82	9151.82	1806.78	3716.2	5292.48	1199.98	5041.77	11909.94	10014.87	8022.41	6381.92	9025.81	2468.49	15392.14	2777.33	17197.56	1437.15	3280.18	4671.57	20030.74	11267.44	40904.3	642.59	8479.89	3303.0	4419.52	6207.38	18052.61	3515.68	1044.52	555.41	1159.07
TSPAN19	12.74	190.34	896.64	329.84	2224.63	1883.54	802.41	287.01	1447.15	551.56	1030.12	251.48	575.03	1529.73	656.11	1051.79	91.41	318.57	412.0	363.56	493.56	21.78	59.97	591.22	162.14	432.53	1242.34	426.57	435.55	356.05	909.17	190.34	753.83	239.52	3564.78	45.21	187.71	283.05	1936.53	629.35	2319.15	49.56	1417.35	175.07	281.09	743.43	1143.1	307.69	71.5	100.83	70.51
TTC23L	246.28	41.52	65.26	28.24	172.65	137.14	53.19	31.0	64.34	35.0	99.43	29.91	85.22	137.14	47.5	158.79	47.5	41.22	55.89	37.32	74.58	39.79	23.93	49.56	25.17	85.82	126.12	65.72	62.12	84.04	59.13	52.45	105.15	15.22	109.66	22.59	14.89	25.35	57.08	101.54	153.34	15.0	142.01	24.28	72.52	90.14	98.04	22.59	17.9	48.52	11.38
TTC26	289.02	72.52	130.6	150.17	325.29	190.34	163.28	123.5	186.4	152.28	162.14	147.06	157.68	176.29	141.02	248.0	105.15	100.83	137.14	206.94	176.29	67.59	123.5	228.13	95.34	132.44	173.85	193.01	106.63	185.11	204.07	97.36	269.6	145.02	242.88	98.73	165.57	116.78	198.47	181.28	339.14	131.51	205.5	121.79	127.0	136.19	239.52	111.99	73.54	79.45	100.13
TTC29	18950.18	162.14	423.61	148.09	928.3	392.44	214.27	187.71	480.04	251.48	237.86	171.45	271.48	490.14	201.25	441.64	111.21	94.67	336.79	229.72	384.34	54.72	103.69	220.32	57.08	303.44	466.88	366.09	275.28	271.48	343.89	163.28	521.76	90.14	769.69	47.17	132.44	111.21	642.59	312.0	1208.34	48.18	397.93	116.78	120.94	273.37	612.11	121.79	22.75	45.21	68.07
UBXN11	1757.34	571.05	1781.89	848.22	3540.14	1721.16	1896.65	599.49	1617.0	1457.23	1991.0	1151.06	647.07	2119.22	1242.34	2061.24	988.12	872.1	941.27	743.43	1167.14	543.96	633.73	620.67	884.29	1369.04	1963.57	1781.89	1030.12	1175.27	1295.13	1073.91	2720.15	420.68	2915.45	414.87	733.19	1088.92	1572.76	896.64	1757.34	454.09	1651.0	896.64	1023.0	1605.83	1551.09	457.25	713.11	1331.57	493.56
VSIG8	29.06	11.21	6.01	2.76	50.98	16.75	13.22	1.2	16.75	8.19	24.81	9.56	4.86	12.0	18.29	24.11	10.63	9.06	13.22	4.5	9.63	1.89	1.33	4.9	5.19	19.39	12.27	24.11	3.66	9.78	3.59	5.11	28.45	1.28	43.94	0.06	2.2	3.76	36.53	5.68	10.71	2.81	39.79	2.51	5.63	13.83	24.46	8.85	8.32	8.38	1.0
VWA7	83.45	88.88	447.82	239.52	1183.45	890.44	358.54	106.63	361.04	587.13	525.39	108.9	381.68	802.41	215.77	791.35	177.53	153.34	314.17	305.55	392.44	106.63	110.43	275.28	92.05	521.76	500.46	318.57	511.0	189.02	392.44	161.02	551.56	212.78	620.67	43.63	177.53	358.54	785.88	336.79	1662.49	37.32	981.29	124.37	329.84	400.71	591.22	85.22	62.12	44.25	93.35
WDR16	12076.21	429.54	796.86	381.68	2240.11	961.07	679.29	438.59	1037.29	493.56	633.73	457.25	529.06	921.88	647.07	1199.98	381.68	412.0	728.11	403.5	884.29	147.06	246.28	463.65	299.25	713.11	1268.46	796.86	642.59	748.61	961.07	473.41	1757.34	202.66	1832.01	121.79	346.29	518.15	1359.57	651.58	1733.13	156.59	1225.22	295.11	540.19	860.08	1388.16	303.44	66.65	113.56	108.9
WDR49	10512.82	85.22	246.28	102.97	1322.37	301.33	473.41	111.99	406.31	226.54	358.54	115.16	181.28	466.88	195.72	796.86	78.89	115.16	305.55	69.03	454.09	47.5	70.51	172.65	64.34	334.46	470.14	251.48	198.47	236.21	289.02	137.14	529.06	59.97	1225.22	23.08	52.45	147.06	713.11	236.21	1066.48	53.19	559.28	104.42	120.94	583.07	529.06	81.14	29.7	36.27	81.14
WDR52	674.59	193.01	295.11	110.43	1781.89	299.25	376.41	131.51	312.0	432.53	620.67	180.02	166.73	343.89	281.09	518.15	228.13	165.57	409.15	86.43	454.09	68.07	96.01	197.09	293.07	249.73	368.65	454.09	141.02	275.28	316.37	186.4	1159.07	86.43	1104.13	44.57	255.0	135.24	967.76	293.07	915.51	134.3	612.11	152.28	307.69	511.0	748.61	134.3	34.51	120.94	97.36
WDR54	3467.27	708.18	1467.37	620.67	4210.15	1088.92	1242.34	921.88	2287.2	967.76	2287.2	1427.22	802.41	2178.83	1127.35	3146.52	620.67	656.11	1111.82	902.89	1806.78	733.19	599.49	684.02	571.05	1508.65	1359.57	1437.15	947.83	1233.75	1378.57	808.0	3303.0	323.03	2555.58	336.79	836.53	1066.48	1605.83	1191.69	2816.11	483.38	1769.57	808.0	988.12	1794.29	2163.77	536.45	353.59	660.68	323.03
WDR65	5112.16	84.04	339.14	132.44	1096.5	277.2	305.55	163.28	486.75	214.27	303.44	253.23	193.01	303.44	171.45	441.64	229.72	102.25	273.37	155.5	368.65	88.88	103.69	291.04	59.97	366.09	371.22	417.77	285.03	384.34	490.14	202.66	808.0	112.77	713.11	69.03	145.02	204.07	540.19	353.59	866.07	56.68	500.46	142.01	206.94	358.54	665.29	138.1	38.67	28.65	66.18
WDR66	8191.0	195.72	728.11	237.86	2739.08	728.11	624.99	293.07	934.76	277.2	884.29	409.15	466.88	836.53	376.41	1378.57	361.04	454.09	476.71	356.05	733.19	85.82	148.09	384.34	140.04	595.34	915.51	607.87	412.0	791.35	808.0	201.25	1709.26	208.38	1674.06	124.37	267.73	346.29	1259.69	679.29	1819.35	105.15	1135.2	264.03	309.83	830.75	1487.87	277.2	55.1	59.97	94.01
WDR78	4481.23	92.05	363.56	226.54	974.5	470.14	229.72	287.01	450.94	262.2	423.61	299.25	289.02	400.71	182.55	454.09	159.9	148.09	309.83	217.27	559.28	118.43	114.36	379.04	150.17	279.14	470.14	1088.92	260.38	420.68	483.38	206.94	961.07	107.38	708.18	75.11	167.9	156.59	587.13	373.81	1277.29	67.59	612.11	165.57	255.0	295.11	660.68	137.14	81.14	127.0	94.67
WDR90	842.36	325.29	684.02	285.03	2451.44	1540.37	543.96	193.01	1208.34	791.35	2018.8	599.49	638.15	2271.4	500.46	1844.76	473.41	599.49	693.58	358.54	748.61	409.15	258.57	291.04	323.03	842.36	1457.23	693.58	490.14	674.59	679.29	486.75	2193.99	507.46	2075.59	248.0	486.75	514.56	656.11	684.02	967.76	178.77	1832.01	356.05	486.75	1467.37	1662.49	299.25	189.02	500.46	195.72
ZC2HC1C	341.51	115.16	186.4	136.19	884.29	346.29	146.03	279.14	395.18	169.07	460.44	392.44	129.69	329.84	181.28	532.74	253.23	178.77	269.6	221.86	320.8	99.43	255.0	165.57	103.69	258.57	348.71	414.87	128.79	373.81	406.31	186.4	796.86	100.13	860.08	152.28	191.67	309.83	412.0	202.66	336.79	64.8	476.71	301.33	363.56	397.93	493.56	165.57	37.59	44.89	217.27
ZMYND10	757033.75	1487.87	4639.29	1870.53	16269.83	4512.4	4123.49	2485.67	5147.73	1936.53	7857.29	4095.0	2319.15	5954.47	3467.27	15607.02	2255.7	1662.49	3614.55	2739.08	3982.99	591.22	1529.73	2119.22	808.0	4152.18	4388.98	4671.57	3168.41	4607.24	4903.87	1697.45	14461.21	1023.0	10585.95	665.29	1447.15	3103.19	6745.86	3982.99	10084.54	417.77	8022.41	1936.53	2915.45	6699.25	7857.29	1605.83	320.8	316.37	759.08
ZMYND12	1883.54	253.23	358.54	163.28	967.76	143.01	183.82	412.0	518.15	182.55	239.52	285.03	115.16	199.85	236.21	591.22	117.6	111.21	241.19	214.27	351.14	85.22	218.79	287.01	105.15	122.64	167.9	507.46	237.86	438.59	361.04	161.02	642.59	34.51	1175.27	78.34	133.36	185.11	414.87	397.93	1225.22	38.95	327.56	236.21	217.27	214.27	543.96	136.19	21.94	53.57	145.02
ZNF440	2047.0	177.53	351.14	186.4	1674.06	591.22	387.02	158.79	718.08	325.29	525.39	182.55	223.41	483.38	309.83	518.15	165.57	153.34	262.2	226.54	633.73	147.06	177.53	346.29	187.71	384.34	438.59	607.87	277.2	414.87	348.71	281.09	1397.83	223.41	753.83	81.71	293.07	293.07	480.04	320.8	759.08	135.24	579.04	214.27	279.14	665.29	536.45	157.68	64.34	120.1	169.07
