	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.145LS.2726.SM.5Q5D8	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.147JS.2526.SM.5S2Q8	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.14BMV.2426.SM.5S2PP	GTEX.12ZZY.2726.SM.5EQ45	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.UJHI.1126.SM.4IHLN	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.Y8E4.2426.SM.4WWDN	GTEX.13OW6.2126.SM.5N9GL	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.11DXZ.1726.SM.5H12M	GTEX.TKQ2.1326.SM.4DXT9	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.QCQG.1626.SM.48U26	GTEX.11O72.2226.SM.5PNW2	GTEX.Y3IK.1826.SM.4WWDS	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07
SMTNL2	29.7	2.18	0.77	2.51	1.87	9.2	44.57	9.48	170.25	0.51	12.0	34.51	20.71	34.75	3.5	30.78	2.51	0.0	10.08	6.57	0.72	17.38	1.69	3.23	36.01	67.59	15.0	14.56	3.35	5.59	32.59	2.61	0.0	35.25	2.58	17.38	2.66	9.93	19.53	6.26	0.65	2.86	39.5	87.65	3.0	14.24	10.96	46.84	4.86	17.51	3.69	27.25	3.53	0.01	0.0	2.61	0.69	1.73	0.09	0.95	0.0
SOX2	3.82	0.72	3.63	5.68	0.23	2.63	223.41	2.2	199.85	2.18	8.25	37.85	246.28	0.0	0.51	30.78	2.78	2.27	0.01	22.1	0.21	44.57	6.67	1.04	16.63	201.25	134.3	29.27	1.3	3.86	147.06	0.97	2.78	80.01	5.15	6.57	3.26	13.93	12.36	32.82	3.11	1.13	12.55	30.34	1.33	31.0	36.27	38.95	9.56	156.59	6.84	109.66	0.19	0.0	1.35	0.0	0.0	0.0	0.44	2.51	0.0
SPOCK3	6.89	3.72	3.17	6.73	1.33	2.63	26.28	12.0	61.68	6.94	5.68	19.53	27.05	6.78	3.82	22.1	3.56	5.32	3.2	10.55	2.16	43.32	7.63	5.68	14.14	60.39	49.91	28.04	6.26	17.77	34.51	6.89	2.39	52.45	10.47	25.35	8.78	19.82	8.25	25.54	6.41	3.0	28.45	153.34	0.79	27.25	30.12	9.13	21.63	52.08	8.92	20.86	2.73	2.43	13.62	1.5	0.0	0.0	2.63	3.76	0.0
SPSB4	2.01	3.0	0.89	1.97	2.1	2.2	26.1	0.0	8.06	0.83	2.68	5.59	35.0	0.0	2.61	8.92	0.6	3.0	0.0	1.13	0.32	25.35	0.05	1.89	2.07	26.28	18.7	7.34	1.14	2.43	21.78	0.06	0.0	24.28	2.56	6.94	2.76	5.36	16.63	5.63	0.04	1.35	2.61	23.42	1.64	7.11	5.87	4.46	0.38	16.88	0.69	13.83	0.34	0.39	2.03	3.06	2.66	12.45	25.17	1.87	0.0
SRL	14.78	5.5	18.84	14.89	8.51	8.92	70.01	8.25	166.73	11.04	18.7	27.64	25.17	23.42	13.83	42.71	13.62	9.13	10.79	14.89	12.74	41.52	7.51	10.39	22.92	46.5	24.46	29.91	10.16	18.7	43.02	12.27	5.11	50.98	9.93	31.67	7.22	29.91	25.35	38.95	11.73	6.73	12.18	79.45	6.84	38.12	33.06	40.36	40.36	30.12	7.06	38.95	7.0	6.89	4.74	3.08	1.77	6.16	9.27	3.86	0.0
STK32B	22.26	6.16	5.54	7.51	7.63	21.47	90.14	7.82	89.51	8.92	34.26	44.25	116.78	9.34	33.3	15.34	14.24	7.06	8.85	7.69	7.69	115.97	22.92	8.25	21.01	100.83	37.05	34.51	15.68	15.56	105.89	8.78	3.14	74.06	11.64	46.5	17.38	28.86	74.06	39.79	10.39	7.17	19.11	57.89	6.26	22.43	27.84	76.17	30.78	93.35	7.63	59.55	12.45	7.06	3.2	0.21	1.03	3.59	16.51	1.81	0.0
STX2	132.44	47.84	71.5	98.73	60.82	125.24	297.17	56.28	289.02	63.45	98.04	285.03	307.69	38.67	110.43	193.01	76.71	67.12	54.72	141.02	33.78	269.6	90.77	68.55	165.57	281.09	320.8	262.2	67.12	84.63	293.07	70.51	30.34	283.05	68.55	127.89	63.89	158.79	224.97	215.77	53.95	52.82	145.02	246.28	48.52	172.65	190.34	217.27	86.43	397.93	71.5	265.87	63.0	53.95	273.37	89.51	178.77	81.14	147.06	241.19	0.0
STXBP1	190.34	36.27	69.03	74.06	45.21	177.53	563.18	34.26	529.06	55.49	96.01	314.17	518.15	57.89	136.19	246.28	101.54	55.49	77.25	147.06	60.39	381.68	88.88	62.56	221.86	684.02	603.67	293.07	108.9	84.04	603.67	70.01	57.08	536.45	63.89	186.4	96.01	244.57	223.41	248.0	61.25	44.25	131.51	353.59	92.7	256.78	201.25	379.04	133.36	759.08	87.03	371.22	55.49	44.57	104.42	26.67	15.8	17.13	111.21	74.06	251.48
SYT1	21.78	4.43	7.34	22.59	4.7	25.17	87.65	5.68	283.05	10.24	22.1	70.01	180.02	3.96	13.52	70.51	11.64	13.03	12.45	39.22	4.82	94.01	21.94	6.67	65.26	312.0	303.44	115.97	5.45	17.51	281.09	8.32	2.89	244.57	11.3	32.36	14.35	41.81	74.06	162.14	6.16	6.46	58.3	285.03	8.06	88.88	113.56	53.95	38.4	144.01	13.83	96.01	4.54	5.41	24.81	2.46	13.22	11.82	45.53	77.79	0.0
SYT11	132.44	31.0	46.5	65.72	29.91	100.83	511.0	37.05	454.09	38.4	108.14	241.19	454.09	20.86	88.88	162.14	50.98	29.91	41.22	92.05	40.93	351.14	75.11	45.53	150.17	571.05	476.71	275.28	45.85	58.3	595.34	33.3	19.82	450.94	48.87	102.25	38.12	193.01	208.38	180.02	35.76	37.85	111.21	397.93	28.24	197.09	199.85	194.36	95.34	351.14	102.25	307.69	51.35	18.03	26.28	8.51	5.92	23.42	39.22	19.97	0.0
SYT5	31.45	9.78	20.86	14.78	14.78	17.9	84.63	19.68	285.03	8.51	21.16	64.8	143.01	20.26	2.78	42.41	31.45	31.22	23.76	46.5	11.21	102.25	16.15	17.13	48.52	232.94	181.28	76.71	13.03	16.15	96.68	13.52	5.02	120.94	14.35	53.19	13.52	31.67	57.89	84.63	19.53	12.36	49.91	60.39	25.91	123.5	120.1	17.13	61.68	85.82	36.01	36.27	3.11	21.78	0.0	0.0	0.25	0.0	3.89	0.0	0.0
TAL1	48.52	16.51	25.91	16.39	9.85	21.01	146.03	17.0	164.42	18.56	17.9	45.85	67.12	13.72	34.02	45.21	22.92	9.7	20.86	38.12	8.78	64.8	20.71	15.56	46.84	54.33	54.33	26.47	22.1	25.17	65.26	11.3	4.86	117.6	14.45	52.08	17.13	57.49	43.94	55.49	6.73	16.51	14.67	77.79	10.08	52.82	39.5	79.45	49.91	111.99	17.38	98.04	26.1	15.22	31.0	16.27	14.24	12.74	64.34	35.5	0.0
TBX1	18.43	12.55	11.38	16.51	4.24	22.26	73.54	13.22	99.43	6.36	24.63	68.55	102.97	8.78	13.52	43.63	31.0	11.82	16.75	28.45	3.5	47.5	14.89	12.0	33.06	15.91	92.7	33.78	6.01	19.82	76.17	12.09	1.97	37.32	11.82	21.94	10.39	57.08	43.94	49.56	4.06	5.54	13.32	77.79	14.56	38.95	32.36	71.5	73.03	73.54	17.77	41.81	20.11	8.78	10.88	0.52	2.61	6.11	18.29	11.91	0.0
TCEAL7	112.77	35.25	44.25	89.51	41.22	119.26	583.07	40.64	356.05	52.08	115.97	356.05	591.22	23.59	92.7	208.38	53.95	45.53	59.55	121.79	41.22	483.38	65.26	69.52	194.36	688.78	607.87	381.68	51.71	58.71	587.13	35.25	20.71	563.18	35.5	119.26	43.94	351.14	279.14	287.01	45.53	45.53	149.12	384.34	30.12	309.83	301.33	271.48	84.63	575.03	144.01	450.94	50.63	13.72	43.63	10.79	27.64	23.93	117.6	34.26	0.0
TEKT3	20.26	11.91	27.05	10.88	5.11	16.88	52.82	13.83	40.64	13.93	17.51	23.25	17.25	22.75	15.11	20.86	1.14	23.93	21.16	13.93	8.45	73.03	18.16	15.0	50.63	71.0	55.89	20.86	3.53	8.99	49.56	24.81	2.63	25.54	16.39	15.91	15.91	31.45	28.45	5.28	8.99	20.11	35.25	41.52	11.73	38.12	28.65	17.13	43.32	46.18	16.15	52.82	1.48	6.21	13.22	0.0	8.32	2.61	3.38	15.45	0.0
TMEM151B	12.18	8.58	15.68	11.3	3.06	14.14	17.38	2.97	100.13	7.51	16.51	19.97	31.22	7.4	8.13	25.35	9.13	6.94	8.92	9.78	12.45	31.9	14.89	10.71	16.63	80.57	37.32	23.25	13.12	12.83	42.11	8.32	7.0	48.18	12.09	15.8	10.39	19.97	12.64	30.12	11.21	10.63	20.56	40.93	4.5	29.91	23.42	13.83	28.86	36.01	7.57	31.45	5.87	3.89	0.64	0.25	1.38	0.0	0.0	0.18	0.0
TMEM67	40.36	20.26	29.48	32.13	50.63	37.59	100.83	29.27	111.21	36.27	52.45	81.14	140.04	33.78	96.01	123.5	40.36	24.99	62.12	55.89	29.27	126.12	76.17	43.63	31.22	142.01	72.52	83.45	46.84	79.45	158.79	44.57	27.25	167.9	27.64	31.45	25.17	90.77	98.73	88.26	22.43	57.08	50.63	77.79	35.0	68.55	64.8	80.57	48.52	105.89	57.08	108.14	40.64	32.59	37.59	24.99	42.71	25.17	34.26	42.11	0.0
TMEM8B	329.84	201.25	253.23	255.0	145.02	341.51	339.14	197.09	503.95	139.07	256.78	486.75	466.88	178.77	217.27	397.93	255.0	314.17	301.33	197.09	144.01	521.76	191.67	303.44	358.54	490.14	473.41	429.54	146.03	329.84	466.88	208.38	312.0	497.0	234.57	209.84	223.41	429.54	447.82	397.93	211.31	249.73	301.33	420.68	202.66	444.72	329.84	486.75	312.0	599.49	353.59	507.46	145.02	134.3	102.97	35.0	137.14	112.77	93.35	111.99	0.0
TMOD2	64.8	18.16	22.26	41.52	21.78	57.89	373.81	29.48	256.78	21.94	61.68	122.64	255.0	10.96	57.08	72.01	31.0	19.97	28.04	43.94	26.67	255.0	41.52	38.4	92.05	438.59	361.04	100.83	34.02	24.99	363.56	21.32	18.29	295.11	34.26	80.01	30.34	101.54	111.21	77.25	22.59	31.9	85.22	113.56	16.15	130.6	105.15	145.02	46.5	279.14	49.21	249.73	26.86	18.03	20.86	7.28	7.88	14.56	54.72	23.25	0.0
TNXB	1477.58	470.14	241.19	575.03	305.55	647.07	9025.81	139.07	6250.56	395.18	764.36	2855.44	8247.98	325.29	743.43	2193.99	267.73	366.09	447.82	748.61	275.28	7032.37	743.43	629.35	974.5	9740.98	2855.44	1199.98	320.8	733.19	15180.22	379.04	137.14	6426.31	400.71	1111.82	400.71	1991.0	4152.18	1286.18	169.07	397.93	1628.26	6207.38	470.14	1685.71	1331.57	3303.0	1059.11	6561.36	595.34	5672.41	441.64	127.0	559.28	256.78	353.59	309.83	555.41	432.53	0.0
TUB	55.89	4.17	18.7	24.46	9.48	32.59	89.51	8.92	130.6	12.36	32.59	96.01	110.43	2.92	24.63	94.67	22.75	10.24	18.7	24.63	8.85	116.78	17.0	12.74	39.79	100.83	111.21	63.0	8.32	18.97	112.77	8.51	7.57	138.1	19.25	38.95	14.78	66.18	62.56	55.1	10.47	18.84	55.89	204.07	10.0	59.97	75.11	93.35	31.0	96.01	18.56	105.89	12.93	7.46	18.03	2.71	0.21	3.72	9.06	9.27	0.0
VEGFC	74.58	21.01	38.12	39.22	18.84	31.9	441.64	44.89	400.71	42.71	48.18	142.01	341.51	32.59	53.95	53.19	47.5	28.45	30.78	82.29	16.51	124.37	42.11	31.22	59.55	346.29	348.71	80.57	44.57	40.64	226.54	49.21	17.13	297.17	29.27	98.73	57.08	111.21	104.42	111.99	17.0	21.47	44.25	178.77	22.92	117.6	64.8	271.48	61.68	400.71	39.5	211.31	31.0	15.45	105.15	39.79	40.07	45.21	120.94	80.01	0.0
VPS45	647.07	476.71	532.74	532.74	532.74	540.19	748.61	543.96	753.83	480.04	616.37	624.99	775.05	441.64	507.46	665.29	559.28	583.07	684.02	595.34	387.02	848.22	466.88	454.09	651.58	693.58	934.76	728.11	536.45	483.38	813.63	503.95	543.96	825.0	563.18	476.71	493.56	607.87	775.05	551.56	438.59	532.74	575.03	738.29	551.56	532.74	769.69	713.11	575.03	638.15	525.39	651.58	551.56	543.96	246.28	299.25	256.78	287.01	246.28	444.72	0.0
WISP2	291.04	91.41	258.57	122.64	215.77	167.9	2240.11	209.84	2816.11	57.08	412.0	1008.9	728.11	106.63	164.42	343.89	190.34	193.01	361.04	612.11	229.72	1639.59	148.09	100.13	387.02	2178.83	444.72	175.07	65.72	232.94	2875.3	275.28	153.34	1896.65	363.56	928.3	244.57	1119.56	674.59	457.25	65.72	89.51	607.87	780.44	327.56	503.95	743.43	1832.01	563.18	1030.12	361.04	1350.18	84.63	115.97	63.45	60.82	10.16	24.99	279.14	13.32	87.03
ZNF521	88.88	10.96	32.36	32.36	23.59	57.89	327.56	25.54	242.88	11.73	69.03	101.54	246.28	9.78	71.0	92.05	55.89	7.75	33.06	36.53	18.56	249.73	64.8	20.71	40.64	258.57	206.94	61.68	34.02	76.17	343.89	37.32	10.08	307.69	39.79	91.41	70.01	121.79	111.99	60.82	30.56	56.28	131.51	120.1	23.59	67.59	99.43	209.84	77.25	164.42	57.89	173.85	16.15	8.51	17.25	10.31	1.17	18.16	63.45	53.19	0.0
ZNF804A	3.14	2.12	1.57	0.39	1.22	2.66	3.82	2.16	6.36	1.85	3.72	3.23	9.78	1.68	8.38	2.05	2.29	2.27	2.39	6.06	1.14	12.45	2.71	1.87	2.84	10.55	17.13	8.25	8.45	1.25	15.91	1.19	0.85	10.63	1.95	3.06	2.53	3.35	5.92	8.38	1.81	1.77	7.22	11.64	1.11	10.16	6.21	8.25	1.68	10.79	2.14	8.13	9.56	2.18	0.6	0.44	0.54	0.49	1.28	1.3	0.0
