	TCGA.FJ.A871.01A.11R.A352.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.BH.A1EO.11A.31R.A137.07	GTEX.12WSK.2226.SM.5GCO5	GTEX.TSE9.2826.SM.4DXTF	GTEX.TML8.0726.SM.4DXTT	GTEX.S341.1126.SM.4AD6T	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.S4UY.1426.SM.4AD6Y	GTEX.TSE9.2726.SM.4DXSQ	TCGA.ZU.A8S4.01A.11R.A41I.07	TCGA.KN.8427.01A.11R.2315.07	TCGA.CW.6090.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.CZ.4860.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4861.01A.01R.1305.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.CZ.5461.01A.01R.1503.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.DV.5565.01A.01R.1541.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.CJ.6027.01A.11R.1672.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.B0.4814.01A.01R.1277.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.11PRG.0926.SM.5EGI8	GTEX.YJ8O.1826.SM.5HL82	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DE.A4M9.01A.11R.A250.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.117XS.0526.SM.5987Q	GTEX.SN8G.1526.SM.4DM79	GTEX.POYW.0826.SM.2XCEM	GTEX.14AS3.0226.SM.5Q5B6	GTEX.147F4.0826.SM.5QGRB	GTEX.RNOR.0926.SM.2TF56	GTEX.SIU8.0626.SM.2XCDN	GTEX.T2IS.0626.SM.32QP6	GTEX.12ZZX.1226.SM.5EGHS	GTEX.ZDTS.0926.SM.4WAXG	GTEX.ZVZQ.0626.SM.59HJU	GTEX.PLZ4.1226.SM.2I5FE	GTEX.14A6H.2426.SM.5Q5BO	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13OVI.1026.SM.5L3EM	GTEX.N7MT.0726.SM.3TW8S	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.14BIM.2226.SM.5SI8Y	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.13W3W.1426.SM.5LU56	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT	GTEX.T6MO.1526.SM.4DM57
VPS13C	103.69	154.42	514.56	353.59	915.51	420.68	656.11	1073.91	1001.93	563.18	860.08	262.2	279.14	454.09	283.05	444.72	358.54	426.57	206.94	423.61	264.03	420.68	753.83	473.41	607.87	587.13	466.88	229.72	579.04	417.77	493.56	389.72	353.59	293.07	275.28	642.59	647.07	563.18	309.83	457.25	587.13	329.84	275.28	656.11	334.46	543.96	954.43	387.02	884.29	447.82	438.59	656.11	463.65	376.41	1135.2	890.44	514.56	674.59	1159.07	753.83	759.08	497.0	728.11	660.68	540.19	674.59	836.53	1628.26	1183.45	961.07	441.64	1051.79	201.25	373.81	603.67	708.18	1286.18	1397.83	669.92
WDR19	435.55	426.57	457.25	808.0	1225.22	423.61	571.05	1167.14	896.64	543.96	1268.46	507.46	400.71	320.8	209.84	921.88	293.07	154.42	226.54	297.17	336.79	277.2	490.14	224.97	197.09	305.55	325.29	255.0	193.01	217.27	228.13	248.0	387.02	353.59	277.2	239.52	599.49	379.04	249.73	490.14	339.14	158.79	444.72	135.24	334.46	540.19	486.75	190.34	429.54	1313.23	647.07	1617.0	1216.75	1781.89	1350.18	1561.89	1304.15	1135.2	915.51	1225.22	890.44	890.44	1277.29	2434.5	1617.0	1304.15	1519.15	1457.23	2485.67	1447.15	373.81	1447.15	351.14	583.07	1001.93	579.04	1119.56	2133.97	660.68
WDR27	836.53	457.25	63.0	162.14	759.08	271.48	231.32	872.1	441.64	265.87	713.11	363.56	255.0	77.79	49.21	551.56	50.63	28.04	31.45	61.68	38.4	82.87	934.76	53.95	144.01	172.65	81.71	89.51	45.85	81.14	400.71	124.37	101.54	70.01	69.03	87.65	1397.83	195.72	100.83	144.01	53.57	89.51	41.81	183.82	69.03	514.56	260.38	202.66	660.68	1073.91	698.41	878.17	872.1	1088.92	1111.82	1216.75	486.75	902.89	651.58	688.78	915.51	703.28	1359.57	1295.13	1519.15	1175.27	236.21	961.07	890.44	733.19	103.69	748.61	241.19	260.38	429.54	260.38	1015.93	1044.52	307.69
WDR59	480.04	432.53	204.07	346.29	819.3	463.65	500.46	775.05	872.1	503.95	836.53	371.22	387.02	348.71	220.32	521.76	279.14	281.09	211.31	287.01	371.22	327.56	775.05	327.56	239.52	303.44	260.38	206.94	226.54	384.34	476.71	260.38	303.44	283.05	379.04	289.02	1081.39	403.5	204.07	368.65	301.33	232.94	277.2	420.68	389.72	733.19	525.39	480.04	547.75	1233.75	1350.18	1167.14	915.51	1096.5	1104.13	1487.87	860.08	1073.91	866.07	738.29	921.88	703.28	1250.98	1268.46	1143.1	1397.83	633.73	1051.79	1066.48	860.08	279.14	802.41	414.87	323.03	466.88	460.44	884.29	1216.75	441.64
ZBED5	320.8	571.05	444.72	583.07	854.13	579.04	684.02	775.05	769.69	633.73	860.08	417.77	215.77	651.58	397.93	591.22	414.87	460.44	255.0	438.59	346.29	318.57	825.0	387.02	412.0	493.56	463.65	329.84	403.5	460.44	400.71	447.82	466.88	511.0	551.56	441.64	796.86	426.57	447.82	470.14	387.02	339.14	366.09	575.03	387.02	603.67	738.29	295.11	825.0	954.43	836.53	1268.46	947.83	947.83	1936.53	1378.57	1015.93	947.83	1066.48	967.76	743.43	688.78	1208.34	866.07	1088.92	1594.73	1135.2	1167.14	1551.09	1572.76	607.87	1651.0	497.0	780.44	1322.37	571.05	1295.13	1295.13	866.07
ZC3H12B	0.6	3.47	5.54	13.52	21.63	17.25	35.0	20.41	42.11	28.45	16.63	5.68	1.36	1.89	3.72	23.08	9.06	0.67	1.57	8.0	1.64	5.5	9.34	2.56	10.88	3.53	7.34	6.67	8.06	15.22	7.4	6.46	4.78	8.19	2.78	9.85	19.82	3.38	4.24	15.91	8.25	0.83	9.2	11.38	5.45	16.39	37.05	24.63	31.9	40.36	2.32	37.85	24.81	41.22	63.89	49.56	28.04	44.57	69.03	23.25	33.06	25.17	33.78	57.89	37.05	41.52	26.28	40.36	127.89	57.08	14.67	35.25	34.51	27.25	85.82	18.84	90.14	100.83	44.57
ZCCHC8	211.31	195.72	249.73	325.29	500.46	351.14	361.04	473.41	454.09	329.84	579.04	236.21	417.77	476.71	397.93	629.35	414.87	314.17	368.65	314.17	325.29	420.68	567.1	353.59	348.71	351.14	432.53	466.88	297.17	318.57	432.53	361.04	327.56	473.41	493.56	353.59	629.35	368.65	400.71	532.74	409.15	435.55	409.15	309.83	341.51	532.74	480.04	229.72	400.71	536.45	473.41	743.43	555.41	543.96	1250.98	688.78	503.95	543.96	525.39	503.95	571.05	490.14	878.17	518.15	679.29	791.35	373.81	738.29	764.36	607.87	339.14	860.08	234.57	239.52	297.17	368.65	713.11	525.39	358.54
ZMAT1	9.85	7.22	80.01	94.01	142.01	157.68	193.01	848.22	529.06	281.09	123.5	63.0	23.93	115.97	92.05	307.69	46.84	63.89	82.29	60.82	101.54	75.11	236.21	84.63	173.85	122.64	55.1	98.73	47.17	123.5	251.48	187.71	131.51	48.52	158.79	59.97	830.75	99.43	107.38	124.37	73.03	64.8	74.06	194.36	158.79	438.59	336.79	101.54	571.05	1081.39	872.1	1794.29	1242.34	878.17	995.0	1709.26	1143.1	1277.29	1242.34	902.89	884.29	723.08	1551.09	1304.15	1378.57	1870.53	571.05	1015.93	1733.13	1378.57	81.14	441.64	85.22	595.34	511.0	153.34	1304.15	1167.14	327.56
ZNF141	43.63	102.25	51.35	72.01	121.79	124.37	224.97	218.79	285.03	134.3	159.9	70.01	87.65	88.26	36.79	193.01	96.01	70.01	47.5	68.55	54.72	91.41	215.77	90.14	175.07	149.12	78.89	120.94	89.51	85.22	295.11	71.0	116.78	111.21	84.63	67.59	173.85	104.42	74.58	108.9	95.34	69.03	85.82	84.04	127.0	205.5	95.34	253.23	228.13	232.94	291.04	285.03	171.45	269.6	376.41	406.31	297.17	229.72	262.2	204.07	180.02	169.07	466.88	275.28	220.32	318.57	173.85	312.0	470.14	409.15	75.11	256.78	58.3	60.82	143.01	297.17	229.72	323.03	117.6
ZNF155	60.82	82.87	42.41	105.89	17.9	148.09	201.25	131.51	297.17	84.04	29.06	47.84	23.59	122.64	27.84	108.14	130.6	158.79	52.45	102.97	82.87	71.5	114.36	18.84	92.05	87.65	93.35	121.79	121.79	129.69	95.34	134.3	111.21	123.5	102.25	100.13	131.51	90.14	132.44	121.79	50.98	96.68	106.63	72.01	100.83	142.01	118.43	68.07	131.51	171.45	127.89	172.65	79.45	73.54	187.71	172.65	80.57	181.28	147.06	198.47	112.77	84.63	143.01	122.64	92.7	191.67	309.83	175.07	241.19	211.31	153.34	201.25	108.14	234.57	323.03	97.36	187.71	182.55	312.0
ZNF169	17.38	22.26	18.03	28.65	29.91	32.82	73.03	80.01	95.34	51.71	59.55	22.43	22.59	12.64	15.45	57.08	27.05	34.51	22.59	15.56	13.72	25.17	164.42	15.11	37.32	32.13	22.1	18.03	27.05	25.35	46.84	17.9	13.52	21.47	20.11	28.04	120.1	25.91	23.59	27.44	18.84	15.8	12.18	27.64	17.13	83.45	49.91	30.78	46.5	108.9	102.97	217.27	59.13	98.04	115.16	164.42	102.25	112.77	224.97	59.55	128.79	75.64	92.7	142.01	120.94	185.11	47.84	100.13	167.9	148.09	23.08	61.68	44.89	44.89	55.89	37.05	100.83	130.6	46.5
ZNF182	42.71	59.13	73.03	78.89	103.69	105.15	130.6	208.38	248.0	123.5	134.3	67.12	49.56	116.78	64.8	121.79	65.26	73.54	42.71	70.01	62.12	87.65	149.12	103.69	94.67	84.63	51.35	65.26	62.56	147.06	105.89	61.68	70.01	72.52	105.89	78.89	158.79	82.87	58.3	92.05	88.26	70.51	67.12	104.42	74.58	163.28	93.35	110.43	134.3	189.02	232.94	281.09	152.28	236.21	244.57	295.11	177.53	228.13	183.82	244.57	186.4	128.79	244.57	339.14	253.23	253.23	99.43	244.57	212.78	199.85	72.52	255.0	52.08	93.35	137.14	55.1	312.0	165.57	144.01
ZNF19	37.05	32.13	38.95	64.8	97.36	122.64	154.42	567.1	759.08	116.78	45.85	42.11	35.25	90.77	52.82	141.02	105.15	107.38	105.15	98.73	128.79	81.14	97.36	103.69	94.67	71.0	81.14	52.45	91.41	212.78	42.11	75.11	74.58	92.05	90.77	79.45	208.38	59.13	63.0	73.54	54.33	132.44	102.25	63.89	98.04	141.02	82.29	28.86	166.73	346.29	206.94	299.25	220.32	236.21	346.29	255.0	299.25	248.0	339.14	220.32	221.86	150.17	255.0	239.52	293.07	325.29	103.69	80.01	379.04	180.02	88.26	96.01	85.22	181.28	145.02	78.34	435.55	205.5	113.56
ZNF202	120.1	128.79	102.25	102.97	106.63	202.66	144.01	127.89	193.01	180.02	134.3	91.41	105.15	138.1	80.01	125.24	67.12	124.37	47.84	88.88	80.57	117.6	182.55	169.07	101.54	103.69	94.67	57.49	100.83	149.12	143.01	87.03	85.82	115.16	114.36	109.66	141.02	122.64	147.06	80.01	98.73	62.56	105.15	185.11	138.1	127.0	127.89	59.13	147.06	176.29	204.07	113.56	102.97	126.12	361.04	285.03	132.44	182.55	145.02	167.9	120.1	89.51	186.4	122.64	182.55	291.04	102.97	224.97	143.01	329.84	172.65	285.03	189.02	153.34	133.36	140.04	251.48	217.27	145.02
ZNF223	35.25	35.25	84.63	41.22	17.9	88.88	82.29	102.97	387.02	151.22	27.84	37.05	30.56	74.06	22.26	78.34	134.3	107.38	28.45	67.12	34.75	58.3	111.99	10.24	64.34	76.71	58.3	53.19	72.52	68.55	62.56	72.01	49.56	82.87	55.49	62.56	127.0	73.03	83.45	77.25	42.71	76.17	39.79	19.25	63.45	113.56	80.57	59.13	117.6	98.73	113.56	180.02	94.01	171.45	144.01	175.07	123.5	154.42	122.64	199.85	107.38	92.05	187.71	87.65	150.17	161.02	53.95	141.02	121.79	146.03	47.5	138.1	91.41	173.85	269.6	45.53	486.75	101.54	180.02
ZNF23	101.54	133.36	127.0	147.06	163.28	129.69	194.36	325.29	262.2	155.5	144.01	199.85	139.07	178.77	93.35	214.27	139.07	180.02	74.58	106.63	209.84	158.79	204.07	187.71	136.19	197.09	127.0	68.55	127.89	187.71	105.15	127.89	115.16	90.14	124.37	171.45	208.38	152.28	100.13	85.82	172.65	155.5	135.24	291.04	131.51	164.42	150.17	111.99	180.02	237.86	189.02	295.11	281.09	323.03	529.06	348.71	363.56	256.78	265.87	316.37	314.17	197.09	423.61	339.14	314.17	351.14	273.37	351.14	376.41	435.55	244.57	555.41	111.99	154.42	287.01	152.28	642.59	231.32	176.29
ZNF230	18.97	40.64	65.72	89.51	26.28	46.18	49.91	67.59	75.64	39.79	57.08	26.67	24.28	83.45	42.41	66.65	90.77	73.03	40.36	46.18	34.75	55.49	85.82	24.63	55.1	63.0	65.26	63.45	43.94	65.72	44.25	50.63	47.17	65.26	52.08	63.89	59.55	53.19	57.89	55.1	38.4	66.65	44.89	49.56	61.25	87.03	63.0	40.36	64.8	72.52	50.27	89.51	59.13	64.34	106.63	99.43	73.03	108.9	45.85	82.29	59.13	70.51	85.22	124.37	102.25	84.63	105.89	152.28	151.22	182.55	64.8	172.65	43.94	66.65	127.89	58.3	111.99	43.32	80.57
ZNF248	69.52	116.78	106.63	170.25	497.0	301.33	275.28	264.03	287.01	237.86	476.71	93.35	314.17	128.79	190.34	579.04	186.4	208.38	75.11	163.28	115.16	124.37	301.33	65.72	170.25	343.89	145.02	166.73	121.79	232.94	273.37	217.27	120.94	175.07	88.88	157.68	336.79	158.79	106.63	191.67	118.43	157.68	205.5	117.6	183.82	239.52	239.52	145.02	269.6	289.02	305.55	397.93	420.68	423.61	718.08	518.15	403.5	371.22	463.65	379.04	409.15	376.41	555.41	483.38	441.64	438.59	291.04	316.37	559.28	693.58	146.03	591.22	172.65	176.29	204.07	195.72	583.07	669.92	236.21
ZNF280C	19.82	22.92	27.44	30.34	85.82	40.07	111.99	60.39	121.79	112.77	94.67	29.48	63.0	23.93	17.77	34.75	26.1	30.56	14.03	23.25	19.53	25.54	40.64	44.25	29.27	26.1	15.11	21.01	32.59	40.64	25.91	20.11	21.63	27.05	36.27	20.71	47.5	24.28	19.68	29.91	39.79	16.27	22.26	45.21	24.11	29.48	29.91	14.56	49.91	28.24	34.75	53.19	38.12	33.54	61.25	51.71	47.17	32.82	70.01	45.21	38.4	34.02	57.89	38.4	44.57	54.33	41.22	55.89	55.49	72.01	42.41	62.12	18.56	35.25	24.99	34.51	92.05	47.17	33.54
ZNF280D	256.78	438.59	599.49	406.31	954.43	791.35	1030.12	890.44	934.76	854.13	1051.79	234.57	351.14	450.94	303.44	406.31	420.68	503.95	221.86	444.72	312.0	358.54	579.04	665.29	547.75	414.87	470.14	395.18	423.61	400.71	651.58	389.72	423.61	414.87	303.44	432.53	802.41	473.41	387.02	567.1	450.94	599.49	417.77	457.25	536.45	633.73	764.36	285.03	738.29	743.43	595.34	708.18	656.11	703.28	1397.83	854.13	674.59	764.36	1119.56	651.58	738.29	651.58	728.11	753.83	819.3	802.41	656.11	1242.34	1250.98	1081.39	591.22	1159.07	412.0	698.41	567.1	587.13	1529.73	1259.69	656.11
ZNF300	118.43	115.97	59.13	39.5	25.54	64.34	67.59	118.43	97.36	232.94	30.12	13.93	59.13	8.78	15.11	239.52	81.14	2.39	26.47	36.79	51.35	54.33	167.9	8.51	16.63	19.11	55.89	42.11	57.89	164.42	289.02	74.58	37.59	39.22	56.68	57.49	63.0	72.01	29.7	55.49	39.79	9.13	44.25	8.65	88.26	93.35	60.39	40.07	107.38	161.02	220.32	202.66	133.36	103.69	256.78	234.57	94.67	115.97	169.07	123.5	51.71	136.19	189.02	166.73	152.28	244.57	120.94	139.07	258.57	351.14	51.71	211.31	20.56	32.36	147.06	40.64	269.6	450.94	34.26
ZNF302	164.42	249.73	403.5	507.46	256.78	435.55	579.04	775.05	872.1	432.53	217.27	166.73	77.79	463.65	297.17	620.67	368.65	412.0	420.68	384.34	267.73	228.13	909.17	258.57	476.71	368.65	309.83	293.07	293.07	397.93	242.88	325.29	289.02	447.82	287.01	356.05	728.11	299.25	353.59	432.53	265.87	543.96	265.87	269.6	258.57	723.08	438.59	269.6	518.15	775.05	567.1	1498.22	587.13	1044.52	1044.52	884.29	753.83	785.88	743.43	674.59	579.04	493.56	988.12	1208.34	921.88	872.1	1340.84	759.08	1896.65	1167.14	159.9	738.29	217.27	651.58	1369.04	285.03	703.28	1572.76	769.69
ZNF333	92.05	185.11	135.24	241.19	346.29	220.32	271.48	273.37	289.02	237.86	432.53	85.22	155.5	99.43	64.34	187.71	80.01	88.88	54.72	94.67	37.32	124.37	429.54	92.05	133.36	119.26	71.0	78.34	114.36	120.1	130.6	90.14	101.54	128.79	73.54	103.69	392.44	131.51	120.1	127.89	59.13	70.01	70.01	154.42	88.88	158.79	170.25	63.45	202.66	293.07	215.77	392.44	220.32	262.2	529.06	320.8	165.57	305.55	305.55	248.0	279.14	264.03	260.38	271.48	295.11	297.17	599.49	412.0	708.18	497.0	121.79	323.03	177.53	193.01	291.04	189.02	373.81	1216.75	224.97
ZNF433	74.58	42.41	60.82	111.99	93.35	195.72	156.59	126.12	361.04	246.28	59.97	52.82	41.52	96.68	23.93	70.01	115.97	107.38	7.94	58.3	51.35	55.1	18.97	11.38	85.82	72.01	94.01	104.42	78.89	108.14	31.45	76.17	76.17	70.51	57.08	57.49	146.03	66.65	52.45	82.87	15.8	68.55	88.26	54.72	99.43	156.59	75.64	42.11	115.97	189.02	180.02	193.01	132.44	118.43	368.65	253.23	236.21	236.21	234.57	218.79	197.09	67.59	256.78	173.85	231.32	291.04	148.09	392.44	277.2	381.68	70.01	269.6	22.43	277.2	118.43	115.97	265.87	67.59	21.78
ZNF44	98.04	57.08	139.07	103.69	150.17	329.84	236.21	204.07	414.87	221.86	121.79	115.16	131.51	123.5	85.22	206.94	159.9	212.78	115.16	113.56	126.12	136.19	305.55	77.25	212.78	142.01	137.14	100.83	176.29	961.07	137.14	127.89	100.83	190.34	137.14	129.69	318.57	169.07	116.78	176.29	151.22	129.69	92.7	103.69	178.77	197.09	269.6	141.02	381.68	220.32	273.37	297.17	214.27	221.86	785.88	403.5	291.04	348.71	381.68	289.02	406.31	241.19	480.04	309.83	279.14	409.15	205.5	371.22	521.76	848.22	92.7	432.53	87.65	277.2	165.57	273.37	551.56	314.17	162.14
ZNF493	27.05	63.0	70.51	72.01	97.36	137.14	36.01	176.29	195.72	229.72	81.71	43.94	36.27	58.3	40.93	133.36	56.28	95.34	38.4	52.82	57.89	39.22	248.0	53.57	101.54	88.26	47.17	65.72	69.52	68.07	127.89	62.12	60.82	88.88	75.64	67.12	341.51	66.18	51.35	71.0	49.91	65.26	40.36	62.12	52.82	157.68	215.77	81.71	236.21	307.69	409.15	460.44	366.09	314.17	647.07	718.08	420.68	409.15	358.54	343.89	309.83	194.36	341.51	660.68	400.71	579.04	66.18	493.56	1111.82	470.14	23.42	267.73	22.75	88.88	169.07	83.45	500.46	1397.83	98.04
ZNF512	384.34	521.76	351.14	353.59	967.76	981.29	974.5	785.88	1340.84	651.58	1001.93	312.0	356.05	395.18	244.57	718.08	518.15	620.67	547.75	395.18	273.37	575.03	713.11	511.0	603.67	633.73	414.87	206.94	444.72	775.05	595.34	373.81	293.07	723.08	403.5	476.71	738.29	414.87	343.89	518.15	555.41	387.02	579.04	507.46	567.1	395.18	780.44	536.45	647.07	819.3	728.11	1498.22	693.58	967.76	1378.57	1447.15	995.0	928.3	1359.57	974.5	878.17	733.19	866.07	1369.04	974.5	1143.1	743.43	941.27	3039.3	1991.0	438.59	1697.45	457.25	563.18	819.3	866.07	1487.87	2061.24	599.49
ZNF514	150.17	128.79	115.16	198.47	320.8	212.78	155.5	285.03	237.86	180.02	312.0	120.1	60.39	141.02	85.82	269.6	115.97	191.67	90.14	96.01	137.14	138.1	423.61	157.68	218.79	142.01	130.6	124.37	96.01	189.02	223.41	163.28	156.59	120.1	66.65	107.38	529.06	167.9	144.01	186.4	136.19	115.16	110.43	189.02	136.19	371.22	358.54	146.03	403.5	660.68	450.94	599.49	525.39	607.87	842.36	543.96	493.56	620.67	307.69	373.81	454.09	341.51	518.15	708.18	665.29	688.78	191.67	728.11	575.03	283.05	108.9	500.46	92.7	183.82	255.0	199.85	392.44	384.34	198.47
ZNF534	0.0	0.8	0.39	3.32	8.51	2.14	4.74	8.06	0.91	0.69	5.28	0.71	0.35	0.75	0.0	9.78	1.2	0.34	0.39	0.0	0.41	0.0	3.17	0.0	1.19	0.79	0.75	0.85	1.57	1.95	0.84	0.39	0.0	0.0	0.4	0.44	2.81	0.0	0.39	0.39	0.0	0.83	0.75	0.0	1.48	3.2	0.79	5.19	5.5	2.71	0.45	48.18	4.74	1.35	23.59	1.43	24.28	4.21	0.99	0.0	3.11	2.48	2.51	3.35	2.73	2.86	7.06	6.11	8.92	2.86	0.29	2.46	0.08	2.48	4.21	3.76	7.75	6.46	4.1
ZNF577	127.0	193.01	251.48	303.44	185.11	137.14	262.2	941.27	961.07	236.21	119.26	193.01	43.63	25.54	77.79	119.26	104.42	11.04	13.52	208.38	34.75	131.51	114.36	29.48	76.17	190.34	320.8	212.78	85.22	327.56	262.2	251.48	167.9	260.38	154.42	208.38	316.37	228.13	248.0	112.77	22.1	58.71	79.45	14.89	87.03	387.02	198.47	397.93	480.04	1397.83	830.75	1143.1	848.22	1685.71	1259.69	1350.18	836.53	1037.29	718.08	1059.11	493.56	708.18	1340.84	1378.57	954.43	1540.37	267.73	1295.13	1208.34	848.22	136.19	1733.13	148.09	1191.69	1350.18	587.13	769.69	780.44	400.71
ZNF596	33.3	92.05	76.17	88.88	173.85	102.97	107.38	121.79	136.19	195.72	119.26	40.64	98.04	135.24	43.94	156.59	106.63	102.25	46.84	67.59	53.95	73.54	118.43	50.27	101.54	87.65	80.01	93.35	50.27	64.34	71.5	84.04	50.98	54.72	142.01	68.07	293.07	84.63	51.35	59.97	29.27	39.79	88.88	127.89	71.5	163.28	143.01	26.1	120.94	262.2	236.21	228.13	157.68	170.25	329.84	271.48	197.09	189.02	186.4	155.5	141.02	157.68	351.14	194.36	175.07	381.68	197.09	253.23	563.18	303.44	61.25	152.28	74.58	104.42	206.94	40.93	155.5	379.04	71.5
ZNF75D	56.28	153.34	121.79	130.6	61.68	253.23	256.78	299.25	305.55	191.67	71.0	80.01	56.68	173.85	107.38	206.94	122.64	133.36	90.77	96.01	144.01	129.69	211.31	48.18	143.01	124.37	118.43	94.01	120.1	166.73	126.12	111.99	105.15	98.73	154.42	123.5	251.48	130.6	82.29	151.22	114.36	64.34	121.79	126.12	147.06	224.97	226.54	271.48	295.11	221.86	379.04	348.71	387.02	258.57	397.93	318.57	575.03	312.0	403.5	587.13	267.73	305.55	447.82	303.44	307.69	348.71	236.21	231.32	260.38	195.72	193.01	186.4	159.9	163.28	269.6	151.22	348.71	262.2	224.97
ZNF763	21.32	20.56	69.52	139.07	47.84	27.05	140.04	152.28	153.34	102.97	20.11	37.05	23.93	54.33	17.9	77.25	37.85	61.68	16.75	55.1	32.36	45.53	128.79	9.85	51.71	45.53	37.85	61.25	44.57	59.13	18.56	32.82	37.32	40.64	41.22	69.52	72.52	54.72	32.82	50.98	32.59	63.89	47.17	23.76	91.41	104.42	79.45	59.13	161.02	133.36	113.56	135.24	87.03	89.51	223.41	146.03	185.11	204.07	135.24	151.22	93.35	90.14	151.22	149.12	146.03	177.53	332.14	204.07	198.47	161.02	105.89	144.01	27.64	412.0	420.68	51.35	277.2	146.03	171.45
ZNF808	34.02	41.81	59.55	85.22	19.53	36.79	92.05	64.8	305.55	87.03	81.14	33.3	22.26	93.35	62.56	96.68	101.54	115.16	24.11	43.32	54.72	75.11	214.27	53.95	153.34	98.73	64.34	59.97	82.87	75.11	87.03	49.91	47.5	104.42	89.51	84.04	166.73	106.63	44.57	100.83	86.43	81.71	58.3	48.87	65.72	164.42	164.42	195.72	134.3	97.36	116.78	108.9	149.12	118.43	285.03	237.86	145.02	117.6	162.14	69.52	140.04	113.56	141.02	208.38	90.14	211.31	72.52	483.38	223.41	97.36	33.54	182.55	30.78	81.71	81.71	56.68	162.14	183.82	127.89
ZRANB2	406.31	1023.0	796.86	775.05	1111.82	836.53	1088.92	1023.0	1104.13	954.43	1167.14	813.63	764.36	612.11	518.15	796.86	480.04	346.29	314.17	395.18	237.86	397.93	1709.26	764.36	743.43	928.3	511.0	412.0	476.71	447.82	819.3	426.57	547.75	518.15	395.18	567.1	1250.98	579.04	438.59	543.96	674.59	525.39	450.94	1167.14	511.0	974.5	860.08	454.09	1447.15	1733.13	1923.14	3901.01	1583.71	2148.82	2645.74	2271.4	1950.0	1769.57	2417.67	1605.83	1551.09	1447.15	1709.26	1769.57	1819.35	2178.83	2193.99	1540.37	2555.58	1721.16	642.59	1572.76	642.59	1119.56	1551.09	961.07	1594.73	1991.0	1183.45
