	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13OVJ.0626.SM.5J2O2	GTEX.14E6C.2626.SM.5RQJP	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.144GM.0226.SM.5Q5CB	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.QXCU.0326.SM.2TC63	GTEX.13O1R.0826.SM.5J2MB	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
SAYSD1	0.0	0.27	94.01	384.34	332.14	450.94	234.57	373.81	305.55	318.57	316.37	353.59	260.38	285.03	291.04	358.54	293.07	334.46	336.79	368.65	253.23	291.04	336.79	392.44	329.84	271.48	343.89	389.72	366.09	358.54	325.29	406.31	325.29	327.56	323.03	297.17	320.8	336.79	297.17	351.14	318.57	387.02	279.14	325.29	351.14	329.84	336.79	260.38	249.73	277.2	258.57	314.17	356.05	277.2	275.28	312.0	387.02	339.14	316.37
SERTM1	0.0	0.0	0.0	769.69	1313.23	540.19	7.34	191.67	52.08	81.71	159.9	532.74	3.96	0.67	3.17	497.0	47.17	66.65	624.99	80.01	5.11	53.95	110.43	262.2	301.33	165.57	532.74	579.04	94.67	189.02	118.43	309.83	120.1	381.68	8.19	53.19	1369.04	1295.13	72.52	273.37	63.45	113.56	20.11	21.01	20.56	58.3	49.91	28.65	15.56	16.39	52.08	114.36	198.47	18.03	14.89	19.68	108.9	387.02	201.25
SLC25A10	0.0	0.0	299.25	540.19	612.11	387.02	161.02	473.41	241.19	406.31	379.04	336.79	182.55	190.34	253.23	420.68	466.88	500.46	423.61	466.88	199.85	316.37	246.28	376.41	406.31	281.09	299.25	403.5	525.39	395.18	229.72	420.68	343.89	529.06	198.47	518.15	547.75	466.88	269.6	406.31	638.15	595.34	316.37	215.77	201.25	503.95	325.29	195.72	209.84	138.1	220.32	420.68	423.61	426.57	153.34	228.13	409.15	429.54	612.11
SLC46A1	0.0	0.14	56.68	555.41	406.31	441.64	144.01	460.44	211.31	267.73	293.07	305.55	172.65	165.57	258.57	414.87	258.57	217.27	429.54	438.59	195.72	236.21	224.97	540.19	559.28	281.09	409.15	457.25	457.25	511.0	244.57	450.94	269.6	444.72	215.77	215.77	460.44	353.59	236.21	371.22	381.68	320.8	384.34	269.6	289.02	409.15	281.09	223.41	318.57	267.73	194.36	253.23	397.93	303.44	198.47	246.28	521.76	381.68	454.09
SLC4A4	0.0	0.12	5.59	1427.22	764.36	3716.2	343.89	988.12	473.41	2609.3	2032.85	1721.16	51.35	20.56	211.31	825.0	316.37	208.38	1457.23	915.51	579.04	361.04	403.5	1104.13	551.56	532.74	1008.9	941.27	1313.23	988.12	387.02	1498.22	896.64	1651.0	167.9	262.2	1540.37	1111.82	1159.07	1583.71	674.59	514.56	406.31	708.18	660.68	674.59	802.41	116.78	351.14	43.32	532.74	728.11	571.05	551.56	112.77	432.53	1250.98	2451.44	1191.69
SLITRK5	0.0	0.01	3.2	214.27	214.27	295.11	1.97	65.72	67.12	123.5	293.07	291.04	59.97	11.82	15.91	134.3	115.16	73.54	151.22	212.78	24.28	3.56	149.12	379.04	127.0	102.25	224.97	150.17	132.44	441.64	15.0	361.04	81.14	237.86	6.78	73.54	190.34	69.52	87.65	34.75	65.26	205.5	52.82	53.95	23.08	20.71	114.36	13.83	31.67	75.11	19.82	158.79	89.51	23.59	51.35	42.11	98.73	242.88	135.24
SMARCAL1	0.0	0.0	95.34	346.29	403.5	392.44	153.34	371.22	242.88	309.83	361.04	293.07	242.88	169.07	232.94	348.71	267.73	336.79	353.59	312.0	260.38	358.54	295.11	346.29	389.72	277.2	356.05	348.71	329.84	406.31	214.27	389.72	275.28	373.81	221.86	318.57	371.22	314.17	297.17	332.14	273.37	325.29	277.2	258.57	305.55	256.78	262.2	217.27	144.01	169.07	183.82	244.57	327.56	269.6	221.86	260.38	327.56	351.14	314.17
SMO	0.0	0.54	40.36	642.59	503.95	358.54	126.12	728.11	205.5	176.29	400.71	305.55	95.34	99.43	177.53	392.44	177.53	283.05	358.54	373.81	164.42	277.2	100.83	447.82	665.29	214.27	397.93	486.75	497.0	486.75	142.01	409.15	215.77	540.19	131.51	169.07	518.15	507.46	271.48	412.0	269.6	265.87	224.97	96.01	246.28	194.36	94.01	121.79	133.36	96.01	86.43	312.0	287.01	251.48	97.36	158.79	457.25	358.54	406.31
SMYD2	0.0	0.25	148.09	1331.57	1286.18	1286.18	642.59	1051.79	718.08	848.22	1059.11	1519.15	518.15	358.54	547.75	1175.27	642.59	642.59	1151.06	1008.9	563.18	651.58	693.58	995.0	1167.14	1044.52	1135.2	854.13	1322.37	941.27	591.22	1313.23	825.0	1143.1	669.92	748.61	1127.35	1350.18	651.58	1183.45	872.1	896.64	591.22	607.87	764.36	775.05	769.69	514.56	503.95	500.46	616.37	830.75	902.89	954.43	559.28	693.58	1119.56	1030.12	1143.1
SNPH	0.0	0.41	58.71	316.37	215.77	167.9	40.93	329.84	105.15	109.66	143.01	182.55	104.42	32.59	52.45	191.67	140.04	229.72	199.85	194.36	60.39	135.24	71.5	205.5	159.9	36.79	187.71	190.34	115.97	224.97	112.77	154.42	105.15	205.5	33.54	122.64	134.3	132.44	102.25	148.09	146.03	199.85	112.77	52.08	77.25	121.79	131.51	55.49	35.76	28.65	38.95	119.26	167.9	113.56	49.21	55.1	201.25	134.3	228.13
SORL1	48.87	45.21	22.43	728.11	441.64	866.07	246.28	599.49	212.78	197.09	567.1	583.07	320.8	57.89	232.94	435.55	223.41	314.17	769.69	583.07	90.14	147.06	198.47	802.41	483.38	612.11	1023.0	500.46	674.59	723.08	177.53	934.76	397.93	836.53	155.5	148.09	466.88	480.04	301.33	547.75	173.85	366.09	376.41	273.37	199.85	145.02	190.34	187.71	289.02	121.79	291.04	312.0	525.39	334.46	256.78	305.55	567.1	656.11	447.82
SPEF1	0.0	0.0	7.11	221.86	206.94	83.45	52.45	105.89	56.68	42.11	152.28	140.04	23.59	8.45	34.75	108.9	39.5	44.89	198.47	67.12	24.99	81.14	29.06	93.35	93.35	99.43	191.67	59.55	75.64	108.14	36.01	143.01	80.01	177.53	7.69	41.22	241.19	98.73	63.45	148.09	83.45	30.12	34.02	38.4	33.54	41.81	25.72	15.22	60.82	11.55	21.47	66.18	121.79	42.71	71.5	52.82	162.14	89.51	182.55
ST3GAL2	121.79	87.65	76.17	287.01	264.03	181.28	65.72	409.15	133.36	176.29	159.9	153.34	143.01	108.14	171.45	229.72	158.79	180.02	303.44	218.79	120.94	164.42	177.53	183.82	248.0	102.25	232.94	287.01	226.54	327.56	111.99	224.97	197.09	285.03	162.14	183.82	148.09	212.78	140.04	215.77	146.03	157.68	165.57	81.14	156.59	164.42	146.03	155.5	53.19	137.14	110.43	143.01	154.42	146.03	82.87	80.57	193.01	232.94	253.23
SYK	0.0	0.13	66.18	1286.18	1059.11	1151.06	507.46	1417.35	872.1	802.41	825.0	947.83	738.29	457.25	483.38	995.0	748.61	802.41	1023.0	1119.56	607.87	698.41	493.56	1674.06	915.51	688.78	1167.14	1096.5	967.76	1561.89	813.63	1208.34	660.68	1628.26	412.0	612.11	1477.58	728.11	1037.29	1135.2	511.0	902.89	947.83	733.19	854.13	921.88	693.58	551.56	518.15	438.59	698.41	1001.93	703.28	1081.39	480.04	463.65	981.29	1151.06	1015.93
SYNE2	248.0	318.57	665.29	3103.19	2816.11	2835.7	2032.85	3690.52	1697.45	2148.82	2645.74	2520.38	2240.11	1733.13	1407.55	2816.11	1697.45	1963.57	2835.7	2682.69	1572.76	2319.15	1250.98	3639.7	3467.27	3018.3	3103.19	2537.92	2555.58	3060.45	1794.29	3103.19	1733.13	3372.43	1857.6	1806.78	2956.17	2976.74	1923.14	3768.09	2119.22	2400.97	2104.58	2739.08	1572.76	1896.65	1991.0	1781.89	2004.85	1051.79	1794.29	2104.58	2573.36	1844.76	2271.4	3325.99	2796.65	2555.58	3124.78
SYT9	0.0	0.0	0.03	87.03	72.01	81.14	7.28	58.71	20.56	13.03	53.57	58.71	7.11	1.43	31.0	28.45	21.32	49.21	53.57	69.52	17.9	38.4	28.86	120.94	58.3	43.02	23.76	36.79	87.03	66.18	51.71	48.18	56.28	80.57	6.84	17.38	78.89	54.33	85.22	50.63	51.71	34.51	42.11	37.85	82.87	23.42	30.34	14.56	14.24	4.54	16.39	36.01	14.89	9.85	8.65	12.83	54.33	40.93	40.93
TAF6	0.0	0.71	392.44	1427.22	1313.23	1359.57	825.0	1304.15	1059.11	1096.5	1397.83	1397.83	995.0	738.29	890.44	1340.84	1066.48	1175.27	1350.18	1277.29	981.29	1088.92	1001.93	1437.15	1295.13	1159.07	1295.13	1208.34	1199.98	1216.75	967.76	1250.98	1143.1	1487.87	988.12	1277.29	1407.55	1350.18	1066.48	1340.84	1191.69	1143.1	1066.48	1008.9	842.36	928.3	1119.56	941.27	785.88	1030.12	872.1	1216.75	1191.69	1096.5	836.53	848.22	1628.26	1407.55	1407.55
TG	0.0	0.64	11.91	1282030.25	1393227.06	2068278.89	1012856.65	1179708.33	2247670.86	2126426.15	1751305.3	2375828.71	839981.65	419990.32	1611529.43	1622738.51	1493223.86	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1290947.48	1085552.95	1984025.69	2986448.72	1567462.05	2025714.3	2425749.94	1139523.1	1402917.72	1318073.06	1929772.37	857631.47	509950.32	1943195.01	1100706.72	1622738.51	1727194.55	1589343.01	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	3178687.03	3886391.01	711250.37	1055868.42	610654.84	1131651.83	2263304.65	1535204.12	2672946.37	783730.52	1514068.5	1864037.21	1634025.56	1482909.4
THEM6	0.0	0.1	112.77	967.76	842.36	612.11	267.73	934.76	303.44	514.56	638.15	708.18	285.03	112.77	389.72	748.61	490.14	629.35	674.59	629.35	297.17	540.19	368.65	679.29	836.53	490.14	679.29	587.13	825.0	733.19	392.44	738.29	665.29	802.41	332.14	414.87	878.17	708.18	356.05	620.67	723.08	463.65	480.04	348.71	309.83	575.03	409.15	291.04	303.44	205.5	490.14	543.96	480.04	555.41	307.69	395.18	599.49	674.59	921.88
THSD7B	0.0	0.0	0.0	26.67	13.62	15.22	11.73	60.82	3.86	11.73	20.86	18.29	9.56	4.98	8.65	30.56	20.41	7.69	26.67	10.08	10.31	4.1	9.13	34.02	16.63	2.97	48.18	19.11	18.16	20.11	2.94	13.42	6.21	12.55	4.24	13.72	16.27	6.31	2.94	21.63	9.06	8.38	4.54	9.27	18.84	2.25	6.67	1.58	5.28	1.39	4.43	7.34	8.45	8.19	5.96	6.36	20.41	23.76	18.03
TK2	267.73	204.07	139.07	759.08	813.63	723.08	366.09	764.36	480.04	567.1	656.11	713.11	447.82	269.6	529.06	780.44	529.06	642.59	633.73	759.08	507.46	583.07	466.88	688.78	759.08	466.88	808.0	620.67	802.41	738.29	483.38	764.36	607.87	743.43	353.59	511.0	629.35	684.02	547.75	583.07	480.04	497.0	536.45	503.95	579.04	486.75	466.88	426.57	426.57	441.64	490.14	567.1	612.11	551.56	417.77	400.71	620.67	698.41	764.36
TMEM169	0.0	0.0	0.62	98.73	70.51	60.39	4.7	55.49	36.01	53.95	51.35	24.63	8.92	19.39	29.91	87.65	26.86	19.97	49.21	75.11	32.13	24.11	25.91	90.77	77.79	14.67	50.63	54.72	23.42	52.08	19.82	70.01	32.82	48.18	9.56	33.3	63.0	40.64	40.07	56.68	43.32	40.64	43.02	23.08	33.78	13.83	88.26	18.16	4.98	11.13	14.03	24.63	40.36	29.91	4.5	26.28	73.54	47.84	86.43
TMEM218	0.0	0.1	94.67	665.29	802.41	748.61	255.0	728.11	336.79	490.14	688.78	854.13	312.0	186.4	463.65	902.89	463.65	470.14	836.53	642.59	429.54	693.58	447.82	638.15	674.59	583.07	808.0	633.73	579.04	802.41	450.94	688.78	583.07	764.36	339.14	536.45	748.61	698.41	432.53	785.88	511.0	684.02	551.56	417.77	486.75	376.41	381.68	435.55	104.42	237.86	303.44	454.09	629.35	490.14	273.37	441.64	796.86	796.86	808.0
TMEM231	0.0	0.0	45.85	358.54	384.34	373.81	154.42	363.56	231.32	177.53	438.59	387.02	157.68	226.54	242.88	312.0	206.94	262.2	429.54	366.09	175.07	249.73	158.79	363.56	275.28	316.37	503.95	275.28	397.93	343.89	187.71	384.34	217.27	387.02	220.32	154.42	309.83	381.68	297.17	392.44	194.36	231.32	285.03	214.27	204.07	132.44	209.84	198.47	264.03	267.73	178.77	223.41	301.33	229.72	212.78	175.07	392.44	384.34	379.04
TMEM25	0.0	0.46	180.02	848.22	909.17	921.88	444.72	1059.11	432.53	486.75	848.22	759.08	279.14	269.6	358.54	703.28	480.04	457.25	769.69	708.18	438.59	525.39	438.59	1023.0	1008.9	825.0	890.44	796.86	941.27	825.0	447.82	981.29	521.76	947.83	403.5	511.0	1015.93	909.17	525.39	884.29	660.68	563.18	463.65	450.94	400.71	470.14	532.74	450.94	454.09	267.73	429.54	518.15	785.88	587.13	329.84	426.57	775.05	825.0	825.0
TMEM39B	0.0	0.38	163.28	497.0	412.0	409.15	180.02	432.53	361.04	371.22	460.44	376.41	329.84	341.51	361.04	450.94	336.79	397.93	389.72	414.87	305.55	356.05	358.54	500.46	493.56	358.54	454.09	503.95	450.94	490.14	325.29	476.71	450.94	500.46	348.71	353.59	460.44	373.81	379.04	470.14	529.06	412.0	318.57	293.07	307.69	444.72	351.14	265.87	241.19	343.89	234.57	417.77	351.14	336.79	336.79	267.73	536.45	356.05	486.75
TMIE	0.0	0.0	8.78	31.0	64.8	39.22	5.73	42.11	17.51	22.75	23.08	47.84	11.91	4.78	20.11	38.95	12.45	25.91	32.59	33.78	13.72	21.78	22.92	37.05	47.84	33.3	27.44	27.25	52.82	40.64	25.91	28.45	44.57	43.63	22.75	25.91	46.18	64.34	25.35	12.36	40.07	12.64	29.91	29.27	15.34	19.11	10.79	28.45	19.53	21.47	29.91	34.02	20.11	39.5	14.45	22.75	42.71	32.36	47.84
TNFSF12	0.0	0.67	27.25	1417.35	1023.0	1081.39	603.67	1487.87	665.29	708.18	1059.11	928.3	563.18	392.44	738.29	1225.22	896.64	698.41	1388.16	988.12	647.07	769.69	753.83	1143.1	1617.0	974.5	1397.83	1096.5	1167.14	1369.04	660.68	1191.69	921.88	1250.98	612.11	733.19	909.17	1208.34	698.41	1151.06	796.86	480.04	723.08	638.15	684.02	529.06	559.28	575.03	470.14	463.65	651.58	595.34	921.88	947.83	507.46	454.09	1295.13	915.51	1304.15
TRIM34	0.0	0.19	14.03	164.42	162.14	107.38	105.15	130.6	115.16	137.14	120.1	153.34	69.52	91.41	100.83	131.51	100.83	133.36	189.02	186.4	115.97	154.42	114.36	212.78	205.5	127.89	231.32	191.67	133.36	209.84	67.59	159.9	144.01	146.03	31.67	76.71	73.03	127.0	140.04	157.68	98.73	148.09	127.89	99.43	121.79	63.89	120.1	105.15	40.93	119.26	103.69	127.0	193.01	86.43	54.33	132.44	157.68	100.83	177.53
TSHZ3	0.0	0.65	56.68	599.49	559.28	599.49	353.59	743.43	248.0	226.54	256.78	417.77	142.01	153.34	130.6	571.05	161.02	189.02	638.15	260.38	217.27	148.09	190.34	497.0	339.14	351.14	620.67	412.0	389.72	460.44	351.14	381.68	178.77	299.25	185.11	204.07	239.52	536.45	314.17	291.04	167.9	110.43	232.94	246.28	269.6	127.89	193.01	143.01	208.38	88.88	158.79	239.52	353.59	307.69	187.71	329.84	301.33	480.04	318.57
TSKS	0.0	0.16	0.0	34.26	10.47	3.0	4.9	13.52	6.94	6.78	12.93	20.11	3.76	0.54	11.73	21.94	6.01	7.17	16.15	8.92	5.73	9.78	3.06	11.13	22.1	4.82	18.43	16.03	9.93	16.39	3.89	21.01	8.19	11.04	0.22	10.0	3.99	11.04	11.04	18.7	5.11	4.46	3.96	4.46	6.52	1.33	0.83	5.41	0.55	2.2	7.06	2.78	13.03	9.93	3.23	1.41	17.0	12.83	18.7
TSNAXIP1	0.0	0.06	0.0	77.25	73.54	53.57	51.71	40.64	13.32	12.83	87.65	59.13	7.17	3.99	11.38	84.04	5.87	30.56	54.72	50.63	11.38	24.81	12.45	87.03	73.54	67.59	72.01	39.79	53.19	47.84	13.03	73.03	18.84	128.79	9.78	22.59	81.71	39.79	19.53	72.01	22.92	21.32	34.02	3.99	10.47	13.12	18.43	16.88	36.79	6.57	11.73	39.22	99.43	19.39	37.05	18.03	95.34	73.54	123.5
TTC3	0.0	0.79	791.35	2739.08	2367.9	2303.12	1208.34	2193.99	1088.92	1151.06	1781.89	2384.37	775.05	915.51	954.43	1991.0	764.36	1015.93	2400.97	1378.57	1286.18	1369.04	718.08	1832.01	1991.0	1697.45	1883.54	1883.54	1936.53	1923.14	1167.14	1844.76	1304.15	1651.0	896.64	866.07	1745.2	2240.11	1487.87	1883.54	1191.69	1199.98	1191.69	1001.93	1508.65	1030.12	988.12	1051.79	1037.29	915.51	1096.5	1167.14	1088.92	1674.06	842.36	1467.37	1950.0	2119.22	2777.33
TTLL1	0.0	0.0	24.28	423.61	432.53	400.71	139.07	420.68	226.54	171.45	332.14	363.56	126.12	47.5	249.73	358.54	178.77	169.07	389.72	435.55	173.85	212.78	223.41	346.29	389.72	289.02	403.5	265.87	389.72	334.46	171.45	376.41	244.57	371.22	163.28	218.79	325.29	395.18	244.57	341.51	215.77	161.02	244.57	204.07	154.42	166.73	211.31	157.68	152.28	105.89	191.67	172.65	264.03	232.94	100.13	182.55	397.93	339.14	447.82
TUBA8	0.0	0.29	75.11	693.58	316.37	234.57	118.43	444.72	183.82	95.34	260.38	212.78	163.28	92.05	180.02	532.74	152.28	303.44	346.29	318.57	138.1	142.01	163.28	713.11	423.61	75.11	409.15	444.72	293.07	866.07	186.4	368.65	123.5	406.31	62.56	141.02	305.55	165.57	119.26	194.36	470.14	476.71	356.05	83.45	103.69	177.53	195.72	92.7	156.59	151.22	77.79	140.04	403.5	170.25	53.95	130.6	368.65	309.83	351.14
UBE2D4	343.89	444.72	64.34	738.29	775.05	651.58	248.0	785.88	473.41	500.46	656.11	708.18	420.68	173.85	435.55	612.11	447.82	486.75	698.41	669.92	384.34	511.0	395.18	583.07	603.67	503.95	679.29	698.41	703.28	693.58	371.22	830.75	603.67	825.0	309.83	543.96	679.29	651.58	438.59	769.69	633.73	497.0	473.41	432.53	454.09	500.46	583.07	339.14	412.0	262.2	403.5	473.41	493.56	563.18	371.22	412.0	665.29	638.15	728.11
VEPH1	0.0	0.0	4.5	190.34	78.89	155.5	15.8	102.25	32.36	37.05	113.56	122.64	8.13	3.5	19.25	129.69	31.9	21.16	107.38	76.17	15.8	45.53	22.43	53.19	80.01	36.79	120.94	69.03	64.34	100.83	47.5	140.04	36.01	81.71	11.82	23.93	79.45	72.52	59.13	82.29	45.53	55.1	35.0	46.84	19.82	15.68	38.67	17.0	13.62	7.11	37.59	62.12	44.25	45.85	20.56	18.29	81.14	82.29	153.34
WDR65	0.0	0.0	0.0	39.5	47.5	37.85	31.22	46.5	15.56	32.36	58.71	44.89	5.77	3.99	25.35	19.82	11.47	32.59	39.22	48.87	12.36	44.57	19.11	51.35	24.63	17.77	73.54	26.47	57.08	52.08	14.89	34.75	21.01	44.89	19.82	13.52	48.18	16.03	27.25	77.79	18.56	36.79	40.36	52.08	23.93	10.71	23.93	23.25	41.22	12.09	12.74	34.75	33.78	12.45	26.28	24.46	43.32	42.11	38.67
ZBTB12	0.0	0.15	11.55	126.12	116.78	102.25	37.59	117.6	46.18	98.73	101.54	127.0	44.89	31.22	50.27	94.01	66.65	96.68	101.54	100.83	56.28	78.34	56.68	187.71	96.01	45.85	102.97	162.14	107.38	144.01	55.1	90.14	88.88	146.03	32.82	58.71	159.9	98.04	65.26	87.65	81.14	111.99	90.14	54.33	49.21	56.28	66.65	53.95	14.78	43.32	48.87	117.6	82.87	65.26	65.26	35.25	119.26	134.3	133.36
ZBTB4	293.07	309.83	447.82	2047.0	2178.83	1844.76	1477.58	2119.22	1529.73	1407.55	1709.26	1769.57	1096.5	915.51	1286.18	1709.26	1059.11	1044.52	1923.14	1733.13	1417.35	1268.46	1135.2	1896.65	1950.0	1745.2	1685.71	1896.65	1806.78	1685.71	1427.22	1685.71	1242.34	1697.45	884.29	1051.79	1794.29	2178.83	1685.71	1639.59	1159.07	1208.34	1781.89	1721.16	1477.58	1051.79	1286.18	1135.2	1322.37	698.41	1350.18	1111.82	1407.55	1605.83	1151.06	1268.46	1794.29	2178.83	1832.01
ZNF346	78.34	177.53	140.04	403.5	400.71	429.54	221.86	343.89	265.87	273.37	353.59	363.56	318.57	209.84	226.54	346.29	289.02	379.04	314.17	314.17	224.97	293.07	231.32	466.88	400.71	334.46	406.31	381.68	336.79	420.68	249.73	447.82	239.52	395.18	223.41	327.56	587.13	277.2	332.14	246.28	329.84	314.17	426.57	253.23	285.03	329.84	307.69	215.77	209.84	237.86	242.88	366.09	358.54	281.09	279.14	307.69	403.5	409.15	470.14
ZNF624	0.0	0.0	9.34	82.87	55.49	53.19	14.78	84.63	29.06	41.52	20.71	30.34	22.59	25.35	47.17	60.82	35.5	26.1	62.12	55.49	27.25	37.59	36.27	82.29	55.49	24.46	40.07	77.25	31.67	65.26	40.93	84.63	38.95	48.52	39.5	36.53	46.18	49.91	36.53	63.89	36.53	44.25	39.5	45.85	24.28	27.25	51.35	22.75	16.27	36.79	37.05	39.79	34.75	28.86	20.41	11.55	51.35	33.3	64.34
ZNF704	0.0	0.23	10.79	198.47	170.25	275.28	111.99	251.48	86.43	120.94	161.02	199.85	49.56	89.51	126.12	267.73	134.3	73.03	229.72	190.34	147.06	123.5	81.71	221.86	201.25	137.14	226.54	150.17	242.88	246.28	92.05	229.72	108.14	217.27	69.52	78.34	221.86	175.07	167.9	223.41	78.89	71.5	167.9	205.5	149.12	58.71	88.26	98.04	127.89	30.78	104.42	108.14	131.51	153.34	104.42	125.24	193.01	239.52	206.94
ZNF74	0.0	0.21	37.32	190.34	155.5	172.65	45.85	194.36	77.25	87.65	130.6	102.25	67.12	65.26	43.63	140.04	102.25	90.77	189.02	153.34	55.1	110.43	87.65	199.85	185.11	87.03	157.68	173.85	114.36	161.02	63.45	195.72	89.51	185.11	102.97	85.82	169.07	169.07	81.14	152.28	95.34	125.24	79.45	73.03	85.22	86.43	81.71	73.54	25.54	59.13	54.72	87.03	131.51	130.6	55.49	78.34	166.73	142.01	191.67
