	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.J8.A3YG.01A.11R.A22U.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.WHSE.0626.SM.4RGNF
MYEF2	8.92	5.63	9.34	2.2	189.02	96.01	102.25	0.0	133.36	0.01	511.0	262.2	228.13	403.5	802.41	57.89	483.38	500.46	493.56	253.23	638.15	490.14	244.57	84.04	387.02	713.11	400.71	193.01	392.44	450.94	320.8	339.14	493.56	94.67	214.27	149.12	271.48	595.34	279.14	368.65	493.56	392.44	438.59	198.47	356.05	336.79	353.59	307.69	381.68	514.56	559.28	403.5	139.07	366.09	540.19	733.19	406.31	412.0	429.54	181.28	860.08	301.33	476.71	163.28	775.05	884.29	603.67	483.38	620.67	616.37	368.65	379.04	432.53	571.05	185.11	540.19	237.86
NCKAP5L	111.21	118.43	248.0	223.41	182.55	301.33	215.77	0.0	164.42	53.57	264.03	231.32	236.21	285.03	473.41	205.5	248.0	194.36	186.4	190.34	376.41	309.83	214.27	241.19	332.14	303.44	217.27	181.28	208.38	277.2	232.94	215.77	232.94	191.67	231.32	195.72	197.09	264.03	256.78	206.94	221.86	226.54	295.11	202.66	318.57	156.59	234.57	265.87	187.71	376.41	217.27	258.57	387.02	170.25	158.79	395.18	246.28	214.27	220.32	293.07	285.03	351.14	299.25	181.28	327.56	379.04	152.28	178.77	384.34	217.27	285.03	373.81	180.02	314.17	241.19	199.85	320.8
NFKBID	57.49	159.9	253.23	56.28	50.63	67.59	75.11	0.0	128.79	16.88	157.68	65.72	156.59	363.56	358.54	46.5	285.03	153.34	273.37	198.47	226.54	366.09	120.94	141.02	283.05	246.28	131.51	92.7	186.4	228.13	193.01	94.67	155.5	76.71	195.72	90.77	202.66	148.09	147.06	167.9	172.65	185.11	351.14	91.41	291.04	197.09	212.78	161.02	140.04	285.03	228.13	111.21	97.36	98.73	122.64	417.77	134.3	220.32	265.87	158.79	312.0	183.82	242.88	201.25	476.71	483.38	205.5	273.37	291.04	279.14	285.03	161.02	171.45	397.93	78.89	183.82	503.95
NKTR	143.01	61.25	127.0	99.43	42.71	14.14	41.81	223.41	166.73	22.75	921.88	500.46	514.56	902.89	1639.59	264.03	698.41	638.15	813.63	366.09	1286.18	1088.92	173.85	514.56	1066.48	1572.76	500.46	769.69	559.28	1208.34	490.14	454.09	1008.9	473.41	1208.34	279.14	438.59	1268.46	454.09	429.54	733.19	633.73	1073.91	348.71	764.36	497.0	583.07	819.3	327.56	1685.71	1096.5	802.41	457.25	486.75	384.34	1605.83	638.15	612.11	1001.93	591.22	1697.45	1143.1	981.29	341.51	1733.13	1870.53	693.58	934.76	1340.84	941.27	703.28	693.58	529.06	1015.93	497.0	642.59	890.44
NPFF	13.72	2.39	11.91	3.38	0.0	4.24	7.69	0.0	19.68	0.0	35.0	16.75	22.92	73.03	76.71	11.38	1.41	18.97	17.25	27.84	41.81	53.19	8.19	22.43	22.75	19.53	21.94	0.0	5.73	76.17	23.59	14.45	84.04	22.75	18.56	15.91	36.27	62.56	33.78	9.93	13.52	5.15	52.82	3.92	62.12	23.25	45.21	24.99	0.0	98.73	16.15	42.11	36.01	2.71	3.03	55.1	20.41	22.75	4.35	20.71	2.76	40.93	36.01	4.7	124.37	37.32	2.03	16.27	41.22	32.36	30.34	17.13	15.68	96.68	10.71	9.41	14.56
NPHP3	121.79	62.12	51.71	44.57	36.01	20.41	47.5	0.0	115.97	22.26	297.17	167.9	249.73	444.72	511.0	122.64	249.73	232.94	277.2	164.42	525.39	473.41	75.11	218.79	384.34	429.54	191.67	267.73	289.02	384.34	231.32	159.9	493.56	217.27	490.14	125.24	190.34	525.39	208.38	136.19	236.21	167.9	441.64	75.11	273.37	157.68	205.5	314.17	159.9	493.56	373.81	353.59	177.53	234.57	151.22	343.89	251.48	253.23	303.44	185.11	656.11	444.72	403.5	135.24	612.11	638.15	223.41	303.44	559.28	373.81	291.04	187.71	253.23	441.64	156.59	165.57	336.79
NPIPB11	1.97	2.32	10.88	6.67	2.48	1.99	2.36	0.0	7.57	3.11	39.79	30.78	27.05	27.84	49.91	17.25	16.63	14.56	22.1	17.77	35.0	25.91	6.31	16.39	36.27	37.59	23.93	17.25	10.63	32.36	17.9	21.32	28.24	23.25	31.9	7.06	43.63	57.89	12.18	8.85	27.05	18.7	47.5	19.39	41.22	19.82	17.64	20.56	6.94	50.63	21.63	20.26	8.71	12.0	15.8	48.52	43.02	10.63	27.44	25.91	49.21	53.95	85.82	4.86	50.98	68.55	12.83	21.01	49.91	20.26	23.25	26.86	11.38	48.52	15.34	12.93	21.78
NPIPB15	0.0	10.79	2.76	1.08	29.7	0.82	24.11	0.0	60.39	0.0	2.94	57.08	13.93	429.54	346.29	0.91	92.05	2.48	3.17	348.71	387.02	454.09	62.12	85.22	258.57	198.47	56.68	84.63	0.61	161.02	1.57	67.59	260.38	51.71	3.23	36.79	102.97	285.03	92.05	152.28	197.09	113.56	169.07	43.94	6.31	441.64	1.23	229.72	57.89	316.37	126.12	279.14	101.54	64.8	44.25	312.0	80.01	82.87	379.04	187.71	262.2	248.0	112.77	1.46	525.39	1104.13	105.15	104.42	285.03	148.09	206.94	103.69	0.0	185.11	119.26	86.43	236.21
NPIPB3	297.17	126.12	629.35	332.14	187.71	214.27	251.48	0.0	353.59	68.07	1322.37	830.75	1008.9	1417.35	2209.26	620.67	1127.35	1183.45	1378.57	1037.29	1639.59	928.3	733.19	974.5	1844.76	2224.63	775.05	698.41	921.88	1909.85	1037.29	444.72	1572.76	723.08	1159.07	629.35	848.22	1769.57	1051.79	1001.93	1397.83	713.11	2224.63	551.56	1923.14	1447.15	995.0	1277.29	511.0	4010.71	1015.93	1594.73	909.17	759.08	500.46	2255.7	902.89	954.43	1447.15	934.76	2875.3	2645.74	1697.45	684.02	3716.2	3349.13	941.27	1437.15	2701.35	878.17	1651.0	660.68	753.83	1769.57	647.07	785.88	1769.57
NPIPB4	81.14	98.73	361.04	234.57	124.37	50.63	113.56	0.0	194.36	38.12	808.0	409.15	575.03	785.88	1397.83	303.44	555.41	503.95	688.78	253.23	1583.71	941.27	264.03	426.57	1417.35	1745.2	395.18	551.56	441.64	934.76	412.0	373.81	674.59	460.44	884.29	221.86	406.31	1143.1	507.46	429.54	728.11	567.1	1407.55	295.11	974.5	500.46	674.59	723.08	251.48	2434.5	759.08	743.43	507.46	329.84	435.55	1369.04	587.13	603.67	934.76	616.37	1781.89	1794.29	1350.18	241.19	1685.71	2133.97	514.56	884.29	1183.45	529.06	748.61	743.43	348.71	1340.84	473.41	511.0	941.27
NPIPB5	211.31	94.67	361.04	232.94	124.37	63.0	113.56	591.22	414.87	25.72	1674.06	567.1	813.63	1467.37	2816.11	624.99	1151.06	1199.98	1551.09	713.11	1950.0	1015.93	473.41	890.44	1923.14	2224.63	830.75	836.53	708.18	1832.01	703.28	480.04	1457.23	629.35	1242.34	595.34	607.87	1909.85	830.75	753.83	1508.65	974.5	2148.82	669.92	1674.06	1208.34	1199.98	1175.27	301.33	4836.35	1233.75	1199.98	921.88	688.78	480.04	2520.38	825.0	1001.93	1417.35	1268.46	3419.52	2739.08	1909.85	536.45	3540.14	4066.71	988.12	1477.58	2627.46	1081.39	1216.75	1051.79	915.51	1583.71	759.08	1096.5	2224.63
NPR2	70.01	81.14	214.27	52.45	144.01	154.42	273.37	0.0	189.02	18.43	169.07	107.38	127.89	239.52	334.46	97.36	242.88	126.12	171.45	120.94	305.55	291.04	118.43	93.35	242.88	218.79	115.97	96.68	112.77	191.67	150.17	97.36	295.11	177.53	197.09	75.11	146.03	299.25	141.02	94.67	154.42	106.63	285.03	75.64	183.82	234.57	228.13	131.51	136.19	373.81	128.79	206.94	96.01	62.56	146.03	285.03	81.71	111.99	161.02	123.5	198.47	241.19	193.01	90.14	532.74	258.57	149.12	84.04	283.05	197.09	262.2	201.25	97.36	323.03	90.14	133.36	59.13
NUTM2G	0.78	2.01	1.68	0.95	0.8	0.39	0.39	0.0	3.92	0.0	4.5	2.12	3.69	5.32	4.82	3.72	3.11	3.03	2.66	1.41	4.58	5.23	2.39	2.32	14.45	8.92	1.57	4.28	2.36	5.73	4.06	2.97	5.23	4.28	2.89	3.82	2.78	3.11	3.32	5.41	3.69	2.84	4.46	5.23	3.14	1.93	2.71	4.17	0.95	4.62	5.28	2.68	5.32	3.53	2.46	8.0	2.81	3.29	2.71	3.53	23.08	5.73	4.39	0.0	13.42	9.27	4.21	2.92	3.89	8.92	1.91	4.9	1.91	3.63	2.2	3.99	3.14
NYAP1	6.89	1.13	3.23	2.18	2.32	1.85	1.85	0.0	1.19	0.13	5.23	1.62	4.82	9.56	8.06	3.2	2.68	3.66	8.32	4.39	14.14	8.99	3.96	3.69	5.36	6.21	2.76	3.35	9.2	5.41	5.82	1.53	9.06	4.46	3.0	1.99	7.69	7.75	13.12	3.63	7.69	5.87	5.19	1.04	8.25	4.98	10.24	6.73	2.94	16.15	4.03	5.96	1.04	5.02	6.16	6.01	6.26	11.55	9.7	5.59	22.26	6.52	11.13	2.51	16.15	11.13	10.47	5.59	7.63	4.74	9.27	7.88	4.43	9.7	2.29	4.21	5.28
ORMDL1	595.34	283.05	1457.23	346.29	454.09	444.72	371.22	0.0	1073.91	314.17	1467.37	872.1	1427.22	1487.87	1950.0	1119.56	1340.84	1407.55	1923.14	1340.84	1583.71	1467.37	934.76	1015.93	1551.09	1781.89	947.83	1498.22	1081.39	2255.7	1104.13	1651.0	2271.4	1313.23	1378.57	1286.18	1697.45	1551.09	1104.13	854.13	941.27	1697.45	1583.71	1313.23	1909.85	1477.58	1457.23	1417.35	1286.18	2148.82	1605.83	1447.15	848.22	1437.15	1378.57	1757.34	1313.23	1350.18	1950.0	842.36	2075.59	1923.14	1950.0	1151.06	2976.74	2271.4	1781.89	1605.83	2004.85	2061.24	1639.59	1208.34	1295.13	2047.0	1208.34	1359.57	1183.45
PAN2	287.01	104.42	141.02	103.69	206.94	142.01	264.03	0.0	287.01	67.59	1096.5	708.18	981.29	1594.73	1745.2	612.11	860.08	860.08	1111.82	629.35	1936.53	1417.35	387.02	1617.0	2400.97	2335.28	400.71	1051.79	780.44	1819.35	769.69	660.68	1651.0	1001.93	1991.0	738.29	1199.98	2485.67	808.0	567.1	791.35	813.63	1498.22	493.56	1225.22	674.59	884.29	1250.98	486.75	2133.97	1322.37	1388.16	981.29	738.29	363.56	1594.73	842.36	769.69	1662.49	1844.76	1991.0	1498.22	1104.13	633.73	3257.52	2664.15	708.18	921.88	2133.97	1322.37	1233.75	1721.16	728.11	1757.34	665.29	693.58	708.18
PAXBP1	148.09	67.12	187.71	116.78	40.93	17.38	74.06	0.0	172.65	62.56	423.61	215.77	343.89	420.68	647.07	212.78	373.81	423.61	423.61	295.11	551.56	441.64	122.64	244.57	447.82	836.53	226.54	307.69	332.14	438.59	281.09	271.48	638.15	265.87	532.74	165.57	346.29	612.11	277.2	246.28	327.56	373.81	511.0	201.25	332.14	214.27	265.87	511.0	253.23	791.35	500.46	423.61	214.27	305.55	241.19	571.05	348.71	371.22	599.49	275.28	830.75	525.39	563.18	246.28	759.08	660.68	320.8	395.18	660.68	559.28	414.87	323.03	361.04	571.05	228.13	334.46	563.18
PDE6C	0.39	0.0	0.56	0.0	0.0	0.39	0.0	0.0	0.0	0.0	3.2	1.2	2.32	1.77	8.65	1.35	0.0	3.2	2.63	4.24	5.5	2.39	1.11	1.3	7.69	1.08	1.2	3.41	1.1	5.32	1.16	0.0	2.78	0.0	3.06	0.0	1.1	3.41	1.73	1.14	2.61	0.0	2.48	1.19	2.61	1.75	1.95	2.32	1.11	5.59	2.41	1.64	4.9	1.07	0.0	3.72	1.71	1.1	2.25	2.1	5.36	3.06	3.79	1.13	4.13	6.73	0.0	2.43	4.54	0.0	4.31	3.47	1.11	2.56	2.76	1.81	0.0
PHYKPL	341.51	255.0	547.75	244.57	1216.75	447.82	796.86	0.0	743.43	135.24	1498.22	1066.48	1135.2	1277.29	1295.13	1175.27	1044.52	995.0	928.3	848.22	1662.49	1295.13	981.29	1015.93	1819.35	1457.23	679.29	1023.0	878.17	1628.26	921.88	1151.06	1427.22	1340.84	1709.26	1023.0	1059.11	1662.49	941.27	708.18	909.17	1159.07	1369.04	775.05	1594.73	1030.12	961.07	1277.29	733.19	1709.26	1051.79	1397.83	981.29	796.86	435.55	1417.35	896.64	860.08	1304.15	941.27	1457.23	1407.55	1467.37	620.67	2090.03	1857.6	974.5	915.51	1709.26	974.5	1127.35	1008.9	713.11	1457.23	1030.12	915.51	1388.16
PLA2G6	158.79	71.0	132.44	67.59	103.69	84.04	112.77	0.0	105.89	37.32	775.05	346.29	1143.1	1457.23	2090.03	229.72	723.08	674.59	1008.9	785.88	2591.27	1286.18	384.34	454.09	2739.08	1628.26	305.55	854.13	638.15	1508.65	967.76	256.78	1745.2	563.18	1216.75	366.09	1001.93	2434.5	802.41	460.44	616.37	1191.69	1572.76	633.73	1277.29	947.83	748.61	1073.91	423.61	1407.55	1183.45	1225.22	656.11	490.14	406.31	1769.57	866.07	674.59	1427.22	769.69	2739.08	1378.57	1059.11	559.28	3280.18	3515.68	633.73	1044.52	3081.75	1467.37	1639.59	1268.46	450.94	1883.54	490.14	785.88	612.11
PLGLB1	15.0	1.38	23.93	4.7	4.82	6.11	1.57	0.0	29.7	3.38	64.8	21.16	97.36	109.66	182.55	19.97	47.5	55.89	54.33	48.18	85.82	57.08	16.51	57.89	148.09	70.51	55.1	74.58	33.54	103.69	43.63	45.21	224.97	35.76	65.26	48.18	83.45	102.97	24.99	63.0	42.71	39.22	77.79	37.85	135.24	55.89	43.63	73.54	16.39	130.6	69.52	96.68	49.21	36.01	11.04	103.69	44.89	32.36	114.36	74.06	121.79	134.3	36.79	28.45	171.45	67.59	68.55	57.08	98.73	44.89	33.3	80.01	34.75	55.49	22.92	27.64	39.22
PPWD1	208.38	202.66	190.34	212.78	159.9	72.52	199.85	0.0	392.44	140.04	555.41	429.54	555.41	723.08	941.27	303.44	547.75	616.37	583.07	435.55	642.59	819.3	218.79	490.14	587.13	808.0	426.57	414.87	470.14	579.04	450.94	426.57	780.44	387.02	651.58	318.57	500.46	738.29	403.5	343.89	470.14	490.14	860.08	269.6	669.92	403.5	406.31	559.28	426.57	743.43	679.29	559.28	323.03	420.68	348.71	708.18	406.31	567.1	647.07	470.14	819.3	693.58	624.99	414.87	1111.82	915.51	476.71	490.14	665.29	633.73	587.13	525.39	547.75	854.13	305.55	447.82	473.41
PRPF3	802.41	293.07	718.08	334.46	143.01	153.34	229.72	0.0	379.04	118.43	1073.91	703.28	1037.29	1250.98	1225.22	476.71	802.41	738.29	921.88	748.61	1286.18	1225.22	551.56	921.88	1407.55	1685.71	629.35	884.29	713.11	1175.27	813.63	583.07	1304.15	571.05	1378.57	514.56	830.75	1407.55	708.18	532.74	813.63	698.41	1175.27	500.46	819.3	759.08	836.53	941.27	674.59	1551.09	909.17	1104.13	684.02	651.58	591.22	1350.18	796.86	753.83	1059.11	775.05	1286.18	1369.04	981.29	500.46	1594.73	1572.76	703.28	934.76	1498.22	890.44	995.0	988.12	698.41	1242.34	616.37	915.51	954.43
PTBP2	100.13	49.91	57.08	42.41	54.33	68.55	97.36	133.36	102.25	37.85	194.36	106.63	356.05	285.03	376.41	113.56	234.57	224.97	212.78	228.13	543.96	293.07	116.78	111.21	332.14	287.01	163.28	195.72	229.72	269.6	212.78	220.32	316.37	139.07	258.57	142.01	164.42	343.89	156.59	185.11	212.78	159.9	314.17	112.77	224.97	255.0	201.25	234.57	195.72	389.72	241.19	246.28	139.07	154.42	167.9	285.03	206.94	221.86	224.97	154.42	412.0	332.14	314.17	190.34	656.11	323.03	246.28	183.82	525.39	287.01	267.73	236.21	255.0	258.57	175.07	198.47	373.81
RIC3	16.88	0.96	3.96	0.88	44.25	7.28	36.53	0.0	71.0	1.11	703.28	387.02	493.56	728.11	769.69	239.52	389.72	423.61	555.41	348.71	842.36	723.08	199.85	612.11	836.53	1111.82	312.0	470.14	403.5	679.29	289.02	348.71	825.0	454.09	791.35	316.37	379.04	954.43	327.56	228.13	503.95	483.38	587.13	303.44	595.34	395.18	325.29	503.95	242.88	1088.92	511.0	728.11	334.46	384.34	255.0	915.51	403.5	389.72	679.29	285.03	954.43	854.13	620.67	325.29	1159.07	1119.56	435.55	389.72	1015.93	603.67	460.44	638.15	366.09	764.36	323.03	264.03	543.96
RP11-574K11.31	9.63	4.58	5.02	8.0	13.83	4.58	12.36	0.0	13.22	4.1	18.56	15.8	20.26	30.12	35.0	8.0	23.25	9.93	13.32	10.79	39.79	27.84	11.47	7.63	20.11	34.02	12.27	11.73	9.34	22.92	20.26	5.28	22.43	10.55	19.11	7.34	18.43	22.1	10.96	8.71	7.46	9.34	25.35	21.47	16.63	11.55	18.29	19.97	10.31	25.17	29.91	21.63	6.89	8.32	7.0	25.54	16.15	19.25	20.56	18.7	33.78	22.59	19.97	3.44	23.08	45.85	12.74	21.94	21.78	18.7	16.39	12.27	14.89	31.0	8.51	18.97	20.86
RP11-793H13.10	5.87	0.0	12.36	10.08	3.72	0.0	4.31	0.0	21.47	0.0	29.48	26.28	29.91	71.0	115.16	10.24	48.52	11.13	27.05	29.48	91.41	92.7	7.34	26.28	73.54	46.84	14.35	23.93	16.63	43.63	25.91	18.97	46.18	33.78	38.12	14.56	25.72	58.3	16.03	14.24	30.78	17.38	57.89	7.94	32.36	14.56	35.76	25.72	14.35	72.52	28.24	63.45	34.26	18.43	10.88	90.14	13.52	19.53	38.67	38.95	80.01	63.0	43.02	10.71	99.43	98.04	25.17	7.46	40.64	27.44	62.12	51.35	14.45	51.35	15.91	39.79	34.02
RP11-87C12.2	1.17	0.78	4.35	1.13	0.0	0.0	1.19	0.0	2.48	0.0	19.25	4.28	6.84	14.14	28.04	5.82	9.27	10.63	11.21	19.25	24.63	15.45	3.92	5.59	14.35	6.84	2.43	3.35	6.21	15.68	5.77	10.47	14.78	7.82	18.29	4.74	10.55	10.16	10.79	5.68	8.58	5.45	13.72	0.0	30.56	13.83	4.31	4.62	4.66	16.39	9.48	10.79	12.93	4.46	5.63	23.59	12.74	12.18	7.4	11.47	27.84	9.41	18.7	0.0	32.13	26.86	4.24	8.0	7.22	9.7	15.22	10.24	9.27	18.97	12.64	14.56	6.89
RP5-966M1.6	1.58	0.84	5.36	4.28	1.28	0.84	3.14	0.0	6.67	0.0	24.28	10.63	16.51	39.5	87.03	9.78	18.29	14.45	19.53	6.94	57.89	65.72	7.94	15.68	51.71	100.13	8.65	15.22	11.21	29.27	15.45	12.55	31.45	10.63	32.13	7.94	24.63	81.71	25.17	6.31	17.77	21.32	62.12	10.47	41.22	19.39	27.84	29.06	8.71	167.9	26.47	43.32	9.63	5.02	4.35	66.18	11.13	18.97	28.04	22.59	85.82	58.71	34.26	25.54	50.98	67.59	35.0	23.59	77.25	22.26	39.22	31.45	13.72	72.52	10.96	18.56	25.72
RWDD3	279.14	85.22	141.02	164.42	231.32	166.73	181.28	0.0	353.59	176.29	429.54	583.07	591.22	493.56	551.56	291.04	483.38	525.39	603.67	507.46	563.18	500.46	279.14	514.56	559.28	629.35	363.56	450.94	463.65	500.46	406.31	371.22	684.02	343.89	525.39	397.93	503.95	547.75	435.55	343.89	273.37	435.55	567.1	353.59	497.0	454.09	543.96	518.15	420.68	647.07	511.0	656.11	358.54	507.46	312.0	575.03	395.18	543.96	603.67	341.51	713.11	591.22	587.13	470.14	854.13	571.05	503.95	414.87	595.34	620.67	559.28	470.14	420.68	507.46	346.29	476.71	269.6
SAFB	1350.18	802.41	1427.22	1277.29	633.73	1059.11	854.13	1250.98	688.78	432.53	1806.78	1340.84	1397.83	1605.83	1832.01	961.07	1340.84	1313.23	1111.82	995.0	1519.15	1794.29	1322.37	1175.27	1583.71	1674.06	1340.84	981.29	1407.55	1331.57	1350.18	1030.12	1662.49	1088.92	1111.82	974.5	1427.22	1781.89	1378.57	1208.34	1498.22	1208.34	1685.71	909.17	1427.22	1183.45	1457.23	1487.87	1073.91	2119.22	1733.13	1457.23	988.12	791.35	1151.06	1709.26	1268.46	1286.18	1350.18	1295.13	1883.54	1407.55	1477.58	854.13	1806.78	1936.53	1199.98	1233.75	1733.13	1216.75	1594.73	1407.55	1233.75	1685.71	1119.56	1467.37	1963.57
SEC31B	13.62	3.29	9.06	6.16	26.1	7.11	12.45	0.0	49.56	1.19	148.09	120.94	77.25	199.85	251.48	48.87	103.69	81.14	102.25	70.01	214.27	177.53	33.06	163.28	180.02	239.52	32.13	93.35	66.65	208.38	100.83	73.03	218.79	105.89	140.04	35.76	148.09	256.78	76.71	52.45	93.35	76.71	260.38	34.51	167.9	79.45	98.73	131.51	42.41	309.83	130.6	153.34	63.0	56.28	30.78	271.48	62.56	80.57	194.36	120.1	209.84	167.9	133.36	58.71	291.04	309.83	92.7	92.05	189.02	153.34	120.94	151.22	54.72	249.73	46.84	80.57	73.03
SLC24A5	0.0	0.0	0.0	0.0	6.94	2.23	1.5	0.0	8.45	3.66	10.16	3.96	14.24	11.38	32.36	0.0	8.25	15.11	15.0	11.82	26.67	11.73	5.41	0.0	11.91	40.64	13.22	3.38	8.85	15.11	5.32	3.08	16.27	0.0	3.99	1.08	6.73	29.48	12.55	4.13	15.45	10.39	11.73	5.54	14.24	8.0	5.77	17.9	7.82	34.51	21.01	17.9	3.92	8.71	9.85	20.41	5.28	8.85	10.79	3.79	40.93	21.47	10.39	1.57	49.91	22.59	19.68	11.91	41.52	11.55	19.39	14.67	8.38	22.1	5.92	23.08	1.27
SLC25A27	27.25	1.71	98.04	8.92	37.32	29.7	9.41	0.0	41.22	0.0	591.22	127.0	476.71	785.88	878.17	82.87	218.79	353.59	423.61	159.9	775.05	665.29	60.82	575.03	921.88	769.69	164.42	373.81	178.77	1159.07	249.73	320.8	1066.48	387.02	599.49	142.01	511.0	1322.37	246.28	78.89	262.2	269.6	808.0	220.32	669.92	316.37	285.03	555.41	81.71	1407.55	660.68	728.11	176.29	158.79	131.51	819.3	314.17	314.17	941.27	303.44	1407.55	866.07	884.29	124.37	2303.12	2018.8	320.8	395.18	1457.23	476.71	660.68	384.34	307.69	1119.56	229.72	180.02	679.29
SLC25A34	0.42	3.08	10.71	5.15	40.93	7.11	12.27	0.0	22.92	16.88	41.22	15.0	40.07	66.18	63.45	75.64	21.32	17.64	16.75	14.24	69.03	64.8	7.46	8.45	90.77	49.91	6.94	27.05	22.59	57.08	9.2	18.03	75.64	25.72	33.78	14.56	28.65	68.07	32.82	17.38	16.75	38.4	38.12	36.01	25.35	15.11	23.76	42.41	9.13	91.41	37.85	35.5	8.32	18.16	5.82	48.87	10.24	12.64	49.91	33.3	68.07	67.12	30.34	10.55	104.42	105.15	10.24	21.16	88.88	27.64	13.32	43.02	12.09	27.25	17.0	13.42	23.76
SPIN2A	2.71	0.0	1.93	4.46	2.03	12.0	4.94	0.0	0.0	5.73	15.91	7.94	13.03	17.51	18.03	3.23	19.82	8.78	19.11	8.78	12.55	17.38	5.96	9.41	14.35	10.88	9.85	7.94	7.69	19.97	17.13	7.4	15.0	7.94	15.22	2.76	10.39	17.51	8.32	4.86	20.71	20.56	19.11	4.39	14.78	7.82	12.09	10.96	3.38	15.8	9.06	10.47	9.93	9.93	9.78	24.11	7.0	7.06	16.27	5.59	13.22	20.56	10.96	8.45	23.25	30.34	7.82	10.31	21.01	13.42	11.73	21.16	6.52	17.51	9.63	9.34	12.09
STARD9	6.21	12.18	8.51	14.24	4.39	11.73	15.45	0.0	32.36	3.99	169.07	48.52	72.52	59.13	88.88	32.13	76.17	49.91	38.4	31.45	127.0	123.5	22.59	19.82	82.87	88.88	28.45	29.91	54.33	102.25	65.26	27.44	73.03	57.89	59.97	33.54	37.85	86.43	38.12	24.99	40.07	67.12	94.01	34.26	75.11	27.84	45.21	99.43	30.34	76.17	129.69	50.27	38.4	21.94	41.81	153.34	28.24	50.63	77.25	53.57	68.55	66.65	57.49	18.97	105.89	163.28	28.24	93.35	118.43	68.55	75.11	117.6	34.26	96.68	30.78	64.34	37.85
