	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
GINS2	205.5	336.79	236.21	40.93	36.27	7.34	397.93	229.72	59.97	126.12	110.43	35.5	66.65	78.34	23.42	51.35	29.27	23.08	66.18	466.88	607.87	314.17	32.13	144.01	211.31	83.45	71.5	48.52	262.2	119.26	46.18	44.57	154.42	42.11	13.72	287.01	152.28	253.23	67.59	101.54	205.5	58.71	277.2	66.18	33.54	287.01	155.5	279.14	67.59	6.36	35.0	6.94	53.57	18.84	38.12	10.96	19.82	38.4	50.63	62.56	18.56	20.11	3.89	35.25	9.7	26.67	13.42	24.11	7.63	36.53	14.14	53.19	121.79	13.32	56.28	34.75	19.68	35.5	58.71	26.28	18.56	19.39	48.52	25.72	10.0	21.94	88.88	6.73	31.22	2.29	40.93	5.63	16.63	24.28	16.88	11.3	24.81	104.42	22.59	38.95	19.82	106.63	16.63	30.56	24.63	40.64	20.26	68.55	9.85	15.91	12.0	20.56	5.41	46.84	46.18	128.79	24.81	41.22	18.7	22.43	17.25	11.21	17.77	3.72	7.94	14.56	110.43	163.28	223.41	269.6	466.88	155.5	115.16	85.82	251.48	293.07	241.19	346.29	325.29
GTSE1	480.04	163.28	111.99	12.09	3.59	1.39	293.07	371.22	44.89	71.0	47.84	7.57	14.03	45.85	8.0	38.67	8.99	15.22	29.91	84.63	20.11	406.31	14.14	41.52	155.5	19.39	36.27	18.97	88.88	26.67	27.05	47.5	105.89	19.25	18.97	198.47	130.6	129.69	27.05	91.41	63.89	44.25	316.37	44.25	19.53	151.22	98.73	50.63	110.43	5.63	10.55	2.78	9.41	9.48	3.23	9.85	3.03	9.06	2.61	16.88	9.06	0.8	4.9	8.13	6.26	1.91	10.24	5.15	6.67	3.32	0.8	15.68	23.42	12.18	27.84	2.78	8.0	5.73	10.24	10.63	10.0	2.39	27.05	1.79	1.16	3.23	20.71	0.0	9.93	0.32	18.56	4.86	20.41	8.0	11.38	4.06	3.44	63.0	5.28	29.91	2.39	3.86	5.36	6.36	3.23	3.72	0.58	12.55	6.41	0.71	0.41	0.71	2.56	10.47	23.59	74.58	1.38	15.22	2.46	1.55	6.78	7.75	2.97	0.69	3.0	5.41	226.54	199.85	291.04	1135.2	447.82	34.75	3.66	3.11	753.83	341.51	287.01	295.11	229.72
H2AFX	2004.85	1369.04	426.57	155.5	182.55	246.28	2591.27	2915.45	432.53	780.44	417.77	105.15	287.01	429.54	438.59	379.04	152.28	224.97	376.41	808.0	753.83	2777.33	497.0	334.46	1037.29	460.44	285.03	339.14	660.68	346.29	260.38	693.58	723.08	316.37	232.94	693.58	988.12	759.08	392.44	748.61	1127.35	417.77	1709.26	860.08	234.57	1001.93	269.6	358.54	759.08	267.73	293.07	161.02	198.47	176.29	154.42	153.34	212.78	232.94	106.63	403.5	327.56	237.86	273.37	162.14	267.73	131.51	197.09	183.82	231.32	167.9	126.12	206.94	291.04	115.97	351.14	301.33	221.86	287.01	140.04	201.25	376.41	96.68	199.85	43.63	155.5	115.97	403.5	107.38	112.77	164.42	215.77	202.66	271.48	193.01	312.0	144.01	90.14	842.36	150.17	208.38	295.11	251.48	260.38	255.0	103.69	185.11	147.06	89.51	616.37	171.45	120.1	98.04	332.14	379.04	181.28	860.08	103.69	312.0	98.73	57.89	165.57	206.94	120.94	376.41	329.84	267.73	1096.5	1447.15	934.76	1388.16	854.13	674.59	612.11	265.87	2591.27	2956.17	2816.11	3060.45	1896.65
H2AFZ	8718.32	4704.07	2384.37	1304.15	1427.22	1457.23	11035.54	9808.75	4802.93	4450.27	3103.19	1216.75	2434.5	3190.46	2004.85	2664.15	1685.71	2032.85	4575.41	4419.52	9606.86	8479.89	2537.92	3716.2	5872.48	3443.31	2835.7	2209.26	2976.74	2739.08	2400.97	2835.7	4512.4	2976.74	2720.15	3982.99	4704.07	6121.9	2627.46	4575.41	6792.79	3168.41	10014.87	4704.07	1331.57	10440.2	5555.65	8078.22	2555.58	2004.85	1950.0	1295.13	1519.15	1369.04	1313.23	1617.0	1304.15	1304.15	1674.06	2417.67	2240.11	1096.5	1457.23	1662.49	1208.34	1397.83	1388.16	1540.37	1295.13	1594.73	1551.09	1583.71	2240.11	813.63	2537.92	2935.74	2018.8	2384.37	1844.76	2119.22	2796.65	819.3	1721.16	1304.15	1721.16	1651.0	3467.27	2133.97	1199.98	1605.83	2032.85	2319.15	1233.75	1950.0	2224.63	2193.99	1044.52	4903.87	1104.13	2240.11	1844.76	2976.74	1477.58	2319.15	1757.34	2163.77	1794.29	2193.99	2303.12	974.5	1467.37	1015.93	1175.27	1685.71	1819.35	4123.49	1583.71	1407.55	1135.2	1313.23	1540.37	1806.78	2163.77	2104.58	3257.52	2384.37	6207.38	8538.88	5219.6	5954.47	5831.91	5183.54	2664.15	3395.89	5831.91	8598.28	8538.88	9606.86	7382.04
HDGFRP2	2047.0	2520.38	813.63	638.15	819.3	457.25	934.76	1233.75	974.5	1073.91	1143.1	483.38	607.87	612.11	878.17	759.08	860.08	780.44	733.19	1388.16	1991.0	2555.58	915.51	890.44	896.64	860.08	780.44	684.02	1059.11	872.1	1008.9	1508.65	1417.35	791.35	738.29	1977.24	974.5	1498.22	1001.93	775.05	1340.84	802.41	808.0	1135.2	878.17	1617.0	866.07	1286.18	995.0	660.68	679.29	620.67	607.87	426.57	647.07	579.04	665.29	559.28	521.76	624.99	884.29	571.05	486.75	503.95	764.36	656.11	679.29	665.29	414.87	518.15	665.29	463.65	629.35	379.04	915.51	532.74	503.95	559.28	429.54	327.56	624.99	674.59	638.15	287.01	379.04	642.59	521.76	409.15	579.04	698.41	738.29	279.14	743.43	890.44	698.41	698.41	246.28	638.15	507.46	483.38	854.13	438.59	616.37	743.43	540.19	406.31	616.37	414.87	543.96	759.08	591.22	848.22	860.08	764.36	669.92	1023.0	318.57	616.37	555.41	620.67	684.02	660.68	397.93	703.28	629.35	579.04	896.64	1167.14	1225.22	1572.76	921.88	1191.69	1313.23	1199.98	802.41	1844.76	2209.26	1709.26	1950.0
HELLS	226.54	154.42	112.77	16.75	11.04	8.45	432.53	253.23	40.93	68.55	55.89	14.78	42.41	62.12	20.41	33.06	10.24	27.84	54.72	215.77	249.73	363.56	18.56	66.65	149.12	36.27	49.21	33.78	126.12	81.71	30.12	54.72	117.6	28.65	47.17	125.24	215.77	135.24	63.89	67.12	43.32	39.22	305.55	58.71	32.36	152.28	150.17	76.71	76.17	17.9	26.86	12.27	17.51	5.68	31.22	13.83	7.63	8.06	18.84	36.79	11.91	17.9	9.13	17.64	18.56	19.68	14.67	9.56	18.7	13.72	10.71	25.54	81.14	6.11	34.51	13.93	18.97	19.25	42.71	17.0	25.17	6.21	24.99	14.14	6.11	8.85	108.14	8.65	4.13	7.69	11.91	10.47	18.16	9.34	14.24	10.47	4.54	81.14	12.74	17.9	17.0	46.84	15.22	48.87	3.76	12.83	13.22	35.5	7.88	5.92	2.56	8.51	10.63	15.11	14.89	119.26	9.78	10.55	9.2	9.63	15.22	13.62	20.41	6.21	19.25	4.66	220.32	209.84	713.11	466.88	629.35	74.58	47.5	15.45	665.29	381.68	281.09	536.45	283.05
HGS	2133.97	2502.97	2796.65	1119.56	1447.15	1369.04	3146.52	4210.15	1745.2	2855.44	1844.76	1216.75	1233.75	1936.53	1781.89	1844.76	1551.09	1639.59	1709.26	3443.31	6037.61	3103.19	1923.14	2816.11	4066.71	1540.37	1295.13	1617.0	2271.4	1909.85	2090.03	3060.45	2319.15	2018.8	1304.15	2609.3	5292.48	2193.99	1745.2	2335.28	4066.71	2090.03	2335.28	2520.38	1617.0	2720.15	2148.82	1639.59	1757.34	1208.34	1225.22	1159.07	1540.37	1088.92	1088.92	1127.35	1250.98	1023.0	1175.27	1540.37	1745.2	1066.48	1350.18	1111.82	1199.98	1199.98	1286.18	1044.52	1037.29	988.12	1159.07	1088.92	1277.29	1397.83	1081.39	1378.57	1088.92	775.05	947.83	708.18	2758.13	1066.48	995.0	612.11	679.29	878.17	941.27	674.59	1519.15	1191.69	860.08	1745.2	1233.75	1397.83	1437.15	1225.22	896.64	1286.18	915.51	921.88	1457.23	748.61	1167.14	1685.71	698.41	813.63	1350.18	890.44	2664.15	1183.45	934.76	988.12	2004.85	2193.99	1044.52	1331.57	723.08	1331.57	974.5	536.45	995.0	1159.07	884.29	1111.82	1896.65	825.0	3742.05	2895.31	3303.0	3794.3	3820.7	2104.58	2271.4	2240.11	3614.55	2997.45	2520.38	7130.55	3928.15
HJURP	339.14	166.73	134.3	11.38	5.11	6.26	2193.99	723.08	42.71	53.57	69.52	10.31	23.42	73.03	3.44	36.79	9.78	15.56	58.71	232.94	214.27	669.92	19.68	61.25	212.78	35.5	28.45	28.65	120.1	48.87	22.75	60.82	112.77	22.59	20.86	208.38	182.55	126.12	35.25	111.99	106.63	43.63	511.0	77.79	64.8	470.14	199.85	85.82	175.07	3.03	23.42	7.46	9.93	4.46	12.64	3.56	30.56	15.68	2.66	27.44	7.17	5.63	3.44	10.96	15.91	1.91	6.16	8.58	6.31	6.62	3.82	37.59	37.05	10.39	19.97	3.69	4.39	6.31	8.51	9.34	6.57	3.53	21.94	3.17	0.35	2.32	35.25	1.48	8.78	2.2	16.88	5.06	2.1	15.34	12.18	2.58	5.11	67.59	7.57	22.92	3.5	12.36	7.69	0.0	18.03	9.85	1.89	7.51	2.36	3.59	0.0	3.89	2.29	18.43	17.64	63.45	2.73	12.27	1.68	4.31	8.0	8.85	0.0	0.91	21.16	10.88	244.57	232.94	423.61	612.11	878.17	58.3	5.68	6.89	1304.15	529.06	303.44	567.1	361.04
HMMR	128.79	92.05	228.13	11.13	11.04	3.56	728.11	2148.82	48.52	59.13	76.17	11.73	19.82	177.53	7.11	43.94	27.64	39.5	69.52	351.14	186.4	395.18	20.11	139.07	161.02	28.04	68.07	48.87	323.03	74.06	75.11	63.0	223.41	32.59	32.59	141.02	78.89	175.07	44.57	185.11	371.22	74.58	511.0	126.12	53.19	555.41	234.57	152.28	67.12	4.39	30.78	9.85	8.0	2.46	12.74	5.19	6.62	18.7	4.74	38.4	7.06	3.0	7.63	7.88	12.27	9.7	8.06	7.28	7.06	11.91	3.53	49.91	52.82	9.56	51.71	5.68	4.62	12.74	4.39	15.45	6.46	6.31	16.15	8.71	3.72	12.74	27.25	2.56	1.93	3.08	27.25	4.62	7.11	16.15	10.16	4.58	4.24	121.79	11.13	45.85	4.82	13.52	17.51	2.84	3.08	6.16	3.72	4.7	26.47	2.61	7.63	5.36	4.74	10.31	27.44	93.35	2.66	27.44	2.05	2.51	3.06	6.26	5.23	9.41	2.32	15.68	181.28	171.45	178.77	183.82	363.56	63.45	15.91	17.13	603.67	226.54	176.29	287.01	312.0
HSPB11	928.3	808.0	529.06	551.56	603.67	429.54	842.36	638.15	447.82	848.22	684.02	753.83	579.04	656.11	514.56	486.75	718.08	743.43	417.77	1259.69	1628.26	1208.34	571.05	708.18	791.35	688.78	638.15	583.07	738.29	629.35	429.54	629.35	1378.57	507.46	629.35	603.67	1127.35	1081.39	591.22	460.44	738.29	698.41	1605.83	808.0	591.22	1674.06	928.3	1066.48	607.87	447.82	532.74	339.14	603.67	403.5	457.25	457.25	497.0	351.14	540.19	674.59	493.56	277.2	384.34	591.22	417.77	493.56	507.46	547.75	420.68	555.41	470.14	532.74	660.68	346.29	583.07	555.41	346.29	647.07	397.93	312.0	429.54	521.76	559.28	748.61	511.0	723.08	486.75	543.96	441.64	642.59	718.08	260.38	791.35	435.55	514.56	813.63	172.65	674.59	571.05	454.09	718.08	463.65	373.81	262.2	384.34	532.74	346.29	312.0	518.15	356.05	532.74	713.11	457.25	379.04	486.75	915.51	387.02	591.22	511.0	389.72	435.55	563.18	346.29	507.46	438.59	503.95	854.13	995.0	1143.1	1051.79	769.69	743.43	420.68	738.29	620.67	961.07	954.43	1407.55	842.36
ING4	1378.57	1331.57	1066.48	521.76	642.59	438.59	2119.22	1225.22	1081.39	954.43	379.04	575.03	555.41	679.29	400.71	376.41	796.86	511.0	775.05	1183.45	713.11	1073.91	599.49	748.61	808.0	703.28	902.89	353.59	620.67	934.76	483.38	633.73	688.78	595.34	656.11	1135.2	361.04	379.04	780.44	728.11	915.51	642.59	813.63	813.63	444.72	571.05	1030.12	830.75	493.56	463.65	476.71	497.0	497.0	414.87	579.04	665.29	529.06	483.38	624.99	733.19	638.15	371.22	232.94	571.05	435.55	665.29	698.41	638.15	366.09	518.15	607.87	463.65	896.64	543.96	860.08	361.04	297.17	381.68	420.68	262.2	679.29	785.88	743.43	432.53	279.14	693.58	269.6	277.2	532.74	521.76	854.13	299.25	819.3	426.57	723.08	708.18	275.28	674.59	738.29	454.09	764.36	616.37	679.29	336.79	532.74	371.22	351.14	339.14	567.1	332.14	555.41	928.3	796.86	438.59	723.08	603.67	262.2	1051.79	536.45	454.09	603.67	738.29	483.38	470.14	275.28	728.11	796.86	1111.82	1051.79	2417.67	1896.65	1397.83	1487.87	1183.45	896.64	1023.0	1350.18	974.5	1896.65
KIAA0101	2400.97	587.13	624.99	82.29	56.68	23.08	988.12	1572.76	271.48	426.57	351.14	114.36	103.69	318.57	76.17	150.17	115.97	98.04	295.11	1417.35	583.07	493.56	127.89	198.47	791.35	226.54	186.4	115.97	368.65	255.0	99.43	169.07	967.76	205.5	169.07	426.57	651.58	616.37	152.28	314.17	287.01	283.05	1313.23	218.79	141.02	785.88	366.09	583.07	226.54	52.45	98.04	56.28	97.36	47.17	87.65	53.19	71.0	49.91	53.95	208.38	55.49	17.25	38.95	63.45	63.89	56.28	61.68	71.0	47.17	74.06	16.63	163.28	248.0	92.7	118.43	27.25	14.89	55.89	58.3	93.35	29.06	100.83	75.11	70.51	27.64	51.35	287.01	15.22	35.0	18.97	95.34	25.91	120.94	88.26	72.52	16.51	21.63	265.87	65.72	77.79	66.18	101.54	84.04	5.77	14.03	44.57	20.56	21.01	25.35	65.26	52.45	68.55	106.63	107.38	127.0	660.68	21.63	90.14	41.22	53.95	21.63	63.89	28.65	16.03	27.05	71.5	764.36	728.11	769.69	1111.82	842.36	363.56	156.59	94.67	738.29	1369.04	1111.82	1896.65	974.5
KIAA1524	108.14	153.34	36.53	4.46	10.88	10.47	122.64	325.29	37.32	49.21	23.08	13.62	19.39	24.46	6.26	17.13	4.74	9.2	21.32	86.43	90.14	320.8	7.22	21.01	29.91	10.0	11.38	15.8	69.03	17.51	10.55	27.64	54.72	14.14	31.45	43.94	48.18	46.5	24.28	36.27	64.8	21.01	157.68	22.26	15.8	163.28	50.63	50.27	33.78	6.06	6.67	8.65	7.0	5.5	16.39	5.5	3.26	8.19	2.36	16.03	6.26	4.94	5.82	8.38	6.16	9.06	13.03	3.0	11.13	8.45	2.84	24.46	16.75	4.5	24.46	3.35	10.88	8.19	10.31	15.0	8.32	2.68	18.84	15.68	9.41	15.34	23.08	12.55	1.35	2.27	15.56	11.04	3.41	7.94	21.47	5.23	4.66	26.28	5.63	34.02	2.23	11.91	3.41	17.9	3.06	4.58	5.02	10.88	25.35	3.03	2.12	3.03	5.36	17.77	11.3	24.63	6.89	11.47	1.87	0.38	13.12	6.41	8.32	1.58	4.5	5.28	133.36	108.9	156.59	277.2	423.61	32.36	87.03	26.67	303.44	231.32	88.26	197.09	180.02
KIF11	201.25	197.09	72.52	12.45	12.45	5.15	642.59	73.03	87.03	64.34	31.0	8.65	21.01	46.18	8.32	19.11	10.55	14.89	43.32	133.36	105.15	295.11	10.31	26.67	66.18	17.38	23.59	15.11	63.89	29.27	21.94	33.3	72.52	19.39	32.82	98.04	95.34	75.64	26.28	66.65	47.5	21.32	248.0	37.05	22.26	121.79	52.82	48.87	96.68	6.21	12.18	8.71	7.11	6.16	15.45	17.25	4.5	12.55	8.65	19.82	10.31	2.18	4.21	13.93	7.88	10.39	16.39	7.0	11.04	10.47	10.39	27.25	31.0	3.32	38.12	9.2	11.3	15.56	10.79	12.27	12.0	9.78	18.84	10.08	6.41	12.74	43.63	3.11	5.59	3.44	26.67	7.28	7.34	5.41	7.17	5.41	5.19	54.72	14.78	29.06	7.0	22.75	13.72	6.84	14.14	7.94	5.73	8.13	8.65	3.2	4.62	10.24	6.84	9.93	33.78	108.14	5.87	19.11	6.57	5.82	12.83	11.04	9.93	0.44	5.06	10.63	211.31	218.79	246.28	381.68	583.07	53.95	19.11	23.59	454.09	336.79	251.48	447.82	361.04
KIF18A	55.89	65.72	37.85	2.32	2.32	1.04	332.14	126.12	12.36	28.86	7.82	2.76	7.0	27.25	2.53	7.57	1.57	5.5	11.13	77.25	63.45	115.97	1.71	12.09	38.4	5.77	9.2	5.68	40.64	10.79	4.62	10.79	37.32	5.92	6.84	63.0	41.81	29.48	6.73	23.59	22.59	8.99	92.05	12.93	4.58	135.24	38.95	27.05	40.07	4.58	2.27	1.66	2.03	0.54	3.08	1.16	0.52	4.03	0.55	6.73	1.57	0.0	1.38	1.99	2.1	1.46	0.58	2.66	0.59	3.66	1.53	8.51	10.55	0.39	11.47	2.76	0.39	5.92	2.41	3.53	3.92	0.4	2.86	2.43	3.23	0.43	2.73	3.56	0.39	0.0	3.96	0.0	0.39	2.78	1.51	0.88	1.68	19.25	3.96	4.94	0.93	3.03	1.01	1.25	1.22	0.45	0.39	2.18	3.76	2.29	0.46	0.45	0.0	0.79	5.77	57.08	0.45	17.51	0.0	0.52	0.46	0.42	2.89	1.66	1.48	6.89	64.34	82.29	49.56	122.64	339.14	12.83	4.86	7.63	320.8	181.28	65.72	103.69	105.89
KIF18B	241.19	176.29	120.1	3.5	4.82	0.73	612.11	1286.18	19.53	42.71	29.7	4.86	8.0	30.56	3.38	12.27	5.96	6.26	14.35	96.68	144.01	389.72	7.57	55.49	185.11	9.7	16.88	9.34	85.82	39.5	18.03	24.81	64.34	11.64	16.75	96.01	163.28	61.25	13.22	55.89	75.64	25.17	260.38	40.07	9.63	151.22	201.25	41.81	74.06	0.69	7.28	2.05	1.91	3.08	4.31	0.8	1.83	6.06	1.93	9.56	1.95	0.73	0.0	4.7	3.76	1.81	1.43	2.61	1.45	3.23	1.31	13.03	8.45	1.81	29.27	2.05	4.13	5.59	6.78	9.34	2.39	0.89	11.64	2.16	0.0	0.97	36.01	0.33	2.39	4.06	26.1	1.71	1.45	5.45	15.45	3.2	0.35	58.3	8.45	16.15	0.27	6.94	3.96	0.0	2.01	3.72	0.0	0.31	1.16	0.68	0.0	5.45	0.0	14.03	9.63	58.3	0.35	18.29	0.0	0.04	3.47	5.5	0.99	0.0	6.41	12.64	371.22	197.09	262.2	583.07	669.92	16.15	2.34	2.48	1191.69	343.89	193.01	194.36	120.94
KIF23	403.5	220.32	144.01	7.63	6.36	10.88	1487.87	854.13	64.34	73.03	47.5	10.55	16.27	43.32	23.76	31.0	8.51	6.78	57.08	301.33	134.3	316.37	13.12	44.89	148.09	30.12	29.91	31.0	176.29	32.59	20.26	45.21	110.43	27.64	28.04	178.77	183.82	92.7	34.75	84.63	83.45	32.13	299.25	31.45	23.42	258.57	123.5	87.65	120.1	9.7	8.65	19.39	4.5	7.75	6.26	6.21	2.2	7.34	1.77	17.25	9.7	0.65	2.56	7.06	13.52	4.28	11.91	4.74	13.93	11.55	2.29	35.25	22.75	9.93	31.0	3.11	19.25	10.88	13.83	10.31	5.96	0.18	18.97	3.82	3.47	3.47	34.51	0.62	5.92	1.35	19.11	10.16	1.27	9.56	12.55	2.36	3.23	70.01	11.38	34.51	0.95	30.78	9.85	4.78	5.19	2.32	3.66	4.24	12.0	4.94	0.23	6.21	3.86	24.81	21.94	81.14	1.07	24.81	5.36	4.03	2.36	8.0	7.75	2.76	2.46	5.82	281.09	269.6	299.25	698.41	974.5	53.57	19.53	12.55	802.41	703.28	417.77	483.38	435.55
KIF2C	373.81	384.34	197.09	10.79	4.7	4.1	1674.06	848.22	70.01	57.89	64.34	5.87	21.47	77.25	12.74	36.79	11.13	21.47	26.47	237.86	251.48	1037.29	32.59	96.68	108.14	51.35	32.36	21.47	124.37	47.5	25.54	80.57	236.21	35.0	31.22	136.19	100.83	251.48	31.45	152.28	114.36	50.63	808.0	62.56	11.13	423.61	145.02	102.25	77.25	10.71	12.83	11.3	7.34	3.06	8.58	5.77	4.46	17.9	5.28	21.32	6.11	4.1	1.73	6.67	11.91	5.96	9.06	9.41	8.71	7.17	5.15	32.36	25.54	5.59	36.01	23.42	8.99	8.25	4.28	12.09	10.24	2.73	14.89	6.36	1.2	11.3	18.7	2.58	1.53	11.73	29.91	4.98	1.85	16.03	17.13	4.1	2.71	102.97	18.97	31.9	3.11	5.11	11.47	2.16	4.31	14.78	1.22	4.17	8.13	1.83	4.66	4.98	3.35	15.56	34.75	100.83	4.54	45.85	0.92	1.25	5.06	7.51	6.26	5.92	12.45	10.0	351.14	450.94	384.34	921.88	928.3	61.68	23.25	35.25	1127.35	723.08	325.29	890.44	525.39
