	GTEX.14AS3.1626.SM.5S2OY	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZLV1.0426.SM.4WWC2	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.NL3G.0526.SM.4RTWW	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.33.4587.11A.01R.2125.07	TCGA.EJ.7125.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3725.11A.01R.1736.07	TCGA.AG.3742.11A.01R.1660.07	GTEX.ZV6S.1526.SM.5NQ7O
RPS7	280957.98	64632.75	79022.82	80125.95	1322.37	18819.27	21919.61	31870.96	10368.08	16611.71	35363.15	36357.37	18431.96	34396.12	28328.16	10883.59	15715.58	16960.78	18431.96	21768.19	18689.27	19482.97	16843.62	18431.96	26614.89	19214.73	32540.65	18689.27	19082.0	17927.91	36864.92	35118.87	17437.64	25354.3	28723.62	77396.54	21026.65	10883.59	13306.94	20593.91	8134.41	17437.64	9808.75	11909.94	16045.82	65535.0	76861.91	89523.81	43236.64	120609.84	57051.4	239554.43
SFTPC	1.25	59.13	8.38	6.31	44145.15	1.848689914E7	5.882801313E7	2.18328924E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	1.501602794E7	4937.99	2.880867455E7	2.542950323E7	2.138357795E7	5.761735011E7	1.927195942E7	3.801327429E7	2.260282772E7	4.878722096E7	3.72309724E7	2.123587078E7	1.450452687E7	2.138357795E7	1.161913937E7	1.913883827E7	2.706640506E7	2.525384881E7	5.228884881E7	2.198475218E7	1.0826562323E8	18819.27	7053949.4	3.109113511E7	6.17527469E7	2.578448588E7	1.66613263E7	1.391367215E7	1.835920079E7	1514068.5	2.36	25.72	23.76	0.0	0.0	0.0
SNRPD2	38430.46	11909.94	17558.94	22850.48	1.22	5791.62	6121.9	5441.3	3039.3	1909.85	5329.3	7857.29	3235.01	7537.18	7857.29	3589.58	4268.94	1697.45	4298.64	6164.49	2976.74	6294.04	3039.3	3847.29	6792.79	5791.62	6250.56	5041.77	2627.46	6381.92	10959.3	9088.59	5831.91	8963.45	5672.41	11112.3	6294.04	2758.13	1088.92	6840.04	5594.3	5872.48	1457.23	2739.08	4607.24	14561.8	15934.98	15824.9	11745.96	17558.94	9876.98	33224.42
SNX3	10440.2	6887.62	6121.9	9088.59	4769.75	2875.3	6792.79	4869.99	2816.11	2609.3	4671.57	4607.24	4152.18	4512.4	4388.98	2758.13	3665.02	4038.61	5913.33	4481.23	4298.64	4010.71	4268.94	5076.84	3901.01	4010.71	3081.75	4038.61	3540.14	4239.45	5403.7	5633.22	3564.78	3614.55	4298.64	8718.32	4298.64	2935.74	4328.55	3955.48	3190.46	3395.89	4298.64	4210.15	4736.79	7749.1	5441.3	7081.29	4937.99	9215.48	8479.89	9344.14
SSR3	12415.75	4038.61	2555.58	6079.61	2502.97	2701.35	3395.89	2956.17	1769.57	1628.26	2384.37	2468.49	2573.36	2335.28	2555.58	1806.78	2573.36	1277.29	3901.01	2796.65	1977.24	2682.69	1977.24	3564.78	3081.75	2555.58	2520.38	2335.28	2335.28	2956.17	2935.74	4388.98	2061.24	2468.49	2502.97	4575.41	3124.78	1519.15	4239.45	2591.27	1936.53	2163.77	2133.97	1844.76	3018.3	4543.8	5219.6	4903.87	3540.14	4450.27	3039.3	3190.46
TCEB2	23169.48	11992.79	16269.83	41188.81	1.01	10225.32	11189.6	8901.53	4010.71	2855.44	5954.47	11345.82	5711.87	7032.37	17558.94	7857.29	5292.48	4869.99	7382.04	6792.79	5183.54	7485.11	6471.02	3928.15	10084.54	7032.37	7331.05	7589.61	4972.34	6887.62	8247.98	10883.59	5913.33	7130.55	11424.74	14971.21	7331.05	6121.9	1397.83	6516.03	4937.99	5711.87	2537.92	3124.78	4607.24	14663.09	11992.79	16383.0	11267.44	13968.57	8718.32	29943.43
THOC7	3847.29	2855.44	2609.3	3467.27	0.62	1208.34	1950.0	1508.65	825.0	974.5	1397.83	1519.15	1447.15	1313.23	1733.13	842.36	1250.98	665.29	1936.53	1397.83	1286.18	1359.57	1268.46	2061.24	1447.15	1051.79	890.44	1233.75	1143.1	1119.56	1832.01	1457.23	1313.23	1268.46	1340.84	2468.49	1277.29	1359.57	961.07	974.5	723.08	1183.45	1487.87	1331.57	995.0	2209.26	2209.26	2367.9	2004.85	3639.7	3419.52	5872.48
TIMM17B	2915.45	1936.53	2956.17	4419.52	0.99	1540.37	1369.04	813.63	1175.27	769.69	921.88	2119.22	1096.5	1199.98	1259.69	1529.73	780.44	409.15	961.07	1313.23	866.07	967.76	836.53	1529.73	1639.59	1540.37	1199.98	1096.5	563.18	1369.04	1350.18	1639.59	1119.56	1397.83	1268.46	1870.53	2271.4	743.43	466.88	1304.15	1111.82	1709.26	713.11	769.69	866.07	1896.65	2777.33	2701.35	1806.78	2148.82	1437.15	2935.74
TIMM8B	3639.7	2855.44	2133.97	3212.66	0.35	1119.56	1819.35	1487.87	599.49	435.55	748.61	1427.22	1225.22	1259.69	1583.71	1037.29	1127.35	389.72	1233.75	1225.22	791.35	1427.22	995.0	1127.35	1313.23	674.59	819.3	1111.82	825.0	1617.0	1378.57	1832.01	743.43	1378.57	1487.87	2319.15	928.3	785.88	387.02	947.83	947.83	808.0	718.08	708.18	1088.92	2855.44	2758.13	1909.85	1457.23	4268.94	2209.26	5076.84
TMEM126A	2303.12	1369.04	1216.75	3443.31	0.4	733.19	1388.16	854.13	438.59	525.39	718.08	941.27	612.11	660.68	902.89	665.29	1167.14	329.84	1066.48	780.44	718.08	884.29	769.69	1350.18	1030.12	480.04	536.45	638.15	995.0	819.3	1066.48	1313.23	708.18	802.41	941.27	1242.34	743.43	536.45	764.36	802.41	603.67	748.61	753.83	616.37	813.63	1250.98	1447.15	1199.98	1037.29	1628.26	1378.57	2119.22
TOMM7	51417.5	11584.24	12244.81	21026.65	0.77	9740.98	9151.82	7749.1	4239.45	3235.01	11664.82	10733.74	7966.99	7433.4	17317.18	5366.37	5041.77	5112.16	7081.29	8247.98	7589.61	7803.01	5006.93	5255.91	9025.81	9540.5	9279.58	7230.1	5633.22	6471.02	8538.88	8479.89	7382.04	9606.86	7749.1	12160.22	11267.44	5219.6	2104.58	7433.4	6337.83	3146.52	3820.7	4802.93	3847.29	11504.21	12329.98	20451.65	13492.72	10733.74	10883.59	21768.19
TXN2	7180.15	2573.36	3614.55	4010.71	981.29	2047.0	2485.67	2075.59	1977.24	708.18	1819.35	2502.97	1896.65	2417.67	2061.24	1950.0	1467.37	981.29	1733.13	2485.67	1697.45	2434.5	1277.29	2119.22	2209.26	1350.18	1119.56	1870.53	995.0	2240.11	2319.15	2451.44	1896.65	2133.97	2209.26	3190.46	1963.57	1322.37	860.08	2104.58	2485.67	2061.24	1605.83	1628.26	1467.37	2720.15	2956.17	2956.17	2502.97	4123.49	2555.58	3955.48
UBE2D4	802.41	791.35	525.39	896.64	444.72	470.14	728.11	638.15	441.64	336.79	371.22	842.36	543.96	470.14	454.09	551.56	305.55	215.77	579.04	511.0	403.5	532.74	293.07	503.95	543.96	295.11	229.72	529.06	301.33	684.02	518.15	954.43	403.5	432.53	514.56	547.75	555.41	358.54	197.09	507.46	518.15	384.34	507.46	466.88	483.38	693.58	669.92	866.07	679.29	775.05	791.35	384.34
UBL5	42641.37	17681.08	20451.65	39510.91	1.2	9088.59	16611.71	10883.59	4802.93	3146.52	9945.68	15715.58	11345.82	10585.95	17681.08	7331.05	8598.28	4210.15	14262.1	11112.3	8022.41	11424.74	7642.41	15180.22	15285.81	11189.6	7749.1	8247.98	5255.91	11584.24	14262.1	14561.8	8305.36	13399.51	11745.96	23009.42	10225.32	7749.1	2935.74	11424.74	7032.37	7749.1	5292.48	4575.41	7589.61	25005.23	24660.96	23009.42	14971.21	23656.34	15075.35	59887.86
UQCRH	18052.61	13586.57	17197.56	13492.72	1.22	4802.93	8363.13	6164.49	2178.83	2573.36	4736.79	9409.14	4671.57	6037.61	7537.18	2796.65	2645.74	1909.85	4769.75	3742.05	3491.39	3257.52	3639.7	4736.79	4671.57	4543.8	5006.93	3564.78	3395.89	5594.3	8134.41	8598.28	4239.45	5711.87	6471.02	14361.31	5076.84	2367.9	2555.58	5555.65	3690.52	2664.15	1721.16	1721.16	3280.18	8901.53	13123.73	12244.81	11112.3	25530.66	14561.8	54727.32
USMG5	14361.31	15285.81	18431.96	33688.23	1.06	4937.99	9945.68	5751.61	2591.27	1936.53	5147.73	9279.58	3060.45	3257.52	9088.59	3190.46	5672.41	2485.67	9088.59	6381.92	4095.0	5006.93	3325.99	12076.21	10296.45	3419.52	4937.99	4181.07	3928.15	4328.55	8363.13	9025.81	4152.18	4972.34	4802.93	12329.98	5041.77	4268.94	2816.11	4736.79	2434.5	4575.41	4388.98	3212.66	3847.29	12589.08	14065.74	15715.58	11664.82	27363.16	19482.97	25354.3
UXT	13492.72	5329.3	6745.86	13215.02	1.1	2739.08	4671.57	3467.27	1295.13	1551.09	4671.57	5831.91	2163.77	3794.3	4419.52	1857.6	2367.9	1487.87	2835.7	3212.66	2351.53	3103.19	1950.0	3325.99	3665.02	2816.11	3235.01	2133.97	1617.0	2434.5	4802.93	5006.93	3257.52	3614.55	3235.01	6516.03	2796.65	2133.97	836.53	3901.01	2032.85	2502.97	2400.97	1540.37	1651.0	6426.31	8658.09	5913.33	4736.79	9474.59	5183.54	15499.21
YIF1A	1794.29	2664.15	2520.38	3419.52	2133.97	2148.82	2335.28	2367.9	1572.76	878.17	1594.73	2255.7	1794.29	1427.22	1936.53	1745.2	1909.85	616.37	1769.57	1923.14	1359.57	2502.97	1757.34	1963.57	2720.15	1467.37	1896.65	1870.53	1242.34	2287.2	2018.8	2935.74	1651.0	2018.8	1870.53	2520.38	1733.13	1051.79	1369.04	2047.0	1594.73	2061.24	1457.23	1540.37	1572.76	2855.44	3190.46	1896.65	1950.0	2796.65	1832.01	2573.36
