	GTEX.U4B1.1226.SM.4DXT7	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.Y111.1726.SM.4SOIQ	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.RNOR.1326.SM.48FDE	GTEX.145MN.1126.SM.5RQJB	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.13OW8.2226.SM.5K7Z4	GTEX.T2IS.0926.SM.4DM5B	GTEX.148VJ.1126.SM.5NQBZ	TCGA.38.4625.01A.01R.1206.07	GTEX.12696.2226.SM.5EQ65	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.PWN1.2026.SM.48TD9	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
TTC21A	71.0	33.06	36.53	62.12	46.5	58.3	152.28	363.56	249.73	251.48	124.37	387.02	127.89	132.44	205.5	187.71	215.77	470.14	55.89	273.37	232.94	201.25	133.36	229.72	194.36	237.86	229.72	173.85	199.85	85.82	0.0	40.07	37.05	55.1	47.84	205.5	73.54	70.51	82.29	48.18	50.27	117.6	41.22	39.22	46.84	47.17	120.94	58.71	117.6	88.26	35.5	33.54	49.56	81.71	48.52	74.58	115.97	85.22	59.55	59.55	65.26	43.32	52.82
TTLL3	283.05	221.86	175.07	320.8	226.54	688.78	1088.92	3257.52	2417.67	3039.3	1572.76	3280.18	1832.01	1674.06	2682.69	3303.0	2319.15	2796.65	878.17	2720.15	2796.65	2591.27	1745.2	1936.53	2417.67	3847.29	2032.85	2351.53	2287.2	2434.5	0.0	226.54	191.67	332.14	262.2	780.44	819.3	1001.93	366.09	212.78	170.25	1096.5	417.77	293.07	567.1	376.41	854.13	493.56	450.94	493.56	293.07	105.89	182.55	1051.79	271.48	312.0	941.27	595.34	244.57	279.14	463.65	555.41	273.37
TUBE1	336.79	320.8	323.03	299.25	275.28	325.29	368.65	595.34	612.11	1001.93	679.29	603.67	486.75	511.0	698.41	669.92	866.07	836.53	447.82	688.78	785.88	660.68	547.75	743.43	536.45	642.59	579.04	748.61	563.18	769.69	0.0	327.56	138.1	141.02	132.44	567.1	392.44	764.36	384.34	273.37	211.31	503.95	215.77	483.38	329.84	368.65	387.02	273.37	293.07	189.02	127.0	309.83	170.25	435.55	171.45	289.02	688.78	403.5	297.17	231.32	283.05	490.14	185.11
UACA	339.14	129.69	368.65	395.18	341.51	363.56	1135.2	1350.18	2537.92	1407.55	1242.34	1199.98	836.53	1051.79	1605.83	1844.76	1340.84	1923.14	624.99	1359.57	1417.35	2240.11	1191.69	1950.0	1104.13	1781.89	1001.93	1437.15	1286.18	995.0	0.0	246.28	1883.54	1583.71	2104.58	836.53	1794.29	1001.93	441.64	191.67	157.68	791.35	896.64	384.34	325.29	532.74	802.41	599.49	353.59	253.23	198.47	170.25	417.77	470.14	273.37	323.03	1250.98	323.03	275.28	361.04	540.19	693.58	339.14
UCKL1	473.41	463.65	314.17	450.94	403.5	698.41	854.13	2224.63	1781.89	2032.85	1369.04	2417.67	1583.71	1151.06	2178.83	2047.0	1674.06	2075.59	785.88	2047.0	2004.85	1757.34	2004.85	2119.22	1857.6	2271.4	1594.73	1977.24	2090.03	1721.16	1111.82	400.71	567.1	688.78	1313.23	1369.04	1397.83	1963.57	363.56	559.28	457.25	1498.22	848.22	587.13	1008.9	660.68	1250.98	555.41	703.28	738.29	406.31	423.61	571.05	1923.14	656.11	587.13	1498.22	1208.34	629.35	376.41	624.99	525.39	486.75
UCN	26.47	21.16	11.04	13.03	12.83	22.75	48.87	175.07	93.35	72.52	139.07	141.02	117.6	26.47	93.35	71.5	83.45	109.66	88.88	103.69	83.45	35.0	92.05	30.56	106.63	90.14	55.49	76.17	102.25	55.1	0.0	13.12	18.97	18.16	52.08	43.94	29.48	62.12	28.65	10.63	8.45	39.79	18.03	21.16	26.1	25.17	40.36	15.34	10.55	40.93	9.2	7.28	12.74	40.36	12.27	16.63	21.78	23.59	29.91	14.24	10.71	29.7	8.85
UNC119	555.41	603.67	332.14	392.44	358.54	514.56	460.44	830.75	780.44	1096.5	529.06	915.51	842.36	563.18	961.07	915.51	603.67	674.59	460.44	583.07	591.22	435.55	842.36	547.75	713.11	753.83	733.19	547.75	854.13	642.59	0.0	460.44	246.28	409.15	183.82	647.07	1073.91	1111.82	454.09	379.04	387.02	764.36	277.2	244.57	450.94	346.29	884.29	242.88	381.68	241.19	234.57	327.56	258.57	743.43	438.59	525.39	325.29	476.71	466.88	381.68	486.75	414.87	674.59
UQCC1	486.75	674.59	450.94	518.15	551.56	775.05	713.11	1277.29	1191.69	1023.0	860.08	1191.69	1104.13	1199.98	1286.18	1529.73	1119.56	1378.57	890.44	1369.04	1417.35	1073.91	1250.98	1529.73	1407.55	1233.75	1111.82	1044.52	1143.1	1059.11	0.0	521.76	961.07	1583.71	1322.37	928.3	1199.98	1313.23	848.22	483.38	450.94	642.59	872.1	438.59	813.63	647.07	915.51	283.05	312.0	423.61	271.48	400.71	303.44	808.0	392.44	718.08	1529.73	848.22	555.41	236.21	387.02	454.09	463.65
VAMP1	346.29	244.57	143.01	175.07	186.4	1175.27	361.04	988.12	1081.39	921.88	529.06	1088.92	1250.98	915.51	1857.6	1295.13	981.29	1304.15	463.65	872.1	995.0	587.13	878.17	1551.09	878.17	1135.2	1044.52	567.1	1457.23	1529.73	0.0	221.86	69.03	125.24	102.25	486.75	878.17	616.37	126.12	142.01	143.01	708.18	409.15	323.03	429.54	199.85	532.74	244.57	239.52	223.41	120.94	130.6	251.48	909.17	195.72	202.66	785.88	325.29	215.77	146.03	146.03	197.09	87.03
VN1R1	26.47	3.47	12.27	8.25	34.02	19.11	21.16	63.0	87.65	48.18	64.8	30.78	50.63	70.51	74.06	93.35	55.49	49.21	29.06	84.04	62.56	46.84	45.53	84.04	58.3	54.33	57.08	59.13	47.5	48.87	0.0	7.34	6.57	11.73	20.26	34.02	31.67	43.94	8.65	8.45	3.29	12.27	6.16	4.39	20.56	12.45	41.52	9.41	3.17	3.47	1.97	1.71	0.0	66.65	16.15	25.54	47.84	22.75	11.55	13.03	14.89	27.84	3.86
VPS45	723.08	947.83	743.43	884.29	947.83	1044.52	941.27	1286.18	1685.71	1551.09	1233.75	1437.15	1268.46	1313.23	1487.87	1781.89	1417.35	1407.55	1044.52	1175.27	1369.04	1167.14	1159.07	1216.75	1233.75	1369.04	1322.37	1259.69	1417.35	1427.22	0.0	813.63	476.71	536.45	660.68	954.43	1331.57	1191.69	759.08	796.86	738.29	1159.07	656.11	698.41	878.17	860.08	947.83	693.58	830.75	660.68	624.99	743.43	693.58	1259.69	842.36	947.83	1286.18	1111.82	791.35	547.75	796.86	1030.12	684.02
WDR59	409.15	256.78	318.57	429.54	414.87	620.67	607.87	860.08	941.27	1073.91	836.53	947.83	723.08	791.35	902.89	1127.35	1030.12	954.43	518.15	842.36	928.3	796.86	665.29	775.05	866.07	928.3	660.68	830.75	967.76	802.41	0.0	231.32	432.53	432.53	400.71	603.67	607.87	674.59	246.28	387.02	325.29	547.75	529.06	281.09	551.56	438.59	547.75	414.87	339.14	417.77	242.88	249.73	258.57	684.02	285.03	414.87	599.49	432.53	400.71	264.03	414.87	414.87	371.22
ZNF17	64.34	50.98	86.43	123.5	102.97	124.37	116.78	172.65	125.24	128.79	217.27	163.28	94.67	120.1	138.1	137.14	146.03	166.73	102.25	138.1	182.55	105.89	134.3	115.97	119.26	186.4	169.07	163.28	166.73	147.06	0.0	115.16	81.71	68.07	69.52	88.88	115.16	218.79	134.3	71.0	105.89	180.02	139.07	162.14	86.43	144.01	119.26	84.63	109.66	77.79	94.01	81.14	57.08	147.06	57.89	157.68	133.36	102.25	109.66	103.69	107.38	109.66	87.03
ZNF251	172.65	137.14	170.25	228.13	201.25	392.44	366.09	954.43	703.28	915.51	591.22	1073.91	529.06	497.0	848.22	836.53	674.59	808.0	395.18	698.41	674.59	629.35	642.59	563.18	679.29	825.0	651.58	753.83	733.19	507.46	0.0	256.78	111.99	127.89	209.84	283.05	423.61	363.56	132.44	134.3	127.89	264.03	307.69	98.04	232.94	194.36	318.57	124.37	151.22	128.79	95.34	120.1	111.21	332.14	124.37	172.65	202.66	246.28	202.66	206.94	220.32	260.38	193.01
ZNF345	50.63	38.4	53.19	57.08	52.82	101.54	121.79	231.32	249.73	379.04	180.02	258.57	129.69	260.38	231.32	229.72	327.56	303.44	117.6	170.25	309.83	303.44	205.5	293.07	177.53	264.03	242.88	178.77	118.43	348.71	0.0	68.07	68.07	76.71	52.45	126.12	177.53	249.73	59.13	62.12	32.36	281.09	51.71	40.64	108.14	60.82	124.37	62.56	46.84	24.63	9.7	20.86	52.45	163.28	26.86	41.22	80.01	71.0	57.89	37.32	64.8	69.03	22.26
ZNF37A	105.89	74.06	126.12	153.34	144.01	258.57	172.65	361.04	450.94	381.68	387.02	379.04	356.05	258.57	381.68	376.41	239.52	353.59	309.83	283.05	497.0	351.14	536.45	503.95	348.71	258.57	269.6	312.0	220.32	269.6	75.11	105.89	77.79	129.69	70.01	166.73	376.41	381.68	190.34	182.55	101.54	299.25	159.9	164.42	158.79	163.28	189.02	131.51	141.02	123.5	78.34	90.77	88.26	220.32	109.66	157.68	371.22	156.59	138.1	92.7	104.42	119.26	100.83
ZNF493	42.11	62.56	43.32	75.64	66.65	115.97	186.4	563.18	490.14	381.68	384.34	651.58	314.17	379.04	366.09	563.18	476.71	684.02	291.04	395.18	633.73	480.04	579.04	638.15	497.0	563.18	318.57	379.04	371.22	256.78	43.63	91.41	35.76	92.7	27.25	208.38	260.38	371.22	71.0	96.68	43.63	190.34	53.95	63.89	127.89	68.55	220.32	50.63	95.34	55.89	44.25	22.1	40.36	71.5	43.63	122.64	293.07	246.28	49.21	43.94	22.75	26.86	24.81
ZNF529	109.66	85.82	105.15	126.12	105.89	181.28	191.67	371.22	384.34	301.33	497.0	341.51	237.86	277.2	420.68	429.54	323.03	441.64	191.67	368.65	356.05	334.46	309.83	373.81	303.44	334.46	283.05	397.93	358.54	435.55	0.0	122.64	84.63	85.82	115.16	214.27	373.81	368.65	145.02	98.73	77.25	260.38	246.28	279.14	197.09	138.1	237.86	125.24	122.64	84.63	66.65	58.3	55.89	251.48	63.89	101.54	211.31	265.87	110.43	120.1	82.29	126.12	106.63
ZNF785	107.38	96.01	111.99	149.12	154.42	181.28	123.5	297.17	198.47	237.86	199.85	307.69	299.25	197.09	258.57	325.29	212.78	295.11	132.44	228.13	251.48	287.01	291.04	198.47	303.44	293.07	242.88	199.85	267.73	239.52	0.0	103.69	58.3	78.89	45.53	177.53	249.73	295.11	102.97	135.24	155.5	275.28	152.28	90.77	136.19	129.69	180.02	49.56	125.24	87.65	58.3	58.71	84.04	299.25	125.24	154.42	95.34	193.01	70.51	96.68	226.54	128.79	120.1
ZNF83	293.07	305.55	312.0	389.72	339.14	769.69	1477.58	4388.98	3190.46	2555.58	2835.7	5219.6	2303.12	1540.37	1529.73	2573.36	3124.78	4358.66	1733.13	4038.61	3820.7	2627.46	2400.97	3168.41	2682.69	3081.75	1769.57	2956.17	2895.31	3928.15	248.0	454.09	287.01	376.41	234.57	921.88	1508.65	1378.57	587.13	361.04	318.57	1662.49	435.55	432.53	591.22	836.53	1259.69	961.07	460.44	426.57	309.83	262.2	368.65	1561.89	239.52	460.44	2047.0	842.36	764.36	387.02	303.44	583.07	295.11
ZNF836	82.87	152.28	92.7	211.31	111.99	165.57	205.5	256.78	339.14	314.17	202.66	371.22	325.29	173.85	381.68	325.29	246.28	281.09	159.9	414.87	518.15	209.84	265.87	353.59	242.88	251.48	224.97	303.44	332.14	351.14	0.0	199.85	80.57	177.53	138.1	152.28	165.57	299.25	120.94	57.89	117.6	229.72	130.6	58.71	109.66	147.06	139.07	93.35	81.14	54.33	54.33	96.01	113.56	183.82	64.34	125.24	318.57	105.89	87.65	150.17	167.9	78.89	105.89
ZNF91	87.03	72.52	100.83	220.32	137.14	141.02	229.72	780.44	1023.0	884.29	511.0	660.68	332.14	460.44	647.07	759.08	579.04	748.61	121.79	808.0	591.22	476.71	587.13	775.05	651.58	620.67	486.75	529.06	379.04	728.11	0.0	194.36	90.77	241.19	158.79	293.07	551.56	642.59	123.5	78.34	115.16	500.46	237.86	114.36	214.27	127.89	275.28	78.89	165.57	75.11	50.98	63.45	141.02	248.0	122.64	221.86	1111.82	265.87	59.55	33.06	40.93	57.08	37.32
hsa-mir-1199	53.19	76.71	41.22	71.5	31.0	58.3	149.12	563.18	289.02	153.34	111.21	470.14	412.0	202.66	356.05	332.14	242.88	320.8	215.77	209.84	314.17	96.01	307.69	246.28	285.03	249.73	249.73	158.79	376.41	185.11	0.0	53.95	50.27	102.97	110.43	78.89	305.55	223.41	98.73	24.63	66.18	151.22	68.07	48.18	139.07	91.41	91.41	73.03	53.95	85.22	90.14	71.5	85.82	133.36	52.08	133.36	53.95	127.0	52.45	27.64	58.71	47.84	10.63
