	TCGA.DK.AA6X.01A.12R.A42T.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.FU.A57G.01A.11R.A26T.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.55.7570.01A.11R.2039.07	TCGA.55.7724.01A.11R.2170.07	TCGA.21.1075.01A.01R.0692.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.N5.A4RT.01A.11R.A28V.07
SENP1	275.28	165.57	149.12	223.41	158.79	173.85	246.28	140.04	334.46	113.56	67.12	103.69	96.01	67.12	82.29	84.63	112.77	165.57	134.3	96.01	110.43	151.22	109.66	124.37	156.59	97.36	127.89	105.15	89.51	118.43	108.14	130.6	112.77	100.83	121.79	120.1	100.83	108.14	137.14	115.16	131.51	136.19	129.69	23.42	85.82	113.56	85.22	84.63	98.04	100.83	88.88	82.29	78.89	102.97	101.54	118.43	78.34	84.04	22.59	34.75	51.35	12.93	24.81	262.2	237.86	201.25	153.34	124.37	152.28	123.5	112.77	236.21	133.36	172.65	158.79	121.79	205.5	301.33
SET	4869.99	8363.13	5479.15	12589.08	8305.36	7032.37	6983.79	8421.31	7749.1	4268.94	2417.67	4802.93	3280.18	2855.44	3303.0	3419.52	4210.15	6250.56	2417.67	3325.99	4388.98	6250.56	4298.64	5076.84	5555.65	3742.05	4607.24	3901.01	4358.66	5076.84	3325.99	4358.66	4802.93	4543.8	4298.64	4543.8	3018.3	4239.45	4268.94	4512.4	4512.4	5441.3	4769.75	2303.12	3280.18	3794.3	3443.31	3349.13	3395.89	3716.2	3325.99	2997.45	3491.39	3349.13	3103.19	3768.09	3190.46	3614.55	1096.5	1268.46	2090.03	1651.0	1340.84	6840.04	7032.37	6121.9	4123.49	4181.07	4066.71	3212.66	4419.52	5403.7	3060.45	4481.23	4903.87	4152.18	10512.82	6699.25
SIX1	221.86	164.42	129.69	301.33	158.79	289.02	193.01	392.44	155.5	4.58	1.07	4.13	8.45	1.73	0.04	4.94	16.27	35.25	9.48	2.01	1.77	14.56	1.0	6.84	2.66	4.1	5.73	1.48	1.46	7.17	2.92	1.91	1.91	1.51	1.62	2.56	2.36	6.16	4.43	2.25	4.7	8.85	3.92	4.78	2.81	8.85	6.67	4.7	6.11	2.53	10.16	1.83	0.79	1.51	2.53	0.38	7.51	1.99	0.0	0.0	24.11	0.0	0.04	540.19	237.86	221.86	8.13	44.89	25.91	54.33	80.01	6.36	12.18	35.25	23.76	15.22	279.14	389.72
SMC4	1119.56	738.29	1242.34	1617.0	607.87	612.11	500.46	624.99	4419.52	164.42	116.78	137.14	145.02	69.03	118.43	149.12	197.09	473.41	412.0	95.34	209.84	536.45	153.34	190.34	182.55	151.22	239.52	178.77	171.45	194.36	149.12	241.19	173.85	151.22	145.02	164.42	197.09	125.24	226.54	161.02	229.72	214.27	195.72	19.82	128.79	177.53	135.24	110.43	156.59	138.1	146.03	142.01	130.6	159.9	142.01	177.53	126.12	125.24	32.36	50.27	116.78	22.92	44.89	1199.98	1447.15	2758.13	476.71	285.03	358.54	412.0	312.0	665.29	325.29	366.09	309.83	351.14	1991.0	2240.11
SNRPD1	2303.12	4575.41	2591.27	3955.48	2895.31	2739.08	1081.39	2682.69	3280.18	693.58	753.83	995.0	860.08	651.58	647.07	921.88	1233.75	1286.18	1447.15	642.59	638.15	1277.29	679.29	708.18	921.88	708.18	684.02	599.49	753.83	909.17	748.61	599.49	665.29	674.59	688.78	941.27	753.83	651.58	723.08	854.13	988.12	1008.9	813.63	708.18	642.59	620.67	595.34	536.45	607.87	591.22	595.34	450.94	660.68	540.19	571.05	624.99	547.75	543.96	423.61	480.04	981.29	387.02	603.67	3589.58	2193.99	4736.79	708.18	854.13	718.08	1143.1	693.58	1498.22	854.13	1216.75	708.18	1023.0	3742.05	6294.04
SPAST	193.01	165.57	269.6	190.34	204.07	285.03	182.55	232.94	312.0	98.73	72.01	105.15	82.87	71.0	66.65	125.24	143.01	145.02	136.19	86.43	102.25	115.16	100.13	132.44	153.34	115.97	115.97	111.21	106.63	108.14	116.78	137.14	106.63	105.15	101.54	111.99	87.65	100.83	171.45	131.51	127.89	146.03	121.79	30.34	85.22	127.0	94.01	72.01	94.01	78.34	88.26	87.03	88.88	87.65	80.57	121.79	83.45	95.34	52.45	86.43	90.14	53.57	74.58	332.14	314.17	486.75	127.0	144.01	140.04	114.36	163.28	220.32	119.26	163.28	120.94	181.28	258.57	293.07
SSB	3146.52	2090.03	2997.45	3928.15	3103.19	4123.49	2935.74	3146.52	3303.0	1651.0	1540.37	1936.53	1745.2	974.5	1037.29	1467.37	1628.26	1794.29	1883.54	1286.18	1674.06	2178.83	1529.73	1733.13	1936.53	1437.15	1561.89	1721.16	1745.2	1991.0	1594.73	1794.29	1617.0	1651.0	1651.0	1923.14	1350.18	1551.09	1639.59	1733.13	1769.57	2148.82	1857.6	180.02	1561.89	1487.87	1487.87	1397.83	1359.57	1540.37	1331.57	1242.34	1457.23	1457.23	1378.57	1340.84	1322.37	1277.29	204.07	733.19	1151.06	423.61	753.83	5041.77	2627.46	2796.65	2224.63	2271.4	2148.82	1896.65	2271.4	3190.46	2271.4	2739.08	2287.2	2119.22	5219.6	4419.52
SUMO2	10883.59	10225.32	13492.72	10225.32	14065.74	11584.24	7130.55	7911.95	11035.54	4903.87	5403.7	5219.6	5872.48	3982.99	3820.7	3639.7	5006.93	7589.61	5112.16	3874.05	4268.94	5594.3	5329.3	5751.61	5913.33	3874.05	4388.98	4239.45	4972.34	4937.99	5366.37	3982.99	5112.16	5292.48	5112.16	5441.3	5041.77	4450.27	6471.02	6037.61	5112.16	6164.49	4671.57	3716.2	4095.0	4268.94	4181.07	4903.87	3665.02	4181.07	3690.52	3419.52	4123.49	3589.58	4095.0	3325.99	3742.05	4210.15	1857.6	2119.22	3491.39	2417.67	2400.97	8363.13	7382.04	11267.44	4575.41	4802.93	5076.84	4095.0	5441.3	5711.87	4543.8	4836.35	4450.27	5112.16	11035.54	7130.55
TMA16	450.94	336.79	620.67	412.0	480.04	417.77	463.65	480.04	896.64	273.37	275.28	232.94	320.8	217.27	172.65	206.94	363.56	361.04	356.05	262.2	271.48	336.79	283.05	283.05	307.69	279.14	285.03	232.94	301.33	371.22	336.79	293.07	277.2	255.0	353.59	301.33	309.83	265.87	343.89	273.37	309.83	320.8	336.79	120.1	214.27	277.2	244.57	181.28	232.94	234.57	206.94	166.73	226.54	217.27	194.36	253.23	255.0	215.77	140.04	113.56	182.55	94.01	205.5	435.55	260.38	679.29	343.89	316.37	204.07	348.71	327.56	638.15	220.32	336.79	358.54	327.56	603.67	536.45
TMEM117	269.6	214.27	281.09	107.38	206.94	273.37	96.68	131.51	162.14	71.0	72.01	80.57	98.04	45.53	97.36	140.04	82.29	60.39	58.71	61.68	80.01	89.51	100.83	94.67	94.67	63.45	66.18	71.0	80.57	89.51	59.13	95.34	70.01	82.29	69.52	83.45	61.68	73.03	84.04	86.43	85.22	105.89	77.25	65.26	69.52	61.25	63.0	47.84	55.1	64.34	89.51	36.53	54.72	53.57	64.34	56.28	61.68	67.12	34.26	38.4	82.29	38.95	64.34	99.43	241.19	571.05	39.79	89.51	76.17	96.68	74.58	220.32	84.63	73.54	39.5	66.18	97.36	244.57
TPGS2	1883.54	3039.3	2271.4	2720.15	2351.53	3395.89	1709.26	1639.59	3168.41	1519.15	1369.04	1551.09	1674.06	1044.52	1447.15	1369.04	1540.37	1313.23	1697.45	1143.1	1044.52	1397.83	1498.22	1697.45	1519.15	1508.65	1268.46	1250.98	995.0	1304.15	1477.58	1081.39	1268.46	1088.92	1359.57	1359.57	1832.01	1151.06	1350.18	1407.55	1617.0	1183.45	1340.84	928.3	1096.5	1322.37	1073.91	1350.18	1199.98	1259.69	995.0	1259.69	1233.75	1199.98	1208.34	1467.37	1233.75	1259.69	392.44	186.4	769.69	327.56	397.93	2400.97	1781.89	4038.61	1540.37	1059.11	1870.53	1277.29	1721.16	1143.1	1583.71	1216.75	1457.23	1857.6	2855.44	4210.15
TWF1	2758.13	2061.24	1950.0	1487.87	2032.85	3018.3	1487.87	2367.9	1781.89	1104.13	1191.69	1127.35	1277.29	543.96	830.75	1529.73	1819.35	967.76	1447.15	1073.91	1111.82	1268.46	1199.98	1216.75	1295.13	1199.98	1167.14	1073.91	1073.91	1167.14	1378.57	1350.18	1081.39	1216.75	1030.12	1151.06	1208.34	981.29	2163.77	1259.69	1250.98	1628.26	1001.93	305.55	878.17	921.88	1015.93	813.63	896.64	848.22	819.3	842.36	928.3	934.76	928.3	1081.39	775.05	941.27	316.37	532.74	961.07	483.38	733.19	1757.34	2090.03	2875.3	921.88	954.43	1073.91	954.43	1242.34	2075.59	884.29	1304.15	1088.92	1331.57	1447.15	2047.0
VRK1	429.54	967.76	373.81	518.15	366.09	616.37	297.17	287.01	688.78	146.03	144.01	142.01	143.01	130.6	121.79	146.03	136.19	212.78	84.04	120.94	110.43	305.55	156.59	267.73	177.53	134.3	175.07	167.9	183.82	187.71	244.57	211.31	113.56	139.07	144.01	197.09	246.28	148.09	267.73	153.34	150.17	202.66	144.01	27.44	125.24	169.07	176.29	122.64	105.89	117.6	108.9	123.5	134.3	135.24	123.5	119.26	122.64	121.79	34.26	63.89	59.55	44.25	83.45	483.38	343.89	688.78	165.57	176.29	171.45	189.02	134.3	221.86	229.72	202.66	231.32	237.86	1066.48	728.11
YY1	1572.76	1685.71	1233.75	1870.53	1457.23	2287.2	1467.37	1721.16	1159.07	961.07	651.58	878.17	698.41	571.05	764.36	1051.79	808.0	1127.35	902.89	884.29	1233.75	1111.82	1059.11	1175.27	1096.5	884.29	1044.52	981.29	974.5	1191.69	1044.52	1250.98	1059.11	1167.14	1111.82	1015.93	884.29	995.0	1030.12	1073.91	866.07	1151.06	954.43	356.05	743.43	848.22	872.1	785.88	915.51	854.13	743.43	748.61	860.08	928.3	830.75	842.36	743.43	860.08	417.77	728.11	733.19	753.83	579.04	1685.71	2434.5	1781.89	1104.13	1191.69	1119.56	1277.29	1111.82	1769.57	902.89	1259.69	1119.56	1369.04	2417.67	1397.83
ZNF131	1073.91	915.51	909.17	743.43	624.99	813.63	679.29	551.56	733.19	438.59	343.89	414.87	379.04	239.52	305.55	327.56	473.41	444.72	389.72	363.56	432.53	490.14	490.14	454.09	497.0	358.54	441.64	363.56	361.04	460.44	435.55	432.53	381.68	420.68	348.71	480.04	371.22	395.18	432.53	397.93	373.81	395.18	435.55	119.26	387.02	356.05	293.07	351.14	309.83	409.15	361.04	264.03	341.51	314.17	397.93	392.44	316.37	273.37	80.01	175.07	269.6	177.53	108.9	688.78	872.1	1250.98	607.87	555.41	480.04	616.37	595.34	583.07	620.67	624.99	511.0	521.76	607.87	1008.9
ZNF207	2758.13	2835.7	2163.77	2895.31	3716.2	2739.08	1896.65	2720.15	3280.18	1628.26	1407.55	1561.89	1639.59	1001.93	1096.5	1508.65	1794.29	2018.8	2075.59	1467.37	1359.57	1794.29	1721.16	1529.73	1757.34	1605.83	1477.58	1477.58	1508.65	1662.49	1628.26	1594.73	1467.37	1467.37	1529.73	1745.2	1617.0	1350.18	1883.54	1508.65	1594.73	1709.26	1628.26	748.61	1437.15	1697.45	1427.22	1313.23	1259.69	1628.26	1119.56	1322.37	1340.84	1467.37	1397.83	1519.15	1175.27	1331.57	791.35	532.74	748.61	679.29	902.89	2224.63	2875.3	3794.3	2451.44	1923.14	1991.0	2075.59	1757.34	2193.99	1870.53	2148.82	1844.76	1651.0	3716.2	2976.74
