	GTEX.11GSP.0726.SM.5986L	GTEX.111VG.0726.SM.5GIDC	TCGA.56.8082.11A.01R.2247.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.7737.01A.11R.2118.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.AJ.A3NE.11A.11R.A22K.07
MEDAG	412.0	167.9	457.25	1.73	26.28	6.36	7.06	35.0	50.27	63.45	9.27	27.44	12.36	202.66	6.01	5.28	105.15	181.28	47.17	21.63	69.03	90.77	6.84	7.4	1088.92	22.26	7.46	4.46	4.43	351.14	77.79	23.25	6.89	438.59	12.0	45.21	30.78	81.14	18.56	29.48	7.11	14.35	34.51	5.54	6.06	9.2	20.86	5.02	5.41	13.12	66.65	72.01	14.24	30.56	22.26	2.94	11.21	3.56	4.1	68.55	72.52	17.77	29.06	1340.84	703.28
MEF2D	934.76	1225.22	854.13	343.89	612.11	373.81	334.46	435.55	825.0	379.04	595.34	624.99	693.58	1059.11	518.15	397.93	698.41	915.51	728.11	521.76	1096.5	738.29	532.74	420.68	1143.1	995.0	454.09	490.14	698.41	1286.18	791.35	470.14	616.37	1605.83	555.41	753.83	848.22	529.06	698.41	1066.48	679.29	303.44	1044.52	791.35	547.75	521.76	525.39	447.82	819.3	583.07	543.96	698.41	551.56	1015.93	620.67	454.09	460.44	420.68	575.03	1088.92	813.63	563.18	514.56	974.5	1259.69
MESDC1	1015.93	1081.39	954.43	171.45	267.73	145.02	293.07	194.36	674.59	371.22	232.94	460.44	303.44	353.59	141.02	132.44	395.18	389.72	1111.82	214.27	353.59	457.25	190.34	214.27	603.67	780.44	161.02	178.77	206.94	633.73	301.33	285.03	265.87	301.33	281.09	255.0	195.72	358.54	341.51	289.02	318.57	158.79	351.14	264.03	295.11	341.51	236.21	339.14	194.36	423.61	748.61	260.38	195.72	320.8	400.71	255.0	234.57	123.5	175.07	358.54	175.07	143.01	220.32	473.41	660.68
METRNL	10154.69	3540.14	3820.7	307.69	429.54	215.77	307.69	371.22	890.44	796.86	329.84	575.03	748.61	1143.1	299.25	262.2	607.87	429.54	884.29	323.03	872.1	753.83	417.77	182.55	2018.8	1051.79	95.34	236.21	195.72	1427.22	1447.15	941.27	397.93	1051.79	373.81	708.18	293.07	796.86	384.34	579.04	514.56	325.29	571.05	307.69	429.54	543.96	447.82	429.54	460.44	769.69	866.07	470.14	583.07	679.29	579.04	571.05	414.87	217.27	336.79	941.27	432.53	249.73	536.45	4210.15	2591.27
MIDN	3515.68	3039.3	4095.0	708.18	915.51	830.75	1225.22	860.08	3614.55	1819.35	1059.11	1819.35	836.53	1651.0	503.95	884.29	1208.34	2240.11	2240.11	703.28	2682.69	1709.26	769.69	460.44	3257.52	3039.3	738.29	366.09	723.08	4152.18	1857.6	830.75	693.58	3103.19	559.28	1457.23	579.04	1322.37	1322.37	1769.57	599.49	346.29	2520.38	967.76	769.69	921.88	884.29	775.05	684.02	854.13	2319.15	988.12	915.51	1733.13	1529.73	466.88	884.29	438.59	567.1	4450.27	1769.57	466.88	854.13	3665.02	3716.2
MMP19	10512.82	1135.2	6207.38	67.12	59.13	19.39	21.32	55.1	134.3	152.28	52.45	139.07	96.01	152.28	23.25	35.25	157.68	255.0	152.28	27.64	376.41	155.5	37.85	37.05	629.35	59.13	46.18	25.35	49.91	285.03	511.0	48.87	56.28	389.72	40.07	145.02	34.51	199.85	214.27	221.86	14.78	8.45	94.01	44.57	23.76	30.56	24.28	26.1	71.5	29.7	265.87	22.92	57.49	108.14	68.55	22.75	22.1	21.01	56.68	94.67	63.89	58.3	26.28	928.3	1322.37
MT1A	7642.41	872.1	19082.0	124.37	142.01	30.12	37.59	234.57	392.44	1909.85	265.87	262.2	242.88	473.41	52.45	106.63	392.44	575.03	769.69	60.39	921.88	346.29	460.44	176.29	4152.18	69.52	88.88	104.42	92.7	693.58	2047.0	215.77	265.87	836.53	20.56	214.27	54.33	175.07	1417.35	217.27	18.7	15.22	323.03	126.12	32.13	218.79	171.45	27.84	134.3	37.85	934.76	161.02	1313.23	376.41	96.68	31.0	181.28	85.22	137.14	314.17	791.35	94.67	26.86	2032.85	2682.69
NAMPTL	529.06	351.14	323.03	23.08	68.55	34.26	44.25	105.15	185.11	273.37	98.04	73.03	39.79	291.04	68.55	35.5	67.12	603.67	265.87	24.46	470.14	120.1	82.29	5.02	476.71	136.19	35.25	49.56	100.83	336.79	165.57	38.67	121.79	279.14	20.11	98.04	98.73	88.26	51.35	56.68	152.28	518.15	318.57	217.27	8.65	55.49	73.03	28.65	110.43	47.84	171.45	92.7	62.56	117.6	67.12	7.34	22.75	202.66	59.13	109.66	92.05	159.9	104.42	152.28	830.75
NCOA7	1963.57	4239.45	4639.29	84.63	241.19	59.13	61.68	92.05	718.08	476.71	256.78	269.6	215.77	500.46	81.71	98.73	334.46	1369.04	329.84	85.22	1199.98	356.05	82.87	118.43	633.73	438.59	87.03	83.45	237.86	1733.13	1268.46	171.45	117.6	1242.34	100.83	896.64	157.68	202.66	403.5	934.76	81.14	114.36	1417.35	84.04	80.01	85.82	100.13	54.33	121.79	114.36	463.65	279.14	102.97	503.95	132.44	92.05	108.14	89.51	125.24	2133.97	379.04	186.4	220.32	2090.03	3443.31
NFATC1	3303.0	1322.37	1977.24	165.57	178.77	130.6	228.13	161.02	228.13	231.32	171.45	312.0	115.97	197.09	218.79	149.12	255.0	197.09	231.32	140.04	320.8	279.14	150.17	172.65	571.05	111.21	120.1	138.1	103.69	255.0	476.71	181.28	149.12	271.48	262.2	353.59	204.07	339.14	109.66	309.83	143.01	105.89	376.41	112.77	111.99	208.38	86.43	131.51	126.12	215.77	279.14	211.31	127.0	194.36	122.64	146.03	115.16	153.34	193.01	180.02	287.01	187.71	140.04	536.45	607.87
NOS3	1359.57	1857.6	583.07	69.52	186.4	41.22	36.53	119.26	146.03	236.21	78.34	206.94	98.04	583.07	103.69	42.11	287.01	119.26	258.57	131.51	226.54	384.34	78.89	64.8	802.41	120.1	59.55	104.42	92.7	194.36	339.14	149.12	31.45	366.09	92.05	201.25	255.0	339.14	205.5	246.28	63.45	69.03	113.56	161.02	57.08	69.52	45.53	39.79	64.34	101.54	148.09	88.88	117.6	193.01	156.59	49.56	55.89	53.57	64.34	195.72	158.79	71.0	74.06	417.77	872.1
NR4A3	3540.14	2997.45	1030.12	19.53	90.77	6.01	84.04	13.83	579.04	112.77	80.57	285.03	129.69	647.07	10.0	58.3	58.71	1794.29	208.38	47.17	1417.35	559.28	23.76	6.31	1059.11	764.36	5.28	14.67	155.5	1225.22	438.59	39.5	45.21	961.07	6.46	169.07	43.63	79.45	457.25	961.07	7.11	7.4	1183.45	16.63	33.54	12.09	14.24	3.96	42.71	11.64	150.17	119.26	69.52	414.87	33.54	3.99	20.26	3.79	58.71	571.05	457.25	67.12	87.03	1037.29	1111.82
NXT1	1259.69	1175.27	813.63	387.02	358.54	325.29	226.54	262.2	493.56	460.44	379.04	486.75	397.93	599.49	293.07	262.2	412.0	397.93	444.72	329.84	412.0	303.44	291.04	260.38	660.68	320.8	309.83	287.01	389.72	466.88	529.06	497.0	279.14	642.59	220.32	358.54	351.14	460.44	387.02	251.48	297.17	368.65	381.68	389.72	265.87	466.88	361.04	476.71	224.97	400.71	525.39	309.83	366.09	647.07	346.29	229.72	373.81	281.09	336.79	486.75	551.56	409.15	555.41	559.28	1143.1
ODF3L1	387.02	66.65	96.01	2.05	6.21	0.51	2.58	2.43	101.54	7.57	11.13	24.81	7.51	20.86	2.63	0.0	4.94	38.4	9.63	2.48	42.41	17.64	0.92	1.27	66.65	29.7	0.62	0.0	13.72	21.32	28.45	0.29	3.11	41.81	2.16	15.91	2.23	19.11	4.7	19.97	0.0	0.0	121.79	1.83	1.55	2.48	1.22	0.58	3.2	0.6	9.93	9.56	9.56	16.88	1.53	0.82	1.66	1.23	16.39	60.82	82.29	6.41	9.27	65.72	50.63
P2RY6	105.15	90.77	108.9	8.65	25.17	1.66	4.62	13.12	37.05	100.83	19.82	71.5	10.08	67.12	4.06	11.38	43.63	33.78	32.59	5.73	35.76	33.06	7.57	8.58	50.63	27.44	2.41	7.57	13.12	59.55	116.78	27.25	19.53	19.97	12.45	42.71	24.99	25.91	17.0	41.22	2.56	2.05	56.28	14.14	9.13	9.13	9.41	4.39	11.73	18.7	38.4	8.32	5.54	37.32	12.83	5.73	8.13	6.26	5.77	37.32	15.8	15.22	9.78	293.07	149.12
PHLDA1	2209.26	1104.13	1487.87	42.41	204.07	76.71	17.25	97.36	356.05	189.02	112.77	197.09	101.54	232.94	63.0	62.56	175.07	571.05	202.66	43.32	423.61	229.72	31.9	63.89	603.67	221.86	29.91	57.49	72.01	381.68	511.0	43.32	78.34	376.41	33.54	132.44	153.34	189.02	265.87	285.03	12.0	30.56	285.03	96.68	60.82	63.45	39.22	19.53	113.56	69.03	198.47	60.39	155.5	229.72	90.77	19.39	42.71	76.71	356.05	813.63	197.09	194.36	143.01	2047.0	1073.91
PIM1	3395.89	2133.97	4358.66	99.43	521.76	161.02	59.55	497.0	1340.84	684.02	381.68	759.08	595.34	819.3	106.63	121.79	366.09	1963.57	728.11	438.59	1096.5	612.11	325.29	124.37	3257.52	2018.8	80.57	158.79	392.44	1331.57	1242.34	447.82	1030.12	1529.73	123.5	651.58	633.73	384.34	703.28	486.75	435.55	559.28	884.29	620.67	454.09	201.25	400.71	808.0	620.67	403.5	674.59	607.87	253.23	620.67	688.78	780.44	376.41	73.54	166.73	1015.93	1066.48	525.39	236.21	2119.22	6037.61
PLAUR	10440.2	4095.0	8538.88	124.37	159.9	44.57	57.89	94.01	954.43	412.0	136.19	414.87	159.9	813.63	79.45	87.03	218.79	1081.39	395.18	93.35	463.65	483.38	95.34	70.01	1388.16	473.41	84.63	54.33	194.36	1023.0	743.43	166.73	87.65	860.08	87.03	518.15	115.16	309.83	253.23	283.05	46.18	41.22	595.34	110.43	37.59	88.26	87.03	53.57	77.25	82.29	669.92	150.17	120.94	447.82	154.42	44.57	64.34	48.18	49.56	1015.93	395.18	121.79	107.38	3018.3	2895.31
PLEKHG1	759.08	361.04	728.11	7.94	37.32	4.06	7.11	17.13	24.46	41.22	20.56	21.78	25.17	68.55	14.35	16.39	69.52	89.51	29.06	10.08	88.26	43.63	12.18	14.24	101.54	24.63	14.24	11.38	36.27	71.0	55.49	11.3	17.13	96.01	8.99	48.18	33.3	67.59	40.93	72.52	6.01	15.8	36.01	27.05	9.7	7.28	8.92	8.32	20.26	21.78	26.67	28.04	11.91	31.0	19.97	8.38	8.92	25.72	20.86	51.35	46.84	33.54	18.84	242.88	346.29
PLEKHO2	3515.68	2835.7	1639.59	147.06	283.05	52.08	108.14	198.47	295.11	389.72	277.2	387.02	309.83	529.06	204.07	127.0	490.14	688.78	361.04	187.71	460.44	426.57	176.29	106.63	974.5	291.04	182.55	147.06	293.07	490.14	591.22	299.25	208.38	543.96	156.59	387.02	224.97	406.31	379.04	476.71	67.12	53.95	656.11	182.55	157.68	140.04	157.68	140.04	246.28	127.89	325.29	255.0	215.77	363.56	224.97	118.43	159.9	204.07	277.2	417.77	753.83	376.41	226.54	1151.06	981.29
PLK3	2835.7	1127.35	2997.45	84.04	89.51	35.25	52.08	65.26	476.71	229.72	115.16	212.78	170.25	289.02	43.32	49.91	201.25	460.44	232.94	45.21	463.65	271.48	66.18	40.64	808.0	297.17	27.05	71.5	74.58	432.53	603.67	81.14	80.01	551.56	56.68	503.95	80.57	267.73	251.48	217.27	30.34	28.65	255.0	80.01	42.41	60.82	61.68	36.01	67.59	102.25	242.88	118.43	131.51	249.73	144.01	26.67	57.08	35.25	104.42	753.83	265.87	144.01	106.63	1407.55	1313.23
PNP	5219.6	2255.7	8901.53	265.87	358.54	384.34	316.37	301.33	921.88	967.76	555.41	525.39	536.45	866.07	303.44	555.41	470.14	1233.75	743.43	293.07	860.08	1143.1	536.45	351.14	2319.15	457.25	318.57	669.92	497.0	1208.34	884.29	334.46	387.02	1051.79	297.17	967.76	318.57	309.83	629.35	320.8	273.37	656.11	967.76	204.07	450.94	307.69	457.25	285.03	346.29	351.14	674.59	612.11	759.08	603.67	371.22	563.18	262.2	303.44	351.14	693.58	638.15	392.44	251.48	1487.87	2682.69
PPP1R15A	5403.7	6250.56	11827.67	624.99	1427.22	363.56	420.68	1191.69	5183.54	1216.75	1883.54	3146.52	1295.13	1519.15	575.03	595.34	802.41	2645.74	2451.44	603.67	2835.7	2061.24	896.64	575.03	4066.71	3212.66	571.05	353.59	808.0	5112.16	3614.55	412.0	665.29	3690.52	334.46	1883.54	490.14	995.0	1583.71	3124.78	334.46	229.72	2701.35	713.11	579.04	693.58	521.76	480.04	620.67	595.34	1175.27	2664.15	1313.23	2075.59	1551.09	612.11	543.96	406.31	1008.9	7695.57	4210.15	866.07	775.05	4704.07	4671.57
PPP1R18	1991.0	4298.64	3690.52	223.41	470.14	87.03	73.03	361.04	476.71	728.11	503.95	665.29	312.0	780.44	229.72	205.5	1008.9	1001.93	212.78	291.04	587.13	371.22	206.94	202.66	1745.2	454.09	165.57	239.52	381.68	764.36	1427.22	486.75	336.79	825.0	295.11	559.28	327.56	698.41	389.72	426.57	85.22	120.94	612.11	275.28	218.79	224.97	220.32	193.01	229.72	258.57	540.19	209.84	325.29	591.22	320.8	107.38	223.41	260.38	356.05	748.61	1331.57	460.44	395.18	1651.0	2485.67
PPRC1	1936.53	1519.15	2417.67	660.68	371.22	271.48	532.74	403.5	825.0	1233.75	368.65	575.03	595.34	503.95	447.82	438.59	500.46	718.08	567.1	444.72	612.11	791.35	373.81	379.04	1417.35	351.14	237.86	507.46	336.79	612.11	674.59	511.0	295.11	866.07	392.44	587.13	412.0	507.46	503.95	314.17	454.09	379.04	642.59	532.74	444.72	414.87	518.15	547.75	493.56	497.0	854.13	242.88	303.44	540.19	525.39	444.72	454.09	232.94	334.46	583.07	674.59	287.01	387.02	1167.14	1674.06
PRDM16	26.28	118.43	113.56	2.46	6.52	2.18	2.41	2.92	3.11	2.89	3.08	3.32	3.38	18.03	4.62	2.61	6.16	5.15	6.11	1.53	6.84	5.63	2.23	3.0	26.67	6.26	3.41	2.58	1.64	10.71	5.54	1.85	3.69	18.7	2.92	9.78	6.67	6.62	4.1	6.57	1.66	1.33	5.59	2.18	2.23	3.66	5.02	0.78	7.75	6.06	3.08	12.36	4.9	11.13	6.46	1.36	3.14	1.83	5.5	17.0	4.54	4.5	2.58	166.73	14.45
PTGIR	854.13	1437.15	1250.98	3.96	10.71	3.53	3.44	1.33	7.34	11.91	16.03	5.54	13.32	21.47	5.36	6.94	27.44	13.22	4.62	3.69	14.67	4.03	6.46	8.06	120.1	11.3	0.0	3.66	11.47	23.93	26.1	18.29	9.78	40.93	7.82	22.1	31.67	10.88	2.78	12.36	2.46	3.66	4.24	13.22	4.62	5.06	10.55	3.53	4.74	9.63	7.75	4.78	9.63	15.34	11.04	4.13	1.91	1.31	0.88	19.53	5.15	11.91	1.79	283.05	112.77
PTX3	1250.98	299.25	4419.52	1.73	6.11	0.51	3.63	4.28	9.7	87.03	7.69	10.88	16.63	36.53	1.91	1.81	28.04	74.06	13.22	3.92	13.83	40.64	10.0	0.58	193.01	3.56	5.82	0.99	8.38	46.84	48.52	8.51	12.27	19.82	6.89	8.78	8.0	18.84	13.72	4.17	2.89	0.53	14.35	0.97	3.08	2.23	3.03	1.35	4.9	2.61	55.49	1.89	5.87	8.51	1.38	1.99	5.59	4.54	4.28	24.28	17.38	15.91	6.31	231.32	214.27
PXDC1	6207.38	3847.29	3018.3	224.97	525.39	346.29	98.04	723.08	819.3	738.29	463.65	802.41	438.59	638.15	249.73	158.79	796.86	954.43	267.73	231.32	1870.53	480.04	447.82	195.72	2032.85	493.56	307.69	201.25	480.04	974.5	1781.89	336.79	595.34	909.17	325.29	660.68	540.19	571.05	629.35	503.95	249.73	575.03	713.11	693.58	381.68	373.81	480.04	239.52	301.33	1073.91	656.11	387.02	813.63	583.07	624.99	137.14	248.0	429.54	909.17	941.27	1233.75	698.41	497.0	3665.02	1259.69
RALGDS	4210.15	3690.52	4481.23	612.11	775.05	748.61	743.43	947.83	2047.0	1183.45	802.41	896.64	928.3	921.88	796.86	698.41	1250.98	1487.87	921.88	830.75	1286.18	733.19	466.88	775.05	2434.5	1498.22	457.25	860.08	551.56	1397.83	1498.22	599.49	872.1	1551.09	563.18	1199.98	896.64	1388.16	780.44	921.88	884.29	713.11	1104.13	860.08	941.27	647.07	753.83	713.11	723.08	629.35	1159.07	759.08	511.0	780.44	915.51	1119.56	1199.98	579.04	819.3	2664.15	1104.13	684.02	698.41	2133.97	2796.65
RARA	4903.87	2796.65	2502.97	186.4	454.09	194.36	132.44	414.87	480.04	555.41	447.82	503.95	384.34	819.3	285.03	234.57	713.11	1008.9	323.03	265.87	703.28	503.95	221.86	150.17	1066.48	409.15	173.85	195.72	387.02	708.18	791.35	483.38	285.03	961.07	356.05	624.99	343.89	567.1	473.41	540.19	255.0	84.04	825.0	285.03	194.36	325.29	211.31	301.33	289.02	204.07	603.67	312.0	299.25	684.02	299.25	387.02	332.14	291.04	336.79	785.88	759.08	432.53	320.8	1674.06	1923.14
RCAN1	6079.61	3540.14	2701.35	178.77	339.14	279.14	256.78	251.48	616.37	738.29	392.44	571.05	738.29	796.86	255.0	232.94	406.31	1208.34	1143.1	237.86	2119.22	532.74	248.0	260.38	1167.14	269.6	232.94	232.94	733.19	1769.57	1119.56	239.52	287.01	1119.56	171.45	463.65	332.14	381.68	547.75	420.68	102.25	218.79	860.08	175.07	248.0	191.67	167.9	181.28	351.14	137.14	309.83	171.45	329.84	567.1	151.22	176.29	161.02	255.0	329.84	759.08	1143.1	384.34	420.68	1250.98	2271.4
RELB	1583.71	1508.65	3039.3	256.78	291.04	62.12	291.04	183.82	373.81	1225.22	212.78	420.68	194.36	332.14	198.47	267.73	521.76	403.5	220.32	150.17	463.65	361.04	163.28	148.09	947.83	403.5	144.01	181.28	125.24	514.56	748.61	423.61	209.84	536.45	189.02	336.79	229.72	514.56	195.72	220.32	167.9	125.24	429.54	226.54	131.51	204.07	169.07	231.32	146.03	217.27	728.11	185.11	121.79	423.61	175.07	251.48	206.94	84.04	134.3	389.72	368.65	173.85	260.38	954.43	1963.57
RELT	371.22	260.38	406.31	13.62	25.91	9.34	16.39	13.83	47.17	80.57	41.81	29.06	31.45	66.65	16.15	18.16	67.59	43.63	28.86	17.38	50.63	40.93	13.12	9.63	136.19	35.5	15.22	22.59	18.7	71.5	82.87	26.47	34.75	82.87	16.39	52.82	34.51	44.89	29.48	32.36	13.03	8.19	50.98	22.26	9.78	18.56	14.67	8.19	17.38	30.34	38.4	29.91	13.62	27.84	37.05	15.0	12.74	16.39	13.62	76.71	23.76	19.11	10.96	260.38	178.77
RGS16	1832.01	3955.48	1923.14	9.41	90.14	5.96	10.71	11.38	231.32	90.77	73.54	187.71	71.0	181.28	8.51	12.45	84.63	460.44	151.22	14.14	107.38	140.04	35.0	11.47	525.39	444.72	2.71	8.32	57.49	473.41	183.82	32.82	24.46	327.56	6.73	189.02	31.9	59.13	73.54	175.07	7.4	5.92	156.59	23.25	3.89	15.22	7.34	5.87	14.14	31.45	58.3	147.06	33.3	150.17	40.07	5.19	9.27	7.88	20.26	323.03	224.97	26.28	16.27	1685.71	1008.9
RND1	1674.06	2875.3	6840.04	39.22	285.03	57.89	156.59	44.89	1963.57	218.79	234.57	1295.13	82.87	890.44	49.91	66.65	68.07	616.37	808.0	37.85	591.22	211.31	73.54	23.59	1242.34	603.67	51.71	40.93	134.3	1457.23	435.55	38.12	38.67	334.46	63.89	500.46	149.12	121.79	129.69	575.03	12.09	17.77	490.14	106.63	42.41	113.56	43.02	30.34	40.64	52.82	220.32	460.44	84.04	400.71	59.13	26.86	49.56	30.12	85.22	921.88	647.07	165.57	80.01	1936.53	813.63
RNF122	1819.35	1477.58	1350.18	66.18	96.68	53.57	110.43	109.66	348.71	145.02	102.25	155.5	79.45	441.64	81.14	79.45	135.24	511.0	195.72	85.82	291.04	242.88	89.51	75.64	988.12	195.72	68.07	45.53	153.34	723.08	295.11	72.01	76.17	490.14	99.43	111.21	82.87	66.18	145.02	236.21	34.02	47.5	361.04	103.69	71.0	48.18	71.5	28.86	92.05	71.0	104.42	143.01	114.36	198.47	145.02	31.67	83.45	105.15	90.77	400.71	341.51	159.9	136.19	412.0	1331.57
RNF19B	1806.78	733.19	1233.75	229.72	281.09	226.54	248.0	211.31	941.27	775.05	309.83	341.51	314.17	444.72	271.48	275.28	267.73	708.18	323.03	258.57	718.08	497.0	232.94	234.57	902.89	518.15	189.02	221.86	256.78	642.59	769.69	291.04	309.83	511.0	271.48	389.72	323.03	395.18	246.28	412.0	212.78	236.21	583.07	211.31	214.27	205.5	239.52	169.07	281.09	221.86	563.18	320.8	265.87	392.44	226.54	223.41	218.79	339.14	287.01	703.28	532.74	332.14	336.79	624.99	1331.57
SBNO2	3982.99	2367.9	3665.02	198.47	441.64	371.22	693.58	403.5	1583.71	2997.45	563.18	802.41	633.73	988.12	307.69	599.49	1216.75	909.17	819.3	249.73	915.51	1417.35	444.72	599.49	2796.65	764.36	312.0	647.07	287.01	1498.22	1208.34	536.45	595.34	1037.29	301.33	947.83	500.46	909.17	703.28	684.02	426.57	195.72	1127.35	872.1	460.44	583.07	353.59	237.86	403.5	728.11	2018.8	470.14	327.56	656.11	679.29	679.29	432.53	295.11	406.31	1199.98	555.41	271.48	260.38	1427.22	2915.45
SELE	525.39	836.53	3325.99	9.63	483.38	5.23	17.51	52.45	819.3	269.6	172.65	525.39	242.88	1388.16	24.28	28.04	81.71	1508.65	486.75	21.78	202.66	713.11	124.37	42.11	1794.29	775.05	2.23	12.0	218.79	1519.15	444.72	41.81	30.78	802.41	8.71	674.59	38.12	92.7	221.86	607.87	6.01	4.24	743.43	34.02	2.16	55.49	26.47	3.69	36.27	61.25	36.53	395.18	106.63	387.02	91.41	1.33	4.46	53.19	85.82	2287.2	1096.5	305.55	30.12	2163.77	2976.74
SERPINB9	1225.22	1159.07	1936.53	17.9	48.18	6.89	9.7	33.78	59.97	75.11	63.89	54.72	52.82	88.26	22.92	47.84	77.25	148.09	36.27	25.54	126.12	48.87	19.82	26.67	139.07	55.89	21.94	31.9	80.57	165.57	79.45	30.12	59.97	139.07	19.82	82.29	44.89	46.5	89.51	113.56	10.08	10.55	122.64	20.26	35.5	22.75	27.05	15.11	32.59	17.77	66.18	33.3	39.79	69.52	27.84	13.12	17.64	43.63	48.87	103.69	62.12	84.04	29.27	426.57	371.22
SERPINE1	19214.73	9606.86	24321.43	135.24	159.9	46.84	98.73	220.32	1096.5	1923.14	105.89	2319.15	1044.52	981.29	78.34	53.57	460.44	1572.76	1175.27	57.08	5366.37	1340.84	78.34	31.45	2240.11	466.88	67.59	16.63	444.72	1594.73	5594.3	26.67	40.36	1639.59	55.89	454.09	251.48	1015.93	1819.35	1950.0	27.64	43.02	320.8	61.68	40.64	101.54	32.82	13.32	500.46	142.01	1561.89	129.69	314.17	842.36	98.73	65.26	13.42	11.82	156.59	514.56	371.22	72.01	21.32	12160.22	1685.71
SERTAD1	3103.19	1175.27	2777.33	466.88	334.46	182.55	674.59	351.14	1605.83	785.88	341.51	1561.89	332.14	674.59	241.19	244.57	353.59	967.76	2555.58	346.29	1594.73	1119.56	332.14	215.77	1594.73	896.64	237.86	182.55	248.0	1757.34	1709.26	507.46	295.11	921.88	325.29	490.14	332.14	733.19	575.03	854.13	161.02	237.86	842.36	341.51	183.82	409.15	199.85	255.0	236.21	414.87	872.1	718.08	703.28	902.89	414.87	159.9	167.9	237.86	381.68	909.17	1111.82	318.57	417.77	1594.73	1388.16
SLC10A6	34.51	21.47	24.28	2.68	5.63	4.43	9.06	6.21	11.82	18.16	2.58	5.28	4.66	9.41	3.35	3.53	21.01	29.91	11.04	1.43	63.89	10.55	2.46	0.75	29.91	2.51	12.55	2.81	3.41	19.39	25.17	1.75	1.45	16.51	3.14	8.45	10.39	29.48	10.63	23.42	3.47	3.96	10.08	15.11	2.46	2.81	2.1	0.0	5.77	3.47	10.96	4.74	5.11	11.55	4.17	0.96	3.03	1.38	5.63	8.99	4.74	5.06	1.41	40.93	18.43
SLC16A3	4095.0	981.29	2255.7	94.67	204.07	38.95	18.29	96.01	363.56	463.65	128.79	190.34	178.77	490.14	94.01	71.0	366.09	320.8	137.14	89.51	381.68	231.32	70.01	96.01	441.64	305.55	64.34	84.04	148.09	320.8	591.22	358.54	341.51	397.93	163.28	376.41	180.02	275.28	234.57	356.05	44.57	21.32	336.79	99.43	104.42	87.03	85.22	53.95	125.24	80.57	307.69	146.03	119.26	450.94	152.28	106.63	60.82	77.79	209.84	866.07	189.02	205.5	275.28	2591.27	1350.18
