	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
LRRN4CL	12.36	256.78	559.28	92.05	78.89	79.45	71.5	58.71	28.86	24.81	76.17	104.42	68.55	373.81	66.65	126.12	71.0	32.13	78.89	543.96	42.11	65.72	56.28	339.14	56.28	57.89	368.65	242.88	45.21	140.04	25.17	45.85	98.73	117.6	144.01	38.4	223.41	24.99	70.51	20.56	50.98	115.97	33.78	58.71	41.22	119.26	24.46	129.69	46.5	229.72	102.25	84.04	95.34	58.3	101.54	52.45	52.08	40.07	19.82	275.28	33.78	108.14	27.84	34.02	142.01	34.75	42.11	61.25	103.69	151.22	31.0	32.82	106.63	21.94	37.85	157.68	50.98	64.34	27.64	132.44	171.45	48.52	101.54	115.97	76.71	224.97	182.55	82.87	132.44	358.54	16.15	183.82	46.84	17.51	521.76	392.44
LRRTM4	0.0	6.62	15.0	3.66	2.53	3.2	1.68	0.71	1.41	0.37	0.95	1.23	1.0	13.62	2.73	2.73	0.96	0.71	3.82	21.78	0.4	0.0	1.27	15.68	0.69	3.29	11.73	4.1	0.36	2.41	0.72	2.23	4.31	3.03	5.28	1.0	4.17	0.66	1.07	0.99	0.68	2.56	0.95	0.67	1.5	2.46	1.39	0.75	1.04	4.58	1.6	1.3	3.41	2.07	3.0	0.0	0.0	0.67	0.39	19.97	0.68	3.03	0.37	0.0	5.5	0.78	0.93	1.23	0.0	3.72	0.0	0.39	5.32	0.67	1.38	5.73	0.37	0.67	1.22	4.28	2.51	2.01	1.43	0.67	1.38	2.23	7.88	4.86	4.39	8.71	0.68	8.92	1.33	0.0	10.88	35.76
LYPD1	3.53	47.84	123.5	12.64	13.83	15.91	13.93	6.84	2.94	8.99	27.64	4.82	16.27	108.9	29.48	34.75	18.43	6.06	24.28	248.0	6.94	1.66	10.47	312.0	5.02	27.25	180.02	55.1	17.38	24.81	9.48	6.16	31.9	41.52	48.18	8.13	77.79	17.64	11.82	5.19	1.71	28.04	7.88	8.65	9.63	24.11	13.03	27.64	11.55	51.71	31.45	7.17	42.71	5.77	17.64	5.23	5.68	1.13	9.41	86.43	21.16	26.28	6.52	16.27	60.82	7.22	3.56	11.47	31.67	45.85	5.28	11.3	36.27	59.13	11.73	15.45	7.4	5.54	14.14	61.68	50.98	6.16	25.91	35.25	57.08	24.28	93.35	22.59	88.26	151.22	2.76	135.24	9.34	8.92	198.47	69.03
MAB21L1	2.84	30.56	140.04	5.5	7.17	10.08	7.94	5.87	5.54	6.52	6.57	4.58	7.11	24.46	8.32	18.29	9.41	3.59	8.32	50.27	3.23	7.69	6.31	53.57	5.5	9.2	53.95	23.59	5.5	10.71	2.56	3.63	14.45	18.56	25.72	9.2	15.68	2.86	14.14	6.11	5.92	10.88	2.61	10.24	6.26	15.68	5.36	13.62	3.96	19.39	14.03	5.5	14.56	9.63	10.96	1.69	4.94	7.06	3.17	49.91	6.31	7.69	6.26	5.63	21.47	5.59	5.36	5.5	6.62	19.53	6.36	2.78	12.83	2.66	9.41	14.45	3.44	9.7	5.82	24.46	22.43	5.87	17.77	11.13	8.25	15.34	26.1	23.42	26.1	34.51	3.76	29.06	5.36	2.36	50.98	93.35
MAMSTR	8.92	67.12	323.03	15.8	23.59	27.64	24.11	13.32	31.0	16.75	28.24	19.97	24.46	108.14	24.63	37.05	21.16	7.17	22.1	71.5	12.83	8.25	19.39	46.18	7.88	25.17	66.18	61.25	25.35	31.67	11.91	9.48	31.9	25.35	44.57	13.03	24.63	6.73	20.26	11.3	23.76	21.94	6.46	26.67	25.72	29.7	14.45	27.64	13.83	43.94	20.26	24.63	23.25	14.67	23.93	6.46	14.78	12.74	6.01	79.45	9.78	15.45	5.02	13.22	33.54	10.55	18.16	13.83	11.91	25.35	19.39	11.91	21.32	12.0	9.41	42.11	7.94	13.52	10.0	28.45	47.5	8.71	22.1	14.45	23.59	60.39	36.01	23.76	24.81	28.86	17.38	35.76	8.32	9.06	118.43	105.89
MAPK10	16.63	226.54	265.87	89.51	78.34	91.41	87.65	50.63	34.75	41.22	82.87	88.26	73.54	193.01	61.68	102.25	59.13	31.0	85.82	262.2	41.52	77.25	59.55	244.57	43.32	101.54	297.17	186.4	43.94	80.01	27.44	63.45	50.98	117.6	127.89	24.63	90.14	38.12	82.29	27.84	63.0	62.56	40.93	69.03	48.18	102.25	28.45	68.55	64.34	129.69	105.15	91.41	87.65	49.21	88.26	37.32	40.07	46.18	23.42	532.74	23.42	60.39	36.27	53.57	115.97	38.67	115.16	64.8	81.71	138.1	43.94	49.21	68.07	32.13	31.67	98.73	45.85	72.01	45.21	195.72	94.01	20.26	60.82	122.64	51.71	155.5	228.13	118.43	108.9	241.19	42.71	218.79	44.25	28.65	366.09	277.2
MCC	12.0	68.55	110.43	26.67	20.26	37.05	21.47	18.97	10.55	19.97	21.94	28.65	35.5	71.0	36.27	33.78	17.13	11.13	40.64	191.67	36.01	22.26	16.75	111.99	25.17	34.02	133.36	42.71	12.83	35.76	7.28	24.81	26.1	49.91	43.32	14.89	33.3	14.14	29.91	25.35	30.78	19.68	17.64	34.75	34.02	33.3	6.84	27.64	25.35	41.22	42.71	30.34	53.57	19.53	37.05	33.3	15.8	17.9	13.93	177.53	17.25	31.67	12.18	24.11	38.95	11.3	22.92	20.41	28.24	39.5	19.82	14.78	28.65	13.52	9.27	43.32	11.73	24.11	13.93	51.35	42.11	15.34	31.45	29.91	28.86	50.98	85.82	54.72	33.3	139.07	18.29	58.71	24.11	9.06	170.25	103.69
MCPH1	118.43	167.9	173.85	105.89	91.41	115.97	133.36	105.89	52.45	91.41	175.07	117.6	154.42	115.16	111.99	161.02	92.7	88.88	129.69	132.44	98.73	75.11	64.8	185.11	110.43	105.89	197.09	133.36	106.63	121.79	72.01	81.71	121.79	148.09	197.09	84.04	172.65	86.43	109.66	131.51	118.43	72.52	90.14	107.38	105.15	204.07	93.35	108.9	96.68	161.02	156.59	111.99	162.14	103.69	120.94	115.97	68.55	82.87	96.68	173.85	105.89	80.01	73.03	106.63	182.55	99.43	107.38	146.03	106.63	150.17	75.11	90.14	153.34	70.01	115.97	133.36	103.69	92.7	85.22	165.57	165.57	94.67	140.04	108.9	108.9	175.07	180.02	244.57	232.94	156.59	98.04	205.5	102.25	75.64	159.9	218.79
MEOX2	3.82	81.71	253.23	15.22	19.11	37.32	26.86	2.78	5.36	4.54	31.0	16.51	23.42	260.38	21.01	25.54	7.57	7.82	32.82	473.41	5.92	10.0	10.24	119.26	8.99	24.11	297.17	100.13	11.38	34.02	4.62	7.17	28.24	51.35	34.75	12.64	39.79	3.0	24.63	3.59	6.84	16.63	2.73	18.43	11.64	12.18	2.41	29.7	9.41	70.01	25.72	20.56	44.89	14.45	20.86	4.9	4.35	3.72	5.77	363.56	9.27	15.68	4.28	7.11	95.34	3.96	14.14	9.2	16.03	31.22	3.96	5.5	48.52	5.15	6.31	41.81	4.28	21.32	1.57	78.34	44.57	3.99	35.5	23.93	27.64	59.55	98.04	58.71	36.27	99.43	8.85	64.8	7.88	1.64	198.47	309.83
MPDZ	23.25	435.55	1340.84	52.08	52.45	130.6	80.01	33.54	21.01	45.21	88.88	88.26	141.02	389.72	127.89	154.42	82.87	26.47	121.79	358.54	30.56	53.19	67.59	312.0	70.51	90.14	318.57	332.14	85.22	191.67	16.15	36.79	140.04	228.13	309.83	36.27	202.66	35.0	110.43	34.51	34.51	88.88	23.93	72.01	44.25	176.29	43.32	173.85	32.36	283.05	134.3	68.07	149.12	73.03	145.02	41.22	32.82	33.06	19.82	320.8	49.56	99.43	33.3	51.71	211.31	24.28	41.22	93.35	94.01	258.57	43.63	35.76	186.4	42.71	75.64	152.28	26.47	77.79	28.24	251.48	241.19	32.36	134.3	164.42	62.12	182.55	277.2	183.82	271.48	275.28	38.67	327.56	63.0	27.84	808.0	1208.34
MPPED2	3.59	148.09	473.41	6.89	10.96	23.42	18.16	4.98	4.31	2.71	14.89	12.27	17.38	78.34	27.44	18.56	23.93	2.58	27.64	102.25	5.19	10.39	5.82	106.63	14.56	18.97	102.97	55.49	16.03	28.45	3.14	5.45	31.67	36.79	48.87	2.32	52.08	4.62	20.56	1.28	4.58	13.52	6.67	8.19	9.06	26.47	1.39	28.24	8.38	43.02	18.16	17.0	27.64	9.34	32.36	6.16	2.97	5.06	5.36	124.37	11.21	21.32	4.5	5.19	74.06	3.14	0.45	6.89	27.44	42.71	6.62	3.99	27.05	2.89	6.73	28.65	4.28	6.16	6.16	28.04	43.02	8.85	21.32	25.54	24.46	49.91	77.79	26.28	38.95	62.12	4.13	52.45	5.41	4.03	173.85	426.57
MTERFD3	167.9	305.55	387.02	223.41	202.66	215.77	178.77	128.79	138.1	223.41	229.72	181.28	275.28	368.65	251.48	273.37	248.0	172.65	224.97	389.72	206.94	239.52	162.14	563.18	277.2	199.85	493.56	234.57	195.72	289.02	182.55	206.94	204.07	318.57	246.28	178.77	293.07	205.5	249.73	176.29	201.25	185.11	155.5	112.77	187.71	253.23	151.22	244.57	198.47	346.29	351.14	191.67	234.57	249.73	253.23	205.5	161.02	163.28	211.31	406.31	237.86	218.79	172.65	232.94	287.01	183.82	217.27	191.67	197.09	289.02	135.24	262.2	279.14	194.36	173.85	242.88	212.78	246.28	228.13	277.2	299.25	239.52	320.8	267.73	211.31	264.03	392.44	275.28	299.25	351.14	121.79	361.04	251.48	167.9	656.11	651.58
MYT1L	0.87	7.46	34.51	0.0	2.23	3.23	2.97	0.34	0.79	3.41	0.31	0.84	3.29	4.39	7.17	4.82	2.29	1.43	1.81	4.35	1.51	1.87	1.87	10.39	2.39	2.01	2.32	4.9	2.27	3.03	0.34	0.92	3.96	6.84	12.0	1.16	4.28	0.31	5.06	0.6	1.14	3.32	0.31	0.85	0.83	4.39	1.23	3.06	1.2	10.24	4.03	3.06	1.75	1.6	3.96	0.34	0.88	0.85	0.35	9.48	0.32	1.43	0.32	1.45	3.41	0.69	2.01	2.51	4.1	8.13	0.82	1.17	3.76	0.59	2.76	1.91	0.0	0.59	0.31	3.72	4.46	1.23	3.08	2.76	1.5	3.14	13.32	6.11	9.7	5.54	0.6	10.08	2.43	4.9	6.94	7.82
NAALAD2	3.03	25.35	43.63	7.0	11.73	17.77	16.15	8.19	9.27	5.15	14.35	17.38	15.8	43.94	18.16	10.71	10.47	5.36	20.41	62.12	8.19	13.03	6.41	45.53	9.27	19.82	65.26	27.25	11.3	13.32	12.0	8.92	10.16	21.01	11.82	5.32	12.64	3.32	12.36	9.13	9.93	9.34	5.82	11.04	12.55	16.15	4.24	12.55	9.41	25.35	18.43	12.45	17.9	8.32	13.22	4.31	8.92	5.92	6.26	87.03	9.63	11.82	8.78	6.73	17.0	4.94	10.47	11.82	9.56	21.78	6.57	6.89	19.82	7.11	5.11	36.53	11.13	11.82	2.61	31.9	15.68	6.11	12.09	10.71	15.91	33.3	71.0	18.29	14.35	35.25	9.7	24.99	7.34	4.24	100.83	90.14
NIM1	3.82	31.45	109.66	10.39	8.45	8.58	5.06	4.03	3.08	2.51	8.13	3.11	6.11	28.86	6.78	11.3	6.26	5.77	7.17	30.12	3.76	9.13	5.77	32.36	7.51	6.67	43.63	17.51	5.63	9.78	4.1	4.98	12.09	18.7	17.9	2.81	11.64	5.41	8.0	6.41	1.57	9.2	4.58	8.06	6.11	18.03	5.15	10.47	5.92	13.12	18.03	2.56	7.28	6.46	7.0	8.19	2.53	3.79	4.62	45.53	4.94	7.22	4.28	6.21	12.83	6.11	3.66	3.56	6.46	21.63	5.77	4.66	5.5	4.62	4.62	6.67	5.73	6.11	5.92	10.71	15.45	3.72	9.7	11.64	9.2	14.35	16.88	15.56	15.34	29.7	4.78	13.03	7.46	3.26	75.11	38.12
NKAIN4	4.98	15.0	63.45	3.99	3.23	3.44	4.35	2.1	0.0	0.52	1.71	4.46	10.31	31.45	11.38	6.21	4.74	0.78	2.92	36.01	6.01	2.84	4.43	54.33	0.32	7.94	58.3	18.43	2.32	7.22	0.0	2.34	8.0	12.55	17.51	0.77	12.18	0.91	10.39	0.0	0.53	4.66	0.0	2.76	2.27	6.62	1.53	3.14	2.14	21.01	11.04	5.73	8.58	6.06	10.55	0.11	0.3	2.14	1.51	36.53	1.16	11.73	2.78	10.96	9.7	1.64	4.94	3.72	3.47	22.92	1.83	1.2	4.98	0.0	1.95	5.32	3.0	4.74	0.88	8.58	12.18	0.0	7.22	16.88	1.51	11.21	31.67	13.42	12.45	13.03	3.66	19.97	1.22	0.13	25.91	44.25
NOX4	2.71	11.73	62.56	2.58	2.97	3.82	2.2	0.0	1.45	2.01	2.46	3.17	8.51	69.03	11.13	4.13	5.96	0.78	3.35	37.05	0.0	3.26	2.2	54.72	2.63	5.59	22.26	28.24	4.74	10.88	0.0	0.0	2.1	7.63	6.26	1.53	27.25	1.06	3.03	0.0	2.61	5.68	0.51	5.11	0.85	3.59	0.64	6.57	2.76	16.27	10.08	4.1	6.36	2.51	2.66	0.0	0.0	2.14	0.83	12.18	7.82	2.12	0.72	0.79	10.47	0.92	1.91	8.58	7.88	4.58	0.83	0.58	5.02	3.2	0.62	5.5	1.28	4.43	0.68	1.71	15.34	0.85	5.92	11.82	3.2	6.26	37.05	10.31	2.53	54.72	0.55	4.5	0.99	0.0	77.25	43.32
NPTXR	6.62	198.47	934.76	14.45	17.9	50.63	30.78	7.17	6.31	10.88	30.78	29.06	53.57	214.27	53.19	100.13	27.64	3.76	52.82	116.78	9.13	17.25	23.59	208.38	22.1	40.36	135.24	162.14	27.84	67.12	4.86	10.55	49.21	99.43	145.02	9.41	136.19	12.64	59.13	6.06	8.85	37.32	5.59	15.22	14.67	80.57	6.11	62.12	9.41	143.01	40.36	25.54	65.26	20.26	59.55	7.51	10.16	8.51	3.14	152.28	17.0	34.75	6.73	19.82	83.45	7.17	10.08	21.01	54.33	87.65	15.8	5.87	74.58	7.0	14.14	52.45	7.34	16.63	4.78	94.67	102.25	7.34	64.8	48.87	25.91	96.68	123.5	62.12	107.38	82.87	6.06	141.02	10.88	4.06	248.0	295.11
NTM	4.35	170.25	780.44	27.64	34.26	56.68	57.08	13.03	21.47	9.41	55.89	63.45	55.49	343.89	74.58	156.59	58.3	12.0	94.01	665.29	23.93	21.32	38.67	320.8	25.72	92.7	665.29	76.71	13.52	43.02	4.86	16.27	67.59	103.69	73.03	11.82	221.86	6.94	40.64	28.86	11.13	27.64	15.45	28.45	33.78	64.8	6.52	49.21	17.0	334.46	73.54	55.49	114.36	18.43	53.57	14.45	8.38	10.79	11.82	603.67	41.81	48.52	11.82	28.86	133.36	17.9	20.41	31.9	77.79	89.51	24.81	10.55	135.24	11.91	15.0	119.26	11.38	19.39	17.13	98.73	115.16	17.0	52.45	69.03	88.26	242.88	293.07	49.56	81.14	432.53	9.78	260.38	24.28	8.78	988.12	780.44
NTNG1	2.51	21.47	802.41	1.11	2.78	8.71	6.67	2.18	1.66	0.97	3.53	3.06	11.82	47.84	8.0	22.1	3.08	1.01	29.91	14.03	1.07	2.1	3.38	10.16	3.72	21.63	9.7	11.38	7.17	18.56	1.64	2.2	19.25	18.84	34.51	5.92	6.84	4.24	8.71	0.0	6.31	15.11	1.75	8.78	1.73	18.29	1.06	13.22	0.72	22.92	7.82	3.72	3.35	5.23	26.86	2.2	0.97	2.32	1.97	25.35	1.55	6.01	1.25	2.46	19.53	1.77	1.73	6.78	7.46	10.71	0.64	0.38	14.45	1.79	6.73	11.21	6.67	10.63	1.73	13.83	9.78	1.38	6.16	4.78	7.94	9.13	36.53	15.8	16.51	8.51	0.68	18.16	1.31	1.38	32.59	327.56
OGN	29.91	753.83	1757.34	134.3	95.34	529.06	231.32	62.56	59.13	74.06	262.2	217.27	167.9	3081.75	147.06	96.01	140.04	20.41	366.09	3690.52	51.35	450.94	33.06	1674.06	98.73	211.31	2520.38	743.43	103.69	204.07	28.24	129.69	143.01	723.08	563.18	123.5	305.55	56.28	264.03	37.85	166.73	194.36	31.9	128.79	149.12	289.02	14.14	262.2	41.22	656.11	209.84	214.27	195.72	231.32	318.57	46.84	47.84	60.39	19.53	3168.41	115.16	183.82	36.01	70.51	693.58	42.41	103.69	185.11	218.79	612.11	11.82	20.71	684.02	48.87	22.92	780.44	112.77	165.57	26.1	684.02	518.15	61.68	170.25	123.5	356.05	1008.9	1001.93	457.25	251.48	1304.15	41.81	909.17	55.49	11.04	2417.67	2537.92
PAMR1	16.39	423.61	780.44	134.3	156.59	206.94	142.01	146.03	98.73	67.59	221.86	220.32	86.43	460.44	98.73	117.6	146.03	81.71	111.99	688.78	31.0	94.67	49.56	603.67	91.41	126.12	902.89	454.09	76.17	128.79	38.4	108.9	109.66	159.9	190.34	79.45	414.87	58.71	114.36	36.27	81.14	120.1	69.03	175.07	104.42	116.78	70.01	140.04	89.51	185.11	97.36	115.97	132.44	105.15	189.02	87.65	90.14	102.25	33.54	540.19	59.55	170.25	68.55	59.97	361.04	48.52	96.68	152.28	159.9	236.21	60.82	63.45	135.24	35.5	40.36	195.72	98.04	133.36	49.91	285.03	223.41	49.56	127.89	151.22	166.73	463.65	454.09	94.67	177.53	470.14	66.18	135.24	123.5	55.1	256.78	423.61
PAQR7	42.71	153.34	217.27	70.51	73.54	103.69	65.26	72.01	62.12	63.45	84.04	77.79	47.17	152.28	74.58	88.26	74.06	46.84	74.06	115.16	61.68	46.5	49.91	149.12	50.27	83.45	116.78	153.34	47.17	82.87	27.05	51.35	98.04	87.03	84.63	57.49	100.83	51.71	79.45	51.71	53.57	68.55	38.12	37.32	59.13	82.29	51.35	69.52	72.52	102.25	98.04	73.54	87.65	63.45	75.64	53.19	55.89	46.84	36.01	139.07	61.68	59.13	41.22	52.45	115.97	48.87	57.89	62.12	69.52	78.34	44.89	54.33	79.45	29.7	48.18	85.82	67.59	56.68	43.94	92.05	82.29	38.95	84.04	75.64	53.19	117.6	147.06	74.58	113.56	142.01	57.49	141.02	66.65	55.49	173.85	190.34
PBX3	44.89	769.69	3372.43	103.69	151.22	289.02	226.54	120.1	67.59	90.14	256.78	226.54	249.73	860.08	291.04	368.65	170.25	80.57	309.83	796.86	98.04	118.43	178.77	860.08	141.02	236.21	830.75	480.04	175.07	356.05	73.54	105.15	239.52	441.64	583.07	96.01	629.35	76.71	237.86	87.65	119.26	212.78	80.01	182.55	153.34	387.02	90.14	409.15	88.88	514.56	187.71	215.77	307.69	151.22	323.03	102.97	94.01	98.04	88.88	769.69	115.97	201.25	73.54	166.73	381.68	98.73	113.56	140.04	248.0	518.15	105.15	99.43	414.87	84.63	134.3	305.55	89.51	115.97	85.82	435.55	423.61	98.04	265.87	256.78	217.27	438.59	540.19	351.14	483.38	547.75	125.24	708.18	130.6	56.68	961.07	2240.11
PCDH18	27.05	314.17	579.04	183.82	105.15	309.83	102.25	80.01	39.22	67.12	134.3	105.89	175.07	466.88	108.9	209.84	98.04	36.27	244.57	514.56	67.12	57.08	127.0	371.22	42.41	173.85	395.18	253.23	96.01	191.67	29.7	111.21	236.21	241.19	301.33	38.67	329.84	42.11	105.15	59.55	72.01	88.88	40.64	223.41	120.1	132.44	35.5	145.02	103.69	193.01	125.24	206.94	165.57	81.14	236.21	117.6	113.56	111.21	48.87	343.89	77.79	116.78	40.93	66.18	221.86	55.89	100.83	67.12	209.84	231.32	76.17	76.71	223.41	37.05	38.67	260.38	28.04	65.72	57.49	316.37	152.28	57.89	130.6	165.57	94.01	441.64	435.55	198.47	191.67	414.87	146.03	363.56	84.63	36.01	84.63	708.18
PCDHA3	2.34	10.31	38.67	1.93	1.1	4.24	5.5	3.2	1.16	1.6	5.45	3.23	6.36	16.51	2.86	1.35	3.56	3.5	3.53	19.53	1.46	3.59	3.06	10.55	2.25	2.63	12.09	12.27	2.12	1.03	0.78	1.69	4.94	5.59	15.68	0.74	6.94	1.83	5.54	0.73	0.42	1.53	0.0	3.0	1.51	10.0	1.13	5.02	0.78	3.69	5.11	4.9	2.68	4.98	8.78	1.71	3.66	2.97	1.75	6.26	2.76	2.58	0.71	1.68	9.41	2.23	4.24	4.1	6.89	7.75	4.17	1.68	4.66	3.86	1.11	5.77	1.58	2.73	1.23	3.14	10.16	2.41	7.69	4.43	4.9	12.27	11.55	5.82	6.89	16.63	2.2	9.41	2.61	1.79	24.46	18.03
PCDHB13	13.52	27.64	55.1	16.39	8.45	29.7	19.82	4.24	5.02	4.86	15.34	11.73	15.22	36.01	19.82	18.7	15.56	6.78	21.01	35.0	6.31	6.01	12.27	26.86	5.36	14.24	31.22	21.94	23.42	23.76	0.89	12.0	11.3	19.82	36.79	2.97	22.43	4.7	15.0	9.48	9.2	12.09	6.16	8.19	10.79	19.97	3.92	10.88	9.93	29.48	11.82	12.64	17.64	10.88	15.45	4.98	5.54	5.02	9.41	45.85	12.27	13.32	8.99	13.83	19.97	7.88	15.22	10.08	17.13	31.9	5.82	12.93	19.53	10.55	6.16	11.82	2.01	6.94	1.39	13.83	13.93	4.54	16.51	10.96	16.51	25.17	21.63	15.68	18.29	36.53	5.23	24.63	17.38	4.62	40.07	38.95
PCDHB14	43.02	98.73	166.73	50.27	47.84	55.89	34.51	22.1	21.47	18.29	36.53	42.41	39.79	93.35	58.3	58.71	27.25	26.86	42.71	114.36	13.52	35.25	28.24	92.05	20.56	29.7	79.45	71.5	33.06	59.13	18.56	25.54	47.5	57.49	85.22	17.9	56.28	18.43	39.22	30.56	29.48	29.27	14.45	19.53	27.05	64.8	20.86	38.95	20.56	72.52	45.53	28.65	35.25	32.82	50.63	29.48	17.51	10.71	24.46	95.34	36.01	35.76	18.84	35.0	57.08	20.71	22.92	24.28	44.89	92.7	16.03	35.5	61.25	19.25	23.59	44.57	15.34	24.81	9.06	36.53	47.5	19.25	50.63	46.84	34.75	61.25	64.34	32.82	57.49	71.5	19.97	53.95	41.52	26.1	130.6	110.43
PCDHGA3	0.0	26.47	55.89	3.89	6.11	2.92	3.56	2.86	2.39	2.51	2.97	4.78	7.69	14.35	6.06	8.51	4.46	0.51	5.11	32.59	0.97	2.36	3.08	17.77	3.17	6.41	18.03	29.91	4.58	13.72	0.53	1.31	4.9	6.16	14.45	2.41	7.46	0.25	4.24	1.22	2.73	5.63	3.14	2.84	1.31	5.68	2.84	7.57	2.92	14.78	6.26	4.13	5.54	2.1	5.5	2.51	5.73	1.55	0.0	21.63	3.26	7.11	2.51	2.07	12.18	0.61	2.36	2.43	3.5	8.58	2.81	2.05	5.87	5.92	2.58	9.34	3.63	4.5	1.13	6.06	7.57	0.0	3.11	4.31	3.0	11.3	12.74	8.99	5.82	20.56	1.99	8.58	4.03	0.15	38.67	33.06
PCDHGC4	1.07	8.92	56.28	3.44	3.17	5.41	2.01	0.47	0.0	2.61	2.16	4.1	1.71	12.18	3.44	8.19	2.73	0.91	9.06	6.16	1.41	1.73	4.7	9.06	3.41	0.21	3.99	5.15	2.89	3.53	1.57	4.06	7.22	4.9	7.82	0.24	6.73	0.64	4.78	1.87	1.3	5.06	1.97	0.85	2.32	6.89	2.68	4.46	2.39	7.28	3.79	1.71	9.7	1.45	4.17	1.36	2.81	2.36	2.23	8.71	0.44	3.29	1.27	0.25	6.41	0.79	1.39	2.53	4.43	8.85	1.91	1.33	6.57	0.84	0.73	6.16	0.66	1.45	1.01	5.19	7.34	0.27	1.68	4.17	2.63	5.5	8.92	8.13	9.13	8.71	0.0	7.75	3.11	0.0	15.22	11.91
