	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
KAT2B	113.56	88.26	242.88	73.54	56.68	144.01	226.54	127.0	56.28	21.63	159.9	72.01	0.0	212.78	107.38	249.73	260.38	285.03	299.25	379.04	265.87	232.94	733.19	181.28	318.57	371.22	981.29	1388.16	921.88	1088.92	187.71	532.74	759.08	642.59	555.41	327.56	144.01	775.05	974.5	1073.91	529.06	414.87	507.46	400.71	432.53	283.05	409.15	656.11	191.67	703.28	669.92	536.45	878.17	563.18	285.03	435.55	320.8	84.63	336.79	447.82	547.75	486.75	59.13	65.26	82.87	51.71	47.17
KIAA1191	1388.16	825.0	915.51	647.07	1081.39	1119.56	674.59	1295.13	1051.79	728.11	780.44	1806.78	1151.06	2417.67	1417.35	2351.53	1295.13	1277.29	1896.65	2468.49	1832.01	1832.01	2090.03	1628.26	1832.01	1832.01	1477.58	2163.77	3443.31	2271.4	1819.35	1950.0	2224.63	1870.53	2032.85	1447.15	1199.98	1870.53	2303.12	2303.12	2664.15	1628.26	2701.35	2434.5	1896.65	1268.46	1721.16	2468.49	1561.89	2032.85	2434.5	2090.03	2090.03	2367.9	1605.83	1529.73	1936.53	1487.87	1561.89	2303.12	1936.53	1674.06	808.0	1896.65	1844.76	1225.22	1769.57
KIAA1462	187.71	62.12	241.19	409.15	231.32	71.5	54.33	142.01	64.8	42.71	571.05	87.65	244.57	500.46	423.61	118.43	435.55	490.14	507.46	915.51	599.49	571.05	2645.74	748.61	166.73	248.0	1936.53	1909.85	3928.15	4010.71	698.41	4639.29	1662.49	1437.15	961.07	738.29	423.61	4010.71	2591.27	2018.8	3982.99	1369.04	5954.47	1594.73	2384.37	981.29	915.51	1143.1	536.45	4419.52	2255.7	3190.46	2133.97	988.12	1167.14	1001.93	1225.22	255.0	441.64	1369.04	1617.0	1378.57	63.0	43.02	141.02	42.11	99.43
KIF17	21.63	16.27	39.22	12.36	9.13	8.58	12.18	11.73	7.22	8.92	84.63	25.35	0.0	31.0	35.5	64.8	72.01	108.9	120.94	232.94	172.65	78.89	152.28	142.01	44.89	55.1	289.02	318.57	301.33	669.92	98.73	363.56	336.79	229.72	180.02	118.43	39.22	1286.18	376.41	293.07	297.17	299.25	563.18	373.81	118.43	88.26	145.02	134.3	81.14	656.11	438.59	237.86	555.41	106.63	137.14	74.58	208.38	27.84	131.51	127.0	186.4	112.77	11.91	18.16	31.45	5.28	15.34
KITLG	157.68	50.27	63.0	75.64	249.73	37.32	32.59	234.57	163.28	32.13	77.25	555.41	0.0	759.08	303.44	941.27	624.99	387.02	915.51	1059.11	633.73	500.46	860.08	624.99	543.96	511.0	3847.29	2367.9	2351.53	2664.15	327.56	500.46	3847.29	371.22	2451.44	1225.22	403.5	5633.22	3419.52	748.61	1277.29	1191.69	813.63	2004.85	988.12	647.07	698.41	684.02	909.17	1733.13	1457.23	1286.18	1794.29	1073.91	503.95	231.32	954.43	511.0	718.08	1167.14	1167.14	890.44	98.73	149.12	32.59	38.95	59.13
KLRG2	0.66	29.27	3.69	2.01	0.0	5.54	0.69	5.68	0.93	81.71	0.65	71.5	0.0	31.45	5.28	15.91	37.85	37.05	39.5	68.55	55.1	23.59	334.46	27.05	12.36	7.57	33.06	356.05	92.7	15.22	13.42	77.79	34.26	44.57	8.19	28.86	9.63	295.11	74.06	23.08	73.54	32.82	279.14	12.74	29.27	76.17	10.63	236.21	78.34	295.11	42.41	204.07	53.19	164.42	60.82	57.49	64.34	72.01	25.35	41.22	59.97	80.57	0.44	4.24	32.13	0.0	7.94
KTN1	2018.8	1073.91	1844.76	2855.44	2835.7	3395.89	1233.75	4298.64	1225.22	2240.11	2240.11	1015.93	0.0	1295.13	1628.26	1175.27	1923.14	1936.53	1883.54	1487.87	1709.26	1662.49	4903.87	1819.35	2485.67	3564.78	2520.38	4639.29	4358.66	2555.58	2468.49	2032.85	2485.67	2319.15	2434.5	1467.37	1662.49	4869.99	2627.46	3060.45	2627.46	2434.5	3564.78	3716.2	2997.45	1832.01	2255.7	3564.78	2319.15	2956.17	2287.2	2609.3	2351.53	3794.3	2591.27	3742.05	1883.54	9088.59	1806.78	2178.83	2997.45	2417.67	1674.06	1583.71	1909.85	2434.5	2240.11
LAPTM4A	3982.99	6471.02	3372.43	7537.18	5954.47	5366.37	1639.59	3794.3	3716.2	3235.01	6381.92	7966.99	0.0	8134.41	4298.64	9474.59	6792.79	5633.22	11909.94	11664.82	7966.99	12329.98	8479.89	7911.95	7032.37	10659.59	11504.21	10883.59	16045.82	10154.69	8538.88	11112.3	13968.57	7911.95	10883.59	10296.45	9151.82	16045.82	11267.44	8718.32	18560.17	11827.67	13306.94	13123.73	9673.69	7382.04	7130.55	8305.36	8479.89	11345.82	10585.95	11424.74	7382.04	12853.63	10883.59	13681.08	7180.15	5594.3	7749.1	12415.75	8778.97	8305.36	5995.9	7280.4	4736.79	3955.48	4450.27
LEPROT	890.44	921.88	470.14	620.67	967.76	785.88	215.77	785.88	368.65	483.38	890.44	1151.06	1359.57	1909.85	1081.39	2148.82	1397.83	1519.15	1745.2	2303.12	1745.2	1199.98	1769.57	1991.0	1844.76	1051.79	1651.0	3212.66	2777.33	2935.74	1208.34	1322.37	1674.06	1030.12	1896.65	2090.03	2956.17	3901.01	2061.24	2758.13	1662.49	2400.97	2555.58	3039.3	1407.55	3168.41	2090.03	1295.13	1295.13	2835.7	1529.73	1639.59	1991.0	1832.01	1769.57	2351.53	1407.55	1104.13	1745.2	2664.15	2224.63	1909.85	743.43	1175.27	684.02	507.46	497.0
LHFP	339.14	426.57	660.68	267.73	808.0	159.9	231.32	872.1	76.71	143.01	299.25	511.0	226.54	366.09	231.32	551.56	909.17	872.1	2303.12	1977.24	1407.55	1832.01	4095.0	1923.14	1073.91	1651.0	5006.93	3742.05	5219.6	5183.54	1794.29	5006.93	2777.33	2451.44	1991.0	1477.58	2417.67	4512.4	3614.55	2682.69	5076.84	3081.75	2682.69	1651.0	3146.52	2555.58	2061.24	3124.78	1159.07	3146.52	4671.57	1794.29	2434.5	3039.3	2255.7	2555.58	2224.63	255.0	1295.13	1819.35	1628.26	1340.84	217.27	186.4	423.61	69.52	309.83
LIMCH1	21.94	813.63	64.34	152.28	46.84	1191.69	43.02	106.63	38.12	165.57	51.71	463.65	0.0	693.58	260.38	403.5	1477.58	1369.04	1806.78	2133.97	1857.6	842.36	4298.64	1781.89	1359.57	4095.0	15285.81	8134.41	7280.4	10808.41	476.71	4607.24	19348.38	4450.27	1340.84	2148.82	2609.3	30785.28	15499.21	4038.61	9279.58	8363.13	8538.88	12244.81	5954.47	3716.2	2537.92	9474.59	1242.34	8247.98	10154.69	4543.8	7803.01	14663.09	3515.68	4210.15	2193.99	2434.5	1757.34	2855.44	4388.98	2875.3	36.79	86.43	44.25	55.1	327.56
LIX1L	149.12	154.42	483.38	457.25	281.09	120.1	226.54	473.41	32.36	32.36	432.53	176.29	267.73	244.57	173.85	150.17	336.79	318.57	307.69	346.29	316.37	497.0	656.11	301.33	256.78	295.11	753.83	890.44	878.17	1088.92	403.5	1015.93	688.78	669.92	738.29	651.58	389.72	813.63	854.13	842.36	967.76	1015.93	819.3	1066.48	684.02	483.38	579.04	674.59	356.05	656.11	1119.56	575.03	638.15	633.73	381.68	688.78	423.61	242.88	339.14	454.09	486.75	500.46	51.71	60.82	156.59	20.26	147.06
LNP1	20.86	21.16	38.95	15.8	33.78	57.89	26.28	42.11	32.82	21.32	68.07	33.3	0.0	52.82	20.11	31.22	62.12	40.36	109.66	157.68	65.72	73.03	80.57	167.9	32.59	34.51	176.29	107.38	109.66	121.79	32.36	320.8	125.24	113.56	61.25	84.04	150.17	351.14	198.47	68.55	147.06	221.86	61.68	228.13	69.52	56.28	72.01	119.26	54.33	94.01	339.14	88.26	97.36	45.53	64.34	63.45	126.12	39.5	55.49	134.3	92.7	78.89	16.15	102.25	15.34	10.39	25.54
LPPR4	7.28	105.15	6.67	1.11	31.0	2.43	68.55	48.87	3.72	2.34	3.76	12.09	0.0	8.32	13.93	43.94	26.86	17.9	57.08	28.24	24.81	82.29	136.19	214.27	44.25	14.45	212.78	98.73	123.5	309.83	45.53	134.3	73.54	42.41	239.52	78.34	85.22	127.89	147.06	26.86	52.82	45.85	56.28	76.17	82.29	82.29	100.83	91.41	35.0	232.94	55.1	28.45	46.18	57.08	6.46	63.0	101.54	5.28	100.83	65.26	43.32	49.21	13.83	7.4	3.79	4.86	10.08
LRRC57	267.73	559.28	221.86	120.1	262.2	283.05	204.07	316.37	320.8	149.12	251.48	312.0	0.0	409.15	198.47	414.87	264.03	368.65	224.97	320.8	277.2	217.27	426.57	392.44	173.85	305.55	212.78	316.37	343.89	460.44	293.07	242.88	414.87	307.69	305.55	403.5	262.2	450.94	503.95	432.53	343.89	450.94	371.22	332.14	176.29	603.67	309.83	279.14	236.21	603.67	318.57	563.18	336.79	191.67	249.73	269.6	435.55	334.46	314.17	341.51	435.55	346.29	246.28	277.2	409.15	194.36	239.52
LRRN3	4.7	3.47	6.26	1.97	4.21	4.28	7.51	7.28	1.19	0.47	5.23	4.28	0.0	12.83	3.2	24.28	74.58	70.51	84.04	165.57	105.15	47.5	334.46	108.9	24.63	10.31	909.17	830.75	154.42	813.63	36.01	447.82	1208.34	96.01	159.9	136.19	106.63	1044.52	775.05	271.48	191.67	226.54	384.34	155.5	305.55	79.45	63.89	101.54	66.18	460.44	587.13	208.38	454.09	120.94	102.25	31.9	299.25	4.98	68.07	299.25	221.86	125.24	3.72	1.73	12.93	1.6	1.16
MAPRE2	121.79	223.41	753.83	129.69	214.27	89.51	878.17	281.09	98.04	173.85	460.44	305.55	149.12	1832.01	314.17	197.09	543.96	540.19	575.03	669.92	480.04	743.43	1561.89	759.08	518.15	435.55	2319.15	3018.3	1857.6	1721.16	514.56	1923.14	1551.09	780.44	1977.24	567.1	438.59	2609.3	2018.8	1127.35	1674.06	1199.98	967.76	866.07	1015.93	1037.29	518.15	1617.0	529.06	1857.6	1295.13	1605.83	1175.27	1674.06	728.11	698.41	878.17	379.04	529.06	854.13	1037.29	860.08	135.24	283.05	518.15	231.32	217.27
MLTK	295.11	215.77	277.2	314.17	205.5	142.01	154.42	341.51	157.68	111.99	234.57	229.72	713.11	217.27	376.41	444.72	525.39	397.93	400.71	555.41	363.56	540.19	928.3	583.07	373.81	620.67	872.1	769.69	1119.56	1023.0	503.95	718.08	571.05	647.07	713.11	435.55	500.46	1037.29	921.88	397.93	896.64	1073.91	825.0	647.07	743.43	698.41	748.61	1583.71	579.04	872.1	1487.87	599.49	559.28	1030.12	500.46	995.0	447.82	567.1	476.71	698.41	624.99	536.45	473.41	532.74	255.0	104.42	381.68
MPP5	201.25	211.31	88.88	95.34	111.21	237.86	71.5	236.21	76.71	134.3	334.46	389.72	0.0	291.04	237.86	163.28	307.69	255.0	389.72	403.5	287.01	208.38	397.93	248.0	211.31	273.37	361.04	1044.52	480.04	361.04	277.2	299.25	460.44	256.78	470.14	229.72	267.73	866.07	460.44	361.04	376.41	249.73	329.84	432.53	165.57	417.77	287.01	612.11	204.07	595.34	371.22	507.46	223.41	291.04	371.22	295.11	283.05	260.38	295.11	463.65	470.14	412.0	141.02	190.34	223.41	165.57	153.34
MXI1	525.39	289.02	303.44	189.02	480.04	392.44	205.5	325.29	185.11	406.31	73.54	163.28	384.34	361.04	620.67	642.59	343.89	483.38	638.15	802.41	723.08	366.09	860.08	764.36	540.19	848.22	718.08	599.49	1923.14	1143.1	376.41	854.13	1030.12	967.76	381.68	813.63	384.34	1268.46	1073.91	1457.23	1250.98	915.51	1268.46	1427.22	748.61	660.68	684.02	1127.35	348.71	872.1	1806.78	947.83	819.3	612.11	571.05	633.73	684.02	1167.14	518.15	884.29	884.29	854.13	239.52	547.75	647.07	529.06	403.5
NCALD	31.22	599.49	244.57	18.56	65.26	131.51	25.72	42.71	447.82	264.03	99.43	368.65	0.0	1081.39	68.55	182.55	214.27	236.21	447.82	753.83	447.82	483.38	909.17	854.13	105.15	571.05	3820.7	3146.52	651.58	2287.2	281.09	1225.22	2319.15	909.17	571.05	279.14	325.29	2609.3	2351.53	961.07	1127.35	2119.22	753.83	351.14	1819.35	583.07	780.44	941.27	713.11	1268.46	2682.69	444.72	1277.29	928.3	947.83	733.19	476.71	43.63	376.41	633.73	603.67	429.54	165.57	234.57	51.35	146.03	813.63
NCKAP5	1.6	3.14	10.24	4.21	11.64	3.38	3.29	16.63	0.82	1.39	4.82	13.22	0.0	18.29	5.73	20.26	105.89	128.79	114.36	108.9	115.97	173.85	1561.89	217.27	265.87	392.44	563.18	1167.14	454.09	260.38	381.68	808.0	371.22	842.36	159.9	118.43	131.51	1015.93	769.69	307.69	1331.57	249.73	688.78	551.56	764.36	429.54	336.79	1844.76	182.55	796.86	447.82	389.72	392.44	1111.82	476.71	490.14	265.87	47.5	106.63	180.02	336.79	193.01	6.21	8.65	0.79	10.88	19.25
NEK7	684.02	332.14	291.04	466.88	258.57	423.61	258.57	277.2	205.5	111.99	1508.65	1037.29	0.0	1313.23	400.71	1104.13	708.18	743.43	1540.37	2061.24	1044.52	954.43	2451.44	1037.29	1313.23	1037.29	2573.36	2555.58	2163.77	2163.77	902.89	1583.71	2664.15	1259.69	1733.13	1304.15	1143.1	3690.52	2520.38	2032.85	2224.63	1529.73	1844.76	1617.0	1119.56	1286.18	1295.13	1832.01	1051.79	1896.65	1936.53	1457.23	1733.13	1519.15	1143.1	1030.12	1268.46	612.11	1073.91	2090.03	1617.0	1208.34	299.25	769.69	307.69	214.27	318.57
NMUR1	1.58	2.1	3.99	0.85	5.5	0.93	1.99	0.64	3.59	2.03	4.06	10.0	0.0	2.97	5.92	3.03	40.36	28.45	27.64	26.67	60.39	65.72	191.67	24.28	9.56	23.08	283.05	195.72	108.9	249.73	21.01	129.69	198.47	58.3	131.51	59.13	31.45	332.14	205.5	204.07	77.25	78.34	183.82	98.73	94.01	60.82	36.27	142.01	19.68	283.05	204.07	78.89	211.31	88.88	70.51	43.02	107.38	4.13	43.32	69.03	76.17	98.73	6.36	3.53	7.06	0.26	1.1
NRN1	36.01	46.84	151.22	120.1	37.59	28.24	122.64	27.44	21.78	19.11	67.59	248.0	52.45	129.69	116.78	241.19	316.37	231.32	656.11	1369.04	563.18	301.33	759.08	412.0	182.55	583.07	4038.61	2468.49	3716.2	9215.48	256.78	1896.65	5555.65	466.88	1685.71	400.71	295.11	9344.14	5292.48	1572.76	1819.35	1977.24	3742.05	1437.15	8840.04	473.41	738.29	616.37	191.67	2701.35	2417.67	1216.75	2956.17	3768.09	2895.31	902.89	884.29	204.07	660.68	1135.2	842.36	490.14	48.18	1216.75	50.98	36.01	189.02
NXF3	3.2	8.99	8.32	37.05	2.63	2.18	1.35	1.25	4.5	2.34	4.5	6.52	0.0	10.08	4.21	1.35	65.26	138.1	30.56	111.21	92.7	55.49	441.64	40.07	66.65	92.7	480.04	423.61	187.71	647.07	135.24	373.81	928.3	909.17	199.85	32.36	27.64	688.78	334.46	392.44	358.54	111.99	928.3	143.01	376.41	84.04	198.47	166.73	85.22	571.05	1225.22	497.0	555.41	384.34	229.72	575.03	559.28	54.72	122.64	63.89	171.45	127.0	1.99	3.56	9.41	31.0	7.0
OLFML1	47.84	55.1	109.66	23.93	161.02	45.85	55.49	59.55	10.0	19.25	17.64	98.73	0.0	63.89	105.15	69.03	239.52	182.55	351.14	575.03	473.41	414.87	651.58	540.19	256.78	277.2	1870.53	1037.29	1745.2	1447.15	361.04	1295.13	1447.15	688.78	1378.57	759.08	642.59	1639.59	1286.18	417.77	1216.75	1259.69	1008.9	441.64	1037.29	848.22	514.56	947.83	444.72	1073.91	1259.69	429.54	974.5	1127.35	551.56	780.44	738.29	41.52	314.17	753.83	543.96	819.3	40.64	28.24	44.25	10.96	57.08
P2RY14	18.97	24.28	49.56	11.3	14.35	26.28	24.63	37.59	2.92	3.76	10.63	20.26	0.0	197.09	32.13	103.69	41.22	88.26	403.5	320.8	159.9	73.54	275.28	90.77	77.25	25.17	909.17	928.3	540.19	409.15	53.95	808.0	204.07	195.72	162.14	118.43	108.9	429.54	486.75	563.18	239.52	273.37	460.44	486.75	265.87	76.71	127.0	223.41	61.68	228.13	194.36	226.54	275.28	275.28	66.65	109.66	186.4	27.44	171.45	273.37	189.02	105.89	23.42	43.32	9.78	3.17	7.34
PARD3B	28.24	76.71	49.56	2.86	19.82	8.92	10.24	28.65	94.01	40.93	6.84	30.12	0.0	33.3	30.78	36.79	76.71	96.68	59.97	62.12	78.89	78.34	283.05	176.29	127.0	271.48	363.56	316.37	808.0	633.73	122.64	361.04	503.95	275.28	198.47	157.68	138.1	718.08	444.72	293.07	277.2	264.03	397.93	318.57	318.57	229.72	194.36	432.53	103.69	295.11	387.02	152.28	256.78	389.72	187.71	241.19	148.09	19.53	88.26	104.42	198.47	191.67	33.06	61.68	73.03	38.4	23.25
PARD6G	132.44	72.01	31.0	41.22	226.54	176.29	55.89	368.65	18.03	23.42	105.15	167.9	0.0	23.08	119.26	202.66	53.95	36.01	81.71	73.54	48.18	105.15	486.75	105.89	8.78	30.34	361.04	273.37	120.94	368.65	209.84	633.73	68.55	133.36	197.09	155.5	114.36	214.27	251.48	143.01	140.04	221.86	133.36	102.97	136.19	81.71	90.14	149.12	42.41	175.07	161.02	70.51	110.43	72.01	41.52	145.02	136.19	56.68	48.18	49.21	87.65	82.29	44.57	29.06	183.82	75.11	118.43
PCDH18	27.84	34.02	63.0	32.36	74.06	143.01	26.47	108.14	34.51	76.17	10.47	44.25	0.0	32.36	47.5	63.45	67.59	74.06	162.14	84.63	76.71	56.68	423.61	39.79	14.03	56.68	348.71	551.56	339.14	403.5	81.71	423.61	234.57	136.19	334.46	198.47	151.22	532.74	334.46	285.03	285.03	279.14	189.02	234.57	379.04	105.89	120.94	109.66	63.0	211.31	143.01	262.2	173.85	161.02	127.0	98.73	136.19	37.32	81.71	151.22	114.36	211.31	133.36	116.78	56.28	14.89	82.29
PCNP	1477.58	1417.35	2163.77	1088.92	2075.59	2224.63	2255.7	1651.0	1697.45	1037.29	1467.37	3235.01	2664.15	3395.89	1923.14	4388.98	1963.57	1909.85	3847.29	4769.75	2777.33	2701.35	4419.52	2537.92	3515.68	3665.02	3955.48	4607.24	5517.27	4210.15	2468.49	2816.11	4066.71	2976.74	3325.99	2502.97	2451.44	5329.3	4038.61	3690.52	3847.29	4010.71	3614.55	4388.98	2796.65	2417.67	3257.52	5041.77	2627.46	3325.99	4388.98	3018.3	3081.75	4095.0	2956.17	3372.43	2209.26	1923.14	2537.92	5292.48	3491.39	2664.15	2209.26	3280.18	2047.0	1111.82	2224.63
PDE1C	2.56	2.81	13.93	26.47	5.59	6.78	3.66	7.57	3.79	6.94	14.03	94.01	0.0	10.88	9.78	7.22	59.13	49.21	51.71	94.01	57.08	79.45	275.28	105.89	76.71	135.24	389.72	684.02	195.72	332.14	60.82	320.8	376.41	289.02	186.4	70.01	111.21	607.87	356.05	249.73	466.88	366.09	132.44	151.22	285.03	137.14	147.06	214.27	123.5	154.42	363.56	135.24	301.33	206.94	120.1	124.37	146.03	9.13	72.01	70.01	105.89	108.9	3.38	18.43	12.74	3.17	5.15
PDE5A	123.5	115.16	87.65	46.5	94.67	22.75	52.45	100.83	92.7	35.0	18.97	60.82	0.0	62.12	123.5	121.79	158.79	218.79	373.81	525.39	325.29	387.02	947.83	275.28	153.34	387.02	1447.15	1286.18	954.43	1183.45	228.13	1216.75	848.22	532.74	575.03	444.72	603.67	1963.57	1340.84	698.41	909.17	1081.39	915.51	775.05	836.53	718.08	409.15	884.29	164.42	1001.93	1674.06	536.45	819.3	909.17	358.54	441.64	444.72	40.36	329.84	698.41	612.11	473.41	78.34	206.94	85.22	52.08	63.0
PDE8B	19.68	45.85	43.94	7.11	26.1	24.28	13.93	26.47	16.88	11.91	7.88	11.82	0.0	25.72	8.85	15.11	38.12	108.14	96.68	66.18	57.89	77.25	323.03	88.26	53.19	104.42	361.04	295.11	120.94	228.13	75.11	218.79	138.1	149.12	142.01	42.41	157.68	186.4	226.54	236.21	186.4	264.03	171.45	376.41	242.88	121.79	129.69	299.25	28.65	185.11	88.26	110.43	138.1	48.18	74.06	202.66	87.65	24.99	51.71	84.63	153.34	91.41	8.99	17.64	28.65	20.26	10.39
PDZD2	19.97	36.27	20.26	4.86	37.85	94.67	8.99	115.97	24.46	38.4	5.19	15.56	0.0	104.42	19.25	20.56	361.04	320.8	299.25	264.03	248.0	132.44	1963.57	273.37	117.6	81.71	599.49	1551.09	1175.27	1081.39	132.44	1111.82	1498.22	441.64	297.17	87.65	150.17	2468.49	1437.15	624.99	1088.92	595.34	540.19	825.0	551.56	384.34	356.05	928.3	49.21	1322.37	616.37	1216.75	808.0	830.75	229.72	208.38	503.95	76.17	223.41	279.14	629.35	591.22	23.59	43.32	28.86	20.11	8.85
PHF10	947.83	947.83	1199.98	620.67	403.5	1259.69	529.06	1583.71	647.07	890.44	529.06	587.13	0.0	587.13	417.77	599.49	780.44	738.29	836.53	896.64	733.19	447.82	1331.57	1159.07	928.3	2178.83	1242.34	1397.83	1617.0	1628.26	974.5	974.5	1143.1	1081.39	629.35	638.15	909.17	1769.57	1477.58	1781.89	1674.06	1388.16	1127.35	1870.53	1417.35	1030.12	1175.27	1378.57	974.5	1225.22	1340.84	1331.57	1119.56	1331.57	1477.58	1733.13	629.35	947.83	796.86	890.44	1322.37	1183.45	616.37	679.29	1135.2	830.75	703.28
PLCL1	12.64	9.34	28.86	6.73	13.32	8.25	5.92	59.97	153.34	63.45	14.89	26.86	0.0	19.39	14.56	16.15	32.82	44.25	78.89	71.5	55.89	25.72	151.22	71.5	57.49	63.0	163.28	271.48	346.29	144.01	27.44	291.04	162.14	97.36	74.58	87.65	45.21	438.59	220.32	164.42	108.14	165.57	111.99	218.79	79.45	95.34	49.21	117.6	51.35	150.17	559.28	147.06	134.3	121.79	77.79	69.52	52.45	10.55	47.5	85.82	120.1	102.25	13.52	22.43	9.7	7.51	4.35
PLSCR4	71.0	152.28	145.02	51.35	95.34	26.86	40.64	97.36	155.5	100.13	10.08	269.6	130.6	117.6	134.3	134.3	395.18	287.01	629.35	866.07	603.67	575.03	947.83	571.05	599.49	1008.9	2004.85	1447.15	2434.5	2555.58	543.96	1167.14	1529.73	1135.2	1304.15	1950.0	961.07	2777.33	1628.26	1540.37	2075.59	2075.59	1651.0	1457.23	1594.73	1127.35	1208.34	1487.87	480.04	1167.14	1662.49	1295.13	1447.15	1322.37	860.08	1674.06	684.02	212.78	693.58	1037.29	1051.79	1437.15	116.78	183.82	140.04	24.99	53.57
PRDM6	11.47	15.68	42.11	5.41	16.39	21.47	14.89	12.45	2.18	2.18	1.69	30.12	0.0	22.75	37.32	32.82	38.12	70.51	57.08	77.79	69.03	40.36	70.01	165.57	79.45	28.45	172.65	183.82	148.09	177.53	49.91	176.29	197.09	154.42	172.65	239.52	110.43	351.14	251.48	131.51	281.09	170.25	115.97	299.25	106.63	123.5	121.79	221.86	39.5	109.66	738.29	117.6	97.36	38.12	38.95	43.02	133.36	10.0	89.51	106.63	100.13	85.82	17.64	3.79	11.64	7.57	6.94
PTN	902.89	142.01	108.9	58.71	518.15	64.8	49.56	624.99	6.84	23.93	507.46	103.69	9088.59	62.12	218.79	74.58	152.28	186.4	483.38	403.5	246.28	438.59	7857.29	638.15	463.65	293.07	4903.87	3665.02	713.11	3257.52	713.11	5831.91	1674.06	2609.3	271.48	293.07	708.18	2835.7	2573.36	1104.13	4639.29	1674.06	669.92	679.29	1407.55	884.29	1081.39	2739.08	88.26	1508.65	1757.34	647.07	1135.2	1350.18	941.27	493.56	1225.22	42.41	299.25	493.56	358.54	414.87	57.08	74.58	62.56	68.55	20.26
PTPN21	72.52	100.83	43.63	66.65	105.89	115.16	18.29	191.67	44.89	81.71	181.28	63.89	0.0	61.25	78.34	63.45	305.55	348.71	285.03	392.44	334.46	309.83	1909.85	397.93	223.41	493.56	988.12	1208.34	1059.11	559.28	441.64	1183.45	961.07	1225.22	591.22	309.83	406.31	1769.57	1427.22	878.17	2720.15	775.05	1143.1	1286.18	728.11	1001.93	607.87	967.76	348.71	1175.27	915.51	607.87	559.28	1572.76	819.3	753.83	447.82	73.03	251.48	518.15	813.63	624.99	32.13	83.45	138.1	73.03	93.35
PTPRQ	0.0	14.67	3.38	0.0	0.0	8.32	7.28	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.72	17.64	11.82	26.47	35.76	9.41	18.97	185.11	21.47	74.06	11.13	50.63	187.71	157.68	65.26	15.22	34.51	56.68	43.02	73.54	9.06	6.36	164.42	164.42	15.22	72.01	64.34	82.87	121.79	50.63	87.65	42.11	100.83	40.93	199.85	166.73	24.63	146.03	299.25	46.5	35.76	14.45	1.93	10.55	46.84	100.13	131.51	0.0	0.0	0.0	0.39	4.43
