	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
IBA57-AS1	0.85	0.0	5.15	0.0	0.0	0.0	10.79	5.59	0.0	0.0	38.95	5.59	11.3	19.97	6.31	13.83	7.06	5.54	11.47	30.56	2.41	7.51	25.17	16.03	2.73	13.03	28.65	7.34	5.73	7.34	15.0	24.63	9.93	20.56	2.81	4.03	9.48	9.2	7.82	1.81	2.92	9.85	7.17	19.82	13.52	29.06	15.8	28.65	13.93	17.38	19.82	21.63	9.06	13.52	13.52	14.03	30.34	28.86	2.2	26.28	20.11	27.64	2.89	4.5	3.14	5.59	15.34	18.16	9.06	6.78	2.14	19.82	10.16	6.06	10.0	10.79	5.87	5.28	3.35	5.23	10.79	37.05	37.05	5.19	25.35	24.81	7.63	12.55	31.9	7.51	18.7	11.04	1.51	10.55	50.27	14.56
IGSF10	21.32	5.19	3.29	0.0	0.49	0.92	9.85	2.16	2.78	6.78	94.01	165.57	122.64	206.94	162.14	215.77	58.71	30.56	58.71	177.53	79.45	89.51	64.8	0.39	46.5	6.16	118.43	44.57	358.54	177.53	46.18	163.28	104.42	81.14	41.81	139.07	33.78	277.2	82.87	58.71	161.02	120.94	28.24	143.01	343.89	241.19	232.94	105.89	98.73	149.12	297.17	32.13	208.38	114.36	239.52	90.14	100.13	38.12	18.29	603.67	21.94	376.41	273.37	26.47	229.72	28.45	52.45	255.0	66.18	105.89	77.25	201.25	45.85	79.45	74.06	98.04	69.52	20.41	18.7	34.26	189.02	167.9	187.71	127.89	76.71	371.22	76.71	198.47	198.47	138.1	126.12	201.25	32.82	116.78	115.97	45.53
ITGA2B	31.67	75.11	42.71	0.0	0.52	2.36	71.5	26.67	20.56	99.43	228.13	248.0	223.41	271.48	172.65	379.04	229.72	127.89	105.89	208.38	105.89	182.55	295.11	31.0	148.09	88.26	599.49	353.59	120.94	108.9	148.09	555.41	142.01	137.14	159.9	110.43	114.36	258.57	267.73	87.65	59.13	146.03	34.02	316.37	493.56	193.01	339.14	351.14	514.56	291.04	123.5	76.71	267.73	73.03	373.81	80.01	334.46	251.48	54.33	575.03	92.7	587.13	305.55	232.94	287.01	85.82	76.17	309.83	95.34	400.71	197.09	307.69	115.16	146.03	204.07	75.11	80.57	125.24	85.22	113.56	258.57	295.11	327.56	128.79	163.28	295.11	148.09	260.38	161.02	332.14	521.76	221.86	77.25	283.05	381.68	69.03
JMJD7-PLA2G4B	13.83	12.09	12.27	0.0	1.06	3.26	108.14	50.27	61.25	44.25	343.89	297.17	150.17	262.2	102.25	279.14	115.97	84.04	131.51	316.37	71.0	100.13	371.22	101.54	120.94	151.22	287.01	237.86	81.71	50.98	155.5	295.11	131.51	228.13	85.22	239.52	110.43	166.73	181.28	73.54	118.43	146.03	48.87	323.03	256.78	348.71	406.31	389.72	182.55	275.28	123.5	83.45	134.3	109.66	283.05	77.79	334.46	307.69	100.13	281.09	70.51	301.33	138.1	92.7	155.5	87.03	32.82	339.14	108.14	454.09	111.21	297.17	67.59	67.12	287.01	73.54	67.59	109.66	47.5	108.14	327.56	563.18	281.09	101.54	229.72	332.14	120.1	145.02	205.5	91.41	229.72	149.12	75.64	198.47	379.04	82.29
KIAA1407	24.28	6.46	14.45	0.0	0.29	13.42	104.42	107.38	61.68	101.54	387.02	332.14	176.29	480.04	279.14	384.34	226.54	158.79	198.47	444.72	157.68	242.88	470.14	214.27	293.07	255.0	493.56	343.89	224.97	183.82	287.01	361.04	217.27	265.87	191.67	223.41	163.28	305.55	318.57	178.77	229.72	232.94	121.79	293.07	325.29	406.31	379.04	325.29	387.02	363.56	197.09	158.79	305.55	231.32	307.69	163.28	476.71	314.17	201.25	389.72	155.5	361.04	297.17	218.79	361.04	129.69	166.73	395.18	144.01	395.18	251.48	476.71	202.66	152.28	387.02	167.9	173.85	195.72	111.21	218.79	389.72	473.41	490.14	130.6	301.33	426.57	178.77	279.14	312.0	236.21	366.09	253.23	182.55	356.05	406.31	148.09
KIF12	3.0	14.14	13.72	0.0	0.06	34.26	287.01	251.48	285.03	417.77	909.17	954.43	555.41	1359.57	1225.22	1561.89	575.03	348.71	629.35	947.83	454.09	753.83	1639.59	412.0	808.0	848.22	3257.52	1143.1	587.13	303.44	551.56	1378.57	896.64	612.11	414.87	363.56	438.59	674.59	638.15	260.38	392.44	444.72	211.31	2434.5	2271.4	2209.26	1794.29	1651.0	1721.16	1104.13	1617.0	358.54	769.69	607.87	1529.73	490.14	2319.15	1044.52	395.18	2255.7	669.92	1561.89	1066.48	629.35	921.88	177.53	698.41	1628.26	318.57	1359.57	429.54	1437.15	493.56	551.56	1936.53	351.14	228.13	547.75	356.05	420.68	1662.49	2090.03	1498.22	780.44	620.67	1388.16	389.72	679.29	1617.0	660.68	1857.6	902.89	312.0	1008.9	1388.16	193.01
KY	2.92	0.0	0.0	0.0	0.01	0.6	21.32	15.56	33.78	20.26	193.01	241.19	100.83	291.04	264.03	273.37	45.53	86.43	68.07	215.77	55.1	165.57	366.09	27.44	151.22	49.56	529.06	256.78	70.01	46.5	149.12	242.88	32.82	79.45	89.51	56.68	77.79	154.42	253.23	52.45	53.19	90.77	25.72	246.28	226.54	253.23	314.17	100.83	84.04	199.85	161.02	61.25	131.51	21.32	420.68	36.53	450.94	221.86	9.78	289.02	44.25	435.55	170.25	81.14	128.79	70.01	50.98	291.04	120.94	199.85	152.28	432.53	66.65	43.32	420.68	76.17	55.49	53.19	25.54	81.71	258.57	205.5	281.09	57.89	39.79	429.54	108.9	56.68	96.68	65.72	395.18	234.57	71.0	309.83	154.42	47.84
LAT	35.25	31.22	97.36	0.0	0.79	87.03	104.42	97.36	104.42	112.77	361.04	723.08	156.59	363.56	267.73	1936.53	223.41	139.07	262.2	629.35	141.02	262.2	438.59	212.78	271.48	149.12	447.82	371.22	98.04	115.16	281.09	529.06	182.55	339.14	139.07	173.85	89.51	314.17	204.07	98.73	234.57	185.11	92.05	432.53	679.29	656.11	1066.48	7537.18	387.02	334.46	297.17	171.45	244.57	228.13	316.37	107.38	262.2	599.49	81.14	603.67	201.25	555.41	435.55	181.28	414.87	178.77	228.13	486.75	211.31	583.07	265.87	397.93	123.5	110.43	246.28	172.65	104.42	111.99	137.14	185.11	511.0	728.11	921.88	139.07	181.28	525.39	112.77	341.51	334.46	271.48	514.56	185.11	137.14	575.03	1127.35	63.0
LPAR2	107.38	6.16	423.61	0.0	0.53	287.01	172.65	205.5	231.32	353.59	389.72	507.46	444.72	423.61	316.37	759.08	426.57	373.81	486.75	429.54	373.81	363.56	540.19	271.48	368.65	432.53	551.56	409.15	379.04	264.03	283.05	435.55	366.09	387.02	417.77	403.5	346.29	316.37	379.04	256.78	392.44	376.41	255.0	591.22	579.04	703.28	656.11	591.22	532.74	395.18	397.93	325.29	470.14	379.04	334.46	332.14	486.75	547.75	289.02	417.77	358.54	532.74	429.54	417.77	470.14	361.04	503.95	540.19	521.76	723.08	400.71	412.0	392.44	490.14	444.72	285.03	273.37	348.71	454.09	373.81	571.05	563.18	607.87	460.44	403.5	457.25	348.71	417.77	420.68	483.38	507.46	339.14	307.69	420.68	547.75	279.14
LRRC16B	0.41	3.11	4.43	0.0	0.4	1.6	6.62	8.0	4.9	6.84	27.44	34.51	18.16	22.92	16.88	42.41	10.31	10.63	16.15	37.05	10.96	13.12	25.54	20.41	17.77	9.06	37.85	17.51	16.27	13.52	23.93	26.1	23.25	18.29	17.13	20.71	21.47	22.1	31.9	13.83	7.22	11.38	6.31	30.12	21.63	35.76	37.32	30.56	20.41	29.27	18.29	11.82	24.81	10.08	14.03	7.34	24.63	40.64	4.13	21.47	22.59	34.26	22.1	19.39	17.13	14.89	9.93	29.48	13.62	19.97	20.11	22.43	13.62	14.45	28.45	14.78	15.8	20.41	13.62	27.64	28.45	49.56	32.13	9.06	12.55	25.72	16.03	19.97	17.77	22.59	19.53	15.22	17.38	21.16	21.94	17.77
MFSD12	444.72	884.29	1594.73	0.0	0.87	679.29	463.65	575.03	759.08	688.78	1135.2	1135.2	995.0	1104.13	854.13	1199.98	656.11	665.29	796.86	866.07	723.08	476.71	961.07	896.64	769.69	563.18	941.27	759.08	543.96	780.44	1059.11	1167.14	1407.55	1427.22	629.35	830.75	791.35	915.51	723.08	624.99	603.67	753.83	791.35	1008.9	1081.39	1457.23	1397.83	1378.57	1175.27	909.17	703.28	684.02	928.3	848.22	819.3	688.78	808.0	915.51	454.09	981.29	791.35	954.43	947.83	796.86	1059.11	796.86	669.92	1378.57	890.44	1594.73	1015.93	947.83	466.88	703.28	1015.93	825.0	579.04	780.44	651.58	684.02	1397.83	1369.04	1359.57	872.1	703.28	836.53	854.13	1216.75	738.29	660.68	1167.14	703.28	579.04	1167.14	1313.23	825.0
MPPED2	6.89	6.11	5.19	0.0	0.23	0.0	511.0	563.18	125.24	521.76	1359.57	4123.49	1277.29	2417.67	5831.91	1857.6	2434.5	633.73	1059.11	3018.3	633.73	2591.27	2935.74	1819.35	3901.01	2193.99	6516.03	2875.3	3491.39	223.41	1378.57	4298.64	1651.0	842.36	1540.37	567.1	371.22	1477.58	2335.28	423.61	656.11	591.22	289.02	2758.13	1498.22	2209.26	1963.57	909.17	1628.26	3982.99	1081.39	376.41	4419.52	460.44	1551.09	647.07	1457.23	2875.3	206.94	4181.07	854.13	4152.18	2240.11	1295.13	4937.99	366.09	785.88	2075.59	1059.11	2400.97	403.5	2520.38	796.86	414.87	3847.29	241.19	1175.27	1388.16	269.6	1963.57	1225.22	1674.06	2816.11	212.78	819.3	1936.53	1104.13	2224.63	2997.45	1721.16	3847.29	1733.13	679.29	6426.31	4152.18	665.29
MYH7B	9.34	1.64	0.0	0.0	0.39	0.0	16.75	17.38	3.53	12.0	89.51	152.28	50.63	75.11	64.8	66.65	54.33	19.68	25.91	138.1	30.78	32.82	143.01	27.25	49.56	50.63	187.71	49.91	23.59	30.56	63.45	113.56	51.71	58.71	31.9	40.64	40.64	65.72	40.93	24.81	55.89	37.32	21.32	90.14	113.56	156.59	100.83	114.36	125.24	77.25	70.51	55.1	76.71	31.0	88.88	30.78	116.78	64.8	34.75	106.63	34.51	109.66	81.14	28.65	71.0	34.75	55.49	124.37	30.78	102.25	45.21	76.71	28.65	25.91	96.68	46.18	24.46	41.52	23.59	33.54	185.11	120.1	195.72	28.65	47.84	131.51	23.59	75.64	80.01	43.02	100.13	63.89	34.26	86.43	151.22	16.63
MYO15B	267.73	181.28	234.57	1225.22	1923.14	22.26	1883.54	1369.04	406.31	473.41	5711.87	6745.86	1639.59	2573.36	2573.36	9151.82	2664.15	2178.83	2502.97	9151.82	1540.37	3515.68	7130.55	1572.76	2997.45	2664.15	10154.69	5219.6	896.64	1572.76	3690.52	10440.2	3081.75	4937.99	1295.13	2271.4	2209.26	5076.84	3081.75	1794.29	3060.45	2090.03	890.44	5711.87	6935.54	8901.53	6745.86	8658.09	7589.61	6652.97	3349.13	1498.22	6164.49	2855.44	5292.48	1388.16	6516.03	7589.61	1081.39	7911.95	2351.53	9279.58	6792.79	2555.58	5913.33	1437.15	1519.15	8022.41	1304.15	8134.41	2434.5	5041.77	2555.58	1208.34	5041.77	2664.15	1781.89	2434.5	981.29	1340.84	9279.58	8718.32	9088.59	1963.57	2682.69	6207.38	1709.26	4607.24	4869.99	5517.27	6983.79	4388.98	1857.6	5594.3	11189.6	1104.13
NEIL1	81.71	102.25	130.6	0.0	1.1	31.45	397.93	295.11	297.17	187.71	902.89	854.13	406.31	629.35	417.77	1259.69	514.56	351.14	521.76	723.08	409.15	466.88	753.83	341.51	397.93	379.04	759.08	463.65	289.02	309.83	483.38	769.69	642.59	836.53	287.01	647.07	316.37	397.93	525.39	389.72	603.67	466.88	273.37	872.1	1044.52	1167.14	796.86	759.08	1159.07	638.15	444.72	323.03	518.15	486.75	890.44	318.57	679.29	500.46	299.25	1015.93	397.93	748.61	620.67	438.59	684.02	218.79	480.04	629.35	332.14	1059.11	387.02	967.76	403.5	348.71	417.77	409.15	318.57	356.05	323.03	406.31	866.07	1143.1	1001.93	281.09	660.68	579.04	412.0	612.11	775.05	616.37	884.29	368.65	312.0	543.96	1331.57	267.73
NINL	66.18	45.53	39.79	0.0	0.57	21.47	166.73	229.72	56.28	173.85	438.59	414.87	299.25	902.89	373.81	348.71	447.82	285.03	351.14	423.61	293.07	351.14	435.55	450.94	285.03	271.48	503.95	363.56	228.13	258.57	389.72	457.25	336.79	323.03	329.84	387.02	289.02	463.65	358.54	260.38	255.0	229.72	253.23	438.59	571.05	591.22	287.01	934.76	373.81	389.72	371.22	251.48	406.31	291.04	307.69	289.02	463.65	460.44	314.17	457.25	289.02	406.31	441.64	346.29	327.56	201.25	297.17	563.18	373.81	536.45	348.71	514.56	432.53	220.32	493.56	283.05	199.85	312.0	293.07	327.56	507.46	633.73	698.41	234.57	312.0	493.56	403.5	403.5	373.81	470.14	409.15	279.14	199.85	460.44	629.35	336.79
NUMA1	1437.15	638.15	791.35	0.0	0.95	232.94	3467.27	3614.55	3303.0	2816.11	5831.91	4575.41	3690.52	4639.29	3235.01	4869.99	3847.29	3103.19	3589.58	5006.93	2997.45	3372.43	5441.3	3303.0	2627.46	4903.87	6250.56	3639.7	3982.99	3235.01	3955.48	4268.94	4268.94	5633.22	3168.41	4419.52	3081.75	3928.15	4512.4	3325.99	3690.52	3419.52	2664.15	4769.75	4836.35	5711.87	5441.3	5995.9	3716.2	3716.2	4095.0	3325.99	4328.55	4210.15	4481.23	2976.74	5555.65	4298.64	3564.78	6337.83	3280.18	4869.99	3874.05	4066.71	4298.64	3124.78	3124.78	4869.99	2935.74	5255.91	4152.18	5219.6	3690.52	3124.78	4671.57	3874.05	2875.3	3742.05	3212.66	3467.27	4704.07	5366.37	5329.3	3639.7	4802.93	5183.54	3168.41	5255.91	4671.57	3443.31	4869.99	3257.52	3540.14	3955.48	7280.4	2796.65
OSBPL7	21.47	10.39	8.85	0.0	0.85	8.19	166.73	132.44	138.1	108.14	414.87	420.68	249.73	376.41	246.28	679.29	248.0	231.32	248.0	435.55	242.88	356.05	334.46	231.32	297.17	277.2	423.61	457.25	206.94	131.51	260.38	417.77	211.31	289.02	232.94	204.07	291.04	329.84	287.01	183.82	228.13	246.28	171.45	358.54	466.88	525.39	503.95	507.46	323.03	373.81	314.17	275.28	363.56	220.32	356.05	129.69	387.02	511.0	172.65	432.53	341.51	497.0	346.29	172.65	417.77	197.09	194.36	371.22	346.29	493.56	273.37	325.29	133.36	187.71	403.5	267.73	159.9	273.37	221.86	251.48	473.41	463.65	480.04	224.97	221.86	361.04	271.48	281.09	351.14	348.71	341.51	336.79	191.67	441.64	444.72	214.27
PACS2	563.18	149.12	318.57	0.0	0.89	389.72	583.07	872.1	748.61	854.13	1151.06	1350.18	738.29	842.36	669.92	1119.56	830.75	733.19	954.43	981.29	848.22	708.18	1096.5	769.69	647.07	713.11	1242.34	819.3	603.67	718.08	961.07	1135.2	1151.06	884.29	775.05	921.88	769.69	941.27	884.29	743.43	830.75	775.05	603.67	988.12	1066.48	1104.13	1167.14	1268.46	842.36	1001.93	896.64	624.99	764.36	728.11	941.27	679.29	909.17	995.0	748.61	878.17	981.29	1015.93	961.07	733.19	1023.0	723.08	785.88	1037.29	647.07	1175.27	785.88	791.35	703.28	759.08	860.08	708.18	638.15	780.44	738.29	780.44	961.07	1143.1	1378.57	743.43	848.22	941.27	718.08	1151.06	902.89	866.07	1104.13	669.92	738.29	1051.79	1175.27	647.07
PARP6	669.92	221.86	279.14	753.83	318.57	151.22	802.41	941.27	738.29	872.1	1857.6	1685.71	1111.82	1572.76	1088.92	1806.78	1487.87	1167.14	1322.37	1806.78	1066.48	1467.37	1832.01	1313.23	1407.55	1397.83	2271.4	1088.92	1104.13	1008.9	1242.34	2119.22	1277.29	1540.37	954.43	1143.1	1111.82	1191.69	1369.04	1088.92	1250.98	1191.69	1037.29	1685.71	2255.7	1781.89	1844.76	1733.13	2367.9	1651.0	1447.15	1059.11	1397.83	1572.76	1477.58	941.27	1519.15	1651.0	1143.1	2018.8	1417.35	1857.6	1662.49	1304.15	1745.2	769.69	1437.15	1733.13	915.51	1745.2	1277.29	1605.83	1183.45	928.3	1551.09	1008.9	995.0	1167.14	1359.57	1340.84	1709.26	2133.97	2193.99	802.41	1313.23	1923.14	1477.58	2104.58	1572.76	1529.73	2209.26	1175.27	1250.98	2018.8	2520.38	915.51
PCED1A	220.32	583.07	229.72	0.0	1.0	265.87	1096.5	1044.52	1111.82	1001.93	1794.29	2384.37	1225.22	1437.15	1127.35	2178.83	1313.23	1008.9	1167.14	2224.63	941.27	1487.87	1769.57	1151.06	1437.15	1498.22	2240.11	1844.76	802.41	802.41	1191.69	2178.83	1111.82	1561.89	830.75	1104.13	753.83	1457.23	1388.16	836.53	1073.91	1216.75	884.29	1628.26	2090.03	2287.2	2061.24	2224.63	2163.77	1936.53	1487.87	1268.46	1651.0	1216.75	1447.15	1073.91	1674.06	1806.78	1111.82	1572.76	1030.12	1896.65	1883.54	1088.92	1369.04	1037.29	1437.15	1594.73	1111.82	1923.14	1369.04	1745.2	896.64	1015.93	1457.23	1143.1	733.19	1030.12	1081.39	808.0	1909.85	1977.24	2209.26	1199.98	1477.58	1651.0	1023.0	1529.73	1407.55	1583.71	2090.03	1268.46	1008.9	2224.63	2956.17	836.53
PCSK4	3.2	15.22	38.95	0.0	0.51	0.95	57.49	31.22	47.84	67.59	209.84	224.97	111.21	175.07	102.97	190.34	130.6	49.56	96.68	253.23	69.03	128.79	215.77	73.54	128.79	150.17	256.78	141.02	63.45	71.5	170.25	275.28	120.94	234.57	65.26	85.22	30.12	151.22	162.14	63.0	115.16	127.0	23.76	143.01	273.37	289.02	154.42	289.02	316.37	205.5	132.44	64.34	183.82	118.43	177.53	87.65	176.29	127.0	56.28	185.11	48.52	295.11	211.31	99.43	169.07	71.0	166.73	228.13	59.13	232.94	112.77	185.11	46.84	105.15	167.9	54.72	38.12	73.03	107.38	84.04	229.72	279.14	307.69	69.52	182.55	256.78	96.01	153.34	183.82	120.94	136.19	175.07	100.83	195.72	271.48	49.21
PHC1	214.27	47.17	118.43	0.0	0.8	45.21	521.76	423.61	199.85	454.09	1104.13	967.76	848.22	1388.16	684.02	1167.14	651.58	616.37	718.08	1498.22	713.11	1096.5	1417.35	738.29	896.64	796.86	1551.09	1199.98	1051.79	480.04	842.36	1268.46	599.49	775.05	629.35	733.19	620.67	928.3	743.43	511.0	688.78	780.44	444.72	1331.57	1030.12	1175.27	1208.34	1769.57	1096.5	1216.75	921.88	470.14	967.76	651.58	967.76	540.19	1208.34	1340.84	540.19	1183.45	656.11	1216.75	738.29	651.58	1277.29	718.08	571.05	1417.35	674.59	1467.37	896.64	1151.06	733.19	638.15	1295.13	518.15	547.75	748.61	486.75	599.49	1437.15	1806.78	1216.75	738.29	713.11	1407.55	703.28	890.44	1191.69	708.18	1111.82	974.5	679.29	1023.0	1651.0	497.0
PLA2G4B	28.86	39.79	45.53	0.0	1.1	157.68	163.28	114.36	181.28	46.18	447.82	698.41	161.02	251.48	217.27	651.58	158.79	108.9	197.09	638.15	122.64	162.14	551.56	205.5	271.48	228.13	647.07	438.59	130.6	54.33	194.36	511.0	232.94	218.79	178.77	217.27	117.6	363.56	285.03	92.05	214.27	126.12	95.34	366.09	493.56	507.46	587.13	476.71	450.94	457.25	226.54	116.78	336.79	141.02	414.87	109.66	341.51	518.15	176.29	514.56	237.86	674.59	429.54	170.25	389.72	151.22	314.17	400.71	155.5	567.1	173.85	299.25	128.79	151.22	373.81	147.06	96.68	175.07	258.57	140.04	444.72	825.0	733.19	175.07	248.0	384.34	162.14	381.68	314.17	271.48	476.71	262.2	145.02	665.29	679.29	117.6
PLA2G6	327.56	37.05	76.71	0.0	0.91	37.05	854.13	256.78	633.73	293.07	3235.01	3257.52	1378.57	2119.22	1259.69	2502.97	1551.09	1127.35	2104.58	4450.27	738.29	1651.0	5006.93	1331.57	2119.22	753.83	5147.73	1806.78	1175.27	1359.57	1259.69	3716.2	1697.45	1936.53	723.08	902.89	684.02	1709.26	1991.0	934.76	1378.57	1529.73	603.67	2682.69	4123.49	6561.36	2335.28	4210.15	3018.3	2835.7	2119.22	1111.82	2240.11	1322.37	2271.4	988.12	2090.03	2119.22	521.76	3168.41	934.76	3467.27	2997.45	1369.04	1819.35	665.29	1199.98	2777.33	616.37	3349.13	2485.67	1313.23	848.22	703.28	2591.27	836.53	511.0	1819.35	723.08	1407.55	3820.7	3955.48	3395.89	1259.69	2240.11	2701.35	1639.59	2835.7	1757.34	1427.22	2855.44	1427.22	1286.18	3395.89	3982.99	612.11
POGZ	329.84	85.22	181.28	366.09	226.54	58.3	616.37	647.07	368.65	536.45	1628.26	1322.37	775.05	1844.76	995.0	1662.49	808.0	947.83	941.27	1674.06	718.08	860.08	1819.35	1030.12	967.76	1044.52	1909.85	1191.69	1059.11	796.86	1127.35	1617.0	954.43	1015.93	830.75	842.36	743.43	954.43	988.12	819.3	1081.39	967.76	759.08	1572.76	1183.45	2367.9	1769.57	1819.35	1427.22	1277.29	1051.79	842.36	1066.48	1023.0	1417.35	660.68	1617.0	1350.18	780.44	1605.83	748.61	1350.18	1008.9	842.36	1008.9	785.88	571.05	1628.26	825.0	2061.24	1104.13	1508.65	796.86	669.92	1295.13	884.29	947.83	1001.93	395.18	988.12	1781.89	2303.12	2104.58	603.67	921.88	1697.45	830.75	1008.9	1369.04	954.43	1286.18	934.76	830.75	1183.45	1883.54	629.35
POLL	279.14	173.85	346.29	0.0	0.14	251.48	536.45	532.74	476.71	470.14	1073.91	825.0	674.59	909.17	629.35	915.51	723.08	607.87	656.11	848.22	559.28	743.43	941.27	708.18	540.19	583.07	1104.13	688.78	567.1	503.95	759.08	842.36	848.22	802.41	575.03	802.41	521.76	656.11	759.08	511.0	656.11	669.92	470.14	854.13	947.83	1030.12	1037.29	988.12	884.29	660.68	674.59	525.39	703.28	660.68	813.63	490.14	947.83	961.07	579.04	1051.79	629.35	848.22	769.69	612.11	698.41	616.37	674.59	934.76	656.11	928.3	651.58	866.07	563.18	563.18	759.08	543.96	536.45	559.28	571.05	674.59	825.0	961.07	921.88	599.49	775.05	967.76	575.03	928.3	878.17	603.67	896.64	583.07	555.41	728.11	1143.1	503.95
POMT1	236.21	314.17	267.73	0.0	0.58	164.42	395.18	612.11	536.45	406.31	723.08	723.08	497.0	733.19	518.15	854.13	703.28	483.38	518.15	660.68	521.76	559.28	693.58	463.65	507.46	529.06	902.89	616.37	460.44	403.5	466.88	728.11	638.15	563.18	392.44	587.13	441.64	612.11	532.74	406.31	507.46	536.45	371.22	769.69	748.61	764.36	785.88	656.11	674.59	642.59	551.56	476.71	595.34	616.37	684.02	466.88	743.43	723.08	486.75	769.69	500.46	759.08	620.67	607.87	607.87	348.71	587.13	547.75	529.06	733.19	603.67	780.44	441.64	563.18	660.68	543.96	417.77	547.75	551.56	563.18	599.49	954.43	836.53	447.82	571.05	733.19	559.28	679.29	656.11	603.67	723.08	507.46	406.31	603.67	825.0	384.34
