	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZYW4.1626.SM.5GIE6	GTEX.13OVL.2726.SM.5J2MP	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
PNISR	551.56	679.29	796.86	819.3	769.69	830.75	1583.71	1457.23	2384.37	1819.35	1233.75	1477.58	2287.2	3768.09	2224.63	3955.48	6699.25	4769.75	6337.83	4704.07	2956.17	5711.87	7966.99	5831.91	5183.54	5633.22	4937.99	1498.22	4937.99	3874.05	6699.25	4704.07	5633.22	4639.29	3955.48	3540.14	6121.9	5147.73	4123.49	1030.12	2591.27	802.41	473.41	769.69	698.41	753.83	1605.83	2224.63	1628.26	2193.99	1977.24	1857.6	660.68	3081.75	563.18	748.61	1008.9	1685.71	2796.65
PNN	665.29	571.05	941.27	723.08	921.88	595.34	1225.22	967.76	1199.98	1208.34	665.29	825.0	1963.57	1529.73	1359.57	1721.16	2997.45	2997.45	2720.15	4095.0	1551.09	3235.01	2976.74	3928.15	2720.15	3467.27	2609.3	796.86	3443.31	1709.26	3901.01	2537.92	3639.7	2178.83	2591.27	2537.92	3540.14	2287.2	2004.85	536.45	813.63	759.08	463.65	825.0	463.65	651.58	928.3	1259.69	1225.22	1417.35	890.44	1008.9	264.03	1051.79	368.65	237.86	395.18	529.06	1001.93
POLR3E	536.45	406.31	514.56	470.14	525.39	540.19	713.11	629.35	540.19	638.15	435.55	718.08	836.53	866.07	638.15	915.51	1350.18	785.88	1008.9	884.29	679.29	830.75	1023.0	748.61	1340.84	830.75	759.08	595.34	1081.39	684.02	878.17	775.05	842.36	748.61	718.08	684.02	1199.98	884.29	1015.93	483.38	693.58	563.18	583.07	518.15	688.78	647.07	476.71	579.04	713.11	603.67	808.0	612.11	503.95	825.0	703.28	733.19	460.44	688.78	665.29
POMT2	148.09	186.4	161.02	173.85	138.1	166.73	224.97	237.86	283.05	251.48	172.65	435.55	414.87	381.68	281.09	291.04	476.71	273.37	480.04	343.89	307.69	361.04	703.28	358.54	432.53	525.39	307.69	249.73	511.0	339.14	323.03	460.44	454.09	379.04	301.33	343.89	343.89	414.87	289.02	149.12	156.59	134.3	187.71	97.36	175.07	146.03	144.01	239.52	237.86	265.87	241.19	287.01	161.02	277.2	220.32	128.79	173.85	305.55	379.04
PPP6R2	536.45	547.75	688.78	612.11	555.41	674.59	941.27	780.44	848.22	836.53	723.08	854.13	819.3	1066.48	1037.29	1159.07	1709.26	1794.29	1561.89	1733.13	1359.57	1359.57	1733.13	1733.13	1467.37	1594.73	1508.65	813.63	1896.65	1175.27	1199.98	1551.09	1685.71	1277.29	1662.49	1259.69	1359.57	1233.75	1259.69	693.58	733.19	642.59	723.08	612.11	860.08	718.08	679.29	759.08	878.17	728.11	995.0	928.3	466.88	848.22	503.95	480.04	490.14	629.35	738.29
PRDM2	358.54	435.55	503.95	599.49	379.04	543.96	476.71	412.0	599.49	406.31	329.84	460.44	543.96	679.29	647.07	651.58	1104.13	738.29	1119.56	934.76	503.95	909.17	1066.48	954.43	848.22	860.08	830.75	483.38	860.08	728.11	1037.29	743.43	896.64	941.27	836.53	575.03	878.17	684.02	713.11	567.1	934.76	620.67	665.29	486.75	460.44	563.18	379.04	575.03	483.38	518.15	423.61	503.95	423.61	764.36	406.31	429.54	674.59	674.59	808.0
PRKRIP1	285.03	318.57	341.51	432.53	336.79	348.71	441.64	551.56	563.18	486.75	490.14	463.65	480.04	536.45	473.41	575.03	878.17	967.76	848.22	1350.18	915.51	974.5	1015.93	1059.11	825.0	896.64	836.53	473.41	1015.93	620.67	1096.5	819.3	1250.98	642.59	954.43	796.86	1427.22	941.27	796.86	470.14	665.29	616.37	387.02	486.75	490.14	607.87	529.06	579.04	490.14	490.14	633.73	525.39	269.6	420.68	277.2	264.03	264.03	267.73	403.5
PRPF39	273.37	265.87	301.33	281.09	256.78	327.56	379.04	392.44	361.04	454.09	438.59	525.39	738.29	764.36	426.57	780.44	1051.79	866.07	896.64	928.3	559.28	988.12	1066.48	988.12	974.5	921.88	780.44	346.29	1135.2	693.58	1066.48	733.19	909.17	848.22	698.41	620.67	1081.39	656.11	559.28	246.28	376.41	209.84	178.77	318.57	232.94	348.71	518.15	595.34	323.03	307.69	339.14	318.57	141.02	353.59	205.5	157.68	212.78	242.88	376.41
PRR14	1111.82	764.36	595.34	738.29	441.64	698.41	995.0	961.07	1313.23	981.29	759.08	1417.35	995.0	1096.5	1008.9	1044.52	1733.13	1963.57	1628.26	2384.37	1651.0	1662.49	1963.57	1709.26	1295.13	1806.78	1447.15	928.3	1407.55	1304.15	1467.37	1594.73	1628.26	1572.76	1540.37	1388.16	1662.49	1159.07	1340.84	836.53	708.18	555.41	753.83	808.0	684.02	723.08	665.29	780.44	796.86	1322.37	1096.5	1096.5	819.3	1135.2	860.08	866.07	819.3	1059.11	1331.57
PRRT2	202.66	88.26	123.5	129.69	144.01	161.02	164.42	176.29	279.14	195.72	177.53	112.77	279.14	466.88	540.19	490.14	842.36	1008.9	1030.12	1088.92	612.11	941.27	813.63	1359.57	620.67	1183.45	1159.07	334.46	426.57	748.61	988.12	1044.52	1388.16	684.02	842.36	693.58	738.29	825.0	363.56	214.27	291.04	244.57	87.03	283.05	58.71	155.5	130.6	267.73	231.32	208.38	212.78	177.53	43.94	182.55	85.82	45.53	72.01	135.24	218.79
PTDSS2	503.95	358.54	334.46	379.04	291.04	397.93	454.09	457.25	476.71	447.82	387.02	529.06	486.75	463.65	490.14	470.14	896.64	995.0	961.07	1044.52	878.17	967.76	1250.98	836.53	728.11	830.75	599.49	460.44	819.3	651.58	842.36	974.5	802.41	854.13	603.67	693.58	748.61	708.18	476.71	642.59	507.46	454.09	497.0	397.93	406.31	400.71	447.82	368.65	395.18	587.13	591.22	470.14	346.29	460.44	387.02	348.71	289.02	490.14	525.39
RABL2A	183.82	142.01	163.28	155.5	122.64	202.66	248.0	305.55	312.0	312.0	269.6	318.57	447.82	483.38	314.17	591.22	684.02	555.41	981.29	708.18	373.81	616.37	872.1	848.22	473.41	785.88	571.05	242.88	872.1	403.5	708.18	738.29	713.11	665.29	642.59	518.15	595.34	529.06	563.18	229.72	170.25	339.14	299.25	264.03	199.85	262.2	289.02	351.14	291.04	343.89	241.19	289.02	237.86	343.89	153.34	215.77	218.79	277.2	281.09
RBM5	791.35	928.3	1447.15	1175.27	1059.11	1088.92	1896.65	1896.65	2384.37	1909.85	1457.23	1617.0	2193.99	3325.99	2367.9	3257.52	6792.79	3874.05	5751.61	6207.38	2816.11	5403.7	4836.35	6037.61	5594.3	5479.15	5006.93	2209.26	4903.87	3303.0	6471.02	3742.05	6294.04	4450.27	4210.15	3742.05	4210.15	3303.0	3639.7	1167.14	1191.69	1023.0	896.64	1199.98	830.75	1008.9	1540.37	2537.92	1685.71	1225.22	1487.87	1857.6	748.61	1447.15	669.92	536.45	854.13	1135.2	1662.49
RGL2	842.36	748.61	896.64	848.22	890.44	748.61	1030.12	896.64	1457.23	915.51	733.19	1909.85	1583.71	1950.0	1697.45	2018.8	2384.37	1794.29	5006.93	2796.65	2018.8	2061.24	2956.17	2451.44	1477.58	2627.46	2303.12	1427.22	1745.2	1844.76	2335.28	1639.59	2485.67	2777.33	2434.5	2075.59	1572.76	1572.76	1991.0	842.36	819.3	1073.91	764.36	1066.48	1081.39	563.18	967.76	1143.1	1037.29	1340.84	1662.49	1540.37	620.67	1208.34	698.41	547.75	559.28	775.05	995.0
RNF213	559.28	591.22	603.67	780.44	612.11	603.67	1143.1	872.1	961.07	1030.12	1051.79	1721.16	1551.09	1407.55	1044.52	1378.57	1936.53	1437.15	1417.35	1977.24	1167.14	1909.85	2119.22	1844.76	1487.87	1963.57	1757.34	921.88	1529.73	1199.98	2193.99	1378.57	2895.31	1369.04	1183.45	819.3	1295.13	1167.14	1369.04	583.07	660.68	551.56	981.29	521.76	693.58	406.31	559.28	1111.82	1143.1	941.27	733.19	713.11	860.08	1073.91	1073.91	583.07	860.08	802.41	1096.5
RNPC3	119.26	148.09	185.11	255.0	139.07	172.65	361.04	281.09	409.15	336.79	279.14	309.83	329.84	587.13	309.83	493.56	1340.84	698.41	1183.45	775.05	500.46	934.76	1216.75	1088.92	1216.75	1151.06	967.76	384.34	1175.27	890.44	1208.34	915.51	1104.13	981.29	921.88	679.29	1135.2	909.17	791.35	224.97	251.48	241.19	164.42	226.54	147.06	201.25	343.89	503.95	307.69	339.14	197.09	403.5	175.07	423.61	91.41	126.12	171.45	255.0	400.71
RP11-1407O15.2	170.25	231.32	193.01	251.48	249.73	158.79	327.56	242.88	279.14	295.11	217.27	551.56	540.19	473.41	441.64	500.46	579.04	532.74	723.08	848.22	348.71	466.88	854.13	703.28	563.18	624.99	529.06	332.14	511.0	579.04	753.83	616.37	819.3	579.04	583.07	536.45	521.76	642.59	392.44	183.82	251.48	221.86	191.67	144.01	256.78	177.53	242.88	376.41	277.2	346.29	277.2	312.0	104.42	426.57	90.14	157.68	115.97	277.2	463.65
RP11-192H23.4	5.5	7.11	7.11	1.35	4.43	6.21	36.79	13.52	16.75	15.34	12.74	48.18	36.27	43.94	22.26	53.95	58.71	63.45	105.89	115.16	40.64	84.63	61.25	88.88	52.08	97.36	99.43	21.78	73.54	33.3	64.34	110.43	68.55	77.79	58.3	48.52	91.41	34.02	48.52	5.45	6.94	4.74	11.64	6.16	8.13	3.41	11.13	21.94	25.91	35.5	13.22	25.54	11.3	13.03	12.36	3.38	6.52	10.88	26.86
RP11-347C12.1	12.09	12.45	33.3	12.27	20.71	42.71	104.42	32.13	56.28	64.34	38.12	73.03	63.89	221.86	40.07	202.66	202.66	206.94	301.33	199.85	172.65	329.84	260.38	295.11	135.24	123.5	236.21	33.54	255.0	118.43	236.21	190.34	206.94	291.04	163.28	211.31	193.01	185.11	202.66	16.63	25.91	7.63	31.0	15.34	8.78	6.36	49.56	85.22	65.72	34.26	52.08	19.97	5.59	55.49	44.25	8.06	13.52	16.75	28.04
RP11-468E2.4	6.46	3.53	10.16	3.92	10.47	6.62	16.39	4.03	5.54	30.34	14.24	27.64	16.03	16.51	18.7	36.53	24.81	18.84	32.59	47.17	17.77	31.22	38.95	48.87	11.73	39.5	20.11	11.91	19.82	25.17	18.43	38.95	31.67	43.02	29.48	19.68	43.32	33.54	17.9	1.87	4.1	5.11	10.39	2.39	4.06	4.86	14.03	7.75	10.79	32.82	8.0	9.56	9.56	14.78	19.82	8.58	8.51	16.51	23.76
RSAD1	454.09	373.81	457.25	400.71	363.56	559.28	507.46	532.74	514.56	579.04	507.46	361.04	441.64	490.14	327.56	642.59	1135.2	759.08	1127.35	1104.13	860.08	1096.5	928.3	1037.29	921.88	1066.48	988.12	480.04	1250.98	743.43	842.36	1044.52	1073.91	896.64	842.36	693.58	1001.93	723.08	624.99	400.71	346.29	371.22	457.25	500.46	363.56	450.94	587.13	547.75	514.56	429.54	389.72	473.41	264.03	285.03	241.19	217.27	205.5	264.03	341.51
SBF1	1183.45	791.35	759.08	684.02	612.11	703.28	890.44	638.15	708.18	728.11	397.93	1350.18	1044.52	1407.55	1378.57	1322.37	1617.0	1651.0	1662.49	1991.0	1322.37	1427.22	1844.76	1617.0	1313.23	1259.69	1167.14	1001.93	1437.15	1119.56	1277.29	1378.57	1427.22	1572.76	1159.07	1388.16	1242.34	902.89	967.76	591.22	796.86	497.0	642.59	409.15	423.61	444.72	444.72	656.11	780.44	915.51	830.75	1183.45	624.99	1104.13	1191.69	848.22	1081.39	1350.18	1304.15
SDR39U1	1051.79	941.27	1066.48	1001.93	842.36	1088.92	1073.91	1467.37	1508.65	1340.84	1286.18	1001.93	1225.22	1417.35	1250.98	1674.06	2468.49	3190.46	2835.7	3395.89	2591.27	2573.36	2777.33	2555.58	2119.22	2758.13	2682.69	1583.71	2400.97	1977.24	1923.14	2627.46	2777.33	2287.2	2468.49	2032.85	2400.97	2271.4	1977.24	1628.26	1143.1	1477.58	1295.13	1340.84	1437.15	1350.18	1073.91	1183.45	1143.1	1277.29	1540.37	1498.22	698.41	1277.29	928.3	723.08	860.08	1023.0	1359.57
SELO	260.38	226.54	231.32	269.6	253.23	251.48	476.71	395.18	444.72	353.59	363.56	551.56	507.46	463.65	366.09	651.58	884.29	1073.91	808.0	1388.16	967.76	890.44	854.13	909.17	775.05	813.63	775.05	332.14	909.17	483.38	764.36	769.69	928.3	738.29	748.61	669.92	813.63	620.67	490.14	356.05	249.73	307.69	412.0	353.59	376.41	275.28	291.04	307.69	384.34	395.18	429.54	457.25	236.21	287.01	275.28	251.48	218.79	291.04	303.44
SETD6	124.37	145.02	189.02	201.25	173.85	165.57	305.55	265.87	267.73	251.48	231.32	343.89	329.84	392.44	279.14	429.54	603.67	444.72	743.43	500.46	256.78	503.95	490.14	563.18	518.15	518.15	403.5	211.31	738.29	381.68	486.75	389.72	688.78	642.59	503.95	373.81	624.99	457.25	483.38	221.86	152.28	267.73	229.72	206.94	309.83	251.48	228.13	258.57	260.38	353.59	262.2	248.0	183.82	202.66	140.04	125.24	114.36	132.44	273.37
SETDB1	246.28	341.51	361.04	358.54	287.01	303.44	490.14	463.65	575.03	435.55	414.87	583.07	629.35	571.05	426.57	529.06	896.64	866.07	928.3	1008.9	555.41	860.08	981.29	1167.14	796.86	854.13	620.67	387.02	796.86	587.13	842.36	825.0	941.27	728.11	738.29	540.19	988.12	878.17	525.39	387.02	249.73	486.75	275.28	371.22	341.51	381.68	466.88	624.99	441.64	400.71	432.53	463.65	285.03	395.18	214.27	218.79	271.48	287.01	450.94
SGK494	32.13	13.32	17.0	13.22	14.24	13.83	45.85	74.06	68.55	84.04	45.21	167.9	154.42	153.34	75.11	167.9	387.02	201.25	579.04	318.57	133.36	253.23	285.03	356.05	291.04	366.09	295.11	50.98	316.37	198.47	232.94	285.03	307.69	400.71	262.2	118.43	316.37	202.66	211.31	34.26	33.3	43.02	53.95	13.72	12.18	19.25	46.18	70.51	81.71	68.55	38.4	71.0	21.16	53.95	21.32	5.41	23.08	41.22	63.45
SGSM3	764.36	503.95	559.28	559.28	470.14	575.03	1295.13	1295.13	743.43	1359.57	1519.15	988.12	733.19	813.63	684.02	1572.76	2468.49	2303.12	2627.46	3794.3	2032.85	2255.7	2609.3	3060.45	1963.57	2701.35	2537.92	1030.12	2434.5	1529.73	2119.22	3018.3	2701.35	2075.59	2303.12	2090.03	2319.15	1991.0	1340.84	872.1	1104.13	967.76	1159.07	1015.93	1127.35	743.43	1225.22	1023.0	1551.09	1143.1	1159.07	1127.35	603.67	836.53	764.36	616.37	728.11	915.51	1030.12
SLC26A1	16.27	10.63	6.73	8.78	9.7	22.92	38.12	34.02	15.68	47.5	11.82	23.93	27.25	48.87	35.25	59.13	46.5	102.97	173.85	156.59	65.72	123.5	47.5	115.97	64.8	148.09	105.15	40.93	72.01	90.14	35.5	172.65	151.22	112.77	68.55	77.25	69.52	61.25	69.03	10.31	12.09	15.45	25.91	27.44	26.28	14.56	13.22	34.26	22.92	26.47	52.45	40.93	27.25	43.02	26.28	15.22	8.78	17.51	27.44
SMPD4	688.78	688.78	559.28	551.56	483.38	679.29	981.29	703.28	896.64	713.11	599.49	1407.55	1104.13	967.76	830.75	1001.93	1519.15	1519.15	1674.06	1662.49	1167.14	1322.37	1781.89	1350.18	1151.06	1508.65	1617.0	780.44	1529.73	1066.48	1233.75	1286.18	1447.15	1350.18	1277.29	1143.1	1167.14	1135.2	872.1	713.11	764.36	607.87	591.22	656.11	551.56	555.41	563.18	688.78	921.88	753.83	718.08	743.43	543.96	836.53	775.05	486.75	642.59	743.43	866.07
SNAPC4	66.18	77.79	75.11	89.51	61.68	98.04	138.1	90.77	112.77	97.36	62.12	120.1	139.07	144.01	102.25	119.26	226.54	182.55	198.47	301.33	162.14	237.86	166.73	212.78	162.14	208.38	171.45	90.14	176.29	111.21	170.25	181.28	249.73	169.07	164.42	106.63	164.42	173.85	111.21	68.07	80.01	70.51	63.0	91.41	84.63	69.52	67.12	97.36	108.9	122.64	98.04	108.14	66.18	87.03	65.72	50.63	51.71	74.58	73.03
SNRNP70	2777.33	2047.0	2104.58	1628.26	1721.16	1991.0	4095.0	3716.2	4512.4	4181.07	3190.46	4802.93	5366.37	5711.87	2591.27	5913.33	8363.13	6561.36	12502.12	9344.14	5006.93	6121.9	9945.68	7537.18	6652.97	8778.97	6079.61	3124.78	9673.69	6561.36	7331.05	7331.05	8421.31	8247.98	6250.56	6207.38	5831.91	6699.25	6935.54	1896.65	2004.85	2895.31	2451.44	2255.7	2591.27	2004.85	2468.49	3540.14	4010.71	4328.55	3349.13	3303.0	1757.34	3614.55	2255.7	1769.57	2133.97	2303.12	3820.7
SON	1857.6	2018.8	2335.28	2004.85	2271.4	1977.24	3081.75	2193.99	2956.17	3060.45	1304.15	2591.27	3614.55	4038.61	3018.3	4358.66	4095.0	2739.08	6935.54	4388.98	2796.65	3467.27	5329.3	3768.09	3614.55	5112.16	4123.49	2777.33	5517.27	4210.15	4181.07	3467.27	4419.52	4736.79	4419.52	3716.2	3124.78	4210.15	4038.61	2018.8	2434.5	2075.59	2287.2	2004.85	2271.4	1909.85	1950.0	3257.52	3146.52	4512.4	2664.15	2367.9	2047.0	6840.04	2956.17	2133.97	2240.11	4066.71	6381.92
SPG7	679.29	698.41	743.43	836.53	551.56	723.08	1183.45	1183.45	1397.83	1242.34	769.69	1143.1	1023.0	1313.23	909.17	1519.15	2485.67	2627.46	1857.6	3146.52	2591.27	2701.35	1733.13	2976.74	2319.15	2976.74	2240.11	1051.79	2609.3	1662.49	2502.97	2163.77	3395.89	1498.22	2178.83	1819.35	3690.52	2133.97	1628.26	738.29	808.0	909.17	759.08	796.86	825.0	909.17	860.08	1073.91	1199.98	988.12	995.0	995.0	417.77	967.76	497.0	400.71	409.15	642.59	884.29
SRRM1	733.19	1023.0	878.17	872.1	674.59	1030.12	1662.49	1225.22	1806.78	1322.37	1135.2	1427.22	2061.24	2335.28	2004.85	2335.28	3820.7	2090.03	3103.19	2796.65	1605.83	2997.45	4066.71	2835.7	3060.45	2537.92	2591.27	1427.22	3018.3	2133.97	3124.78	2178.83	3443.31	2287.2	2240.11	2061.24	2255.7	2384.37	2835.7	1467.37	2032.85	1388.16	915.51	1059.11	1191.69	1208.34	1159.07	1721.16	1709.26	1806.78	1359.57	1359.57	1167.14	2148.82	967.76	1023.0	1350.18	1250.98	2255.7
SS18L1	49.56	93.35	119.26	108.14	87.65	92.05	154.42	125.24	110.43	155.5	115.16	217.27	211.31	223.41	183.82	269.6	334.46	305.55	395.18	420.68	236.21	309.83	417.77	329.84	312.0	318.57	287.01	92.05	336.79	229.72	363.56	309.83	348.71	307.69	301.33	224.97	497.0	281.09	205.5	148.09	208.38	107.38	147.06	150.17	90.77	111.99	146.03	164.42	156.59	138.1	117.6	142.01	53.57	88.26	58.3	40.07	52.82	111.99	151.22
STAT2	483.38	915.51	860.08	1023.0	669.92	785.88	1059.11	1159.07	1331.57	1216.75	1519.15	2351.53	2090.03	1936.53	1233.75	1674.06	2935.74	1457.23	2645.74	1963.57	1583.71	2609.3	3081.75	2520.38	2133.97	2335.28	1781.89	842.36	2271.4	1870.53	2485.67	2119.22	2720.15	2018.8	1605.83	1127.35	2573.36	1819.35	1447.15	878.17	571.05	848.22	830.75	656.11	674.59	665.29	890.44	1216.75	1088.92	1295.13	813.63	866.07	1407.55	866.07	555.41	660.68	571.05	1051.79	1199.98
STK11	642.59	718.08	693.58	723.08	543.96	808.0	915.51	860.08	909.17	915.51	536.45	1151.06	909.17	808.0	825.0	902.89	1519.15	1923.14	1331.57	2178.83	1685.71	1757.34	1477.58	1639.59	1286.18	1498.22	1199.98	713.11	1081.39	981.29	1286.18	1331.57	1508.65	1119.56	1199.98	1096.5	1322.37	1167.14	753.83	1015.93	941.27	599.49	713.11	780.44	753.83	583.07	651.58	830.75	902.89	759.08	1023.0	954.43	529.06	674.59	563.18	525.39	540.19	802.41	748.61
STK11IP	195.72	165.57	214.27	211.31	136.19	258.57	387.02	346.29	332.14	341.51	229.72	518.15	409.15	351.14	343.89	438.59	743.43	723.08	743.43	866.07	698.41	825.0	1242.34	830.75	551.56	836.53	813.63	277.2	1208.34	567.1	748.61	819.3	836.53	718.08	665.29	414.87	587.13	698.41	447.82	199.85	165.57	211.31	267.73	170.25	178.77	208.38	224.97	303.44	366.09	312.0	214.27	285.03	163.28	220.32	105.89	127.0	191.67	241.19	316.37
STRC	0.99	0.0	3.99	0.0	0.0	0.46	2.05	2.76	9.34	2.81	1.95	17.13	10.79	6.84	6.16	11.47	15.0	31.45	12.18	73.54	19.11	26.28	20.11	45.53	6.41	33.3	21.16	2.92	20.11	10.71	23.93	29.91	16.75	11.38	19.11	7.06	40.64	49.21	4.17	0.65	3.92	1.89	1.36	2.41	4.21	1.69	10.88	2.03	5.68	10.24	3.0	3.59	0.82	4.21	0.87	0.0	0.0	0.0	3.08
SUPT7L	348.71	444.72	438.59	463.65	381.68	395.18	559.28	591.22	669.92	638.15	490.14	728.11	825.0	780.44	642.59	656.11	1023.0	848.22	1073.91	954.43	656.11	785.88	808.0	921.88	860.08	995.0	759.08	543.96	878.17	728.11	1111.82	866.07	915.51	890.44	738.29	738.29	738.29	718.08	769.69	444.72	371.22	457.25	432.53	414.87	426.57	373.81	567.1	607.87	620.67	571.05	583.07	551.56	353.59	595.34	327.56	412.0	381.68	476.71	612.11
SUV420H2	62.56	84.04	57.49	77.79	23.42	98.73	204.07	182.55	199.85	146.03	141.02	708.18	244.57	151.22	109.66	181.28	559.28	457.25	379.04	813.63	389.72	591.22	368.65	417.77	435.55	547.75	395.18	129.69	389.72	224.97	507.46	511.0	536.45	295.11	366.09	224.97	525.39	309.83	325.29	124.37	76.17	135.24	96.68	99.43	80.01	70.01	154.42	176.29	197.09	218.79	205.5	171.45	90.14	103.69	38.12	77.79	78.34	93.35	155.5
SYNGAP1	116.78	242.88	239.52	309.83	309.83	279.14	373.81	175.07	426.57	241.19	152.28	551.56	698.41	825.0	595.34	612.11	642.59	356.05	1457.23	470.14	309.83	460.44	1250.98	698.41	444.72	674.59	476.71	356.05	540.19	679.29	480.04	860.08	624.99	775.05	392.44	366.09	603.67	579.04	503.95	119.26	105.89	158.79	211.31	113.56	117.6	108.9	191.67	414.87	366.09	551.56	500.46	476.71	269.6	665.29	406.31	279.14	214.27	684.02	633.73
TAF1C	305.55	336.79	353.59	343.89	358.54	363.56	703.28	511.0	743.43	525.39	444.72	1233.75	1044.52	1369.04	591.22	1051.79	1651.0	1313.23	1977.24	1508.65	848.22	1397.83	2178.83	1594.73	1277.29	2090.03	1540.37	551.56	1583.71	995.0	1457.23	1697.45	2018.8	1529.73	981.29	1175.27	1561.89	1277.29	1304.15	241.19	371.22	351.14	325.29	371.22	395.18	295.11	473.41	679.29	591.22	866.07	595.34	748.61	256.78	460.44	283.05	301.33	392.44	332.14	567.1
TAS2R5	2.76	5.73	2.71	6.94	3.56	2.68	16.03	13.22	15.22	17.13	9.85	10.55	8.85	31.67	11.21	17.77	41.22	53.95	87.03	61.68	15.91	36.79	75.64	96.01	29.27	60.39	42.71	18.43	101.54	29.48	28.65	38.67	64.8	50.63	54.33	26.1	24.28	37.05	39.5	2.2	1.5	1.62	4.98	1.97	2.84	2.53	11.47	20.11	13.22	6.57	11.82	7.82	3.56	4.98	0.0	0.83	1.3	3.41	6.94
TCERG1	395.18	397.93	460.44	490.14	473.41	525.39	679.29	684.02	728.11	679.29	567.1	819.3	830.75	1044.52	728.11	1096.5	1781.89	1331.57	1015.93	1457.23	842.36	1407.55	1015.93	1745.2	1757.34	1340.84	1242.34	547.75	1594.73	759.08	1594.73	1159.07	1508.65	728.11	1096.5	1208.34	1685.71	1350.18	995.0	376.41	275.28	358.54	293.07	414.87	336.79	503.95	612.11	884.29	693.58	674.59	543.96	540.19	389.72	693.58	444.72	279.14	395.18	460.44	785.88
TCIRG1	624.99	764.36	688.78	633.73	616.37	529.06	1709.26	1477.58	1498.22	1819.35	1844.76	3168.41	1963.57	2224.63	1167.14	2047.0	3716.2	3467.27	3280.18	4639.29	2976.74	3820.7	4543.8	4239.45	2758.13	4066.71	3257.52	1259.69	3467.27	1883.54	3928.15	3280.18	4543.8	2193.99	2997.45	3168.41	3103.19	3081.75	2148.82	656.11	785.88	423.61	363.56	713.11	395.18	329.84	1119.56	1208.34	1857.6	1896.65	1447.15	1350.18	872.1	1407.55	947.83	718.08	890.44	1225.22	1769.57
TEP1	170.25	329.84	339.14	258.57	260.38	232.94	555.41	299.25	361.04	718.08	285.03	414.87	476.71	543.96	329.84	490.14	728.11	599.49	518.15	521.76	480.04	738.29	629.35	599.49	738.29	633.73	444.72	228.13	819.3	612.11	563.18	551.56	435.55	536.45	547.75	336.79	848.22	540.19	529.06	182.55	246.28	244.57	279.14	182.55	204.07	314.17	248.0	514.56	476.71	336.79	293.07	351.14	483.38	457.25	409.15	293.07	463.65	507.46	688.78
