	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
NELL2	4066.71	5183.54	2004.85	2701.35	1844.76	2796.65	4419.52	2047.0	2645.74	830.75	3190.46	5147.73	483.38	2434.5	2255.7	713.11	3419.52	2855.44	3847.29	3146.52	4328.55	1781.89	2351.53	1794.29	3325.99	343.89	2502.97	4152.18	2319.15	808.0	514.56	159.9	2976.74	624.99	1304.15	4298.64	2976.74	1407.55	2209.26	2148.82	1561.89	341.51	155.5	928.3	293.07	251.48	43.02	381.68	215.77	3.35	1286.18	178.77	55.1	161.02	872.1	258.57	59.55	76.17	291.04	197.09	64.8	420.68	141.02	688.78	854.13	253.23	249.73	137.14	208.38	426.57	796.86	432.53	29.91	141.02	30.78	114.36	1572.76	33.06	967.76	332.14	189.02	12.45	215.77	285.03	995.0	159.9	117.6	921.88	395.18	81.71	124.37	14.14	329.84	1268.46	723.08	318.57	93.35	32.82	497.0	60.82	825.0	830.75	58.71
NRCAM	303.44	480.04	583.07	890.44	825.0	775.05	1001.93	802.41	511.0	547.75	363.56	813.63	470.14	1183.45	713.11	356.05	974.5	607.87	941.27	703.28	921.88	825.0	759.08	406.31	902.89	320.8	514.56	679.29	718.08	457.25	497.0	371.22	896.64	521.76	620.67	872.1	647.07	656.11	684.02	708.18	271.48	140.04	35.25	109.66	26.47	76.71	58.3	108.14	26.86	115.16	117.6	122.64	87.65	92.05	52.08	106.63	115.16	38.4	90.14	48.18	71.0	180.02	68.07	161.02	124.37	111.21	41.22	178.77	37.05	248.0	18.29	43.02	116.78	128.79	87.03	62.12	97.36	62.56	205.5	53.95	121.79	132.44	116.78	66.18	110.43	100.83	29.91	198.47	55.89	52.08	48.87	63.45	237.86	87.65	71.0	38.67	20.71	142.01	100.83	387.02	111.99	43.94	13.52
NRP2	1191.69	1605.83	1286.18	2133.97	1199.98	2351.53	2004.85	1963.57	3124.78	1477.58	1242.34	3103.19	1127.35	2855.44	2090.03	836.53	1628.26	2468.49	1151.06	1977.24	2351.53	1457.23	2758.13	1806.78	3847.29	1104.13	2434.5	5147.73	1685.71	1331.57	733.19	988.12	1268.46	346.29	1769.57	2384.37	1066.48	1457.23	1088.92	1378.57	1015.93	420.68	147.06	1081.39	193.01	93.35	124.37	373.81	368.65	88.26	551.56	166.73	1001.93	559.28	80.01	603.67	148.09	185.11	118.43	376.41	158.79	156.59	228.13	454.09	503.95	157.68	764.36	476.71	239.52	409.15	190.34	253.23	500.46	204.07	88.88	587.13	116.78	708.18	406.31	50.63	1030.12	193.01	470.14	262.2	77.25	332.14	540.19	208.38	89.51	83.45	50.98	107.38	320.8	102.25	217.27	332.14	145.02	341.51	67.59	197.09	295.11	497.0	239.52
ORMDL3	4298.64	5292.48	4268.94	5633.22	4181.07	3540.14	5147.73	3768.09	3820.7	5555.65	4575.41	6164.49	5751.61	5479.15	6294.04	3235.01	5872.48	4419.52	6079.61	5041.77	8022.41	5147.73	7280.4	3349.13	5041.77	3443.31	6607.01	5366.37	4736.79	4038.61	3639.7	4419.52	6516.03	4639.29	3589.58	5441.3	6037.61	6294.04	4972.34	4736.79	2956.17	2468.49	4607.24	4010.71	3372.43	2956.17	2609.3	2682.69	2319.15	4639.29	5076.84	4210.15	2816.11	1628.26	2915.45	2895.31	3124.78	3212.66	2224.63	2835.7	2367.9	3280.18	3614.55	3491.39	3146.52	2627.46	3168.41	4123.49	5872.48	3639.7	2224.63	2319.15	3564.78	2520.38	2720.15	2956.17	2720.15	4419.52	3039.3	3467.27	2061.24	2434.5	1991.0	1909.85	2104.58	3372.43	3212.66	3212.66	3081.75	2935.74	2645.74	2701.35	2997.45	2271.4	3419.52	3515.68	3257.52	2720.15	3928.15	1806.78	2935.74	2502.97	4181.07
OSTF1	1208.34	1030.12	1044.52	1044.52	1119.56	1199.98	1250.98	1104.13	947.83	1540.37	1030.12	1008.9	1104.13	1081.39	1143.1	1119.56	860.08	1378.57	1277.29	1159.07	1088.92	1001.93	1467.37	1096.5	1208.34	884.29	1030.12	1059.11	1183.45	1051.79	1350.18	1143.1	1119.56	1191.69	1322.37	1073.91	1286.18	884.29	1066.48	1066.48	921.88	764.36	902.89	1015.93	723.08	842.36	866.07	825.0	669.92	941.27	1216.75	403.5	884.29	693.58	612.11	909.17	819.3	591.22	1175.27	743.43	928.3	928.3	836.53	684.02	693.58	848.22	934.76	1059.11	878.17	860.08	660.68	981.29	808.0	591.22	1023.0	748.61	660.68	1008.9	981.29	890.44	743.43	1143.1	665.29	688.78	728.11	688.78	802.41	934.76	693.58	872.1	842.36	974.5	764.36	669.92	718.08	842.36	753.83	753.83	1037.29	848.22	718.08	842.36	860.08
PDE4C	392.44	514.56	395.18	332.14	251.48	271.48	271.48	872.1	242.88	713.11	343.89	460.44	182.55	172.65	493.56	376.41	384.34	325.29	135.24	366.09	738.29	175.07	460.44	150.17	409.15	108.14	417.77	486.75	447.82	146.03	166.73	134.3	551.56	860.08	414.87	529.06	633.73	293.07	525.39	483.38	89.51	20.11	15.22	11.21	10.71	18.7	19.11	44.25	6.36	15.34	17.38	125.24	102.25	41.81	32.82	28.65	21.94	8.58	1.3	31.22	9.27	28.45	8.19	31.45	57.49	13.12	33.78	16.39	13.93	69.03	5.41	4.78	71.5	18.97	102.25	18.29	12.09	12.27	26.1	14.14	28.86	68.55	55.49	28.86	32.13	40.36	15.11	13.62	14.67	0.0	5.96	105.15	66.65	19.11	59.55	4.28	10.88	123.5	91.41	77.25	3.56	12.27	12.45
PDLIM4	2739.08	4066.71	3491.39	8479.89	6935.54	4419.52	6426.31	5366.37	3690.52	6207.38	2835.7	5041.77	1639.59	4704.07	3982.99	1359.57	4575.41	4419.52	3491.39	4268.94	4358.66	4066.71	4869.99	3039.3	4268.94	4038.61	3742.05	6164.49	5672.41	2777.33	3716.2	1191.69	5517.27	8658.09	4123.49	5147.73	4210.15	1059.11	3928.15	7911.95	2997.45	444.72	253.23	287.01	55.49	387.02	336.79	379.04	138.1	44.25	159.9	518.15	503.95	728.11	50.63	128.79	348.71	255.0	63.89	273.37	432.53	173.85	232.94	287.01	283.05	591.22	693.58	49.21	381.68	381.68	320.8	1268.46	473.41	954.43	412.0	872.1	187.71	106.63	3847.29	255.0	368.65	438.59	420.68	320.8	314.17	275.28	563.18	575.03	41.81	392.44	31.67	395.18	117.6	85.22	201.25	153.34	87.65	368.65	420.68	2591.27	141.02	258.57	82.87
PLCD3	1950.0	1936.53	1963.57	2075.59	2816.11	1909.85	2400.97	2384.37	2133.97	2997.45	1685.71	2193.99	540.19	2997.45	2664.15	988.12	2835.7	2004.85	1963.57	2664.15	1977.24	2796.65	2502.97	981.29	2193.99	1467.37	2287.2	2701.35	3018.3	2209.26	2004.85	743.43	3257.52	3018.3	1407.55	3060.45	2451.44	902.89	2915.45	2468.49	1088.92	297.17	90.14	112.77	68.07	159.9	82.87	195.72	52.08	81.71	127.0	56.68	76.17	107.38	100.13	148.09	187.71	214.27	150.17	368.65	178.77	295.11	96.01	406.31	229.72	171.45	146.03	109.66	82.29	379.04	103.69	134.3	65.72	974.5	103.69	111.99	351.14	78.89	507.46	138.1	95.34	39.5	295.11	189.02	409.15	95.34	497.0	139.07	25.17	75.64	61.68	147.06	201.25	167.9	187.71	116.78	121.79	94.67	348.71	1295.13	154.42	212.78	60.39
PLEKHM2	1135.2	934.76	941.27	941.27	780.44	743.43	780.44	830.75	934.76	1066.48	896.64	896.64	836.53	1015.93	921.88	947.83	872.1	1051.79	860.08	1225.22	974.5	878.17	961.07	896.64	764.36	909.17	872.1	1151.06	928.3	819.3	954.43	995.0	928.3	769.69	1104.13	902.89	785.88	934.76	921.88	802.41	698.41	743.43	688.78	493.56	753.83	713.11	703.28	688.78	607.87	656.11	583.07	791.35	660.68	796.86	708.18	629.35	825.0	848.22	616.37	813.63	764.36	769.69	698.41	780.44	743.43	848.22	698.41	656.11	660.68	708.18	759.08	802.41	571.05	759.08	607.87	753.83	785.88	718.08	848.22	507.46	698.41	583.07	660.68	796.86	819.3	669.92	961.07	764.36	651.58	511.0	642.59	591.22	802.41	629.35	651.58	660.68	733.19	567.1	796.86	974.5	665.29	603.67	620.67
PLEKHN1	99.43	199.85	170.25	228.13	249.73	154.42	206.94	193.01	82.29	145.02	133.36	122.64	95.34	185.11	258.57	65.72	189.02	97.36	182.55	215.77	126.12	120.94	248.0	108.14	171.45	108.14	231.32	223.41	205.5	72.52	115.16	57.49	191.67	68.07	201.25	127.89	127.0	83.45	128.79	191.67	70.51	13.62	0.2	7.57	2.71	25.17	13.72	4.24	8.0	48.18	3.79	2.68	4.54	4.9	5.92	3.89	17.13	7.06	7.46	19.68	14.03	8.32	4.66	10.63	19.39	10.31	3.63	5.73	0.62	13.42	7.82	3.66	12.45	7.82	64.8	7.11	3.5	4.13	37.85	3.99	5.68	9.34	26.1	6.46	8.13	9.85	2.32	10.96	4.35	4.9	6.78	6.01	12.45	21.01	2.43	1.91	9.78	9.06	9.7	49.91	5.23	0.99	1.51
PROS1	2271.4	2645.74	2061.24	3589.58	3614.55	4358.66	4268.94	4836.35	4450.27	3060.45	2224.63	2915.45	1268.46	6037.61	2875.3	1096.5	3349.13	2835.7	2573.36	3467.27	4210.15	4769.75	2032.85	2895.31	3349.13	2384.37	2240.11	4671.57	3419.52	1295.13	1605.83	583.07	3168.41	3372.43	2502.97	3768.09	3146.52	1639.59	2384.37	2915.45	2032.85	616.37	211.31	186.4	181.28	237.86	155.5	173.85	36.01	314.17	181.28	33.3	148.09	223.41	242.88	384.34	244.57	336.79	500.46	327.56	165.57	195.72	176.29	305.55	141.02	215.77	265.87	146.03	144.01	162.14	353.59	351.14	167.9	223.41	142.01	256.78	269.6	432.53	363.56	111.99	426.57	397.93	165.57	511.0	175.07	138.1	607.87	1037.29	83.45	102.25	255.0	150.17	733.19	204.07	185.11	320.8	149.12	175.07	75.64	802.41	169.07	100.83	87.03
RAB27A	1819.35	2319.15	1295.13	1674.06	2178.83	2163.77	2451.44	2319.15	3039.3	2319.15	1781.89	2816.11	1540.37	2287.2	1883.54	1487.87	2335.28	2224.63	1605.83	2075.59	2075.59	2367.9	1721.16	1781.89	3540.14	1277.29	1977.24	2997.45	1467.37	1963.57	1066.48	902.89	1397.83	3257.52	2255.7	2701.35	2287.2	1857.6	1561.89	2816.11	1030.12	684.02	409.15	638.15	414.87	872.1	624.99	470.14	273.37	1143.1	620.67	476.71	332.14	1909.85	450.94	271.48	518.15	327.56	713.11	351.14	607.87	674.59	318.57	320.8	327.56	688.78	387.02	379.04	363.56	599.49	540.19	684.02	426.57	813.63	624.99	249.73	429.54	323.03	1427.22	470.14	244.57	1277.29	486.75	638.15	1104.13	262.2	305.55	1159.07	599.49	674.59	575.03	463.65	571.05	500.46	733.19	497.0	244.57	215.77	872.1	1745.2	241.19	460.44	299.25
RARG	878.17	1127.35	1233.75	954.43	1175.27	961.07	1104.13	1175.27	1096.5	1023.0	743.43	1135.2	813.63	1233.75	1417.35	769.69	1151.06	1268.46	785.88	1051.79	1096.5	1104.13	988.12	848.22	954.43	848.22	1023.0	1088.92	1066.48	1242.34	988.12	866.07	1191.69	878.17	974.5	1250.98	1001.93	718.08	995.0	1159.07	819.3	473.41	400.71	381.68	348.71	595.34	507.46	595.34	688.78	607.87	529.06	358.54	642.59	232.94	339.14	934.76	417.77	583.07	514.56	299.25	299.25	638.15	441.64	981.29	825.0	361.04	503.95	532.74	348.71	629.35	500.46	346.29	536.45	441.64	638.15	775.05	450.94	571.05	571.05	493.56	493.56	366.09	656.11	353.59	366.09	387.02	563.18	447.82	265.87	255.0	323.03	423.61	447.82	460.44	551.56	264.03	660.68	429.54	540.19	447.82	1008.9	759.08	728.11
RBBP8	674.59	872.1	836.53	656.11	591.22	723.08	587.13	454.09	438.59	412.0	674.59	638.15	555.41	532.74	591.22	567.1	669.92	503.95	785.88	713.11	674.59	599.49	612.11	647.07	629.35	486.75	603.67	947.83	567.1	769.69	567.1	476.71	583.07	896.64	1037.29	764.36	486.75	521.76	665.29	591.22	358.54	325.29	463.65	497.0	480.04	348.71	432.53	454.09	291.04	297.17	447.82	64.8	379.04	579.04	305.55	363.56	291.04	363.56	698.41	329.84	444.72	473.41	312.0	320.8	285.03	423.61	314.17	249.73	295.11	426.57	412.0	463.65	438.59	379.04	500.46	226.54	500.46	303.44	409.15	503.95	190.34	595.34	323.03	638.15	376.41	307.69	234.57	400.71	320.8	583.07	435.55	397.93	271.48	583.07	368.65	540.19	348.71	297.17	291.04	599.49	384.34	429.54	490.14
RCC2	988.12	1081.39	941.27	1066.48	830.75	780.44	866.07	934.76	738.29	1135.2	872.1	860.08	921.88	1199.98	854.13	748.61	909.17	1167.14	791.35	1081.39	848.22	854.13	1073.91	909.17	928.3	854.13	1081.39	1199.98	1111.82	1295.13	854.13	764.36	896.64	915.51	698.41	860.08	796.86	693.58	723.08	738.29	723.08	497.0	620.67	454.09	583.07	366.09	406.31	348.71	514.56	470.14	314.17	579.04	395.18	813.63	454.09	384.34	414.87	486.75	400.71	547.75	503.95	480.04	412.0	438.59	525.39	303.44	343.89	629.35	587.13	339.14	486.75	429.54	521.76	320.8	420.68	409.15	532.74	583.07	656.11	603.67	406.31	503.95	503.95	483.38	384.34	454.09	525.39	490.14	480.04	514.56	376.41	660.68	381.68	536.45	595.34	551.56	384.34	500.46	336.79	525.39	483.38	518.15	351.14
RDM1	19.97	15.34	10.24	1.95	8.99	9.06	6.73	9.06	11.47	27.84	25.35	14.78	12.83	10.24	8.85	9.34	13.32	12.55	11.21	14.89	17.0	8.0	13.52	16.88	11.73	4.54	20.56	22.59	8.32	2.89	9.56	4.1	7.46	20.26	16.75	7.63	6.11	19.53	13.12	5.54	2.39	2.1	1.75	12.0	0.0	0.0	0.0	4.5	0.0	2.27	3.11	0.0	8.0	0.0	3.69	6.67	2.73	0.0	0.0	0.0	0.0	0.0	3.79	16.15	5.15	3.99	0.0	4.7	0.0	26.1	0.0	3.76	0.0	0.0	0.0	4.46	0.0	5.5	0.0	3.2	2.23	2.2	0.0	0.0	13.12	6.11	0.0	3.82	3.17	0.0	7.28	0.0	5.68	2.71	0.0	7.63	0.0	0.0	1.64	12.18	6.26	3.11	0.0
RIN1	242.88	358.54	265.87	307.69	208.38	239.52	262.2	279.14	218.79	348.71	255.0	187.71	127.0	301.33	305.55	113.56	194.36	287.01	202.66	244.57	242.88	195.72	113.56	208.38	185.11	169.07	127.0	309.83	341.51	193.01	224.97	64.34	279.14	177.53	366.09	220.32	190.34	108.9	208.38	248.0	117.6	43.94	27.44	32.59	25.54	46.84	45.85	29.7	41.22	32.82	43.02	8.85	49.56	13.72	12.18	76.71	52.82	45.21	24.11	27.25	21.47	28.86	33.3	72.52	52.82	35.5	38.67	42.71	46.18	19.39	28.86	25.17	100.13	85.82	37.59	45.53	15.34	98.73	71.5	9.48	39.22	42.11	28.45	23.59	11.55	32.36	47.17	13.32	16.15	25.35	18.03	52.82	38.4	24.46	12.0	25.91	17.9	54.72	35.0	171.45	47.5	16.27	44.25
RMI2	48.18	150.17	251.48	253.23	373.81	343.89	171.45	336.79	301.33	490.14	180.02	185.11	211.31	226.54	111.21	127.89	191.67	281.09	175.07	309.83	154.42	101.54	208.38	110.43	102.97	157.68	353.59	162.14	293.07	112.77	231.32	60.39	228.13	271.48	285.03	162.14	409.15	198.47	195.72	221.86	127.89	26.67	38.95	100.13	97.36	29.27	61.68	116.78	27.25	48.52	50.98	42.71	73.54	43.63	150.17	39.22	53.19	74.06	18.84	32.82	68.55	48.87	47.84	74.58	143.01	156.59	125.24	32.59	33.3	64.34	30.12	34.02	35.5	108.9	88.88	63.89	53.57	66.65	90.77	74.06	98.73	78.34	136.19	44.89	51.35	116.78	141.02	66.18	4.39	42.11	150.17	64.8	154.42	17.38	73.54	82.87	136.19	63.45	51.71	93.35	97.36	47.5	45.85
RNF24	400.71	387.02	346.29	409.15	426.57	426.57	400.71	414.87	511.0	454.09	417.77	547.75	316.37	660.68	336.79	301.33	450.94	368.65	307.69	447.82	371.22	497.0	283.05	389.72	412.0	363.56	363.56	470.14	438.59	429.54	363.56	309.83	361.04	336.79	371.22	406.31	409.15	466.88	332.14	366.09	249.73	232.94	155.5	132.44	144.01	193.01	175.07	77.25	73.54	169.07	132.44	172.65	139.07	262.2	110.43	91.41	157.68	176.29	131.51	163.28	229.72	172.65	149.12	107.38	84.04	115.16	147.06	176.29	201.25	115.97	162.14	265.87	141.02	143.01	137.14	121.79	169.07	154.42	236.21	186.4	81.71	195.72	137.14	130.6	193.01	98.04	126.12	262.2	269.6	215.77	153.34	161.02	173.85	164.42	190.34	244.57	129.69	95.34	131.51	187.71	121.79	119.26	101.54
RP11-366L20.2	51.71	88.88	406.31	96.01	289.02	379.04	358.54	256.78	255.0	409.15	73.54	476.71	381.68	480.04	414.87	181.28	470.14	199.85	191.67	409.15	255.0	251.48	218.79	96.68	301.33	48.52	432.53	441.64	255.0	224.97	136.19	122.64	525.39	256.78	144.01	490.14	271.48	183.82	301.33	127.0	51.35	53.57	32.13	18.03	23.93	5.82	18.7	12.74	10.31	2.51	52.82	43.63	10.55	19.11	39.22	16.03	9.78	41.81	9.41	87.65	4.82	60.82	40.36	19.53	40.07	9.7	27.05	24.81	7.75	11.21	25.35	20.11	31.22	11.64	4.82	10.39	47.5	4.17	25.54	111.21	33.54	84.63	23.42	31.67	14.35	15.11	18.7	18.29	54.33	16.88	50.98	6.21	376.41	99.43	8.85	47.84	172.65	8.32	10.79	26.67	48.87	15.0	44.89
RPS6KA4	656.11	503.95	547.75	429.54	301.33	351.14	297.17	486.75	381.68	376.41	480.04	420.68	356.05	447.82	397.93	483.38	305.55	642.59	432.53	532.74	497.0	361.04	429.54	432.53	429.54	409.15	351.14	507.46	444.72	371.22	525.39	417.77	358.54	334.46	547.75	406.31	417.77	525.39	384.34	420.68	271.48	303.44	323.03	262.2	309.83	297.17	389.72	279.14	208.38	320.8	267.73	94.01	318.57	208.38	172.65	269.6	366.09	279.14	325.29	248.0	414.87	376.41	351.14	316.37	409.15	169.07	303.44	341.51	371.22	273.37	289.02	329.84	312.0	198.47	400.71	260.38	234.57	376.41	473.41	234.57	258.57	358.54	318.57	312.0	251.48	198.47	363.56	283.05	264.03	285.03	303.44	397.93	209.84	253.23	218.79	307.69	325.29	241.19	291.04	400.71	289.02	271.48	325.29
RUNX1	323.03	376.41	417.77	403.5	466.88	435.55	341.51	529.06	397.93	231.32	277.2	400.71	167.9	334.46	435.55	202.66	299.25	688.78	376.41	473.41	450.94	483.38	231.32	332.14	460.44	490.14	312.0	406.31	291.04	249.73	228.13	96.68	249.73	232.94	466.88	403.5	384.34	191.67	366.09	423.61	267.73	44.57	34.51	32.13	14.78	30.56	40.07	23.93	24.11	48.52	36.79	26.28	49.91	164.42	11.64	43.63	42.11	27.64	28.65	18.29	71.5	75.64	32.36	47.84	74.06	96.01	67.12	50.63	50.27	38.4	40.36	46.84	94.67	57.89	32.36	28.86	25.17	106.63	133.36	18.7	39.22	57.08	33.06	13.42	98.73	29.48	41.22	108.14	14.35	19.68	7.63	33.78	55.1	12.09	18.84	67.59	22.43	24.63	37.05	182.55	22.59	19.68	18.7
RXRG	2104.58	2018.8	1540.37	3257.52	2664.15	2895.31	3257.52	1295.13	3419.52	3257.52	2133.97	2400.97	2935.74	2193.99	1832.01	1023.0	1467.37	1733.13	2417.67	3124.78	2271.4	1733.13	3540.14	1662.49	2193.99	543.96	3564.78	3081.75	2485.67	693.58	947.83	1313.23	2895.31	1340.84	2075.59	2178.83	2502.97	1572.76	1721.16	2303.12	866.07	154.42	16.88	59.55	12.55	38.95	19.11	198.47	21.94	7.69	47.17	1.83	140.04	4.82	5.02	51.35	18.43	24.99	72.01	0.4	20.86	25.54	112.77	129.69	57.08	7.57	232.94	42.41	23.25	36.79	2.68	23.42	16.15	11.38	22.1	106.63	36.01	71.5	1066.48	6.41	85.22	28.45	64.34	9.56	4.62	161.02	16.15	62.12	3.79	19.25	2.51	8.78	46.18	11.21	17.13	13.22	43.02	31.0	5.28	25.91	93.35	59.55	122.64
RYR1	379.04	412.0	332.14	395.18	253.23	490.14	327.56	607.87	808.0	373.81	366.09	285.03	325.29	361.04	356.05	253.23	379.04	555.41	246.28	444.72	460.44	387.02	384.34	291.04	769.69	202.66	620.67	633.73	366.09	341.51	212.78	279.14	211.31	156.59	332.14	395.18	848.22	540.19	420.68	551.56	169.07	90.14	48.18	31.22	17.13	15.0	33.54	53.57	16.51	35.76	45.53	3.35	36.53	23.59	27.64	42.41	17.13	55.1	191.67	96.68	57.08	115.97	10.88	90.14	12.18	31.22	120.1	84.63	40.36	90.77	25.54	49.91	15.56	4.54	35.25	75.11	96.68	62.12	368.65	29.7	34.26	46.84	107.38	75.64	116.78	19.11	34.51	64.34	11.82	21.16	14.89	6.94	85.82	5.68	15.8	43.02	35.76	69.03	48.18	94.67	43.32	11.13	38.12
SAMD1	974.5	860.08	1081.39	974.5	1023.0	728.11	995.0	1167.14	1073.91	909.17	825.0	1037.29	813.63	1066.48	1183.45	638.15	759.08	981.29	866.07	813.63	947.83	713.11	1001.93	775.05	723.08	848.22	759.08	1331.57	1030.12	981.29	854.13	660.68	1286.18	802.41	1051.79	890.44	1023.0	909.17	848.22	848.22	514.56	540.19	567.1	547.75	412.0	289.02	483.38	320.8	356.05	447.82	518.15	547.75	343.89	395.18	346.29	447.82	511.0	486.75	591.22	426.57	429.54	490.14	366.09	460.44	529.06	289.02	463.65	567.1	444.72	343.89	271.48	460.44	371.22	351.14	656.11	420.68	309.83	417.77	665.29	629.35	334.46	473.41	483.38	291.04	368.65	289.02	376.41	325.29	500.46	476.71	361.04	518.15	403.5	387.02	295.11	368.65	423.61	358.54	656.11	629.35	483.38	457.25	514.56
SDC4	15075.35	13681.08	9088.59	14461.21	14765.09	12415.75	16960.78	20310.37	7803.01	10512.82	9409.14	16843.62	5555.65	11827.67	12415.75	4836.35	13399.51	11267.44	10368.08	10659.59	17078.76	14561.8	12502.12	7130.55	14262.1	5831.91	11584.24	12244.81	12329.98	6294.04	8538.88	2997.45	11504.21	8078.22	8247.98	15934.98	18052.61	5555.65	13776.25	13123.73	6079.61	1991.0	2520.38	1757.34	1183.45	3235.01	802.41	1977.24	3794.3	2303.12	1572.76	5954.47	1572.76	7032.37	1023.0	669.92	1794.29	2075.59	1331.57	1242.34	1551.09	1674.06	1447.15	1477.58	854.13	3212.66	1073.91	780.44	1745.2	2720.15	2451.44	2240.11	1340.84	3018.3	2032.85	1350.18	1572.76	647.07	6079.61	1088.92	2485.67	764.36	1397.83	1457.23	3349.13	3103.19	1628.26	5006.93	1561.89	1583.71	1551.09	995.0	1923.14	1216.75	1388.16	2104.58	1015.93	1286.18	2997.45	4903.87	884.29	1561.89	651.58
