	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.V1D1.0926.SM.4JBHQ
RAD9A	0.0	0.69	275.28	688.78	490.14	275.28	420.68	392.44	403.5	656.11	473.41	571.05	181.28	511.0	260.38	669.92	688.78	297.17	728.11	381.68	463.65	420.68	738.29	379.04	525.39	490.14	802.41	301.33	426.57	403.5	312.0	583.07	591.22	703.28	287.01	287.01	432.53	285.03	400.71	392.44	215.77	275.28	486.75	988.12	607.87	202.66	769.69	698.41	447.82	1037.29	361.04	483.38	2148.82	379.04	432.53	503.95	775.05	351.14	1268.46	447.82	791.35	241.19	368.65	316.37	429.54	638.15	674.59	275.28	500.46	381.68	536.45	483.38	503.95	866.07	332.14	343.89	579.04	514.56	412.0	285.03	438.59	366.09	713.11	656.11	293.07	759.08	301.33	403.5	389.72	320.8	412.0	669.92	329.84	595.34	796.86	738.29	366.09	460.44	476.71	293.07	323.03	438.59	414.87	718.08	275.28	303.44	316.37	366.09	454.09	373.81	267.73	591.22
RBM4B	0.0	0.2	395.18	447.82	507.46	426.57	432.53	483.38	309.83	688.78	507.46	624.99	384.34	525.39	444.72	836.53	476.71	518.15	647.07	334.46	743.43	397.93	476.71	620.67	409.15	392.44	688.78	444.72	406.31	281.09	395.18	518.15	486.75	409.15	325.29	423.61	486.75	400.71	476.71	363.56	432.53	486.75	503.95	796.86	743.43	371.22	791.35	679.29	392.44	995.0	301.33	547.75	1322.37	373.81	463.65	551.56	967.76	414.87	819.3	432.53	642.59	414.87	559.28	353.59	629.35	616.37	583.07	438.59	438.59	507.46	432.53	503.95	432.53	703.28	432.53	450.94	638.15	438.59	571.05	432.53	753.83	376.41	547.75	575.03	236.21	607.87	514.56	620.67	211.31	409.15	511.0	884.29	463.65	575.03	909.17	733.19	470.14	490.14	559.28	563.18	473.41	463.65	559.28	660.68	500.46	470.14	397.93	447.82	629.35	559.28	444.72	1208.34
RNF166	0.0	0.56	206.94	312.0	297.17	211.31	149.12	199.85	182.55	297.17	242.88	389.72	154.42	255.0	273.37	603.67	218.79	197.09	397.93	151.22	287.01	164.42	336.79	229.72	180.02	316.37	314.17	175.07	212.78	244.57	145.02	186.4	178.77	299.25	218.79	147.06	201.25	299.25	204.07	175.07	152.28	198.47	379.04	166.73	305.55	177.53	325.29	291.04	289.02	507.46	287.01	318.57	483.38	170.25	265.87	236.21	444.72	127.89	366.09	237.86	289.02	164.42	242.88	211.31	251.48	114.36	253.23	157.68	217.27	152.28	285.03	303.44	190.34	397.93	157.68	148.09	193.01	228.13	229.72	169.07	255.0	215.77	325.29	236.21	194.36	381.68	133.36	285.03	211.31	189.02	201.25	332.14	236.21	275.28	457.25	289.02	176.29	285.03	244.57	309.83	154.42	226.54	193.01	493.56	224.97	198.47	110.43	164.42	204.07	163.28	211.31	518.15
RP11-1212A22.4	0.0	1.0	1059.11	1073.91	1519.15	647.07	934.76	1111.82	947.83	2018.8	1487.87	1936.53	819.3	1369.04	1151.06	1909.85	2178.83	591.22	1498.22	872.1	1427.22	1350.18	1844.76	2816.11	995.0	1037.29	2287.2	638.15	1340.84	1051.79	674.59	1023.0	312.0	1313.23	961.07	559.28	954.43	921.88	1023.0	791.35	490.14	967.76	1457.23	1923.14	1923.14	532.74	1832.01	1322.37	785.88	3018.3	1159.07	909.17	2178.83	1167.14	1088.92	1191.69	2417.67	684.02	3060.45	995.0	1709.26	1088.92	1304.15	1051.79	2627.46	1407.55	2255.7	363.56	1561.89	866.07	1216.75	1870.53	1651.0	2178.83	1088.92	934.76	1304.15	1216.75	1639.59	1295.13	3564.78	1015.93	1508.65	1745.2	665.29	1832.01	1295.13	1594.73	902.89	961.07	392.44	1769.57	612.11	1685.71	3081.75	884.29	1437.15	1923.14	2468.49	947.83	764.36	728.11	878.17	2240.11	205.5	490.14	813.63	941.27	1233.75	802.41	819.3	2664.15
RP11-644F5.10	0.0	0.52	27.64	11.82	53.19	25.91	10.96	21.78	11.13	67.59	39.79	43.02	12.18	39.5	24.28	51.35	15.45	12.18	59.97	22.59	42.71	24.46	48.87	28.45	15.11	26.28	84.63	29.48	21.47	19.39	23.59	29.48	19.11	23.08	26.47	34.26	26.1	23.59	19.39	22.59	15.22	16.03	42.41	43.02	58.71	8.99	58.3	44.25	17.51	37.85	25.54	34.51	102.97	19.68	26.28	52.45	44.57	15.56	31.22	18.29	43.63	8.71	12.0	15.8	36.27	11.55	20.26	19.25	20.71	17.0	31.9	30.78	29.06	22.59	12.27	24.28	43.94	20.86	20.26	14.14	26.47	30.78	47.17	47.5	17.64	37.59	20.86	24.99	10.71	17.64	17.0	65.26	33.78	90.14	127.89	35.0	28.65	19.11	34.51	16.51	16.88	19.25	38.4	31.9	88.88	17.51	45.53	16.63	45.21	45.53	24.99	62.12
RP4-583P15.15	0.0	0.75	28.24	59.13	100.83	17.38	42.41	25.17	33.3	83.45	112.77	86.43	11.21	43.32	25.35	76.71	84.04	42.41	102.25	12.27	86.43	69.52	98.73	62.12	35.0	57.49	120.94	25.91	52.82	71.5	15.0	49.91	41.22	66.18	40.36	26.1	53.57	26.1	42.71	24.46	6.21	13.83	81.71	122.64	94.67	25.54	164.42	91.41	56.28	134.3	56.28	69.03	98.04	43.02	41.81	78.34	171.45	26.28	133.36	34.02	70.01	22.59	38.4	29.06	59.97	43.32	99.43	16.63	60.39	14.56	72.52	62.56	68.07	129.69	29.7	12.64	62.56	53.95	58.3	24.63	164.42	42.11	79.45	73.54	30.34	94.01	28.45	70.51	18.16	21.78	26.86	94.67	35.5	84.04	164.42	137.14	55.89	57.08	76.71	40.64	21.47	38.12	37.85	109.66	22.59	23.76	27.25	28.24	48.18	22.92	17.9	128.79
SAP25	0.0	1.28	5.41	3.29	32.13	8.71	10.39	40.64	0.0	92.7	19.53	68.55	10.24	31.22	15.91	248.0	18.56	32.59	49.91	0.0	309.83	17.9	31.22	74.58	5.19	32.82	55.89	24.46	18.03	12.09	4.62	49.21	0.0	7.63	48.52	0.0	29.27	0.0	25.54	0.0	0.0	7.11	15.11	197.09	111.99	32.13	172.65	19.25	23.25	161.02	16.88	84.04	466.88	0.0	39.79	57.08	183.82	0.0	70.51	8.65	84.63	10.71	0.0	7.0	53.19	14.89	90.14	0.0	3.44	14.89	4.94	85.22	10.96	33.06	5.15	0.0	80.01	6.31	6.84	4.82	48.18	0.0	60.39	120.94	2.89	96.68	0.0	94.01	0.0	0.0	0.0	121.79	2.25	136.19	100.13	246.28	27.64	6.46	46.18	37.05	4.98	2.86	9.93	206.94	27.44	0.0	74.06	0.0	109.66	0.0	0.0	146.03
SLC23A3	0.0	0.91	22.75	39.22	52.08	4.82	28.65	13.62	31.0	50.98	78.89	43.63	8.51	25.35	16.27	121.79	35.25	29.48	59.13	8.0	57.08	24.46	55.1	34.02	30.12	34.75	92.05	4.58	32.13	21.78	7.57	33.06	29.06	29.27	41.22	15.91	23.59	13.83	19.11	19.25	3.89	9.48	35.76	35.25	78.89	7.88	64.34	60.82	19.25	76.71	32.13	36.79	127.0	17.38	39.79	31.22	142.01	9.48	78.89	12.36	53.95	12.36	20.56	9.93	25.91	21.32	63.0	13.12	24.11	10.39	24.11	63.89	24.46	68.55	28.24	8.51	66.65	31.22	18.29	12.64	52.08	24.46	71.5	53.95	11.91	47.5	30.78	31.45	10.88	15.8	11.21	46.18	17.9	75.64	221.86	74.58	28.24	27.05	42.71	18.56	9.78	13.93	9.85	65.72	4.82	10.96	4.54	9.63	22.75	11.55	2.53	73.03
SLC25A34	0.0	0.58	6.36	4.43	23.59	4.7	13.83	6.73	9.85	27.25	21.78	27.05	8.25	8.65	5.73	37.32	15.91	41.22	38.12	2.46	25.54	14.89	11.38	14.03	3.72	25.91	28.04	6.57	29.7	8.25	3.76	14.56	8.71	24.63	70.01	7.22	14.14	6.84	18.84	9.93	3.47	6.21	27.84	82.29	40.93	9.78	35.76	15.91	2.76	53.19	16.63	14.67	76.71	9.7	23.93	16.75	81.14	8.58	32.82	6.01	21.47	4.82	4.66	10.24	10.55	17.9	28.65	5.36	13.93	10.63	14.45	12.74	21.01	45.53	7.34	10.63	40.07	8.32	7.34	6.89	31.9	13.93	33.3	24.11	5.32	23.42	6.62	21.16	3.41	6.73	9.06	43.02	8.58	25.17	65.72	37.05	10.63	15.91	10.79	12.55	5.87	10.24	15.22	27.64	7.22	3.38	8.78	9.34	18.29	27.44	14.78	88.26
SLC39A5	0.0	0.48	2.34	3.0	6.62	4.5	3.86	7.06	1.25	6.16	3.47	13.93	1.85	5.63	3.69	15.68	12.45	8.65	4.17	2.81	8.65	11.04	0.89	6.62	2.68	4.82	9.93	1.41	6.46	4.5	1.77	6.46	6.26	5.5	4.54	4.7	8.06	2.34	0.88	4.35	2.36	3.69	0.0	14.03	12.64	2.16	29.06	13.93	11.91	10.55	3.92	6.52	28.45	2.68	6.41	6.41	19.53	3.69	7.28	2.39	8.58	0.88	5.36	9.56	5.15	4.39	12.36	2.81	4.1	3.63	4.39	6.67	1.33	24.46	4.43	5.19	8.85	9.85	3.99	0.0	11.47	2.32	16.15	5.15	7.06	5.02	6.41	8.45	2.81	18.7	8.38	25.17	3.23	5.73	13.83	13.72	2.25	11.04	15.8	5.23	4.35	3.29	6.01	11.55	1.35	3.23	1.93	3.17	8.71	5.32	1.35	15.0
SNRNP35	0.0	0.37	665.29	1350.18	1104.13	759.08	759.08	1066.48	947.83	1119.56	961.07	909.17	718.08	981.29	759.08	1259.69	825.0	769.69	878.17	902.89	813.63	954.43	1437.15	764.36	1015.93	1159.07	1135.2	796.86	830.75	503.95	802.41	825.0	1295.13	941.27	616.37	1001.93	753.83	733.19	769.69	503.95	842.36	708.18	1151.06	1551.09	1088.92	624.99	1340.84	981.29	1143.1	1487.87	1175.27	1015.93	1208.34	813.63	1359.57	981.29	1225.22	860.08	1639.59	808.0	928.3	748.61	967.76	791.35	1167.14	928.3	1073.91	813.63	988.12	753.83	1135.2	995.0	1135.2	1359.57	995.0	830.75	1096.5	967.76	921.88	651.58	1008.9	738.29	1208.34	995.0	988.12	1159.07	718.08	1023.0	642.59	878.17	995.0	1304.15	974.5	1350.18	1388.16	1359.57	878.17	1183.45	1044.52	713.11	684.02	878.17	796.86	902.89	642.59	703.28	780.44	813.63	995.0	974.5	579.04	1259.69
TAZ	0.0	0.97	269.6	460.44	591.22	199.85	256.78	356.05	297.17	559.28	563.18	575.03	164.42	363.56	285.03	941.27	353.59	346.29	647.07	180.02	567.1	555.41	567.1	381.68	291.04	435.55	603.67	249.73	414.87	381.68	183.82	460.44	325.29	457.25	339.14	163.28	285.03	299.25	279.14	205.5	183.82	224.97	438.59	638.15	607.87	202.66	791.35	555.41	361.04	974.5	417.77	480.04	679.29	339.14	447.82	540.19	642.59	234.57	514.56	293.07	559.28	199.85	314.17	248.0	480.04	493.56	733.19	206.94	381.68	251.48	423.61	579.04	403.5	728.11	223.41	180.02	536.45	384.34	361.04	214.27	612.11	353.59	785.88	521.76	275.28	624.99	293.07	483.38	231.32	229.72	314.17	583.07	336.79	567.1	836.53	759.08	351.14	490.14	521.76	307.69	248.0	283.05	316.37	738.29	258.57	217.27	353.59	202.66	466.88	277.2	218.79	921.88
TBC1D3	0.0	0.67	24.99	125.24	120.1	30.78	40.36	138.1	59.13	267.73	108.9	193.01	41.22	38.4	81.71	389.72	162.14	59.13	229.72	57.89	172.65	149.12	532.74	287.01	86.43	211.31	457.25	55.89	153.34	143.01	40.64	194.36	130.6	195.72	87.65	91.41	97.36	35.0	120.94	63.89	17.25	25.17	229.72	947.83	271.48	54.72	289.02	211.31	115.97	688.78	167.9	153.34	414.87	111.99	154.42	151.22	521.76	79.45	178.77	99.43	171.45	26.86	141.02	58.3	170.25	189.02	316.37	66.18	264.03	103.69	275.28	157.68	104.42	99.43	97.36	65.72	309.83	214.27	150.17	33.06	249.73	92.05	412.0	244.57	36.79	244.57	145.02	218.79	36.01	53.57	93.35	305.55	122.64	194.36	275.28	226.54	112.77	271.48	273.37	38.4	64.8	74.58	77.79	371.22	20.26	37.05	78.34	43.94	75.11	80.01	32.36	189.02
THBS3	0.0	0.93	303.44	417.77	607.87	223.41	301.33	329.84	387.02	723.08	890.44	698.41	241.19	361.04	361.04	1073.91	490.14	417.77	688.78	283.05	733.19	500.46	563.18	490.14	303.44	536.45	764.36	232.94	476.71	536.45	206.94	579.04	358.54	532.74	376.41	269.6	273.37	363.56	277.2	307.69	194.36	255.0	483.38	753.83	1001.93	334.46	571.05	728.11	312.0	1104.13	429.54	616.37	1081.39	260.38	514.56	532.74	1119.56	309.83	748.61	291.04	674.59	289.02	444.72	231.32	420.68	381.68	819.3	244.57	486.75	316.37	438.59	432.53	624.99	780.44	303.44	241.19	507.46	348.71	426.57	218.79	753.83	309.83	1151.06	830.75	232.94	587.13	262.2	441.64	212.78	208.38	253.23	743.43	305.55	728.11	902.89	723.08	373.81	397.93	656.11	244.57	195.72	267.73	228.13	934.76	157.68	242.88	260.38	202.66	575.03	195.72	262.2	1051.79
TMPRSS5	0.0	0.58	2.81	10.55	10.55	0.91	8.58	3.69	6.89	15.11	11.13	11.91	3.26	5.92	3.66	10.71	11.38	9.56	8.06	3.29	18.97	9.78	22.92	7.34	2.68	11.04	18.97	1.93	7.57	6.31	2.68	7.57	6.52	11.82	7.88	3.69	10.24	1.41	7.17	13.72	4.24	1.85	8.51	19.53	20.11	1.75	12.93	13.22	8.06	27.84	3.89	7.63	19.53	7.82	4.06	10.0	17.9	1.85	10.79	7.06	13.83	5.92	7.75	3.59	6.36	6.62	16.03	4.62	7.46	3.14	7.57	9.2	6.57	16.39	4.35	4.17	14.14	5.68	8.51	3.76	11.73	5.5	17.38	23.08	1.87	16.27	2.73	11.04	0.0	3.69	2.76	14.14	2.76	12.74	29.27	11.73	5.32	7.57	6.52	3.41	3.41	0.91	1.81	18.97	3.63	7.06	3.86	3.53	10.39	5.54	3.17	16.63
TSPAN32	0.0	0.39	23.93	27.64	11.04	15.8	2.78	12.09	6.94	33.78	9.34	33.06	4.31	21.63	16.15	66.18	22.43	5.68	29.48	1.46	23.59	18.03	5.23	15.34	7.88	19.25	6.67	7.34	22.59	15.45	2.18	18.7	5.19	10.31	15.11	16.75	13.72	7.51	6.21	6.01	3.96	8.85	20.41	23.93	25.91	17.25	28.86	16.63	24.81	68.55	21.32	22.26	42.71	16.03	57.08	71.0	37.32	7.34	57.08	8.13	40.93	4.24	8.19	8.32	10.16	4.03	19.25	3.89	23.93	4.5	14.24	24.11	28.65	24.81	1.77	10.24	20.11	16.75	4.78	11.91	6.62	5.5	27.84	28.24	7.4	24.11	4.17	21.32	9.85	17.9	3.82	30.56	8.13	36.53	24.63	37.05	18.7	4.98	5.96	18.29	7.34	10.39	22.1	43.32	13.32	19.39	17.25	6.11	33.54	7.51	32.82	44.57
UBAP1L	0.0	0.68	28.65	49.91	49.91	15.8	22.92	26.1	38.4	106.63	53.19	69.52	11.3	46.18	19.39	120.94	62.12	27.44	80.57	15.11	69.03	35.25	62.56	64.8	31.22	47.5	85.82	22.92	35.0	15.45	12.09	45.85	31.0	53.95	24.46	18.7	48.52	16.63	31.22	25.54	8.45	17.51	39.22	102.97	84.04	7.69	66.65	91.41	44.89	74.58	37.85	41.52	190.34	28.65	33.78	45.85	90.77	20.86	69.52	23.76	60.82	16.27	35.25	16.88	35.5	49.56	49.56	21.16	46.18	19.82	32.36	44.89	24.28	68.55	17.25	28.45	83.45	45.53	38.67	22.26	54.33	17.9	90.77	49.21	17.77	66.65	43.02	54.72	7.34	25.54	18.97	112.77	19.82	44.57	121.79	116.78	30.78	50.98	59.13	34.02	17.0	35.0	31.22	132.44	41.22	21.16	35.5	27.44	46.84	12.93	18.56	183.82
UNC13D	0.0	0.89	75.11	61.25	57.08	42.11	50.63	49.21	18.03	135.24	48.87	94.67	41.22	112.77	86.43	239.52	96.68	83.45	150.17	29.7	103.69	68.55	93.35	62.12	46.18	113.56	114.36	41.81	85.22	46.5	36.27	70.01	44.89	52.82	62.56	110.43	62.12	114.36	45.85	22.26	44.25	36.79	83.45	177.53	136.19	82.87	171.45	105.89	61.25	194.36	56.68	81.14	358.54	56.68	198.47	94.67	195.72	42.41	166.73	70.51	120.94	47.84	34.26	44.89	65.72	43.63	97.36	31.22	92.05	78.89	78.89	79.45	77.79	129.69	33.54	41.52	51.71	49.21	36.01	49.56	51.71	71.0	109.66	98.04	41.22	100.83	48.52	70.51	53.19	57.08	28.65	127.89	73.03	84.04	132.44	121.79	55.89	73.03	81.71	77.25	21.47	43.32	52.08	229.72	46.84	42.41	38.12	42.41	64.34	27.84	97.36	186.4
UPF3B	0.0	0.71	204.07	162.14	191.67	190.34	151.22	169.07	143.01	201.25	149.12	202.66	162.14	173.85	150.17	285.03	177.53	208.38	199.85	127.89	251.48	204.07	112.77	197.09	140.04	212.78	217.27	171.45	182.55	156.59	152.28	140.04	142.01	215.77	224.97	181.28	198.47	107.38	206.94	92.7	161.02	177.53	176.29	232.94	232.94	241.19	285.03	202.66	158.79	371.22	172.65	170.25	262.2	228.13	231.32	223.41	220.32	126.12	223.41	171.45	237.86	169.07	185.11	145.02	249.73	180.02	226.54	181.28	154.42	135.24	178.77	204.07	159.9	206.94	193.01	182.55	229.72	177.53	202.66	180.02	221.86	182.55	170.25	183.82	147.06	175.07	201.25	165.57	108.9	100.83	161.02	269.6	141.02	237.86	214.27	237.86	177.53	156.59	182.55	162.14	206.94	221.86	175.07	185.11	169.07	161.02	171.45	159.9	241.19	169.07	214.27	473.41
YJEFN3	0.0	1.01	52.45	186.4	197.09	46.84	139.07	76.17	106.63	260.38	273.37	463.65	29.06	115.16	64.34	212.78	164.42	147.06	211.31	47.5	265.87	107.38	244.57	133.36	100.83	180.02	426.57	41.81	95.34	164.42	33.3	202.66	131.51	191.67	89.51	48.52	113.56	36.27	82.29	51.35	27.25	43.32	180.02	607.87	547.75	36.27	476.71	199.85	85.22	728.11	156.59	194.36	351.14	114.36	133.36	176.29	866.07	55.49	384.34	70.51	251.48	43.02	82.87	37.05	136.19	96.01	139.07	42.41	127.89	78.34	159.9	242.88	140.04	368.65	49.21	42.41	447.82	137.14	137.14	52.08	521.76	87.65	327.56	295.11	32.82	612.11	84.04	109.66	37.32	41.52	71.0	384.34	82.87	348.71	764.36	563.18	91.41	175.07	180.02	73.03	37.05	47.84	71.0	279.14	63.89	39.5	49.91	35.0	134.3	68.07	33.54	208.38
ZCCHC11	0.0	0.8	595.34	624.99	669.92	420.68	384.34	490.14	607.87	607.87	358.54	647.07	532.74	665.29	476.71	1015.93	551.56	406.31	693.58	348.71	603.67	679.29	642.59	651.58	529.06	669.92	825.0	460.44	563.18	483.38	397.93	571.05	591.22	638.15	521.76	414.87	684.02	521.76	620.67	435.55	470.14	559.28	579.04	866.07	1037.29	295.11	684.02	738.29	450.94	718.08	684.02	599.49	764.36	583.07	748.61	587.13	830.75	435.55	759.08	521.76	693.58	423.61	599.49	450.94	669.92	607.87	921.88	486.75	603.67	738.29	624.99	583.07	698.41	733.19	507.46	500.46	902.89	447.82	551.56	571.05	603.67	500.46	629.35	532.74	395.18	708.18	587.13	633.73	447.82	507.46	400.71	728.11	400.71	529.06	854.13	802.41	460.44	559.28	595.34	521.76	563.18	583.07	547.75	775.05	346.29	420.68	379.04	417.77	656.11	435.55	457.25	1250.98
ZGLP1	0.0	0.34	33.06	104.42	131.51	35.76	115.97	61.25	85.82	186.4	215.77	189.02	22.43	81.71	51.35	209.84	140.04	92.7	223.41	31.45	208.38	84.04	265.87	108.9	59.55	130.6	316.37	68.55	63.45	71.5	25.54	127.89	122.64	224.97	56.28	34.26	113.56	21.01	92.7	42.71	18.7	19.82	94.01	246.28	253.23	26.86	255.0	183.82	129.69	599.49	108.14	226.54	255.0	70.51	139.07	159.9	376.41	46.18	211.31	53.19	189.02	58.3	98.73	25.91	53.19	63.89	255.0	19.82	115.97	31.45	144.01	159.9	97.36	346.29	72.01	28.86	283.05	92.05	126.12	24.11	267.73	69.03	323.03	312.0	29.06	438.59	74.58	154.42	25.35	60.82	82.29	320.8	66.65	258.57	366.09	314.17	80.01	134.3	175.07	60.39	25.35	59.13	47.5	182.55	36.27	40.36	52.08	27.84	127.0	41.52	25.17	579.04
ZNF596	0.0	0.52	82.29	38.12	100.13	58.71	27.05	63.45	95.34	124.37	117.6	96.68	65.26	76.71	83.45	130.6	74.06	108.14	110.43	67.59	140.04	63.0	100.83	120.94	71.5	61.25	108.9	47.17	94.01	38.67	37.32	71.0	73.54	96.01	46.18	54.33	66.65	96.01	102.97	58.3	55.49	92.05	87.65	156.59	81.71	43.94	101.54	111.99	38.12	69.52	63.45	76.17	145.02	55.1	100.83	44.57	137.14	60.82	182.55	77.25	108.14	84.04	61.68	60.39	74.58	55.1	90.77	72.52	77.25	109.66	82.87	82.87	68.55	171.45	85.82	94.01	122.64	97.36	92.05	98.04	138.1	85.82	107.38	85.22	24.11	129.69	105.89	87.03	47.17	87.65	71.0	130.6	50.98	117.6	134.3	121.79	69.52	57.89	78.34	94.67	94.67	108.9	108.14	98.04	116.78	62.12	68.55	79.45	79.45	40.36	56.28	381.68
ZRSR2	0.0	0.56	204.07	412.0	297.17	255.0	256.78	273.37	214.27	420.68	275.28	329.84	341.51	260.38	255.0	514.56	253.23	255.0	366.09	232.94	351.14	256.78	339.14	264.03	279.14	361.04	423.61	260.38	267.73	220.32	198.47	299.25	358.54	312.0	220.32	205.5	287.01	197.09	269.6	142.01	236.21	255.0	271.48	638.15	351.14	260.38	420.68	339.14	307.69	476.71	334.46	295.11	591.22	275.28	295.11	343.89	325.29	206.94	293.07	285.03	351.14	251.48	255.0	187.71	373.81	180.02	293.07	277.2	241.19	191.67	441.64	334.46	384.34	373.81	246.28	262.2	363.56	303.44	297.17	241.19	314.17	307.69	381.68	346.29	244.57	320.8	262.2	269.6	183.82	214.27	249.73	476.71	208.38	450.94	441.64	397.93	260.38	305.55	371.22	215.77	258.57	289.02	275.28	373.81	229.72	221.86	295.11	287.01	301.33	224.97	237.86	403.5
