	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
PKN2	173.85	295.11	417.77	343.89	503.95	281.09	406.31	277.2	258.57	327.56	297.17	297.17	314.17	289.02	412.0	435.55	336.79	612.11	373.81	214.27	444.72	265.87	429.54	450.94	358.54	420.68	490.14	457.25	543.96	329.84	872.1	620.67	395.18	450.94	728.11	341.51	384.34	371.22	371.22	363.56	660.68	379.04	540.19	616.37	473.41	293.07	339.14	476.71	454.09	403.5	521.76	358.54	351.14	325.29	265.87	403.5	688.78	457.25	241.19	559.28	551.56	403.5	532.74	555.41	457.25	339.14	607.87	543.96	497.0	387.02	521.76	764.36	420.68	297.17	525.39	629.35	540.19	587.13	447.82	301.33	450.94	660.68	629.35	660.68	320.8	429.54	563.18	460.44	432.53	819.3	450.94	521.76	473.41	497.0	525.39	633.73	587.13	733.19	775.05	607.87	486.75	361.04	432.53	414.87	191.67	511.0	532.74	511.0	679.29	368.65	525.39	417.77	551.56	486.75	665.29	629.35	389.72	392.44	587.13	435.55	269.6	567.1	366.09	713.11	429.54	616.37	500.46	260.38	435.55	540.19	392.44	305.55	603.67	339.14	366.09	255.0	153.34	432.53	536.45	273.37	444.72	397.93	389.72	299.25	279.14	647.07	532.74	470.14	124.37	267.73	241.19	214.27	229.72	217.27
PPAPDC2	100.83	191.67	341.51	253.23	242.88	108.14	169.07	162.14	215.77	209.84	236.21	255.0	161.02	212.78	392.44	277.2	161.02	412.0	379.04	303.44	392.44	265.87	379.04	356.05	287.01	339.14	334.46	361.04	392.44	269.6	441.64	379.04	368.65	392.44	353.59	285.03	186.4	178.77	267.73	217.27	417.77	236.21	403.5	406.31	334.46	318.57	121.79	224.97	248.0	368.65	389.72	223.41	373.81	201.25	220.32	341.51	463.65	438.59	312.0	332.14	353.59	197.09	429.54	373.81	318.57	186.4	426.57	353.59	400.71	251.48	356.05	414.87	325.29	199.85	392.44	387.02	260.38	336.79	346.29	211.31	339.14	400.71	412.0	486.75	358.54	447.82	435.55	318.57	400.71	447.82	301.33	379.04	285.03	323.03	343.89	400.71	412.0	483.38	466.88	406.31	392.44	182.55	299.25	277.2	191.67	400.71	444.72	303.44	387.02	220.32	363.56	376.41	376.41	307.69	366.09	444.72	147.06	143.01	348.71	334.46	271.48	423.61	134.3	409.15	339.14	423.61	341.51	150.17	318.57	301.33	204.07	194.36	441.64	154.42	329.84	205.5	62.12	316.37	332.14	275.28	291.04	248.0	334.46	151.22	159.9	409.15	379.04	323.03	96.68	118.43	117.6	52.82	114.36	129.69
PRLR	0.0	47.5	11.64	22.59	51.35	13.52	18.43	19.53	13.72	26.1	15.8	24.63	23.93	17.13	101.54	86.43	12.83	81.14	98.73	61.25	180.02	84.63	84.04	111.99	116.78	202.66	72.01	117.6	94.67	93.35	170.25	146.03	148.09	90.77	130.6	100.13	30.34	23.25	86.43	35.5	159.9	59.97	90.77	197.09	130.6	105.89	10.79	44.89	38.4	84.04	135.24	44.57	119.26	84.63	68.55	54.33	121.79	154.42	62.12	104.42	75.64	16.63	106.63	147.06	107.38	10.79	140.04	101.54	92.7	60.39	114.36	133.36	104.42	11.55	72.52	108.9	152.28	61.68	121.79	39.79	125.24	113.56	132.44	144.01	87.03	113.56	180.02	94.67	123.5	86.43	132.44	120.1	55.49	135.24	116.78	146.03	124.37	129.69	167.9	93.35	88.26	18.84	118.43	76.17	12.18	141.02	159.9	80.57	138.1	59.55	96.01	115.16	178.77	71.5	116.78	143.01	22.1	38.12	166.73	117.6	84.63	138.1	14.78	140.04	110.43	143.01	87.65	6.84	105.15	103.69	19.39	12.36	133.36	7.28	120.94	5.77	11.13	121.79	127.0	82.29	153.34	114.36	87.65	7.69	7.94	163.28	108.14	99.43	1.66	5.32	1.75	6.26	3.44	84.63
PSD3	25.17	26.67	73.03	141.02	72.52	40.93	63.45	62.56	39.5	104.42	87.65	105.89	90.14	98.73	177.53	195.72	21.16	220.32	115.16	100.13	187.71	185.11	212.78	165.57	129.69	134.3	131.51	165.57	147.06	180.02	176.29	140.04	164.42	135.24	186.4	133.36	67.59	53.19	176.29	73.03	198.47	108.9	246.28	231.32	176.29	111.99	77.25	104.42	108.9	87.65	185.11	91.41	142.01	115.97	102.97	102.25	185.11	166.73	87.03	125.24	156.59	42.11	336.79	241.19	88.26	55.1	211.31	105.89	173.85	105.15	190.34	223.41	105.15	44.25	244.57	170.25	228.13	79.45	209.84	103.69	123.5	220.32	260.38	164.42	212.78	199.85	195.72	120.1	209.84	178.77	123.5	127.89	122.64	258.57	138.1	209.84	149.12	237.86	172.65	122.64	158.79	60.39	122.64	139.07	27.44	144.01	171.45	108.14	183.82	105.15	154.42	181.28	194.36	108.9	181.28	231.32	50.27	91.41	163.28	189.02	113.56	133.36	71.5	173.85	125.24	155.5	145.02	38.12	147.06	109.66	65.72	59.13	229.72	49.56	170.25	52.45	43.94	178.77	111.99	109.66	171.45	120.94	147.06	27.84	33.78	191.67	122.64	116.78	31.22	17.38	35.76	81.14	37.05	61.68
PTPRJ	15.56	70.01	121.79	70.51	159.9	24.99	84.04	96.01	61.68	193.01	217.27	177.53	106.63	139.07	156.59	173.85	106.63	543.96	170.25	49.91	218.79	66.65	236.21	159.9	159.9	158.79	223.41	169.07	241.19	201.25	312.0	178.77	199.85	305.55	285.03	132.44	73.54	128.79	376.41	125.24	435.55	156.59	265.87	260.38	156.59	163.28	152.28	173.85	299.25	212.78	244.57	144.01	137.14	89.51	121.79	206.94	327.56	226.54	84.63	343.89	194.36	131.51	297.17	395.18	181.28	193.01	397.93	271.48	277.2	64.34	283.05	291.04	78.34	153.34	303.44	329.84	162.14	226.54	198.47	134.3	164.42	253.23	429.54	220.32	228.13	285.03	112.77	198.47	281.09	395.18	226.54	287.01	195.72	307.69	256.78	285.03	212.78	251.48	438.59	285.03	165.57	121.79	239.52	169.07	77.25	228.13	211.31	231.32	327.56	175.07	420.68	255.0	141.02	186.4	223.41	381.68	124.37	117.6	171.45	262.2	59.55	201.25	80.57	299.25	106.63	182.55	120.94	65.26	163.28	343.89	139.07	79.45	351.14	209.84	110.43	96.68	81.71	191.67	177.53	97.36	191.67	125.24	336.79	63.45	120.1	346.29	180.02	152.28	23.76	74.58	67.59	26.1	64.8	124.37
RSPH3	71.0	66.18	166.73	103.69	63.89	57.89	80.57	63.0	74.06	93.35	117.6	111.99	85.22	120.94	117.6	125.24	112.77	221.86	155.5	109.66	127.0	120.94	115.97	163.28	126.12	136.19	122.64	152.28	130.6	197.09	151.22	116.78	156.59	228.13	146.03	107.38	94.67	112.77	88.88	122.64	181.28	94.01	186.4	175.07	114.36	126.12	120.94	144.01	128.79	154.42	148.09	137.14	137.14	124.37	91.41	142.01	204.07	139.07	87.03	161.02	119.26	112.77	180.02	135.24	117.6	85.82	125.24	155.5	145.02	76.71	198.47	136.19	96.68	110.43	166.73	124.37	221.86	149.12	162.14	126.12	113.56	153.34	253.23	180.02	121.79	164.42	181.28	130.6	169.07	128.79	166.73	157.68	81.71	151.22	182.55	162.14	134.3	120.1	161.02	147.06	125.24	141.02	178.77	139.07	95.34	136.19	141.02	129.69	164.42	123.5	182.55	146.03	111.99	75.64	145.02	198.47	147.06	98.73	145.02	104.42	96.01	150.17	74.58	156.59	134.3	167.9	120.1	94.01	134.3	171.45	102.25	175.07	198.47	96.68	115.16	98.73	69.03	117.6	116.78	98.04	156.59	157.68	140.04	92.05	89.51	155.5	110.43	100.83	78.89	75.64	92.7	50.63	90.14	116.78
SATB2	23.76	20.26	170.25	148.09	981.29	1.64	16.88	246.28	409.15	529.06	420.68	575.03	525.39	514.56	2032.85	1909.85	145.02	2287.2	2047.0	1745.2	2451.44	1651.0	1757.34	2075.59	1457.23	1617.0	1685.71	2004.85	2032.85	1721.16	2796.65	2209.26	2319.15	2119.22	1781.89	1487.87	679.29	141.02	1467.37	791.35	2319.15	1340.84	2319.15	2451.44	1857.6	1651.0	118.43	934.76	802.41	2061.24	2319.15	915.51	1870.53	1977.24	802.41	1529.73	2485.67	2119.22	1191.69	1685.71	1350.18	214.27	2997.45	2520.38	1745.2	171.45	2209.26	1896.65	2148.82	890.44	2796.65	2255.7	1551.09	134.3	2417.67	2209.26	2119.22	1963.57	2090.03	1008.9	2104.58	1757.34	1583.71	2720.15	1909.85	2163.77	2434.5	1745.2	2148.82	2075.59	1745.2	2335.28	947.83	2468.49	2485.67	2090.03	1605.83	2591.27	2240.11	2287.2	2351.53	232.94	1561.89	1551.09	95.34	2255.7	2119.22	1233.75	1883.54	941.27	2434.5	1745.2	1832.01	1781.89	2178.83	2468.49	244.57	708.18	2119.22	1498.22	1397.83	1991.0	148.09	2271.4	1639.59	2400.97	1936.53	102.25	1991.0	1605.83	149.12	144.01	2335.28	149.12	2090.03	81.71	84.04	1331.57	1909.85	1151.06	1819.35	1242.34	1685.71	189.02	128.79	2287.2	1832.01	1963.57	16.75	15.8	25.35	34.75	21.78	44.57
SERINC5	33.78	116.78	130.6	256.78	314.17	35.25	202.66	194.36	35.76	255.0	182.55	303.44	175.07	307.69	476.71	444.72	153.34	941.27	387.02	297.17	493.56	373.81	403.5	642.59	273.37	486.75	733.19	463.65	435.55	536.45	733.19	417.77	638.15	753.83	753.83	303.44	120.1	144.01	503.95	231.32	748.61	218.79	426.57	620.67	414.87	450.94	159.9	525.39	417.77	353.59	785.88	363.56	409.15	490.14	242.88	486.75	688.78	447.82	229.72	665.29	647.07	165.57	665.29	599.49	409.15	137.14	693.58	525.39	674.59	208.38	698.41	941.27	392.44	151.22	665.29	507.46	607.87	486.75	543.96	157.68	353.59	785.88	1001.93	583.07	429.54	567.1	575.03	406.31	866.07	620.67	476.71	647.07	269.6	866.07	633.73	665.29	454.09	473.41	941.27	616.37	525.39	141.02	703.28	420.68	56.68	738.29	583.07	493.56	684.02	293.07	775.05	748.61	473.41	348.71	387.02	1073.91	145.02	177.53	543.96	426.57	293.07	684.02	137.14	688.78	253.23	703.28	400.71	53.19	503.95	595.34	185.11	140.04	780.44	178.77	525.39	120.1	63.0	503.95	674.59	246.28	507.46	409.15	571.05	63.89	157.68	684.02	543.96	215.77	9.93	30.56	45.21	29.91	49.21	110.43
SH3BGRL2	218.79	275.28	1081.39	334.46	819.3	189.02	234.57	460.44	269.6	848.22	688.78	902.89	759.08	1104.13	1697.45	1044.52	483.38	2133.97	1794.29	1594.73	1540.37	1457.23	1508.65	1617.0	1159.07	1437.15	1304.15	1605.83	2047.0	1417.35	2573.36	1896.65	1832.01	1628.26	1781.89	1407.55	848.22	567.1	1127.35	718.08	1936.53	819.3	2209.26	1870.53	1447.15	1216.75	525.39	1167.14	1059.11	1709.26	1883.54	785.88	1540.37	1167.14	796.86	1628.26	2090.03	1896.65	1369.04	1909.85	1225.22	669.92	2224.63	1844.76	1225.22	450.94	1936.53	1628.26	2163.77	860.08	2133.97	2075.59	1233.75	435.55	1417.35	1561.89	1605.83	1628.26	1628.26	890.44	1697.45	2119.22	2485.67	2255.7	1583.71	2468.49	2193.99	1519.15	1769.57	2104.58	1651.0	1721.16	1073.91	1896.65	1832.01	1794.29	1870.53	2119.22	2609.3	1721.16	1697.45	555.41	1896.65	1199.98	441.64	2209.26	1733.13	1457.23	1883.54	1023.0	1832.01	1594.73	1721.16	981.29	1896.65	1923.14	713.11	733.19	1896.65	1359.57	1437.15	1977.24	470.14	2090.03	1605.83	2104.58	1417.35	563.18	1870.53	1572.76	511.0	450.94	2193.99	665.29	1529.73	295.11	283.05	995.0	1540.37	1066.48	1605.83	1183.45	1709.26	483.38	348.71	2032.85	1617.0	2133.97	175.07	234.57	195.72	165.57	185.11	713.11
SH3YL1	343.89	1216.75	1529.73	521.76	708.18	780.44	1794.29	1757.34	1883.54	1378.57	1286.18	1369.04	813.63	397.93	1397.83	1378.57	503.95	2090.03	1350.18	1721.16	1896.65	2609.3	1709.26	2018.8	1208.34	1331.57	1896.65	1388.16	1870.53	1769.57	2502.97	1697.45	2573.36	1721.16	2664.15	1977.24	738.29	674.59	1066.48	1008.9	1769.57	1015.93	1651.0	2178.83	1806.78	1709.26	429.54	1059.11	909.17	1088.92	2627.46	1208.34	2384.37	1167.14	802.41	1844.76	1977.24	2855.44	1519.15	2271.4	2335.28	688.78	2351.53	2777.33	1674.06	684.02	1628.26	1322.37	2555.58	967.76	2451.44	1388.16	2018.8	463.65	1628.26	1709.26	1617.0	1781.89	1991.0	1030.12	2555.58	2240.11	1870.53	2915.45	2178.83	2609.3	2956.17	1350.18	2591.27	1529.73	1745.2	2240.11	1216.75	2178.83	3081.75	2148.82	2061.24	2303.12	2400.97	2119.22	1594.73	753.83	1540.37	1313.23	412.0	2915.45	2148.82	1457.23	1923.14	921.88	1733.13	1733.13	1844.76	1437.15	1857.6	1923.14	555.41	1191.69	2384.37	1605.83	1745.2	1923.14	802.41	2090.03	1674.06	2193.99	1781.89	587.13	1757.34	1397.83	629.35	503.95	1268.46	759.08	2468.49	392.44	480.04	1304.15	1583.71	1417.35	2075.59	1259.69	2163.77	532.74	620.67	2240.11	1963.57	1709.26	320.8	299.25	329.84	432.53	309.83	1721.16
SIDT1	19.53	18.03	156.59	35.5	119.26	15.91	87.65	60.39	49.56	59.13	92.05	120.94	43.94	78.89	447.82	353.59	24.46	356.05	320.8	214.27	412.0	281.09	267.73	224.97	417.77	209.84	363.56	329.84	387.02	426.57	540.19	343.89	426.57	332.14	429.54	389.72	98.73	26.28	181.28	198.47	616.37	255.0	450.94	579.04	587.13	139.07	54.33	234.57	269.6	420.68	363.56	149.12	470.14	186.4	119.26	208.38	384.34	571.05	289.02	426.57	441.64	75.11	348.71	457.25	329.84	36.53	463.65	316.37	181.28	144.01	351.14	429.54	264.03	48.52	420.68	642.59	343.89	358.54	651.58	285.03	387.02	473.41	414.87	447.82	486.75	435.55	607.87	444.72	406.31	540.19	454.09	325.29	361.04	414.87	543.96	351.14	327.56	698.41	612.11	423.61	291.04	80.01	327.56	134.3	28.24	332.14	387.02	392.44	409.15	177.53	368.65	470.14	476.71	320.8	414.87	591.22	64.8	180.02	363.56	423.61	143.01	583.07	27.44	368.65	332.14	447.82	400.71	43.02	536.45	236.21	46.5	52.45	555.41	48.18	395.18	13.72	16.03	334.46	518.15	220.32	329.84	295.11	414.87	28.24	78.89	379.04	651.58	281.09	7.34	14.35	4.9	20.11	20.71	61.25
SKAP2	242.88	194.36	343.89	224.97	409.15	170.25	305.55	309.83	262.2	417.77	406.31	395.18	450.94	389.72	470.14	379.04	318.57	785.88	688.78	395.18	466.88	454.09	412.0	629.35	314.17	583.07	409.15	426.57	441.64	575.03	995.0	503.95	872.1	743.43	444.72	373.81	305.55	281.09	406.31	363.56	836.53	198.47	638.15	713.11	480.04	356.05	403.5	480.04	547.75	540.19	921.88	371.22	441.64	435.55	295.11	457.25	967.76	624.99	454.09	624.99	493.56	457.25	947.83	748.61	490.14	264.03	376.41	511.0	684.02	387.02	1066.48	629.35	348.71	412.0	447.82	688.78	497.0	470.14	441.64	167.9	591.22	591.22	1216.75	884.29	412.0	521.76	698.41	368.65	764.36	466.88	555.41	532.74	228.13	915.51	890.44	693.58	540.19	759.08	555.41	620.67	796.86	271.48	642.59	466.88	251.48	896.64	543.96	543.96	587.13	473.41	633.73	759.08	397.93	320.8	460.44	656.11	454.09	403.5	525.39	368.65	476.71	521.76	289.02	642.59	480.04	693.58	525.39	346.29	718.08	417.77	212.78	327.56	679.29	486.75	543.96	190.34	223.41	412.0	525.39	447.82	753.83	438.59	679.29	253.23	242.88	743.43	536.45	463.65	373.81	447.82	400.71	291.04	429.54	193.01
SLC10A5	1.38	18.03	12.74	6.11	14.89	3.59	10.96	4.1	2.94	15.34	14.89	16.63	7.28	12.18	31.9	20.71	4.66	62.12	22.26	7.69	30.56	16.03	18.84	33.3	31.22	16.63	25.54	28.24	22.1	14.03	37.05	31.67	30.78	19.25	18.97	17.13	8.92	3.11	27.84	18.03	32.13	23.25	33.78	46.84	35.0	17.0	4.62	17.51	16.15	16.63	37.05	12.55	25.35	10.96	6.78	24.99	32.36	20.26	11.47	19.68	6.06	13.03	31.67	31.45	23.42	11.04	38.4	29.7	21.94	10.47	16.88	49.21	24.63	4.1	40.07	33.06	30.78	24.11	35.25	16.39	22.59	33.06	33.3	30.34	19.39	24.28	54.72	28.45	32.13	64.34	27.44	32.59	21.47	31.22	27.44	35.0	34.75	26.67	52.08	27.05	19.39	8.06	28.24	16.03	10.47	33.54	27.64	14.03	36.53	12.36	34.02	23.42	29.06	19.82	24.63	41.52	6.06	11.47	35.25	32.82	11.38	23.59	7.0	42.11	13.72	36.79	30.56	10.08	23.59	31.22	15.56	10.63	43.32	4.62	29.91	8.45	6.52	19.82	25.35	7.28	24.63	24.81	16.27	10.47	5.59	37.85	27.44	19.68	2.2	11.73	12.27	10.63	12.64	11.82
SLC35A1	241.19	220.32	769.69	384.34	503.95	400.71	753.83	511.0	438.59	629.35	490.14	599.49	651.58	674.59	1151.06	836.53	551.56	1127.35	1369.04	909.17	1208.34	884.29	1023.0	1096.5	1015.93	1104.13	1119.56	1127.35	928.3	1167.14	1397.83	1023.0	1225.22	802.41	1268.46	1066.48	723.08	599.49	890.44	796.86	1388.16	688.78	890.44	1457.23	1250.98	825.0	567.1	934.76	854.13	1159.07	1407.55	660.68	1051.79	909.17	555.41	1059.11	1417.35	1583.71	981.29	934.76	961.07	708.18	1250.98	1119.56	1037.29	567.1	1378.57	1151.06	1233.75	830.75	981.29	1304.15	1059.11	457.25	941.27	1259.69	1111.82	1037.29	1135.2	529.06	1331.57	1268.46	941.27	1407.55	995.0	1407.55	1662.49	928.3	1277.29	1286.18	915.51	1008.9	848.22	1277.29	1159.07	1073.91	1277.29	1883.54	1259.69	974.5	1208.34	633.73	1111.82	947.83	587.13	1498.22	1322.37	896.64	1159.07	656.11	1051.79	1104.13	1143.1	1015.93	1023.0	1208.34	647.07	723.08	1498.22	890.44	1051.79	1350.18	633.73	934.76	1477.58	1529.73	1277.29	703.28	1295.13	848.22	457.25	612.11	1175.27	511.0	1295.13	412.0	379.04	896.64	1350.18	848.22	1159.07	934.76	1104.13	532.74	599.49	1104.13	1191.69	1119.56	384.34	400.71	361.04	332.14	366.09	244.57
SLC35A3	119.26	379.04	1104.13	327.56	1073.91	269.6	414.87	497.0	202.66	551.56	507.46	866.07	470.14	743.43	1617.0	1096.5	435.55	1963.57	1819.35	1183.45	1628.26	1167.14	1551.09	1639.59	1350.18	1806.78	1594.73	1909.85	1628.26	1594.73	2796.65	1757.34	2209.26	1844.76	2133.97	1447.15	688.78	447.82	1498.22	728.11	2777.33	713.11	2895.31	2004.85	1295.13	1628.26	497.0	1044.52	1135.2	1697.45	1883.54	1059.11	1369.04	1359.57	813.63	1572.76	2148.82	1909.85	1304.15	2255.7	2287.2	532.74	2209.26	1794.29	1467.37	466.88	1870.53	1757.34	1991.0	878.17	1909.85	2178.83	1001.93	441.64	1674.06	2047.0	1268.46	1806.78	1617.0	529.06	1572.76	2451.44	2319.15	2417.67	1733.13	1991.0	2287.2	1417.35	2209.26	2537.92	1709.26	1923.14	1467.37	2061.24	1857.6	2351.53	1806.78	2319.15	2502.97	1781.89	1923.14	555.41	1721.16	1167.14	336.79	2047.0	2119.22	1628.26	2032.85	1051.79	2090.03	1857.6	1639.59	1277.29	2032.85	2240.11	500.46	480.04	1781.89	1605.83	1225.22	2004.85	420.68	2047.0	1870.53	2178.83	1457.23	447.82	1498.22	1519.15	514.56	595.34	2303.12	551.56	1551.09	470.14	395.18	1369.04	1896.65	1277.29	1617.0	934.76	1540.37	400.71	454.09	2119.22	1467.37	1572.76	82.87	137.14	129.69	115.97	155.5	536.45
SLC35B3	267.73	297.17	595.34	297.17	454.09	201.25	228.13	429.54	395.18	669.92	638.15	647.07	543.96	647.07	954.43	796.86	470.14	1081.39	1023.0	825.0	1001.93	872.1	825.0	1073.91	769.69	884.29	1015.93	1008.9	1073.91	802.41	1388.16	890.44	1096.5	915.51	1015.93	848.22	579.04	507.46	890.44	633.73	1135.2	651.58	1304.15	1175.27	921.88	872.1	460.44	688.78	669.92	947.83	1037.29	708.18	819.3	808.0	571.05	884.29	1350.18	1051.79	825.0	1096.5	961.07	490.14	1104.13	1015.93	836.53	532.74	1104.13	1044.52	988.12	603.67	1268.46	1081.39	872.1	518.15	878.17	1096.5	836.53	941.27	1044.52	583.07	1001.93	1119.56	1015.93	1151.06	921.88	1088.92	1104.13	743.43	1096.5	1159.07	1088.92	1088.92	703.28	1044.52	1127.35	1216.75	902.89	1250.98	1295.13	1037.29	1104.13	463.65	791.35	769.69	457.25	1127.35	1191.69	693.58	1001.93	656.11	954.43	988.12	934.76	842.36	1096.5	1268.46	514.56	603.67	1119.56	890.44	819.3	884.29	583.07	1008.9	934.76	1151.06	819.3	514.56	1008.9	902.89	457.25	473.41	1081.39	525.39	902.89	447.82	460.44	802.41	848.22	819.3	796.86	723.08	860.08	543.96	511.0	1044.52	1023.0	995.0	244.57	291.04	320.8	208.38	229.72	295.11
