	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
ELMO2	599.49	571.05	529.06	457.25	500.46	177.53	651.58	460.44	444.72	518.15	476.71	395.18	624.99	473.41	518.15	470.14	267.73	483.38	414.87	536.45	543.96	400.71	295.11	211.31	579.04	620.67	507.46	563.18	518.15	490.14	277.2	532.74	642.59	470.14	547.75	543.96	543.96	412.0	447.82	518.15	493.56	525.39	518.15	503.95	503.95	555.41	713.11	567.1	595.34	450.94	271.48	551.56	389.72	470.14	432.53	420.68	529.06	460.44	435.55	493.56	309.83	521.76	157.68	435.55	507.46	532.74	563.18	624.99	620.67	229.72	447.82	624.99	529.06	435.55	381.68	460.44	603.67	297.17	279.14	607.87	525.39	583.07	470.14	559.28	551.56	583.07	361.04	470.14	555.41	351.14	275.28	633.73	441.64	325.29	555.41	497.0	412.0	507.46	373.81	587.13	603.67	470.14	450.94	532.74	543.96	334.46	457.25	412.0	575.03	540.19	575.03	432.53	514.56	305.55	587.13	842.36	915.51	759.08	775.05	599.49	854.13	688.78	902.89	796.86	791.35	708.18	738.29	802.41	941.27	836.53	525.39	688.78	921.88	748.61	708.18	967.76	791.35	813.63	708.18	764.36	842.36	808.0	1044.52	915.51	703.28	890.44	693.58	718.08	674.59	842.36	753.83	796.86	748.61	660.68	738.29	656.11	486.75	842.36	890.44	738.29	723.08	934.76	819.3	665.29	669.92	693.58	934.76	647.07	748.61	595.34	723.08	769.69	728.11	563.18	507.46	656.11	802.41	830.75	1183.45	802.41	808.0	503.95	332.14	426.57	336.79	547.75	607.87	583.07	718.08	387.02	414.87	466.88	567.1	454.09	420.68	403.5	473.41	363.56	579.04
ENGASE	119.26	140.04	563.18	441.64	303.44	1059.11	612.11	231.32	348.71	616.37	486.75	536.45	371.22	457.25	361.04	305.55	1437.15	493.56	248.0	167.9	435.55	426.57	802.41	961.07	397.93	575.03	567.1	301.33	848.22	417.77	974.5	384.34	723.08	224.97	381.68	563.18	116.78	414.87	183.82	403.5	220.32	941.27	220.32	329.84	540.19	642.59	371.22	341.51	460.44	518.15	1081.39	281.09	236.21	651.58	320.8	651.58	928.3	775.05	450.94	603.67	848.22	312.0	1151.06	1208.34	329.84	1088.92	312.0	518.15	511.0	1191.69	131.51	343.89	423.61	178.77	842.36	175.07	409.15	1950.0	764.36	1044.52	341.51	836.53	571.05	473.41	1295.13	441.64	202.66	579.04	551.56	267.73	1437.15	551.56	353.59	1617.0	211.31	191.67	341.51	134.3	258.57	738.29	507.46	214.27	312.0	339.14	703.28	244.57	860.08	185.11	540.19	555.41	181.28	638.15	563.18	1331.57	733.19	525.39	830.75	1001.93	836.53	1073.91	981.29	1457.23	1286.18	679.29	743.43	967.76	764.36	493.56	1508.65	603.67	444.72	780.44	1331.57	981.29	961.07	1407.55	1199.98	909.17	902.89	733.19	591.22	941.27	1662.49	1369.04	1159.07	1096.5	1628.26	941.27	860.08	848.22	934.76	1259.69	309.83	909.17	1427.22	902.89	529.06	961.07	1096.5	1350.18	656.11	1417.35	1199.98	1709.26	909.17	587.13	1135.2	753.83	551.56	1066.48	941.27	1015.93	1733.13	796.86	208.38	189.02	387.02	149.12	327.56	283.05	412.0	384.34	389.72	567.1	642.59	327.56	303.44	279.14	297.17	291.04	327.56	351.14	316.37	267.73	232.94	132.44	217.27	226.54	124.37
FAM156A	111.99	99.43	435.55	120.94	165.57	275.28	444.72	215.77	334.46	529.06	417.77	262.2	249.73	336.79	224.97	167.9	371.22	470.14	253.23	157.68	182.55	108.9	229.72	241.19	211.31	486.75	457.25	123.5	336.79	197.09	318.57	341.51	575.03	147.06	239.52	346.29	173.85	159.9	175.07	138.1	141.02	483.38	129.69	218.79	220.32	277.2	223.41	327.56	511.0	133.36	150.17	58.71	163.28	348.71	265.87	248.0	441.64	264.03	540.19	503.95	135.24	186.4	305.55	341.51	295.11	599.49	381.68	293.07	563.18	140.04	150.17	143.01	204.07	112.77	135.24	107.38	187.71	460.44	373.81	503.95	176.29	379.04	267.73	397.93	314.17	353.59	130.6	423.61	507.46	173.85	201.25	287.01	260.38	514.56	182.55	138.1	173.85	171.45	180.02	334.46	540.19	106.63	71.0	258.57	260.38	163.28	334.46	116.78	194.36	429.54	161.02	251.48	406.31	417.77	293.07	429.54	607.87	607.87	579.04	599.49	583.07	1175.27	1059.11	287.01	684.02	551.56	441.64	307.69	1051.79	454.09	332.14	718.08	842.36	503.95	854.13	988.12	616.37	607.87	536.45	743.43	363.56	616.37	728.11	961.07	738.29	624.99	693.58	366.09	620.67	836.53	366.09	579.04	162.14	309.83	1001.93	476.71	265.87	642.59	1340.84	733.19	395.18	836.53	995.0	503.95	500.46	358.54	791.35	688.78	403.5	555.41	656.11	426.57	921.88	543.96	63.0	170.25	293.07	138.1	221.86	209.84	237.86	218.79	172.65	236.21	194.36	148.09	356.05	176.29	147.06	149.12	175.07	144.01	170.25	148.09	129.69	142.01	94.01	133.36	231.32
FAM227A	0.88	9.13	10.96	8.78	8.85	3.66	16.15	5.92	5.73	6.84	7.82	3.23	9.41	15.56	8.51	6.52	0.0	12.09	4.66	4.35	13.42	5.92	5.5	1.99	6.21	16.75	11.47	10.16	9.7	8.92	2.27	8.0	24.11	13.83	10.39	6.94	4.39	12.0	9.48	6.31	5.68	11.73	3.69	9.27	10.24	9.56	9.13	8.71	14.45	6.89	0.45	5.68	14.14	11.21	3.96	6.89	12.55	9.56	12.18	10.71	2.84	3.5	0.66	8.06	13.22	20.11	8.19	4.21	14.14	1.1	7.11	13.72	14.78	5.32	3.89	1.58	4.7	3.82	3.14	17.51	5.32	13.62	12.09	12.64	8.65	24.63	3.32	3.06	24.28	7.46	0.47	10.31	6.26	7.88	2.53	4.35	3.63	3.17	5.77	12.27	10.31	6.67	10.96	3.66	6.78	4.94	4.66	4.74	9.34	10.31	3.69	6.01	16.15	2.53	8.32	15.8	16.03	14.35	14.89	17.9	5.73	22.43	18.03	8.71	5.19	12.83	22.26	13.93	30.34	27.25	7.57	30.12	22.43	27.84	37.05	27.64	12.83	15.68	23.42	27.64	13.03	17.9	35.76	23.59	25.91	14.89	52.82	23.93	30.78	33.78	4.7	33.06	6.57	16.15	20.11	9.41	4.1	23.08	27.05	32.13	19.97	37.59	15.56	32.13	23.42	11.91	14.24	9.41	26.86	13.32	14.67	19.11	40.64	20.71	19.68	6.21	8.0	4.74	12.18	3.72	12.09	3.47	5.36	6.11	16.75	0.11	14.35	6.21	3.44	25.54	5.87	2.76	6.06	6.94	3.08	5.02	11.04	7.69	8.25
FBXO18	808.0	1030.12	1259.69	934.76	1037.29	1583.71	1073.91	981.29	1388.16	1350.18	1216.75	1175.27	995.0	1561.89	928.3	1037.29	1685.71	1096.5	1159.07	974.5	1096.5	1104.13	1447.15	1498.22	1159.07	1388.16	1167.14	974.5	1216.75	1037.29	1467.37	860.08	1508.65	981.29	1242.34	1104.13	1066.48	1175.27	836.53	1051.79	934.76	1447.15	1059.11	1001.93	1008.9	981.29	1044.52	1259.69	1467.37	954.43	1350.18	1088.92	954.43	1051.79	854.13	974.5	1313.23	1199.98	1066.48	1250.98	1151.06	780.44	1304.15	1991.0	825.0	1151.06	1023.0	1167.14	1183.45	1407.55	967.76	866.07	995.0	1008.9	1397.83	921.88	1199.98	1617.0	1519.15	1457.23	854.13	1191.69	1001.93	1167.14	1295.13	1023.0	954.43	1191.69	1617.0	934.76	1304.15	1015.93	890.44	1662.49	1104.13	954.43	1015.93	1135.2	954.43	1151.06	1277.29	902.89	915.51	854.13	1030.12	902.89	1167.14	819.3	1059.11	1268.46	1008.9	1199.98	1350.18	1407.55	1519.15	890.44	1605.83	1295.13	1781.89	1304.15	1331.57	1709.26	1233.75	1183.45	1781.89	961.07	1199.98	1151.06	1819.35	981.29	819.3	1143.1	1857.6	1896.65	1529.73	1936.53	1594.73	1498.22	1617.0	1286.18	1191.69	1519.15	1991.0	2119.22	1721.16	1208.34	2303.12	1242.34	1286.18	1936.53	1331.57	1331.57	1295.13	1191.69	1709.26	1015.93	1037.29	2209.26	1605.83	1806.78	1331.57	2032.85	1806.78	1519.15	1769.57	1127.35	2224.63	1340.84	1167.14	1008.9	1199.98	1143.1	2133.97	1008.9	934.76	921.88	1340.84	1015.93	1208.34	1208.34	825.0	1313.23	1208.34	1259.69	1135.2	656.11	1088.92	647.07	1322.37	1304.15	1304.15	1594.73	1250.98	1277.29	1111.82	1104.13	1540.37	1191.69	884.29
FGFR1OP2	738.29	432.53	743.43	703.28	612.11	332.14	813.63	656.11	693.58	642.59	674.59	414.87	529.06	842.36	642.59	595.34	327.56	679.29	616.37	591.22	660.68	693.58	432.53	323.03	638.15	738.29	866.07	633.73	967.76	480.04	368.65	713.11	698.41	638.15	638.15	688.78	688.78	660.68	579.04	612.11	507.46	718.08	579.04	579.04	656.11	848.22	679.29	620.67	802.41	693.58	435.55	514.56	559.28	830.75	583.07	518.15	497.0	802.41	679.29	679.29	483.38	521.76	293.07	450.94	647.07	738.29	698.41	575.03	563.18	353.59	684.02	660.68	571.05	629.35	450.94	497.0	591.22	289.02	414.87	842.36	624.99	684.02	830.75	764.36	718.08	733.19	575.03	808.0	848.22	638.15	358.54	718.08	642.59	373.81	587.13	633.73	447.82	620.67	525.39	656.11	708.18	571.05	493.56	647.07	656.11	591.22	507.46	518.15	607.87	698.41	708.18	563.18	890.44	423.61	808.0	1088.92	503.95	1104.13	660.68	791.35	660.68	693.58	928.3	785.88	679.29	684.02	842.36	525.39	785.88	748.61	571.05	988.12	633.73	638.15	1135.2	660.68	934.76	514.56	417.77	693.58	764.36	830.75	921.88	813.63	961.07	599.49	884.29	486.75	728.11	669.92	563.18	718.08	532.74	743.43	791.35	633.73	629.35	819.3	836.53	988.12	595.34	629.35	698.41	1001.93	759.08	579.04	1044.52	669.92	703.28	1159.07	679.29	878.17	753.83	543.96	521.76	555.41	258.57	426.57	381.68	397.93	327.56	587.13	529.06	647.07	503.95	878.17	607.87	647.07	493.56	303.44	358.54	264.03	532.74	693.58	555.41	307.69	532.74	395.18	441.64
GGA3	307.69	376.41	457.25	511.0	503.95	599.49	728.11	379.04	599.49	571.05	693.58	599.49	532.74	583.07	559.28	486.75	791.35	389.72	371.22	361.04	497.0	497.0	620.67	518.15	571.05	599.49	454.09	426.57	612.11	507.46	660.68	525.39	651.58	429.54	599.49	463.65	246.28	417.77	629.35	368.65	497.0	591.22	463.65	450.94	603.67	460.44	567.1	660.68	476.71	327.56	591.22	457.25	624.99	507.46	463.65	470.14	743.43	571.05	563.18	432.53	607.87	432.53	579.04	665.29	420.68	791.35	599.49	638.15	490.14	660.68	470.14	454.09	447.82	429.54	638.15	279.14	612.11	884.29	708.18	866.07	457.25	575.03	507.46	603.67	733.19	395.18	412.0	500.46	563.18	361.04	587.13	599.49	438.59	638.15	283.05	392.44	529.06	265.87	463.65	438.59	518.15	435.55	426.57	444.72	463.65	285.03	733.19	454.09	460.44	486.75	293.07	665.29	583.07	848.22	555.41	457.25	764.36	718.08	825.0	753.83	890.44	1037.29	769.69	836.53	603.67	759.08	656.11	674.59	878.17	769.69	665.29	775.05	764.36	536.45	684.02	878.17	830.75	872.1	511.0	555.41	819.3	796.86	1167.14	941.27	825.0	830.75	974.5	759.08	563.18	748.61	743.43	842.36	616.37	555.41	848.22	785.88	571.05	708.18	954.43	813.63	808.0	896.64	1008.9	981.29	567.1	660.68	808.0	679.29	656.11	713.11	748.61	738.29	854.13	743.43	728.11	251.48	518.15	256.78	540.19	438.59	403.5	603.67	503.95	633.73	503.95	301.33	507.46	567.1	713.11	493.56	555.41	518.15	525.39	490.14	363.56	511.0	325.29	438.59	346.29
GIT1	412.0	500.46	591.22	543.96	547.75	466.88	842.36	620.67	718.08	902.89	860.08	490.14	753.83	603.67	507.46	633.73	674.59	688.78	470.14	460.44	633.73	441.64	507.46	371.22	575.03	947.83	616.37	426.57	748.61	403.5	463.65	571.05	941.27	525.39	587.13	802.41	384.34	547.75	454.09	567.1	497.0	656.11	620.67	563.18	555.41	748.61	693.58	656.11	780.44	656.11	412.0	656.11	412.0	866.07	444.72	591.22	693.58	813.63	713.11	785.88	466.88	599.49	371.22	603.67	521.76	748.61	708.18	860.08	860.08	457.25	450.94	563.18	571.05	412.0	591.22	493.56	743.43	500.46	486.75	909.17	447.82	928.3	579.04	647.07	490.14	769.69	389.72	872.1	954.43	470.14	656.11	607.87	497.0	616.37	551.56	551.56	441.64	454.09	463.65	866.07	934.76	579.04	532.74	521.76	591.22	529.06	551.56	198.47	819.3	738.29	638.15	555.41	909.17	547.75	1135.2	674.59	967.76	669.92	1111.82	738.29	909.17	928.3	866.07	447.82	974.5	684.02	688.78	575.03	1183.45	733.19	444.72	830.75	909.17	728.11	967.76	1250.98	921.88	896.64	1073.91	890.44	780.44	1008.9	1295.13	928.3	909.17	1135.2	1023.0	842.36	612.11	860.08	808.0	995.0	764.36	651.58	1159.07	753.83	497.0	1044.52	1104.13	764.36	743.43	995.0	1073.91	813.63	738.29	607.87	961.07	780.44	633.73	1037.29	703.28	785.88	1015.93	708.18	429.54	521.76	669.92	454.09	490.14	514.56	454.09	559.28	543.96	540.19	599.49	775.05	595.34	525.39	571.05	571.05	595.34	521.76	718.08	521.76	693.58	395.18	603.67	624.99	503.95
HEXDC	423.61	239.52	412.0	647.07	329.84	679.29	476.71	312.0	563.18	684.02	476.71	656.11	507.46	607.87	389.72	450.94	616.37	521.76	295.11	409.15	651.58	457.25	559.28	616.37	612.11	813.63	684.02	269.6	1216.75	420.68	599.49	454.09	743.43	237.86	775.05	500.46	376.41	314.17	511.0	438.59	438.59	507.46	332.14	376.41	607.87	426.57	684.02	384.34	563.18	595.34	591.22	387.02	463.65	476.71	397.93	529.06	1407.55	1167.14	866.07	688.78	518.15	325.29	703.28	808.0	258.57	518.15	591.22	514.56	567.1	518.15	281.09	426.57	371.22	379.04	723.08	703.28	305.55	769.69	759.08	928.3	480.04	529.06	583.07	438.59	791.35	373.81	341.51	775.05	688.78	423.61	733.19	651.58	309.83	860.08	476.71	299.25	583.07	395.18	384.34	651.58	426.57	217.27	366.09	447.82	748.61	291.04	447.82	289.02	713.11	612.11	392.44	466.88	802.41	791.35	1151.06	775.05	503.95	902.89	819.3	854.13	1001.93	1044.52	896.64	567.1	587.13	688.78	559.28	708.18	1191.69	764.36	441.64	866.07	679.29	995.0	1044.52	1397.83	941.27	769.69	909.17	866.07	551.56	928.3	884.29	796.86	1277.29	723.08	1397.83	825.0	775.05	974.5	780.44	934.76	591.22	866.07	988.12	669.92	400.71	872.1	1709.26	860.08	476.71	708.18	1304.15	1199.98	872.1	571.05	738.29	748.61	417.77	1369.04	571.05	679.29	1233.75	426.57	848.22	518.15	1259.69	307.69	629.35	571.05	414.87	470.14	397.93	470.14	307.69	231.32	591.22	314.17	796.86	518.15	819.3	1051.79	595.34	483.38	423.61	242.88	599.49	748.61	339.14
HINFP	175.07	186.4	363.56	379.04	325.29	514.56	587.13	466.88	785.88	718.08	679.29	387.02	507.46	483.38	376.41	397.93	555.41	620.67	463.65	316.37	414.87	325.29	518.15	532.74	423.61	633.73	571.05	384.34	647.07	334.46	514.56	457.25	656.11	381.68	466.88	507.46	301.33	351.14	457.25	353.59	397.93	660.68	351.14	371.22	435.55	693.58	529.06	397.93	638.15	547.75	454.09	463.65	348.71	426.57	356.05	387.02	575.03	525.39	599.49	483.38	503.95	314.17	791.35	764.36	392.44	684.02	575.03	447.82	583.07	595.34	299.25	500.46	373.81	189.02	595.34	289.02	368.65	638.15	854.13	878.17	483.38	587.13	543.96	551.56	693.58	438.59	361.04	543.96	651.58	466.88	647.07	642.59	490.14	603.67	358.54	307.69	480.04	371.22	353.59	450.94	718.08	348.71	395.18	486.75	620.67	285.03	532.74	277.2	547.75	536.45	327.56	547.75	656.11	435.55	656.11	497.0	454.09	703.28	830.75	638.15	612.11	642.59	603.67	511.0	595.34	454.09	435.55	441.64	1008.9	514.56	376.41	860.08	679.29	647.07	698.41	1008.9	642.59	703.28	583.07	514.56	665.29	733.19	909.17	796.86	698.41	684.02	921.88	599.49	532.74	656.11	521.76	629.35	476.71	559.28	693.58	503.95	417.77	780.44	909.17	616.37	583.07	819.3	808.0	791.35	748.61	476.71	866.07	511.0	500.46	703.28	583.07	525.39	656.11	368.65	346.29	379.04	480.04	299.25	273.37	429.54	336.79	395.18	273.37	287.01	438.59	177.53	379.04	307.69	341.51	351.14	303.44	366.09	381.68	314.17	251.48	223.41	336.79	264.03	256.78
HSFX2	4.86	31.45	1.97	5.19	1.41	1.66	36.79	1.38	11.38	32.36	39.79	34.26	4.03	60.39	26.47	38.95	0.0	62.56	32.13	7.17	42.11	31.22	20.56	0.0	1.62	31.45	28.45	24.11	49.56	14.35	9.41	38.12	60.39	21.78	39.5	7.46	0.72	1.08	31.22	33.3	4.35	67.12	27.44	1.62	32.36	47.5	47.5	33.54	42.41	48.18	2.27	1.07	37.59	13.62	5.63	30.78	7.46	51.71	35.76	57.08	24.46	7.11	25.17	33.78	26.67	56.68	28.24	36.79	2.63	4.94	3.82	64.34	31.67	1.41	30.12	2.58	22.43	28.04	24.99	58.71	19.25	7.57	40.07	47.84	64.34	6.21	6.94	53.95	29.48	29.7	27.05	17.51	32.13	29.91	26.47	35.5	2.76	15.0	23.08	78.89	59.13	22.43	39.5	22.92	55.1	6.94	7.57	16.27	52.08	41.81	29.7	40.07	6.57	0.21	7.17	10.88	2.2	8.71	91.41	17.9	13.42	36.01	15.34	37.59	86.43	69.03	12.74	21.63	105.15	124.37	0.0	93.35	59.55	8.38	8.78	131.51	42.71	84.63	64.34	25.91	63.0	108.9	61.68	77.79	76.71	113.56	69.52	70.01	0.0	101.54	58.3	83.45	44.57	38.95	54.72	12.0	4.1	6.46	84.04	59.55	2.32	16.03	104.42	88.26	100.83	11.82	103.69	59.97	14.78	8.19	7.34	8.92	75.64	46.18	8.45	43.63	72.52	5.73	52.08	29.7	7.82	18.84	17.13	15.91	18.29	22.75	23.93	1.1	21.47	6.62	2.58	0.88	32.59	2.29	12.45	2.92	4.78	7.11	48.52
