	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A7CK.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.5436.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7236.01A.11R.2016.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.77.8130.01A.11R.2247.07
POC5	137.14	191.67	75.64	155.5	215.77	74.58	163.28	156.59	163.28	191.67	175.07	242.88	312.0	275.28	119.26	108.14	166.73	133.36	49.21	50.27	122.64	70.01	111.99	169.07	183.82	67.12	125.24	148.09	156.59	120.94	55.1	98.04	112.77	146.03	65.72	81.14	103.69	81.71	79.45	109.66	52.08	103.69	104.42	120.94	295.11	137.14	81.14	84.63	130.6	212.78	65.26	149.12	251.48	142.01	118.43	72.01	107.38	76.71	117.6	159.9	158.79	84.04	111.21	147.06	63.0	193.01	134.3	101.54	198.47	94.01	92.05	66.18	59.97	97.36
POLE3	473.41	2537.92	1519.15	2645.74	1001.93	1073.91	4268.94	2090.03	2609.3	2178.83	1572.76	2739.08	3564.78	3639.7	988.12	896.64	1127.35	1331.57	1037.29	728.11	1331.57	854.13	2335.28	1059.11	1208.34	1457.23	1407.55	698.41	1268.46	1936.53	514.56	974.5	1467.37	1119.56	1259.69	1388.16	1806.78	718.08	1044.52	1015.93	981.29	2032.85	2061.24	1008.9	4972.34	3515.68	872.1	1037.29	1096.5	2061.24	848.22	1242.34	1628.26	2133.97	1233.75	1313.23	1561.89	1639.59	1030.12	1923.14	2163.77	1175.27	1583.71	703.28	830.75	1794.29	1662.49	1151.06	3146.52	1151.06	1313.23	414.87	339.14	830.75
POP1	54.72	325.29	74.06	145.02	159.9	31.45	143.01	90.77	104.42	101.54	92.05	212.78	301.33	100.83	205.5	61.68	98.04	172.65	132.44	68.55	136.19	53.19	39.79	80.01	109.66	104.42	74.58	96.68	90.14	121.79	81.14	80.57	173.85	122.64	85.82	124.37	108.14	68.55	105.15	105.15	128.79	154.42	343.89	137.14	339.14	201.25	69.03	120.1	92.05	149.12	120.94	206.94	77.25	234.57	237.86	94.01	86.43	173.85	85.82	351.14	211.31	99.43	147.06	102.25	44.57	111.21	133.36	146.03	285.03	98.04	101.54	48.87	59.97	44.57
PPP6C	389.72	2271.4	1467.37	1529.73	1340.84	2255.7	1594.73	1781.89	1909.85	1896.65	1457.23	1583.71	1639.59	1923.14	1304.15	1551.09	941.27	1277.29	1250.98	813.63	1127.35	674.59	1806.78	1286.18	1111.82	954.43	1104.13	769.69	1350.18	2335.28	1051.79	733.19	1896.65	1051.79	1369.04	1143.1	1304.15	915.51	947.83	1225.22	819.3	1870.53	1286.18	974.5	2591.27	2032.85	1437.15	974.5	1111.82	1529.73	1191.69	1417.35	1151.06	1216.75	1313.23	1304.15	1583.71	1322.37	1104.13	2004.85	1662.49	830.75	1437.15	563.18	1175.27	1617.0	1277.29	1277.29	1457.23	1015.93	1044.52	457.25	329.84	638.15
PRPF4	172.65	1119.56	612.11	753.83	476.71	400.71	1417.35	974.5	981.29	928.3	620.67	1216.75	1135.2	1088.92	400.71	493.56	480.04	555.41	409.15	325.29	547.75	356.05	842.36	555.41	579.04	769.69	525.39	389.72	497.0	947.83	244.57	366.09	599.49	441.64	514.56	476.71	759.08	287.01	571.05	417.77	503.95	1167.14	1073.91	454.09	2367.9	1378.57	450.94	438.59	500.46	947.83	493.56	559.28	620.67	1583.71	483.38	567.1	620.67	813.63	447.82	1059.11	1104.13	490.14	878.17	297.17	314.17	909.17	698.41	559.28	961.07	551.56	470.14	169.07	120.1	260.38
PRRC2B	616.37	1378.57	1259.69	2047.0	698.41	543.96	2777.33	1745.2	1199.98	1322.37	2520.38	2367.9	2915.45	2502.97	819.3	480.04	728.11	1806.78	1030.12	547.75	1008.9	860.08	1923.14	1073.91	1143.1	1233.75	890.44	679.29	1044.52	1199.98	791.35	1111.82	1242.34	1111.82	1081.39	1437.15	1651.0	669.92	1331.57	934.76	854.13	1697.45	1447.15	1066.48	3768.09	2777.33	974.5	1030.12	775.05	2209.26	1639.59	1175.27	848.22	2609.3	1662.49	1023.0	1037.29	2133.97	1066.48	2758.13	2061.24	1540.37	1457.23	620.67	1378.57	1963.57	1437.15	947.83	1923.14	1167.14	579.04	397.93	438.59	1015.93
PSMD5	119.26	684.02	466.88	543.96	417.77	327.56	753.83	656.11	890.44	764.36	514.56	1030.12	872.1	830.75	450.94	651.58	358.54	665.29	441.64	279.14	507.46	334.46	743.43	500.46	511.0	529.06	373.81	332.14	511.0	813.63	387.02	301.33	693.58	361.04	323.03	583.07	688.78	320.8	283.05	417.77	279.14	802.41	607.87	423.61	1467.37	988.12	403.5	490.14	314.17	698.41	447.82	616.37	532.74	525.39	612.11	587.13	529.06	651.58	480.04	791.35	981.29	426.57	759.08	248.0	244.57	642.59	624.99	500.46	866.07	14.89	507.46	275.28	118.43	239.52
PTGES2	860.08	1794.29	1529.73	2451.44	848.22	854.13	1832.01	1583.71	1378.57	1447.15	1388.16	1870.53	1991.0	2271.4	1359.57	1088.92	1015.93	1183.45	995.0	607.87	1498.22	830.75	2209.26	1143.1	1340.84	1757.34	1304.15	540.19	1359.57	1769.57	884.29	830.75	1709.26	1397.83	1175.27	1331.57	1437.15	616.37	1044.52	1088.92	1331.57	1963.57	1617.0	1199.98	2434.5	1447.15	1242.34	1233.75	1225.22	1745.2	1044.52	1051.79	1572.76	1674.06	1350.18	1073.91	1397.83	1617.0	1561.89	1561.89	2004.85	1388.16	1427.22	511.0	1066.48	1806.78	1594.73	1605.83	2090.03	1143.1	1498.22	507.46	775.05	748.61
PTPDC1	22.75	105.15	40.07	131.51	75.64	21.32	159.9	115.16	111.99	135.24	81.71	277.2	224.97	327.56	27.05	83.45	50.98	60.82	28.04	33.06	47.5	47.5	102.97	46.5	74.06	75.64	81.71	44.25	44.25	86.43	36.53	67.12	64.8	46.5	35.0	47.5	109.66	34.51	50.63	64.34	6.46	77.25	65.26	94.67	211.31	126.12	45.85	58.71	50.98	105.89	53.95	66.18	86.43	82.29	54.72	76.71	62.12	72.52	71.0	108.9	149.12	28.45	65.26	30.78	26.47	159.9	46.18	42.41	143.01	88.26	17.38	6.67	11.73	39.22
QSOX2	39.5	486.75	185.11	403.5	131.51	39.22	579.04	223.41	189.02	218.79	232.94	551.56	392.44	444.72	90.77	127.0	156.59	220.32	90.14	110.43	114.36	177.53	165.57	125.24	151.22	202.66	158.79	132.44	156.59	332.14	60.82	112.77	133.36	153.34	218.79	97.36	198.47	93.35	137.14	121.79	163.28	466.88	346.29	191.67	551.56	463.65	98.73	137.14	149.12	483.38	87.65	151.22	197.09	312.0	137.14	215.77	209.84	236.21	112.77	339.14	312.0	140.04	197.09	56.68	67.12	341.51	82.29	94.67	361.04	212.78	85.82	58.71	75.64	151.22
RAB14	361.04	1519.15	967.76	1388.16	769.69	2148.82	1437.15	1175.27	1594.73	1159.07	1037.29	3039.3	2384.37	1529.73	836.53	1369.04	703.28	1322.37	1059.11	500.46	1183.45	738.29	2018.8	1159.07	842.36	928.3	1167.14	575.03	981.29	1561.89	1059.11	669.92	1340.84	1008.9	813.63	1151.06	1519.15	536.45	878.17	988.12	791.35	1498.22	1023.0	872.1	2367.9	1572.76	974.5	1051.79	860.08	1073.91	1322.37	1015.93	884.29	1540.37	1159.07	1051.79	1167.14	1199.98	967.76	1529.73	1572.76	1268.46	1477.58	435.55	1023.0	1304.15	1397.83	1059.11	1733.13	1001.93	961.07	612.11	409.15	629.35
RABEPK	258.57	1066.48	555.41	961.07	518.15	249.73	507.46	813.63	551.56	967.76	954.43	909.17	813.63	915.51	486.75	466.88	454.09	450.94	460.44	289.02	454.09	376.41	587.13	403.5	591.22	595.34	728.11	363.56	366.09	842.36	205.5	271.48	450.94	525.39	490.14	493.56	480.04	279.14	356.05	457.25	595.34	1015.93	854.13	703.28	791.35	642.59	327.56	373.81	555.41	796.86	341.51	392.44	764.36	703.28	507.46	420.68	414.87	651.58	251.48	551.56	808.0	447.82	595.34	303.44	255.0	703.28	536.45	444.72	497.0	339.14	435.55	205.5	426.57	438.59
RABGAP1	242.88	1015.93	470.14	256.78	289.02	571.05	866.07	728.11	693.58	733.19	607.87	1674.06	1313.23	579.04	406.31	486.75	343.89	599.49	376.41	239.52	551.56	218.79	884.29	457.25	441.64	441.64	647.07	279.14	363.56	819.3	336.79	271.48	599.49	450.94	559.28	450.94	536.45	363.56	412.0	514.56	536.45	1096.5	447.82	438.59	1167.14	1059.11	438.59	392.44	341.51	656.11	473.41	423.61	438.59	607.87	366.09	500.46	490.14	915.51	384.34	698.41	884.29	466.88	836.53	204.07	432.53	967.76	497.0	466.88	708.18	583.07	447.82	142.01	98.73	260.38
RAD23B	941.27	5219.6	3146.52	2520.38	2875.3	4328.55	5954.47	3589.58	4802.93	3515.68	3665.02	6935.54	6207.38	3060.45	2075.59	4095.0	2240.11	3146.52	3665.02	1950.0	2777.33	1794.29	5517.27	2935.74	2895.31	4210.15	2976.74	2061.24	3039.3	4769.75	2645.74	2193.99	3768.09	2875.3	3768.09	4010.71	3742.05	2104.58	2520.38	3325.99	2627.46	5041.77	4010.71	2075.59	9740.98	5913.33	3768.09	2555.58	2682.69	4704.07	4419.52	3443.31	2434.5	3716.2	3257.52	3039.3	3955.48	4328.55	2609.3	5076.84	5292.48	3325.99	4937.99	1745.2	3467.27	4066.71	3395.89	2935.74	5147.73	3280.18	2485.67	1909.85	934.76	2502.97
RBM18	112.77	1051.79	480.04	728.11	460.44	182.55	480.04	493.56	540.19	536.45	287.01	567.1	540.19	642.59	346.29	638.15	379.04	366.09	271.48	281.09	332.14	205.5	559.28	395.18	368.65	397.93	312.0	262.2	283.05	713.11	246.28	234.57	454.09	253.23	476.71	368.65	412.0	291.04	264.03	361.04	312.0	638.15	563.18	318.57	1104.13	660.68	291.04	299.25	384.34	392.44	409.15	417.77	476.71	356.05	318.57	454.09	409.15	417.77	262.2	708.18	665.29	329.84	490.14	258.57	273.37	555.41	299.25	381.68	536.45	346.29	299.25	85.82	102.25	244.57
REXO4	251.48	1304.15	503.95	1208.34	447.82	358.54	575.03	866.07	575.03	733.19	463.65	921.88	954.43	1183.45	633.73	231.32	536.45	514.56	392.44	323.03	457.25	320.8	836.53	397.93	500.46	514.56	684.02	318.57	500.46	796.86	199.85	343.89	551.56	476.71	470.14	466.88	647.07	366.09	379.04	432.53	529.06	791.35	825.0	529.06	1304.15	1088.92	323.03	518.15	521.76	878.17	457.25	525.39	791.35	854.13	473.41	571.05	612.11	629.35	500.46	748.61	921.88	320.8	679.29	381.68	244.57	848.22	595.34	660.68	708.18	412.0	599.49	124.37	301.33	318.57
RMI1	32.36	412.0	112.77	169.07	111.21	325.29	450.94	217.27	363.56	244.57	202.66	373.81	395.18	246.28	66.18	116.78	68.07	147.06	76.71	39.22	116.78	74.58	185.11	142.01	121.79	140.04	113.56	108.14	76.17	248.0	42.11	117.6	183.82	150.17	108.9	106.63	221.86	57.49	108.9	70.51	63.89	197.09	177.53	67.59	848.22	351.14	64.34	94.01	63.89	249.73	98.04	121.79	130.6	212.78	129.69	122.64	144.01	130.6	94.01	241.19	271.48	129.69	164.42	62.56	61.68	273.37	212.78	123.5	507.46	137.14	94.01	36.53	50.98	63.89
RNF20	135.24	848.22	406.31	403.5	438.59	1733.13	941.27	497.0	559.28	490.14	417.77	575.03	583.07	441.64	205.5	332.14	256.78	381.68	376.41	205.5	379.04	211.31	571.05	480.04	392.44	409.15	301.33	244.57	454.09	500.46	368.65	312.0	332.14	285.03	356.05	463.65	529.06	260.38	414.87	265.87	194.36	518.15	366.09	406.31	961.07	514.56	265.87	279.14	221.86	414.87	373.81	403.5	351.14	603.67	435.55	376.41	454.09	483.38	356.05	830.75	575.03	435.55	507.46	169.07	400.71	429.54	500.46	341.51	656.11	403.5	389.72	255.0	156.59	260.38
SDCCAG3	320.8	1781.89	836.53	1733.13	463.65	397.93	1096.5	1769.57	733.19	1487.87	1447.15	2018.8	1745.2	2319.15	813.63	624.99	748.61	738.29	412.0	511.0	728.11	511.0	915.51	836.53	802.41	967.76	1295.13	503.95	743.43	1183.45	432.53	435.55	808.0	660.68	567.1	559.28	941.27	497.0	529.06	595.34	743.43	1277.29	1467.37	1030.12	1572.76	1407.55	547.75	733.19	656.11	1477.58	384.34	603.67	860.08	753.83	575.03	967.76	674.59	703.28	848.22	848.22	1304.15	444.72	819.3	473.41	297.17	1844.76	603.67	384.34	1183.45	860.08	713.11	571.05	521.76	473.41
SET	2855.44	15392.14	7280.4	10659.59	5366.37	5329.3	11112.3	7695.57	8778.97	10154.69	6699.25	10733.74	8963.45	8191.0	4268.94	3589.58	5791.62	5594.3	4769.75	5147.73	5219.6	5403.7	11664.82	5329.3	6079.61	8305.36	6840.04	3874.05	4298.64	8022.41	2133.97	4450.27	7433.4	5594.3	5441.3	4210.15	6607.01	3564.78	4543.8	5006.93	5219.6	9740.98	10154.69	4769.75	16157.44	9808.75	4802.93	4239.45	5441.3	9279.58	5006.93	6121.9	7230.1	9474.59	4607.24	6337.83	6471.02	7485.11	4450.27	7280.4	10014.87	6037.61	8134.41	3540.14	3491.39	9540.5	7642.41	7331.05	11189.6	5219.6	4328.55	825.0	1268.46	4802.93
SETX	127.0	551.56	395.18	283.05	281.09	343.89	679.29	514.56	587.13	457.25	447.82	884.29	961.07	733.19	307.69	376.41	287.01	529.06	264.03	248.0	395.18	244.57	547.75	493.56	260.38	366.09	511.0	231.32	297.17	507.46	351.14	318.57	483.38	511.0	457.25	361.04	612.11	297.17	356.05	361.04	249.73	486.75	389.72	297.17	995.0	748.61	281.09	361.04	285.03	579.04	379.04	490.14	417.77	688.78	395.18	414.87	409.15	412.0	351.14	656.11	764.36	457.25	665.29	209.84	289.02	599.49	438.59	397.93	665.29	329.84	281.09	195.72	180.02	251.48
SKA2	543.96	1127.35	1183.45	1832.01	1397.83	1340.84	2627.46	1572.76	2335.28	2004.85	1487.87	2609.3	1662.49	2319.15	457.25	728.11	1001.93	842.36	656.11	780.44	1030.12	890.44	748.61	698.41	1857.6	1806.78	1233.75	1709.26	551.56	1295.13	579.04	1936.53	1685.71	1304.15	1417.35	579.04	1037.29	708.18	669.92	1015.93	559.28	1208.34	1697.45	603.67	4095.0	1617.0	555.41	872.1	1963.57	1350.18	1143.1	1583.71	1709.26	1044.52	860.08	1151.06	1417.35	1135.2	775.05	860.08	1199.98	525.39	1757.34	941.27	703.28	921.88	1159.07	1216.75	1378.57	718.08	836.53	124.37	384.34	748.61
SMC2	35.25	473.41	309.83	221.86	186.4	373.81	860.08	426.57	607.87	426.57	194.36	769.69	500.46	441.64	141.02	85.82	138.1	253.23	165.57	87.03	220.32	111.99	343.89	131.51	211.31	403.5	201.25	153.34	199.85	231.32	66.65	221.86	220.32	120.94	171.45	163.28	234.57	100.83	248.0	102.25	128.79	438.59	264.03	167.9	1127.35	555.41	125.24	149.12	159.9	651.58	170.25	229.72	218.79	301.33	171.45	201.25	281.09	327.56	162.14	353.59	334.46	253.23	211.31	88.26	117.6	414.87	246.28	236.21	902.89	178.77	115.97	32.36	23.76	87.65
SNAPC4	79.45	309.83	120.94	154.42	80.01	64.34	150.17	186.4	111.99	170.25	182.55	221.86	297.17	358.54	111.99	26.67	87.03	151.22	63.89	45.85	123.5	36.01	111.99	127.89	75.11	98.73	161.02	62.12	78.34	124.37	69.03	63.0	125.24	136.19	87.03	64.8	134.3	54.33	52.45	89.51	136.19	125.24	214.27	138.1	271.48	228.13	75.11	111.99	109.66	183.82	68.55	94.01	111.21	95.34	79.45	77.25	62.12	120.94	96.01	155.5	189.02	112.77	140.04	74.58	67.59	158.79	108.14	77.25	182.55	113.56	78.89	75.11	91.41	53.95
SPIN1	226.54	1030.12	476.71	575.03	559.28	483.38	1268.46	486.75	1073.91	511.0	587.13	1331.57	1277.29	825.0	343.89	947.83	473.41	785.88	514.56	320.8	642.59	444.72	1167.14	616.37	540.19	819.3	575.03	426.57	595.34	753.83	460.44	599.49	688.78	559.28	656.11	854.13	738.29	435.55	718.08	473.41	450.94	1051.79	595.34	563.18	1498.22	928.3	500.46	500.46	373.81	974.5	738.29	571.05	547.75	525.39	587.13	656.11	599.49	616.37	579.04	1059.11	1096.5	759.08	866.07	260.38	457.25	981.29	836.53	738.29	1268.46	679.29	417.77	283.05	169.07	733.19
SURF2	872.1	1950.0	780.44	4123.49	825.0	860.08	1225.22	1268.46	1572.76	1417.35	1417.35	1127.35	1104.13	1674.06	1008.9	842.36	1127.35	1030.12	872.1	490.14	808.0	575.03	1242.34	860.08	1159.07	995.0	1127.35	567.1	884.29	1991.0	547.75	420.68	1104.13	1127.35	866.07	974.5	1388.16	616.37	624.99	872.1	660.68	1127.35	1119.56	896.64	1896.65	1551.09	848.22	988.12	1498.22	1378.57	866.07	1096.5	1037.29	1143.1	733.19	743.43	1015.93	1259.69	718.08	921.88	1250.98	629.35	1111.82	819.3	713.11	1175.27	753.83	1037.29	1313.23	753.83	1322.37	239.52	395.18	305.55
SURF6	260.38	1081.39	540.19	1561.89	373.81	267.73	738.29	921.88	718.08	890.44	595.34	769.69	819.3	988.12	595.34	139.07	460.44	503.95	332.14	389.72	543.96	275.28	733.19	540.19	454.09	532.74	708.18	460.44	420.68	836.53	190.34	309.83	555.41	708.18	339.14	400.71	525.39	339.14	287.01	518.15	579.04	656.11	878.17	633.73	1167.14	1242.34	287.01	423.61	713.11	909.17	332.14	536.45	743.43	1059.11	389.72	406.31	435.55	575.03	368.65	688.78	759.08	339.14	616.37	426.57	232.94	819.3	480.04	529.06	607.87	373.81	414.87	214.27	334.46	361.04
TBC1D13	116.78	490.14	346.29	656.11	303.44	107.38	507.46	503.95	348.71	435.55	305.55	351.14	473.41	507.46	309.83	139.07	256.78	397.93	180.02	126.12	287.01	180.02	371.22	301.33	285.03	348.71	215.77	146.03	283.05	318.57	209.84	246.28	325.29	218.79	389.72	466.88	387.02	198.47	297.17	244.57	144.01	447.82	387.02	348.71	884.29	780.44	220.32	186.4	163.28	547.75	234.57	384.34	366.09	563.18	432.53	297.17	236.21	429.54	361.04	551.56	551.56	312.0	358.54	157.68	199.85	395.18	316.37	303.44	547.75	237.86	320.8	195.72	223.41	204.07
TCOF1	507.46	2018.8	642.59	974.5	536.45	281.09	974.5	866.07	629.35	1096.5	813.63	1572.76	1313.23	1159.07	343.89	112.77	733.19	728.11	500.46	460.44	525.39	403.5	878.17	688.78	1037.29	830.75	532.74	679.29	629.35	251.48	236.21	684.02	791.35	791.35	521.76	356.05	728.11	327.56	511.0	301.33	559.28	559.28	769.69	629.35	2796.65	921.88	583.07	547.75	703.28	743.43	665.29	728.11	928.3	444.72	460.44	397.93	603.67	1044.52	466.88	759.08	693.58	679.29	587.13	1175.27	397.93	909.17	775.05	872.1	1023.0	525.39	532.74	180.02	239.52	518.15
TDRD7	59.97	187.71	130.6	325.29	287.01	511.0	490.14	457.25	336.79	444.72	318.57	490.14	647.07	400.71	162.14	258.57	241.19	457.25	115.97	76.17	232.94	119.26	470.14	358.54	384.34	248.0	316.37	98.73	199.85	379.04	285.03	125.24	500.46	303.44	134.3	187.71	599.49	81.14	116.78	293.07	295.11	136.19	351.14	156.59	1295.13	819.3	191.67	223.41	226.54	438.59	441.64	441.64	642.59	521.76	206.94	253.23	309.83	244.57	206.94	341.51	669.92	275.28	551.56	139.07	209.84	587.13	417.77	277.2	579.04	217.27	224.97	92.7	105.15	26.67
TEX10	150.17	825.0	232.94	361.04	341.51	171.45	703.28	486.75	476.71	514.56	358.54	748.61	651.58	483.38	177.53	341.51	376.41	470.14	248.0	194.36	444.72	232.94	571.05	351.14	297.17	334.46	397.93	232.94	363.56	497.0	234.57	262.2	518.15	414.87	309.83	323.03	563.18	239.52	221.86	351.14	361.04	612.11	483.38	387.02	866.07	688.78	246.28	339.14	329.84	612.11	466.88	476.71	353.59	612.11	275.28	379.04	309.83	450.94	351.14	497.0	583.07	381.68	473.41	172.65	269.6	514.56	379.04	540.19	743.43	327.56	327.56	76.17	102.97	191.67
TMEM203	470.14	1745.2	1037.29	1639.59	748.61	638.15	884.29	1295.13	1051.79	1233.75	1322.37	872.1	1199.98	1259.69	791.35	866.07	753.83	866.07	733.19	514.56	775.05	723.08	1059.11	860.08	1225.22	921.88	1096.5	525.39	764.36	1359.57	808.0	599.49	915.51	921.88	579.04	842.36	1081.39	420.68	688.78	854.13	583.07	947.83	1066.48	733.19	1685.71	1268.46	708.18	656.11	713.11	1233.75	620.67	759.08	1015.93	1397.83	854.13	825.0	902.89	848.22	698.41	1096.5	1286.18	941.27	1127.35	733.19	651.58	890.44	1044.52	915.51	947.83	684.02	974.5	441.64	647.07	638.15
TOR1A	363.56	1191.69	603.67	1044.52	660.68	460.44	698.41	607.87	703.28	703.28	830.75	1143.1	1037.29	866.07	629.35	497.0	583.07	629.35	432.53	403.5	525.39	423.61	753.83	612.11	567.1	463.65	738.29	457.25	423.61	808.0	511.0	567.1	764.36	674.59	638.15	473.41	785.88	387.02	486.75	669.92	500.46	878.17	1015.93	620.67	1242.34	1199.98	389.72	454.09	587.13	769.69	563.18	733.19	854.13	954.43	473.41	679.29	607.87	583.07	480.04	1088.92	1135.2	660.68	1044.52	579.04	543.96	866.07	647.07	660.68	1030.12	466.88	547.75	466.88	346.29	490.14
TRAF2	223.41	878.17	392.44	563.18	241.19	612.11	551.56	890.44	540.19	651.58	674.59	703.28	723.08	1159.07	287.01	253.23	265.87	412.0	205.5	198.47	339.14	215.77	651.58	316.37	327.56	540.19	563.18	267.73	287.01	470.14	183.82	211.31	303.44	334.46	395.18	253.23	490.14	221.86	201.25	325.29	287.01	473.41	460.44	381.68	1044.52	521.76	206.94	312.0	309.83	660.68	234.57	412.0	698.41	435.55	361.04	327.56	312.0	563.18	327.56	532.74	540.19	269.6	381.68	208.38	218.79	656.11	373.81	486.75	688.78	327.56	356.05	193.01	249.73	236.21
TSC1	96.01	497.0	178.77	218.79	198.47	149.12	406.31	285.03	241.19	318.57	226.54	356.05	454.09	351.14	214.27	127.89	121.79	202.66	157.68	127.89	186.4	163.28	267.73	195.72	154.42	191.67	156.59	111.21	176.29	303.44	199.85	111.99	226.54	180.02	244.57	198.47	177.53	165.57	144.01	133.36	164.42	343.89	186.4	157.68	587.13	237.86	176.29	172.65	138.1	291.04	208.38	185.11	172.65	267.73	148.09	212.78	228.13	234.57	128.79	204.07	336.79	165.57	215.77	96.68	151.22	224.97	153.34	143.01	256.78	163.28	121.79	87.65	67.12	91.41
TSTD2	83.45	186.4	136.19	164.42	96.68	41.22	447.82	232.94	234.57	256.78	206.94	441.64	289.02	309.83	87.03	143.01	132.44	224.97	110.43	71.0	171.45	71.5	312.0	182.55	143.01	149.12	124.37	77.79	137.14	211.31	101.54	93.35	166.73	145.02	161.02	138.1	164.42	96.68	100.83	70.51	132.44	221.86	154.42	182.55	507.46	232.94	97.36	127.0	101.54	201.25	58.3	129.69	217.27	221.86	129.69	113.56	123.5	167.9	164.42	201.25	299.25	120.94	193.01	35.76	87.03	226.54	183.82	136.19	336.79	127.0	133.36	61.68	48.18	111.21
TTF1	156.59	624.99	339.14	583.07	220.32	155.5	503.95	607.87	435.55	660.68	395.18	409.15	432.53	409.15	214.27	94.67	241.19	205.5	136.19	124.37	273.37	169.07	353.59	285.03	287.01	226.54	327.56	162.14	173.85	406.31	150.17	149.12	341.51	197.09	180.02	149.12	384.34	153.34	119.26	297.17	221.86	279.14	299.25	356.05	607.87	379.04	198.47	226.54	271.48	351.14	170.25	256.78	281.09	423.61	182.55	209.84	229.72	205.5	173.85	332.14	397.93	180.02	351.14	185.11	142.01	318.57	237.86	214.27	463.65	267.73	163.28	68.55	62.12	147.06
UBAC1	414.87	2417.67	791.35	2018.8	902.89	1295.13	1857.6	2193.99	1639.59	2287.2	2627.46	1697.45	1923.14	2271.4	947.83	1051.79	902.89	1331.57	785.88	483.38	1135.2	780.44	2133.97	842.36	1639.59	896.64	1551.09	555.41	1051.79	1519.15	819.3	603.67	1477.58	988.12	1015.93	848.22	2104.58	525.39	514.56	1175.27	842.36	1073.91	1498.22	1081.39	2255.7	1594.73	928.3	941.27	1159.07	1350.18	1008.9	915.51	1225.22	2075.59	947.83	921.88	1127.35	1340.84	1135.2	1127.35	1651.0	878.17	961.07	660.68	743.43	1857.6	1259.69	1250.98	1477.58	988.12	1216.75	414.87	351.14	551.56
