	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.CA.6715.01A.21R.1839.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YW.01A.11R.A28H.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.AY.6386.01A.21R.1723.07	TCGA.AM.5821.01A.01R.1653.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.O5YT.1426.SM.3MJHC	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.13OW6.2126.SM.5N9GL	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.144GN.1126.SM.5LU33	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.12KS4.1326.SM.5LUB3	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AH.6897.01A.11R.1928.07	GTEX.QXCU.1926.SM.48FE4	GTEX.Q2AI.0826.SM.48TZO
IL17RE	193.01	91.41	796.86	57.49	144.01	660.68	547.75	36.53	1437.15	1286.18	1832.01	1259.69	1651.0	1388.16	1397.83	1709.26	1030.12	1561.89	1529.73	1561.89	1199.98	1498.22	1697.45	1369.04	1151.06	1857.6	1909.85	1936.53	1159.07	1628.26	1242.34	1594.73	1757.34	1721.16	1233.75	1519.15	1529.73	2104.58	1806.78	723.08	1857.6	1819.35	1457.23	1447.15	1268.46	718.08	1127.35	1417.35	1225.22	1950.0	2178.83	1073.91	287.01	1857.6	1639.59	1651.0	2255.7	1594.73	1467.37	1477.58	780.44	1909.85	718.08	1369.04	1709.26	647.07	1896.65	1769.57	1628.26	540.19	1015.93	1794.29	1991.0	1295.13	921.88	934.76	1286.18	1350.18	2255.7	1477.58	890.44	1397.83	1467.37	2032.85	1378.57	54.72	251.48	33.54	301.33	214.27	80.57	43.02	33.78	96.68	267.73	348.71	170.25	0.0	0.23	94.01	497.0	775.05
KIAA0556	397.93	166.73	146.03	224.97	197.09	275.28	205.5	95.34	293.07	351.14	417.77	175.07	395.18	325.29	368.65	353.59	307.69	303.44	287.01	327.56	262.2	244.57	336.79	224.97	283.05	289.02	217.27	379.04	297.17	309.83	242.88	343.89	351.14	320.8	269.6	299.25	358.54	366.09	279.14	183.82	283.05	358.54	303.44	269.6	314.17	249.73	205.5	305.55	120.94	363.56	316.37	220.32	182.55	470.14	332.14	323.03	395.18	356.05	348.71	373.81	248.0	318.57	209.84	234.57	336.79	204.07	267.73	414.87	358.54	199.85	229.72	325.29	406.31	232.94	264.03	201.25	303.44	318.57	346.29	277.2	182.55	325.29	237.86	463.65	332.14	22.59	68.07	18.84	45.53	65.26	58.3	28.04	35.5	59.13	96.01	78.34	12.0	0.0	0.51	228.13	237.86	258.57
KIAA1161	197.09	143.01	400.71	318.57	138.1	514.56	323.03	52.45	872.1	660.68	1304.15	796.86	723.08	591.22	1008.9	848.22	728.11	934.76	884.29	1066.48	1159.07	890.44	1259.69	713.11	718.08	1073.91	1369.04	947.83	684.02	802.41	571.05	974.5	941.27	1127.35	476.71	988.12	941.27	890.44	967.76	921.88	1277.29	890.44	941.27	988.12	961.07	830.75	529.06	902.89	400.71	808.0	1199.98	656.11	363.56	1015.93	1008.9	967.76	1167.14	848.22	1096.5	1015.93	583.07	1059.11	543.96	860.08	1119.56	555.41	1167.14	872.1	1030.12	209.84	620.67	813.63	988.12	669.92	551.56	791.35	825.0	703.28	941.27	753.83	591.22	723.08	836.53	928.3	791.35	518.15	961.07	540.19	1304.15	656.11	525.39	341.51	309.83	444.72	921.88	518.15	156.59	27.25	53.19	171.45	599.49	483.38
KIAA1211	8.13	14.89	41.81	8.06	13.12	43.02	40.36	8.13	381.68	267.73	703.28	170.25	358.54	236.21	414.87	348.71	190.34	384.34	316.37	429.54	551.56	361.04	603.67	223.41	346.29	728.11	830.75	463.65	346.29	366.09	217.27	323.03	500.46	299.25	239.52	579.04	417.77	567.1	417.77	90.77	775.05	693.58	368.65	476.71	629.35	116.78	122.64	309.83	190.34	384.34	559.28	299.25	134.3	473.41	575.03	463.65	708.18	312.0	366.09	412.0	246.28	466.88	106.63	239.52	389.72	150.17	679.29	536.45	620.67	122.64	154.42	336.79	583.07	105.89	193.01	312.0	289.02	206.94	713.11	277.2	231.32	366.09	356.05	607.87	271.48	2.39	18.56	4.39	0.0	5.32	9.2	19.39	1.53	5.11	31.22	11.64	0.46	0.0	0.17	18.97	28.24	24.63
KIAA1683	3.0	1.89	4.98	8.78	78.89	8.92	10.47	15.45	100.83	64.8	197.09	33.78	77.25	64.8	53.95	46.84	32.36	76.71	139.07	78.89	37.85	26.67	26.1	40.93	60.39	87.03	79.45	88.88	72.01	68.55	73.54	159.9	144.01	84.04	24.99	18.97	63.89	165.57	170.25	90.77	49.91	62.56	89.51	138.1	127.89	24.81	15.22	72.52	9.48	120.1	119.26	30.12	71.0	80.01	58.71	85.82	159.9	135.24	106.63	76.71	50.27	71.0	38.67	94.01	96.68	107.38	122.64	63.89	62.56	11.38	15.11	92.7	172.65	53.57	39.79	84.04	53.19	64.8	180.02	32.36	15.56	65.26	40.36	177.53	55.1	14.56	15.0	27.64	13.72	24.11	28.04	11.64	21.47	31.67	25.35	32.13	12.55	0.0	0.0	8.78	187.71	5.73
KIF13B	264.03	197.09	217.27	186.4	277.2	470.14	381.68	87.65	961.07	713.11	1096.5	693.58	896.64	612.11	981.29	825.0	866.07	748.61	1127.35	738.29	1044.52	796.86	1159.07	575.03	813.63	1143.1	1104.13	1059.11	684.02	981.29	642.59	915.51	1191.69	1250.98	796.86	954.43	974.5	1388.16	1167.14	454.09	1059.11	981.29	1059.11	1023.0	1159.07	463.65	651.58	1023.0	1135.2	1044.52	1059.11	583.07	309.83	1037.29	928.3	1127.35	1457.23	1066.48	1001.93	1008.9	603.67	1037.29	343.89	961.07	967.76	583.07	1295.13	1104.13	1073.91	571.05	587.13	1066.48	1127.35	947.83	599.49	624.99	819.3	884.29	1208.34	599.49	633.73	753.83	866.07	1350.18	934.76	209.84	81.71	189.02	128.79	137.14	121.79	63.89	130.6	96.68	87.03	76.17	113.56	0.0	0.53	289.02	583.07	647.07
KPNA7	2.61	0.49	2.05	9.7	1.91	8.99	18.56	16.03	35.5	4.9	59.13	5.28	9.78	18.84	27.05	15.68	6.89	6.41	10.16	10.31	7.94	16.88	14.56	9.41	7.46	20.41	59.97	16.15	0.0	0.0	0.0	12.36	12.27	24.81	6.89	8.85	27.44	28.04	36.27	3.35	8.0	31.67	23.08	37.32	33.54	0.0	6.31	16.27	74.06	4.9	22.1	9.48	0.0	5.68	0.0	8.65	26.86	23.76	16.88	11.13	5.96	19.97	3.08	9.56	9.06	0.0	31.9	15.91	18.84	3.14	4.7	20.86	16.03	5.5	3.23	5.02	10.0	11.21	27.44	6.06	0.0	5.63	13.12	29.06	13.42	4.46	2.41	14.78	3.63	10.71	0.48	0.56	8.71	1.79	16.03	6.62	0.0	0.0	0.04	2.23	18.16	10.63
KRT9	0.0	0.16	0.0	0.0	0.0	2.51	0.0	0.0	2.76	0.0	8.58	1.08	10.08	1.13	2.1	5.96	1.17	3.06	3.69	3.03	10.55	1.11	6.26	2.53	1.68	3.03	10.24	3.26	1.58	2.61	5.02	2.29	8.06	2.56	2.92	0.0	2.07	11.91	5.73	2.29	10.71	12.45	2.14	5.06	3.76	0.0	0.0	2.76	0.0	7.17	6.16	2.39	2.1	2.63	3.5	2.78	3.08	5.36	2.73	3.23	2.25	3.44	0.0	1.62	0.0	2.16	7.11	3.99	2.34	0.0	3.0	2.14	4.9	2.07	1.68	2.23	2.94	2.25	3.08	0.0	0.0	6.62	2.16	5.15	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
LCN15	98.04	48.52	4.24	15.45	1388.16	6.16	7.94	0.26	54.33	466.88	1096.5	88.88	100.83	279.14	348.71	334.46	90.14	651.58	353.59	497.0	674.59	237.86	74.58	341.51	237.86	1819.35	1467.37	3564.78	202.66	131.51	47.84	3467.27	521.76	376.41	25.54	126.12	500.46	536.45	316.37	65.26	587.13	13.12	412.0	2018.8	718.08	3.86	38.12	928.3	127.0	307.69	1096.5	61.25	12.27	470.14	201.25	583.07	2895.31	1639.59	2502.97	1674.06	295.11	423.61	39.79	320.8	819.3	156.59	414.87	633.73	884.29	12.55	181.28	4607.24	323.03	37.85	26.47	53.19	738.29	149.12	4095.0	101.54	412.0	138.1	146.03	2935.74	1529.73	41.81	3.44	10.71	0.0	2.18	0.0	0.0	0.0	0.0	0.0	9.63	15.0	0.0	0.0	3639.7	18.29	67.59
LINC00955	0.0	3.53	10.16	2.78	0.0	2.68	0.0	0.0	71.5	28.45	0.0	0.0	0.0	25.17	96.68	21.32	0.0	56.28	43.94	76.17	78.89	13.83	26.28	11.04	31.9	66.18	70.01	46.18	0.0	8.78	11.55	102.97	0.0	0.0	0.0	3.5	18.29	42.71	37.85	0.0	0.0	145.02	21.47	67.59	37.59	6.62	0.0	0.0	3.76	52.82	34.75	24.46	3.99	67.12	34.26	148.09	201.25	26.47	34.51	34.02	12.18	30.56	0.0	6.01	96.01	9.48	47.17	94.67	53.19	0.0	0.0	106.63	109.66	23.59	3.06	12.0	31.22	0.0	2.97	7.0	0.0	16.15	13.32	158.79	86.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	353.59
LRRC19	47.5	46.84	52.45	25.91	26.47	275.28	117.6	0.04	2178.83	1487.87	3257.52	2502.97	2664.15	1628.26	2119.22	2335.28	1923.14	3039.3	2591.27	2520.38	5366.37	3103.19	2976.74	2133.97	2303.12	3564.78	4481.23	2537.92	2434.5	2701.35	1870.53	2004.85	3018.3	2796.65	1340.84	3303.0	3212.66	2627.46	2720.15	1104.13	3564.78	2816.11	2537.92	2739.08	3124.78	1127.35	1331.57	3146.52	1127.35	2485.67	3235.01	1896.65	251.48	2895.31	2720.15	2997.45	3039.3	2555.58	2720.15	2271.4	1883.54	3280.18	665.29	1870.53	2935.74	1199.98	3303.0	3081.75	2855.44	703.28	1605.83	2627.46	2796.65	1936.53	1572.76	2224.63	1883.54	2224.63	3325.99	2224.63	1519.15	2255.7	2351.53	2997.45	3303.0	17.25	13.72	12.74	40.07	0.0	25.54	6.21	1.16	30.56	34.75	1.17	37.32	0.0	0.0	12.55	18.97	73.54
LSR	3039.3	842.36	3589.58	854.13	4268.94	2209.26	1963.57	1175.27	6983.79	6079.61	9808.75	9279.58	9474.59	6471.02	8901.53	9151.82	7485.11	9215.48	10512.82	8901.53	6607.01	8901.53	10084.54	7180.15	6426.31	11909.94	13399.51	10440.2	6250.56	8078.22	7485.11	9025.81	8901.53	11745.96	7180.15	10296.45	8078.22	11909.94	10733.74	3467.27	9151.82	7230.1	7485.11	8479.89	9673.69	4066.71	6699.25	8134.41	6294.04	12676.65	11035.54	6381.92	1322.37	8901.53	8598.28	10808.41	13776.25	9409.14	8538.88	10440.2	4671.57	10440.2	2758.13	7130.55	9409.14	4903.87	13033.07	9673.69	8421.31	3874.05	8247.98	10733.74	9945.68	8247.98	5633.22	5791.62	7130.55	8421.31	10368.08	7803.01	6207.38	7130.55	8963.45	8901.53	9151.82	7803.01	6792.79	2367.9	8658.09	4937.99	3639.7	1378.57	941.27	3443.31	4419.52	2591.27	5711.87	5403.7	808.0	1331.57	2701.35	3540.14
MAP3K11	1081.39	633.73	830.75	878.17	1167.14	878.17	1225.22	543.96	1605.83	1674.06	1709.26	2119.22	1757.34	1685.71	1572.76	1519.15	1769.57	1745.2	1605.83	1819.35	1437.15	1388.16	1794.29	1651.0	1295.13	1870.53	2209.26	1733.13	1487.87	1561.89	1605.83	1529.73	1437.15	1685.71	1437.15	1498.22	1508.65	2018.8	1709.26	1277.29	1709.26	1594.73	1662.49	1378.57	1340.84	1175.27	1259.69	1519.15	1225.22	2148.82	2090.03	1331.57	1359.57	1745.2	1639.59	1685.71	2178.83	1697.45	1628.26	1674.06	1340.84	1781.89	1233.75	1605.83	1594.73	1167.14	1991.0	1757.34	1561.89	1340.84	1561.89	2104.58	1909.85	1697.45	1369.04	1277.29	1519.15	1519.15	1628.26	1340.84	1407.55	1709.26	1508.65	1733.13	1662.49	1295.13	1127.35	1119.56	1936.53	1023.0	2319.15	1350.18	1806.78	1322.37	1216.75	1551.09	1857.6	0.0	0.38	1143.1	808.0	1427.22
MARVELD3	99.43	42.41	145.02	56.28	176.29	995.0	161.02	19.53	1936.53	1388.16	2645.74	2004.85	2384.37	1540.37	1991.0	2061.24	1819.35	2351.53	2319.15	2004.85	2895.31	1819.35	2209.26	1651.0	1508.65	2835.7	3491.39	2434.5	1477.58	1857.6	1594.73	1883.54	2485.67	2609.3	1359.57	1977.24	2224.63	2485.67	2335.28	698.41	2720.15	2367.9	2075.59	1977.24	2148.82	775.05	1208.34	2224.63	842.36	2739.08	2976.74	1457.23	172.65	3039.3	2240.11	2240.11	3443.31	2777.33	1909.85	2367.9	1340.84	2400.97	624.99	1477.58	2502.97	954.43	2335.28	2537.92	2627.46	656.11	1437.15	2468.49	2485.67	1721.16	1096.5	1388.16	1745.2	1617.0	2468.49	1883.54	1268.46	1529.73	1733.13	2682.69	2400.97	163.28	246.28	214.27	211.31	96.68	76.71	31.45	96.68	59.55	177.53	173.85	14.14	0.0	0.0	108.14	115.16	166.73
MAST2	287.01	395.18	441.64	521.76	775.05	954.43	493.56	291.04	1605.83	1242.34	1991.0	785.88	1519.15	842.36	1397.83	1487.87	1088.92	1733.13	1697.45	1286.18	1467.37	928.3	1216.75	830.75	1081.39	1721.16	2018.8	1477.58	921.88	1135.2	1037.29	1583.71	1950.0	1628.26	616.37	878.17	1208.34	2367.9	1498.22	791.35	1225.22	1977.24	1508.65	1685.71	1242.34	802.41	518.15	1268.46	954.43	1697.45	1498.22	854.13	785.88	2303.12	1268.46	1498.22	2485.67	2004.85	1340.84	1639.59	1183.45	1685.71	698.41	1359.57	1936.53	974.5	1397.83	1819.35	1883.54	961.07	595.34	1583.71	1896.65	934.76	854.13	1088.92	878.17	1008.9	1709.26	780.44	665.29	1143.1	1008.9	2468.49	1870.53	51.35	109.66	42.71	88.26	120.1	100.13	104.42	113.56	180.02	101.54	172.65	87.65	0.0	0.82	521.76	483.38	258.57
MEP1A	53.95	10.55	1175.27	13.72	6.89	371.22	343.89	0.0	8901.53	5147.73	15499.21	9088.59	11504.21	5366.37	10014.87	10084.54	7857.29	13776.25	11992.79	12943.04	17197.56	7642.41	13586.57	4671.57	9088.59	23330.64	24660.96	14163.58	4836.35	6983.79	4671.57	13681.08	14163.58	14163.58	2835.7	10225.32	16157.44	16045.82	14663.09	1781.89	17804.06	12415.75	12943.04	17681.08	11189.6	1991.0	2075.59	13033.07	6983.79	14765.09	16960.78	4298.64	285.03	13872.08	9808.75	13306.94	27174.14	16383.0	12160.22	16383.0	5913.33	14461.21	591.22	7803.01	15075.35	3716.2	12076.21	15180.22	14561.8	1359.57	4210.15	14361.31	13306.94	6164.49	5219.6	8778.97	6250.56	7331.05	19482.97	9876.98	3665.02	8963.45	8840.04	15075.35	13033.07	15.11	0.14	0.0	6.78	0.0	0.01	0.0	9.2	0.14	10.08	27.05	28.65	0.0	0.01	54.72	256.78	18689.27
MGAM	0.02	3.79	0.43	3.06	1.04	2.03	1.13	0.67	16.51	4.82	32.59	18.56	21.78	16.51	15.68	13.93	6.21	36.01	35.76	21.32	108.14	5.63	35.76	3.56	7.57	63.89	72.01	45.85	2.97	18.7	2.94	39.79	38.4	24.46	8.38	7.88	49.21	35.5	15.56	46.5	50.63	31.45	50.27	21.47	28.45	3.38	26.86	19.53	1.46	43.63	22.92	28.45	0.0	28.86	15.22	17.13	123.5	100.13	38.67	11.64	9.56	40.64	2.48	12.83	51.35	8.13	19.53	78.89	34.75	14.89	8.19	74.58	14.89	9.63	3.79	17.38	18.29	5.06	93.35	12.45	3.0	6.84	11.21	43.94	31.9	14.45	7.57	4.24	1.45	0.0	3.86	3.38	0.97	0.49	1.07	1.48	5.59	0.0	0.42	0.01	5.28	21.32
MGLL	674.59	353.59	514.56	638.15	769.69	1066.48	1457.23	183.82	5954.47	8363.13	7032.37	6250.56	5479.15	4152.18	7081.29	5954.47	3982.99	5219.6	6983.79	4937.99	9088.59	4152.18	5594.3	2573.36	4769.75	5255.91	6935.54	5255.91	3190.46	2997.45	3515.68	4607.24	5555.65	4972.34	3168.41	5913.33	6250.56	6840.04	6337.83	2875.3	7130.55	6426.31	6426.31	4607.24	5403.7	1651.0	2163.77	4671.57	3081.75	6983.79	6745.86	3847.29	2682.69	8718.32	5594.3	5711.87	7537.18	5255.91	5594.3	5441.3	5112.16	6983.79	2335.28	3257.52	6164.49	2935.74	6121.9	5995.9	10084.54	1950.0	2502.97	4671.57	5872.48	2255.7	3103.19	3928.15	4010.71	2485.67	5672.41	4358.66	2573.36	4358.66	5041.77	5913.33	7081.29	1781.89	934.76	1378.57	3372.43	1685.71	2271.4	665.29	1199.98	1457.23	2997.45	379.04	1437.15	1143.1	1781.89	567.1	1066.48	587.13
MKRN1	2004.85	1259.69	1175.27	1832.01	1044.52	2090.03	2075.59	660.68	3257.52	2835.7	4123.49	3395.89	3491.39	2796.65	2720.15	3395.89	2468.49	3280.18	4239.45	3419.52	3103.19	2875.3	3443.31	2682.69	2796.65	3443.31	3955.48	3443.31	2537.92	3325.99	2627.46	3190.46	3589.58	3190.46	2047.0	4038.61	3768.09	3589.58	3614.55	1936.53	3901.01	3614.55	2739.08	3443.31	4268.94	2351.53	2133.97	3874.05	3874.05	3491.39	4543.8	2400.97	1639.59	3325.99	3928.15	3955.48	4095.0	3716.2	2976.74	3665.02	2796.65	3443.31	1936.53	2935.74	3190.46	2895.31	3589.58	2935.74	4123.49	1936.53	2367.9	3768.09	3235.01	2739.08	2573.36	2701.35	2855.44	3280.18	3690.52	2816.11	1794.29	3060.45	3491.39	3690.52	3124.78	493.56	656.11	551.56	764.36	708.18	518.15	693.58	579.04	647.07	854.13	660.68	379.04	0.0	0.84	1467.37	1313.23	1498.22
MPPE1	332.14	253.23	299.25	371.22	293.07	303.44	503.95	432.53	1745.2	1233.75	1540.37	703.28	1104.13	764.36	2032.85	1127.35	1073.91	1135.2	1508.65	1008.9	1378.57	1135.2	1572.76	808.0	1175.27	1059.11	1844.76	1447.15	567.1	1088.92	591.22	1551.09	1378.57	1066.48	669.92	1250.98	1233.75	1457.23	1350.18	961.07	1733.13	1594.73	1073.91	1268.46	1583.71	1111.82	830.75	1617.0	718.08	1242.34	1159.07	884.29	1073.91	1037.29	819.3	1628.26	1561.89	1225.22	1250.98	941.27	1322.37	1685.71	1286.18	785.88	1950.0	1331.57	1331.57	1369.04	2303.12	733.19	525.39	1781.89	1191.69	854.13	791.35	902.89	1096.5	1037.29	2061.24	954.43	728.11	791.35	1143.1	1388.16	1233.75	507.46	660.68	848.22	796.86	688.78	532.74	769.69	579.04	884.29	842.36	555.41	395.18	0.0	0.47	164.42	638.15	921.88
MS4A10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.59	4.62	33.78	14.78	20.11	23.42	10.79	40.93	8.71	65.26	9.27	32.59	106.63	0.0	10.96	0.0	15.0	84.04	51.35	37.05	14.03	6.78	3.66	15.8	8.32	5.28	0.0	2.94	36.53	13.93	47.17	3.96	40.93	143.01	9.63	91.41	18.56	3.06	0.0	42.71	0.0	0.0	21.94	12.83	0.0	3.79	46.18	23.59	111.21	13.22	9.27	7.11	34.26	27.05	0.0	0.0	6.94	0.0	28.65	24.11	35.5	3.79	3.72	81.71	10.24	0.0	3.86	0.0	0.0	10.88	13.42	10.96	5.92	22.59	4.62	133.36	8.92	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
MYH15	5.11	4.28	6.78	8.99	2.73	21.94	6.36	20.41	24.99	17.0	31.67	10.96	22.26	11.21	21.78	28.65	11.73	24.28	28.24	9.63	44.57	17.51	20.86	8.32	14.45	25.17	25.91	30.78	8.51	14.03	10.71	24.81	30.56	29.91	8.51	25.72	23.42	35.25	28.65	10.24	20.41	28.24	30.56	28.86	41.52	10.31	8.78	21.16	8.85	28.45	29.48	15.8	7.57	30.34	19.68	30.56	24.81	26.47	25.72	19.53	17.51	20.26	5.77	19.39	29.7	15.22	24.81	28.24	42.41	4.1	5.82	29.7	26.47	12.55	7.06	18.03	12.0	23.42	23.08	14.89	7.0	17.77	21.01	31.22	25.35	0.0	0.0	0.33	0.42	0.0	0.0	0.0	0.95	0.0	0.4	0.0	0.0	0.0	0.0	0.92	2.43	0.31
NAAA	420.68	161.02	348.71	156.59	124.37	703.28	209.84	173.85	3081.75	2209.26	4869.99	3235.01	3395.89	2090.03	3768.09	4239.45	2451.44	3395.89	3742.05	2468.49	4937.99	3190.46	4575.41	1977.24	3190.46	6079.61	7589.61	4210.15	1977.24	2777.33	1950.0	4066.71	4869.99	4607.24	1388.16	3716.2	4010.71	5479.15	4481.23	1037.29	5219.6	4095.0	3103.19	3491.39	3742.05	1407.55	2075.59	3794.3	2193.99	9151.82	4512.4	2468.49	1331.57	3768.09	2875.3	3874.05	6887.62	4903.87	3443.31	4869.99	2271.4	4239.45	974.5	2609.3	4268.94	1844.76	4704.07	5441.3	4095.0	1225.22	2400.97	4671.57	4010.71	2591.27	2417.67	2224.63	2485.67	2287.2	5147.73	3901.01	1662.49	2739.08	2816.11	4298.64	3690.52	1030.12	1617.0	555.41	1628.26	2627.46	1572.76	466.88	1628.26	1104.13	1127.35	1104.13	420.68	0.0	0.55	120.1	246.28	441.64
NAALADL1	27.25	67.12	108.9	38.95	52.08	30.34	39.5	67.12	775.05	587.13	476.71	669.92	1096.5	540.19	1529.73	988.12	307.69	497.0	759.08	836.53	1088.92	155.5	332.14	363.56	305.55	791.35	3146.52	529.06	307.69	176.29	363.56	836.53	514.56	123.5	105.89	236.21	836.53	995.0	802.41	551.56	587.13	2075.59	842.36	1051.79	88.26	287.01	206.94	228.13	116.78	2119.22	872.1	412.0	791.35	759.08	718.08	521.76	1498.22	674.59	358.54	708.18	679.29	819.3	563.18	173.85	1769.57	417.77	518.15	251.48	1733.13	205.5	182.55	1304.15	633.73	95.34	460.44	656.11	450.94	185.11	802.41	277.2	281.09	336.79	148.09	176.29	312.0	138.1	65.72	64.8	87.65	11.55	31.0	52.82	191.67	21.78	74.58	147.06	16.88	0.0	0.54	52.08	190.34	267.73
NAGPA	209.84	189.02	177.53	279.14	159.9	228.13	260.38	117.6	460.44	463.65	647.07	503.95	521.76	435.55	463.65	503.95	400.71	563.18	493.56	521.76	432.53	480.04	521.76	514.56	403.5	514.56	575.03	507.46	486.75	536.45	397.93	518.15	532.74	563.18	432.53	575.03	403.5	525.39	483.38	336.79	511.0	599.49	444.72	435.55	543.96	384.34	579.04	438.59	316.37	575.03	603.67	384.34	281.09	563.18	447.82	525.39	629.35	483.38	466.88	511.0	389.72	543.96	327.56	466.88	543.96	334.46	718.08	503.95	551.56	260.38	460.44	507.46	518.15	463.65	361.04	346.29	514.56	466.88	629.35	444.72	400.71	480.04	575.03	525.39	426.57	241.19	229.72	332.14	182.55	130.6	232.94	148.09	187.71	121.79	260.38	178.77	59.55	0.0	0.0	223.41	387.02	320.8
NBEAL1	50.63	54.72	77.25	43.94	48.52	98.04	47.5	40.64	197.09	181.28	387.02	165.57	237.86	139.07	212.78	251.48	217.27	260.38	248.0	193.01	363.56	187.71	218.79	173.85	165.57	336.79	305.55	301.33	190.34	289.02	115.16	197.09	351.14	215.77	140.04	312.0	307.69	309.83	275.28	114.36	283.05	289.02	281.09	241.19	279.14	97.36	114.36	253.23	518.15	248.0	307.69	215.77	108.14	301.33	269.6	242.88	318.57	248.0	248.0	232.94	178.77	264.03	165.57	166.73	316.37	120.1	287.01	289.02	351.14	138.1	110.43	242.88	275.28	205.5	180.02	172.65	211.31	173.85	341.51	198.47	111.21	172.65	182.55	329.84	236.21	79.45	123.5	62.56	29.91	50.63	39.79	51.71	90.14	108.14	61.68	146.03	32.59	0.0	0.2	58.3	136.19	98.73
