	GTEX.ZF2S.2026.SM.5E461	TCGA.38.4626.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.WFJO.0326.SM.3GIL3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
ZNF485	68.07	21.47	14.45	30.56	43.02	17.38	6.46	47.84	24.11	7.0	39.22	23.25	45.85	9.93	25.17	55.89	43.02	32.36	9.13	27.84	35.25	6.11	18.16	35.25	46.84	2.68	13.83	39.79	6.84	41.52	14.24	31.0	19.11	16.27	20.56	11.47	29.27	25.91	40.93	20.71	48.52	42.11	43.02	50.27	17.38	22.26	8.06	12.36	18.16	17.64	27.44	35.0	2.92
ZNF501	178.77	26.28	15.68	55.1	78.89	30.12	12.83	28.04	36.53	3.63	52.08	4.43	86.43	9.2	26.86	114.36	78.89	111.99	6.31	50.98	123.5	5.59	20.71	123.5	112.77	9.2	20.71	72.52	5.32	111.99	34.75	84.63	77.79	25.35	97.36	14.14	108.9	92.7	84.04	82.87	85.82	68.55	41.81	82.87	7.11	15.11	6.52	40.07	11.73	13.03	8.85	37.05	26.1
ZNF503	301.33	169.07	97.36	559.28	486.75	543.96	85.22	108.14	246.28	52.45	224.97	105.15	633.73	49.56	144.01	258.57	229.72	400.71	150.17	277.2	813.63	190.34	57.89	551.56	571.05	92.7	182.55	316.37	69.03	802.41	327.56	432.53	392.44	92.7	343.89	281.09	775.05	291.04	299.25	406.31	339.14	305.55	327.56	417.77	118.43	289.02	194.36	175.07	327.56	135.24	111.21	242.88	231.32
ZNF558	490.14	138.1	95.34	80.57	236.21	109.66	96.01	140.04	237.86	60.39	204.07	111.99	336.79	138.1	226.54	246.28	239.52	435.55	87.65	209.84	234.57	87.03	88.26	198.47	406.31	41.81	214.27	204.07	92.7	339.14	151.22	169.07	221.86	131.51	327.56	209.84	208.38	368.65	161.02	153.34	164.42	262.2	236.21	329.84	83.45	110.43	64.8	221.86	104.42	125.24	147.06	117.6	193.01
ZNF594	232.94	9.56	4.7	27.64	104.42	23.25	7.82	25.72	56.68	5.28	33.78	13.32	92.7	11.64	16.88	65.72	68.07	98.04	4.66	35.0	52.82	12.09	7.63	70.01	103.69	2.25	8.06	49.91	4.24	81.14	23.25	48.52	31.22	18.56	74.58	15.11	74.06	48.87	50.27	72.52	40.93	90.14	57.08	108.14	10.47	8.38	2.78	17.38	12.0	13.22	4.78	41.22	7.82
ZNF605	246.28	24.81	13.42	29.91	84.04	33.54	9.06	40.36	69.52	17.9	49.21	29.91	123.5	20.41	59.55	111.99	125.24	149.12	22.92	76.17	143.01	33.3	14.45	43.32	244.57	22.59	25.54	66.18	15.11	141.02	48.52	43.32	100.83	33.54	119.26	31.45	92.7	118.43	59.55	85.22	36.79	45.85	74.58	130.6	35.25	24.28	4.86	64.34	46.84	31.0	21.16	48.52	24.28
ZNF616	307.69	56.28	54.72	64.8	151.22	63.0	31.45	161.02	121.79	66.65	127.89	94.01	169.07	31.0	88.88	106.63	141.02	125.24	29.91	77.25	146.03	51.35	41.22	153.34	175.07	27.64	57.89	102.97	47.5	167.9	108.9	129.69	73.54	40.64	120.1	52.45	145.02	161.02	122.64	111.99	139.07	106.63	98.73	186.4	98.73	45.21	87.65	54.33	64.34	71.0	41.22	91.41	44.25
ZNF623	426.57	63.45	61.25	98.73	161.02	127.0	58.71	144.01	154.42	29.91	154.42	79.45	253.23	66.65	114.36	149.12	148.09	248.0	40.93	102.25	204.07	85.82	53.95	195.72	175.07	49.56	75.64	137.14	68.07	392.44	172.65	130.6	133.36	58.71	234.57	86.43	202.66	201.25	141.02	249.73	155.5	148.09	149.12	248.0	91.41	59.55	87.03	98.04	97.36	74.58	83.45	85.82	50.63
ZNF641	423.61	121.79	94.01	198.47	279.14	108.14	149.12	98.73	211.31	55.89	106.63	115.97	348.71	110.43	137.14	450.94	346.29	334.46	92.05	314.17	334.46	98.04	178.77	373.81	381.68	70.51	68.55	283.05	136.19	256.78	120.94	279.14	155.5	115.97	318.57	111.21	287.01	189.02	279.14	325.29	231.32	329.84	228.13	264.03	107.38	113.56	63.0	108.14	90.77	80.01	85.82	215.77	159.9
ZNF658	223.41	25.54	9.41	57.08	57.08	44.57	10.63	31.45	19.11	2.53	29.48	19.82	95.34	5.77	15.22	55.89	100.83	82.87	9.78	33.3	105.15	6.67	10.71	56.68	81.71	3.29	22.92	74.06	15.8	61.68	25.35	78.34	34.02	43.02	78.89	22.1	62.56	43.94	75.11	75.11	63.0	36.53	70.51	73.03	8.19	14.24	5.41	31.0	11.3	13.83	11.21	43.63	13.93
ZNF740	674.59	180.02	95.34	239.52	389.72	325.29	132.44	206.94	232.94	84.04	218.79	246.28	397.93	202.66	206.94	373.81	480.04	665.29	166.73	463.65	339.14	170.25	89.51	423.61	435.55	165.57	273.37	438.59	208.38	303.44	518.15	463.65	587.13	320.8	334.46	301.33	323.03	273.37	332.14	447.82	395.18	373.81	450.94	486.75	124.37	209.84	153.34	376.41	248.0	281.09	223.41	248.0	232.94
ZNF747	209.84	183.82	99.43	269.6	202.66	199.85	114.36	121.79	146.03	68.55	154.42	116.78	242.88	87.03	132.44	220.32	244.57	273.37	95.34	253.23	236.21	52.82	107.38	273.37	186.4	57.08	138.1	255.0	138.1	190.34	142.01	248.0	166.73	136.19	122.64	96.01	234.57	129.69	283.05	260.38	215.77	220.32	255.0	215.77	95.34	107.38	59.97	100.13	157.68	93.35	89.51	144.01	81.71
ZNF764	153.34	100.83	38.67	85.82	204.07	137.14	72.52	111.99	96.01	30.12	82.87	58.3	212.78	47.5	115.97	178.77	110.43	236.21	102.25	130.6	108.9	67.59	84.04	153.34	142.01	43.02	82.29	104.42	67.12	120.1	110.43	152.28	79.45	102.97	108.9	58.3	153.34	96.68	152.28	94.67	82.87	170.25	110.43	109.66	38.67	55.1	39.22	65.26	77.25	59.97	80.57	134.3	53.19
ZNF829	154.42	13.32	5.02	24.63	27.25	14.35	4.82	10.31	15.68	1.58	16.15	5.59	50.98	12.45	16.03	22.75	24.63	95.34	3.0	17.51	57.08	3.99	6.78	47.84	70.01	1.16	6.89	46.84	12.55	53.57	15.34	41.52	13.32	2.2	42.11	5.02	32.13	28.04	23.76	50.63	13.42	42.41	38.67	67.59	6.46	3.0	14.24	9.13	3.99	2.48	10.39	11.73	7.06
ZSCAN12	283.05	31.45	11.21	42.41	60.39	38.12	12.55	31.67	55.1	9.78	45.21	18.84	85.82	12.45	43.94	69.52	87.65	85.22	18.16	48.52	139.07	16.39	23.42	105.15	112.77	7.69	30.78	63.45	31.0	87.65	52.82	73.03	50.98	38.95	100.83	18.97	96.68	77.79	52.08	60.39	72.01	75.11	50.98	104.42	21.16	28.04	14.35	32.36	26.86	22.92	15.56	35.76	17.51
ZSCAN20	76.17	9.13	6.46	12.83	26.47	13.52	10.08	13.12	24.63	4.1	21.78	7.11	26.47	7.82	26.47	25.91	20.71	21.32	1.38	22.75	21.16	7.57	8.32	29.7	32.59	2.56	7.82	18.29	7.22	40.64	14.35	23.25	13.32	7.63	42.71	5.96	23.59	32.59	22.1	18.84	20.56	22.1	22.59	37.59	11.64	6.62	10.55	7.0	5.15	5.23	4.94	19.39	5.23
ZSCAN22	78.89	27.84	13.22	38.12	40.36	22.43	14.14	20.56	48.87	13.32	24.99	20.56	49.91	18.56	30.78	43.32	54.72	56.28	12.09	30.56	24.11	21.94	33.3	39.79	48.87	17.77	14.35	38.95	16.03	64.34	27.25	40.64	20.41	16.88	25.91	15.11	53.19	42.41	46.5	44.57	38.12	43.32	39.5	63.89	24.46	22.59	29.48	15.56	25.72	17.77	21.47	32.13	17.38
ZSCAN29	414.87	95.34	52.45	130.6	267.73	171.45	82.87	156.59	167.9	39.22	133.36	80.57	249.73	82.29	144.01	201.25	255.0	305.55	79.45	175.07	189.02	38.12	151.22	242.88	283.05	32.82	70.51	211.31	100.83	289.02	135.24	323.03	206.94	105.15	318.57	108.14	251.48	309.83	232.94	305.55	151.22	218.79	226.54	305.55	69.03	52.45	67.59	154.42	96.68	68.07	127.0	182.55	67.12
ZW10	438.59	128.79	128.79	220.32	199.85	141.02	92.7	124.37	137.14	72.52	127.0	69.03	198.47	83.45	175.07	204.07	258.57	146.03	81.71	125.24	237.86	68.55	121.79	237.86	239.52	85.82	92.05	265.87	78.89	239.52	104.42	204.07	124.37	122.64	287.01	73.54	209.84	170.25	232.94	182.55	285.03	221.86	164.42	258.57	102.97	80.57	133.36	85.22	104.42	93.35	81.14	287.01	65.26
