	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RVPV.1726.SM.5SI8C	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.REY6.0526.SM.2TF5M	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.TSE9.0626.SM.3DB8B	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
SNF8	981.29	1369.04	1397.83	2976.74	3325.99	4575.41	3235.01	2758.13	3467.27	2835.7	3303.0	4066.71	1870.53	1883.54	1605.83	1883.54	2485.67	2367.9	1457.23	2319.15	2777.33	2537.92	1477.58	1639.59	2417.67	1697.45	1427.22	2319.15	1923.14	1487.87	1896.65	1757.34	2061.24	2255.7	2758.13	2319.15	1286.18	2855.44	2209.26	2335.28	2224.63	2451.44	2004.85	1909.85	2271.4	2895.31	1936.53	2417.67	2935.74	2075.59	3081.75	2468.49	2178.83	3039.3	3060.45	1561.89	2434.5	2451.44	3081.75	1844.76	2287.2	2224.63	3325.99	2271.4	2835.7	1508.65	2384.37	1208.34	2758.13	2163.77	2255.7	2319.15	1427.22	2434.5	2178.83	2255.7
SSNA1	297.17	395.18	642.59	2573.36	2271.4	2367.9	2502.97	2400.97	2720.15	2591.27	2777.33	2417.67	1369.04	693.58	1119.56	915.51	1832.01	1304.15	595.34	1519.15	1467.37	1540.37	878.17	928.3	1407.55	743.43	638.15	1304.15	1540.37	1225.22	842.36	878.17	1709.26	1639.59	1745.2	1594.73	642.59	1819.35	1639.59	1529.73	1208.34	1662.49	1628.26	1322.37	1540.37	1977.24	1540.37	1519.15	1806.78	1572.76	2119.22	1304.15	1561.89	2303.12	1870.53	1322.37	1417.35	1277.29	2209.26	1066.48	1208.34	1498.22	2271.4	1572.76	2075.59	1073.91	1359.57	1183.45	1639.59	1437.15	1286.18	1950.0	1388.16	1806.78	1605.83	1697.45
STOML1	138.1	181.28	166.73	728.11	674.59	503.95	995.0	728.11	473.41	543.96	785.88	753.83	420.68	323.03	356.05	457.25	708.18	400.71	209.84	423.61	567.1	684.02	256.78	320.8	379.04	339.14	209.84	438.59	429.54	265.87	208.38	249.73	476.71	703.28	679.29	579.04	171.45	1030.12	571.05	718.08	603.67	518.15	432.53	237.86	493.56	493.56	543.96	429.54	432.53	551.56	808.0	384.34	591.22	551.56	775.05	417.77	412.0	441.64	759.08	403.5	497.0	503.95	543.96	525.39	497.0	287.01	460.44	246.28	444.72	571.05	450.94	693.58	264.03	567.1	525.39	595.34
TFPT	281.09	101.54	193.01	483.38	656.11	583.07	457.25	521.76	718.08	656.11	529.06	780.44	384.34	170.25	327.56	221.86	397.93	473.41	175.07	444.72	332.14	368.65	264.03	358.54	346.29	195.72	249.73	343.89	273.37	429.54	295.11	368.65	441.64	426.57	366.09	435.55	229.72	392.44	457.25	366.09	297.17	414.87	532.74	348.71	454.09	536.45	381.68	368.65	406.31	303.44	441.64	348.71	420.68	490.14	403.5	307.69	454.09	336.79	507.46	336.79	305.55	323.03	599.49	269.6	587.13	246.28	336.79	251.48	392.44	232.94	406.31	373.81	318.57	447.82	466.88	406.31
TG	70.01	8.32	22.26	857631.47	711250.37	610654.84	794671.01	887875.81	736332.6	794671.01	598087.73	663619.99	1131651.83	682276.92	945028.61	1264380.15	1393227.06	2068278.89	1012856.65	1452391.55	2247670.86	2126426.15	209994.66	1273174.62	2375828.71	524287.0	2111737.85	1611529.43	1204496.53	1204496.53	33688.23	1308968.45	1622738.51	1739208.14	1634025.56	1838374.44	857631.47	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1984025.69	2986448.72	2025714.3	1318073.06	2425749.94	1402917.72	1929772.37	1299926.74	1943195.01	1727194.55	1589343.01	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1108362.75	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1155430.26	1622738.51	254974.66	2263304.65	1282030.25	1535204.12	2672946.37	1514068.5	1567462.05	1864037.21	1482909.4
TIMM8B	490.14	748.61	420.68	1340.84	2104.58	1561.89	2255.7	1519.15	1832.01	1733.13	1832.01	1832.01	848.22	1015.93	669.92	1015.93	1508.65	1167.14	547.75	780.44	1175.27	1030.12	521.76	665.29	1001.93	759.08	599.49	1088.92	842.36	738.29	486.75	571.05	1151.06	954.43	1216.75	967.76	559.28	1447.15	1023.0	1295.13	1023.0	1159.07	947.83	902.89	1037.29	1397.83	1066.48	954.43	1286.18	825.0	1923.14	884.29	1208.34	1397.83	1551.09	813.63	1175.27	890.44	1407.55	808.0	934.76	878.17	1628.26	1277.29	1529.73	587.13	954.43	575.03	1159.07	825.0	819.3	1143.1	848.22	1051.79	1001.93	1259.69
TMEM223	275.28	224.97	189.02	713.11	679.29	647.07	728.11	1008.9	813.63	780.44	825.0	713.11	460.44	314.17	325.29	368.65	607.87	438.59	209.84	406.31	532.74	395.18	293.07	417.77	397.93	295.11	293.07	432.53	305.55	199.85	244.57	318.57	457.25	444.72	555.41	624.99	199.85	595.34	511.0	457.25	361.04	514.56	366.09	231.32	454.09	551.56	363.56	447.82	555.41	389.72	759.08	460.44	283.05	688.78	703.28	403.5	414.87	371.22	591.22	351.14	281.09	406.31	638.15	518.15	743.43	220.32	483.38	177.53	543.96	438.59	466.88	379.04	224.97	361.04	563.18	473.41
TUFM	684.02	1745.2	1143.1	4802.93	4450.27	5872.48	5995.9	4268.94	5517.27	5041.77	6164.49	9945.68	3639.7	2682.69	2627.46	2555.58	3515.68	2758.13	2895.31	3742.05	3874.05	4038.61	2090.03	2400.97	2895.31	2240.11	3103.19	2777.33	2682.69	2240.11	2367.9	2997.45	3419.52	3419.52	2796.65	4328.55	1709.26	4704.07	2835.7	3716.2	3303.0	4123.49	3742.05	3303.0	3665.02	4639.29	3690.52	4358.66	4123.49	3190.46	4388.98	4095.0	2895.31	4869.99	4152.18	2609.3	3901.01	3303.0	3955.48	3212.66	2956.17	3716.2	4575.41	3349.13	4181.07	2520.38	2997.45	1832.01	4481.23	3303.0	3419.52	4123.49	2417.67	2682.69	3589.58	3742.05
UQCR11	603.67	1369.04	1008.9	7589.61	9673.69	7382.04	8963.45	5041.77	6294.04	6840.04	10225.32	9876.98	3395.89	3146.52	2816.11	2400.97	7130.55	4481.23	2796.65	5006.93	4769.75	4210.15	1794.29	2739.08	5147.73	1857.6	3540.14	5219.6	2335.28	2400.97	1857.6	2739.08	5219.6	4038.61	4903.87	3928.15	1950.0	5872.48	5255.91	4937.99	3395.89	4836.35	4095.0	4937.99	4123.49	5219.6	5831.91	3820.7	6207.38	4210.15	7433.4	3982.99	2591.27	7695.57	6037.61	3665.02	4095.0	3146.52	6426.31	3467.27	3928.15	2739.08	7230.1	5913.33	6164.49	2875.3	4123.49	1208.34	5995.9	4066.71	4450.27	5872.48	2935.74	5479.15	4802.93	5913.33
URM1	301.33	708.18	703.28	1457.23	1819.35	1819.35	2061.24	1551.09	1639.59	2004.85	1583.71	1685.71	1407.55	1023.0	1183.45	1104.13	1583.71	1313.23	988.12	1437.15	1733.13	1322.37	961.07	1001.93	1199.98	1096.5	961.07	1340.84	1457.23	1030.12	954.43	1073.91	1233.75	1617.0	1529.73	1286.18	981.29	1437.15	1583.71	1572.76	1437.15	1322.37	1350.18	1447.15	1477.58	1806.78	1733.13	1540.37	1407.55	1508.65	1745.2	1331.57	1551.09	1561.89	1457.23	1268.46	1477.58	1551.09	1709.26	1104.13	1388.16	1295.13	1806.78	1605.83	1697.45	1295.13	1397.83	921.88	1397.83	1350.18	1268.46	1745.2	1127.35	1572.76	1233.75	1583.71
USE1	228.13	346.29	688.78	1008.9	1015.93	1350.18	1259.69	1331.57	1540.37	1268.46	1295.13	1477.58	854.13	599.49	603.67	647.07	909.17	728.11	633.73	703.28	1001.93	981.29	607.87	665.29	723.08	529.06	543.96	890.44	651.58	688.78	497.0	698.41	1059.11	1051.79	860.08	934.76	470.14	1175.27	802.41	813.63	813.63	802.41	1088.92	974.5	1051.79	1143.1	1008.9	848.22	902.89	764.36	1259.69	884.29	796.86	1183.45	947.83	612.11	830.75	718.08	872.1	819.3	860.08	718.08	1051.79	769.69	921.88	796.86	733.19	559.28	688.78	620.67	1001.93	854.13	909.17	1295.13	902.89	830.75
ZNHIT1	928.3	743.43	780.44	3039.3	3540.14	4481.23	3982.99	2816.11	3257.52	3325.99	3467.27	6164.49	1733.13	1066.48	1397.83	1313.23	2682.69	1963.57	1175.27	1909.85	1844.76	1936.53	909.17	1447.15	1936.53	1216.75	1617.0	2004.85	1733.13	1697.45	1225.22	1183.45	2434.5	2133.97	2935.74	1745.2	1044.52	2319.15	2367.9	2193.99	1651.0	1977.24	2468.49	2855.44	2209.26	2573.36	2835.7	1832.01	1991.0	2193.99	3372.43	1769.57	2701.35	3325.99	2224.63	1639.59	1651.0	1529.73	2720.15	1540.37	1639.59	1936.53	4388.98	2004.85	3419.52	1331.57	1674.06	1225.22	1651.0	2133.97	2018.8	3103.19	1936.53	3564.78	1977.24	2271.4
