	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.97.A4LX.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.86.8671.01A.11R.2403.07	TCGA.86.8280.01A.11R.2287.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.85.8049.01A.11R.2247.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.HU.A4GY.01A.21R.A24K.31
CSF2RB	358.54	63.0	92.7	169.07	3.79	129.69	2.97	37.85	36.53	9.78	48.87	31.0	7.69	53.95	152.28	3.11	38.4	42.11	55.1	17.64	18.97	19.39	6.57	423.61	236.21	511.0	242.88	470.14	223.41	450.94	909.17	197.09	1030.12	414.87
CST6	139.07	32.13	12.55	4.86	0.0	1.89	0.0	0.41	0.0	13.93	2.92	3.29	0.0	5.19	1.99	1.16	3.47	0.0	1.77	1.48	0.0	0.95	0.0	1001.93	656.11	173.85	414.87	115.16	753.83	567.1	599.49	58.71	13.03	40.93
CTLA4	679.29	74.06	48.18	78.89	0.54	56.28	2.51	24.81	1.62	6.06	4.82	8.06	39.79	9.34	7.69	6.21	77.25	3.96	6.01	21.32	22.75	17.9	4.31	205.5	214.27	295.11	112.77	356.05	139.07	185.11	224.97	94.01	403.5	221.86
CXCL9	11827.67	830.75	587.13	1844.76	24.11	2739.08	12.09	432.53	193.01	21.01	299.25	444.72	529.06	303.44	101.54	86.43	486.75	70.01	147.06	54.33	251.48	7.88	65.26	3103.19	848.22	5255.91	1936.53	2664.15	1359.57	1427.22	518.15	1487.87	1277.29	2090.03
CXCR3	529.06	236.21	75.11	76.71	2.41	161.02	7.51	17.0	14.78	36.27	52.82	12.18	22.59	30.34	26.67	10.08	27.64	28.45	37.59	9.78	19.82	10.0	18.03	332.14	193.01	708.18	135.24	236.21	187.71	175.07	209.84	136.19	327.56	339.14
CXXC11	58.71	6.36	1.48	1.46	0.0	7.06	1.69	0.8	0.44	0.0	0.06	0.66	1.79	2.14	2.48	5.36	5.19	0.87	0.51	0.4	1.81	0.0	0.0	14.03	12.93	20.11	6.36	20.56	7.06	8.85	17.9	10.71	6.73	24.11
CYTH4	543.96	212.78	212.78	295.11	19.68	426.57	9.93	113.56	63.45	33.3	110.43	65.26	23.25	104.42	79.45	25.17	126.12	115.97	181.28	68.55	77.25	38.95	13.42	796.86	486.75	884.29	403.5	620.67	518.15	551.56	915.51	346.29	764.36	759.08
DERL3	1350.18	995.0	389.72	1001.93	43.32	567.1	33.3	99.43	255.0	18.03	167.9	87.03	176.29	525.39	30.78	13.12	114.36	190.34	79.45	85.22	132.44	52.45	10.0	3768.09	1304.15	2555.58	2537.92	4388.98	1806.78	4358.66	3982.99	1936.53	4328.55	206.94
DOCK2	884.29	255.0	244.57	277.2	21.16	480.04	20.56	162.14	62.12	53.19	141.02	36.79	76.17	149.12	37.59	30.12	329.84	155.5	163.28	229.72	171.45	77.79	22.1	713.11	567.1	1037.29	414.87	633.73	518.15	473.41	974.5	336.79	928.3	1096.5
FAM65B	373.81	110.43	74.58	90.77	6.78	181.28	53.57	159.9	14.89	24.11	21.94	41.81	17.64	28.65	47.84	10.71	131.51	32.13	54.33	78.34	98.73	57.89	22.92	277.2	384.34	438.59	212.78	423.61	189.02	289.02	532.74	199.85	525.39	836.53
FAM78A	336.79	138.1	120.94	80.01	8.78	197.09	8.19	44.25	19.82	28.24	75.64	35.0	11.82	67.12	5.54	13.42	47.84	67.59	70.01	14.14	28.45	14.24	11.55	283.05	199.85	470.14	146.03	197.09	178.77	195.72	267.73	136.19	366.09	379.04
