	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.REY6.1226.SM.48FDR	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.BJ.A28R.01A.11R.A16R.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
TRRAP	20.26	70.01	74.06	69.52	74.58	56.28	275.28	277.2	182.55	275.28	253.23	231.32	397.93	205.5	197.09	309.83	291.04	195.72	171.45	214.27	332.14	191.67	358.54	234.57	197.09	435.55	279.14	202.66	185.11	194.36	172.65	384.34	253.23	158.79	187.71	173.85	287.01	318.57	323.03	339.14	275.28	297.17	228.13	189.02	309.83	305.55	239.52	267.73	291.04	318.57	403.5	220.32	256.78	180.02	228.13	191.67	260.38	231.32	334.46	199.85	307.69	373.81	305.55	371.22	353.59	211.31	212.78	231.32
UBR2	52.45	98.04	144.01	152.28	137.14	145.02	262.2	353.59	264.03	228.13	264.03	234.57	273.37	194.36	169.07	307.69	262.2	218.79	172.65	236.21	267.73	221.86	289.02	212.78	236.21	368.65	299.25	271.48	214.27	187.71	138.1	291.04	214.27	177.53	206.94	169.07	271.48	316.37	279.14	323.03	291.04	314.17	197.09	221.86	301.33	248.0	217.27	236.21	289.02	303.44	339.14	218.79	224.97	185.11	220.32	204.07	205.5	258.57	262.2	194.36	256.78	332.14	237.86	329.84	387.02	202.66	198.47	209.84
WDR37	52.45	68.55	70.01	60.82	67.59	87.03	195.72	212.78	152.28	170.25	187.71	166.73	226.54	155.5	141.02	242.88	186.4	169.07	124.37	172.65	189.02	193.01	221.86	149.12	172.65	283.05	190.34	208.38	186.4	137.14	136.19	208.38	173.85	140.04	125.24	93.35	212.78	224.97	215.77	228.13	185.11	186.4	140.04	154.42	209.84	185.11	84.63	177.53	199.85	201.25	251.48	167.9	204.07	129.69	161.02	130.6	148.09	187.71	204.07	140.04	214.27	191.67	187.71	248.0	217.27	157.68	150.17	170.25
WDR89	42.41	82.87	120.1	102.25	147.06	154.42	153.34	155.5	152.28	146.03	191.67	172.65	231.32	162.14	140.04	208.38	197.09	120.1	123.5	150.17	199.85	148.09	145.02	137.14	164.42	267.73	191.67	134.3	123.5	141.02	125.24	141.02	143.01	113.56	135.24	148.09	142.01	208.38	193.01	237.86	208.38	228.13	142.01	172.65	221.86	170.25	109.66	177.53	194.36	182.55	223.41	151.22	166.73	120.1	146.03	154.42	153.34	193.01	166.73	129.69	195.72	194.36	191.67	297.17	244.57	146.03	135.24	175.07
WIPF2	29.48	80.01	108.14	100.83	126.12	151.22	318.57	318.57	186.4	251.48	260.38	244.57	363.56	209.84	161.02	329.84	325.29	185.11	169.07	237.86	303.44	232.94	309.83	262.2	283.05	438.59	332.14	277.2	212.78	185.11	169.07	346.29	260.38	208.38	176.29	158.79	291.04	312.0	303.44	327.56	281.09	332.14	251.48	237.86	356.05	343.89	271.48	269.6	299.25	323.03	389.72	244.57	279.14	209.84	224.97	223.41	231.32	241.19	351.14	180.02	389.72	384.34	291.04	351.14	361.04	231.32	234.57	215.77
ZBTB39	3.89	15.91	15.11	18.7	16.51	9.2	53.19	43.94	36.01	41.81	64.34	40.64	80.57	44.25	31.9	71.0	44.57	26.67	29.7	20.11	51.35	39.5	68.07	44.25	34.51	79.45	80.01	35.76	31.45	29.7	27.64	67.12	32.13	25.35	41.81	27.64	71.0	54.72	76.17	85.22	64.8	54.72	40.64	41.22	87.03	52.08	29.7	44.25	60.39	59.55	63.89	49.91	56.68	28.86	35.0	34.75	36.79	50.27	48.18	53.19	59.13	65.72	46.18	73.54	97.36	38.12	33.06	38.95
ZBTB40	8.99	40.64	27.05	20.56	26.47	24.63	186.4	165.57	127.0	137.14	138.1	111.99	204.07	109.66	92.05	198.47	156.59	103.69	82.87	138.1	171.45	146.03	181.28	139.07	143.01	211.31	153.34	208.38	141.02	120.1	79.45	181.28	172.65	98.04	106.63	64.34	162.14	180.02	162.14	212.78	156.59	156.59	115.16	113.56	178.77	162.14	106.63	127.89	144.01	167.9	211.31	114.36	143.01	82.29	115.97	97.36	121.79	132.44	165.57	100.83	206.94	214.27	134.3	176.29	175.07	111.21	83.45	131.51
ZBTB46	29.27	21.32	81.71	42.11	57.49	30.34	189.02	236.21	187.71	224.97	171.45	181.28	295.11	172.65	137.14	242.88	228.13	152.28	164.42	157.68	264.03	234.57	267.73	226.54	197.09	356.05	258.57	208.38	169.07	215.77	176.29	199.85	175.07	118.43	185.11	154.42	189.02	277.2	283.05	341.51	231.32	256.78	264.03	121.79	295.11	242.88	117.6	237.86	226.54	258.57	242.88	242.88	214.27	150.17	159.9	163.28	171.45	205.5	221.86	180.02	248.0	256.78	187.71	295.11	255.0	167.9	125.24	167.9
ZC3H4	18.03	94.67	172.65	102.97	115.16	165.57	511.0	303.44	234.57	329.84	384.34	329.84	480.04	231.32	277.2	466.88	281.09	275.28	193.01	218.79	441.64	253.23	543.96	381.68	244.57	525.39	500.46	262.2	285.03	293.07	256.78	599.49	327.56	228.13	295.11	242.88	414.87	417.77	417.77	547.75	493.56	543.96	244.57	343.89	684.02	473.41	212.78	395.18	457.25	525.39	624.99	318.57	450.94	269.6	299.25	249.73	318.57	309.83	507.46	301.33	497.0	567.1	406.31	503.95	480.04	373.81	217.27	316.37
ZER1	201.25	267.73	253.23	258.57	204.07	244.57	902.89	555.41	353.59	748.61	791.35	808.0	1030.12	703.28	796.86	860.08	441.64	830.75	813.63	813.63	902.89	928.3	995.0	848.22	915.51	1199.98	954.43	785.88	836.53	842.36	371.22	1037.29	1127.35	830.75	819.3	708.18	1073.91	1059.11	1127.35	974.5	890.44	860.08	878.17	848.22	1096.5	988.12	688.78	928.3	915.51	1059.11	1037.29	878.17	921.88	665.29	1008.9	665.29	954.43	780.44	1081.39	872.1	1073.91	1023.0	872.1	1073.91	1081.39	830.75	769.69	780.44
ZFP82	26.47	5.32	7.57	10.55	13.03	11.47	91.41	81.71	84.63	63.0	102.25	84.04	100.13	80.01	72.01	96.68	84.04	48.18	56.28	62.56	68.55	80.57	73.03	55.49	90.14	110.43	108.9	74.58	82.29	73.54	63.0	77.25	65.26	61.25	77.79	62.56	74.06	86.43	92.7	127.0	94.01	82.29	71.0	76.71	123.5	78.89	35.5	90.14	96.68	88.88	93.35	77.25	106.63	63.89	56.28	52.45	39.5	90.77	85.22	70.51	78.34	88.88	81.14	92.7	120.1	59.55	54.33	68.07
ZKSCAN8	8.19	30.34	50.27	39.5	44.89	35.0	214.27	223.41	96.68	157.68	195.72	185.11	260.38	171.45	107.38	253.23	185.11	110.43	126.12	167.9	205.5	212.78	223.41	140.04	173.85	309.83	248.0	155.5	96.01	116.78	98.73	267.73	152.28	96.68	169.07	143.01	218.79	234.57	228.13	248.0	249.73	218.79	138.1	147.06	251.48	185.11	126.12	173.85	205.5	253.23	279.14	191.67	191.67	136.19	124.37	141.02	178.77	193.01	185.11	148.09	175.07	285.03	205.5	237.86	291.04	151.22	129.69	147.06
ZMYM3	38.12	120.94	100.83	95.34	120.1	150.17	483.38	293.07	180.02	379.04	447.82	358.54	567.1	346.29	351.14	540.19	309.83	279.14	309.83	265.87	432.53	429.54	616.37	406.31	334.46	733.19	511.0	251.48	287.01	363.56	299.25	669.92	379.04	287.01	343.89	236.21	547.75	540.19	555.41	733.19	483.38	476.71	273.37	358.54	647.07	486.75	301.33	435.55	466.88	579.04	651.58	384.34	514.56	271.48	406.31	323.03	490.14	387.02	460.44	356.05	551.56	587.13	426.57	493.56	543.96	473.41	379.04	312.0
ZNF180	69.52	29.06	41.22	39.79	36.79	61.68	96.01	102.25	81.71	65.26	104.42	78.89	134.3	63.45	52.45	86.43	145.02	73.54	42.71	63.45	77.79	59.97	75.11	45.85	103.69	122.64	102.25	87.03	78.34	61.25	40.64	89.51	92.7	70.51	52.08	53.19	89.51	87.65	89.51	118.43	90.14	89.51	82.29	73.54	100.13	78.34	41.22	81.14	94.67	85.82	94.01	62.12	85.82	59.55	54.72	57.89	46.18	87.03	84.04	56.68	117.6	100.13	78.34	109.66	136.19	58.71	59.13	57.89
ZNF2	22.59	14.03	17.13	20.41	10.24	15.68	58.71	42.11	36.01	36.27	56.28	52.45	58.71	39.79	36.53	63.89	27.25	40.93	35.5	35.25	40.36	62.56	42.71	27.25	53.57	74.58	66.18	52.82	47.84	38.4	29.7	62.12	44.57	35.25	49.91	31.9	50.63	54.33	60.39	67.12	57.89	54.33	31.0	51.35	85.22	38.12	27.44	47.84	63.89	59.13	72.52	48.18	55.49	37.05	35.5	36.53	23.42	49.91	53.57	44.25	75.11	54.33	29.27	54.33	68.55	38.67	35.25	36.27
ZNF223	34.75	19.68	29.48	15.91	23.93	27.84	93.35	101.54	60.82	92.7	102.97	96.68	175.07	78.34	62.12	133.36	72.01	88.26	78.34	75.64	90.14	112.77	109.66	78.34	53.19	171.45	122.64	71.5	62.56	69.52	52.82	119.26	75.11	64.34	74.06	78.34	120.94	104.42	96.68	144.01	116.78	85.82	50.98	99.43	124.37	77.25	55.89	74.06	149.12	120.94	138.1	87.03	119.26	57.49	70.51	90.14	54.33	113.56	77.79	77.25	85.22	105.89	98.04	105.89	149.12	65.72	80.57	77.79
ZNF282	43.02	199.85	140.04	164.42	136.19	131.51	314.17	323.03	218.79	246.28	260.38	264.03	336.79	260.38	265.87	336.79	358.54	305.55	218.79	229.72	297.17	246.28	384.34	293.07	253.23	353.59	312.0	253.23	289.02	289.02	239.52	293.07	289.02	217.27	275.28	239.52	309.83	343.89	314.17	287.01	299.25	305.55	289.02	277.2	387.02	307.69	180.02	293.07	299.25	301.33	258.57	271.48	329.84	208.38	246.28	223.41	256.78	253.23	358.54	293.07	320.8	320.8	234.57	343.89	376.41	303.44	205.5	287.01
ZNF304	72.52	12.27	35.25	26.47	33.06	25.54	116.78	115.97	94.67	103.69	139.07	108.14	153.34	92.05	78.34	150.17	129.69	80.01	90.14	110.43	122.64	117.6	130.6	96.68	115.16	205.5	163.28	111.99	91.41	85.22	62.56	165.57	102.25	84.63	86.43	68.07	151.22	151.22	162.14	151.22	144.01	144.01	70.51	140.04	198.47	115.97	82.87	120.1	162.14	159.9	189.02	95.34	139.07	80.01	90.14	113.56	119.26	111.21	120.94	100.13	149.12	159.9	151.22	153.34	175.07	108.14	77.25	109.66
ZNF324	25.72	50.98	43.63	40.93	43.02	25.72	133.36	103.69	92.05	84.63	119.26	87.03	127.89	94.67	76.71	134.3	122.64	94.67	92.05	85.22	112.77	103.69	127.89	93.35	123.5	159.9	145.02	101.54	120.1	100.13	78.89	144.01	108.14	101.54	98.73	87.65	124.37	121.79	138.1	132.44	127.0	105.89	111.99	115.16	163.28	130.6	75.64	119.26	119.26	145.02	115.16	88.88	140.04	86.43	84.04	69.03	64.8	95.34	108.14	104.42	143.01	118.43	126.12	116.78	158.79	106.63	90.77	94.01
ZNF354C	1.57	5.06	5.41	6.26	6.16	1.71	47.5	47.17	41.52	41.81	58.3	43.94	86.43	38.12	28.86	73.03	67.59	28.04	24.11	29.91	57.49	35.0	45.85	35.0	37.85	94.67	52.82	39.22	30.56	33.3	24.81	46.18	39.5	29.06	30.12	20.86	54.33	69.03	53.57	58.3	56.68	57.89	41.81	49.91	71.5	49.91	37.85	45.21	61.25	64.8	76.71	33.78	57.08	32.82	32.36	32.82	29.91	45.21	55.49	31.45	44.89	61.68	51.71	80.01	95.34	32.59	35.25	38.67
ZNF362	30.78	65.26	112.77	94.01	112.77	102.25	603.67	379.04	361.04	397.93	432.53	351.14	591.22	409.15	397.93	507.46	341.51	376.41	244.57	323.03	480.04	514.56	514.56	470.14	332.14	500.46	480.04	392.44	473.41	403.5	329.84	503.95	486.75	309.83	341.51	318.57	476.71	497.0	507.46	624.99	470.14	473.41	348.71	323.03	555.41	493.56	332.14	397.93	417.77	435.55	540.19	483.38	493.56	325.29	379.04	395.18	426.57	312.0	536.45	376.41	497.0	432.53	363.56	571.05	493.56	432.53	293.07	339.14
ZNF396	38.4	18.03	13.42	13.62	12.64	15.0	98.04	70.01	53.95	43.32	87.03	69.03	81.14	69.52	53.19	94.67	92.7	75.11	44.89	73.54	67.59	89.51	66.18	47.5	78.89	84.04	86.43	81.71	97.36	74.58	52.82	81.14	91.41	72.01	96.68	60.82	48.52	85.82	96.01	91.41	90.14	73.03	87.65	82.87	98.73	49.91	27.05	81.14	85.22	82.29	99.43	63.45	80.01	51.35	54.72	49.21	45.53	67.59	78.89	69.03	111.99	74.58	55.1	82.87	104.42	51.71	66.18	58.71
ZNF416	64.8	16.39	29.48	20.41	17.64	7.4	69.52	65.26	67.12	46.84	75.64	62.12	91.41	63.45	76.17	82.87	63.45	76.17	64.8	37.05	53.57	52.82	75.64	55.49	63.45	89.51	103.69	61.25	51.71	63.89	47.84	73.03	49.21	50.98	48.52	52.45	85.22	69.03	102.97	84.63	80.01	68.55	58.71	83.45	92.05	70.01	33.54	68.55	92.7	85.22	88.26	73.03	105.89	48.52	64.8	59.55	32.82	76.17	67.12	72.01	68.55	70.51	79.45	65.26	123.5	52.82	48.52	57.89
ZNF432	62.56	16.15	25.35	26.1	34.26	117.6	195.72	126.12	140.04	145.02	177.53	148.09	253.23	144.01	150.17	181.28	155.5	155.5	162.14	175.07	198.47	169.07	170.25	115.16	144.01	314.17	187.71	172.65	144.01	161.02	108.14	166.73	127.0	87.03	148.09	92.7	209.84	195.72	185.11	267.73	194.36	220.32	105.89	212.78	312.0	185.11	122.64	124.37	208.38	194.36	244.57	190.34	194.36	106.63	137.14	141.02	146.03	169.07	186.4	171.45	182.55	217.27	128.79	232.94	346.29	134.3	135.24	158.79
ZNF445	3.89	14.03	31.67	26.86	34.75	33.06	89.51	77.79	54.72	78.89	75.11	63.89	103.69	53.95	39.79	114.36	72.52	43.32	35.0	48.18	73.03	61.25	103.69	66.65	60.82	131.51	75.11	75.11	53.19	48.18	42.11	102.25	63.89	52.08	52.08	36.79	78.34	82.87	75.64	104.42	85.22	95.34	65.26	66.65	102.25	81.14	58.71	68.55	81.71	90.77	121.79	55.1	86.43	46.18	49.21	55.1	60.39	71.5	80.01	46.5	100.13	107.38	76.17	95.34	99.43	63.89	53.57	55.89
ZNF454	0.39	2.23	1.2	5.11	4.54	0.0	39.79	8.58	16.03	35.25	38.12	35.5	36.53	31.45	26.67	48.18	22.43	8.51	31.67	23.25	41.81	27.25	30.56	29.91	36.53	65.72	37.59	35.25	24.99	21.16	8.38	45.21	36.01	17.77	23.25	25.91	50.27	37.59	41.52	52.82	47.17	33.3	16.88	29.48	53.19	43.02	36.53	31.45	31.9	42.71	53.57	29.48	42.11	31.0	34.02	30.78	21.78	34.75	28.24	39.22	51.35	40.07	44.89	45.53	43.32	17.77	32.59	36.01
ZNF500	24.11	70.51	46.18	69.03	32.36	80.01	177.53	156.59	117.6	186.4	172.65	114.36	255.0	133.36	167.9	195.72	166.73	159.9	155.5	132.44	241.19	158.79	239.52	193.01	127.0	303.44	182.55	144.01	169.07	158.79	159.9	229.72	166.73	90.77	98.73	100.13	239.52	258.57	237.86	255.0	277.2	234.57	162.14	167.9	228.13	237.86	107.38	182.55	175.07	258.57	202.66	162.14	204.07	161.02	175.07	146.03	187.71	156.59	241.19	138.1	223.41	260.38	154.42	211.31	323.03	185.11	139.07	149.12
ZNF502	15.45	6.57	21.94	15.56	17.51	4.28	79.45	78.89	42.11	88.88	98.04	180.02	94.67	81.71	90.14	113.56	79.45	53.19	49.56	48.18	92.05	76.71	100.83	90.77	53.57	135.24	98.73	53.95	52.08	63.0	61.68	102.97	48.18	46.18	53.19	67.59	74.58	94.01	98.04	137.14	102.97	98.73	65.72	100.13	115.97	92.7	94.67	87.03	108.9	80.57	101.54	72.52	129.69	73.54	70.51	72.52	65.26	119.26	71.5	61.25	90.14	102.25	102.25	118.43	146.03	73.03	80.01	83.45
ZNF526	19.68	59.13	37.59	50.98	41.22	37.05	80.01	70.51	55.1	85.22	98.04	68.55	87.65	68.07	81.14	105.89	73.54	59.97	59.55	52.08	87.03	70.01	128.79	96.01	81.71	89.51	119.26	64.8	64.34	66.18	96.68	114.36	72.01	51.35	65.72	66.65	92.05	92.7	85.22	83.45	91.41	80.01	76.17	77.25	109.66	84.63	56.28	81.71	98.04	102.25	78.89	65.72	93.35	56.28	80.01	64.34	60.82	76.71	95.34	81.14	88.26	96.01	78.34	80.01	114.36	81.71	58.71	78.89
ZNF546	6.21	18.29	11.55	14.24	14.35	32.59	35.5	46.18	35.25	23.59	40.36	46.5	40.07	29.27	18.16	42.11	37.05	18.29	34.75	33.78	32.59	45.85	28.45	17.51	36.27	84.63	43.02	40.07	34.26	25.35	13.03	41.52	24.28	16.63	41.22	23.08	36.79	41.52	38.67	70.51	43.94	40.93	23.59	36.53	55.89	26.1	13.12	37.85	42.11	80.57	59.55	23.25	45.85	24.11	21.32	25.72	24.99	38.12	26.28	26.1	47.17	37.59	27.05	35.0	87.65	31.67	21.01	19.53
ZNF549	16.27	5.59	16.88	10.31	18.7	13.72	108.14	93.35	59.13	85.82	104.42	87.03	127.0	75.64	67.12	140.04	93.35	70.51	63.45	71.5	92.05	90.77	113.56	68.55	87.03	148.09	127.0	70.51	79.45	62.56	31.67	127.89	73.54	73.03	62.12	52.45	113.56	111.21	112.77	132.44	100.13	108.9	45.85	102.97	124.37	105.89	47.17	97.36	115.97	111.99	155.5	88.26	101.54	59.97	58.71	67.12	62.56	96.01	99.43	83.45	101.54	124.37	110.43	111.21	129.69	76.17	73.54	88.26
ZNF551	51.71	7.06	15.0	10.39	13.62	5.45	110.43	84.04	72.01	61.25	88.88	70.01	99.43	63.89	37.32	110.43	63.89	53.19	60.82	58.3	62.12	93.35	101.54	55.1	62.12	124.37	84.63	65.72	52.82	57.49	34.75	105.89	73.03	37.05	59.55	48.87	88.26	116.78	102.97	138.1	88.26	79.45	57.08	77.79	99.43	73.03	44.57	73.54	103.69	82.29	109.66	66.65	96.68	46.18	47.17	38.12	48.87	88.26	61.25	83.45	98.73	113.56	75.64	107.38	123.5	49.91	50.63	59.55
ZNF566	48.18	36.01	49.21	52.08	72.52	60.82	111.99	94.67	104.42	75.11	137.14	131.51	144.01	108.9	79.45	136.19	163.28	84.04	94.67	98.04	105.15	150.17	93.35	74.58	105.89	177.53	142.01	120.94	88.88	95.34	64.8	109.66	89.51	97.36	125.24	86.43	113.56	132.44	137.14	183.82	130.6	119.26	92.7	101.54	178.77	94.01	50.98	92.7	148.09	106.63	144.01	109.66	161.02	91.41	52.82	75.11	52.82	102.97	103.69	125.24	98.04	98.04	100.83	162.14	180.02	90.77	94.67	87.65
ZNF583	8.51	13.12	27.44	17.13	22.1	22.26	42.71	55.1	61.25	68.55	57.89	61.25	92.05	56.68	32.59	69.03	62.56	40.64	34.51	36.79	65.72	43.63	57.08	51.35	42.71	92.05	87.65	64.8	62.12	48.52	40.64	68.07	35.0	42.71	40.36	31.45	57.89	57.49	92.05	81.71	57.89	66.18	59.97	82.29	74.58	61.68	37.59	63.0	71.5	63.45	87.03	46.5	76.71	48.52	48.87	39.22	34.51	63.0	61.68	45.21	69.52	78.34	85.82	76.71	109.66	36.53	44.89	58.71
ZNF597	15.68	9.13	18.97	12.64	21.32	28.24	34.02	48.52	15.68	48.52	52.08	52.08	68.55	40.07	37.32	65.72	16.39	27.44	26.67	38.4	64.34	38.12	63.89	43.94	36.27	78.89	59.55	29.7	48.18	37.05	23.93	62.12	34.02	28.45	28.86	29.91	49.91	50.98	72.52	50.98	59.55	52.45	31.67	53.57	72.52	45.85	41.81	43.02	68.07	53.19	78.89	42.41	58.71	31.22	35.25	38.67	34.51	56.28	56.68	40.36	52.82	61.68	59.55	70.51	77.79	33.06	49.56	42.11
ZNF607	36.27	5.73	6.16	4.13	4.74	3.26	82.29	70.01	74.06	59.55	100.13	76.17	94.01	59.55	63.0	108.14	96.68	61.25	70.01	59.55	92.05	84.04	98.04	57.08	85.22	129.69	103.69	80.57	70.01	76.17	48.52	94.01	78.89	67.59	69.03	50.27	108.9	98.04	110.43	120.94	112.77	84.63	71.5	84.63	126.12	91.41	47.5	88.88	115.16	125.24	107.38	90.14	109.66	56.28	50.63	58.71	44.57	84.63	68.55	90.14	103.69	96.01	65.72	92.7	133.36	77.79	71.5	77.25
ZNF623	19.25	60.82	37.32	31.67	33.54	27.25	157.68	102.25	82.29	143.01	162.14	121.79	220.32	116.78	81.71	212.78	117.6	112.77	84.63	97.36	162.14	113.56	176.29	127.0	133.36	253.23	183.82	136.19	100.13	75.11	76.71	226.54	127.0	90.14	68.55	70.51	152.28	173.85	171.45	167.9	170.25	197.09	120.94	154.42	206.94	183.82	158.79	157.68	175.07	173.85	232.94	97.36	164.42	80.01	102.25	127.89	125.24	148.09	197.09	97.36	182.55	220.32	183.82	193.01	194.36	115.16	105.89	128.79
ZNF646	16.63	33.54	33.06	27.25	20.71	31.9	162.14	153.34	57.89	150.17	130.6	92.7	223.41	88.26	85.22	221.86	76.71	90.77	71.0	91.41	194.36	98.73	223.41	135.24	84.63	239.52	166.73	115.97	107.38	99.43	94.01	244.57	128.79	57.08	91.41	74.58	147.06	164.42	162.14	171.45	164.42	130.6	109.66	105.15	182.55	186.4	84.63	148.09	132.44	180.02	195.72	115.16	142.01	78.34	110.43	69.52	105.15	125.24	180.02	103.69	130.6	198.47	142.01	167.9	171.45	116.78	100.83	113.56
ZNF658	15.68	17.64	8.45	10.71	6.89	13.32	36.01	35.76	27.25	18.03	28.24	23.42	39.5	20.11	16.63	34.75	30.56	22.59	12.36	34.02	26.86	27.64	21.16	12.09	52.82	39.79	27.44	37.85	35.0	23.76	3.89	22.43	27.64	27.44	25.17	17.9	28.45	34.75	33.78	33.78	29.7	35.76	40.07	36.01	39.5	19.82	8.38	29.91	32.59	41.52	46.84	19.82	33.3	24.46	20.86	11.64	13.93	29.48	19.82	21.32	47.84	31.0	30.12	36.01	50.63	15.56	18.7	17.77
ZNF689	43.94	53.57	62.56	62.56	44.89	45.85	94.67	113.56	90.77	90.14	110.43	74.06	138.1	73.54	67.12	115.16	72.52	88.26	51.71	79.45	96.68	92.05	113.56	84.63	98.04	143.01	134.3	94.67	85.82	80.57	79.45	134.3	94.67	72.01	52.08	55.1	101.54	108.9	111.21	125.24	98.73	105.89	101.54	98.04	138.1	89.51	64.8	94.67	115.97	139.07	119.26	73.03	112.77	70.51	77.79	55.89	61.68	94.01	93.35	84.04	93.35	83.45	109.66	118.43	153.34	70.01	66.18	79.45
ZNF747	98.73	112.77	172.65	176.29	155.5	178.77	223.41	208.38	164.42	181.28	226.54	189.02	255.0	186.4	208.38	209.84	147.06	208.38	155.5	145.02	228.13	177.53	246.28	208.38	167.9	281.09	251.48	158.79	183.82	198.47	194.36	223.41	186.4	158.79	189.02	215.77	206.94	215.77	187.71	223.41	256.78	228.13	323.03	170.25	255.0	223.41	137.14	202.66	220.32	271.48	172.65	176.29	229.72	161.02	224.97	165.57	177.53	198.47	264.03	195.72	214.27	229.72	205.5	221.86	279.14	198.47	185.11	202.66
ZNF777	24.81	92.7	127.89	107.38	128.79	103.69	229.72	248.0	181.28	180.02	214.27	164.42	273.37	208.38	167.9	206.94	275.28	208.38	183.82	140.04	242.88	169.07	248.0	218.79	170.25	262.2	264.03	181.28	209.84	215.77	217.27	273.37	193.01	139.07	232.94	195.72	221.86	209.84	218.79	236.21	224.97	271.48	239.52	205.5	265.87	248.0	173.85	262.2	221.86	246.28	211.31	186.4	215.77	185.11	177.53	128.79	163.28	175.07	275.28	212.78	242.88	248.0	231.32	231.32	251.48	201.25	169.07	178.77
ZNF813	13.32	1.93	5.5	7.94	9.34	10.16	27.44	29.06	18.03	32.59	37.59	30.78	42.41	26.67	14.67	39.5	43.63	16.63	8.13	13.93	52.08	17.64	48.52	21.78	28.04	35.76	33.78	35.0	25.72	17.0	14.14	33.06	37.59	31.0	23.25	13.72	24.63	42.11	28.24	30.56	31.9	35.25	21.63	51.71	42.11	28.24	18.29	26.67	57.08	26.67	35.76	23.93	29.7	18.97	19.25	42.11	34.02	30.78	25.54	13.22	44.25	35.5	32.13	54.33	41.81	34.02	22.92	21.32
ZNF829	4.98	6.31	10.39	5.82	6.11	7.94	29.91	19.39	26.47	18.7	34.26	29.7	32.82	22.75	13.32	28.24	35.0	21.78	15.22	11.73	20.26	23.93	24.63	16.63	21.63	39.5	33.54	23.76	21.47	21.16	13.62	28.65	21.01	19.97	23.25	16.88	33.06	28.86	37.32	34.26	35.5	29.27	27.44	30.56	32.59	25.91	22.59	29.06	37.32	35.5	37.85	26.1	26.28	22.1	23.93	18.56	17.0	26.86	30.78	18.56	38.4	35.25	29.91	33.3	42.71	22.59	23.42	22.43
