	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
MCMBP	1437.15	1936.53	1183.45	791.35	379.04	265.87	1044.52	483.38	599.49	486.75	273.37	679.29	486.75	334.46	323.03	591.22	567.1	190.34	384.34	371.22	555.41	373.81	525.39	221.86	842.36	406.31	193.01	764.36	500.46	808.0	403.5	432.53	376.41	226.54	518.15	381.68	791.35	389.72	587.13	1015.93	262.2	583.07	567.1	607.87	262.2	275.28	575.03	796.86	718.08	318.57	493.56	397.93	305.55	521.76	423.61	529.06	169.07	163.28	595.34	988.12	183.82	703.28	253.23	299.25	191.67	318.57	316.37	336.79	366.09	312.0	208.38	267.73	199.85	309.83	205.5	420.68	303.44	314.17	536.45	346.29	279.14	218.79	253.23	417.77	339.14	309.83	312.0	395.18	483.38	211.31	361.04	232.94	336.79	291.04	341.51	291.04	447.82	988.12	1923.14
MED1	571.05	813.63	703.28	497.0	167.9	116.78	587.13	289.02	133.36	171.45	113.56	264.03	112.77	214.27	248.0	343.89	190.34	108.14	229.72	186.4	497.0	197.09	283.05	194.36	267.73	343.89	157.68	281.09	346.29	412.0	133.36	248.0	162.14	112.77	295.11	241.19	371.22	143.01	220.32	283.05	62.56	130.6	215.77	161.02	127.0	149.12	229.72	295.11	199.85	61.68	297.17	144.01	194.36	177.53	234.57	239.52	83.45	136.19	258.57	329.84	176.29	293.07	118.43	98.73	81.14	152.28	113.56	125.24	96.68	105.15	114.36	124.37	162.14	152.28	119.26	234.57	126.12	121.79	185.11	132.44	117.6	96.68	223.41	149.12	100.83	111.99	106.63	152.28	173.85	87.65	182.55	82.29	123.5	165.57	23.76	57.08	249.73	503.95	660.68
MED12	536.45	638.15	616.37	769.69	121.79	119.26	426.57	371.22	327.56	316.37	307.69	244.57	234.57	191.67	217.27	395.18	275.28	89.51	314.17	275.28	346.29	285.03	273.37	195.72	332.14	318.57	135.24	253.23	231.32	647.07	262.2	314.17	255.0	173.85	327.56	435.55	457.25	255.0	460.44	409.15	110.43	351.14	435.55	273.37	177.53	121.79	314.17	384.34	295.11	199.85	258.57	291.04	493.56	406.31	281.09	291.04	223.41	157.68	325.29	400.71	190.34	353.59	98.04	78.34	105.89	176.29	108.9	120.94	102.25	103.69	63.0	285.03	124.37	104.42	119.26	198.47	141.02	73.54	177.53	88.88	111.21	93.35	214.27	127.89	148.09	208.38	140.04	212.78	198.47	62.56	201.25	139.07	115.16	187.71	63.45	85.82	249.73	660.68	674.59
MED13L	607.87	540.19	769.69	447.82	146.03	116.78	642.59	366.09	148.09	170.25	72.52	167.9	150.17	85.82	108.9	177.53	187.71	58.71	212.78	88.26	220.32	137.14	183.82	99.43	277.2	265.87	99.43	130.6	249.73	297.17	108.9	182.55	102.25	83.45	244.57	194.36	336.79	132.44	145.02	255.0	48.18	173.85	194.36	201.25	81.71	92.7	175.07	215.77	371.22	72.52	201.25	106.63	193.01	176.29	167.9	384.34	115.16	137.14	251.48	264.03	190.34	249.73	99.43	76.71	49.91	140.04	100.83	111.21	157.68	89.51	66.65	265.87	83.45	69.03	128.79	163.28	93.35	61.68	114.36	147.06	68.07	76.17	139.07	61.68	135.24	120.94	164.42	93.35	127.0	58.3	217.27	105.89	128.79	90.14	47.5	90.14	161.02	728.11	583.07
MED17	1350.18	1457.23	591.22	503.95	224.97	166.73	651.58	486.75	351.14	341.51	133.36	283.05	228.13	256.78	251.48	406.31	343.89	237.86	384.34	281.09	595.34	293.07	251.48	265.87	432.53	236.21	204.07	141.02	403.5	638.15	246.28	287.01	209.84	242.88	490.14	397.93	733.19	656.11	267.73	633.73	195.72	285.03	457.25	318.57	166.73	218.79	334.46	256.78	381.68	251.48	384.34	265.87	312.0	244.57	334.46	265.87	106.63	159.9	343.89	426.57	264.03	473.41	221.86	157.68	94.01	146.03	194.36	178.77	267.73	242.88	169.07	217.27	133.36	129.69	246.28	285.03	260.38	197.09	128.79	161.02	283.05	205.5	332.14	212.78	209.84	248.0	246.28	177.53	189.02	185.11	332.14	305.55	226.54	262.2	86.43	244.57	211.31	825.0	884.29
MSH2	848.22	1457.23	476.71	764.36	99.43	55.89	314.17	312.0	155.5	193.01	125.24	285.03	190.34	201.25	251.48	262.2	267.73	81.14	165.57	187.71	426.57	169.07	201.25	173.85	389.72	289.02	137.14	373.81	490.14	497.0	193.01	271.48	93.35	127.0	156.59	283.05	348.71	205.5	293.07	426.57	108.9	341.51	214.27	193.01	197.09	86.43	237.86	409.15	194.36	91.41	177.53	194.36	156.59	343.89	143.01	209.84	153.34	199.85	253.23	283.05	228.13	438.59	48.87	43.94	44.89	66.65	74.06	50.98	59.13	85.22	26.86	78.89	54.33	46.18	40.64	96.01	87.65	59.97	116.78	37.32	62.12	62.56	71.5	42.41	70.01	79.45	78.34	87.65	98.73	74.58	108.9	65.26	42.11	51.35	23.25	51.35	87.03	703.28	866.07
NAA25	327.56	303.44	260.38	253.23	102.97	73.54	318.57	143.01	111.99	107.38	44.57	141.02	120.94	75.64	85.82	102.25	177.53	57.89	80.01	44.57	165.57	94.67	96.01	84.04	228.13	143.01	71.5	81.71	151.22	159.9	103.69	92.05	62.12	63.0	141.02	122.64	186.4	89.51	102.25	220.32	31.9	99.43	163.28	102.25	47.84	58.71	136.19	146.03	253.23	70.01	178.77	95.34	91.41	101.54	105.89	209.84	63.45	57.08	148.09	159.9	102.97	150.17	54.33	43.94	29.06	58.71	50.98	42.71	63.45	57.49	43.02	130.6	66.65	63.89	66.18	56.28	85.82	43.94	53.19	52.82	41.81	54.72	81.71	66.65	63.89	79.45	53.19	32.13	65.72	51.35	38.95	97.36	107.38	85.82	18.03	47.84	46.5	271.48	281.09
NAA40	303.44	258.57	423.61	660.68	100.83	81.71	255.0	253.23	159.9	173.85	80.57	241.19	193.01	125.24	155.5	214.27	187.71	73.03	195.72	131.51	400.71	120.1	121.79	182.55	395.18	260.38	161.02	271.48	214.27	312.0	206.94	162.14	142.01	114.36	204.07	177.53	231.32	158.79	244.57	343.89	78.89	170.25	353.59	103.69	70.01	70.01	191.67	172.65	127.89	53.19	95.34	199.85	194.36	251.48	215.77	189.02	112.77	98.73	314.17	173.85	98.04	297.17	58.3	49.21	33.78	66.65	57.49	43.63	42.11	80.57	56.28	115.97	62.56	68.07	74.06	65.72	56.28	51.71	43.02	36.79	59.13	84.04	80.01	32.13	88.88	80.01	96.01	55.89	72.52	71.0	49.21	79.45	81.71	95.34	13.22	45.85	67.12	444.72	279.14
NDST2	353.59	454.09	587.13	483.38	159.9	98.04	497.0	295.11	228.13	244.57	194.36	201.25	255.0	221.86	275.28	343.89	205.5	110.43	450.94	264.03	209.84	220.32	363.56	144.01	283.05	231.32	166.73	151.22	256.78	323.03	145.02	297.17	150.17	193.01	301.33	204.07	450.94	246.28	218.79	356.05	108.9	265.87	279.14	172.65	135.24	145.02	285.03	289.02	260.38	183.82	218.79	187.71	275.28	323.03	236.21	265.87	186.4	119.26	175.07	343.89	255.0	305.55	93.35	85.22	131.51	158.79	96.01	146.03	108.9	131.51	71.0	267.73	98.73	145.02	100.13	175.07	80.57	109.66	147.06	119.26	107.38	103.69	127.0	150.17	173.85	218.79	108.9	136.19	212.78	57.89	189.02	161.02	133.36	96.68	51.71	105.15	154.42	476.71	351.14
NEDD1	395.18	395.18	336.79	299.25	81.14	45.21	376.41	214.27	62.56	99.43	34.26	140.04	58.71	41.81	90.77	130.6	109.66	29.91	85.82	94.67	249.73	68.55	84.04	46.18	165.57	142.01	72.01	121.79	127.0	202.66	59.97	76.17	57.08	46.18	125.24	114.36	226.54	64.8	218.79	143.01	39.79	140.04	87.65	84.63	71.0	41.81	97.36	111.99	191.67	35.5	137.14	46.18	102.97	73.03	105.15	170.25	79.45	80.01	96.68	141.02	59.13	154.42	40.93	21.94	17.9	56.68	38.4	41.52	37.05	43.94	17.64	61.25	18.97	34.02	47.17	90.77	55.49	26.86	76.71	20.26	36.27	21.63	43.94	28.86	78.34	67.59	42.11	53.57	44.89	59.55	59.55	39.79	40.93	63.89	24.46	27.64	66.18	277.2	403.5
NF1	348.71	336.79	511.0	358.54	157.68	127.0	371.22	339.14	193.01	143.01	101.54	167.9	102.25	137.14	181.28	208.38	232.94	69.52	161.02	205.5	366.09	138.1	264.03	132.44	239.52	189.02	104.42	195.72	275.28	356.05	154.42	172.65	127.0	75.11	248.0	194.36	223.41	114.36	177.53	299.25	52.08	147.06	106.63	108.9	93.35	91.41	208.38	260.38	209.84	11.55	153.34	131.51	194.36	167.9	133.36	256.78	117.6	107.38	154.42	351.14	149.12	314.17	93.35	75.64	52.08	124.37	107.38	118.43	105.15	92.05	137.14	155.5	79.45	64.34	109.66	143.01	120.94	94.01	158.79	77.79	71.5	78.89	111.21	228.13	136.19	108.14	104.42	69.52	183.82	77.25	162.14	89.51	128.79	107.38	53.57	73.54	187.71	373.81	507.46
NIPA2	1059.11	1447.15	775.05	813.63	403.5	285.03	954.43	688.78	575.03	361.04	327.56	684.02	387.02	384.34	679.29	368.65	603.67	229.72	651.58	547.75	1081.39	409.15	713.11	281.09	460.44	406.31	483.38	348.71	684.02	769.69	629.35	555.41	583.07	450.94	587.13	633.73	974.5	299.25	607.87	1008.9	361.04	599.49	450.94	371.22	287.01	232.94	842.36	651.58	603.67	441.64	389.72	521.76	457.25	529.06	514.56	567.1	420.68	329.84	587.13	1088.92	713.11	629.35	198.47	279.14	301.33	366.09	237.86	389.72	208.38	217.27	185.11	231.32	265.87	289.02	269.6	339.14	384.34	218.79	591.22	223.41	232.94	212.78	209.84	376.41	275.28	262.2	239.52	379.04	412.0	279.14	373.81	236.21	187.71	273.37	283.05	320.8	450.94	1183.45	848.22
NOC3L	395.18	389.72	447.82	297.17	154.42	94.01	336.79	146.03	145.02	138.1	69.52	128.79	64.8	114.36	89.51	167.9	155.5	100.13	105.15	111.99	299.25	114.36	175.07	82.87	185.11	130.6	75.64	153.34	217.27	177.53	105.89	191.67	87.65	82.87	197.09	195.72	264.03	96.01	82.87	169.07	102.97	164.42	212.78	178.77	82.29	118.43	194.36	182.55	206.94	111.21	212.78	122.64	132.44	171.45	172.65	156.59	60.39	112.77	113.56	229.72	120.1	212.78	78.89	71.5	17.38	103.69	85.22	93.35	81.14	81.71	90.77	133.36	134.3	113.56	86.43	72.01	120.94	72.52	95.34	75.64	62.12	101.54	124.37	52.08	66.65	87.03	87.03	88.88	77.79	94.67	71.0	56.68	127.89	126.12	28.65	55.89	76.71	283.05	507.46
NSD1	379.04	536.45	403.5	674.59	90.77	65.26	397.93	251.48	170.25	158.79	95.34	249.73	139.07	112.77	191.67	244.57	198.47	80.01	186.4	167.9	218.79	194.36	140.04	115.16	269.6	199.85	158.79	119.26	209.84	299.25	163.28	214.27	154.42	137.14	180.02	253.23	221.86	156.59	130.6	223.41	98.73	185.11	201.25	141.02	123.5	96.68	204.07	241.19	150.17	75.64	215.77	204.07	118.43	133.36	186.4	325.29	108.14	114.36	237.86	295.11	221.86	258.57	70.01	60.82	57.08	119.26	65.72	110.43	55.49	100.83	44.57	147.06	85.22	92.7	81.14	129.69	75.64	50.27	113.56	75.64	42.41	44.89	80.01	93.35	84.04	63.45	64.34	108.14	76.71	67.59	123.5	80.57	54.72	59.55	23.42	47.84	127.89	379.04	397.93
NUP205	688.78	1427.22	995.0	967.76	260.38	181.28	1127.35	529.06	532.74	463.65	239.52	503.95	450.94	255.0	409.15	307.69	575.03	332.14	429.54	432.53	551.56	295.11	361.04	186.4	764.36	679.29	291.04	438.59	743.43	444.72	358.54	450.94	271.48	316.37	400.71	435.55	684.02	420.68	575.03	738.29	423.61	738.29	583.07	457.25	373.81	309.83	493.56	490.14	503.95	389.72	426.57	426.57	607.87	629.35	395.18	397.93	356.05	409.15	406.31	579.04	301.33	607.87	185.11	176.29	175.07	221.86	275.28	175.07	208.38	218.79	115.16	299.25	285.03	171.45	176.29	205.5	242.88	198.47	191.67	113.56	137.14	195.72	264.03	166.73	197.09	251.48	206.94	186.4	204.07	172.65	193.01	169.07	178.77	273.37	94.67	144.01	237.86	1167.14	1417.35
PARG	265.87	679.29	348.71	346.29	162.14	149.12	271.48	193.01	163.28	164.42	143.01	201.25	164.42	182.55	128.79	299.25	220.32	119.26	169.07	139.07	301.33	158.79	248.0	135.24	346.29	154.42	156.59	182.55	239.52	220.32	111.21	316.37	173.85	133.36	201.25	185.11	291.04	220.32	226.54	244.57	155.5	229.72	248.0	152.28	115.16	101.54	255.0	256.78	249.73	156.59	128.79	191.67	177.53	224.97	212.78	177.53	173.85	121.79	214.27	260.38	123.5	229.72	102.97	111.99	87.03	121.79	119.26	85.22	74.06	143.01	82.87	198.47	79.45	92.7	164.42	121.79	119.26	78.34	112.77	128.79	126.12	157.68	145.02	72.52	141.02	88.88	98.73	123.5	92.05	78.34	125.24	127.0	126.12	106.63	76.71	75.64	77.25	215.77	314.17
PARP1	4769.75	4769.75	3395.89	2777.33	651.58	543.96	2075.59	2520.38	599.49	1561.89	1268.46	2335.28	1081.39	1242.34	1015.93	2384.37	1051.79	511.0	921.88	1397.83	2303.12	1159.07	1417.35	1059.11	1794.29	1477.58	909.17	2178.83	1870.53	2645.74	1427.22	1030.12	1037.29	1697.45	1651.0	2935.74	2193.99	1359.57	2148.82	1685.71	698.41	1417.35	1639.59	878.17	1008.9	373.81	1923.14	4152.18	1857.6	708.18	713.11	1769.57	1135.2	1697.45	1044.52	1135.2	713.11	796.86	1832.01	2047.0	1697.45	2701.35	441.64	493.56	587.13	647.07	454.09	633.73	426.57	463.65	503.95	435.55	518.15	466.88	543.96	769.69	748.61	473.41	1030.12	551.56	599.49	536.45	444.72	532.74	656.11	500.46	718.08	974.5	764.36	403.5	1111.82	406.31	514.56	486.75	476.71	583.07	1388.16	3395.89	2739.08
PCNP	2119.22	4358.66	2701.35	1721.16	1268.46	1175.27	3716.2	2255.7	1268.46	1191.69	825.0	1268.46	872.1	796.86	1104.13	1844.76	1498.22	525.39	1757.34	1073.91	1963.57	1059.11	1199.98	1268.46	2075.59	1628.26	1088.92	1936.53	1467.37	1870.53	1104.13	1259.69	1073.91	728.11	1674.06	1721.16	2384.37	909.17	1216.75	2018.8	808.0	1806.78	1467.37	1350.18	928.3	890.44	1477.58	1250.98	1561.89	988.12	1498.22	866.07	1127.35	1167.14	1183.45	1819.35	1066.48	688.78	1806.78	1733.13	1015.93	1857.6	848.22	780.44	514.56	1073.91	1183.45	1066.48	1037.29	1175.27	543.96	1417.35	698.41	785.88	723.08	1119.56	1216.75	967.76	1081.39	1001.93	860.08	947.83	1183.45	708.18	928.3	1015.93	860.08	1001.93	1208.34	1127.35	1331.57	884.29	866.07	1295.13	866.07	764.36	1529.73	2417.67	2178.83
PLXNA1	555.41	518.15	316.37	872.1	40.64	24.46	547.75	312.0	112.77	129.69	55.89	86.43	93.35	36.01	76.17	206.94	158.79	11.64	698.41	85.82	182.55	116.78	103.69	58.3	156.59	135.24	72.01	22.1	98.73	271.48	55.1	149.12	42.41	43.32	208.38	135.24	173.85	101.54	54.72	133.36	29.7	75.11	220.32	33.78	43.02	16.27	236.21	169.07	211.31	24.99	71.0	100.83	41.52	151.22	74.58	181.28	58.3	30.34	361.04	78.34	102.97	111.21	17.13	14.24	19.97	70.51	17.38	25.72	8.13	22.59	20.71	87.03	11.04	12.55	23.76	89.51	24.81	29.7	43.02	14.56	29.27	11.21	16.27	36.53	49.56	19.82	18.56	40.64	36.79	22.26	172.65	31.22	33.06	19.82	1.64	11.3	72.01	470.14	825.0
POGK	974.5	1977.24	830.75	406.31	173.85	122.64	665.29	507.46	277.2	346.29	193.01	426.57	229.72	264.03	231.32	470.14	361.04	150.17	236.21	312.0	902.89	249.73	387.02	329.84	1331.57	226.54	209.84	279.14	543.96	830.75	299.25	129.69	295.11	208.38	441.64	532.74	490.14	314.17	264.03	1111.82	71.0	275.28	397.93	234.57	189.02	100.83	429.54	473.41	420.68	181.28	187.71	351.14	423.61	381.68	279.14	305.55	137.14	159.9	346.29	995.0	260.38	412.0	120.94	121.79	89.51	135.24	119.26	109.66	150.17	77.25	153.34	120.94	104.42	91.41	72.01	224.97	143.01	64.34	185.11	163.28	88.26	78.89	98.04	84.63	137.14	82.29	108.9	155.5	167.9	85.82	301.33	112.77	120.94	106.63	43.32	79.45	253.23	961.07	764.36
POLR1A	273.37	195.72	206.94	258.57	71.5	67.12	305.55	249.73	132.44	108.14	114.36	100.13	66.65	100.83	277.2	141.02	151.22	53.57	162.14	120.1	150.17	109.66	175.07	141.02	153.34	148.09	100.83	187.71	120.1	170.25	78.89	140.04	111.21	59.13	116.78	144.01	121.79	130.6	73.54	158.79	56.28	115.97	215.77	98.04	120.94	73.03	111.99	172.65	142.01	97.36	232.94	120.1	124.37	265.87	75.11	141.02	96.01	100.83	154.42	246.28	133.36	138.1	48.52	36.01	51.71	78.34	42.11	66.65	45.53	47.17	52.82	42.41	92.7	35.5	34.26	68.07	48.52	43.32	46.5	65.26	40.64	34.02	46.5	42.41	42.41	46.5	44.89	50.63	82.29	88.88	89.51	34.02	53.57	30.34	38.95	38.67	84.63	205.5	438.59
POLR2B	1175.27	2303.12	1540.37	934.76	587.13	420.68	1331.57	723.08	361.04	587.13	483.38	656.11	381.68	511.0	555.41	743.43	866.07	281.09	642.59	373.81	612.11	603.67	507.46	460.44	825.0	688.78	253.23	764.36	688.78	1135.2	397.93	713.11	647.07	409.15	733.19	426.57	1233.75	444.72	547.75	961.07	363.56	684.02	633.73	536.45	358.54	409.15	902.89	878.17	656.11	438.59	830.75	753.83	624.99	775.05	733.19	551.56	316.37	366.09	791.35	1322.37	563.18	693.58	358.54	353.59	332.14	420.68	368.65	444.72	242.88	426.57	389.72	555.41	567.1	297.17	493.56	551.56	325.29	356.05	500.46	215.77	186.4	242.88	420.68	249.73	406.31	616.37	400.71	373.81	493.56	255.0	473.41	275.28	395.18	660.68	185.11	351.14	366.09	1662.49	1388.16
POLR3A	234.57	529.06	320.8	267.73	95.34	70.01	218.79	287.01	120.1	112.77	127.0	108.9	121.79	139.07	124.37	159.9	138.1	77.25	96.68	91.41	163.28	98.04	172.65	72.01	178.77	106.63	75.11	125.24	170.25	176.29	91.41	214.27	120.1	90.14	126.12	128.79	156.59	113.56	117.6	173.85	98.73	151.22	180.02	95.34	82.87	104.42	170.25	143.01	183.82	90.77	141.02	126.12	152.28	244.57	135.24	150.17	74.58	81.71	193.01	177.53	89.51	149.12	74.58	59.97	65.72	85.22	63.45	69.52	41.81	54.33	61.25	87.65	56.68	67.59	56.68	82.29	66.65	61.68	90.77	70.01	44.89	48.87	80.57	70.51	84.04	85.82	101.54	72.01	86.43	64.8	84.04	60.39	66.65	67.59	31.9	52.08	90.14	289.02	297.17
PPIP5K1	289.02	202.66	303.44	197.09	139.07	88.88	143.01	223.41	187.71	134.3	72.01	97.36	80.57	101.54	133.36	163.28	116.78	58.3	116.78	172.65	214.27	201.25	241.19	63.45	111.99	154.42	92.7	45.85	211.31	249.73	166.73	176.29	144.01	120.94	220.32	229.72	224.97	96.68	94.67	159.9	26.28	152.28	77.79	96.01	68.55	100.83	204.07	236.21	140.04	58.71	239.52	139.07	177.53	155.5	199.85	195.72	86.43	129.69	78.34	162.14	99.43	301.33	46.5	34.26	57.08	105.15	39.79	53.19	72.01	81.71	38.67	54.72	50.27	49.56	30.12	87.65	63.45	94.67	88.88	30.56	97.36	68.07	57.49	34.02	108.14	39.5	40.93	95.34	43.94	52.08	251.48	54.72	61.68	110.43	26.1	36.53	150.17	269.6	624.99
PPP3CB	934.76	1111.82	1397.83	764.36	327.56	244.57	693.58	403.5	241.19	403.5	327.56	293.07	358.54	279.14	255.0	532.74	450.94	127.89	551.56	417.77	486.75	334.46	473.41	269.6	426.57	358.54	141.02	379.04	409.15	656.11	171.45	371.22	293.07	343.89	529.06	460.44	738.29	429.54	285.03	429.54	246.28	420.68	543.96	269.6	197.09	265.87	518.15	389.72	414.87	318.57	429.54	327.56	473.41	579.04	346.29	473.41	249.73	191.67	348.71	406.31	312.0	358.54	223.41	208.38	204.07	303.44	285.03	246.28	273.37	236.21	153.34	283.05	249.73	218.79	341.51	285.03	366.09	339.14	287.01	209.84	246.28	281.09	341.51	264.03	314.17	314.17	285.03	255.0	287.01	265.87	332.14	217.27	144.01	325.29	167.9	323.03	291.04	703.28	836.53
PRDM10	75.64	67.12	128.79	68.07	45.53	24.81	74.58	59.55	53.19	40.93	23.42	39.5	44.25	34.26	40.36	55.49	49.91	18.56	44.89	46.84	75.11	76.71	46.84	40.36	83.45	49.56	40.36	38.12	62.12	118.43	32.82	40.64	36.01	38.4	67.59	75.11	85.82	103.69	34.51	81.71	17.51	50.63	69.03	44.25	17.38	39.79	70.01	85.22	73.03	30.12	56.28	48.18	47.5	50.98	44.57	75.11	19.39	31.0	86.43	72.01	59.55	78.34	27.64	17.0	14.14	32.36	22.92	23.08	25.72	28.24	8.65	36.27	29.48	28.24	28.04	48.18	29.27	24.28	27.64	17.9	33.3	33.78	42.41	29.48	36.79	34.75	22.92	27.05	28.04	27.25	37.05	47.17	34.26	47.17	15.45	34.26	50.27	100.13	94.01
PRDM4	420.68	417.77	395.18	356.05	86.43	55.49	483.38	417.77	144.01	236.21	76.71	180.02	171.45	95.34	144.01	232.94	193.01	70.51	201.25	101.54	301.33	140.04	132.44	100.13	224.97	173.85	102.25	107.38	151.22	260.38	101.54	136.19	136.19	73.54	182.55	173.85	295.11	183.82	246.28	289.02	71.5	156.59	197.09	120.94	84.63	75.11	197.09	142.01	293.07	88.26	164.42	114.36	151.22	129.69	165.57	202.66	104.42	88.88	226.54	260.38	118.43	201.25	79.45	67.12	47.17	96.01	78.89	63.45	63.45	75.11	49.56	55.1	72.01	72.52	76.71	100.13	57.89	40.36	127.0	67.12	50.63	111.21	166.73	92.05	40.36	76.17	63.45	74.58	159.9	72.01	107.38	67.12	58.71	87.65	38.95	55.1	122.64	429.54	341.51
PSME3	1991.0	2758.13	2193.99	2193.99	743.43	529.06	2303.12	1467.37	1001.93	808.0	693.58	1369.04	866.07	1286.18	1963.57	1745.2	1832.01	638.15	967.76	1225.22	3349.13	921.88	995.0	1001.93	1119.56	1572.76	713.11	1540.37	1529.73	2400.97	571.05	1313.23	1023.0	703.28	1304.15	1407.55	1477.58	769.69	1498.22	1685.71	429.54	688.78	2178.83	819.3	684.02	647.07	1950.0	1857.6	1119.56	329.84	1044.52	1208.34	1216.75	921.88	1051.79	1216.75	1096.5	780.44	1191.69	1857.6	848.22	1529.73	483.38	547.75	728.11	718.08	476.71	656.11	463.65	500.46	476.71	423.61	486.75	457.25	316.37	785.88	599.49	521.76	947.83	620.67	536.45	429.54	466.88	518.15	607.87	400.71	473.41	854.13	647.07	540.19	759.08	432.53	500.46	387.02	532.74	500.46	947.83	1870.53	2976.74
