	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.E9.A1RI.11A.41R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.S32W.2026.SM.4AD6E	GTEX.Y114.2026.SM.4TT7L	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B0.5695.01A.11R.1541.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.HE.7129.01A.11R.1965.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15
CRYAB	121448.75	138544.47	102125.66	271387.49	127486.83	150561.19	1503610.06	133825.1	151608.43	73730.83	233003.78	200048.85	288856.81	327.56	1397.83	1896.65	52135.28	2104.58	69271.73	217.27	432.53	7382.04	95286.54	118949.35	135693.24	53230.77	55107.99	154794.07	193234.41	155870.75	309589.14	189257.69	122293.5	212926.09	383800.28	146444.06	155870.75	223512.12	294926.33	150561.19	301123.38	271387.49	233003.78	239554.43	447025.24	225066.78	171754.88	218912.29	153724.82	253213.41	120609.84	181548.07	217400.14	241220.67	260332.24	212926.09	146444.06	131982.68	381149.17	223512.12	135693.24	163620.18	241220.67	110983.6	198667.0	318292.9	174152.51	220434.95	408505.64	165904.25	225066.78	197294.7	320506.81	177811.84	456418.21	207103.59	167058.21	182810.84	184082.4	260332.24	207103.59	546551.29	258533.99	251464.33	142439.51	301123.38	195931.88	391864.76	234624.45	120609.84	292889.12	179048.63	305326.92	254974.66	177811.84	186652.11	200048.85	292889.12	513497.31	286861.53	254974.66	327241.36	277089.94	208544.12	375901.76	174152.51	284880.02	131982.68	246289.25	303217.87	329517.51	175363.84	143430.26	168220.2	329517.51	228208.61	338781.54	172949.54	156954.93	246289.25	218912.29	422911.59	201440.3	177811.84	215898.44	279017.26	217400.14	299043.36	211455.3	256748.15	212926.09	233003.78	589853.66	269512.87	234624.45	215898.44	168220.2	0.0	0.96	144427.91	161367.56	336441.4	311742.51	716197.51	305326.92
DNAAF1	4.43	0.66	4.7	12.09	4.74	16.75	2.39	6.62	1.04	0.11	26.47	2.05	8.25	2.46	4.1	7.46	38.95	2.2	35.5	0.0	2.14	2.94	15.56	29.48	0.0	2.32	3.69	1.39	16.39	22.26	55.89	20.56	20.26	11.91	85.82	10.39	3.26	6.94	54.72	409.15	88.26	74.06	120.94	181.28	21.32	30.78	127.0	47.17	473.41	320.8	253.23	93.35	283.05	117.6	47.84	358.54	109.66	239.52	1066.48	53.95	129.69	275.28	44.25	224.97	62.12	50.98	73.03	80.57	15.45	108.14	127.0	88.26	97.36	135.24	26.1	117.6	11.73	156.59	72.01	53.57	176.29	102.25	10.24	320.8	309.83	92.05	251.48	110.43	127.0	143.01	7.94	271.48	30.78	102.25	414.87	60.82	9.85	22.26	49.21	48.87	525.39	66.65	376.41	170.25	86.43	39.22	27.44	204.07	12.64	51.71	44.89	21.78	108.9	44.57	68.07	115.97	44.89	503.95	115.16	120.94	33.78	20.71	98.04	339.14	34.02	221.86	8.58	27.84	115.16	47.5	34.26	172.65	96.01	836.53	15.34	38.67	260.38	0.0	0.0	13.22	36.79	10.71	9.93	1.04	320.8
DNAH7	12.74	0.0	10.55	25.54	5.59	7.88	10.63	10.24	7.06	2.23	66.65	1.51	8.99	0.96	0.0	1.95	1.08	0.0	1.04	2.41	0.58	0.65	2.84	0.75	1.36	17.51	6.41	12.09	78.89	73.54	43.63	60.82	29.7	30.34	88.26	21.94	32.82	39.79	69.52	183.82	62.56	59.13	110.43	249.73	19.39	46.84	139.07	66.18	140.04	171.45	145.02	79.45	106.63	105.89	96.01	181.28	114.36	171.45	305.55	69.03	82.87	78.89	87.03	127.0	158.79	61.68	69.52	46.18	50.63	155.5	89.51	70.01	82.87	70.01	43.94	212.78	27.05	105.89	53.95	80.01	76.71	108.14	89.51	116.78	111.21	60.82	134.3	256.78	108.9	297.17	48.18	186.4	29.48	75.11	221.86	62.56	21.47	48.18	65.72	36.27	169.07	92.05	185.11	116.78	92.05	11.91	34.02	114.36	23.59	67.12	77.79	25.35	75.11	127.89	26.67	115.16	59.97	195.72	145.02	57.08	67.59	25.54	194.36	112.77	47.5	143.01	78.34	42.71	74.58	32.59	83.45	157.68	43.02	144.01	33.78	87.03	164.42	0.0	0.0	0.27	0.47	4.46	1.17	6.52	194.36
DNAI1	0.0	0.0	3.72	7.51	0.0	3.32	0.53	0.0	0.0	1.19	18.7	0.0	4.94	0.0	0.0	0.0	0.84	0.39	0.41	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	2.32	19.53	10.88	1.13	5.19	4.17	1.97	134.3	15.22	3.96	4.13	10.39	206.94	44.89	71.5	67.59	224.97	25.72	24.81	74.58	57.49	180.02	202.66	161.02	143.01	161.02	97.36	35.0	187.71	81.14	81.14	379.04	27.25	36.79	101.54	59.13	116.78	53.95	98.73	66.18	26.28	84.04	71.5	138.1	88.26	89.51	87.03	7.88	138.1	5.06	99.43	42.41	88.26	109.66	61.68	54.33	120.1	155.5	47.17	129.69	237.86	122.64	158.79	4.17	214.27	35.25	49.91	249.73	80.57	19.97	30.56	13.42	18.97	293.07	57.08	165.57	59.13	70.01	2.68	18.7	69.52	5.59	73.54	36.01	12.74	94.67	55.1	26.1	104.42	45.53	177.53	62.56	129.69	34.02	0.79	108.14	114.36	17.77	106.63	0.0	41.81	38.12	17.13	65.72	101.54	43.63	217.27	29.06	88.88	114.36	0.0	0.0	0.0	5.73	3.86	1.14	0.0	10.39
DNAJC1	647.07	157.68	400.71	866.07	536.45	563.18	567.1	656.11	170.25	599.49	426.57	180.02	555.41	521.76	353.59	454.09	314.17	299.25	540.19	395.18	511.0	389.72	299.25	361.04	301.33	529.06	463.65	454.09	780.44	1806.78	728.11	759.08	866.07	836.53	759.08	718.08	1583.71	275.28	1199.98	947.83	909.17	575.03	2520.38	1259.69	514.56	830.75	1936.53	1151.06	813.63	2303.12	1806.78	836.53	1340.84	1304.15	607.87	854.13	1467.37	1175.27	1304.15	551.56	1111.82	1268.46	571.05	1030.12	2061.24	1583.71	713.11	387.02	836.53	2758.13	780.44	748.61	612.11	934.76	373.81	1407.55	967.76	1685.71	518.15	1059.11	647.07	961.07	728.11	830.75	647.07	1023.0	1662.49	819.3	1781.89	1104.13	620.67	1015.93	299.25	860.08	954.43	1015.93	529.06	647.07	514.56	934.76	1277.29	842.36	1175.27	3168.41	674.59	139.07	507.46	1639.59	591.22	988.12	674.59	603.67	775.05	896.64	612.11	1359.57	1143.1	1175.27	1225.22	629.35	759.08	813.63	1015.93	890.44	947.83	1111.82	842.36	518.15	785.88	312.0	1378.57	1313.23	612.11	559.28	684.02	529.06	1268.46	0.0	0.73	149.12	283.05	283.05	271.48	194.36	1191.69
DYNC2LI1	336.79	138.1	647.07	890.44	403.5	444.72	307.69	412.0	642.59	249.73	703.28	532.74	473.41	113.56	212.78	131.51	205.5	271.48	206.94	105.89	220.32	212.78	167.9	234.57	156.59	258.57	253.23	236.21	813.63	928.3	775.05	1322.37	497.0	351.14	1427.22	825.0	872.1	417.77	1639.59	3491.39	1950.0	2271.4	4639.29	5995.9	995.0	1594.73	3467.27	2956.17	3235.01	4869.99	4010.71	2133.97	2855.44	3515.68	3589.58	4066.71	3235.01	3235.01	7230.1	595.34	2816.11	3716.2	1015.93	4972.34	4210.15	848.22	1896.65	1697.45	1008.9	2609.3	4095.0	3395.89	2417.67	3794.3	860.08	3690.52	698.41	3716.2	2664.15	3039.3	1733.13	3060.45	1529.73	4481.23	3146.52	3419.52	3103.19	2271.4	3540.14	2739.08	684.02	4607.24	633.73	2367.9	3540.14	1883.54	612.11	2591.27	1870.53	1896.65	2485.67	1617.0	2319.15	4388.98	2193.99	307.69	1135.2	3018.3	583.07	2148.82	656.11	647.07	2664.15	1806.78	954.43	4639.29	1417.35	2935.74	3820.7	909.17	1135.2	371.22	1819.35	5441.3	1936.53	2997.45	563.18	967.76	2133.97	884.29	2434.5	3540.14	1685.71	4123.49	1340.84	2303.12	4450.27	291.04	2104.58	289.02	353.59	273.37	256.78	318.57	1167.14
EFCAB12	0.89	0.62	16.63	10.31	28.04	15.56	39.5	31.9	24.99	3.11	60.82	12.93	23.25	2.53	1.38	3.29	1.08	3.5	1.48	0.54	1.79	1.6	0.69	0.72	3.06	1.83	0.69	5.28	64.8	67.59	32.59	27.84	10.24	30.78	59.97	12.93	20.26	4.1	34.02	202.66	89.51	79.45	122.64	241.19	25.35	36.79	63.0	83.45	156.59	145.02	231.32	92.05	128.79	113.56	50.27	253.23	161.02	87.03	389.72	35.0	140.04	152.28	52.82	150.17	98.73	55.89	70.01	62.12	42.41	58.3	90.14	122.64	102.97	111.99	28.65	108.9	11.82	193.01	75.64	62.56	82.29	85.82	30.56	152.28	202.66	69.03	150.17	130.6	176.29	232.94	15.11	159.9	31.22	93.35	312.0	43.94	16.75	41.22	25.91	92.7	309.83	59.13	141.02	120.1	101.54	13.72	21.78	191.67	9.63	31.9	36.53	16.27	119.26	110.43	71.0	129.69	85.22	151.22	121.79	153.34	50.63	6.62	75.11	161.02	67.12	180.02	13.12	63.89	52.82	44.25	58.3	114.36	33.3	293.07	28.86	45.21	130.6	0.0	0.01	1.95	0.0	2.76	4.46	1.62	84.04
ENDOV	258.57	161.02	166.73	368.65	161.02	198.47	228.13	194.36	169.07	164.42	277.2	193.01	143.01	141.02	201.25	183.82	231.32	234.57	251.48	120.1	187.71	115.16	312.0	336.79	244.57	241.19	256.78	283.05	346.29	397.93	476.71	532.74	277.2	339.14	314.17	441.64	450.94	981.29	260.38	1023.0	490.14	723.08	450.94	620.67	543.96	583.07	612.11	529.06	954.43	733.19	796.86	532.74	842.36	674.59	638.15	444.72	575.03	665.29	848.22	947.83	743.43	669.92	791.35	703.28	723.08	665.29	547.75	775.05	878.17	688.78	616.37	579.04	796.86	708.18	384.34	890.44	400.71	559.28	603.67	808.0	1295.13	620.67	514.56	647.07	848.22	559.28	543.96	693.58	884.29	551.56	483.38	830.75	454.09	629.35	674.59	543.96	351.14	703.28	518.15	1250.98	981.29	444.72	669.92	928.3	353.59	361.04	460.44	743.43	753.83	764.36	438.59	412.0	723.08	432.53	791.35	503.95	507.46	769.69	583.07	759.08	470.14	463.65	728.11	928.3	392.44	836.53	368.65	366.09	511.0	406.31	620.67	1059.11	389.72	974.5	463.65	791.35	872.1	0.0	0.66	242.88	334.46	277.2	242.88	351.14	414.87
ENKD1	493.56	88.26	70.01	253.23	358.54	163.28	197.09	140.04	182.55	153.34	177.53	81.14	202.66	124.37	191.67	47.84	201.25	189.02	307.69	77.25	83.45	146.03	112.77	191.67	195.72	251.48	183.82	253.23	808.0	674.59	301.33	612.11	511.0	728.11	915.51	748.61	441.64	54.33	503.95	3325.99	808.0	620.67	1857.6	1745.2	457.25	651.58	1487.87	1127.35	3124.78	2061.24	1977.24	1963.57	1844.76	1757.34	1199.98	1617.0	1561.89	2997.45	1709.26	624.99	1519.15	1151.06	1183.45	1477.58	1407.55	723.08	1447.15	1159.07	988.12	1127.35	1119.56	1709.26	974.5	1769.57	974.5	1806.78	674.59	1447.15	825.0	1216.75	587.13	1674.06	325.29	1037.29	1259.69	878.17	872.1	2240.11	1781.89	1617.0	518.15	3325.99	463.65	941.27	2400.97	764.36	928.3	738.29	381.68	848.22	2090.03	1331.57	2701.35	1437.15	1561.89	444.72	723.08	1844.76	82.29	1242.34	902.89	1044.52	1304.15	2400.97	1277.29	921.88	733.19	1936.53	2090.03	1651.0	909.17	819.3	2209.26	1819.35	587.13	1594.73	329.84	693.58	503.95	728.11	1119.56	954.43	1331.57	2701.35	753.83	743.43	1806.78	0.0	0.65	138.1	320.8	185.11	171.45	190.34	728.11
ENO4	8.78	0.56	4.39	14.67	8.25	13.42	4.94	7.69	13.83	3.56	10.31	7.75	12.74	4.54	0.61	1.55	2.07	2.73	3.72	1.35	1.03	1.66	1.81	0.77	0.79	5.77	3.38	2.78	18.43	16.39	22.26	28.86	18.97	18.7	20.71	8.71	8.0	21.63	12.93	42.71	36.53	29.91	40.64	21.16	16.39	60.39	33.78	23.59	36.79	43.63	55.1	38.12	35.5	19.97	18.16	27.05	31.22	23.42	37.05	37.85	19.11	25.54	22.75	45.53	19.68	35.5	20.26	28.65	32.59	19.53	24.81	33.3	34.51	41.22	8.13	122.64	22.59	48.52	31.45	34.26	63.0	39.5	24.46	49.91	44.57	33.3	54.33	38.67	53.95	19.82	9.56	29.7	22.92	32.13	48.52	19.25	8.78	27.44	15.22	53.19	41.22	34.51	102.97	66.18	50.63	11.04	16.88	41.81	11.91	18.7	19.39	7.11	38.12	26.28	81.14	52.82	32.82	63.89	27.25	41.81	9.93	9.78	12.0	31.67	40.93	39.5	19.25	38.12	24.63	16.39	22.26	36.79	7.51	74.58	31.22	13.03	47.84	0.0	0.22	1.97	0.55	3.79	7.4	4.78	28.65
FAM185A	126.12	209.84	135.24	148.09	92.05	125.24	90.77	90.77	146.03	52.45	100.83	85.22	126.12	80.01	59.97	37.32	67.59	56.68	79.45	64.8	63.89	73.03	95.34	88.26	146.03	65.72	84.04	119.26	57.49	89.51	297.17	139.07	104.42	101.54	120.94	125.24	91.41	146.03	125.24	229.72	115.16	186.4	215.77	178.77	127.89	83.45	186.4	112.77	175.07	154.42	232.94	134.3	212.78	142.01	226.54	135.24	142.01	237.86	281.09	90.77	209.84	115.16	123.5	256.78	242.88	53.19	171.45	208.38	125.24	214.27	161.02	122.64	170.25	152.28	88.88	132.44	125.24	170.25	194.36	169.07	115.97	164.42	143.01	201.25	187.71	172.65	205.5	159.9	148.09	157.68	101.54	145.02	95.34	187.71	171.45	161.02	133.36	164.42	136.19	183.82	114.36	105.15	172.65	209.84	127.89	71.5	126.12	156.59	120.94	178.77	85.22	118.43	140.04	96.68	117.6	265.87	102.97	190.34	134.3	177.53	105.15	75.64	127.89	134.3	96.01	166.73	204.07	154.42	149.12	92.05	141.02	182.55	104.42	214.27	108.14	135.24	171.45	0.0	0.3	59.97	139.07	84.63	84.04	96.01	262.2
FANK1	19.11	5.63	54.33	111.21	23.93	67.59	32.59	29.91	41.52	10.0	81.14	14.89	27.44	38.4	77.25	51.35	104.42	44.89	53.95	26.67	126.12	87.03	33.06	88.88	17.64	37.85	98.04	21.78	121.79	236.21	126.12	152.28	142.01	121.79	476.71	114.36	57.08	31.0	237.86	607.87	185.11	194.36	651.58	551.56	190.34	262.2	327.56	283.05	559.28	559.28	389.72	376.41	412.0	529.06	267.73	587.13	346.29	587.13	607.87	189.02	314.17	327.56	312.0	435.55	395.18	118.43	432.53	246.28	457.25	334.46	258.57	307.69	281.09	363.56	228.13	575.03	52.82	435.55	175.07	214.27	187.71	426.57	229.72	518.15	420.68	173.85	444.72	457.25	373.81	363.56	136.19	351.14	159.9	253.23	470.14	211.31	125.24	220.32	248.0	107.38	612.11	211.31	583.07	297.17	353.59	169.07	205.5	414.87	27.05	376.41	242.88	84.63	334.46	283.05	183.82	287.01	320.8	684.02	420.68	318.57	323.03	71.0	379.04	435.55	177.53	444.72	101.54	191.67	246.28	155.5	262.2	412.0	283.05	718.08	135.24	329.84	447.82	0.0	0.0	28.24	66.65	28.45	32.82	37.85	583.07
FBXO15	12.74	1.69	21.94	39.5	27.64	19.25	39.22	16.51	23.59	1.57	42.41	23.25	8.71	2.66	0.0	3.38	10.47	4.31	2.92	4.58	5.28	1.87	7.4	2.68	4.39	11.73	4.94	9.48	102.25	69.03	22.26	40.36	12.18	27.64	90.77	14.56	57.49	21.94	116.78	368.65	158.79	171.45	118.43	228.13	67.12	39.22	90.14	85.82	211.31	154.42	149.12	197.09	197.09	269.6	64.34	147.06	113.56	150.17	194.36	57.08	115.16	183.82	154.42	167.9	106.63	9.56	66.65	105.15	82.87	60.39	110.43	114.36	104.42	114.36	72.52	137.14	18.97	125.24	121.79	144.01	156.59	175.07	50.98	129.69	185.11	64.34	172.65	50.63	148.09	244.57	15.8	180.02	76.17	122.64	171.45	89.51	17.13	84.04	136.19	120.94	198.47	72.01	120.1	209.84	91.41	25.35	37.32	143.01	60.39	127.0	59.13	52.45	204.07	72.52	59.97	94.67	69.52	181.28	102.97	194.36	70.01	27.44	87.03	236.21	55.1	155.5	22.26	48.87	126.12	46.18	70.51	180.02	136.19	285.03	37.85	78.89	153.34	0.0	0.0	27.84	7.28	8.25	14.89	19.82	204.07
FLYWCH1	708.18	381.68	287.01	297.17	543.96	400.71	273.37	320.8	684.02	202.66	341.51	376.41	314.17	348.71	441.64	356.05	476.71	339.14	435.55	679.29	314.17	486.75	208.38	435.55	429.54	260.38	279.14	486.75	320.8	406.31	698.41	830.75	473.41	358.54	1295.13	647.07	693.58	981.29	507.46	1135.2	808.0	896.64	1151.06	954.43	591.22	693.58	872.1	934.76	1991.0	1073.91	1081.39	1457.23	1008.9	808.0	1199.98	928.3	1242.34	1437.15	1519.15	780.44	974.5	718.08	728.11	848.22	540.19	748.61	733.19	830.75	1268.46	733.19	947.83	947.83	981.29	1051.79	1073.91	878.17	909.17	791.35	961.07	961.07	1001.93	1397.83	575.03	825.0	1191.69	921.88	785.88	1583.71	1233.75	743.43	796.86	2468.49	1242.34	974.5	1023.0	1015.93	460.44	1104.13	583.07	728.11	738.29	1037.29	1030.12	974.5	780.44	1001.93	738.29	1242.34	460.44	1143.1	860.08	723.08	1199.98	954.43	1322.37	808.0	759.08	1023.0	1096.5	1088.92	703.28	1963.57	1208.34	1286.18	764.36	819.3	688.78	780.44	518.15	703.28	860.08	759.08	1104.13	1127.35	547.75	759.08	1143.1	0.0	0.64	381.68	356.05	423.61	669.92	575.03	764.36
GALNT11	718.08	500.46	934.76	1143.1	450.94	669.92	909.17	713.11	1594.73	493.56	1001.93	441.64	743.43	281.09	389.72	339.14	373.81	309.83	480.04	104.42	733.19	314.17	379.04	486.75	518.15	547.75	511.0	567.1	1806.78	5517.27	1781.89	2271.4	995.0	3690.52	4869.99	1135.2	3190.46	2758.13	8022.41	8598.28	10512.82	8022.41	5954.47	11189.6	5076.84	6037.61	13586.57	8421.31	6652.97	12502.12	11584.24	2224.63	12764.83	6426.31	9540.5	9151.82	10512.82	6745.86	11664.82	836.53	11992.79	6207.38	6426.31	26614.89	10084.54	1628.26	7911.95	6294.04	1769.57	9215.48	14262.1	3820.7	7803.01	9279.58	3665.02	5366.37	2591.27	9540.5	9740.98	3303.0	3081.75	15075.35	3564.78	9540.5	13215.02	4181.07	8598.28	10883.59	8598.28	8479.89	2240.11	12764.83	2664.15	6887.62	6121.9	6079.61	6381.92	7589.61	2090.03	30361.44	5633.22	2468.49	7032.37	12502.12	7642.41	1199.98	4095.0	9215.48	4038.61	6294.04	1883.54	6121.9	9344.14	6207.38	4671.57	14262.1	8538.88	10014.87	7642.41	8078.22	4450.27	954.43	8538.88	12943.04	4671.57	15499.21	2720.15	6164.49	14765.09	1498.22	5555.65	17197.56	4769.75	10084.54	1721.16	7911.95	5006.93	0.0	0.64	769.69	521.76	412.0	483.38	470.14	988.12
HEXIM2	116.78	336.79	82.87	118.43	98.73	137.14	202.66	129.69	141.02	275.28	124.37	90.77	101.54	102.25	90.77	94.01	169.07	94.01	251.48	125.24	105.15	108.9	178.77	241.19	256.78	159.9	189.02	397.93	361.04	417.77	373.81	551.56	269.6	303.44	323.03	303.44	351.14	249.73	312.0	642.59	723.08	733.19	518.15	878.17	323.03	441.64	679.29	371.22	587.13	579.04	616.37	616.37	808.0	802.41	503.95	543.96	532.74	642.59	309.83	343.89	536.45	591.22	638.15	669.92	493.56	429.54	559.28	563.18	351.14	432.53	674.59	457.25	555.41	579.04	395.18	532.74	348.71	842.36	426.57	629.35	194.36	583.07	236.21	532.74	341.51	536.45	493.56	647.07	808.0	412.0	249.73	450.94	521.76	575.03	595.34	483.38	273.37	486.75	629.35	941.27	607.87	432.53	473.41	713.11	493.56	289.02	444.72	753.83	332.14	669.92	397.93	287.01	559.28	466.88	532.74	583.07	500.46	656.11	438.59	389.72	454.09	395.18	525.39	518.15	395.18	748.61	441.64	400.71	267.73	616.37	500.46	802.41	713.11	457.25	341.51	358.54	514.56	0.0	0.0	135.24	132.44	275.28	423.61	291.04	400.71
