	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PWOO.0726.SM.2I3EB	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
NBPF15	483.38	251.48	78.89	236.21	255.0	155.5	94.01	181.28	62.12	145.02	490.14	301.33	145.02	255.0	295.11	713.11	379.04	97.36	603.67	796.86	638.15	934.76	353.59	320.8	373.81	392.44	796.86	551.56	688.78	543.96	1030.12	808.0	480.04	457.25	866.07	450.94	579.04	334.46	759.08	753.83	579.04	447.82	351.14	269.6	518.15	796.86	363.56	579.04	500.46	332.14	567.1	555.41	441.64	587.13	395.18	547.75	651.58	723.08	579.04	454.09	764.36	860.08	170.25	748.61	633.73
NOTCH2	155.5	146.03	77.25	237.86	127.89	85.22	127.0	132.44	104.42	82.29	139.07	281.09	147.06	285.03	209.84	334.46	202.66	229.72	961.07	796.86	607.87	1233.75	432.53	420.68	244.57	423.61	915.51	325.29	1051.79	253.23	753.83	1159.07	753.83	309.83	764.36	327.56	587.13	358.54	878.17	1183.45	341.51	181.28	412.0	540.19	921.88	921.88	361.04	866.07	890.44	194.36	660.68	830.75	327.56	579.04	353.59	769.69	612.11	579.04	616.37	381.68	295.11	1066.48	239.52	902.89	536.45
ORAI2	35.25	27.64	45.85	17.38	43.02	18.03	47.5	13.42	33.3	17.64	33.78	169.07	33.78	346.29	258.57	775.05	406.31	264.03	703.28	612.11	633.73	941.27	480.04	612.11	420.68	470.14	785.88	954.43	928.3	872.1	890.44	1111.82	769.69	698.41	728.11	490.14	341.51	665.29	748.61	808.0	1030.12	1388.16	457.25	620.67	915.51	674.59	571.05	728.11	748.61	463.65	693.58	872.1	656.11	603.67	336.79	775.05	518.15	642.59	866.07	417.77	1191.69	921.88	518.15	743.43	579.04
PARP4	848.22	237.86	237.86	295.11	366.09	224.97	320.8	279.14	297.17	108.14	373.81	381.68	153.34	954.43	447.82	603.67	466.88	242.88	1030.12	921.88	909.17	921.88	890.44	698.41	769.69	616.37	1001.93	368.65	995.0	503.95	1015.93	1059.11	748.61	444.72	1066.48	638.15	414.87	567.1	1104.13	878.17	791.35	441.64	848.22	708.18	915.51	954.43	638.15	947.83	1572.76	371.22	708.18	995.0	612.11	718.08	769.69	1059.11	825.0	1030.12	1331.57	688.78	638.15	1030.12	395.18	1313.23	785.88
PCDH18	4.21	10.08	18.97	10.08	14.24	10.96	10.55	3.2	14.67	6.78	8.13	29.91	5.87	35.5	253.23	81.71	55.1	37.59	231.32	185.11	57.49	74.06	118.43	97.36	67.12	34.02	201.25	45.53	112.77	96.01	105.89	277.2	152.28	19.97	111.21	78.34	44.57	40.36	145.02	131.51	92.05	88.88	63.45	152.28	161.02	119.26	39.79	358.54	135.24	48.18	72.52	57.49	73.54	90.77	68.07	166.73	76.71	175.07	144.01	178.77	141.02	127.0	66.65	161.02	95.34
PCDHAC1	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	1.25	10.55	0.0	8.19	3.76	12.0	27.64	34.51	15.56	99.43	11.64	19.68	2.16	16.03	40.36	7.28	29.91	4.74	84.04	32.59	22.43	6.41	45.85	14.35	8.51	2.94	41.52	56.68	11.73	6.89	16.51	21.94	44.89	8.71	7.46	17.64	19.39	2.53	32.82	30.78	2.84	31.0	14.67	48.18	26.1	27.05	31.45	15.22	11.82	44.25	10.63	27.44	20.71
PCDHAC2	0.0	0.24	0.6	0.62	2.03	0.57	0.24	0.0	0.26	0.0	0.28	1.73	6.21	23.42	6.21	14.78	8.19	21.94	71.0	56.68	59.13	182.55	21.63	48.87	7.4	36.79	134.3	13.72	70.51	8.38	157.68	100.13	85.82	14.24	88.88	15.8	31.45	16.63	80.01	201.25	31.22	13.42	34.26	62.12	142.01	57.49	19.82	47.5	61.25	8.19	66.65	112.77	9.13	55.49	29.48	121.79	60.82	59.97	81.14	19.11	28.86	85.82	23.59	69.52	31.45
PHF16	78.89	44.89	85.22	59.97	95.34	78.89	73.54	50.27	86.43	65.72	77.79	98.73	54.33	38.12	101.54	119.26	122.64	58.3	119.26	132.44	110.43	167.9	101.54	83.45	90.77	108.14	150.17	87.03	114.36	91.41	163.28	141.02	100.13	124.37	157.68	96.01	116.78	74.58	157.68	128.79	125.24	75.64	105.89	101.54	151.22	98.04	106.63	134.3	152.28	115.97	92.7	124.37	96.01	106.63	68.07	115.97	146.03	130.6	121.79	82.87	104.42	141.02	82.29	127.89	115.97
PHF3	237.86	111.99	186.4	242.88	165.57	62.56	199.85	112.77	127.0	163.28	217.27	206.94	58.3	197.09	271.48	551.56	457.25	223.41	463.65	493.56	420.68	591.22	305.55	336.79	368.65	343.89	514.56	343.89	532.74	307.69	563.18	507.46	432.53	358.54	514.56	397.93	426.57	303.44	490.14	599.49	363.56	275.28	316.37	417.77	500.46	521.76	343.89	591.22	540.19	258.57	454.09	497.0	351.14	392.44	373.81	412.0	473.41	466.88	441.64	325.29	470.14	555.41	353.59	595.34	409.15
PIK3C3	325.29	470.14	521.76	559.28	281.09	277.2	420.68	426.57	397.93	339.14	400.71	624.99	325.29	848.22	384.34	753.83	521.76	547.75	1104.13	941.27	947.83	1001.93	915.51	463.65	507.46	902.89	854.13	848.22	974.5	559.28	1127.35	884.29	1001.93	769.69	896.64	813.63	775.05	796.86	1081.39	928.3	595.34	830.75	759.08	860.08	813.63	848.22	684.02	780.44	1030.12	454.09	785.88	872.1	532.74	698.41	791.35	1001.93	884.29	708.18	1594.73	698.41	753.83	967.76	629.35	1044.52	733.19
PIK3R1	490.14	305.55	177.53	351.14	273.37	283.05	186.4	371.22	279.14	320.8	423.61	371.22	353.59	197.09	138.1	368.65	260.38	351.14	476.71	624.99	718.08	1594.73	346.29	193.01	265.87	248.0	559.28	301.33	1304.15	255.0	1001.93	633.73	463.65	234.57	551.56	242.88	532.74	409.15	954.43	954.43	599.49	341.51	493.56	620.67	738.29	470.14	361.04	674.59	718.08	312.0	656.11	981.29	373.81	460.44	348.71	392.44	579.04	497.0	450.94	363.56	1104.13	1487.87	281.09	660.68	497.0
PLCB4	0.0	4.98	15.34	2.84	2.89	5.41	8.85	0.92	7.57	0.48	5.59	21.94	0.0	17.38	70.01	323.03	193.01	26.1	384.34	114.36	164.42	808.0	146.03	96.01	567.1	217.27	182.55	486.75	579.04	463.65	616.37	260.38	223.41	368.65	262.2	529.06	320.8	206.94	307.69	603.67	571.05	229.72	108.14	145.02	420.68	299.25	264.03	108.9	229.72	232.94	403.5	251.48	507.46	134.3	85.22	316.37	239.52	150.17	297.17	156.59	351.14	808.0	159.9	351.14	172.65
PLCE1	11.3	26.28	28.86	7.22	14.35	17.25	14.78	6.78	15.68	13.83	17.38	47.84	4.54	73.03	119.26	423.61	209.84	269.6	173.85	231.32	149.12	438.59	96.01	191.67	271.48	156.59	159.9	115.16	108.14	409.15	361.04	144.01	159.9	332.14	273.37	85.82	684.02	136.19	356.05	204.07	209.84	186.4	151.22	90.77	232.94	361.04	231.32	194.36	204.07	48.87	202.66	135.24	49.56	224.97	93.35	111.21	102.97	176.29	134.3	265.87	728.11	256.78	215.77	323.03	173.85
PLK2	193.01	273.37	480.04	206.94	293.07	237.86	463.65	226.54	339.14	140.04	231.32	438.59	260.38	1477.58	441.64	830.75	842.36	620.67	733.19	536.45	753.83	759.08	854.13	361.04	400.71	241.19	1191.69	500.46	728.11	785.88	2032.85	825.0	733.19	348.71	738.29	819.3	603.67	387.02	1583.71	915.51	529.06	563.18	397.93	403.5	1001.93	529.06	679.29	764.36	620.67	698.41	379.04	559.28	500.46	555.41	507.46	665.29	633.73	457.25	872.1	896.64	1037.29	457.25	1044.52	669.92	400.71
PPP1R9A	1.43	1.08	10.08	1.6	16.63	7.22	2.71	0.99	6.67	0.56	5.11	6.11	1.69	27.64	13.93	74.06	136.19	142.01	118.43	183.82	164.42	205.5	112.77	60.82	189.02	111.21	119.26	81.71	183.82	53.57	164.42	163.28	153.34	83.45	182.55	114.36	72.52	98.73	181.28	147.06	72.52	49.91	92.05	108.9	156.59	113.56	95.34	183.82	212.78	100.13	148.09	190.34	133.36	130.6	114.36	120.1	161.02	149.12	144.01	88.26	79.45	237.86	56.28	178.77	206.94
PTPN9	197.09	136.19	173.85	147.06	187.71	143.01	191.67	120.1	167.9	126.12	165.57	318.57	144.01	251.48	358.54	466.88	497.0	379.04	480.04	426.57	438.59	607.87	435.55	426.57	325.29	825.0	555.41	555.41	633.73	323.03	607.87	612.11	540.19	1030.12	591.22	612.11	486.75	463.65	511.0	743.43	483.38	384.34	387.02	483.38	500.46	500.46	395.18	500.46	540.19	493.56	551.56	536.45	703.28	435.55	490.14	503.95	486.75	473.41	514.56	450.94	559.28	563.18	591.22	551.56	376.41
PTPRE	34.26	34.26	114.36	10.71	46.5	31.45	48.52	5.11	45.21	12.09	21.16	195.72	17.77	497.0	323.03	232.94	169.07	204.07	1199.98	836.53	878.17	1268.46	866.07	656.11	57.49	476.71	1066.48	93.35	1242.34	158.79	915.51	1175.27	1159.07	120.94	1073.91	152.28	147.06	429.54	995.0	1104.13	193.01	148.09	802.41	819.3	1111.82	684.02	647.07	1051.79	1447.15	102.97	642.59	1081.39	102.97	1119.56	536.45	1151.06	961.07	1073.91	954.43	651.58	384.34	1183.45	149.12	1073.91	1081.39
RAB23	51.35	31.0	30.34	45.21	22.43	29.91	35.76	73.54	38.95	27.44	22.75	71.0	11.47	65.26	136.19	209.84	111.99	49.21	351.14	267.73	384.34	503.95	251.48	112.77	67.59	189.02	361.04	136.19	287.01	106.63	629.35	373.81	371.22	212.78	291.04	221.86	325.29	158.79	426.57	473.41	119.26	173.85	193.01	253.23	287.01	171.45	69.03	246.28	351.14	172.65	271.48	381.68	229.72	305.55	169.07	305.55	466.88	249.73	260.38	232.94	147.06	400.71	109.66	318.57	323.03
RAB36	1.64	1.33	4.1	0.58	1.89	1.73	3.2	6.01	1.38	1.04	0.6	12.27	10.39	285.03	17.38	214.27	133.36	112.77	273.37	309.83	251.48	454.09	273.37	381.68	176.29	267.73	318.57	249.73	332.14	221.86	417.77	329.84	246.28	164.42	271.48	224.97	237.86	220.32	346.29	395.18	265.87	316.37	220.32	248.0	334.46	346.29	172.65	289.02	409.15	92.05	277.2	267.73	363.56	363.56	215.77	312.0	256.78	409.15	258.57	287.01	256.78	318.57	332.14	339.14	603.67
RASA1	101.54	89.51	171.45	120.94	115.16	55.1	109.66	136.19	100.13	106.63	87.03	214.27	75.64	153.34	145.02	703.28	463.65	412.0	1073.91	967.76	1051.79	1519.15	802.41	406.31	579.04	633.73	1119.56	536.45	1277.29	429.54	1447.15	941.27	1015.93	669.92	1015.93	503.95	579.04	688.78	1208.34	1066.48	579.04	366.09	607.87	813.63	1437.15	1008.9	780.44	1030.12	1331.57	417.77	988.12	1304.15	551.56	808.0	780.44	1175.27	1051.79	947.83	1044.52	612.11	688.78	1605.83	361.04	1216.75	1066.48
RBMS2	17.51	36.27	167.9	54.33	45.53	22.26	38.95	4.31	31.45	20.86	17.77	126.12	31.22	175.07	239.52	473.41	220.32	246.28	579.04	518.15	511.0	954.43	423.61	381.68	173.85	429.54	629.35	287.01	607.87	371.22	902.89	551.56	551.56	361.04	575.03	392.44	624.99	358.54	656.11	854.13	420.68	289.02	392.44	379.04	656.11	551.56	392.44	536.45	571.05	198.47	473.41	579.04	307.69	417.77	361.04	435.55	450.94	454.09	435.55	441.64	521.76	769.69	371.22	665.29	642.59
RELL1	23.59	23.59	16.27	39.5	23.93	16.39	18.97	10.24	18.84	12.45	22.75	91.41	14.56	101.54	255.0	99.43	511.0	480.04	140.04	187.71	125.24	406.31	85.22	100.83	244.57	66.18	299.25	84.63	178.77	71.5	444.72	218.79	175.07	90.77	253.23	242.88	246.28	109.66	299.25	384.34	131.51	40.07	48.18	129.69	190.34	150.17	29.06	217.27	172.65	248.0	154.42	215.77	400.71	88.26	47.5	163.28	129.69	134.3	76.71	84.04	118.43	267.73	137.14	249.73	146.03
RIN2	49.91	41.22	99.43	71.5	100.83	62.56	76.17	20.86	62.56	10.39	52.82	202.66	73.03	316.37	226.54	368.65	503.95	438.59	633.73	529.06	575.03	591.22	547.75	363.56	327.56	366.09	587.13	273.37	688.78	299.25	713.11	638.15	529.06	264.03	507.46	414.87	417.77	432.53	738.29	607.87	373.81	256.78	228.13	493.56	656.11	595.34	559.28	547.75	575.03	353.59	486.75	728.11	397.93	540.19	229.72	674.59	540.19	486.75	543.96	444.72	438.59	521.76	368.65	563.18	480.04
SAMD4A	135.24	381.68	153.34	106.63	229.72	450.94	241.19	195.72	105.15	194.36	128.79	318.57	358.54	78.89	281.09	603.67	187.71	275.28	693.58	540.19	265.87	748.61	483.38	246.28	194.36	260.38	529.06	341.51	483.38	447.82	551.56	547.75	389.72	460.44	497.0	249.73	289.02	262.2	417.77	470.14	429.54	351.14	309.83	435.55	830.75	435.55	432.53	633.73	728.11	275.28	275.28	423.61	231.32	295.11	343.89	275.28	511.0	624.99	518.15	287.01	684.02	583.07	277.2	647.07	583.07
SLC12A4	438.59	571.05	341.51	215.77	426.57	379.04	226.54	441.64	190.34	366.09	204.07	514.56	299.25	733.19	366.09	1044.52	947.83	872.1	896.64	830.75	884.29	1331.57	995.0	1037.29	521.76	775.05	791.35	698.41	921.88	1359.57	1313.23	1135.2	1001.93	866.07	1044.52	1066.48	1023.0	961.07	1216.75	967.76	1191.69	1331.57	1023.0	830.75	1044.52	1143.1	543.96	759.08	796.86	878.17	775.05	1059.11	947.83	825.0	679.29	728.11	660.68	728.11	802.41	890.44	1322.37	954.43	1378.57	967.76	1119.56
SLC12A8	63.89	171.45	177.53	108.9	275.28	110.43	101.54	120.94	50.27	177.53	320.8	497.0	54.33	412.0	334.46	316.37	273.37	836.53	1191.69	1030.12	1151.06	1350.18	1313.23	854.13	316.37	567.1	775.05	728.11	1268.46	536.45	825.0	1023.0	1127.35	529.06	961.07	563.18	1059.11	941.27	1991.0	753.83	579.04	1295.13	988.12	1208.34	1159.07	454.09	842.36	603.67	1286.18	400.71	518.15	656.11	660.68	753.83	493.56	1030.12	1605.83	1119.56	1119.56	571.05	802.41	884.29	941.27	1331.57	967.76
SLFN12	11.21	13.72	23.25	13.52	19.11	9.7	17.51	5.23	27.84	3.17	6.46	57.49	7.75	171.45	88.26	205.5	92.05	92.7	156.59	183.82	164.42	201.25	132.44	66.18	78.34	52.08	246.28	113.56	145.02	120.94	299.25	158.79	142.01	109.66	165.57	114.36	72.52	122.64	158.79	305.55	106.63	78.89	106.63	154.42	201.25	218.79	169.07	135.24	152.28	55.1	119.26	173.85	90.14	161.02	84.04	211.31	104.42	140.04	190.34	94.67	185.11	152.28	73.03	208.38	124.37
SLITRK4	0.8	0.84	2.01	0.0	3.66	2.29	0.84	0.0	0.48	0.66	0.0	13.42	0.0	0.1	5.77	117.6	121.79	13.32	47.17	136.19	55.49	59.13	39.79	57.08	47.5	17.9	50.98	22.43	39.5	42.41	33.78	38.95	41.52	53.95	56.28	28.45	12.74	27.84	165.57	27.64	59.13	318.57	33.06	25.72	61.25	55.1	105.89	35.25	37.85	44.57	84.63	61.25	41.22	13.42	27.84	42.71	76.17	31.67	38.95	43.94	56.28	140.04	43.63	64.8	42.41
SMURF2	81.14	49.56	67.12	38.95	37.05	36.53	67.12	43.94	48.52	40.64	68.07	132.44	21.94	132.44	248.0	260.38	295.11	176.29	412.0	327.56	363.56	591.22	297.17	237.86	253.23	260.38	457.25	201.25	381.68	217.27	435.55	514.56	395.18	273.37	450.94	258.57	285.03	208.38	543.96	438.59	231.32	146.03	291.04	358.54	423.61	343.89	314.17	389.72	476.71	201.25	323.03	361.04	301.33	325.29	180.02	366.09	514.56	423.61	392.44	241.19	371.22	403.5	191.67	497.0	341.51
TANC1	48.87	58.71	105.89	49.91	115.97	62.56	50.63	18.56	73.03	50.27	50.98	164.42	49.21	205.5	285.03	395.18	371.22	358.54	612.11	536.45	769.69	1467.37	723.08	251.48	255.0	536.45	638.15	253.23	884.29	358.54	1388.16	738.29	651.58	334.46	848.22	387.02	329.84	341.51	1096.5	764.36	486.75	217.27	665.29	728.11	934.76	518.15	409.15	660.68	698.41	215.77	591.22	665.29	307.69	693.58	318.57	723.08	769.69	842.36	830.75	343.89	688.78	753.83	299.25	808.0	620.67
TEAD1	209.84	106.63	74.06	189.02	46.5	90.14	60.82	98.73	110.43	59.97	90.14	127.0	59.55	77.25	242.88	271.48	295.11	285.03	503.95	486.75	371.22	748.61	343.89	244.57	368.65	242.88	543.96	244.57	500.46	194.36	620.67	616.37	454.09	287.01	607.87	339.14	194.36	218.79	651.58	647.07	297.17	136.19	314.17	395.18	563.18	426.57	295.11	511.0	563.18	214.27	397.93	493.56	226.54	409.15	260.38	457.25	567.1	507.46	429.54	264.03	289.02	540.19	218.79	525.39	511.0
TENM4	0.0	0.38	1.5	7.88	0.0	0.38	0.74	0.0	0.0	0.0	0.42	8.99	0.45	55.49	9.34	10.47	61.25	55.1	88.26	16.03	55.89	118.43	39.79	28.24	76.17	50.98	45.85	36.27	94.67	4.82	124.37	126.12	45.85	5.02	78.89	57.49	19.11	24.63	85.82	119.26	4.82	7.82	37.32	64.34	87.65	30.78	4.03	28.65	38.4	35.5	85.22	59.55	73.03	38.67	35.0	40.36	50.98	13.22	26.47	29.7	28.04	91.41	10.79	75.11	37.05
TGFB2	11.55	38.4	26.86	8.0	21.16	22.75	24.81	4.7	18.97	33.3	9.48	75.11	10.88	77.25	130.6	78.34	31.9	111.21	178.77	169.07	147.06	802.41	204.07	73.54	48.52	74.58	543.96	45.53	214.27	265.87	764.36	173.85	329.84	31.45	301.33	75.64	176.29	65.72	297.17	599.49	138.1	61.25	395.18	101.54	503.95	161.02	40.93	305.55	363.56	68.07	113.56	244.57	148.09	101.54	69.52	209.84	115.16	131.51	82.87	190.34	236.21	301.33	61.25	373.81	67.12
TIGD4	2.92	1.38	0.55	3.32	0.57	0.0	0.53	0.85	0.0	0.41	1.53	0.49	0.0	11.91	5.36	19.68	8.19	0.41	6.46	8.32	12.55	12.74	4.17	1.95	6.31	4.13	8.92	9.34	10.96	12.55	16.39	11.21	7.4	11.55	7.28	5.63	7.28	9.2	7.88	8.13	17.64	4.39	3.92	6.46	6.57	9.2	7.4	10.0	12.36	5.96	6.67	10.63	10.47	10.16	6.21	7.94	4.78	8.71	11.82	1.93	13.12	7.11	10.16	9.63	5.23
TMEM229B	12.36	31.67	32.36	3.44	20.56	21.47	34.26	3.17	29.7	19.11	16.88	68.07	13.72	60.82	158.79	224.97	176.29	59.97	153.34	150.17	195.72	133.36	111.99	146.03	199.85	95.34	244.57	99.43	134.3	228.13	229.72	332.14	106.63	163.28	187.71	316.37	264.03	206.94	242.88	209.84	447.82	381.68	215.77	209.84	237.86	281.09	157.68	129.69	129.69	616.37	147.06	173.85	521.76	144.01	43.63	177.53	103.69	177.53	96.01	182.55	389.72	161.02	299.25	244.57	165.57
TMEM43	366.09	387.02	309.83	318.57	206.94	215.77	255.0	211.31	307.69	327.56	267.73	651.58	232.94	703.28	371.22	915.51	728.11	934.76	2573.36	2119.22	2090.03	2835.7	2119.22	2004.85	647.07	2090.03	2319.15	775.05	2335.28	830.75	2209.26	1923.14	2485.67	854.13	2434.5	665.29	1832.01	1437.15	2119.22	2451.44	954.43	698.41	2209.26	1870.53	2178.83	1909.85	1819.35	2468.49	2209.26	785.88	2119.22	2224.63	665.29	1794.29	1561.89	2319.15	2178.83	1977.24	2303.12	1844.76	1477.58	2400.97	748.61	2133.97	2018.8
TRIB2	555.41	151.22	265.87	206.94	175.07	129.69	221.86	51.71	159.9	44.89	63.45	403.5	153.34	1096.5	647.07	260.38	400.71	612.11	703.28	748.61	470.14	426.57	559.28	441.64	332.14	253.23	723.08	253.23	559.28	540.19	435.55	848.22	728.11	239.52	638.15	353.59	305.55	248.0	563.18	713.11	314.17	253.23	414.87	633.73	780.44	571.05	395.18	579.04	543.96	341.51	356.05	476.71	389.72	559.28	323.03	518.15	429.54	343.89	638.15	563.18	376.41	279.14	316.37	547.75	395.18
TRIM61	0.0	0.88	1.33	6.73	0.0	0.88	1.68	0.79	0.91	0.0	0.0	1.57	0.0	10.16	3.82	21.01	33.06	1.45	20.86	21.01	33.06	28.24	17.38	13.32	19.53	20.41	40.36	32.59	25.17	16.03	48.18	27.64	12.36	47.17	29.7	23.42	20.41	22.59	18.03	17.9	14.35	27.84	13.62	23.25	22.43	34.02	33.06	15.91	33.78	34.26	20.11	39.22	9.78	23.93	16.27	24.99	22.59	6.41	22.1	11.73	47.84	31.0	16.51	30.78	10.96
UBFD1	444.72	343.89	476.71	514.56	457.25	226.54	525.39	454.09	253.23	490.14	329.84	366.09	251.48	371.22	343.89	698.41	579.04	514.56	890.44	733.19	629.35	921.88	693.58	642.59	483.38	703.28	819.3	470.14	728.11	567.1	947.83	830.75	819.3	802.41	825.0	507.46	500.46	563.18	836.53	791.35	651.58	688.78	698.41	665.29	836.53	713.11	703.28	708.18	830.75	555.41	688.78	808.0	842.36	651.58	642.59	733.19	791.35	796.86	656.11	571.05	813.63	769.69	525.39	802.41	878.17
UCP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	1.57	0.69	0.0	0.66	0.62	3.96	0.59	1.41	0.0	0.0	0.16	0.22	0.22	0.56	3.76	2.86	2.1	2.63	0.6	4.5	2.25	1.01	0.0	0.6	1.16	0.16	0.0	1.0	0.71	2.2	0.96	0.12	0.17	0.51	1.19	0.55	0.56	1.97	1.04	0.87	1.93	0.0	0.59	0.0	3.89	0.52	1.43	1.27	3.08	0.0
ULBP3	1.55	0.6	1.71	26.67	2.2	0.95	1.64	0.53	3.82	4.78	2.23	11.3	0.0	43.94	59.97	176.29	140.04	197.09	87.03	62.56	90.14	267.73	33.3	34.02	69.52	17.51	125.24	34.51	68.07	31.67	187.71	128.79	67.59	71.5	98.73	46.18	35.25	41.52	161.02	92.05	105.89	47.84	24.63	49.91	73.54	53.57	46.18	57.08	70.51	87.65	81.71	81.71	63.45	88.88	37.85	71.0	25.91	65.26	47.17	40.36	218.79	59.13	70.51	67.12	80.01
UNC13C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.4	0.0	0.0	0.0	0.0	1.25	0.33	13.12	6.01	5.92	3.76	2.97	2.46	7.0	2.12	0.58	1.17	4.82	3.53	1.39	6.11	0.0	6.41	4.03	8.0	1.6	18.16	4.28	3.76	0.87	4.86	13.52	1.19	5.23	3.44	0.0	9.7	11.13	3.79	3.79	4.58	2.46	3.63	9.13	0.35	4.17	2.23	1.55	2.1	1.89	0.24	3.41	10.08	11.3	2.23	4.28	0.61
UTRN	173.85	96.68	104.42	107.38	120.94	48.87	67.59	24.63	71.5	68.07	66.18	361.04	53.95	138.1	157.68	1216.75	842.36	616.37	954.43	1073.91	791.35	1883.54	429.54	536.45	473.41	500.46	1407.55	599.49	1023.0	669.92	1844.76	981.29	884.29	796.86	1250.98	902.89	909.17	454.09	1023.0	1457.23	684.02	460.44	567.1	583.07	1331.57	1081.39	532.74	1104.13	909.17	603.67	928.3	928.3	836.53	651.58	595.34	954.43	651.58	961.07	836.53	536.45	915.51	1369.04	616.37	1268.46	698.41
VPS13C	389.72	137.14	124.37	212.78	198.47	132.44	94.01	105.89	125.24	90.77	169.07	406.31	77.79	215.77	728.11	559.28	571.05	567.1	902.89	825.0	684.02	753.83	642.59	297.17	470.14	575.03	1030.12	559.28	743.43	567.1	878.17	791.35	708.18	723.08	872.1	575.03	698.41	595.34	665.29	785.88	753.83	529.06	595.34	713.11	813.63	909.17	579.04	825.0	571.05	579.04	769.69	785.88	559.28	872.1	579.04	974.5	961.07	967.76	954.43	543.96	633.73	764.36	595.34	896.64	836.53
WDFY1	223.41	209.84	166.73	163.28	149.12	151.22	111.21	115.16	183.82	79.45	180.02	361.04	137.14	236.21	536.45	480.04	363.56	403.5	540.19	555.41	583.07	791.35	414.87	289.02	256.78	441.64	915.51	409.15	603.67	463.65	723.08	866.07	591.22	555.41	698.41	536.45	447.82	426.57	612.11	909.17	547.75	426.57	486.75	511.0	591.22	656.11	454.09	629.35	547.75	273.37	507.46	708.18	329.84	518.15	417.77	703.28	642.59	723.08	497.0	366.09	521.76	587.13	450.94	759.08	529.06
