	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QJ3.1926.SM.5QGQM	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.ZYVF.2526.SM.5E45C	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.Y111.1826.SM.4SOIR	GTEX.VUSG.1026.SM.4KKZN	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.NPJ8.2026.SM.3TW91	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYY3.1626.SM.5EGJF	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A4NG.01A.11R.A27V.07	GTEX.11ZUS.2526.SM.59872	GTEX.1269C.0626.SM.5FQSS	GTEX.13O3O.1826.SM.5IFGW	GTEX.R55D.0926.SM.3GAEU	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF
TRAF1	117.6	104.42	277.2	323.03	339.14	264.03	316.37	265.87	457.25	376.41	248.0	511.0	473.41	389.72	470.14	303.44	379.04	199.85	426.57	293.07	23.25	29.7	39.79	30.78	30.78	26.28	68.07	34.02	53.19	120.1	563.18	209.84	84.04	114.36	84.04	65.72	71.0	58.3	81.14	18.7	182.55	43.02	92.7	150.17	90.77	55.89	79.45	68.55	55.49	218.79	183.82	85.22
TRIM3	583.07	529.06	1015.93	928.3	1096.5	759.08	842.36	995.0	1135.2	934.76	878.17	1216.75	1233.75	836.53	860.08	947.83	995.0	785.88	1143.1	961.07	151.22	71.5	115.97	68.55	169.07	143.01	145.02	148.09	158.79	273.37	607.87	460.44	110.43	217.27	143.01	206.94	291.04	87.03	163.28	163.28	373.81	480.04	417.77	187.71	293.07	172.65	244.57	221.86	277.2	490.14	392.44	228.13
TSPYL2	536.45	1015.93	2133.97	2645.74	2451.44	2287.2	2997.45	2573.36	2119.22	2997.45	4450.27	2591.27	2855.44	7966.99	3794.3	2855.44	2777.33	1936.53	2609.3	1977.24	149.12	83.45	86.43	332.14	244.57	49.56	249.73	277.2	312.0	743.43	1561.89	1651.0	493.56	603.67	146.03	122.64	173.85	264.03	395.18	414.87	2835.7	221.86	507.46	813.63	612.11	470.14	228.13	260.38	384.34	1447.15	500.46	591.22
TTLL7	29.27	71.0	507.46	312.0	291.04	262.2	547.75	318.57	389.72	624.99	423.61	400.71	713.11	334.46	400.71	348.71	629.35	217.27	660.68	497.0	8.19	3.69	3.96	0.89	3.41	5.77	4.1	2.94	9.41	76.71	143.01	38.4	1.31	43.63	47.84	25.35	18.84	6.16	51.35	5.19	37.32	30.12	111.21	85.22	62.56	13.22	28.65	40.36	29.7	190.34	624.99	130.6
TULP2	11.91	6.26	41.81	2.73	2.32	1.57	9.41	11.91	19.82	12.36	5.5	7.51	46.18	16.63	4.5	21.47	10.79	2.56	9.78	5.73	3.56	0.0	0.96	0.42	0.95	0.87	0.8	0.47	1.46	0.0	0.85	4.06	2.51	2.51	0.0	0.0	0.53	0.0	0.72	2.48	0.0	0.0	9.7	0.68	1.99	1.38	0.0	0.0	0.0	1.2	3.35	8.32
UBAP1L	39.22	37.59	90.77	128.79	146.03	102.25	90.77	101.54	142.01	129.69	88.88	141.02	128.79	228.13	193.01	98.73	111.21	93.35	161.02	163.28	14.78	6.11	11.47	40.93	28.24	17.13	10.79	12.83	36.01	31.22	122.64	57.08	24.99	47.5	30.12	22.75	23.42	34.26	31.67	38.67	52.45	15.22	39.22	21.78	28.86	14.24	27.84	35.5	60.82	39.22	46.18	36.27
UBQLNL	9.78	6.01	13.62	41.52	34.02	53.19	38.12	21.63	42.11	50.27	40.07	49.21	49.91	36.79	17.9	32.13	20.86	27.64	38.4	41.22	0.48	0.0	0.0	0.45	1.48	0.0	2.07	1.48	1.01	9.93	36.01	30.56	2.16	7.11	21.16	3.59	1.41	18.56	5.36	0.82	17.9	8.58	2.84	3.76	5.02	3.26	3.89	4.06	1.89	9.34	19.25	2.63
UCP3	21.63	37.32	53.19	58.3	58.3	48.52	26.67	60.39	90.77	73.03	104.42	121.79	90.14	191.67	26.28	67.59	80.57	43.02	77.79	74.58	7.34	32.59	4.46	17.51	21.16	10.24	13.52	30.34	54.72	20.41	62.12	44.89	18.7	16.75	16.51	4.66	5.11	8.25	6.78	5.82	71.0	26.1	30.56	14.35	29.27	9.06	27.44	6.94	16.15	11.3	15.45	17.77
VAMP1	269.6	249.73	579.04	679.29	1175.27	595.34	775.05	603.67	988.12	738.29	921.88	1088.92	1295.13	769.69	656.11	909.17	769.69	507.46	848.22	830.75	71.0	57.49	108.9	67.12	82.29	34.26	54.33	49.21	86.43	101.54	536.45	151.22	55.1	126.12	198.47	92.7	253.23	125.24	94.01	26.1	341.51	78.89	239.52	256.78	61.25	65.72	123.5	94.01	94.67	332.14	214.27	105.89
WDR27	466.88	287.01	981.29	954.43	981.29	813.63	733.19	866.07	1151.06	1175.27	1417.35	1151.06	974.5	753.83	967.76	860.08	1104.13	591.22	1268.46	738.29	45.85	94.01	31.67	121.79	76.17	115.97	52.45	91.41	195.72	185.11	909.17	624.99	66.65	285.03	198.47	83.45	142.01	137.14	120.94	46.18	211.31	361.04	343.89	381.68	532.74	220.32	201.25	223.41	223.41	275.28	205.5	159.9
YJEFN3	218.79	111.99	329.84	500.46	307.69	384.34	463.65	366.09	854.13	896.64	454.09	941.27	559.28	1498.22	447.82	351.14	473.41	242.88	525.39	470.14	44.25	17.38	29.7	57.89	55.89	36.53	62.56	49.91	75.64	42.71	348.71	84.63	48.52	75.64	94.01	33.54	17.51	44.57	80.57	32.13	47.84	114.36	187.71	125.24	82.87	12.18	70.01	18.7	44.57	42.11	76.71	42.41
ZNF337	191.67	242.88	860.08	629.35	567.1	444.72	830.75	688.78	1199.98	497.0	733.19	1540.37	1313.23	1088.92	915.51	981.29	1096.5	624.99	1088.92	785.88	187.71	84.63	118.43	215.77	204.07	120.94	214.27	193.01	253.23	299.25	802.41	529.06	138.1	193.01	269.6	65.72	201.25	114.36	109.66	84.63	444.72	104.42	480.04	406.31	830.75	120.1	133.36	99.43	111.21	176.29	159.9	107.38
ZNF397	343.89	262.2	441.64	438.59	511.0	476.71	332.14	432.53	438.59	429.54	379.04	483.38	551.56	791.35	480.04	371.22	507.46	208.38	759.08	540.19	256.78	211.31	251.48	275.28	371.22	318.57	356.05	253.23	273.37	241.19	483.38	226.54	183.82	279.14	223.41	103.69	162.14	62.56	120.1	36.79	208.38	273.37	208.38	361.04	503.95	173.85	277.2	182.55	159.9	265.87	336.79	182.55
ZNF471	26.47	95.34	183.82	217.27	220.32	183.82	231.32	248.0	273.37	279.14	255.0	237.86	373.81	389.72	183.82	228.13	246.28	148.09	470.14	239.52	36.79	43.63	28.65	53.19	60.39	67.12	35.0	90.77	38.12	37.59	79.45	111.21	20.71	102.25	25.54	1.07	1.81	9.85	11.13	3.26	70.01	7.0	42.41	9.41	29.7	12.74	31.67	38.95	13.72	126.12	45.85	25.35
ZNF630	34.75	63.45	81.71	114.36	112.77	70.01	81.71	108.9	150.17	157.68	134.3	89.51	136.19	137.14	133.36	66.18	118.43	80.01	138.1	104.42	19.25	24.99	25.54	65.72	55.49	30.34	56.28	66.18	57.49	50.63	74.58	83.45	63.0	48.87	22.59	8.51	6.26	5.96	33.78	0.0	71.5	32.13	44.57	68.55	71.5	40.93	105.89	84.04	63.89	100.83	75.11	62.56
ZNF83	791.35	698.41	2956.17	3235.01	1977.24	2133.97	3081.75	3103.19	4388.98	1806.78	2555.58	5219.6	2573.36	4802.93	3540.14	3103.19	3515.68	1304.15	3257.52	2148.82	366.09	236.21	314.17	555.41	532.74	403.5	281.09	454.09	830.75	1001.93	4869.99	1685.71	151.22	915.51	974.5	397.93	57.08	142.01	232.94	44.25	728.11	463.65	1001.93	981.29	1617.0	279.14	429.54	297.17	248.0	738.29	529.06	232.94
ZNF879	22.26	44.57	40.36	42.71	30.56	72.52	20.11	51.35	61.68	77.79	54.33	109.66	111.21	142.01	24.46	47.5	78.34	28.24	147.06	60.39	10.71	14.35	16.88	22.26	25.91	16.03	11.64	22.26	7.82	55.49	60.82	51.71	7.11	42.11	29.48	11.55	2.12	22.1	27.64	9.06	17.9	3.63	33.54	20.41	15.68	7.57	69.03	28.04	13.83	27.44	51.35	40.64
ZRSR2	215.77	297.17	460.44	480.04	514.56	612.11	559.28	473.41	802.41	435.55	500.46	896.64	532.74	497.0	591.22	441.64	543.96	450.94	896.64	409.15	291.04	239.52	273.37	208.38	441.64	242.88	303.44	379.04	343.89	450.94	775.05	454.09	157.68	236.21	358.54	163.28	122.64	112.77	417.77	180.02	718.08	379.04	836.53	224.97	486.75	157.68	193.01	145.02	255.0	351.14	283.05	237.86
ZSCAN30	190.34	153.34	348.71	334.46	423.61	320.8	309.83	361.04	514.56	305.55	450.94	651.58	575.03	476.71	397.93	417.77	486.75	253.23	599.49	429.54	117.6	126.12	120.94	164.42	164.42	143.01	170.25	149.12	189.02	120.94	460.44	226.54	155.5	264.03	148.09	38.12	84.63	82.87	65.72	11.38	271.48	122.64	121.79	236.21	295.11	75.64	144.01	141.02	105.15	170.25	139.07	112.77
ZSCAN9	329.84	285.03	540.19	457.25	441.64	361.04	323.03	432.53	563.18	343.89	791.35	571.05	447.82	599.49	293.07	483.38	629.35	353.59	486.75	432.53	124.37	127.0	148.09	118.43	148.09	157.68	224.97	158.79	195.72	239.52	381.68	301.33	173.85	161.02	138.1	17.51	301.33	103.69	193.01	73.54	251.48	151.22	111.21	64.34	293.07	147.06	157.68	132.44	143.01	173.85	172.65	144.01
ZSWIM8	1769.57	1832.01	4836.35	4512.4	4972.34	3614.55	4239.45	3103.19	4095.0	4704.07	6983.79	4769.75	4543.8	5594.3	3419.52	3349.13	4972.34	3081.75	3820.7	3847.29	1561.89	1628.26	1216.75	1001.93	1066.48	1896.65	902.89	1233.75	1159.07	2303.12	3325.99	3060.45	1605.83	2193.99	2855.44	2351.53	2915.45	1909.85	2701.35	1697.45	2224.63	1437.15	988.12	1781.89	1175.27	791.35	1529.73	1909.85	1388.16	2224.63	2090.03	1331.57
