	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.DK.A3WW.01A.22R.A23N.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.MT.A67D.01A.31R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7380.01A.11R.2016.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A39Y.01A.11R.A213.07
SLC30A4	50.27	46.18	79.45	23.93	56.28	84.04	61.25	43.02	136.19	106.63	37.05	19.25	63.89	17.13	58.3	67.59	61.68	129.69	141.02	69.03	87.65	82.29	120.94	127.0	118.43	68.55	35.0	57.08	18.56	119.26	60.39	93.35	79.45	101.54	33.54	158.79	107.38	186.4	55.1	183.82	85.22	14.14	33.3	22.75	60.82	164.42	125.24	97.36	91.41	46.18	146.03	147.06	154.42	46.84	50.98	156.59	120.1	115.97	82.29	127.89	139.07	43.02	94.67	76.17	113.56	56.28	81.14	97.36	47.17	135.24	111.21	40.36	78.89	57.49	115.16	56.28	177.53	123.5	6.26
SMC1A	234.57	228.13	309.83	183.82	158.79	155.5	567.1	271.48	1304.15	271.48	813.63	693.58	518.15	258.57	420.68	271.48	500.46	2485.67	1477.58	249.73	532.74	595.34	872.1	1015.93	423.61	819.3	466.88	232.94	1030.12	414.87	149.12	164.42	511.0	507.46	303.44	848.22	1225.22	743.43	457.25	1378.57	376.41	423.61	215.77	182.55	854.13	1417.35	341.51	529.06	1388.16	281.09	1066.48	860.08	1066.48	301.33	381.68	1819.35	1073.91	981.29	480.04	848.22	1111.82	902.89	961.07	368.65	1313.23	607.87	872.1	830.75	212.78	368.65	915.51	384.34	603.67	954.43	1051.79	423.61	1208.34	392.44	90.77
SMCR8	18.97	3.72	8.85	7.4	5.36	5.23	86.43	15.56	389.72	26.47	32.82	18.56	33.78	6.73	12.64	70.01	26.86	279.14	246.28	25.17	92.05	90.77	124.37	170.25	50.63	126.12	39.5	29.27	115.16	120.1	33.78	75.64	64.34	82.87	32.36	193.01	241.19	182.55	70.01	265.87	66.18	80.57	24.99	54.72	167.9	316.37	59.55	58.71	195.72	16.63	271.48	223.41	127.89	35.5	43.94	327.56	125.24	253.23	79.45	133.36	214.27	144.01	115.16	20.26	134.3	111.21	118.43	70.51	22.1	100.83	130.6	32.82	74.58	132.44	303.44	82.87	205.5	43.94	15.34
SP1	253.23	121.79	255.0	299.25	279.14	387.02	684.02	406.31	1388.16	1437.15	547.75	303.44	638.15	273.37	651.58	438.59	356.05	728.11	848.22	264.03	426.57	529.06	441.64	854.13	358.54	536.45	303.44	341.51	412.0	450.94	334.46	400.71	346.29	432.53	486.75	624.99	748.61	693.58	450.94	599.49	353.59	297.17	267.73	285.03	503.95	808.0	483.38	420.68	591.22	224.97	693.58	688.78	759.08	329.84	381.68	928.3	503.95	743.43	476.71	688.78	1008.9	693.58	368.65	320.8	890.44	406.31	521.76	543.96	273.37	420.68	616.37	454.09	507.46	490.14	796.86	389.72	872.1	301.33	144.01
TAB3	70.01	41.52	148.09	100.13	79.45	77.79	147.06	99.43	392.44	307.69	154.42	108.9	121.79	75.64	132.44	87.03	199.85	265.87	217.27	95.34	208.38	244.57	212.78	180.02	114.36	336.79	120.1	80.57	189.02	201.25	102.25	289.02	202.66	185.11	79.45	204.07	336.79	249.73	183.82	244.57	170.25	142.01	53.19	67.12	113.56	279.14	214.27	209.84	158.79	87.03	178.77	309.83	249.73	152.28	140.04	309.83	348.71	332.14	149.12	253.23	269.6	239.52	208.38	82.87	264.03	132.44	146.03	246.28	125.24	242.88	251.48	209.84	147.06	371.22	271.48	61.68	255.0	157.68	88.88
TRAPPC10	202.66	155.5	166.73	228.13	132.44	112.77	191.67	221.86	476.71	197.09	204.07	195.72	329.84	149.12	343.89	132.44	228.13	420.68	339.14	178.77	248.0	267.73	279.14	262.2	118.43	283.05	265.87	119.26	307.69	381.68	224.97	309.83	332.14	325.29	194.36	264.03	454.09	291.04	248.0	305.55	265.87	204.07	164.42	139.07	291.04	438.59	363.56	269.6	327.56	202.66	403.5	432.53	381.68	231.32	262.2	447.82	346.29	420.68	232.94	208.38	423.61	305.55	275.28	264.03	381.68	260.38	212.78	269.6	208.38	289.02	293.07	258.57	307.69	236.21	373.81	320.8	400.71	214.27	98.04
UBR1	59.13	49.56	55.1	54.72	70.01	69.52	135.24	108.14	287.01	33.06	77.79	59.13	75.11	52.82	78.89	63.89	88.88	194.36	138.1	67.59	93.35	90.14	87.65	156.59	100.83	135.24	88.26	75.64	180.02	127.89	94.01	126.12	103.69	128.79	91.41	224.97	111.21	150.17	107.38	115.97	120.1	86.43	104.42	67.12	111.99	194.36	115.16	100.83	134.3	143.01	234.57	202.66	142.01	74.06	139.07	224.97	144.01	214.27	100.83	148.09	161.02	100.13	141.02	77.25	212.78	128.79	92.05	108.9	136.19	76.71	130.6	100.13	94.67	101.54	187.71	79.45	162.14	67.12	61.25
USP9X	301.33	295.11	334.46	260.38	346.29	312.0	423.61	253.23	764.36	1259.69	409.15	251.48	356.05	287.01	395.18	155.5	785.88	1594.73	665.29	275.28	480.04	470.14	412.0	463.65	384.34	723.08	376.41	211.31	656.11	356.05	194.36	426.57	92.05	167.9	327.56	480.04	723.08	551.56	392.44	400.71	371.22	348.71	275.28	191.67	320.8	921.88	417.77	381.68	660.68	389.72	503.95	738.29	669.92	283.05	285.03	660.68	656.11	785.88	332.14	486.75	728.11	486.75	540.19	450.94	915.51	397.93	281.09	503.95	426.57	514.56	599.49	185.11	466.88	785.88	819.3	293.07	703.28	307.69	178.77
WDFY3	107.38	120.1	59.13	65.72	121.79	80.57	318.57	90.14	559.28	251.48	190.34	78.89	173.85	58.3	169.07	73.54	156.59	260.38	329.84	111.21	269.6	191.67	366.09	262.2	154.42	406.31	152.28	110.43	343.89	279.14	145.02	295.11	197.09	201.25	113.56	215.77	366.09	368.65	186.4	323.03	146.03	307.69	126.12	122.64	156.59	466.88	336.79	228.13	334.46	126.12	389.72	480.04	265.87	102.97	185.11	320.8	262.2	373.81	172.65	307.69	275.28	285.03	256.78	165.57	579.04	262.2	265.87	251.48	244.57	267.73	332.14	155.5	155.5	187.71	429.54	142.01	351.14	177.53	82.29
ZBED6	3.29	0.89	2.25	0.72	2.23	1.89	134.3	9.85	674.59	54.72	31.22	2.63	35.25	4.74	22.59	37.59	10.55	154.42	146.03	5.5	95.34	42.11	103.69	149.12	25.17	131.51	23.25	17.0	92.05	78.34	35.76	56.28	72.52	96.01	32.36	307.69	140.04	157.68	40.93	81.71	81.14	27.84	11.3	28.65	113.56	156.59	115.16	52.45	128.79	14.03	197.09	262.2	116.78	9.63	47.17	251.48	135.24	258.57	82.29	115.16	137.14	100.83	104.42	36.79	193.01	55.1	149.12	120.94	11.73	95.34	127.89	16.88	52.45	88.88	218.79	23.08	144.01	12.09	2.12
ZC3H4	201.25	149.12	194.36	256.78	198.47	166.73	409.15	128.79	703.28	376.41	208.38	197.09	334.46	143.01	395.18	194.36	226.54	563.18	555.41	204.07	327.56	323.03	327.56	514.56	334.46	260.38	279.14	279.14	244.57	297.17	221.86	195.72	187.71	316.37	493.56	336.79	414.87	420.68	281.09	417.77	226.54	316.37	253.23	389.72	387.02	540.19	332.14	346.29	503.95	244.57	703.28	507.46	397.93	218.79	334.46	483.38	536.45	366.09	325.29	387.02	551.56	483.38	366.09	241.19	521.76	258.57	260.38	295.11	182.55	246.28	454.09	159.9	423.61	371.22	460.44	275.28	532.74	275.28	127.0
ZDHHC20	59.55	55.89	26.1	48.87	81.14	57.08	463.65	132.44	1199.98	1059.11	226.54	53.95	162.14	59.13	119.26	305.55	161.02	878.17	854.13	117.6	540.19	253.23	470.14	830.75	197.09	743.43	165.57	106.63	514.56	718.08	265.87	336.79	629.35	503.95	189.02	842.36	1008.9	713.11	346.29	571.05	193.01	325.29	132.44	132.44	551.56	1096.5	551.56	392.44	769.69	189.02	1096.5	890.44	674.59	127.89	231.32	490.14	660.68	941.27	309.83	525.39	878.17	559.28	346.29	211.31	902.89	409.15	1191.69	587.13	82.87	536.45	603.67	173.85	395.18	397.93	813.63	173.85	902.89	253.23	18.97
ZMYM4	129.69	149.12	113.56	152.28	145.02	131.51	279.14	221.86	1001.93	199.85	327.56	186.4	249.73	140.04	265.87	151.22	172.65	511.0	336.79	173.85	258.57	209.84	329.84	267.73	209.84	239.52	166.73	170.25	329.84	209.84	208.38	172.65	145.02	256.78	244.57	406.31	246.28	356.05	170.25	283.05	180.02	277.2	194.36	177.53	269.6	480.04	258.57	236.21	327.56	134.3	444.72	460.44	379.04	236.21	193.01	454.09	295.11	343.89	199.85	249.73	414.87	320.8	256.78	199.85	753.83	241.19	217.27	231.32	173.85	212.78	334.46	185.11	279.14	182.55	351.14	170.25	438.59	198.47	157.68
ZNF106	71.5	78.34	101.54	86.43	72.52	109.66	206.94	159.9	866.07	123.5	204.07	95.34	255.0	91.41	190.34	98.04	109.66	400.71	305.55	88.26	140.04	148.09	178.77	255.0	135.24	221.86	156.59	145.02	239.52	181.28	137.14	92.7	165.57	99.43	132.44	463.65	353.59	327.56	142.01	371.22	361.04	138.1	66.18	92.7	186.4	343.89	157.68	139.07	267.73	77.25	490.14	217.27	255.0	67.12	101.54	612.11	256.78	583.07	181.28	271.48	423.61	206.94	190.34	99.43	473.41	164.42	237.86	199.85	88.26	120.94	166.73	99.43	161.02	198.47	329.84	138.1	476.71	91.41	51.35
ZNF41	25.72	21.16	38.95	43.63	29.91	30.78	68.07	28.45	208.38	51.71	62.12	26.47	48.87	23.42	61.25	46.18	53.57	129.69	90.14	42.71	44.25	81.14	61.68	63.0	32.13	53.95	39.5	31.67	55.89	53.57	29.7	27.64	32.36	37.85	57.49	70.51	92.05	73.54	38.95	99.43	50.27	36.01	21.94	30.34	57.08	77.25	61.68	53.19	61.68	37.32	58.71	76.71	55.89	40.36	36.01	137.14	84.63	81.14	25.54	69.52	70.51	57.49	47.84	40.07	94.01	56.68	30.56	71.0	42.41	30.12	60.82	27.64	57.49	73.03	78.34	31.9	102.25	48.52	18.43
ZNF592	264.03	105.89	107.38	193.01	171.45	197.09	287.01	115.97	575.03	82.87	215.77	161.02	265.87	77.79	218.79	107.38	152.28	339.14	320.8	173.85	249.73	215.77	305.55	334.46	215.77	251.48	206.94	191.67	246.28	307.69	169.07	223.41	147.06	197.09	146.03	450.94	262.2	279.14	214.27	447.82	217.27	166.73	159.9	205.5	281.09	389.72	248.0	212.78	297.17	146.03	323.03	258.57	316.37	137.14	146.03	368.65	231.32	373.81	241.19	351.14	420.68	264.03	376.41	215.77	536.45	220.32	217.27	224.97	191.67	244.57	251.48	150.17	279.14	277.2	343.89	202.66	323.03	215.77	158.79
ZNF609	96.68	56.68	78.34	84.04	104.42	85.22	187.71	183.82	417.77	185.11	143.01	63.0	176.29	55.1	165.57	90.14	116.78	264.03	309.83	88.88	209.84	144.01	239.52	239.52	201.25	204.07	173.85	125.24	277.2	194.36	111.99	162.14	215.77	256.78	124.37	265.87	314.17	214.27	170.25	285.03	170.25	220.32	88.88	123.5	299.25	275.28	220.32	166.73	237.86	137.14	379.04	371.22	267.73	113.56	177.53	414.87	201.25	291.04	193.01	316.37	392.44	226.54	389.72	140.04	441.64	208.38	246.28	237.86	157.68	220.32	275.28	176.29	204.07	275.28	343.89	181.28	323.03	108.14	41.22
ZNF629	38.95	34.75	25.54	33.06	21.78	36.79	36.79	19.39	273.37	91.41	65.26	30.34	81.71	21.94	77.25	40.36	48.87	135.24	120.94	41.22	67.59	41.22	29.06	70.01	24.46	60.39	51.35	46.5	49.56	74.06	54.72	33.54	48.18	101.54	123.5	92.7	120.94	73.03	58.71	93.35	69.52	69.52	26.67	84.04	102.25	86.43	88.26	51.71	75.11	29.48	126.12	83.45	77.25	62.12	65.72	88.26	84.04	98.73	44.57	92.05	98.04	121.79	73.03	38.12	158.79	65.72	111.21	51.35	71.0	61.25	59.55	23.59	111.99	66.18	81.71	49.56	117.6	37.32	8.71
ZNF770	118.43	25.54	44.57	25.91	52.45	90.14	470.14	88.88	651.58	4328.55	256.78	29.06	251.48	35.76	264.03	277.2	163.28	543.96	532.74	116.78	591.22	536.45	587.13	483.38	301.33	718.08	217.27	381.68	525.39	921.88	389.72	563.18	420.68	470.14	103.69	638.15	1088.92	921.88	277.2	785.88	346.29	441.64	94.01	95.34	301.33	890.44	638.15	450.94	733.19	134.3	954.43	988.12	490.14	140.04	75.11	1151.06	591.22	447.82	392.44	555.41	866.07	454.09	642.59	177.53	775.05	518.15	723.08	808.0	128.79	518.15	775.05	232.94	353.59	743.43	988.12	262.2	665.29	511.0	27.25
ZSCAN29	81.71	48.87	89.51	66.65	106.63	134.3	170.25	131.51	414.87	77.79	172.65	82.29	205.5	63.0	201.25	101.54	147.06	267.73	236.21	100.83	128.79	182.55	185.11	158.79	231.32	129.69	71.5	190.34	236.21	190.34	145.02	150.17	107.38	201.25	110.43	318.57	166.73	191.67	138.1	293.07	148.09	150.17	76.17	147.06	255.0	361.04	173.85	171.45	249.73	115.16	336.79	234.57	190.34	124.37	152.28	551.56	166.73	277.2	185.11	218.79	287.01	175.07	234.57	150.17	264.03	171.45	199.85	170.25	108.9	104.42	187.71	135.24	182.55	198.47	307.69	157.68	239.52	117.6	57.49
