	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07
KIAA1109	194.36	193.01	1175.27	679.29	723.08	1030.12	414.87	463.65	511.0	981.29	435.55	348.71	301.33	395.18	371.22	258.57	361.04	567.1	529.06	813.63	896.64	796.86	497.0	753.83	420.68	420.68	540.19	532.74	642.59	287.01	713.11	902.89	395.18	221.86	780.44	518.15	397.93	441.64	738.29	334.46	603.67	429.54	651.58	842.36	629.35	1030.12	872.1	693.58	341.51	438.59	1081.39	387.02	909.17	1350.18	529.06	412.0	318.57	511.0	244.57	1135.2	529.06	403.5	373.81	356.05	450.94	748.61	547.75	518.15	376.41	480.04	356.05	595.34	356.05	674.59	532.74	575.03	1066.48	1030.12	647.07	713.11	397.93	325.29	218.79	234.57	97.36	152.28	152.28	143.01	135.24	161.02	212.78	163.28	162.14	147.06	143.01	209.84	134.3	128.79	119.26	167.9	187.71	81.14	209.84	136.19	221.86	212.78	237.86	195.72	84.04	241.19	237.86	197.09
KIAA1430	33.3	309.83	808.0	660.68	599.49	1051.79	363.56	412.0	249.73	651.58	320.8	297.17	178.77	327.56	373.81	191.67	137.14	339.14	813.63	607.87	723.08	476.71	392.44	567.1	417.77	500.46	679.29	384.34	543.96	327.56	518.15	775.05	361.04	158.79	616.37	332.14	379.04	361.04	412.0	366.09	708.18	674.59	579.04	703.28	497.0	1259.69	1167.14	381.68	529.06	500.46	638.15	273.37	1295.13	830.75	299.25	444.72	332.14	616.37	232.94	733.19	248.0	420.68	154.42	368.65	426.57	368.65	403.5	470.14	463.65	389.72	248.0	371.22	339.14	571.05	289.02	426.57	1001.93	612.11	599.49	854.13	277.2	318.57	177.53	217.27	72.01	139.07	144.01	87.03	97.36	118.43	126.12	121.79	201.25	116.78	191.67	60.82	171.45	89.51	92.05	133.36	123.5	113.56	169.07	215.77	195.72	132.44	88.26	120.94	63.89	144.01	163.28	146.03
MAPK8	217.27	178.77	703.28	1104.13	995.0	759.08	392.44	624.99	532.74	1572.76	423.61	743.43	400.71	743.43	665.29	417.77	444.72	438.59	633.73	947.83	1259.69	555.41	791.35	733.19	579.04	638.15	633.73	688.78	896.64	514.56	429.54	902.89	387.02	265.87	791.35	351.14	651.58	638.15	825.0	813.63	521.76	688.78	460.44	647.07	521.76	497.0	1857.6	633.73	595.34	403.5	743.43	397.93	1977.24	884.29	688.78	500.46	205.5	698.41	629.35	848.22	713.11	348.71	332.14	884.29	507.46	802.41	1081.39	450.94	723.08	490.14	397.93	616.37	346.29	629.35	381.68	450.94	1259.69	796.86	599.49	470.14	336.79	514.56	241.19	368.65	166.73	229.72	209.84	198.47	110.43	281.09	249.73	215.77	231.32	244.57	221.86	255.0	141.02	194.36	161.02	234.57	239.52	163.28	279.14	277.2	273.37	248.0	212.78	303.44	246.28	341.51	316.37	387.02
MIB1	127.89	102.97	325.29	358.54	616.37	397.93	193.01	211.31	255.0	511.0	181.28	189.02	101.54	223.41	217.27	258.57	87.65	180.02	285.03	444.72	392.44	208.38	269.6	414.87	251.48	146.03	269.6	253.23	343.89	262.2	287.01	244.57	161.02	201.25	287.01	206.94	204.07	237.86	323.03	118.43	389.72	273.37	299.25	400.71	314.17	620.67	1030.12	181.28	454.09	325.29	426.57	165.57	323.03	336.79	205.5	158.79	165.57	220.32	170.25	283.05	242.88	137.14	202.66	193.01	249.73	258.57	283.05	228.13	361.04	187.71	169.07	242.88	109.66	295.11	204.07	255.0	441.64	435.55	232.94	242.88	185.11	220.32	97.36	123.5	67.12	92.7	79.45	73.03	68.55	88.26	87.03	57.49	68.07	140.04	81.71	90.77	40.07	53.95	52.08	80.01	76.17	40.36	108.14	57.89	99.43	45.85	71.5	78.34	46.18	80.57	82.87	100.83
MIER3	93.35	63.0	384.34	231.32	332.14	217.27	198.47	283.05	149.12	470.14	140.04	125.24	154.42	878.17	125.24	135.24	115.97	194.36	264.03	329.84	251.48	224.97	283.05	339.14	253.23	246.28	366.09	152.28	39.79	198.47	376.41	567.1	159.9	143.01	320.8	170.25	293.07	212.78	301.33	241.19	343.89	297.17	397.93	265.87	348.71	587.13	679.29	126.12	231.32	441.64	503.95	205.5	902.89	273.37	197.09	728.11	140.04	303.44	145.02	392.44	206.94	132.44	151.22	269.6	358.54	325.29	346.29	301.33	256.78	199.85	287.01	193.01	103.69	358.54	241.19	309.83	420.68	642.59	223.41	202.66	185.11	197.09	124.37	101.54	55.49	80.57	55.89	67.12	66.18	52.08	105.15	55.49	72.52	85.22	83.45	75.11	60.82	55.49	64.8	78.89	80.01	69.03	120.1	73.54	91.41	135.24	106.63	91.41	49.56	78.34	68.55	87.65
MKRN1	1896.65	1498.22	2384.37	1963.57	2555.58	2271.4	1757.34	1977.24	1073.91	2997.45	2061.24	2133.97	1487.87	2047.0	1950.0	1950.0	1225.22	1950.0	2287.2	1331.57	2133.97	2319.15	1909.85	1794.29	2004.85	2367.9	1331.57	1806.78	2384.37	2645.74	2502.97	1745.2	1909.85	1977.24	2148.82	2018.8	2163.77	1806.78	2591.27	1135.2	1583.71	2875.3	1733.13	2090.03	1896.65	2434.5	2004.85	1977.24	2133.97	2351.53	1819.35	1721.16	3257.52	2520.38	1721.16	1819.35	1950.0	1794.29	1639.59	2645.74	2178.83	1551.09	1467.37	1697.45	2502.97	1923.14	3103.19	1883.54	2004.85	1909.85	2520.38	2502.97	1437.15	2627.46	1259.69	1977.24	3395.89	1991.0	1832.01	3168.41	1457.23	1757.34	981.29	791.35	698.41	780.44	967.76	884.29	842.36	764.36	967.76	688.78	743.43	718.08	785.88	728.11	567.1	743.43	703.28	603.67	848.22	780.44	780.44	665.29	830.75	591.22	629.35	543.96	483.38	633.73	591.22	656.11
MOB4	603.67	748.61	1388.16	660.68	3372.43	591.22	521.76	384.34	620.67	748.61	660.68	819.3	417.77	555.41	698.41	684.02	490.14	503.95	1001.93	1059.11	902.89	571.05	511.0	785.88	575.03	417.77	511.0	525.39	728.11	769.69	480.04	718.08	497.0	366.09	791.35	490.14	723.08	518.15	674.59	595.34	748.61	967.76	684.02	713.11	587.13	988.12	1167.14	665.29	769.69	420.68	753.83	536.45	1313.23	708.18	620.67	684.02	579.04	616.37	314.17	718.08	723.08	679.29	633.73	551.56	878.17	486.75	748.61	1001.93	500.46	454.09	884.29	473.41	400.71	665.29	674.59	2163.77	791.35	1819.35	647.07	693.58	348.71	470.14	221.86	260.38	361.04	420.68	177.53	248.0	275.28	325.29	214.27	182.55	224.97	204.07	373.81	138.1	249.73	154.42	269.6	185.11	334.46	273.37	373.81	291.04	339.14	182.55	262.2	293.07	143.01	283.05	297.17	228.13
MTPN	420.68	493.56	1870.53	1870.53	1769.57	2303.12	854.13	1030.12	947.83	2645.74	842.36	1151.06	684.02	1437.15	1295.13	1008.9	287.01	974.5	2193.99	2240.11	1628.26	1008.9	1242.34	1233.75	1073.91	921.88	1051.79	1023.0	1322.37	1225.22	1487.87	1369.04	733.19	674.59	1674.06	1023.0	1378.57	902.89	1242.34	470.14	1551.09	2645.74	1388.16	1331.57	1259.69	2720.15	2537.92	1127.35	1313.23	1639.59	1457.23	1008.9	4607.24	1427.22	743.43	1051.79	1250.98	1167.14	708.18	1127.35	738.29	647.07	1359.57	1417.35	896.64	1143.1	1572.76	1583.71	1191.69	1617.0	1008.9	860.08	934.76	1605.83	921.88	974.5	2591.27	1794.29	1044.52	1225.22	703.28	733.19	483.38	470.14	173.85	395.18	409.15	260.38	220.32	229.72	307.69	185.11	255.0	323.03	314.17	180.02	191.67	206.94	159.9	258.57	262.2	201.25	351.14	221.86	679.29	197.09	170.25	244.57	239.52	246.28	262.2	389.72
MYSM1	212.78	108.9	151.22	172.65	206.94	157.68	87.65	115.97	105.89	166.73	114.36	217.27	171.45	88.88	159.9	100.83	71.0	115.97	134.3	211.31	85.82	150.17	128.79	253.23	133.36	88.88	92.7	108.14	152.28	84.63	151.22	124.37	134.3	103.69	135.24	102.25	60.82	182.55	318.57	108.9	139.07	82.87	85.22	226.54	176.29	237.86	356.05	138.1	54.33	269.6	208.38	80.57	125.24	244.57	169.07	70.01	60.82	102.97	100.83	262.2	137.14	56.28	124.37	223.41	153.34	159.9	301.33	77.79	120.1	124.37	107.38	154.42	89.51	144.01	173.85	89.51	126.12	341.51	239.52	55.89	92.7	148.09	76.71	104.42	64.8	44.25	26.1	63.89	49.91	39.79	53.95	44.25	65.72	53.95	44.57	71.0	50.27	50.27	81.71	54.72	31.9	52.82	93.35	46.84	67.59	72.01	96.01	56.28	35.76	31.67	54.33	37.85
NEK1	30.34	38.4	141.02	157.68	135.24	156.59	120.1	105.15	93.35	133.36	101.54	92.05	48.52	120.1	115.16	99.43	61.68	106.63	127.0	221.86	115.97	96.01	94.01	162.14	107.38	94.67	150.17	85.22	164.42	76.71	108.9	226.54	65.26	52.82	144.01	108.9	54.33	132.44	155.5	92.05	144.01	122.64	181.28	129.69	124.37	265.87	143.01	121.79	109.66	77.79	195.72	96.01	167.9	138.1	100.83	142.01	55.49	109.66	66.65	231.32	88.26	84.04	115.16	59.97	82.29	150.17	98.73	101.54	112.77	67.59	93.35	80.01	82.87	98.73	71.5	76.17	137.14	172.65	130.6	112.77	50.63	85.22	35.0	40.93	20.56	23.93	33.3	23.08	21.32	32.36	42.11	30.34	23.42	43.02	37.32	26.28	25.35	21.47	25.35	31.22	35.5	24.81	43.32	31.67	48.52	26.28	32.59	28.24	19.53	40.07	40.36	50.63
NIF3L1	591.22	693.58	928.3	647.07	423.61	616.37	718.08	518.15	718.08	638.15	693.58	248.0	363.56	708.18	830.75	848.22	708.18	525.39	878.17	599.49	387.02	599.49	583.07	753.83	551.56	575.03	518.15	785.88	660.68	483.38	703.28	684.02	403.5	463.65	688.78	684.02	525.39	660.68	708.18	738.29	665.29	647.07	693.58	791.35	603.67	802.41	665.29	693.58	669.92	518.15	674.59	583.07	1127.35	665.29	490.14	819.3	567.1	555.41	343.89	769.69	674.59	656.11	555.41	532.74	723.08	595.34	642.59	842.36	612.11	417.77	713.11	808.0	543.96	842.36	679.29	441.64	1015.93	1909.85	759.08	947.83	470.14	579.04	366.09	387.02	454.09	454.09	420.68	267.73	341.51	406.31	412.0	460.44	332.14	429.54	361.04	358.54	406.31	400.71	279.14	368.65	329.84	265.87	412.0	353.59	438.59	312.0	307.69	312.0	267.73	327.56	309.83	323.03
NUB1	808.0	529.06	1639.59	1304.15	1369.04	1467.37	1159.07	1119.56	748.61	1697.45	1127.35	878.17	915.51	1304.15	1183.45	1135.2	595.34	1208.34	1268.46	1721.16	1519.15	1135.2	1199.98	1477.58	1183.45	1268.46	1044.52	1135.2	1242.34	1216.75	1268.46	967.76	1340.84	1457.23	1508.65	988.12	961.07	1119.56	1175.27	769.69	1233.75	1583.71	1143.1	1225.22	1151.06	1617.0	909.17	1295.13	1369.04	1331.57	1508.65	1030.12	2935.74	1991.0	954.43	1023.0	1208.34	1397.83	878.17	1909.85	890.44	1295.13	981.29	1015.93	1073.91	1208.34	1529.73	1073.91	1781.89	1104.13	1651.0	995.0	896.64	1001.93	902.89	1304.15	2287.2	2351.53	1397.83	1487.87	872.1	915.51	1001.93	921.88	728.11	1001.93	842.36	1104.13	967.76	693.58	909.17	518.15	642.59	743.43	775.05	463.65	708.18	647.07	660.68	583.07	819.3	607.87	808.0	775.05	1066.48	540.19	536.45	551.56	500.46	555.41	511.0	567.1
ORC2	198.47	214.27	438.59	283.05	206.94	368.65	171.45	165.57	334.46	279.14	289.02	163.28	181.28	242.88	251.48	283.05	226.54	303.44	346.29	473.41	187.71	256.78	234.57	423.61	307.69	265.87	251.48	218.79	212.78	226.54	224.97	312.0	376.41	182.55	366.09	269.6	249.73	289.02	400.71	356.05	217.27	265.87	361.04	318.57	251.48	483.38	392.44	358.54	177.53	267.73	314.17	221.86	460.44	403.5	264.03	285.03	316.37	253.23	156.59	246.28	248.0	195.72	316.37	173.85	299.25	279.14	395.18	279.14	208.38	186.4	226.54	301.33	185.11	320.8	239.52	175.07	466.88	764.36	389.72	244.57	163.28	242.88	134.3	102.25	135.24	84.63	75.64	100.13	72.01	116.78	118.43	90.14	81.14	120.94	105.89	164.42	56.68	57.08	76.17	68.07	69.52	63.89	121.79	131.51	136.19	144.01	105.89	164.42	32.13	57.89	117.6	123.5
PARG	156.59	124.37	444.72	232.94	426.57	217.27	307.69	258.57	251.48	279.14	275.28	199.85	232.94	379.04	281.09	209.84	267.73	229.72	234.57	320.8	373.81	249.73	384.34	253.23	249.73	209.84	267.73	267.73	309.83	275.28	291.04	327.56	260.38	193.01	371.22	251.48	293.07	214.27	397.93	248.0	283.05	193.01	293.07	277.2	332.14	267.73	665.29	202.66	265.87	255.0	293.07	287.01	420.68	237.86	267.73	346.29	181.28	206.94	187.71	336.79	251.48	172.65	204.07	273.37	265.87	267.73	454.09	336.79	373.81	309.83	206.94	279.14	151.22	414.87	271.48	151.22	346.29	323.03	206.94	195.72	248.0	229.72	141.02	157.68	115.97	120.94	122.64	97.36	128.79	106.63	146.03	143.01	145.02	140.04	173.85	111.21	103.69	96.68	117.6	134.3	130.6	86.43	156.59	118.43	183.82	134.3	102.97	102.25	87.03	108.14	120.1	85.22
PBRM1	130.6	103.69	656.11	587.13	334.46	753.83	392.44	285.03	234.57	665.29	155.5	379.04	236.21	246.28	264.03	289.02	166.73	299.25	379.04	511.0	599.49	275.28	511.0	486.75	466.88	303.44	620.67	303.44	420.68	289.02	361.04	432.53	332.14	138.1	587.13	412.0	341.51	248.0	521.76	279.14	733.19	450.94	389.72	476.71	323.03	376.41	802.41	195.72	361.04	412.0	718.08	249.73	1225.22	551.56	248.0	193.01	423.61	441.64	211.31	480.04	289.02	161.02	228.13	262.2	470.14	579.04	547.75	217.27	493.56	660.68	236.21	255.0	223.41	457.25	291.04	400.71	825.0	656.11	318.57	171.45	223.41	309.83	140.04	118.43	85.82	151.22	105.15	91.41	76.71	99.43	110.43	67.59	92.7	134.3	94.67	122.64	72.01	78.34	78.89	88.26	102.97	101.54	119.26	93.35	189.02	96.01	104.42	119.26	59.55	111.21	146.03	154.42
PDS5A	423.61	454.09	1295.13	802.41	1051.79	718.08	708.18	854.13	305.55	1008.9	708.18	547.75	441.64	708.18	728.11	529.06	493.56	638.15	1662.49	1259.69	961.07	775.05	854.13	791.35	796.86	688.78	967.76	713.11	813.63	551.56	718.08	1757.34	651.58	457.25	995.0	854.13	555.41	603.67	896.64	587.13	1127.35	830.75	791.35	780.44	941.27	1508.65	1651.0	836.53	555.41	387.02	947.83	633.73	1407.55	848.22	486.75	928.3	457.25	728.11	348.71	1111.82	612.11	490.14	748.61	830.75	921.88	909.17	1059.11	941.27	988.12	656.11	651.58	514.56	373.81	629.35	688.78	669.92	1127.35	860.08	629.35	567.1	607.87	607.87	323.03	275.28	181.28	312.0	320.8	237.86	236.21	406.31	264.03	204.07	260.38	373.81	271.48	376.41	199.85	215.77	194.36	217.27	275.28	236.21	309.83	255.0	450.94	309.83	287.01	267.73	157.68	314.17	267.73	289.02
PHC3	50.98	153.34	307.69	444.72	348.71	366.09	244.57	124.37	651.58	406.31	132.44	145.02	101.54	283.05	170.25	255.0	165.57	164.42	244.57	473.41	368.65	262.2	450.94	518.15	500.46	187.71	540.19	329.84	316.37	172.65	273.37	529.06	228.13	74.58	389.72	279.14	208.38	155.5	153.34	293.07	384.34	211.31	423.61	397.93	351.14	575.03	878.17	249.73	275.28	403.5	521.76	173.85	616.37	543.96	120.1	166.73	289.02	262.2	109.66	389.72	166.73	96.68	209.84	403.5	332.14	447.82	348.71	220.32	414.87	279.14	146.03	211.31	157.68	297.17	181.28	224.97	547.75	624.99	236.21	169.07	176.29	178.77	46.5	47.84	40.64	59.55	49.21	40.64	33.3	51.71	62.12	40.07	38.67	73.54	36.53	51.35	19.25	47.5	50.27	35.25	50.27	42.11	80.57	52.82	78.89	40.93	45.53	57.49	32.82	44.89	73.54	87.03
PIK3C2A	79.45	100.13	753.83	669.92	309.83	728.11	211.31	343.89	320.8	536.45	181.28	185.11	191.67	371.22	260.38	249.73	206.94	234.57	209.84	633.73	559.28	271.48	406.31	444.72	346.29	194.36	500.46	329.84	279.14	193.01	409.15	414.87	244.57	121.79	540.19	264.03	336.79	205.5	327.56	148.09	371.22	275.28	387.02	563.18	258.57	612.11	1111.82	327.56	217.27	423.61	1044.52	189.02	753.83	674.59	182.55	178.77	299.25	323.03	170.25	348.71	231.32	178.77	211.31	318.57	332.14	289.02	305.55	190.34	417.77	476.71	206.94	224.97	223.41	281.09	198.47	275.28	1073.91	915.51	314.17	305.55	198.47	195.72	115.16	119.26	71.0	95.34	99.43	76.17	86.43	82.29	112.77	79.45	94.01	87.65	96.68	117.6	74.06	54.33	62.12	93.35	49.91	65.72	189.02	80.01	206.94	102.25	98.73	94.01	23.93	97.36	104.42	122.64
PIK3CA	84.63	135.24	301.33	332.14	348.71	289.02	155.5	221.86	514.56	325.29	103.69	147.06	94.01	248.0	193.01	223.41	120.94	195.72	287.01	579.04	363.56	135.24	353.59	273.37	242.88	191.67	316.37	305.55	329.84	226.54	201.25	540.19	165.57	115.97	363.56	116.78	224.97	198.47	236.21	221.86	299.25	191.67	295.11	309.83	234.57	503.95	457.25	249.73	267.73	260.38	358.54	199.85	447.82	301.33	150.17	201.25	149.12	197.09	87.65	297.17	189.02	152.28	148.09	295.11	336.79	312.0	220.32	267.73	258.57	224.97	287.01	115.97	127.89	246.28	170.25	208.38	255.0	371.22	269.6	181.28	158.79	198.47	77.79	111.21	40.93	64.8	70.51	68.55	37.32	77.25	91.41	70.01	66.18	95.34	81.71	72.52	34.26	45.85	47.5	64.34	57.49	57.08	107.38	85.22	134.3	60.82	66.18	54.33	32.13	80.57	67.59	113.56
RBL2	651.58	507.46	1127.35	1447.15	1378.57	934.76	713.11	633.73	460.44	525.39	438.59	361.04	438.59	1250.98	620.67	559.28	341.51	808.0	1407.55	1322.37	669.92	748.61	536.45	802.41	830.75	555.41	583.07	412.0	444.72	334.46	791.35	1135.2	473.41	540.19	684.02	796.86	813.63	417.77	866.07	353.59	981.29	1143.1	490.14	708.18	559.28	642.59	981.29	915.51	403.5	928.3	947.83	483.38	733.19	1081.39	356.05	753.83	836.53	406.31	454.09	656.11	599.49	420.68	674.59	595.34	684.02	620.67	591.22	473.41	866.07	967.76	384.34	796.86	579.04	486.75	961.07	579.04	540.19	988.12	884.29	607.87	813.63	620.67	341.51	555.41	336.79	291.04	287.01	130.6	229.72	426.57	351.14	267.73	264.03	152.28	229.72	318.57	208.38	182.55	283.05	403.5	303.44	104.42	466.88	348.71	571.05	285.03	417.77	518.15	249.73	532.74	392.44	438.59
REST	147.06	158.79	438.59	327.56	314.17	507.46	189.02	241.19	183.82	356.05	176.29	237.86	144.01	221.86	229.72	135.24	129.69	113.56	273.37	397.93	256.78	279.14	262.2	325.29	336.79	182.55	327.56	175.07	387.02	218.79	381.68	450.94	217.27	148.09	312.0	199.85	193.01	239.52	305.55	253.23	260.38	169.07	162.14	291.04	228.13	412.0	536.45	176.29	336.79	172.65	403.5	187.71	291.04	312.0	191.67	251.48	181.28	181.28	143.01	153.34	273.37	178.77	231.32	149.12	287.01	267.73	246.28	285.03	387.02	211.31	229.72	232.94	115.16	212.78	189.02	299.25	293.07	412.0	129.69	93.35	147.06	208.38	85.82	71.0	32.82	65.72	64.34	56.68	59.13	71.0	85.82	46.84	75.11	78.34	92.7	60.39	56.68	47.17	53.95	68.55	73.54	52.08	86.43	87.03	139.07	58.3	68.07	84.04	28.65	66.18	72.01	74.58
RIF1	76.17	108.9	201.25	255.0	189.02	395.18	94.67	135.24	249.73	279.14	121.79	96.68	96.68	170.25	127.89	137.14	105.89	120.94	220.32	441.64	155.5	127.89	193.01	193.01	234.57	102.97	194.36	90.77	178.77	108.9	165.57	273.37	145.02	68.07	241.19	164.42	102.97	115.16	177.53	142.01	277.2	172.65	206.94	202.66	169.07	397.93	384.34	131.51	206.94	169.07	275.28	122.64	260.38	255.0	134.3	131.51	172.65	161.02	61.25	217.27	139.07	83.45	202.66	122.64	221.86	176.29	178.77	176.29	151.22	104.42	118.43	206.94	89.51	195.72	142.01	108.14	454.09	356.05	153.34	120.94	94.67	94.67	72.52	57.89	54.72	63.0	46.18	40.93	48.87	41.52	48.18	33.78	45.85	75.64	48.18	76.17	38.95	32.59	37.85	38.67	45.21	36.01	59.13	48.87	92.05	68.07	52.82	50.63	14.03	45.53	51.35	50.63
RLIM	92.7	178.77	395.18	309.83	336.79	264.03	181.28	281.09	255.0	753.83	218.79	158.79	248.0	209.84	253.23	283.05	115.16	226.54	450.94	432.53	307.69	397.93	301.33	397.93	260.38	206.94	314.17	198.47	307.69	226.54	409.15	438.59	289.02	182.55	358.54	226.54	329.84	234.57	339.14	211.31	234.57	318.57	256.78	334.46	305.55	450.94	679.29	175.07	234.57	384.34	450.94	242.88	791.35	447.82	246.28	273.37	217.27	281.09	131.51	583.07	228.13	234.57	248.0	438.59	265.87	343.89	312.0	353.59	395.18	271.48	293.07	267.73	195.72	244.57	199.85	269.6	417.77	457.25	346.29	323.03	173.85	215.77	129.69	74.58	63.89	84.04	55.49	53.95	91.41	101.54	67.59	63.0	104.42	81.71	94.01	94.67	56.68	48.52	67.59	58.3	84.04	47.84	120.1	78.89	104.42	64.8	80.01	90.14	51.35	75.11	98.04	94.01
RPGRIP1L	44.25	63.45	224.97	156.59	206.94	205.5	142.01	125.24	82.87	94.01	52.82	68.55	96.01	205.5	57.08	163.28	198.47	131.51	289.02	164.42	106.63	120.1	159.9	134.3	96.01	81.71	85.82	60.39	87.03	71.0	123.5	194.36	118.43	127.0	109.66	178.77	90.14	98.73	195.72	87.03	231.32	163.28	101.54	72.01	113.56	186.4	171.45	127.89	148.09	269.6	172.65	115.16	165.57	237.86	53.19	199.85	142.01	95.34	87.03	169.07	57.08	156.59	198.47	108.9	73.54	112.77	92.05	85.82	149.12	64.8	79.45	125.24	105.15	70.51	84.04	97.36	169.07	185.11	218.79	135.24	55.89	111.21	15.22	8.71	13.52	38.12	15.8	12.64	29.06	61.25	27.84	21.94	17.51	22.92	45.21	16.03	16.75	7.88	25.35	13.93	20.71	31.22	35.0	27.05	22.43	14.24	11.55	15.45	10.55	12.55	17.77	6.52
