	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.EM.A3AL.01A.11R.A206.07	TCGA.EL.A4K9.01A.11R.A250.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A0ZG.01A.11R.A10U.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A1YD.01A.11R.A14Y.07	TCGA.BJ.A0YZ.01A.11R.A10U.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3ZH.11A.11R.A23N.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.WY7C.0226.SM.3NB37	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
MAPK12	301.33	341.51	198.47	209.84	224.97	229.72	154.42	329.84	334.46	217.27	199.85	305.55	316.37	187.71	224.97	201.25	122.64	120.1	156.59	234.57	136.19	189.02	132.44	248.0	154.42	215.77	76.71	239.52	34.75	35.5	15.34	75.11	55.89	50.27	37.85	65.26	29.48	161.02	34.51	24.99	91.41	55.49	69.52	138.1	75.64	61.68	68.07	49.56	98.04	64.8	62.12	43.02	70.51	94.67	56.68	76.17	112.77	64.34	99.43	63.45	33.54	65.72	18.84	47.17	48.87	82.29	29.27	109.66	45.21	50.63	52.45	54.72	51.35	52.45	39.79	38.12	33.78	58.3	31.67	90.14	44.89	74.58	98.04	63.89	98.04	43.02	58.3	78.34
MCAM	12589.08	10368.08	6426.31	5329.3	2555.58	2384.37	2193.99	2701.35	4671.57	4543.8	2537.92	3018.3	4607.24	3060.45	6294.04	5479.15	1733.13	2240.11	4639.29	5292.48	3874.05	3060.45	2434.5	3874.05	1896.65	5219.6	4481.23	2319.15	334.46	361.04	289.02	414.87	713.11	567.1	599.49	836.53	638.15	1096.5	738.29	909.17	934.76	392.44	836.53	1950.0	808.0	703.28	536.45	460.44	1378.57	947.83	669.92	759.08	656.11	651.58	414.87	1104.13	620.67	660.68	543.96	397.93	579.04	540.19	733.19	830.75	371.22	836.53	583.07	723.08	620.67	269.6	638.15	563.18	361.04	1127.35	941.27	713.11	423.61	363.56	373.81	1059.11	575.03	559.28	1628.26	275.28	575.03	703.28	612.11	995.0
MMRN2	2047.0	2816.11	1259.69	1023.0	1369.04	830.75	842.36	1417.35	1073.91	1277.29	1030.12	902.89	1447.15	830.75	1529.73	967.76	890.44	633.73	981.29	974.5	1233.75	995.0	748.61	860.08	878.17	1081.39	1023.0	753.83	199.85	239.52	239.52	244.57	486.75	412.0	435.55	285.03	366.09	595.34	536.45	139.07	483.38	327.56	450.94	490.14	336.79	373.81	307.69	234.57	616.37	392.44	368.65	346.29	423.61	603.67	579.04	417.77	150.17	500.46	353.59	341.51	194.36	381.68	189.02	638.15	220.32	511.0	181.28	620.67	414.87	309.83	221.86	271.48	343.89	353.59	665.29	444.72	223.41	187.71	277.2	555.41	656.11	420.68	591.22	163.28	432.53	395.18	409.15	297.17
MYO1B	2573.36	2287.2	1594.73	825.0	616.37	470.14	642.59	674.59	1268.46	1143.1	616.37	599.49	830.75	1037.29	988.12	1135.2	688.78	620.67	848.22	842.36	836.53	503.95	551.56	988.12	395.18	785.88	1733.13	866.07	387.02	497.0	473.41	323.03	713.11	406.31	329.84	457.25	363.56	679.29	518.15	438.59	503.95	336.79	563.18	457.25	329.84	447.82	204.07	260.38	450.94	435.55	289.02	476.71	279.14	426.57	351.14	450.94	353.59	507.46	392.44	265.87	264.03	295.11	414.87	567.1	529.06	473.41	297.17	432.53	231.32	253.23	536.45	256.78	201.25	316.37	583.07	400.71	279.14	285.03	176.29	497.0	341.51	368.65	457.25	279.14	438.59	361.04	373.81	764.36
NDUFA4L2	20170.07	35363.15	4152.18	4512.4	1662.49	1896.65	2895.31	3081.75	5076.84	2032.85	2104.58	3235.01	2591.27	2104.58	4836.35	3928.15	2193.99	1857.6	2384.37	4181.07	3467.27	4512.4	1745.2	3212.66	1832.01	2956.17	2895.31	2384.37	299.25	368.65	191.67	348.71	909.17	414.87	543.96	480.04	1561.89	1322.37	813.63	1242.34	348.71	412.0	1467.37	769.69	414.87	1066.48	309.83	303.44	1111.82	967.76	348.71	624.99	866.07	698.41	775.05	941.27	1407.55	961.07	607.87	348.71	172.65	426.57	669.92	674.59	273.37	1143.1	543.96	842.36	289.02	500.46	563.18	620.67	289.02	305.55	1286.18	309.83	154.42	896.64	470.14	684.02	293.07	540.19	988.12	395.18	915.51	620.67	379.04	1457.23
NES	1322.37	2047.0	1757.34	656.11	1081.39	551.56	518.15	974.5	830.75	967.76	656.11	848.22	1167.14	486.75	1159.07	896.64	902.89	463.65	961.07	1369.04	1183.45	703.28	896.64	854.13	591.22	1295.13	764.36	830.75	146.03	121.79	143.01	466.88	432.53	301.33	384.34	854.13	397.93	483.38	258.57	55.49	420.68	109.66	297.17	525.39	583.07	500.46	314.17	412.0	384.34	624.99	281.09	406.31	329.84	371.22	108.14	237.86	166.73	441.64	323.03	253.23	343.89	620.67	155.5	638.15	221.86	1175.27	147.06	473.41	318.57	183.82	307.69	102.25	244.57	202.66	334.46	202.66	155.5	384.34	392.44	555.41	423.61	599.49	738.29	159.9	525.39	414.87	483.38	426.57
NOS3	909.17	802.41	547.75	595.34	612.11	285.03	262.2	476.71	490.14	713.11	384.34	395.18	1073.91	255.0	995.0	450.94	361.04	275.28	466.88	483.38	753.83	438.59	285.03	318.57	283.05	708.18	348.71	307.69	84.63	44.57	26.1	157.68	118.43	127.0	163.28	182.55	199.85	299.25	180.02	45.53	158.79	72.52	193.01	490.14	159.9	183.82	117.6	209.84	173.85	194.36	176.29	129.69	202.66	187.71	180.02	141.02	249.73	127.0	152.28	122.64	96.68	190.34	58.71	175.07	67.59	379.04	60.82	197.09	105.15	100.83	131.51	102.25	76.71	100.83	195.72	88.26	84.63	191.67	193.01	167.9	161.02	206.94	191.67	93.35	141.02	124.37	172.65	199.85
NOTCH1	836.53	872.1	384.34	406.31	371.22	318.57	211.31	341.51	400.71	426.57	325.29	299.25	392.44	327.56	397.93	237.86	327.56	251.48	414.87	348.71	454.09	256.78	269.6	264.03	248.0	587.13	301.33	336.79	100.13	69.52	64.8	176.29	120.1	132.44	122.64	143.01	102.25	271.48	142.01	60.39	187.71	108.9	325.29	195.72	165.57	167.9	181.28	84.04	273.37	163.28	176.29	148.09	211.31	226.54	100.83	167.9	155.5	260.38	109.66	120.94	86.43	131.51	105.15	167.9	59.97	189.02	87.65	157.68	209.84	97.36	156.59	135.24	111.21	108.9	117.6	195.72	108.9	63.45	94.67	189.02	127.89	115.97	134.3	99.43	180.02	166.73	144.01	175.07
NOTCH3	4268.94	3874.05	1477.58	2090.03	688.78	981.29	656.11	1059.11	1794.29	1135.2	967.76	1397.83	1340.84	902.89	1191.69	1088.92	1143.1	791.35	1757.34	1857.6	1467.37	830.75	1242.34	941.27	860.08	988.12	1295.13	1250.98	139.07	211.31	157.68	336.79	438.59	384.34	289.02	435.55	518.15	493.56	291.04	241.19	392.44	265.87	476.71	656.11	392.44	387.02	447.82	229.72	718.08	723.08	325.29	490.14	454.09	444.72	329.84	595.34	457.25	738.29	307.69	172.65	246.28	301.33	423.61	616.37	181.28	595.34	217.27	334.46	271.48	153.34	339.14	329.84	217.27	279.14	444.72	301.33	231.32	151.22	172.65	703.28	466.88	327.56	486.75	224.97	444.72	379.04	312.0	444.72
NOTCH4	3146.52	2682.69	1340.84	1397.83	1322.37	1127.35	1066.48	1268.46	1896.65	1617.0	1088.92	1044.52	1119.56	1066.48	1313.23	1340.84	890.44	921.88	1216.75	909.17	1073.91	988.12	872.1	1096.5	854.13	1721.16	934.76	1151.06	307.69	301.33	220.32	339.14	239.52	476.71	327.56	343.89	307.69	1127.35	493.56	307.69	334.46	403.5	967.76	368.65	432.53	713.11	438.59	212.78	559.28	387.02	363.56	397.93	339.14	674.59	476.71	563.18	318.57	559.28	381.68	189.02	145.02	217.27	215.77	454.09	186.4	1066.48	307.69	599.49	381.68	426.57	500.46	229.72	208.38	248.0	426.57	323.03	275.28	206.94	303.44	529.06	234.57	221.86	412.0	384.34	403.5	323.03	297.17	665.29
NOVA2	555.41	563.18	267.73	202.66	228.13	201.25	161.02	246.28	202.66	201.25	189.02	255.0	201.25	193.01	197.09	202.66	132.44	129.69	209.84	183.82	234.57	154.42	147.06	157.68	173.85	265.87	172.65	212.78	34.26	34.75	24.63	85.22	59.13	27.64	28.86	63.0	39.22	143.01	46.84	21.01	59.13	24.99	147.06	112.77	57.08	48.52	61.25	55.89	111.21	60.82	30.56	47.5	69.52	85.82	30.34	50.27	57.89	118.43	66.18	26.67	28.24	41.81	20.86	46.5	12.83	101.54	19.53	72.52	47.84	21.94	75.64	44.57	25.35	24.63	62.12	70.01	29.7	25.35	37.32	62.12	33.06	44.57	76.17	55.1	55.89	40.64	34.26	110.43
NRP1	6471.02	8421.31	2520.38	1769.57	1757.34	1268.46	1030.12	1651.0	2148.82	1340.84	1572.76	1331.57	1662.49	1769.57	1427.22	1378.57	1397.83	1037.29	2351.53	1651.0	2133.97	1159.07	1242.34	1277.29	1498.22	1806.78	1870.53	1697.45	353.59	718.08	718.08	567.1	1757.34	647.07	633.73	775.05	1277.29	915.51	1529.73	289.02	854.13	493.56	1359.57	665.29	563.18	738.29	713.11	612.11	1733.13	775.05	543.96	909.17	1015.93	1096.5	567.1	1457.23	480.04	1651.0	759.08	642.59	693.58	884.29	575.03	1088.92	1073.91	665.29	384.34	1175.27	669.92	373.81	813.63	759.08	656.11	547.75	954.43	1001.93	316.37	323.03	463.65	775.05	476.71	785.88	1183.45	376.41	1143.1	1143.1	728.11	688.78
NRROS	264.03	547.75	134.3	206.94	161.02	104.42	88.26	104.42	140.04	100.83	123.5	112.77	130.6	83.45	211.31	104.42	96.68	175.07	133.36	145.02	193.01	84.04	97.36	113.56	94.01	140.04	158.79	119.26	24.28	26.28	24.11	45.21	50.63	35.76	44.57	54.33	44.57	65.26	27.64	3.69	52.08	13.93	90.14	49.56	59.13	45.53	46.18	20.56	97.36	59.97	42.11	58.3	47.84	138.1	14.56	46.18	8.71	92.7	39.5	31.22	45.21	48.18	20.71	69.52	22.1	74.06	30.78	92.05	33.06	43.02	91.41	31.22	47.84	23.42	19.53	50.27	25.91	27.84	31.45	121.79	48.87	46.84	44.57	18.43	79.45	39.5	55.89	90.77
PALMD	1551.09	1088.92	309.83	356.05	438.59	379.04	178.77	381.68	273.37	373.81	420.68	291.04	616.37	191.67	500.46	358.54	166.73	215.77	167.9	400.71	271.48	185.11	172.65	169.07	327.56	397.93	400.71	173.85	116.78	88.26	82.87	78.89	228.13	144.01	182.55	107.38	139.07	323.03	180.02	56.68	373.81	84.04	187.71	218.79	134.3	205.5	165.57	99.43	241.19	312.0	248.0	101.54	155.5	198.47	182.55	341.51	164.42	95.34	171.45	84.04	88.26	137.14	81.14	267.73	185.11	226.54	173.85	395.18	85.22	100.13	170.25	201.25	123.5	229.72	147.06	80.01	71.5	74.58	163.28	255.0	172.65	289.02	197.09	51.71	125.24	141.02	197.09	223.41
PCDH12	1073.91	1721.16	733.19	497.0	595.34	420.68	253.23	403.5	441.64	429.54	454.09	358.54	420.68	406.31	603.67	353.59	301.33	332.14	500.46	543.96	642.59	253.23	384.34	447.82	397.93	490.14	543.96	409.15	37.59	36.53	67.12	162.14	71.5	104.42	83.45	111.99	72.52	104.42	65.26	28.24	61.25	36.27	135.24	93.35	99.43	108.9	101.54	84.04	140.04	77.79	62.12	107.38	88.26	98.73	45.53	78.34	41.81	368.65	103.69	72.52	72.01	85.82	47.17	191.67	54.72	171.45	29.91	85.82	74.58	58.3	157.68	69.03	44.89	25.35	72.52	140.04	97.36	63.89	83.45	130.6	74.58	87.65	109.66	68.07	102.25	76.71	122.64	131.51
PDGFB	1498.22	1447.15	1427.22	878.17	1175.27	748.61	612.11	1088.92	896.64	1111.82	703.28	718.08	860.08	896.64	1437.15	890.44	642.59	525.39	796.86	728.11	1119.56	723.08	796.86	941.27	563.18	1529.73	988.12	693.58	144.01	94.01	147.06	295.11	228.13	234.57	159.9	197.09	165.57	358.54	389.72	190.34	169.07	186.4	305.55	281.09	277.2	293.07	88.26	198.47	363.56	341.51	191.67	249.73	138.1	293.07	124.37	785.88	86.43	361.04	185.11	165.57	162.14	297.17	143.01	226.54	90.14	299.25	114.36	236.21	229.72	133.36	169.07	127.89	146.03	189.02	265.87	395.18	64.8	133.36	117.6	303.44	217.27	125.24	305.55	145.02	237.86	258.57	137.14	314.17
PDGFD	1572.76	2133.97	1268.46	679.29	1104.13	651.58	647.07	1143.1	860.08	769.69	567.1	698.41	567.1	703.28	616.37	743.43	748.61	450.94	624.99	713.11	583.07	511.0	444.72	796.86	791.35	941.27	723.08	647.07	92.7	228.13	260.38	343.89	287.01	246.28	190.34	293.07	323.03	135.24	249.73	32.59	178.77	205.5	387.02	470.14	466.88	339.14	212.78	86.43	559.28	116.78	152.28	327.56	320.8	878.17	237.86	234.57	73.54	417.77	363.56	373.81	332.14	150.17	111.21	466.88	234.57	164.42	172.65	703.28	182.55	161.02	144.01	239.52	403.5	141.02	262.2	166.73	191.67	93.35	136.19	406.31	237.86	158.79	312.0	435.55	400.71	470.14	275.28	212.78
PIEZO2	878.17	607.87	400.71	159.9	107.38	122.64	61.68	76.71	122.64	98.04	149.12	60.39	61.68	98.04	81.14	75.64	84.63	75.11	162.14	148.09	167.9	53.57	64.8	97.36	82.29	76.71	249.73	142.01	14.24	11.04	19.97	25.54	58.71	33.3	10.96	37.59	12.93	15.11	56.68	10.79	29.91	4.28	78.34	44.57	14.03	6.11	38.12	32.13	78.34	13.62	15.22	27.64	43.02	60.39	21.01	63.45	14.03	30.12	109.66	24.63	22.1	23.08	55.89	22.59	54.33	8.45	23.76	66.65	6.21	0.88	35.0	47.84	24.63	8.92	17.9	43.02	9.06	14.56	4.5	21.63	2.1	22.59	31.67	38.12	31.67	54.72	14.03	49.21
PLVAP	32767.0	38697.77	19754.96	17804.06	23986.58	13872.08	16611.71	25005.23	24832.5	18819.27	16611.71	16496.96	21320.18	21768.19	38430.46	35363.15	13872.08	14867.79	26986.43	13872.08	22225.61	23820.89	14163.58	16496.96	16843.62	19754.96	11504.21	18052.61	3443.31	3540.14	2537.92	6207.38	12415.75	8305.36	10368.08	7642.41	16045.82	14065.74	15392.14	2319.15	4095.0	4543.8	16727.26	8778.97	7485.11	11267.44	5954.47	4268.94	11189.6	7642.41	6745.86	6426.31	10154.69	6337.83	7911.95	20310.37	2047.0	16383.0	4972.34	3716.2	4419.52	4607.24	759.08	9344.14	2178.83	13776.25	3146.52	7589.61	9540.5	5403.7	5831.91	4123.49	3235.01	3540.14	14867.79	5147.73	4268.94	6337.83	4639.29	11189.6	4123.49	6935.54	9808.75	4869.99	12160.22	6561.36	6426.31	6887.62
PLXND1	10959.3	10512.82	5711.87	7911.95	5112.16	3639.7	3639.7	4358.66	6337.83	7032.37	3325.99	4239.45	4736.79	4298.64	5913.33	4512.4	2997.45	4575.41	3235.01	5594.3	6561.36	3257.52	3820.7	3847.29	3124.78	5112.16	8078.22	4869.99	624.99	728.11	603.67	1498.22	1369.04	961.07	1340.84	1617.0	1250.98	2271.4	1111.82	371.22	1498.22	638.15	2591.27	1437.15	1477.58	1322.37	1081.39	1208.34	2451.44	1322.37	1467.37	1651.0	1757.34	2090.03	723.08	1477.58	981.29	2090.03	1745.2	1143.1	836.53	1001.93	1008.9	1769.57	629.35	1950.0	808.0	1709.26	915.51	872.1	1397.83	1175.27	915.51	607.87	1143.1	1096.5	854.13	674.59	928.3	1487.87	928.3	1233.75	1233.75	1175.27	1709.26	1059.11	1151.06	2047.0
PODXL	4869.99	6294.04	2224.63	1950.0	2255.7	1477.58	1135.2	2119.22	1397.83	2451.44	1844.76	1467.37	2271.4	1561.89	1487.87	1447.15	1709.26	1183.45	1883.54	2664.15	2047.0	1674.06	1819.35	1340.84	1639.59	2240.11	1923.14	1963.57	325.29	476.71	470.14	656.11	896.64	915.51	1008.9	1745.2	830.75	830.75	872.1	327.56	1104.13	305.55	1674.06	753.83	616.37	1167.14	836.53	921.88	1295.13	684.02	1135.2	995.0	769.69	1259.69	638.15	1167.14	400.71	1183.45	483.38	769.69	836.53	1407.55	395.18	2075.59	351.14	2090.03	567.1	1208.34	1044.52	536.45	684.02	547.75	616.37	785.88	432.53	651.58	507.46	529.06	1175.27	1721.16	934.76	1467.37	656.11	363.56	1259.69	543.96	1277.29	1037.29
PPAP2A	7749.1	11112.3	8305.36	6079.61	7642.41	3614.55	4802.93	9606.86	6745.86	6337.83	4802.93	3982.99	6079.61	2935.74	4010.71	6121.9	4358.66	2573.36	3515.68	6792.79	4836.35	4736.79	3124.78	5076.84	3039.3	4937.99	4152.18	4066.71	1794.29	1583.71	1417.35	1551.09	2739.08	2855.44	2303.12	2816.11	3515.68	3235.01	3018.3	529.06	2816.11	2163.77	2224.63	2720.15	2591.27	3820.7	1721.16	2061.24	1883.54	1909.85	1769.57	2627.46	1745.2	2645.74	2451.44	2163.77	836.53	1794.29	1721.16	1794.29	1883.54	2664.15	587.13	3874.05	1551.09	5147.73	1216.75	3235.01	2271.4	2287.2	1369.04	909.17	1844.76	1883.54	2645.74	1540.37	1457.23	2956.17	2061.24	4736.79	2303.12	3039.3	2271.4	1540.37	2119.22	2384.37	3212.66	2739.08
RAMP2	6516.03	7382.04	3325.99	4419.52	4769.75	2777.33	2133.97	4704.07	3716.2	3235.01	2537.92	2976.74	4010.71	2451.44	3901.01	3349.13	2090.03	2303.12	3039.3	3639.7	2915.45	2816.11	2319.15	2739.08	2178.83	2997.45	3060.45	2400.97	463.65	595.34	665.29	1175.27	1769.57	1250.98	1277.29	1135.2	1369.04	1175.27	2047.0	258.57	2004.85	555.41	2682.69	1183.45	1639.59	1286.18	941.27	1030.12	2701.35	1697.45	1583.71	872.1	2193.99	2319.15	1008.9	2090.03	679.29	1151.06	1540.37	1081.39	693.58	1457.23	785.88	1806.78	860.08	2720.15	1143.1	2796.65	1159.07	1242.34	902.89	1417.35	1015.93	808.0	1697.45	728.11	423.61	1369.04	1467.37	2319.15	1561.89	1191.69	1498.22	743.43	2591.27	1447.15	1819.35	2319.15
RAMP3	4123.49	4268.94	3349.13	3491.39	4010.71	1674.06	4181.07	3928.15	3349.13	2303.12	3564.78	3303.0	3716.2	1457.23	7280.4	5711.87	2240.11	1857.6	3280.18	2255.7	2434.5	4328.55	2835.7	2855.44	2133.97	2255.7	1674.06	2367.9	426.57	656.11	447.82	1066.48	1242.34	1417.35	1259.69	896.64	660.68	1427.22	1350.18	351.14	1447.15	866.07	1437.15	2018.8	836.53	1936.53	1001.93	1208.34	2609.3	2178.83	1388.16	995.0	1081.39	2032.85	1617.0	1487.87	1119.56	890.44	1378.57	629.35	525.39	1467.37	303.44	1909.85	412.0	2335.28	1088.92	2855.44	1216.75	1477.58	1259.69	728.11	1572.76	1388.16	995.0	713.11	381.68	1059.11	1561.89	2047.0	1896.65	1936.53	1628.26	915.51	1594.73	1268.46	1540.37	2758.13
RAPGEF4	764.36	669.92	289.02	336.79	265.87	264.03	176.29	346.29	334.46	336.79	255.0	267.73	287.01	314.17	150.17	172.65	197.09	202.66	295.11	215.77	336.79	226.54	201.25	248.0	320.8	273.37	267.73	264.03	31.9	57.89	73.54	51.71	127.89	39.5	49.21	113.56	71.5	109.66	138.1	34.26	117.6	34.75	162.14	110.43	73.03	75.64	98.73	70.51	172.65	88.26	120.94	82.87	90.77	177.53	102.97	119.26	150.17	106.63	98.04	76.17	69.52	48.52	46.84	106.63	119.26	111.21	93.35	189.02	74.06	27.05	125.24	81.71	61.68	77.79	173.85	70.01	42.41	29.91	57.08	107.38	59.13	96.68	151.22	83.45	128.79	118.43	87.65	138.1
RASIP1	1183.45	1096.5	603.67	563.18	642.59	460.44	563.18	660.68	708.18	575.03	490.14	476.71	698.41	420.68	872.1	543.96	525.39	551.56	567.1	486.75	595.34	409.15	460.44	551.56	595.34	679.29	395.18	447.82	150.17	110.43	135.24	234.57	232.94	202.66	175.07	198.47	155.5	217.27	334.46	90.77	214.27	80.57	389.72	299.25	329.84	217.27	195.72	237.86	414.87	220.32	128.79	214.27	277.2	246.28	267.73	403.5	205.5	271.48	218.79	220.32	92.05	271.48	158.79	253.23	150.17	361.04	84.63	363.56	165.57	181.28	148.09	173.85	151.22	92.05	387.02	303.44	58.3	204.07	110.43	279.14	183.82	180.02	320.8	170.25	258.57	361.04	187.71	262.2
RGCC	5831.91	5479.15	7537.18	3443.31	8718.32	3820.7	8421.31	15824.9	11827.67	7589.61	4358.66	5872.48	5441.3	6983.79	7130.55	13399.51	5954.47	4123.49	6840.04	3589.58	7081.29	7081.29	5791.62	6792.79	4972.34	6792.79	3589.58	6079.61	2240.11	1561.89	1857.6	2384.37	7331.05	3303.0	3491.39	3212.66	4937.99	3874.05	7130.55	616.37	2384.37	2178.83	4095.0	2682.69	4181.07	5076.84	1457.23	3540.14	5711.87	2816.11	1781.89	2875.3	2956.17	4512.4	3349.13	4328.55	780.44	3168.41	3794.3	1674.06	2384.37	2573.36	733.19	3665.02	2816.11	7180.15	2119.22	6887.62	2875.3	3639.7	1030.12	1277.29	1883.54	2047.0	3212.66	1447.15	1208.34	2163.77	2664.15	5403.7	1594.73	2935.74	4066.71	3081.75	4010.71	4328.55	3257.52	8247.98
ROBO4	2104.58	2502.97	1477.58	1037.29	1369.04	872.1	738.29	1081.39	1096.5	819.3	921.88	848.22	947.83	551.56	1819.35	1304.15	718.08	633.73	1088.92	802.41	1477.58	796.86	947.83	819.3	842.36	1508.65	802.41	872.1	197.09	217.27	130.6	327.56	323.03	327.56	473.41	373.81	309.83	371.22	389.72	122.64	341.51	187.71	693.58	647.07	432.53	260.38	283.05	301.33	954.43	435.55	307.69	441.64	476.71	660.68	212.78	476.71	153.34	503.95	647.07	483.38	214.27	444.72	146.03	368.65	190.34	514.56	102.25	529.06	336.79	154.42	249.73	194.36	373.81	224.97	262.2	688.78	133.36	215.77	258.57	368.65	346.29	348.71	476.71	170.25	371.22	262.2	258.57	764.36
RUNDC3B	33.06	71.0	47.5	48.87	49.56	28.65	32.36	42.11	49.56	66.18	42.11	46.18	85.82	30.56	21.63	14.89	24.28	14.03	21.94	43.02	73.03	23.25	57.08	20.71	33.54	59.55	30.56	50.27	8.32	9.48	9.78	6.78	22.1	16.03	7.69	16.27	15.0	30.56	36.53	5.73	10.79	11.64	28.86	18.97	17.64	19.97	12.93	8.58	10.08	11.73	5.02	11.91	19.11	8.85	19.82	18.84	7.94	11.21	7.75	9.27	10.47	9.85	7.57	21.32	12.55	28.86	6.89	24.63	15.0	7.34	6.26	14.89	9.48	6.73	27.44	9.56	8.71	5.19	10.79	19.11	10.63	9.34	17.25	10.63	13.83	16.88	16.88	17.64
SAMD14	358.54	224.97	120.94	90.77	50.27	54.72	47.84	70.01	75.11	48.87	67.59	42.41	46.5	50.63	127.0	104.42	55.1	57.89	96.68	63.45	85.82	65.26	45.85	111.99	28.86	82.29	84.63	47.17	13.62	6.94	4.06	20.86	28.04	16.39	12.0	27.64	28.86	30.34	16.63	38.12	15.68	10.0	33.78	44.57	17.25	35.76	22.26	21.01	29.06	38.12	12.55	25.17	26.67	23.25	9.06	21.63	24.46	22.1	28.65	7.57	9.41	7.88	9.06	16.75	6.11	24.63	7.46	30.78	19.11	10.24	22.26	7.34	7.4	7.94	31.67	24.99	18.56	9.93	12.0	28.45	14.56	16.63	19.25	15.11	12.18	17.51	16.27	30.34
SEPT4	3257.52	2303.12	1277.29	1295.13	616.37	638.15	713.11	718.08	909.17	503.95	796.86	872.1	872.1	603.67	836.53	1051.79	825.0	571.05	890.44	1233.75	733.19	967.76	624.99	1427.22	473.41	638.15	854.13	620.67	170.25	183.82	269.6	346.29	507.46	271.48	318.57	400.71	438.59	228.13	503.95	173.85	299.25	277.2	620.67	291.04	358.54	414.87	283.05	297.17	454.09	470.14	363.56	336.79	435.55	587.13	269.6	450.94	297.17	629.35	346.29	314.17	218.79	312.0	220.32	454.09	195.72	373.81	293.07	432.53	244.57	215.77	226.54	273.37	197.09	291.04	470.14	320.8	212.78	164.42	212.78	624.99	339.14	208.38	447.82	241.19	483.38	348.71	366.09	669.92
