	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.147JS.1226.SM.5RQK4	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
LILRB1	674.59	336.79	205.5	500.46	108.14	94.67	127.89	46.84	56.28	76.71	31.9	154.42	30.56	78.34	38.95	301.33	14.45	11.91	28.24	20.11	6.52	24.99	45.53	116.78	31.22	12.83	49.56	56.68	115.97	21.78	43.63	332.14	109.66	34.26	18.56	244.57	34.26	90.77	84.63	112.77	130.6	264.03	60.39	473.41	49.21	38.67	412.0	361.04	447.82	518.15	253.23	438.59	651.58	928.3	872.1	66.18	669.92	1733.13	854.13	221.86	607.87	320.8	417.77	47.84	551.56	130.6	429.54	802.41	158.79	256.78	669.92	87.65	450.94	647.07	507.46	89.51	447.82
LRRC8C	162.14	66.65	43.32	135.24	41.22	44.25	34.26	26.67	19.97	29.7	16.63	36.27	14.89	28.04	18.16	45.53	13.42	7.22	15.8	13.22	12.27	41.22	13.32	46.18	17.38	8.78	10.31	15.0	49.91	8.19	19.25	87.03	8.65	17.25	21.47	28.04	9.7	15.34	13.93	26.86	14.14	33.54	18.03	123.5	23.59	26.67	206.94	138.1	151.22	134.3	204.07	79.45	134.3	176.29	166.73	114.36	116.78	105.15	223.41	129.69	94.67	264.03	420.68	127.0	43.32	137.14	95.34	132.44	217.27	104.42	848.22	195.72	902.89	115.97	246.28	82.87	157.68
LTBP2	112.77	138.1	224.97	1111.82	180.02	189.02	258.57	299.25	32.13	153.34	20.11	31.9	95.34	110.43	96.68	121.79	45.53	7.4	135.24	58.3	111.21	48.18	147.06	181.28	8.78	46.18	22.59	11.3	397.93	25.91	83.45	447.82	8.92	31.22	23.25	9.63	23.25	29.48	34.75	54.33	18.84	633.73	30.12	1167.14	205.5	307.69	1143.1	738.29	518.15	1794.29	406.31	2609.3	2004.85	2796.65	5041.77	6037.61	1417.35	902.89	2573.36	603.67	974.5	5147.73	7280.4	1583.71	1477.58	1870.53	5219.6	3395.89	351.14	1143.1	2627.46	2997.45	3257.52	5555.65	1709.26	218.79	896.64
MAML2	348.71	146.03	147.06	187.71	98.73	59.97	22.75	24.99	19.25	16.75	9.41	15.0	7.22	16.03	11.21	28.04	4.74	3.63	20.11	8.19	13.72	27.05	10.24	35.25	39.79	3.11	38.12	18.29	33.54	4.17	8.38	51.71	12.83	20.56	16.27	20.71	12.0	21.16	10.47	22.26	18.56	47.5	11.82	144.01	11.73	37.85	256.78	99.43	121.79	289.02	211.31	316.37	164.42	206.94	291.04	500.46	90.77	59.97	148.09	134.3	170.25	275.28	356.05	164.42	63.45	146.03	314.17	167.9	101.54	130.6	785.88	358.54	490.14	224.97	486.75	68.07	104.42
MAP3K3	595.34	525.39	420.68	595.34	336.79	480.04	189.02	198.47	158.79	146.03	146.03	195.72	101.54	143.01	112.77	297.17	133.36	171.45	190.34	193.01	120.94	167.9	159.9	318.57	195.72	105.15	279.14	162.14	248.0	139.07	325.29	379.04	336.79	226.54	157.68	146.03	111.99	141.02	185.11	136.19	205.5	194.36	113.56	674.59	99.43	279.14	703.28	486.75	525.39	392.44	743.43	616.37	660.68	854.13	1143.1	1313.23	483.38	466.88	674.59	529.06	336.79	620.67	708.18	476.71	503.95	536.45	638.15	909.17	490.14	825.0	1709.26	1001.93	713.11	878.17	1127.35	136.19	583.07
MFSD6	64.8	202.66	264.03	190.34	162.14	63.0	154.42	76.71	144.01	121.79	34.51	67.59	136.19	92.05	94.67	185.11	99.43	40.36	61.68	155.5	70.51	70.01	59.55	162.14	37.85	32.82	26.67	87.03	120.94	24.81	59.13	127.89	27.05	65.26	12.27	115.97	28.45	84.63	65.72	15.11	44.25	94.01	19.53	444.72	341.51	890.44	567.1	368.65	616.37	521.76	769.69	253.23	189.02	463.65	967.76	563.18	373.81	595.34	368.65	1073.91	329.84	403.5	514.56	753.83	236.21	1037.29	432.53	466.88	967.76	620.67	273.37	860.08	718.08	612.11	497.0	540.19	368.65
MICAL2	1605.83	138.1	371.22	921.88	201.25	323.03	336.79	368.65	185.11	186.4	107.38	142.01	201.25	172.65	175.07	379.04	206.94	256.78	303.44	63.89	209.84	223.41	260.38	323.03	291.04	146.03	137.14	170.25	334.46	181.28	371.22	483.38	77.79	96.68	228.13	176.29	182.55	209.84	329.84	351.14	156.59	285.03	241.19	1073.91	137.14	529.06	981.29	688.78	507.46	1313.23	2319.15	902.89	2520.38	587.13	3081.75	1135.2	941.27	1259.69	1322.37	287.01	1340.84	660.68	2271.4	2537.92	1457.23	723.08	226.54	363.56	1216.75	607.87	1286.18	1111.82	2739.08	638.15	2777.33	190.34	1477.58
MKL2	118.43	85.22	58.3	87.03	72.01	32.36	59.13	76.71	40.93	37.32	55.89	14.24	18.29	27.84	26.86	57.89	24.81	43.32	48.87	28.24	55.49	27.64	21.16	64.8	131.51	11.3	48.18	40.93	61.25	16.63	61.68	84.04	24.28	45.53	35.5	59.97	35.5	14.89	36.53	56.68	140.04	54.33	129.69	170.25	98.73	136.19	289.02	86.43	108.14	155.5	128.79	171.45	107.38	187.71	902.89	426.57	226.54	115.97	206.94	105.15	133.36	283.05	373.81	180.02	123.5	171.45	185.11	191.67	273.37	176.29	332.14	368.65	808.0	136.19	483.38	120.94	122.64
MMP28	52.82	81.14	166.73	336.79	51.35	55.49	32.13	38.12	8.92	31.9	4.86	4.58	5.68	33.06	14.78	9.2	14.14	3.06	31.0	4.43	15.68	0.56	13.32	78.34	4.9	7.17	3.72	3.44	86.43	3.06	16.39	94.01	0.75	20.41	2.92	11.13	17.38	21.32	2.97	27.25	0.04	10.63	13.03	896.64	10.0	32.36	1617.0	1208.34	934.76	432.53	2609.3	27.25	1561.89	571.05	2400.97	314.17	587.13	974.5	228.13	2502.97	1651.0	466.88	63.89	2485.67	703.28	5147.73	1081.39	130.6	5076.84	11992.79	175.07	1167.14	295.11	1322.37	1709.26	38.4	1437.15
MPRIP	4066.71	1037.29	2163.77	3212.66	1277.29	1605.83	1498.22	1350.18	1639.59	1304.15	896.64	1350.18	1167.14	1674.06	1617.0	1844.76	1225.22	2485.67	1259.69	1674.06	1331.57	1757.34	1467.37	1721.16	1111.82	866.07	1111.82	1051.79	1896.65	718.08	629.35	2520.38	1167.14	878.17	872.1	620.67	780.44	1030.12	974.5	669.92	1127.35	961.07	633.73	2287.2	1225.22	1977.24	2720.15	974.5	1674.06	2701.35	1477.58	2287.2	2855.44	4095.0	7081.29	3124.78	2417.67	1378.57	8538.88	1066.48	3443.31	2061.24	3690.52	3515.68	2417.67	1936.53	2367.9	1662.49	2032.85	2032.85	8191.0	1991.0	3303.0	2701.35	6294.04	529.06	2090.03
MYH10	149.12	339.14	543.96	1295.13	759.08	299.25	77.25	208.38	206.94	46.18	54.72	187.71	93.35	92.05	110.43	215.77	167.9	91.41	189.02	267.73	176.29	463.65	124.37	162.14	29.7	100.13	246.28	189.02	176.29	120.1	116.78	163.28	185.11	297.17	366.09	281.09	295.11	144.01	283.05	432.53	271.48	669.92	540.19	583.07	223.41	339.14	947.83	473.41	595.34	1143.1	1242.34	1950.0	567.1	2119.22	2537.92	825.0	409.15	305.55	1540.37	780.44	356.05	2485.67	3325.99	1313.23	287.01	1233.75	1467.37	1159.07	915.51	780.44	2555.58	1037.29	2895.31	1369.04	1662.49	111.99	450.94
NHSL2	35.0	5.82	4.74	19.25	6.73	8.71	2.56	7.17	4.82	1.0	2.43	0.92	2.14	1.51	3.66	4.78	1.45	0.57	1.48	0.6	1.83	2.46	1.04	10.71	3.59	0.52	2.41	10.39	8.13	0.53	3.47	13.52	6.36	1.83	9.63	1.11	2.46	1.36	6.16	3.76	2.53	8.92	3.23	28.04	3.26	12.64	42.71	16.88	11.55	27.44	25.17	15.68	11.04	73.03	90.14	23.08	15.0	15.34	18.56	10.63	27.25	73.54	30.34	22.75	9.63	19.68	33.3	49.21	16.27	19.11	102.97	5.59	34.26	80.01	19.68	3.47	22.92
NOD1	202.66	127.89	145.02	145.02	55.49	69.52	66.18	64.8	49.56	71.5	26.86	71.0	36.53	55.89	40.36	108.14	60.39	38.67	56.68	49.56	43.63	67.12	34.51	108.14	50.63	21.16	55.1	67.12	92.7	30.34	65.72	148.09	28.65	38.12	21.16	46.18	21.78	31.9	40.64	17.9	56.68	46.84	21.32	470.14	69.52	37.32	529.06	223.41	279.14	1051.79	187.71	934.76	376.41	373.81	497.0	575.03	232.94	201.25	1104.13	429.54	162.14	371.22	947.83	138.1	429.54	301.33	307.69	567.1	229.72	336.79	129.69	490.14	728.11	575.03	275.28	58.3	299.25
NRP2	583.07	420.68	241.19	775.05	186.4	327.56	104.42	138.1	60.82	89.51	55.89	56.68	21.78	67.12	38.4	199.85	34.51	10.71	51.71	31.22	56.68	293.07	102.97	128.79	100.83	16.27	27.05	49.91	162.14	21.78	41.52	329.84	13.32	84.04	69.52	223.41	27.84	22.43	78.89	171.45	32.13	206.94	95.34	629.35	66.65	137.14	802.41	909.17	669.92	2287.2	1651.0	1628.26	1286.18	808.0	2133.97	941.27	341.51	363.56	836.53	262.2	780.44	961.07	583.07	473.41	947.83	332.14	579.04	753.83	543.96	738.29	1199.98	176.29	921.88	575.03	1923.14	223.41	616.37
OGFRL1	166.73	307.69	239.52	249.73	97.36	64.34	59.13	53.57	54.72	38.95	27.64	61.25	23.25	41.81	39.5	65.26	19.11	24.46	62.56	46.18	19.68	16.27	32.36	59.55	48.18	29.27	43.94	50.27	73.54	19.68	38.4	150.17	22.92	27.84	33.3	61.68	21.94	40.64	25.35	72.01	35.0	85.22	19.97	327.56	120.94	50.63	341.51	384.34	277.2	921.88	231.32	281.09	193.01	283.05	473.41	277.2	198.47	204.07	305.55	237.86	253.23	283.05	476.71	341.51	76.71	269.6	251.48	198.47	214.27	309.83	470.14	2271.4	620.67	186.4	551.56	128.79	273.37
PDLIM3	2209.26	327.56	1487.87	884.29	152.28	183.82	466.88	244.57	303.44	320.8	50.98	82.87	28.04	256.78	139.07	343.89	117.6	43.32	307.69	52.82	180.02	37.32	194.36	633.73	759.08	493.56	432.53	417.77	769.69	53.19	256.78	454.09	84.04	193.01	78.34	72.52	147.06	69.52	56.28	59.13	40.93	244.57	45.21	454.09	988.12	267.73	555.41	656.11	1322.37	813.63	1104.13	6607.01	921.88	1870.53	5329.3	3081.75	511.0	232.94	1977.24	409.15	738.29	1977.24	4836.35	1388.16	473.41	743.43	1127.35	813.63	241.19	231.32	3515.68	575.03	4512.4	1268.46	2255.7	738.29	1745.2
PEAK1	684.02	125.24	109.66	204.07	72.52	44.89	50.98	101.54	50.63	59.97	55.89	30.56	32.82	34.26	44.57	85.22	37.85	31.45	69.52	29.7	51.35	53.19	52.82	101.54	87.03	22.43	60.82	40.93	77.79	23.59	53.95	119.26	33.78	38.95	35.5	72.01	19.82	27.44	38.4	31.0	28.86	100.83	37.05	301.33	30.78	89.51	679.29	201.25	149.12	305.55	334.46	283.05	351.14	620.67	866.07	363.56	248.0	157.68	656.11	206.94	187.71	836.53	693.58	371.22	215.77	403.5	518.15	281.09	397.93	343.89	1417.35	426.57	866.07	420.68	878.17	53.57	241.19
PHACTR2	438.59	108.9	78.34	162.14	54.72	33.3	70.01	74.06	212.78	58.71	47.5	76.71	69.52	40.93	48.18	128.79	55.89	4.28	142.01	44.25	40.07	33.78	34.75	75.64	177.53	38.95	47.17	96.01	88.26	47.5	111.99	164.42	46.5	217.27	43.94	37.59	33.54	50.63	51.35	56.28	47.84	96.01	100.13	271.48	96.01	162.14	651.58	277.2	220.32	409.15	351.14	389.72	228.13	312.0	860.08	607.87	299.25	258.57	358.54	234.57	201.25	379.04	463.65	255.0	221.86	403.5	283.05	473.41	447.82	291.04	1407.55	353.59	733.19	500.46	674.59	57.08	265.87
PIP4K2A	660.68	376.41	341.51	532.74	295.11	432.53	242.88	237.86	273.37	217.27	155.5	336.79	273.37	149.12	186.4	339.14	116.78	125.24	178.77	198.47	215.77	122.64	194.36	356.05	223.41	167.9	127.0	343.89	318.57	100.83	157.68	454.09	120.1	234.57	114.36	208.38	130.6	249.73	113.56	176.29	214.27	279.14	153.34	463.65	389.72	136.19	497.0	497.0	486.75	854.13	429.54	848.22	514.56	988.12	1259.69	332.14	503.95	320.8	1183.45	583.07	339.14	713.11	1111.82	253.23	231.32	341.51	764.36	921.88	366.09	507.46	723.08	896.64	909.17	473.41	854.13	172.65	507.46
PMP22	2777.33	2502.97	1628.26	1883.54	591.22	2004.85	376.41	379.04	146.03	291.04	76.17	141.02	61.68	253.23	201.25	426.57	115.97	40.36	185.11	163.28	153.34	69.03	241.19	389.72	68.55	79.45	94.67	107.38	603.67	71.0	126.12	902.89	66.18	113.56	111.21	142.01	75.11	161.02	58.3	161.02	105.89	775.05	68.07	4358.66	928.3	518.15	2915.45	3257.52	3419.52	1639.59	2591.27	3742.05	1583.71	11112.3	13033.07	2816.11	3614.55	2720.15	6164.49	1457.23	1498.22	8963.45	7331.05	5517.27	4802.93	3168.41	4450.27	5954.47	3018.3	2796.65	3124.78	2133.97	3540.14	6121.9	7911.95	1225.22	4736.79
PPP1R12A	638.15	241.19	251.48	208.38	101.54	38.4	187.71	147.06	176.29	124.37	119.26	96.68	139.07	106.63	98.73	242.88	75.11	128.79	139.07	114.36	130.6	129.69	73.03	244.57	246.28	56.28	178.77	169.07	221.86	68.55	135.24	256.78	111.21	117.6	122.64	186.4	117.6	73.03	68.07	117.6	182.55	265.87	67.59	435.55	432.53	299.25	633.73	312.0	323.03	381.68	753.83	497.0	470.14	591.22	521.76	642.59	414.87	366.09	420.68	346.29	423.61	591.22	915.51	379.04	269.6	381.68	454.09	616.37	454.09	356.05	785.88	563.18	1023.0	457.25	651.58	346.29	423.61
PPP6R3	2682.69	514.56	497.0	470.14	312.0	138.1	444.72	444.72	473.41	525.39	277.2	447.82	463.65	318.57	409.15	412.0	283.05	493.56	420.68	441.64	483.38	444.72	293.07	575.03	555.41	406.31	497.0	551.56	397.93	258.57	473.41	500.46	373.81	684.02	463.65	309.83	371.22	277.2	277.2	305.55	406.31	417.77	314.17	791.35	743.43	1073.91	896.64	660.68	612.11	656.11	698.41	575.03	497.0	656.11	1030.12	928.3	525.39	507.46	796.86	514.56	665.29	669.92	1030.12	679.29	450.94	587.13	559.28	603.67	669.92	642.59	1388.16	1073.91	1159.07	525.39	1605.83	476.71	660.68
PRELP	93.35	68.55	660.68	1242.34	291.04	249.73	150.17	157.68	26.47	80.57	9.13	10.47	8.25	139.07	84.63	76.71	28.24	9.34	140.04	7.46	126.12	5.36	95.34	149.12	5.87	31.22	17.77	4.5	583.07	13.32	65.72	547.75	48.87	206.94	88.26	61.25	161.02	115.97	46.5	189.02	51.71	1583.71	163.28	674.59	183.82	307.69	954.43	599.49	842.36	769.69	1225.22	2271.4	215.77	3564.78	5831.91	2816.11	669.92	403.5	476.71	2956.17	157.68	1259.69	3303.0	466.88	314.17	902.89	2796.65	3280.18	525.39	1909.85	1277.29	2047.0	1628.26	967.76	7695.57	106.63	571.05
PRKCH	460.44	249.73	204.07	441.64	218.79	253.23	175.07	197.09	75.64	126.12	72.52	95.34	57.89	151.22	96.68	256.78	68.07	20.11	53.95	94.01	71.5	34.26	98.73	199.85	63.45	20.11	77.25	83.45	242.88	56.68	102.25	392.44	85.22	60.82	150.17	63.0	75.11	121.79	95.34	239.52	98.73	152.28	101.54	529.06	136.19	193.01	878.17	647.07	543.96	669.92	928.3	346.29	316.37	1001.93	934.76	656.11	518.15	708.18	1015.93	1001.93	490.14	708.18	1721.16	753.83	329.84	866.07	743.43	848.22	884.29	684.02	2400.97	1721.16	2434.5	669.92	1572.76	267.73	555.41
PRKG1	58.71	31.67	68.07	64.8	12.64	20.11	18.84	20.71	7.75	12.83	3.66	7.28	2.56	13.12	6.16	10.16	9.13	3.06	15.0	5.63	6.78	2.76	8.51	27.84	10.24	3.23	6.89	5.73	40.64	2.43	6.52	38.67	11.73	11.21	8.45	7.94	8.65	15.45	4.39	13.03	8.85	32.36	16.03	79.45	29.27	24.28	112.77	97.36	64.8	58.3	135.24	285.03	94.67	237.86	281.09	403.5	72.52	55.49	146.03	82.29	46.84	260.38	269.6	119.26	17.25	110.43	275.28	185.11	79.45	57.89	277.2	98.04	236.21	159.9	260.38	81.14	82.87
PSTPIP1	1001.93	368.65	260.38	476.71	142.01	154.42	197.09	78.89	76.17	102.25	51.35	334.46	48.52	181.28	101.54	318.57	66.65	19.82	34.02	29.7	45.85	500.46	112.77	155.5	12.18	38.95	54.33	31.67	182.55	31.45	50.27	441.64	67.12	63.89	42.41	31.67	96.01	256.78	30.12	55.1	108.14	128.79	25.35	412.0	98.04	54.33	334.46	231.32	183.82	129.69	253.23	403.5	441.64	708.18	1066.48	279.14	361.04	718.08	293.07	285.03	376.41	307.69	279.14	92.7	555.41	130.6	684.02	536.45	127.89	244.57	186.4	120.94	262.2	514.56	336.79	133.36	532.74
PTGS2	9876.98	67.12	46.18	60.82	20.11	8.06	5.36	8.51	31.67	3.26	0.47	4.74	1.0	3.56	2.41	9.85	2.12	0.39	6.11	2.07	7.11	10.55	1.71	12.64	0.4	0.97	2.66	3.14	22.59	0.68	7.75	12.74	129.69	135.24	43.02	5.87	60.39	43.94	4.58	4.43	20.86	29.06	4.94	447.82	607.87	17.0	713.11	154.42	708.18	2520.38	214.27	909.17	688.78	638.15	1199.98	536.45	529.06	150.17	1104.13	35.5	753.83	1572.76	3928.15	295.11	447.82	244.57	423.61	327.56	138.1	379.04	8840.04	115.97	1757.34	3257.52	4769.75	642.59	486.75
PTPRE	2739.08	209.84	143.01	289.02	124.37	99.43	80.01	59.13	40.36	52.45	37.59	46.84	27.44	37.05	26.86	142.01	48.87	10.08	54.72	17.25	29.7	19.53	48.52	94.01	31.45	12.09	127.0	37.05	102.25	12.0	25.72	195.72	165.57	41.22	11.38	40.07	17.13	37.59	37.59	34.26	23.08	110.43	32.82	665.29	70.51	59.55	633.73	450.94	656.11	1167.14	389.72	647.07	348.71	1286.18	1572.76	620.67	612.11	842.36	1268.46	260.38	860.08	351.14	3325.99	543.96	497.0	283.05	387.02	356.05	624.99	242.88	2255.7	1369.04	1417.35	647.07	7032.37	142.01	532.74
RAB11FIP1	2163.77	429.54	392.44	366.09	297.17	674.59	198.47	128.79	454.09	229.72	155.5	74.58	195.72	318.57	127.89	279.14	69.52	98.73	269.6	112.77	173.85	131.51	202.66	132.44	165.57	66.18	116.78	110.43	113.56	37.32	99.43	256.78	41.52	63.0	101.54	389.72	58.71	77.79	105.89	206.94	223.41	1250.98	151.22	1467.37	131.51	4769.75	2434.5	1030.12	1963.57	1467.37	2627.46	392.44	791.35	1697.45	7433.4	1143.1	1023.0	1540.37	2384.37	1651.0	2739.08	1001.93	1051.79	4704.07	1721.16	3982.99	2075.59	769.69	4268.94	4972.34	2047.0	2047.0	2701.35	2209.26	5995.9	143.01	1304.15
RAB31	1819.35	780.44	633.73	1081.39	384.34	559.28	228.13	138.1	199.85	165.57	60.82	239.52	23.76	121.79	69.52	248.0	44.25	18.29	124.37	28.45	75.11	37.59	107.38	157.68	42.11	28.65	61.25	94.67	249.73	28.86	51.71	536.45	68.55	49.56	54.72	155.5	30.12	99.43	46.18	138.1	74.58	223.41	57.49	1674.06	283.05	214.27	1388.16	2104.58	1819.35	4972.34	1923.14	7180.15	1883.54	2537.92	3124.78	1135.2	1111.82	2758.13	3820.7	1844.76	872.1	2627.46	2997.45	1259.69	1191.69	1572.76	934.76	1519.15	1617.0	1088.92	2193.99	3928.15	4388.98	1844.76	5995.9	1001.93	1605.83
RAB33A	204.07	23.93	19.53	49.56	24.11	35.76	13.52	12.55	7.34	18.56	7.82	13.32	6.52	12.36	8.0	35.5	5.54	0.85	9.06	1.73	3.79	16.75	12.36	34.02	2.03	2.32	2.73	5.28	10.96	4.46	4.74	41.22	3.59	15.8	7.06	2.07	5.77	5.77	4.13	4.58	6.21	11.47	0.92	35.5	18.84	9.2	21.01	46.5	23.59	45.85	19.39	40.64	28.45	80.01	83.45	43.02	58.3	84.04	117.6	13.52	71.0	68.55	21.32	48.52	20.26	19.82	42.41	24.81	12.18	14.24	98.04	47.5	28.24	25.91	38.67	31.45	58.3
RAB8B	1745.2	299.25	209.84	285.03	117.6	84.04	131.51	96.68	137.14	105.89	47.17	154.42	80.01	80.01	76.17	144.01	82.29	77.25	94.01	75.64	94.67	91.41	83.45	133.36	99.43	44.25	63.0	71.0	120.1	58.71	107.38	260.38	120.1	91.41	49.91	137.14	63.89	102.25	76.17	117.6	48.87	412.0	120.1	389.72	162.14	258.57	503.95	669.92	497.0	665.29	460.44	624.99	339.14	981.29	595.34	511.0	457.25	400.71	518.15	267.73	353.59	708.18	878.17	320.8	208.38	334.46	518.15	511.0	353.59	366.09	1721.16	813.63	830.75	518.15	854.13	189.02	500.46
RAP1B	7485.11	2701.35	2537.92	2178.83	1923.14	1250.98	1583.71	1498.22	2104.58	1199.98	1208.34	1519.15	1051.79	1175.27	1286.18	1991.0	1044.52	1073.91	1277.29	1286.18	1175.27	1191.69	1088.92	1487.87	1457.23	954.43	1295.13	1437.15	1977.24	884.29	1001.93	2816.11	1135.2	1963.57	1059.11	1216.75	1216.75	1051.79	981.29	1175.27	764.36	1359.57	1151.06	2875.3	6079.61	1628.26	3325.99	4543.8	5183.54	6079.61	3690.52	4010.71	3540.14	3742.05	6250.56	4038.61	3124.78	3690.52	5292.48	3018.3	3257.52	4010.71	6745.86	2645.74	1605.83	2627.46	2468.49	4181.07	2739.08	2075.59	11345.82	3103.19	5954.47	3467.27	7485.11	4512.4	4358.66
RASAL3	351.14	281.09	232.94	389.72	112.77	141.02	185.11	141.02	48.87	105.89	90.77	186.4	50.98	173.85	116.78	392.44	75.11	35.5	53.95	33.06	57.08	43.63	102.25	244.57	26.67	43.32	45.53	40.64	237.86	30.34	55.1	381.68	20.86	47.84	77.25	36.27	36.27	176.29	63.89	66.65	87.03	121.79	27.64	423.61	52.45	52.82	215.77	141.02	146.03	232.94	153.34	191.67	341.51	753.83	785.88	234.57	490.14	307.69	395.18	189.02	341.51	518.15	291.04	164.42	299.25	124.37	567.1	463.65	131.51	220.32	480.04	201.25	373.81	379.04	244.57	57.89	353.59
RASSF1	1322.37	603.67	669.92	802.41	279.14	529.06	647.07	389.72	480.04	718.08	595.34	493.56	389.72	555.41	567.1	674.59	356.05	540.19	470.14	460.44	379.04	470.14	511.0	775.05	483.38	669.92	902.89	525.39	733.19	559.28	392.44	842.36	356.05	232.94	181.28	237.86	169.07	258.57	208.38	162.14	384.34	255.0	131.51	934.76	361.04	208.38	796.86	693.58	1023.0	813.63	571.05	679.29	713.11	1233.75	1467.37	819.3	1008.9	555.41	1066.48	796.86	587.13	921.88	1143.1	842.36	607.87	591.22	1143.1	890.44	486.75	723.08	1870.53	1477.58	1628.26	1008.9	1769.57	221.86	825.0
RASSF2	2417.67	255.0	273.37	595.34	120.1	182.55	74.58	74.06	23.42	63.0	21.63	64.8	37.32	46.18	34.26	151.22	11.38	7.46	34.51	27.84	35.25	15.91	52.08	131.51	18.97	13.93	24.81	21.16	102.25	10.88	21.63	212.78	65.72	50.98	18.16	35.25	11.3	46.18	35.0	57.49	36.79	52.82	23.25	620.67	73.03	69.03	543.96	591.22	318.57	147.06	429.54	323.03	223.41	796.86	1628.26	314.17	435.55	1378.57	587.13	248.0	234.57	642.59	1081.39	438.59	417.77	281.09	624.99	267.73	258.57	239.52	5183.54	384.34	1088.92	791.35	1208.34	68.07	674.59
RBM7	656.11	234.57	339.14	368.65	201.25	95.34	251.48	251.48	318.57	258.57	209.84	146.03	199.85	140.04	177.53	244.57	157.68	307.69	151.22	334.46	215.77	191.67	180.02	307.69	223.41	201.25	289.02	334.46	275.28	187.71	269.6	281.09	381.68	414.87	295.11	159.9	429.54	256.78	224.97	447.82	269.6	703.28	241.19	417.77	713.11	299.25	603.67	660.68	633.73	819.3	733.19	684.02	514.56	595.34	902.89	684.02	470.14	532.74	543.96	423.61	507.46	830.75	1051.79	473.41	295.11	603.67	318.57	555.41	599.49	397.93	1268.46	607.87	665.29	620.67	995.0	612.11	642.59
