	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.UPIC.0926.SM.4IHLV	TCGA.49.6744.11A.01R.1858.07	TCGA.44.6146.11A.01R.1858.07	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13FTZ.0526.SM.5IJCW	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.131XW.1126.SM.5EGK4	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.OIZI.1026.SM.3NB1K	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.QMRM.0826.SM.3NB33	TCGA.22.5472.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.77.7142.11A.01R.2045.07
STRN3	71.0	164.42	111.21	155.5	320.8	379.04	571.05	258.57	181.28	218.79	309.83	389.72	713.11	389.72	703.28	199.85	265.87	275.28	169.07	187.71	511.0	521.76	150.17	265.87	366.09	450.94	466.88	384.34	521.76	214.27	318.57	163.28	348.71	166.73	285.03	708.18	170.25	260.38	301.33	269.6	173.85	647.07	269.6	275.28	307.69	198.47	277.2	202.66	363.56	366.09	426.57	368.65
TMEM181	150.17	180.02	163.28	130.6	384.34	379.04	497.0	224.97	239.52	379.04	202.66	339.14	299.25	277.2	583.07	351.14	287.01	329.84	279.14	224.97	486.75	638.15	201.25	204.07	420.68	363.56	269.6	575.03	327.56	361.04	371.22	255.0	406.31	265.87	483.38	312.0	256.78	269.6	406.31	463.65	201.25	563.18	166.73	239.52	607.87	334.46	221.86	368.65	389.72	389.72	368.65	417.77
TMEM87B	92.05	76.17	55.1	58.3	371.22	283.05	409.15	178.77	273.37	246.28	277.2	285.03	228.13	176.29	351.14	137.14	194.36	242.88	197.09	197.09	441.64	551.56	180.02	228.13	217.27	454.09	332.14	361.04	289.02	214.27	323.03	155.5	236.21	265.87	318.57	808.0	255.0	248.0	231.32	234.57	199.85	825.0	119.26	246.28	423.61	178.77	195.72	307.69	403.5	329.84	366.09	435.55
TNPO1	193.01	231.32	116.78	224.97	616.37	503.95	796.86	248.0	262.2	389.72	476.71	429.54	373.81	236.21	529.06	215.77	441.64	379.04	265.87	253.23	642.59	647.07	234.57	267.73	490.14	802.41	825.0	684.02	301.33	529.06	432.53	223.41	638.15	348.71	819.3	796.86	480.04	177.53	444.72	279.14	251.48	1008.9	325.29	275.28	371.22	269.6	339.14	303.44	514.56	775.05	514.56	651.58
TSHZ3	37.59	9.13	9.27	6.57	110.43	149.12	239.52	15.68	37.59	86.43	46.5	124.37	204.07	100.13	148.09	51.35	37.05	63.45	16.27	41.52	194.36	158.79	28.24	46.18	41.22	363.56	248.0	150.17	23.42	111.99	37.85	25.35	34.51	79.45	102.25	185.11	31.67	80.01	59.13	59.55	28.24	145.02	33.78	64.34	52.45	26.1	112.77	45.53	122.64	145.02	86.43	136.19
UBE2G1	633.73	384.34	441.64	669.92	547.75	603.67	1250.98	351.14	591.22	353.59	444.72	698.41	674.59	392.44	1096.5	802.41	490.14	486.75	444.72	559.28	723.08	583.07	563.18	397.93	796.86	808.0	660.68	775.05	460.44	379.04	463.65	312.0	470.14	387.02	1037.29	463.65	400.71	325.29	473.41	497.0	417.77	928.3	287.01	460.44	518.15	341.51	283.05	384.34	567.1	599.49	476.71	665.29
UBE2W	150.17	301.33	107.38	98.04	343.89	295.11	836.53	178.77	356.05	134.3	154.42	381.68	473.41	214.27	579.04	186.4	332.14	218.79	175.07	131.51	480.04	764.36	236.21	208.38	260.38	500.46	379.04	400.71	277.2	186.4	297.17	229.72	231.32	141.02	373.81	500.46	236.21	140.04	264.03	201.25	121.79	698.41	201.25	182.55	248.0	197.09	197.09	206.94	293.07	339.14	325.29	348.71
UBXN2A	48.18	82.29	50.27	75.11	237.86	246.28	381.68	105.89	165.57	127.0	215.77	271.48	305.55	223.41	718.08	181.28	117.6	185.11	129.69	228.13	312.0	217.27	137.14	191.67	244.57	244.57	376.41	343.89	186.4	181.28	285.03	147.06	167.9	165.57	384.34	178.77	264.03	176.29	194.36	221.86	109.66	397.93	166.73	161.02	157.68	135.24	164.42	172.65	316.37	197.09	241.19	289.02
USP25	62.56	138.1	105.89	120.94	718.08	656.11	599.49	507.46	441.64	336.79	647.07	802.41	693.58	500.46	1896.65	728.11	612.11	406.31	470.14	392.44	748.61	493.56	356.05	279.14	753.83	878.17	1096.5	934.76	674.59	320.8	1030.12	511.0	954.43	426.57	1030.12	665.29	830.75	327.56	703.28	444.72	447.82	1508.65	587.13	397.93	490.14	299.25	412.0	363.56	909.17	713.11	612.11	796.86
USP34	301.33	490.14	273.37	379.04	1322.37	1167.14	2148.82	713.11	1143.1	642.59	791.35	674.59	941.27	1037.29	1781.89	1407.55	620.67	684.02	1037.29	813.63	1651.0	2240.11	848.22	723.08	1225.22	2224.63	995.0	2682.69	1001.93	902.89	1781.89	988.12	1119.56	1225.22	1896.65	2520.38	1242.34	830.75	902.89	748.61	878.17	3690.52	1183.45	775.05	1322.37	1191.69	733.19	981.29	1208.34	1159.07	1286.18	1457.23
USP7	463.65	500.46	429.54	521.76	934.76	1008.9	1427.22	688.78	514.56	629.35	629.35	909.17	1583.71	525.39	1857.6	536.45	703.28	559.28	571.05	791.35	1331.57	2537.92	438.59	529.06	928.3	1745.2	753.83	1313.23	688.78	624.99	759.08	579.04	866.07	656.11	1508.65	1242.34	748.61	769.69	555.41	579.04	612.11	2591.27	500.46	660.68	518.15	454.09	928.3	808.0	808.0	1073.91	1127.35	1051.79
VANGL2	162.14	2.27	5.02	2.23	104.42	97.36	412.0	52.82	8.65	10.88	86.43	273.37	125.24	34.75	633.73	103.69	193.01	49.91	71.0	87.65	323.03	2104.58	65.26	66.65	75.64	579.04	358.54	1104.13	28.45	19.53	79.45	11.47	176.29	46.84	406.31	698.41	19.39	67.59	18.84	32.82	18.16	1259.69	50.98	30.34	23.25	25.91	120.94	52.45	267.73	110.43	129.69	129.69
WHSC1L1	134.3	90.14	86.43	169.07	743.43	684.02	2287.2	336.79	269.6	211.31	323.03	802.41	1781.89	381.68	1806.78	307.69	493.56	420.68	285.03	316.37	2319.15	2816.11	293.07	239.52	521.76	1870.53	1242.34	2090.03	361.04	368.65	497.0	363.56	1199.98	381.68	1519.15	2319.15	320.8	291.04	351.14	336.79	229.72	3540.14	318.57	358.54	348.71	291.04	603.67	316.37	567.1	679.29	703.28	769.69
YY1	356.05	647.07	417.77	521.76	1044.52	981.29	2335.28	808.0	1051.79	723.08	753.83	1397.83	1066.48	860.08	1963.57	974.5	921.88	612.11	780.44	791.35	1388.16	1340.84	693.58	718.08	1104.13	1015.93	1127.35	1662.49	819.3	738.29	1127.35	665.29	647.07	575.03	1151.06	866.07	808.0	780.44	836.53	759.08	775.05	1605.83	698.41	872.1	743.43	808.0	896.64	934.76	1233.75	1073.91	902.89	1208.34
ZBTB11	13.72	55.49	23.25	60.82	226.54	246.28	323.03	170.25	151.22	106.63	178.77	305.55	258.57	194.36	346.29	128.79	209.84	161.02	134.3	137.14	291.04	351.14	147.06	156.59	173.85	273.37	204.07	318.57	163.28	175.07	201.25	152.28	253.23	102.25	339.14	318.57	195.72	170.25	143.01	211.31	115.16	547.75	209.84	169.07	212.78	152.28	181.28	201.25	231.32	215.77	199.85	262.2
ZC3H12C	18.97	14.45	12.45	37.32	140.04	155.5	143.01	145.02	133.36	77.79	130.6	45.85	92.05	189.02	191.67	135.24	138.1	107.38	134.3	85.82	90.77	392.44	71.0	104.42	163.28	277.2	186.4	163.28	229.72	137.14	239.52	120.1	134.3	61.68	285.03	208.38	158.79	151.22	103.69	127.0	126.12	733.19	42.71	115.97	87.03	94.67	79.45	153.34	185.11	88.26	229.72	147.06
ZDBF2	2.58	5.87	4.03	4.35	54.33	45.53	218.79	11.47	34.02	21.94	37.85	71.0	126.12	53.19	169.07	15.34	39.22	43.94	33.06	27.05	100.83	363.56	18.29	34.26	40.64	121.79	102.25	117.6	48.52	55.89	36.79	57.89	50.63	10.96	84.63	65.26	22.59	55.49	55.49	43.32	11.55	142.01	10.0	28.04	38.67	12.55	44.57	50.98	99.43	40.64	50.98	73.54
ZEB1	37.59	46.18	33.78	57.89	665.29	457.25	854.13	215.77	221.86	140.04	466.88	551.56	830.75	251.48	909.17	287.01	299.25	234.57	269.6	202.66	620.67	2148.82	139.07	186.4	698.41	1088.92	813.63	1378.57	400.71	348.71	336.79	318.57	395.18	473.41	1111.82	1111.82	285.03	221.86	387.02	303.44	175.07	1769.57	307.69	314.17	332.14	185.11	234.57	320.8	836.53	503.95	507.46	525.39
ZFR	124.37	341.51	148.09	248.0	872.1	802.41	1322.37	454.09	579.04	555.41	638.15	830.75	921.88	583.07	1286.18	559.28	579.04	486.75	536.45	454.09	1066.48	1359.57	503.95	490.14	738.29	1322.37	1225.22	1540.37	575.03	665.29	583.07	532.74	698.41	624.99	909.17	1225.22	547.75	493.56	551.56	543.96	547.75	1605.83	575.03	555.41	698.41	500.46	540.19	603.67	902.89	974.5	669.92	921.88
ZNF326	53.95	163.28	93.35	229.72	271.48	343.89	420.68	176.29	154.42	96.68	144.01	283.05	314.17	190.34	341.51	137.14	253.23	283.05	267.73	90.14	301.33	629.35	127.89	167.9	215.77	444.72	444.72	387.02	169.07	199.85	176.29	182.55	289.02	269.6	406.31	371.22	183.82	100.13	220.32	193.01	142.01	309.83	208.38	134.3	187.71	132.44	264.03	170.25	403.5	251.48	253.23	325.29
ZNF654	8.85	28.65	17.51	36.79	155.5	117.6	289.02	73.54	88.88	47.17	81.71	177.53	183.82	96.01	228.13	100.83	91.41	99.43	105.15	65.26	199.85	373.81	81.71	102.25	111.21	214.27	175.07	191.67	117.6	85.22	88.26	86.43	104.42	84.04	158.79	242.88	91.41	67.59	91.41	102.97	72.01	297.17	81.14	90.77	94.01	75.64	70.01	107.38	137.14	110.43	131.51	169.07
