	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
FBRS	896.64	1757.34	2520.38	1651.0	1950.0	1806.78	2468.49	1896.65	2240.11	2468.49	2573.36	1651.0	1572.76	2956.17	2163.77	1529.73	1508.65	1794.29	3467.27	2739.08	1781.89	2271.4	1832.01	1857.6	3372.43	2434.5	1572.76	1896.65	1991.0	1561.89	1685.71	2682.69	1745.2	1709.26	2271.4	1572.76	2537.92	2047.0	2384.37	2664.15	1844.76	2018.8	1467.37	2367.9	3081.75	1529.73	2400.97	2451.44	1745.2	1963.57	1883.54	1977.24	2104.58	1721.16	2224.63	368.65	1023.0	988.12	1051.79	1447.15	1340.84	974.5	1044.52	785.88	1594.73	1030.12	1909.85	1457.23	1617.0	1467.37	1216.75	785.88	1427.22	1583.71	1508.65	1781.89	1175.27	728.11	665.29	1159.07	2163.77	974.5	1697.45	2255.7	1397.83	1745.2
FGFR3	179048.63	4450.27	9279.58	1781.89	3690.52	96.01	8421.31	4358.66	3103.19	10733.74	8022.41	1096.5	2976.74	14561.8	4704.07	3901.01	3212.66	4639.29	2555.58	4038.61	4152.18	4388.98	2935.74	3614.55	3303.0	4095.0	3847.29	5292.48	4512.4	3349.13	3639.7	2573.36	2935.74	3039.3	2351.53	3639.7	2997.45	4972.34	2855.44	4210.15	4972.34	4512.4	2451.44	2835.7	3874.05	3665.02	3190.46	4181.07	4123.49	4181.07	4481.23	2875.3	2997.45	2555.58	2119.22	444.72	1151.06	2104.58	543.96	1081.39	1498.22	1059.11	490.14	723.08	1857.6	320.8	2133.97	1583.71	2520.38	1208.34	1457.23	1487.87	2032.85	2367.9	2417.67	2835.7	0.0	0.58	5329.3	679.29	9215.48	5041.77	3665.02	9474.59	6699.25	8421.31
FKSG63	2.71	10.08	10.47	2.71	6.78	35.76	0.0	17.38	7.88	8.65	19.68	25.35	22.75	13.32	11.21	10.79	9.7	19.39	21.47	26.47	10.88	41.22	33.06	27.05	43.63	31.0	2.25	45.85	0.0	0.0	10.79	38.12	7.4	18.97	7.17	0.0	18.16	6.84	0.0	24.81	0.0	31.9	8.92	45.53	29.7	30.12	23.25	29.27	4.46	23.25	28.65	34.51	17.38	4.43	12.09	2.68	6.36	15.34	0.0	0.0	4.13	11.47	0.0	0.0	5.11	0.0	0.0	20.41	4.43	0.0	7.63	4.82	0.0	7.11	3.11	0.0	0.0	0.0	0.0	0.0	0.8	2.53	5.54	0.0	0.0	0.39
GET4	1167.14	1583.71	1268.46	896.64	1037.29	1806.78	1242.34	1023.0	928.3	1216.75	1467.37	1832.01	1015.93	1051.79	1044.52	753.83	1104.13	1167.14	1561.89	1561.89	759.08	860.08	842.36	1477.58	1977.24	1388.16	753.83	1191.69	1088.92	1001.93	808.0	1388.16	934.76	1096.5	1529.73	915.51	1651.0	1127.35	1685.71	1709.26	1073.91	1225.22	665.29	1268.46	2485.67	1159.07	1709.26	1651.0	1015.93	1183.45	1015.93	995.0	1369.04	1037.29	1806.78	660.68	595.34	1111.82	514.56	679.29	567.1	476.71	473.41	444.72	551.56	656.11	738.29	620.67	647.07	679.29	688.78	780.44	591.22	1175.27	836.53	819.3	0.0	1.03	454.09	780.44	698.41	616.37	748.61	698.41	854.13	656.11
GLI4	529.06	387.02	571.05	444.72	329.84	265.87	595.34	460.44	466.88	547.75	647.07	432.53	432.53	476.71	651.58	371.22	348.71	748.61	796.86	444.72	373.81	555.41	454.09	612.11	941.27	693.58	371.22	679.29	559.28	379.04	336.79	547.75	521.76	540.19	660.68	476.71	1268.46	642.59	954.43	1066.48	476.71	616.37	376.41	947.83	1088.92	547.75	909.17	1096.5	493.56	713.11	521.76	371.22	607.87	403.5	928.3	155.5	73.54	144.01	140.04	161.02	157.68	201.25	249.73	88.88	190.34	148.09	312.0	212.78	262.2	185.11	171.45	180.02	147.06	172.65	209.84	165.57	0.0	0.82	82.87	242.88	395.18	95.34	165.57	285.03	231.32	251.48
GLTSCR1	144.01	368.65	281.09	224.97	379.04	363.56	314.17	332.14	301.33	283.05	260.38	241.19	277.2	265.87	323.03	236.21	226.54	244.57	376.41	285.03	178.77	215.77	231.32	229.72	285.03	336.79	177.53	239.52	307.69	231.32	178.77	318.57	258.57	205.5	329.84	209.84	336.79	264.03	239.52	371.22	199.85	248.0	226.54	327.56	295.11	155.5	353.59	260.38	236.21	221.86	223.41	291.04	183.82	226.54	244.57	40.64	126.12	92.05	110.43	135.24	150.17	153.34	132.44	120.1	167.9	82.87	255.0	178.77	163.28	145.02	120.94	61.25	87.03	135.24	142.01	249.73	0.0	0.75	40.64	105.15	143.01	190.34	165.57	142.01	144.01	100.83
GNA11	363.56	854.13	1111.82	890.44	1044.52	1111.82	1059.11	802.41	866.07	775.05	1191.69	813.63	915.51	780.44	1096.5	854.13	1023.0	854.13	1498.22	1208.34	848.22	1175.27	1008.9	1159.07	1208.34	1359.57	1081.39	1066.48	1583.71	1073.91	1008.9	1104.13	1015.93	947.83	1191.69	995.0	1427.22	1143.1	1175.27	1304.15	988.12	1175.27	1001.93	1151.06	1388.16	1096.5	1397.83	1322.37	1111.82	1191.69	1059.11	1242.34	1199.98	791.35	1008.9	406.31	536.45	624.99	381.68	698.41	540.19	571.05	563.18	525.39	848.22	703.28	748.61	988.12	860.08	684.02	819.3	260.38	595.34	679.29	775.05	718.08	866.07	909.17	363.56	748.61	638.15	791.35	866.07	563.18	748.61	500.46
GPR61	9.48	7.34	12.83	6.57	6.21	6.67	35.25	1.2	9.48	12.09	13.03	22.43	15.91	18.03	5.82	7.51	2.61	9.2	4.43	19.97	15.56	13.12	6.41	12.18	4.46	6.46	8.58	12.93	11.21	3.41	5.63	13.12	12.64	5.92	7.94	7.28	17.9	7.34	28.65	3.79	6.31	9.13	0.24	12.93	7.17	34.26	10.39	11.13	14.56	24.81	26.86	10.47	11.13	12.74	11.04	2.18	0.0	5.45	4.62	2.68	2.03	6.67	0.0	4.46	10.16	7.22	1.51	5.82	5.19	2.48	4.1	0.0	0.0	3.17	9.7	1.5	0.0	0.17	1.89	4.03	2.34	7.82	4.5	0.62	5.68	3.32
HGS	3060.45	2739.08	3665.02	4450.27	2701.35	4481.23	4388.98	3018.3	3325.99	3419.52	3419.52	2104.58	5403.7	3742.05	3395.89	2627.46	2591.27	3325.99	4388.98	3982.99	2956.17	3146.52	2956.17	3467.27	4268.94	4388.98	3018.3	4239.45	3257.52	3081.75	2609.3	3372.43	2956.17	3018.3	3614.55	3039.3	4181.07	3742.05	3955.48	4543.8	2758.13	3768.09	2645.74	3982.99	4802.93	2956.17	4268.94	4607.24	3235.01	3515.68	3081.75	3081.75	4038.61	3212.66	4066.71	1551.09	2287.2	3146.52	2796.65	2351.53	2287.2	2119.22	3039.3	2061.24	2758.13	1844.76	2739.08	2303.12	2664.15	2018.8	2104.58	1331.57	2485.67	2178.83	2796.65	2502.97	2875.3	231.32	1388.16	3060.45	3018.3	2400.97	2287.2	2335.28	2018.8	2400.97
HIST1H4E	189.02	29.06	14.78	127.89	8.71	142.01	37.32	36.27	18.43	66.65	47.5	100.83	45.53	36.53	29.27	9.93	24.28	9.7	239.52	78.34	19.39	39.22	26.67	7.63	26.67	73.54	15.91	23.25	20.41	7.17	11.13	297.17	14.78	4.31	155.5	16.39	25.17	18.7	50.63	76.71	3.14	61.68	5.02	85.22	89.51	19.82	138.1	12.45	13.42	29.48	11.64	53.57	182.55	15.0	77.79	31.22	8.78	11.91	9.13	3.06	3.92	3.63	2.97	25.91	4.43	0.0	7.82	3.35	1.23	4.39	1.68	6.11	0.0	15.0	3.41	2.76	0.0	0.67	0.26	4.21	0.0	3.59	6.94	7.69	3.03	14.24
HUS1B	6.36	3.29	0.89	23.59	6.62	31.22	8.38	8.99	8.45	2.89	8.38	13.83	16.88	16.15	10.0	5.63	2.1	19.68	19.11	18.7	8.38	1.17	5.19	12.0	34.51	13.12	5.23	24.46	3.29	4.5	3.59	13.22	0.0	4.43	13.52	10.0	19.39	5.96	12.27	18.97	3.59	21.94	0.0	20.41	11.64	3.59	12.74	13.42	2.71	15.8	5.77	16.39	18.97	7.28	17.51	1.79	1.11	0.0	6.36	2.18	5.82	1.3	7.88	8.71	9.93	9.56	11.91	8.99	13.12	2.01	4.9	3.69	14.14	2.29	3.44	3.79	0.0	0.24	1.62	5.5	12.09	9.13	4.03	4.46	2.39	5.32
INTS9	271.48	249.73	287.01	327.56	307.69	211.31	334.46	309.83	271.48	271.48	297.17	214.27	262.2	277.2	423.61	332.14	318.57	329.84	368.65	327.56	314.17	325.29	353.59	412.0	348.71	271.48	363.56	511.0	271.48	309.83	273.37	341.51	248.0	395.18	264.03	353.59	454.09	351.14	420.68	460.44	314.17	389.72	329.84	336.79	277.2	325.29	457.25	384.34	318.57	444.72	435.55	249.73	423.61	262.2	373.81	161.02	249.73	117.6	137.14	320.8	180.02	205.5	267.73	190.34	299.25	197.09	287.01	285.03	258.57	283.05	256.78	172.65	303.44	221.86	316.37	269.6	0.0	0.6	269.6	314.17	305.55	139.07	381.68	305.55	209.84	178.77
JOSD2	1159.07	1437.15	1225.22	1447.15	1066.48	1096.5	1662.49	1135.2	1127.35	1135.2	1304.15	1467.37	1277.29	1277.29	1111.82	1015.93	866.07	1167.14	1551.09	1769.57	974.5	1268.46	988.12	780.44	1457.23	1605.83	884.29	1427.22	1437.15	1111.82	775.05	1096.5	1242.34	1191.69	1208.34	1277.29	1639.59	1151.06	2451.44	2193.99	896.64	1857.6	785.88	1519.15	1457.23	1250.98	1096.5	1794.29	988.12	1467.37	1259.69	1350.18	1030.12	1088.92	1467.37	384.34	921.88	660.68	1277.29	1295.13	603.67	603.67	854.13	802.41	713.11	808.0	1135.2	981.29	1340.84	769.69	1023.0	934.76	1030.12	642.59	1037.29	1023.0	0.0	0.52	1977.24	1350.18	1111.82	1175.27	1183.45	1191.69	1259.69	1191.69
KCTD13	175.07	480.04	486.75	325.29	529.06	521.76	450.94	575.03	392.44	384.34	395.18	361.04	409.15	356.05	392.44	343.89	209.84	400.71	616.37	473.41	366.09	389.72	361.04	503.95	616.37	536.45	264.03	547.75	525.39	281.09	258.57	563.18	341.51	265.87	476.71	273.37	551.56	334.46	521.76	532.74	381.68	500.46	244.57	616.37	595.34	299.25	579.04	490.14	327.56	551.56	392.44	435.55	647.07	299.25	633.73	57.89	81.14	117.6	122.64	149.12	115.16	140.04	214.27	163.28	264.03	122.64	181.28	206.94	260.38	141.02	130.6	116.78	221.86	191.67	239.52	159.9	0.0	0.85	56.68	253.23	166.73	176.29	242.88	109.66	94.01	96.68
KLC1	2075.59	2367.9	3039.3	2627.46	2835.7	2976.74	3325.99	3039.3	2664.15	3081.75	2777.33	2434.5	2384.37	3589.58	2485.67	1561.89	1467.37	2209.26	2835.7	2720.15	1639.59	1923.14	2018.8	2224.63	3212.66	2935.74	1745.2	2287.2	1832.01	1819.35	1769.57	2555.58	2018.8	1529.73	2935.74	1437.15	2758.13	1819.35	2485.67	2997.45	1388.16	2591.27	1745.2	3103.19	2796.65	1242.34	2664.15	2645.74	1529.73	2209.26	1819.35	2119.22	2287.2	1857.6	2645.74	1286.18	1417.35	1745.2	1721.16	1844.76	1498.22	1477.58	1697.45	1487.87	1936.53	2032.85	1561.89	1477.58	1923.14	1909.85	1457.23	947.83	1781.89	1617.0	1909.85	1529.73	0.0	0.85	915.51	1096.5	2163.77	1896.65	1268.46	1340.84	1216.75	1617.0
KLHL17	226.54	559.28	460.44	454.09	444.72	384.34	708.18	327.56	420.68	555.41	559.28	293.07	307.69	463.65	327.56	466.88	195.72	420.68	1015.93	698.41	353.59	595.34	397.93	532.74	830.75	1143.1	305.55	503.95	483.38	277.2	303.44	591.22	267.73	267.73	669.92	341.51	466.88	490.14	1268.46	713.11	301.33	384.34	260.38	791.35	543.96	316.37	718.08	559.28	251.48	575.03	400.71	693.58	642.59	314.17	551.56	66.65	52.08	80.01	40.93	76.17	44.89	58.3	70.51	108.9	104.42	58.71	118.43	67.59	90.77	80.01	87.65	56.28	53.19	112.77	98.04	94.67	0.0	1.22	24.28	101.54	114.36	224.97	96.01	52.08	73.54	65.72
KM-PA-2	162.14	94.67	0.0	0.0	24.46	0.0	92.7	0.0	0.0	36.27	108.9	42.71	0.0	26.67	5.5	125.24	73.03	45.85	159.9	303.44	131.51	92.05	0.0	64.34	384.34	363.56	0.0	102.25	65.72	55.89	10.63	77.79	34.51	17.0	38.95	13.83	332.14	176.29	316.37	366.09	0.0	289.02	35.5	228.13	327.56	30.12	114.36	423.61	154.42	146.03	131.51	2.07	277.2	85.82	169.07	65.72	0.0	0.0	73.03	0.0	0.0	0.0	0.0	44.57	0.0	146.03	70.01	0.0	189.02	0.0	0.0	0.0	204.07	0.0	20.86	12.64	0.0	0.3	23.42	53.95	10.24	24.28	39.5	8.38	0.0	53.95
LLGL2	11035.54	1540.37	1674.06	291.04	1051.79	2271.4	780.44	679.29	551.56	1437.15	2367.9	2835.7	136.19	1331.57	3349.13	2555.58	2335.28	3060.45	3820.7	4671.57	2004.85	3794.3	2777.33	2739.08	3467.27	4066.71	2384.37	2758.13	3742.05	2701.35	2682.69	3257.52	2758.13	2835.7	2816.11	2240.11	4419.52	3168.41	3589.58	4671.57	2835.7	3235.01	2178.83	4038.61	4543.8	3060.45	4358.66	4268.94	2895.31	3280.18	2777.33	2384.37	3349.13	2555.58	4358.66	2319.15	1437.15	1175.27	733.19	1397.83	1870.53	860.08	1066.48	1037.29	2104.58	961.07	2240.11	1447.15	1757.34	1781.89	1508.65	2193.99	1651.0	2104.58	2664.15	2319.15	0.0	0.91	571.05	1561.89	1950.0	836.53	1757.34	1191.69	1832.01	1437.15
LMBR1L	460.44	1378.57	1769.57	947.83	1467.37	1143.1	1369.04	1233.75	1135.2	1529.73	1583.71	1015.93	791.35	1757.34	961.07	764.36	775.05	995.0	1151.06	813.63	791.35	674.59	836.53	1030.12	836.53	830.75	567.1	842.36	1111.82	688.78	629.35	954.43	961.07	780.44	1183.45	708.18	896.64	1135.2	890.44	995.0	896.64	860.08	743.43	1175.27	1015.93	571.05	1044.52	703.28	651.58	1015.93	1008.9	1437.15	587.13	848.22	941.27	299.25	309.83	493.56	258.57	486.75	466.88	583.07	246.28	358.54	368.65	346.29	503.95	521.76	521.76	470.14	392.44	543.96	381.68	547.75	466.88	450.94	0.0	0.58	147.06	529.06	309.83	361.04	363.56	273.37	309.83	262.2
LRCH4	928.3	1322.37	1745.2	728.11	1721.16	2075.59	1295.13	1709.26	1143.1	1628.26	1617.0	1745.2	1313.23	1769.57	1561.89	928.3	1167.14	1388.16	1857.6	1457.23	995.0	1175.27	1119.56	1508.65	1781.89	1806.78	974.5	1397.83	1617.0	1081.39	909.17	1745.2	1508.65	1331.57	2178.83	1088.92	1378.57	1242.34	1529.73	1844.76	1369.04	1081.39	947.83	1896.65	1467.37	1111.82	2148.82	1457.23	1369.04	1119.56	1208.34	1519.15	1594.73	1216.75	1457.23	223.41	267.73	397.93	463.65	785.88	547.75	323.03	249.73	353.59	733.19	406.31	995.0	579.04	775.05	769.69	684.02	500.46	567.1	813.63	825.0	842.36	0.0	1.22	226.54	620.67	473.41	563.18	633.73	503.95	480.04	412.0
MAMDC4	90.77	100.13	130.6	41.81	73.03	83.45	98.73	110.43	98.04	105.89	161.02	77.79	56.28	74.06	123.5	140.04	45.85	124.37	543.96	214.27	102.25	256.78	109.66	46.18	190.34	249.73	85.22	187.71	135.24	149.12	44.25	169.07	83.45	60.82	265.87	147.06	132.44	116.78	420.68	205.5	92.7	165.57	74.06	287.01	120.1	162.14	177.53	149.12	80.57	241.19	172.65	316.37	198.47	87.03	126.12	6.16	1.51	5.63	4.03	11.04	8.71	5.73	3.26	24.11	40.93	31.22	14.24	15.56	13.52	13.93	14.45	5.06	6.16	18.29	33.06	8.32	0.0	1.03	1.79	37.59	9.06	58.71	27.25	10.63	8.92	5.19
MAP3K7	191.67	373.81	336.79	376.41	441.64	500.46	299.25	466.88	473.41	325.29	287.01	400.71	303.44	255.0	358.54	341.51	299.25	450.94	389.72	332.14	336.79	303.44	323.03	368.65	420.68	409.15	346.29	447.82	309.83	295.11	327.56	275.28	297.17	291.04	348.71	303.44	301.33	242.88	318.57	309.83	299.25	361.04	379.04	346.29	275.28	343.89	366.09	273.37	295.11	435.55	392.44	435.55	336.79	287.01	361.04	273.37	229.72	332.14	211.31	293.07	226.54	397.93	366.09	395.18	314.17	303.44	201.25	332.14	218.79	293.07	273.37	229.72	246.28	279.14	224.97	214.27	209.84	94.67	214.27	232.94	232.94	358.54	211.31	231.32	190.34	198.47
MDN1	297.17	587.13	460.44	438.59	620.67	511.0	358.54	571.05	688.78	403.5	423.61	447.82	361.04	351.14	583.07	438.59	327.56	669.92	599.49	638.15	426.57	423.61	426.57	423.61	567.1	928.3	406.31	688.78	500.46	403.5	373.81	651.58	368.65	389.72	480.04	305.55	660.68	476.71	633.73	642.59	368.65	684.02	532.74	587.13	575.03	400.71	647.07	866.07	381.68	743.43	579.04	426.57	819.3	376.41	669.92	98.73	197.09	307.69	108.9	234.57	130.6	295.11	234.57	237.86	423.61	318.57	246.28	307.69	307.69	251.48	194.36	92.7	231.32	295.11	373.81	241.19	0.0	0.87	132.44	258.57	295.11	555.41	293.07	191.67	361.04	307.69
MED26	183.82	148.09	166.73	172.65	154.42	169.07	159.9	146.03	205.5	145.02	201.25	180.02	171.45	169.07	140.04	133.36	157.68	156.59	172.65	170.25	150.17	158.79	167.9	181.28	228.13	209.84	127.89	180.02	140.04	169.07	148.09	195.72	128.79	162.14	178.77	153.34	189.02	141.02	201.25	176.29	137.14	183.82	128.79	164.42	194.36	147.06	395.18	137.14	135.24	157.68	175.07	173.85	215.77	128.79	189.02	72.01	138.1	118.43	128.79	111.99	123.5	121.79	176.29	107.38	128.79	127.0	153.34	149.12	127.89	149.12	103.69	63.89	128.79	120.1	145.02	132.44	0.0	0.17	115.97	109.66	166.73	134.3	180.02	145.02	136.19	116.78
METAP1D	45.21	82.29	86.43	66.18	111.21	69.03	82.87	92.7	81.14	72.52	111.21	67.59	73.54	80.57	127.89	137.14	76.71	164.42	199.85	121.79	84.63	138.1	111.21	123.5	115.97	130.6	112.77	159.9	117.6	77.25	82.87	156.59	98.04	151.22	127.89	98.73	158.79	106.63	165.57	157.68	98.04	148.09	102.25	142.01	112.77	129.69	125.24	146.03	82.29	186.4	129.69	90.14	156.59	92.7	138.1	44.57	34.02	43.94	26.47	48.52	46.84	59.97	55.49	44.89	61.25	93.35	49.56	46.5	47.84	58.3	80.57	40.36	40.93	46.18	54.72	43.32	0.0	0.32	47.17	59.55	54.72	39.79	61.68	35.76	71.5	29.27
METTL10	412.0	231.32	232.94	214.27	285.03	256.78	279.14	287.01	323.03	206.94	237.86	229.72	198.47	191.67	239.52	201.25	283.05	435.55	368.65	249.73	346.29	215.77	289.02	379.04	435.55	291.04	246.28	368.65	193.01	299.25	253.23	279.14	356.05	289.02	309.83	271.48	351.14	182.55	334.46	384.34	299.25	420.68	176.29	253.23	303.44	287.01	417.77	307.69	248.0	285.03	303.44	172.65	358.54	283.05	444.72	316.37	204.07	161.02	149.12	224.97	156.59	381.68	158.79	220.32	356.05	267.73	244.57	318.57	251.48	301.33	265.87	336.79	212.78	271.48	208.38	157.68	0.0	0.47	223.41	246.28	231.32	161.02	195.72	239.52	180.02	242.88
MGAT4B	3280.18	2061.24	1781.89	1388.16	1561.89	2224.63	1844.76	1397.83	1733.13	1407.55	1794.29	1936.53	1313.23	1447.15	2287.2	2664.15	2335.28	1605.83	3540.14	3847.29	3039.3	2758.13	2468.49	2434.5	4639.29	4328.55	2739.08	3742.05	2485.67	2075.59	2434.5	2609.3	2777.33	2555.58	2193.99	2303.12	3190.46	3060.45	3168.41	3060.45	2287.2	3235.01	2193.99	3280.18	4010.71	2400.97	3443.31	3168.41	2520.38	3124.78	2682.69	2796.65	3257.52	2367.9	3235.01	1369.04	1923.14	3639.7	1498.22	2104.58	1794.29	2627.46	1844.76	1909.85	1769.57	1167.14	2209.26	2163.77	1923.14	1540.37	1844.76	1286.18	1583.71	2032.85	2335.28	2240.11	0.0	1.0	1191.69	3060.45	1467.37	1457.23	2018.8	1551.09	1991.0	1417.35
MIB2	507.46	4268.94	2997.45	5183.54	2032.85	1709.26	3325.99	3742.05	2502.97	2835.7	2720.15	1936.53	3874.05	2609.3	2335.28	1709.26	1427.22	2351.53	3303.0	3349.13	2627.46	2701.35	2240.11	2047.0	2935.74	3146.52	1733.13	2895.31	2018.8	2104.58	1529.73	3018.3	2061.24	2148.82	2816.11	1457.23	3257.52	2915.45	3491.39	3874.05	1674.06	2224.63	941.27	2664.15	3901.01	1572.76	3325.99	4181.07	1651.0	3589.58	1950.0	2351.53	3103.19	1628.26	2148.82	708.18	723.08	1359.57	764.36	854.13	848.22	660.68	866.07	708.18	780.44	842.36	753.83	642.59	1427.22	759.08	1322.37	532.74	1685.71	470.14	1104.13	1073.91	0.0	1.16	318.57	483.38	1183.45	1508.65	759.08	651.58	620.67	1191.69
MINK1	8305.36	3665.02	6294.04	4769.75	5292.48	2915.45	5076.84	4010.71	4481.23	7081.29	5366.37	1781.89	1896.65	7433.4	3639.7	3235.01	3060.45	4358.66	4704.07	4298.64	4152.18	4869.99	3614.55	3614.55	3901.01	5366.37	3303.0	5183.54	4836.35	3742.05	2997.45	3690.52	2758.13	3419.52	3820.7	4239.45	3639.7	4123.49	3928.15	4181.07	4123.49	6207.38	3564.78	4836.35	3690.52	3467.27	3820.7	4010.71	4512.4	4639.29	3982.99	4512.4	3639.7	3665.02	3280.18	1175.27	2451.44	2335.28	1111.82	2193.99	2287.2	2502.97	2609.3	1923.14	2915.45	825.0	1950.0	2178.83	1745.2	2271.4	1561.89	1066.48	1909.85	1794.29	1870.53	2417.67	603.67	232.94	1073.91	1313.23	5594.3	4239.45	2367.9	3589.58	2148.82	2193.99
MKRN3	0.0	59.55	87.03	170.25	50.27	36.53	143.01	175.07	116.78	89.51	74.06	73.54	199.85	105.89	53.57	74.58	38.12	133.36	187.71	152.28	43.63	106.63	81.14	130.6	100.83	172.65	55.89	108.9	47.5	69.03	52.45	113.56	42.41	48.87	111.21	60.82	120.94	55.49	69.52	143.01	41.22	126.12	32.36	155.5	164.42	109.66	124.37	151.22	58.3	170.25	58.71	100.13	142.01	53.57	167.9	2.61	0.0	52.82	32.59	34.51	28.04	59.13	48.87	108.9	40.93	21.78	32.59	50.98	14.67	46.5	33.54	49.56	0.82	8.58	15.45	21.16	0.0	0.3	6.41	20.26	45.53	0.46	53.19	9.13	15.34	10.88
MRPL38	791.35	1605.83	1832.01	1467.37	1388.16	1359.57	2417.67	1721.16	1883.54	1605.83	2520.38	1883.54	1583.71	1685.71	1572.76	1561.89	1359.57	1304.15	2163.77	2075.59	1709.26	1923.14	1529.73	1487.87	2075.59	2119.22	1498.22	2335.28	1617.0	1561.89	1277.29	1923.14	1340.84	1350.18	1806.78	1259.69	1883.54	2271.4	2061.24	2090.03	1594.73	1572.76	1167.14	1487.87	1551.09	1605.83	2178.83	2061.24	1697.45	2119.22	1572.76	1832.01	2384.37	1519.15	2004.85	703.28	665.29	575.03	718.08	836.53	808.0	738.29	961.07	620.67	1066.48	1733.13	1159.07	854.13	1023.0	1008.9	1359.57	1388.16	1073.91	813.63	1417.35	1191.69	0.0	1.03	825.0	1183.45	854.13	1073.91	1051.79	1175.27	854.13	884.29
