	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
SUV420H2	143.01	102.97	221.86	728.11	205.5	379.04	285.03	890.44	194.36	197.09	414.87	395.18	412.0	454.09	457.25	638.15	624.99	599.49	759.08	466.88	629.35	52.08	77.79	141.02	51.35	124.37	182.55	63.0	204.07	66.18	111.21	90.77	123.5	151.22	206.94	79.45	146.03	232.94	392.44	112.77	131.51	108.14	142.01	98.04	145.02	98.73	96.68	191.67	157.68	152.28	121.79	195.72	81.71	139.07	156.59	37.85	94.01	67.12	802.41	71.0	51.35
TAZ	417.77	381.68	414.87	638.15	723.08	651.58	507.46	890.44	540.19	780.44	830.75	1233.75	1199.98	1059.11	1540.37	1151.06	1561.89	1001.93	1066.48	915.51	1388.16	224.97	204.07	583.07	275.28	540.19	397.93	231.32	909.17	218.79	599.49	444.72	371.22	389.72	563.18	329.84	432.53	336.79	341.51	363.56	366.09	212.78	397.93	224.97	353.59	327.56	473.41	348.71	271.48	387.02	417.77	575.03	208.38	403.5	612.11	323.03	314.17	262.2	1304.15	420.68	199.85
TSSK3	8.51	21.16	0.82	5.63	63.89	50.63	19.53	14.45	10.71	15.11	36.27	57.89	68.55	25.91	68.55	87.65	265.87	78.89	127.0	26.86	46.5	0.0	3.26	14.24	2.81	23.42	22.43	0.0	18.43	18.97	12.93	13.32	14.24	12.55	21.94	12.74	5.06	23.42	14.03	6.11	4.31	3.72	17.64	11.82	2.1	11.47	6.84	2.46	2.2	2.63	3.86	10.71	5.77	6.57	39.22	6.67	1.95	1.53	79.45	0.01	5.23
TTC14	255.0	165.57	102.25	518.15	400.71	1295.13	420.68	384.34	483.38	269.6	314.17	289.02	497.0	642.59	1066.48	1175.27	769.69	599.49	934.76	536.45	493.56	100.13	85.22	183.82	164.42	332.14	186.4	158.79	271.48	61.68	204.07	206.94	185.11	130.6	158.79	139.07	110.43	122.64	166.73	171.45	139.07	105.89	186.4	146.03	112.77	242.88	153.34	121.79	155.5	291.04	117.6	332.14	82.87	162.14	244.57	190.34	80.57	141.02	684.02	154.42	65.72
TTLL3	73.54	78.89	226.54	122.64	295.11	351.14	181.28	307.69	215.77	143.01	193.01	412.0	351.14	389.72	521.76	1487.87	748.61	470.14	679.29	249.73	454.09	30.78	38.95	143.01	135.24	162.14	53.57	48.52	253.23	44.57	91.41	90.77	193.01	127.0	145.02	104.42	82.87	110.43	36.27	85.22	109.66	58.71	56.68	42.71	13.12	106.63	58.71	29.06	50.27	52.45	12.27	142.01	52.08	94.67	86.43	78.34	72.01	63.45	1529.73	80.57	37.85
USP49	15.91	13.83	15.22	40.93	42.71	81.14	29.91	34.26	31.9	34.75	49.21	63.0	68.07	58.3	103.69	83.45	121.79	85.82	149.12	47.17	117.6	7.63	12.93	29.7	9.34	23.76	13.62	9.2	37.59	10.79	27.64	17.25	18.16	19.97	27.44	20.41	14.78	16.15	11.64	14.24	19.11	24.99	12.83	10.63	12.27	21.47	18.56	14.35	13.03	20.26	10.88	22.1	8.38	12.93	19.97	14.78	10.0	9.06	120.1	10.55	31.67
WASH4P	133.36	224.97	275.28	395.18	483.38	1023.0	551.56	532.74	429.54	249.73	441.64	409.15	366.09	529.06	909.17	890.44	769.69	629.35	620.67	432.53	507.46	98.04	120.1	376.41	119.26	351.14	353.59	111.99	356.05	85.82	197.09	191.67	473.41	162.14	376.41	157.68	185.11	170.25	146.03	120.94	236.21	134.3	145.02	145.02	100.83	139.07	218.79	149.12	96.68	248.0	102.97	295.11	103.69	138.1	267.73	95.34	136.19	98.04	1540.37	75.64	120.94
WDR27	95.34	100.13	339.14	409.15	412.0	1191.69	599.49	381.68	607.87	346.29	490.14	684.02	830.75	490.14	825.0	1151.06	1857.6	674.59	525.39	361.04	1044.52	53.19	30.78	376.41	152.28	318.57	153.34	40.64	182.55	87.03	198.47	195.72	204.07	289.02	264.03	172.65	164.42	124.37	155.5	59.97	348.71	102.25	187.71	53.57	102.25	139.07	110.43	41.22	104.42	183.82	100.13	376.41	56.68	187.71	241.19	114.36	80.01	61.25	1313.23	106.63	20.56
WDR90	316.37	152.28	316.37	1417.35	660.68	764.36	896.64	967.76	780.44	435.55	1030.12	1051.79	1467.37	633.73	2032.85	2148.82	1909.85	896.64	1242.34	629.35	1175.27	84.04	190.34	339.14	116.78	366.09	218.79	87.03	1096.5	123.5	348.71	208.38	187.71	194.36	463.65	195.72	417.77	273.37	262.2	167.9	299.25	122.64	412.0	113.56	295.11	194.36	325.29	137.14	241.19	348.71	110.43	559.28	100.83	291.04	348.71	105.15	166.73	81.14	2555.58	148.09	117.6
ZNF514	144.01	130.6	144.01	142.01	181.28	241.19	208.38	223.41	218.79	175.07	163.28	379.04	231.32	376.41	346.29	381.68	500.46	264.03	466.88	358.54	244.57	80.01	77.25	107.38	108.14	167.9	154.42	100.83	303.44	61.68	125.24	199.85	112.77	70.01	136.19	92.7	121.79	65.26	46.84	109.66	121.79	78.89	114.36	77.79	75.64	88.88	92.05	76.71	41.81	242.88	48.87	122.64	71.0	76.17	74.58	74.58	55.49	55.89	796.86	107.38	55.89
ZNF692	361.04	529.06	555.41	1295.13	1159.07	2682.69	842.36	884.29	1111.82	860.08	1651.0	1378.57	1923.14	1340.84	5076.84	1844.76	2468.49	1467.37	1870.53	1561.89	2271.4	124.37	105.89	642.59	325.29	713.11	514.56	92.05	1331.57	191.67	460.44	299.25	698.41	376.41	503.95	214.27	343.89	366.09	514.56	500.46	733.19	232.94	616.37	224.97	234.57	175.07	246.28	228.13	191.67	493.56	152.28	836.53	131.51	361.04	339.14	169.07	329.84	236.21	2627.46	327.56	176.29
