	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.1211K.1926.SM.5EQLB	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.YB5K.1626.SM.5IFIN	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.UTHO.2426.SM.4JBHD	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
TET2	229.72	114.36	128.79	102.97	142.01	130.6	228.13	366.09	242.88	220.32	102.97	161.02	122.64	98.04	267.73	205.5	64.34	94.01	31.22	34.75	65.26	20.56	21.78	15.11	16.27	15.0	34.02	36.79	43.32	56.28	59.13	36.79	40.93	28.04	76.17	46.5	33.06	44.57	23.59	31.45	30.78	32.82	47.84	19.97	20.71	17.25	25.72	19.68	60.82	15.45	23.76	23.42	37.05	27.84
TMEM260	258.57	205.5	206.94	217.27	269.6	223.41	309.83	493.56	318.57	309.83	217.27	327.56	202.66	208.38	397.93	497.0	164.42	156.59	130.6	130.6	187.71	139.07	96.01	102.25	195.72	71.5	116.78	77.25	195.72	206.94	178.77	112.77	119.26	67.12	140.04	140.04	110.43	139.07	94.67	149.12	138.1	110.43	127.89	51.35	95.34	59.97	169.07	121.79	177.53	77.79	148.09	62.56	120.1	95.34
TMOD3	723.08	595.34	525.39	559.28	507.46	543.96	813.63	723.08	660.68	860.08	559.28	603.67	525.39	497.0	708.18	967.76	316.37	769.69	258.57	423.61	420.68	204.07	285.03	281.09	147.06	165.57	295.11	343.89	361.04	353.59	409.15	320.8	327.56	239.52	275.28	371.22	312.0	327.56	218.79	341.51	305.55	211.31	466.88	148.09	180.02	161.02	173.85	169.07	642.59	190.34	135.24	154.42	198.47	186.4
TNRC6A	688.78	518.15	420.68	624.99	426.57	532.74	698.41	665.29	764.36	665.29	624.99	555.41	518.15	412.0	713.11	819.3	466.88	616.37	283.05	275.28	406.31	251.48	248.0	212.78	107.38	175.07	547.75	620.67	629.35	507.46	400.71	420.68	285.03	314.17	341.51	412.0	251.48	262.2	212.78	309.83	239.52	420.68	293.07	226.54	153.34	379.04	237.86	229.72	332.14	181.28	277.2	127.0	264.03	161.02
TRMT13	414.87	180.02	214.27	181.28	244.57	166.73	400.71	620.67	351.14	295.11	181.28	258.57	166.73	198.47	483.38	587.13	157.68	123.5	92.7	101.54	82.29	90.14	97.36	81.71	65.72	65.72	120.1	54.33	151.22	158.79	165.57	102.25	69.03	77.79	78.34	101.54	62.12	102.97	80.01	115.16	75.11	50.27	82.87	97.36	67.12	77.25	84.04	81.71	88.26	39.22	80.01	21.01	96.68	76.71
TTC14	866.07	356.05	444.72	447.82	490.14	463.65	759.08	988.12	743.43	660.68	447.82	583.07	336.79	356.05	612.11	961.07	353.59	265.87	301.33	228.13	242.88	363.56	130.6	229.72	86.43	217.27	293.07	226.54	318.57	363.56	420.68	267.73	169.07	215.77	287.01	339.14	133.36	255.0	178.77	239.52	277.2	154.42	371.22	205.5	226.54	115.16	133.36	137.14	406.31	229.72	217.27	133.36	260.38	149.12
TXLNG	435.55	376.41	387.02	320.8	327.56	384.34	435.55	669.92	480.04	551.56	320.8	379.04	267.73	339.14	397.93	693.58	409.15	295.11	114.36	114.36	202.66	108.9	131.51	153.34	97.36	91.41	104.42	164.42	189.02	239.52	201.25	140.04	113.56	75.64	209.84	161.02	144.01	129.69	98.04	171.45	156.59	57.49	169.07	142.01	164.42	122.64	45.21	155.5	271.48	125.24	111.21	59.13	123.5	114.36
UBR1	351.14	287.01	232.94	262.2	249.73	265.87	329.84	400.71	346.29	373.81	262.2	283.05	258.57	212.78	336.79	629.35	127.89	208.38	79.45	61.68	115.16	51.71	63.0	37.59	43.32	51.71	81.14	137.14	166.73	135.24	112.77	82.87	100.13	64.8	109.66	111.99	69.52	110.43	63.89	122.64	70.51	65.26	81.14	55.89	64.8	49.56	74.06	63.45	99.43	70.01	47.84	42.71	55.89	67.59
UHRF2	753.83	373.81	497.0	323.03	607.87	441.64	738.29	1208.34	679.29	718.08	323.03	587.13	356.05	341.51	660.68	1081.39	170.25	275.28	195.72	220.32	198.47	178.77	220.32	183.82	81.14	144.01	181.28	226.54	195.72	271.48	267.73	204.07	150.17	141.02	178.77	201.25	140.04	186.4	154.42	178.77	157.68	166.73	220.32	122.64	147.06	140.04	129.69	176.29	432.53	78.89	130.6	67.59	187.71	145.02
USP48	878.17	642.59	633.73	748.61	583.07	587.13	872.1	1183.45	884.29	860.08	748.61	713.11	612.11	543.96	1088.92	1519.15	466.88	607.87	260.38	316.37	339.14	206.94	279.14	176.29	178.77	198.47	327.56	258.57	392.44	423.61	389.72	318.57	287.01	202.66	371.22	336.79	307.69	316.37	264.03	297.17	291.04	236.21	438.59	176.29	209.84	234.57	248.0	267.73	567.1	215.77	248.0	120.1	241.19	224.97
WDR11	854.13	583.07	536.45	647.07	651.58	651.58	854.13	1008.9	866.07	796.86	647.07	647.07	660.68	660.68	921.88	1008.9	473.41	591.22	409.15	381.68	406.31	376.41	417.77	295.11	220.32	279.14	470.14	351.14	540.19	339.14	575.03	529.06	384.34	356.05	426.57	417.77	323.03	412.0	358.54	397.93	403.5	500.46	406.31	285.03	312.0	376.41	325.29	426.57	486.75	204.07	314.17	197.09	447.82	255.0
XRN1	429.54	217.27	208.38	237.86	223.41	214.27	441.64	486.75	379.04	373.81	237.86	285.03	197.09	249.73	329.84	426.57	129.69	248.0	130.6	116.78	148.09	127.0	85.82	50.63	63.89	69.52	156.59	170.25	190.34	215.77	202.66	107.38	165.57	108.14	182.55	242.88	135.24	158.79	105.89	166.73	130.6	136.19	123.5	92.7	62.12	171.45	105.89	98.04	232.94	59.13	135.24	102.25	155.5	177.53
ZDHHC17	684.02	497.0	406.31	447.82	441.64	406.31	775.05	981.29	688.78	780.44	447.82	497.0	316.37	309.83	620.67	1151.06	262.2	309.83	146.03	118.43	130.6	94.67	106.63	70.01	66.18	41.22	127.89	172.65	185.11	197.09	236.21	122.64	109.66	87.03	171.45	140.04	109.66	136.19	84.63	164.42	120.94	102.25	139.07	73.03	41.22	100.13	113.56	105.89	198.47	52.45	121.79	37.32	115.16	87.03
ZDHHC21	199.85	75.64	87.03	127.0	114.36	90.77	177.53	223.41	202.66	145.02	127.0	121.79	72.52	55.49	202.66	191.67	62.12	68.55	31.0	35.25	30.78	25.17	16.63	22.1	10.0	13.93	29.48	49.91	46.84	31.45	57.08	34.75	34.75	19.39	42.71	38.95	27.64	33.06	25.17	44.57	36.79	31.0	60.82	10.39	25.35	14.24	18.29	21.16	56.28	23.42	31.9	8.45	42.11	32.36
ZFX	583.07	346.29	376.41	412.0	299.25	376.41	583.07	759.08	555.41	555.41	412.0	417.77	368.65	547.75	748.61	1059.11	483.38	493.56	85.22	109.66	169.07	59.55	59.97	152.28	62.56	61.68	114.36	115.97	242.88	231.32	249.73	90.14	91.41	77.25	221.86	169.07	149.12	125.24	67.59	145.02	136.19	63.89	123.5	71.0	57.89	84.63	77.25	94.67	149.12	51.71	77.25	34.51	104.42	102.25
ZNF12	483.38	277.2	248.0	314.17	341.51	251.48	460.44	669.92	438.59	441.64	314.17	341.51	265.87	305.55	466.88	603.67	229.72	211.31	108.14	125.24	158.79	101.54	85.22	143.01	101.54	89.51	140.04	253.23	185.11	208.38	220.32	142.01	122.64	115.97	164.42	185.11	90.14	147.06	104.42	131.51	127.0	100.13	176.29	136.19	115.97	81.14	118.43	120.1	279.14	151.22	127.89	69.52	161.02	64.8
ZNF177	65.26	46.18	42.71	59.97	46.18	31.45	59.97	56.28	72.01	55.1	59.97	54.72	46.84	37.32	87.03	69.52	23.42	49.21	2.14	4.62	12.93	5.68	9.85	8.78	0.0	11.55	1.35	21.16	12.0	17.38	25.17	17.77	4.54	9.93	10.39	22.75	13.83	21.32	10.47	0.0	3.56	14.89	0.0	4.31	19.25	0.0	14.78	0.0	16.15	6.06	12.36	0.0	6.41	6.41
ZNF397	642.59	409.15	435.55	387.02	334.46	507.46	647.07	624.99	660.68	486.75	387.02	518.15	444.72	346.29	764.36	651.58	420.68	237.86	125.24	111.21	133.36	84.04	113.56	96.01	136.19	80.57	161.02	169.07	241.19	181.28	191.67	182.55	121.79	83.45	157.68	202.66	86.43	159.9	96.01	161.02	114.36	71.0	171.45	132.44	126.12	68.07	153.34	117.6	191.67	101.54	148.09	85.82	146.03	81.14
ZNF451	595.34	275.28	325.29	381.68	400.71	316.37	603.67	638.15	567.1	559.28	381.68	420.68	297.17	303.44	438.59	748.61	237.86	563.18	185.11	135.24	220.32	132.44	157.68	117.6	120.1	97.36	182.55	246.28	236.21	318.57	275.28	223.41	155.5	130.6	204.07	193.01	155.5	167.9	110.43	201.25	177.53	169.07	164.42	178.77	129.69	171.45	167.9	197.09	181.28	138.1	111.21	108.14	194.36	329.84
ZNF507	325.29	173.85	169.07	248.0	163.28	197.09	392.44	444.72	379.04	242.88	248.0	220.32	199.85	197.09	356.05	381.68	131.51	109.66	74.58	96.01	115.16	43.32	57.49	48.18	63.0	42.41	68.55	120.1	118.43	89.51	111.21	87.65	81.71	61.25	114.36	117.6	70.01	94.67	56.28	108.9	65.72	59.55	71.5	50.27	28.45	92.7	52.82	64.8	84.04	49.21	61.68	33.78	55.89	55.89
ZNF527	117.6	76.17	85.82	82.87	90.14	88.26	132.44	149.12	111.21	102.97	82.87	115.97	75.11	53.19	128.79	180.02	67.12	52.82	25.91	34.75	33.3	26.47	43.02	28.45	8.71	26.67	37.05	41.52	65.72	51.35	68.07	33.06	29.7	27.05	30.56	52.82	34.75	22.75	22.75	26.28	26.47	18.84	64.34	42.71	24.63	11.64	7.17	13.83	54.33	22.92	26.28	17.38	24.81	18.97
ZNF639	723.08	525.39	651.58	595.34	470.14	547.75	791.35	1051.79	836.53	780.44	595.34	555.41	507.46	679.29	463.65	2573.36	454.09	551.56	251.48	320.8	353.59	361.04	293.07	181.28	171.45	239.52	223.41	532.74	366.09	267.73	409.15	301.33	318.57	191.67	327.56	293.07	255.0	287.01	231.32	297.17	305.55	242.88	368.65	182.55	214.27	256.78	265.87	309.83	571.05	205.5	153.34	144.01	314.17	339.14
ZNF660	49.56	29.27	36.01	28.04	37.05	23.42	47.17	59.13	37.59	45.85	28.04	40.93	20.41	68.07	52.45	116.78	21.63	23.42	2.12	8.0	4.24	2.63	1.14	1.53	2.63	1.06	4.74	10.31	4.39	4.74	10.08	2.48	4.9	4.54	5.02	7.88	2.48	4.9	3.08	4.98	2.78	1.31	5.28	8.13	4.24	2.68	2.66	0.39	19.25	2.63	2.81	3.63	6.11	0.02
